Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
2,5:43,1,7,BAL 7,7,17,"Rex Burkhead right tackle for -3 yards (tackle by Chuck Clark). Penalty on Shaq Mason: Offensive Holding, 10 yards (no play)",5.600,4.260
2,5:16,1,17,BAL 17,7,17,Rex Burkhead up the middle for 3 yards (tackle by Jaylon Ferguson),4.260,3.580
2,4:33,2,14,BAL 14,7,17,Tom Brady pass complete short middle to Julian Edelman for 10 yards (tackle by Marlon Humphrey),3.580,4.490
2,3:48,3,4,BAL 4,7,17,Tom Brady pass incomplete short middle intended for Julian Edelman (defended by Earl Thomas),4.490,3.030
2,3:44,4,4,BAL 4,10,17,Nick Folk 22 yard field goal good,3.030,3.000
2,3:41,,,NWE 35,10,17,"Jake Bailey kicks off 56 yards, returned by Justice Hill for 10 yards (tackle by Justin Bethel and Jonathan Jones)",0.000,0.150
2,3:36,1,10,BAL 19,10,17,Lamar Jackson pass complete short middle to Willie Snead for 8 yards (tackle by Dont'a Hightower),0.150,0.750
2,2:59,2,2,BAL 27,10,17,Gus Edwards up the middle for 3 yards (tackle by Devin McCourty),0.750,0.940
2,2:20,1,10,BAL 30,10,17,Lamar Jackson right tackle for -1 yards (tackle by Dont'a Hightower),0.940,0.260
2,2:00,2,11,BAL 29,10,17,Lamar Jackson pass complete short left to Nick Boyle for 5 yards (tackle by Dont'a Hightower),0.260,0.230
2,1:56,3,6,BAL 34,10,17,Lamar Jackson pass incomplete short middle intended for Marquise Brown (defended by Adam Butler),0.230,-1.110
2,1:51,4,6,BAL 34,10,17,Sam Koch punts 48 yards out of bounds,-1.110,-0.040
2,1:43,1,10,NWE 18,10,17,"Tom Brady for -3 yards. Tom Brady fumbles, recovered by Tom Brady at NE-17 James White handoff for 1 yard (tackle by Tyus Bowser)",0.040,-0.320
2,1:23,2,9,NWE 19,10,17,"Tom Brady pass complete short right to Ben Watson for 6 yards (tackle by Marlon Humphrey). Penalty on Marlon Humphrey: Unnecessary Roughness, 15 yards",-0.320,1.600
2,1:18,1,10,NWE 40,10,17,Tom Brady pass complete deep middle to Julian Edelman for 25 yards (tackle by Brandon Carr),1.600,3.250
2,0:43,1,10,BAL 35,10,17,Tom Brady pass complete deep right to James White for 30 yards (tackle by Earl Thomas),3.250,6.060
2,0:33,,,,,,Timeout #1 by New England Patriots,,
2,0:33,1,5,BAL 5,10,17,Tom Brady pass complete short middle to Ben Watson for -1 yards (tackle by L.J. Fort),6.060,4.950
2,0:24,,,,,,Timeout #2 by New England Patriots,,
2,0:24,2,6,BAL 6,10,17,Tom Brady pass incomplete short right,4.950,4.040
2,0:16,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:16,3,6,BAL 6,10,17,James White right tackle for 5 yards (tackle by Marcus Peters),4.040,3.550
2,0:10,,,,,,Timeout #3 by New England Patriots,,
2,0:10,4,1,BAL 1,13,17,Nick Folk 19 yard field goal good,3.550,3.000
2,0:08,,,NWE 35,13,17,"Jake Bailey kicks off 52 yards, returned by Justice Hill for 14 yards (tackle by Jake Bailey). Penalty on Chris Moore: Offensive Holding, 10 yards",0.000,-0.060
2,0:02,1,10,BAL 17,13,17,Lamar Jackson kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,13,17,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,13,17,Tom Brady pass incomplete short left,0.610,0.060
3,14:54,2,10,NWE 25,13,17,Tom Brady pass complete short left to Julian Edelman for 3 yards (tackle by Jimmy Smith),0.060,-0.230
3,14:23,3,7,NWE 28,13,17,Tom Brady pass complete short middle to Mohamed Sanu for 11 yards (tackle by Chuck Clark),-0.230,1.530
3,13:50,1,10,NWE 39,13,17,Tom Brady pass complete short left to Mohamed Sanu for 15 yards (tackle by L.J. Fort),1.530,2.520
3,13:30,1,10,BAL 46,13,17,Tom Brady pass incomplete short left intended for Sony Michel,2.520,1.980
3,13:27,2,10,BAL 46,13,17,Tom Brady pass complete short middle to Julian Edelman for 7 yards (tackle by Patrick Onwuasor),1.980,2.210
3,13:00,3,3,BAL 39,13,17,Tom Brady pass complete short right to Julian Edelman for 9 yards (tackle by Marcus Peters),2.210,3.580
3,12:39,1,10,BAL 30,13,23,"Tom Brady pass complete short left to Julian Edelman for no gain (tackle by Patrick Onwuasor). Julian Edelman fumbles (forced by Patrick Onwuasor), recovered by Marlon Humphrey at BAL-30 and returned for 70 yards, touchdown",3.580,-7.000
3,12:21,,,NWE 15,13,24,Justin Tucker kicks extra point good,0.000,0.000
3,12:21,,,BAL 35,13,24,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,12:21,1,10,NWE 25,13,24,Rex Burkhead right guard for 6 yards (tackle by Michael Pierce),0.610,0.870
3,12:03,2,4,NWE 31,13,24,Rex Burkhead up the middle for 6 yards (tackle by Patrick Onwuasor and Chris Wormley),0.870,1.400
3,11:28,1,10,NWE 37,13,24,Tom Brady pass complete short right to Mohamed Sanu for 11 yards (tackle by Marcus Peters and Brandon Carr),1.400,2.130
3,11:02,1,10,NWE 48,13,24,Tom Brady pass complete short middle to Ben Watson for 18 yards (tackle by Jimmy Smith),2.130,3.310
3,10:35,1,10,BAL 34,13,24,James White left tackle for 7 yards (tackle by Earl Thomas),3.310,3.720
3,10:18,2,3,BAL 27,13,24,James White left guard for 8 yards (tackle by Brandon Carr),3.720,4.310
3,9:56,1,10,BAL 19,13,24,James White right tackle for 6 yards (tackle by Chris Wormley and Brandon Williams),4.310,4.720
3,9:17,2,4,BAL 13,13,24,James White up the middle for 1 yard (tackle by Josh Bynes),4.720,4.190
3,8:51,3,3,BAL 12,13,24,Tom Brady pass complete short middle to Julian Edelman for 7 yards (tackle by Marlon Humphrey),4.190,6.060
3,8:29,1,5,BAL 5,13,24,James White right tackle for 4 yards (tackle by Chuck Clark and Earl Thomas),6.060,5.910
3,8:07,2,1,BAL 1,19,24,"James White right guard for 1 yard, touchdown",5.910,7.000
3,8:03,,,BAL 15,20,24,Nick Folk kicks extra point good,0.000,0.000
3,8:03,,,NWE 35,20,24,"Jake Bailey kicks off 60 yards, returned by Chris Moore for 14 yards (tackle by Brandon Bolden)",0.000,0.150
3,7:57,1,10,BAL 19,20,24,Lamar Jackson pass incomplete short right intended for Mark Ingram,0.150,-0.390
3,7:53,2,10,BAL 19,20,24,Mark Ingram up the middle for 5 yards (tackle by Devin McCourty),-0.390,-0.420
3,7:16,3,5,BAL 24,20,24,Lamar Jackson pass complete deep left to Mark Andrews for 18 yards (tackle by Terrence Brooks),-0.420,1.730
3,6:32,1,10,BAL 42,20,24,Mark Ingram left end for 6 yards (tackle by Dont'a Hightower),1.730,2.000
3,5:58,2,4,BAL 48,20,24,Lamar Jackson pass complete short right to Patrick Ricard for 8 yards (tackle by Devin McCourty and Dont'a Hightower),2.000,2.650
3,5:11,1,10,NWE 44,20,24,Justice Hill right guard for 3 yards (tackle by Byron Cowart),2.650,2.520
3,4:30,2,7,NWE 41,20,24,Lamar Jackson pass incomplete deep right intended for Justice Hill,2.520,1.820
3,4:17,3,7,NWE 41,20,24,Lamar Jackson left guard for 3 yards (tackle by Chase Winovich),1.820,0.720
3,3:33,4,4,NWE 38,20,24,Lamar Jackson pass complete short right to Willie Snead for 7 yards (tackle by Jason McCourty),0.720,3.510
3,2:53,1,10,NWE 31,20,24,"Penalty on Marquise Brown: Offensive Too Many Men on Field, 5 yards (no play)",3.510,3.180
3,2:32,1,15,NWE 36,20,24,Mark Ingram left tackle for 4 yards (tackle by Jamie Collins),3.180,2.830
3,1:52,2,11,NWE 32,20,24,Lamar Jackson pass complete short middle to Marquise Brown for 16 yards (tackle by Jamie Collins),2.830,4.510
3,1:13,1,10,NWE 16,20,24,Lamar Jackson left tackle for 11 yards (tackle by Dont'a Hightower),4.510,6.060
3,0:34,1,5,NWE 5,20,24,Lamar Jackson right guard for no gain (tackle by Dont'a Hightower),6.060,5.150
Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,NWE 5,20,30,"Lamar Jackson pass complete short left to Nick Boyle for 5 yards, touchdown, touchdown",5.150,7.000
4,14:54,,,NWE 15,20,30,Justin Tucker kicks extra point no good wide left,0.000,-1.000
4,14:54,,,BAL 35,20,30,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,14:54,1,10,NWE 25,20,30,Tom Brady pass complete short middle to Mohamed Sanu for 4 yards (tackle by Marcus Peters),0.610,0.600
4,14:27,2,6,NWE 29,20,30,Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by Marcus Peters),0.600,1.600
4,13:57,1,10,NWE 40,20,30,Tom Brady pass complete short left to Mohamed Sanu for 3 yards (tackle by Chuck Clark),1.600,1.460
4,13:33,2,7,NWE 43,20,30,Tom Brady pass complete short right to Mohamed Sanu for 9 yards (tackle by Marcus Peters),1.460,2.390
4,13:13,1,10,BAL 48,20,30,Tom Brady pass incomplete short left intended for Mohamed Sanu (defended by Josh Bynes),2.390,1.850
4,13:06,2,10,BAL 48,20,30,Tom Brady pass incomplete deep middle intended for Ben Watson,1.850,1.160
4,13:01,3,10,BAL 48,20,30,Tom Brady pass deep middle intended for Mohamed Sanu is intercepted by Earl Thomas at BAL-8 and returned for 24 yards,1.160,-1.070
4,12:47,1,10,BAL 32,20,30,Mark Ingram right guard for -2 yards (tackle by Ja'Whaun Bentley),1.070,0.260
4,12:12,2,12,BAL 30,20,30,Lamar Jackson pass complete short middle to Nick Boyle for 8 yards (tackle by Stephon Gilmore),0.260,0.630
4,11:34,3,4,BAL 38,20,30,"Justice Hill left tackle for 3 yards (tackle by Chase Winovich). Penalty on Dont'a Hightower: Defensive Offside, 5 yards (no play)",0.630,1.800
4,11:05,,,,,,Timeout #1 by Baltimore Ravens,,
4,11:05,1,10,BAL 43,20,30,Gus Edwards left guard for 5 yards (tackle by Elandon Roberts),1.800,1.930
4,10:29,2,5,BAL 48,20,30,Mark Ingram right guard for 1 yard (tackle by Terrence Brooks and Elandon Roberts),1.930,1.350
4,9:48,3,4,BAL 49,20,30,Lamar Jackson pass complete short right to Mark Ingram for 18 yards (tackle by Duron Harmon),1.350,3.380
4,9:08,1,10,NWE 33,20,30,Gus Edwards right guard for 2 yards (tackle by Jamie Collins),3.380,3.110
4,8:29,2,8,NWE 31,20,30,Gus Edwards up the middle for 1 yard (tackle by Danny Shelton),3.110,2.540
4,7:49,3,7,NWE 30,20,30,"Lamar Jackson pass incomplete short right intended for Marquise Brown. Penalty on Jason McCourty: Illegal Use of Hands, 5 yards (no play)",2.540,3.910
4,7:45,1,10,NWE 25,20,30,Justice Hill right guard for 2 yards (tackle by Danny Shelton and Lawrence Guy),3.910,3.630
4,7:02,2,8,NWE 23,20,30,Lamar Jackson pass complete short right to Mark Ingram for 11 yards (tackle by Dont'a Hightower),3.630,4.780
4,6:22,1,10,NWE 12,20,30,Justice Hill left tackle for 2 yards (tackle by Elandon Roberts and Lawrence Guy) Penalty on BAL: Illegal Formation (Declined),4.780,4.450
4,5:37,2,8,NWE 10,20,30,Lamar Jackson up the middle for 9 yards (tackle by Duron Harmon),4.450,6.970
4,4:52,1,1,NWE 1,20,30,Mark Ingram right guard for no gain (tackle by Ja'Whaun Bentley and Danny Shelton),6.970,5.910
4,4:02,2,1,NWE 1,20,30,"Penalty on Nick Boyle: False Start, 4 yards (no play)",5.910,5.150
4,4:01,2,5,NWE 5,20,30,Mark Ingram left guard for 4 yards (tackle by Dont'a Hightower),5.150,5.170
4,3:19,3,1,NWE 1,20,36,"Lamar Jackson up the middle for 1 yard, touchdown",5.170,7.000
4,3:12,,,NWE 15,20,37,Justin Tucker kicks extra point good,0.000,0.000
4,3:12,,,BAL 35,20,37,"Justin Tucker kicks off 65 yards, returned by Brandon Bolden for 26 yards (tackle by Anthony Levine)",0.000,0.670
4,3:04,1,10,NWE 26,20,37,James White left end for 5 yards (tackle by Brandon Carr and Anthony Averett),0.670,0.810
4,2:37,2,5,NWE 31,20,37,Tom Brady pass incomplete deep left intended for Phillip Dorsett,0.810,0.100
4,2:34,3,5,NWE 31,20,37,Tom Brady pass complete short left to Phillip Dorsett for 7 yards (tackle by Anthony Averett),0.100,1.470
4,2:11,1,10,NWE 38,20,37,Tom Brady pass complete short right to Ben Watson for 5 yards (tackle by Brandon Carr),1.470,1.600
4,2:00,2,5,NWE 43,20,37,Tom Brady pass incomplete deep left intended for Mohamed Sanu,1.600,0.890
4,1:54,3,5,NWE 43,20,37,Tom Brady sacked by Jihad Ward for -8 yards,0.890,-1.040
4,1:15,,,,,,Timeout #2 by Baltimore Ravens,,
4,1:15,4,13,NWE 35,20,37,Jake Bailey punts 56 yards downed by Matthew Slater,-1.040,0.380
4,1:03,1,10,BAL 9,20,37,Lamar Jackson kneels for -1 yards,-0.380,-0.850
4,0:24,2,11,BAL 8,20,37,Lamar Jackson kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
