Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
2,0:21,1,10,LAR 41,7,20,Jared Goff pass incomplete deep right intended for Josh Reynolds (defended by Chidobe Awuzie),1.660,1.120
2,0:17,2,10,LAR 41,7,20,Jared Goff pass complete short middle to Robert Woods for 14 yards (tackle by Jaylon Smith),1.120,2.590
2,0:03,1,10,DAL 45,7,20,Jared Goff spiked the ball,2.590,2.040
2,0:01,2,10,DAL 45,7,20,Greg Zuerlein 63 yard field goal no good,2.040,2.390
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,7,20,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DAL 25,7,20,Ezekiel Elliott right tackle for 3 yards (tackle by Aaron Donald),0.610,0.470
3,14:24,2,7,DAL 28,7,20,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,0.470,-0.230
3,14:20,3,7,DAL 28,7,20,Dak Prescott pass incomplete short middle intended for Ezekiel Elliott,-0.230,-1.500
3,14:15,4,7,DAL 28,7,20,"Chris Jones punts 46 yards, returned by Jojo Natson for no gain",-1.500,-0.670
3,14:07,1,10,LAR 26,7,20,Todd Gurley up the middle for 6 yards (tackle by Anthony Brown and Jaylon Smith),0.670,0.940
3,13:38,2,4,LAR 32,7,20,Jared Goff pass incomplete short left intended for Josh Reynolds,0.940,0.230
3,13:33,3,4,LAR 32,7,20,Jared Goff pass complete deep left to Brandin Cooks for 21 yards (tackle by Byron Jones),0.230,2.460
3,12:50,1,10,DAL 47,7,20,Todd Gurley left end for 18 yards (tackle by Jeff Heath),2.460,3.640
3,12:12,1,10,DAL 29,7,20,C.J. Anderson left tackle for 6 yards (tackle by Jourdan Lewis and Randy Gregory),3.640,3.910
3,11:30,2,4,DAL 23,7,20,C.J. Anderson right guard for 1 yard (tackle by Caraun Reid),3.910,3.340
3,10:48,3,3,DAL 22,7,20,"Jared Goff aborted snap, recovered by Jared Goff at DAL-26 and returned for -4 yards",3.340,1.740
3,10:08,4,7,DAL 26,7,23,Greg Zuerlein 44 yard field goal good,1.740,3.000
3,10:03,,,LAR 35,7,23,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,10:03,1,10,DAL 25,7,23,Ezekiel Elliott right end for -2 yards (tackle by Ndamukong Suh),0.610,-0.210
3,9:23,2,12,DAL 23,7,23,Dak Prescott pass complete short left to Michael Gallup for 27 yards (tackle by Nickell Robey-Coleman and Lamarcus Joyner),-0.210,2.260
3,8:40,1,10,DAL 50,7,23,Dak Prescott pass complete short left to Michael Gallup for -1 yards (tackle by Marcus Peters),2.260,1.580
3,8:00,2,11,DAL 49,7,23,Dak Prescott pass incomplete short middle intended for Cole Beasley,1.580,0.890
3,7:56,3,11,DAL 49,7,23,Dak Prescott pass complete short left to Michael Gallup for 10 yards (tackle by Lamarcus Joyner and Mark Barron),0.890,0.530
3,7:12,4,1,LAR 41,7,23,Ezekiel Elliott right end for 5 yards (tackle by Dante Fowler and Aqib Talib),0.530,3.180
3,6:33,1,10,LAR 36,7,23,"Dak Prescott pass incomplete deep right intended for Ezekiel Elliott (defended by Cory Littleton). Penalty on Connor Williams: Offensive Holding, 10 yards (no play)",3.180,2.520
3,6:27,1,20,LAR 46,7,23,Dak Prescott pass complete deep left to Michael Gallup for 44 yards (tackle by Lamarcus Joyner),2.520,6.740
3,5:55,1,2,LAR 2,7,23,Ezekiel Elliott up the middle for 1 yard (tackle by John Johnson),6.740,5.910
3,5:23,2,1,LAR 1,13,23,"Ezekiel Elliott up the middle for 1 yard, touchdown",5.910,7.000
3,5:20,,,LAR 2,15,23,"Two Point Attempt: Dak Prescott pass complete to Amari Cooper, conversion succeeds. Penalty on Lamarcus Joyner: Defensive Offside, 5 yards",0.000,1.000
3,5:20,,,DAL 40,15,23,"Brett Maher kicks off 60 yards, touchback.",0.000,0.610
3,5:20,1,10,LAR 25,15,23,Todd Gurley left end for 1 yard (tackle by Xavier Woods),0.610,0.200
3,4:41,2,9,LAR 26,15,23,Jared Goff pass complete short left to Josh Reynolds for 19 yards (tackle by Xavier Woods),0.200,1.930
3,3:59,1,10,LAR 45,15,23,Todd Gurley right end for 8 yards (tackle by Chidobe Awuzie and Jaylon Smith),1.930,2.460
3,3:23,2,2,DAL 47,15,23,Jared Goff pass incomplete short middle intended for Robert Woods,2.460,1.750
3,3:20,3,2,DAL 47,15,23,Jared Goff pass incomplete short left intended for Gerald Everett. Penalty on Rodger Saffold: Offensive Holding (Declined),1.750,0.130
3,3:16,4,2,DAL 47,15,23,"Penalty on LAR: Delay of Game, 5 yards (no play)",0.130,-0.190
3,3:14,4,7,LAR 48,15,23,Johnny Hekker punts 29 yards out of bounds,-0.190,-0.480
3,3:10,1,10,DAL 23,15,23,Ezekiel Elliott up the middle for 3 yards (tackle by John Johnson and Ndamukong Suh),0.480,0.340
3,2:32,2,7,DAL 26,15,23,Dak Prescott pass complete short left to Michael Gallup for 15 yards,0.340,1.660
3,1:57,1,10,DAL 41,15,23,Dak Prescott pass incomplete short middle intended for Rico Gathers,1.660,1.120
3,1:52,2,10,DAL 41,15,23,Dak Prescott pass complete short right to Cole Beasley for 15 yards (tackle by Cory Littleton),1.120,2.650
3,1:15,1,10,LAR 44,15,23,Ezekiel Elliott right tackle for -4 yards (tackle by Aaron Donald),2.650,1.570
3,0:32,2,14,LAR 48,15,23,Dak Prescott pass incomplete deep right intended for Dalton Schultz,1.570,0.890
3,0:28,3,14,LAR 48,15,23,Dak Prescott pass complete short right to Noah Brown for 13 yards (tackle by Lamarcus Joyner),0.890,1.000
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,LAR 35,15,23,Ezekiel Elliott up the middle for no gain (tackle by John Johnson and Lamarcus Joyner),1.000,-1.270
4,14:52,1,10,LAR 35,15,23,Robert Woods left end for 9 yards (tackle by Tyrone Crawford),1.270,1.940
4,14:11,2,1,LAR 44,15,23,C.J. Anderson up the middle for 3 yards (tackle by Tyrone Crawford),1.940,2.060
4,13:29,1,10,LAR 47,15,23,C.J. Anderson right tackle for 7 yards (tackle by Chidobe Awuzie),2.060,2.460
4,12:47,2,3,DAL 46,15,23,C.J. Anderson left tackle for 9 yards (tackle by Leighton Vander Esch),2.460,3.120
4,12:10,1,10,DAL 37,15,23,Jared Goff pass complete short right to Robert Woods for 18 yards (tackle by Jaylon Smith),3.120,4.310
4,11:23,1,10,DAL 19,15,23,Todd Gurley left end for 1 yard (tackle by Byron Jones),4.310,3.880
4,10:39,2,9,DAL 18,15,23,Jared Goff pass complete short right to Robert Woods for 7 yards (tackle by Jeff Heath),3.880,4.430
4,9:54,3,2,DAL 11,15,23,Brandin Cooks left end for 5 yards (tackle by Chidobe Awuzie and Xavier Woods),4.430,5.830
4,9:19,1,6,DAL 6,15,23,C.J. Anderson left tackle for no gain (tackle by Antwaun Woods and Maliek Collins),5.830,4.950
4,8:41,2,6,DAL 6,15,23,C.J. Anderson up the middle for 5 yards (tackle by Anthony Brown and Jeff Heath),4.950,5.170
4,8:06,3,1,DAL 1,15,23,Jared Goff up the middle for no gain (tackle by Maliek Collins),5.170,3.550
4,7:20,,,,,,Timeout #2 by Los Angeles Rams,,
4,7:20,4,1,DAL 1,15,29,"C.J. Anderson left tackle for 1 yard, touchdown",3.550,7.000
4,7:16,,,DAL 15,15,30,Greg Zuerlein kicks extra point good,0.000,0.000
4,7:16,,,LAR 35,15,30,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,7:16,1,10,DAL 25,15,30,Dak Prescott pass complete deep middle to Michael Gallup for 24 yards (tackle by John Johnson),0.610,2.190
4,6:47,1,10,DAL 49,15,30,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Marcus Peters),2.190,1.650
4,6:42,2,10,DAL 49,15,30,Ezekiel Elliott up the middle for 2 yards (tackle by Mark Barron),1.650,1.220
4,6:13,3,8,LAR 49,15,30,Dak Prescott pass complete short right to Amari Cooper for 7 yards (tackle by Nickell Robey-Coleman and Aqib Talib),1.220,0.460
4,5:41,,,,,,Timeout #3 by Los Angeles Rams,,
4,5:41,4,1,LAR 42,15,30,Dak Prescott right end for 2 yards (tackle by Samson Ebukam),0.460,2.920
4,5:12,1,10,LAR 40,15,30,"Dak Prescott pass complete short right to Amari Cooper for 9 yards (tackle by Aqib Talib). Amari Cooper fumbles, ball out of bounds at LA-31 (forced by Aqib Talib)",2.920,3.590
4,4:32,2,1,LAR 31,15,30,Dak Prescott pass complete short middle to Ezekiel Elliott for 7 yards (tackle by Mark Barron),3.590,3.970
4,3:58,1,10,LAR 24,15,30,Dak Prescott pass complete short middle to Amari Cooper for 9 yards (tackle by Mark Barron),3.970,4.850
4,3:30,2,1,LAR 15,15,30,Ezekiel Elliott left end for -2 yards (tackle by Cory Littleton),4.850,3.750
4,2:58,3,3,LAR 17,15,30,Dak Prescott pass incomplete short middle intended for Ezekiel Elliott (defended by Cory Littleton),3.750,2.410
4,2:53,4,3,LAR 17,15,30,"Dak Prescott pass incomplete deep right intended for Amari Cooper. Penalty on Aqib Talib: Defensive Pass Interference, 16 yards (no play)",2.410,6.970
4,2:43,1,1,LAR 1,15,30,Ezekiel Elliott right tackle for no gain (tackle by Bryce Hager),6.970,5.910
4,2:17,2,1,LAR 1,21,30,"Dak Prescott right tackle for 1 yard, touchdown",5.910,7.000
4,2:11,,,LAR 15,22,30,Brett Maher kicks extra point good,0.000,0.000
4,2:11,,,DAL 35,22,30,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,2:11,1,10,LAR 25,22,30,Todd Gurley up the middle for 1 yard (tackle by Demarcus Lawrence and Maliek Collins),0.610,0.200
4,2:08,,,,,,Timeout #1 by Dallas Cowboys,,
4,2:08,2,9,LAR 26,22,30,C.J. Anderson up the middle for 2 yards (tackle by Sean Lee),0.200,-0.230
4,2:00,3,7,LAR 28,22,30,Jared Goff right end for 11 yards (tackle by Sean Lee),-0.230,1.530
4,1:51,,,,,,Timeout #2 by Dallas Cowboys,,
4,1:51,1,10,LAR 39,22,30,C.J. Anderson up the middle for 5 yards (tackle by Jeff Heath and Caraun Reid),1.530,1.660
4,1:46,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:46,2,5,LAR 44,22,30,C.J. Anderson up the middle for 6 yards (tackle by Xavier Woods),1.660,2.260
4,1:03,1,10,LAR 50,22,30,Jared Goff kneels for -1 yards,2.260,1.580
4,0:38,2,11,LAR 49,22,30,Jared Goff kneels for -1 yards,1.580,0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
