Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
2,11:31,1,8,DET 8,10,0,Warrick Dunn right tackle for 2 yards (tackle by James Davis),5.370,4.950
2,10:52,2,6,DET 6,16,0,"Michael Vick pass complete to Alge Crumpler for 6 yards, touchdown. Penalty on Kynan Forney: Personal Foul, 15 yards",4.950,7.000
2,,,,DET 2,17,0,Todd Peterson kicks extra point good,0.000,0.000
2,,,,ATL 15,17,0,"Michael Koenen kicks off 66 yards, returned by Eddie Drummond for 15 yards (tackle by John Leake). Penalty on Ronnie Heard: Offside on Free Kick, 5 yards (no play)",0.000,0.000
2,,,,ATL 10,17,0,"Michael Koenen kicks off 73 yards, returned by Eddie Drummond for 25 yards (tackle by Bryan Scott)",0.000,1.730
2,10:31,1,10,DET 42,17,0,Shawn Bryson up the middle for 11 yards (tackle by Jonathan Babineaux),1.730,2.460
2,9:51,1,10,ATL 47,17,0,Joey Harrington pass incomplete intended for Charles Rogers,2.460,1.910
2,9:46,2,10,ATL 47,17,0,Shawn Bryson right tackle for 2 yards (tackle by Antwan Lake and Patrick Kerney),1.910,1.490
2,9:01,3,8,ATL 45,17,0,Joey Harrington pass complete to Marcus Pollard for 11 yards (tackle by Bryan Scott),1.490,3.310
2,8:14,1,10,ATL 34,17,0,"Joey Harrington pass incomplete intended for Mike Williams. Penalty on Bryan Scott: Illegal Use of Hands, 5 yards (no play)",3.310,3.640
2,8:05,1,10,ATL 29,17,0,"Joey Harrington sacked by Patrick Kerney for -6 yards. Joey Harrington fumbles (forced by Patrick Kerney), recovered by Joey Harrington at ATL-34",3.640,2.420
2,7:28,2,15,ATL 34,17,0,Joey Harrington sacked by Patrick Kerney and Keith Brooking for -11 yards,2.420,0.300
2,6:52,3,26,ATL 45,17,0,Joey Harrington pass complete to Marcus Pollard for 7 yards (tackle by Demorrio Williams),0.300,0.720
2,6:10,4,19,ATL 38,17,0,Nick Harris punts 36 yards,0.720,0.380
2,5:57,1,10,ATL 2,17,0,"Penalty on Kynan Forney: False Start, 1 yards (no play)",-0.380,-0.420
2,5:57,1,11,ATL 1,17,0,Warrick Dunn up the middle for 3 yards (tackle by James Davis and Boss Bailey),-0.420,-0.630
2,5:20,2,8,ATL 4,17,0,Warrick Dunn right end for 11 yards (tackle by Kenoy Kennedy),-0.630,-0.220
2,4:38,1,10,ATL 15,17,0,Michael Vick pass incomplete intended for Alge Crumpler,-0.220,-0.710
2,4:32,2,10,ATL 15,17,0,Warrick Dunn right tackle for 15 yards (tackle by Terrence Holt),-0.710,0.940
2,3:51,1,10,ATL 30,17,0,Warrick Dunn left tackle for 7 yards (tackle by Wali Rainer and Shaun Cody),0.940,1.340
2,3:12,2,3,ATL 37,17,0,Michael Vick pass incomplete intended for Alge Crumpler,1.340,0.630
2,3:03,3,3,ATL 37,17,0,Michael Vick pass incomplete intended for Roddy White (defended by Dre' Bly),0.630,-0.910
2,2:59,4,3,ATL 37,17,0,"Michael Koenen punts 48 yards, returned by Eddie Drummond for 6 yards (tackle by Demorrio Williams)",-0.910,-0.340
2,2:49,1,10,DET 21,17,0,Jeff Garcia pass complete to Shawn Bryson for 9 yards (tackle by Jason Webster),0.340,1.020
2,2:21,2,1,DET 30,17,0,Jeff Garcia pass complete to Scottie Vines for 13 yards (tackle by Demorrio Williams),1.020,1.800
2,2:00,1,10,DET 43,17,0,"Jeff Garcia pass incomplete intended for Marcus Pollard. Penalty on Bryan Scott: Defensive Holding, 5 yards (no play)",1.800,2.130
2,1:55,1,10,DET 48,17,0,Jeff Garcia pass complete to Scottie Vines for 3 yards (tackle by Jason Webster),2.130,1.990
2,1:51,2,7,ATL 49,17,0,Shawn Bryson up the middle for 5 yards (tackle by Patrick Kerney),1.990,1.950
2,1:40,,,,17,0,Timeout #1 by Detroit Lions,0.000,1.950
2,1:40,3,2,ATL 44,17,0,Jeff Garcia sacked by Antwan Lake and Roderick Coleman for 0 yards,1.950,0.330
2,0:59,4,2,ATL 44,17,0,Jeff Garcia sacked by Antwan Lake for -10 yards,0.330,-2.520
2,0:53,1,10,DET 46,17,0,Michael Vick pass complete to Alge Crumpler for 7 yards (tackle by James Davis and Boss Bailey),2.520,2.920
2,0:44,,,,17,0,Timeout #2 by Detroit Lions,0.000,2.920
2,0:44,2,3,DET 39,17,0,Justin Griffith right tackle for 4 yards (tackle by Shaun Rogers and James Davis),2.920,3.250
2,0:38,,,,17,0,Timeout #1 by Atlanta Falcons,0.000,3.250
2,0:36,1,10,DET 35,17,0,Michael Vick pass complete to Alge Crumpler for 19 yards (tackle by Boss Bailey and Kenoy Kennedy),3.250,4.510
2,0:19,1,10,DET 16,17,0,Warrick Dunn left tackle for no gain (tackle by Terrence Holt),4.510,3.900
2,0:14,,,,17,0,Timeout #2 by Atlanta Falcons,0.000,3.900
2,0:14,2,10,DET 16,17,0,Michael Vick pass incomplete intended for Warrick Dunn is intercepted by Nate Wayne at DET-15 and returned for 20 yards,3.900,-1.270
2,0:05,1,10,DET 35,17,0,Jeff Garcia pass complete to Shawn Bryson for 12 yards (tackle by Jonathan Babineaux),1.270,2.060
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,17,0,"Michael Koenen kicks off 68 yards, returned by Eddie Drummond for 18 yards (tackle by Omare Lowe)",0.000,0.280
3,14:54,1,10,DET 20,17,0,Kevin Jones up the middle for 6 yards (tackle by Patrick Kerney and Roderick Coleman),0.280,0.540
3,14:17,2,4,DET 26,17,0,Jeff Garcia pass incomplete intended for Charles Rogers (defended by Roderick Coleman),0.540,-0.160
3,14:13,3,4,DET 26,17,0,Jeff Garcia pass incomplete intended for Charles Rogers,-0.160,-1.630
3,14:07,4,4,DET 26,17,0,Nick Harris punts 48 yards (tackle by Kenoy Kennedy),-1.630,-2.590
3,13:50,1,10,DET 45,17,0,Warrick Dunn right end for 3 yards (tackle by Wali Rainer),2.590,2.450
3,13:13,2,7,DET 42,17,0,Warrick Dunn left end for 6 yards (tackle by Cory Redding),2.450,2.540
3,12:33,3,1,DET 36,17,0,T.J. Duckett left tackle for 4 yards (tackle by James Davis),2.540,3.450
3,11:53,1,10,DET 32,23,0,"Michael Vick pass complete to Alge Crumpler for 32 yards, touchdown",3.450,7.000
3,,,,DET 2,24,0,"Todd Peterson kicks extra point good. Penalty on Terrence Holt: Defensive Offside, 5 yards",0.000,0.000
3,,,,ATL 35,24,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
3,11:46,1,10,DET 20,24,0,Shawn Bryson up the middle for -1 yards (tackle by Michael Boley),0.280,-0.460
3,11:05,2,11,DET 19,24,0,Jeff Garcia pass incomplete intended for Mike Williams,-0.460,-1.140
3,11:00,3,11,DET 19,24,0,"Jeff Garcia pass incomplete intended for Mike Williams is intercepted by Jason Webster at ATL-40 and returned for 19 yards. Penalty on Keion Carpenter: Illegal Block Above the , 10 yards",-1.140,-2.190
3,10:45,1,10,ATL 49,24,0,"Warrick Dunn right tackle for 5 yards (tackle by Terrence Holt and James Davis). Penalty on Matt Lehr: Offensive Holding, 10 yards (no play)",2.190,1.530
3,10:22,1,20,ATL 39,24,0,Warrick Dunn right tackle for 4 yards (tackle by Shaun Cody),1.530,0.840
3,9:43,2,16,ATL 43,24,0,Michael Vick right end for 10 yards (tackle by R.W. McQuarters),0.840,1.490
3,9:12,3,6,DET 47,24,0,Michael Vick pass complete to Roddy White for 16 yards (tackle by Dre' Bly),1.490,3.510
3,8:35,1,10,DET 31,24,0,Warrick Dunn right tackle for 1 yard (tackle by Terrence Holt),3.510,3.100
3,7:57,2,9,DET 30,24,0,Michael Vick pass incomplete intended for Roddy White,3.100,2.410
3,7:51,3,9,DET 30,24,0,Warrick Dunn left tackle for 9 yards (tackle by Kenoy Kennedy),2.410,4.170
3,7:04,1,10,DET 21,24,0,Michael Vick for 11 yards (tackle by Kenoy Kennedy),4.170,4.910
3,6:41,1,10,DET 10,24,0,T.J. Duckett right tackle for 4 yards (tackle by James Hall),4.910,4.950
3,6:05,2,6,DET 6,24,0,T.J. Duckett left tackle for 1 yard (tackle by Jared DeVries),4.950,4.260
3,5:19,3,5,DET 5,24,0,Michael Vick pass incomplete intended for Michael Jenkins,4.260,3.010
3,5:15,4,5,DET 5,27,0,Todd Peterson 23 yard field goal good,3.010,3.000
3,,,,ATL 30,27,0,"Michael Koenen kicks off 69 yards, returned by Eddie Drummond for 18 yards (tackle by Artie Ulmer)",0.000,0.150
3,5:05,1,10,DET 19,27,0,Jeff Garcia pass complete to Scottie Vines for 7 yards (tackle by Jason Webster),0.150,0.610
3,4:32,2,3,DET 26,27,0,Artose Pinner right tackle for 6 yards (tackle by Keith Brooking),0.610,1.070
3,3:54,1,10,DET 32,27,0,Jeff Garcia pass complete to Artose Pinner for 3 yards (tackle by Michael Boley),1.070,0.930
3,3:22,2,7,DET 35,27,0,"Penalty on Scottie Vines: False Start, 5 yards (no play)",0.930,0.260
3,2:50,2,12,DET 30,27,0,Jeff Garcia pass complete to Shawn Bryson for 4 yards (tackle by Keith Brooking),0.260,0.100
3,2:05,3,8,DET 34,27,0,Jeff Garcia pass complete to Marcus Pollard for 6 yards (tackle by DeAngelo Hall),0.100,-0.720
3,1:18,4,2,DET 40,27,0,"Nick Harris punts 49 yards, fair catch by Allen Rossum",-0.720,0.370
3,1:11,1,10,ATL 11,27,0,T.J. Duckett up the middle for 12 yards (tackle by Jon McGraw),-0.370,0.480
3,0:30,1,10,ATL 23,27,0,T.J. Duckett right end for 2 yards (tackle by James Davis and Cory Redding),0.480,0.200
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,ATL 25,27,0,T.J. Duckett right tackle for 13 yards (tackle by Jon McGraw and Kenoy Kennedy),0.200,1.470
4,14:21,1,10,ATL 38,27,0,T.J. Duckett left tackle for 4 yards (tackle by Cory Redding and Shaun Cody),1.470,1.460
4,13:36,2,6,ATL 42,27,0,"T.J. Duckett left tackle for 12 yards (tackle by Jon McGraw). Penalty on Eric Beverly: Offensive Holding, 10 yards",1.460,1.730
4,13:05,2,4,ATL 44,27,0,T.J. Duckett right tackle for 1 yard (tackle by Shaun Rogers),1.730,1.160
4,12:20,3,3,ATL 45,27,0,T.J. Duckett left tackle for 2 yards (tackle by Shaun Rogers),1.160,-0.260
4,11:33,4,1,ATL 47,27,0,"Michael Koenen punts 53 yards, touchback",-0.260,-0.280
4,11:24,1,10,DET 20,27,0,Jeff Garcia pass incomplete intended for Scottie Vines,0.280,-0.270
4,11:17,2,10,DET 20,27,0,"Jeff Garcia pass complete to Mike Williams for 16 yards (tackle by Keion Carpenter). Penalty on Darrell Shropshire: Roughing the Passer, 15 yards",-0.270,2.320
4,10:51,1,10,ATL 49,27,0,Jeff Garcia pass complete to Mike Williams for 7 yards (tackle by Keith Brooking),2.320,2.730
4,10:10,2,3,ATL 42,27,0,Jeff Garcia pass incomplete intended for Marcus Pollard (defended by Michael Boley),2.730,2.020
4,10:05,3,3,ATL 42,27,0,"Jeff Garcia pass incomplete intended for Mike Williams is intercepted by Keion Carpenter at ATL-25 and returned for 18 yards. Penalty on DeAngelo Hall: Defensive Holding, 5 yards (no play)",2.020,3.120
4,9:57,1,10,ATL 37,27,0,Artose Pinner left tackle for 6 yards (tackle by Demorrio Williams),3.120,3.380
4,9:26,2,4,ATL 31,27,6,"Jeff Garcia pass complete to Roy Williams for 31 yards, touchdown",3.380,7.000
4,,,,ATL 2,27,7,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,27,7,"Jason Hanson kicks off 70 yards, touchback",0.000,0.280
4,9:18,1,10,ATL 20,27,7,T.J. Duckett right end for -4 yards (tackle by Jared DeVries and James Davis),0.280,-0.940
4,8:34,2,14,ATL 16,27,7,T.J. Duckett left tackle for 2 yards (tackle by Jared DeVries),-0.940,-1.330
4,7:50,3,12,ATL 18,27,7,T.J. Duckett left tackle for 1 yard (tackle by James Hall),-1.330,-2.140
4,7:06,4,11,ATL 19,27,7,"Michael Koenen punts 52 yards, returned by Eddie Drummond for 7 yards (tackle by Ike Reese)",-2.140,-1.330
4,6:56,1,10,DET 36,27,7,"Jeff Garcia pass complete to Shawn Bryson for 9 yards (tackle by Demorrio Williams). Penalty on Rick DeMulling: Offensive Holding, 10 yards (no play)",1.330,0.670
4,6:25,1,20,DET 26,27,7,Jeff Garcia pass incomplete intended for Roy Williams,0.670,-0.560
4,6:20,2,20,DET 26,27,7,Jeff Garcia pass complete to Mike Williams for 19 yards,-0.560,1.290
4,5:53,3,1,DET 45,27,7,Shawn Bryson up the middle for 2 yards (tackle by Demorrio Williams),1.290,2.060
4,5:23,1,10,DET 47,27,7,Jeff Garcia pass incomplete intended for Marcus Pollard,2.060,1.520
4,5:18,2,10,DET 47,27,7,Jeff Garcia pass complete to Roy Williams for 20 yards (tackle by Bryan Scott and Keion Carpenter),1.520,3.380
4,4:48,1,10,ATL 33,27,7,Jeff Garcia pass complete to Charles Rogers for 4 yards (tackle by Allen Rossum),3.380,3.380
4,4:18,2,6,ATL 29,27,7,Jeff Garcia pass incomplete intended for Marcus Pollard,3.380,2.680
4,4:14,3,6,ATL 29,27,7,Jeff Garcia right end for 5 yards (tackle by Bryan Scott),2.680,2.020
4,3:29,4,1,ATL 24,27,7,Jeff Garcia pass incomplete intended for Cory Schlesinger (defended by Patrick Kerney),2.020,-0.540
4,3:24,1,10,ATL 24,27,7,T.J. Duckett left tackle for 4 yards (tackle by Nate Wayne),0.540,0.540
4,3:16,,,,27,7,Timeout #1 by Detroit Lions,0.000,0.540
4,3:16,2,6,ATL 28,27,7,Matt Schaub right end for 8 yards (tackle by Jared DeVries),0.540,1.330
4,2:29,1,10,ATL 36,27,7,T.J. Duckett right tackle for 4 yards (tackle by Wali Rainer),1.330,1.330
4,2:21,,,,27,7,Timeout #2 by Detroit Lions,0.000,1.330
4,2:21,2,6,ATL 40,27,7,"T.J. Duckett left tackle for 2 yards (tackle by Shaun Rogers). T.J. Duckett fumbles (forced by Shaun Rogers), recovered by Jared DeVries at ATL-44 (tackle by Eric Beverly)",1.330,-2.650
4,2:14,1,10,ATL 44,27,7,Dan Orlovsky pass incomplete intended for Shawn Bryson,2.650,2.110
4,2:06,2,10,ATL 44,27,7,Dan Orlovsky pass incomplete intended for Casey Fitzsimmons,2.110,1.420
4,2:03,3,10,ATL 44,27,7,Dan Orlovsky pass complete to Scottie Vines for 14 yards (tackle by Jason Webster),1.420,3.580
4,1:59,1,10,ATL 30,27,7,Dan Orlovsky pass complete to Roy Williams for 4 yards (tackle by Demorrio Williams),3.580,3.570
4,1:33,2,6,ATL 26,27,7,Dan Orlovsky pass complete to Mike Williams for 7 yards (tackle by Jason Webster and Allen Rossum),3.570,4.310
4,1:08,1,10,ATL 19,27,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",4.310,3.970
4,1:06,1,15,ATL 24,27,7,Dan Orlovsky pass incomplete intended for Charles Rogers,3.970,3.090
4,1:03,2,15,ATL 24,27,7,Dan Orlovsky pass incomplete intended for Charles Rogers (defended by Jason Webster),3.090,2.410
4,0:56,3,15,ATL 24,27,7,Dan Orlovsky pass complete to Shawn Bryson for -2 yards (tackle by Keith Brooking and Allen Rossum),2.410,1.740
4,0:42,,,,27,7,Timeout #3 by Detroit Lions,0.000,1.740
4,0:42,4,17,ATL 26,27,7,"Dan Orlovsky pass complete to Mike Williams for 20 yards (tackle by Keion Carpenter). Penalty on Keion Carpenter: Defensive Delay of Game, 3 yards",1.740,6.510
4,0:28,1,3,ATL 3,27,7,Dan Orlovsky pass incomplete intended for Charles Rogers (defended by Keion Carpenter),6.510,5.530
4,0:25,2,3,ATL 3,27,7,Dan Orlovsky pass incomplete intended for Casey Fitzsimmons,5.530,4.720
4,0:21,3,3,ATL 3,27,7,"Dan Orlovsky sacked by Roderick Coleman for -1 yards. Dan Orlovsky fumbles (forced by Roderick Coleman), recovered by Demorrio Williams at ATL-6 (tackle by Dan Orlovsky)",4.720,0.380
4,0:15,1,10,ATL 6,27,7,Matt Schaub kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
