Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
2,5:04,2,2,NOR 28,0,10,Drew Brees pass incomplete short right intended for Robert Meachem is intercepted by Justin Durant at NOR-40 and returned for 1 yard,0.810,-2.980
2,4:57,1,10,NOR 39,0,10,Tony Romo pass complete short right to Lance Dunbar for 24 yards (tackle by Ramon Humber),2.980,4.580
2,4:09,1,10,NOR 15,0,16,"DeMarco Murray right end for 15 yards, touchdown",4.580,7.000
2,4:09,,,NOR 2,0,17,Dan Bailey kicks extra point good,0.000,0.000
2,4:09,,,DAL 35,0,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,4:03,1,10,NOR 20,0,17,Khiry Robinson left end for no gain (tackle by George Selvie),0.280,-0.270
2,3:26,2,10,NOR 20,0,17,Drew Brees pass incomplete short left intended for Marques Colston (defended by Orlando Scandrick),-0.270,-0.960
2,3:21,3,10,NOR 20,0,17,Drew Brees pass complete short left to Brandin Cooks for 8 yards (tackle by Bruce Carter),-0.960,-1.500
2,2:43,4,2,NOR 28,0,17,"Thomas Morstead punts 49 yards, fair catch by Dwayne Harris",-1.500,-0.480
2,2:34,1,10,DAL 23,0,17,DeMarco Murray up the middle for 22 yards (tackle by Corey White),0.480,1.930
2,2:00,1,10,DAL 45,0,17,Tony Romo pass complete short right to Dez Bryant for 9 yards (tackle by Curtis Lofton),1.930,2.600
2,1:27,2,1,NOR 46,0,17,Tony Romo pass incomplete deep right intended for Dez Bryant (defended by Keenan Lewis),2.600,1.880
2,1:22,3,1,NOR 46,0,17,DeMarco Murray right guard for 2 yards (tackle by Curtis Lofton),1.880,2.650
2,0:49,1,10,NOR 44,0,17,Tony Romo pass incomplete deep right intended for Dez Bryant,2.650,2.110
2,0:45,2,10,NOR 44,0,17,"Tony Romo pass complete short right to Dwayne Harris for 10 yards (tackle by Kenny Vaccaro). Penalty on Doug Free: Offensive Holding, 10 yards",2.110,2.110
2,0:36,2,10,NOR 44,0,17,Tony Romo pass complete short middle to Cole Beasley for 10 yards (tackle by Curtis Lofton),2.110,2.110
2,0:30,2,10,NOR 44,0,17,Timeout #1 by Dallas Cowboys,2.110,3.310
2,0:30,1,10,NOR 34,0,17,Tony Romo pass complete short left to Jason Witten for 11 yards (tackle by Curtis Lofton),3.310,4.040
2,0:24,1,10,NOR 23,0,23,"Tony Romo pass complete deep left to Terrance Williams for 23 yards, touchdown",4.040,7.000
2,0:24,,,NOR 2,0,24,Dan Bailey kicks extra point good,0.000,0.000
2,0:24,,,DAL 35,0,24,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,0:19,1,10,NOR 20,0,24,Pierre Thomas right tackle for 8 yards (tackle by Nick Hayden),0.280,0.810
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,0,24,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,NOR 20,0,24,Khiry Robinson right end for 1 yard (tackle by J.J. Wilcox),0.280,-0.130
3,14:26,2,9,NOR 21,0,24,Drew Brees pass complete short right to Marques Colston for 9 yards (tackle by Orlando Scandrick),-0.130,0.940
3,13:46,1,10,NOR 30,0,24,Drew Brees pass incomplete short right intended for Marques Colston (defended by Tyrone Crawford),0.940,0.390
3,13:41,2,10,NOR 30,0,24,"Khiry Robinson right tackle for 5 yards (tackle by Rolando McClain and Jeremy Mincey). Penalty on Bryce Harris: Offensive Holding, 10 yards (no play)",0.390,-0.960
3,13:24,2,20,NOR 20,0,24,Drew Brees pass complete short left to Khiry Robinson for 6 yards (tackle by Barry Church),-0.960,-0.820
3,12:43,3,14,NOR 26,0,24,Drew Brees pass complete deep right to Kenny Stills for 16 yards,-0.820,1.730
3,12:12,1,10,NOR 42,0,24,Drew Brees pass complete deep right to Kenny Stills for 46 yards (tackle by Barry Church),1.730,4.780
3,11:54,1,10,DAL 12,0,24,Drew Brees pass incomplete short right intended for Marques Colston (defended by Orlando Scandrick),4.780,4.100
3,11:49,2,10,DAL 12,0,24,Pierre Thomas left end for no gain (tackle by Bruce Carter and Jack Crawford),4.100,3.120
3,11:20,3,10,DAL 12,0,24,Drew Brees pass incomplete short middle intended for Brandin Cooks,3.120,2.630
3,11:14,4,10,DAL 12,3,24,Shayne Graham 30 yard field goal good,2.630,3.000
3,11:14,,,NOR 35,3,24,"Thomas Morstead kicks off 71 yards, returned by Dwayne Harris for 30 yards (tackle by Kasim Edebali)",0.000,-0.540
3,11:04,1,10,DAL 24,3,24,DeMarco Murray left tackle for 8 yards (tackle by Cameron Jordan and Curtis Lofton),0.540,1.080
3,10:24,2,2,DAL 32,3,24,Tony Romo pass incomplete short right intended for James Hanna,1.080,0.370
3,10:19,3,2,DAL 32,3,24,DeMarco Murray right tackle for 3 yards (tackle by Curtis Lofton),0.370,1.270
3,9:42,1,10,DAL 35,3,24,Tony Romo pass complete short left to Terrance Williams for 11 yards (tackle by Jairus Byrd),1.270,1.990
3,8:57,1,10,DAL 46,3,24,Dwayne Harris left end for -1 yards (tackle by Jairus Byrd),1.990,1.320
3,8:29,2,11,DAL 45,3,24,Tony Romo pass complete short right to Terrance Williams for 6 yards (tackle by Brian Dixon),1.320,1.420
3,7:42,3,5,NOR 49,3,24,Tony Romo up the middle for 21 yards (tackle by Rafael Bush),1.420,3.710
3,6:53,1,10,NOR 28,3,30,"DeMarco Murray left tackle for 28 yards, touchdown",3.710,7.000
3,6:53,,,NOR 2,3,31,Dan Bailey kicks extra point good,0.000,0.000
3,6:53,,,DAL 35,3,31,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,6:42,1,10,NOR 20,3,31,Drew Brees pass complete short left to Pierre Thomas for 9 yards (tackle by Justin Durant and Tyrone Crawford),0.280,0.950
3,6:11,2,1,NOR 29,3,31,Drew Brees pass complete short left to Jimmy Graham for 10 yards (tackle by Bruce Carter and Sterling Moore),0.950,1.530
3,5:39,1,10,NOR 39,3,31,Drew Brees pass incomplete deep right intended for Jimmy Graham (defended by Sterling Moore),1.530,0.990
3,5:32,2,10,NOR 39,3,31,Drew Brees pass complete short middle to Jimmy Graham for 8 yards (tackle by Justin Durant),0.990,1.360
3,5:04,3,2,NOR 47,3,31,Drew Brees pass incomplete short middle intended for Marques Colston (defended by Bruce Carter),1.360,-0.260
3,4:58,4,2,NOR 47,3,31,Drew Brees pass complete short middle to Marques Colston for 4 yards (tackle by Bruce Carter),-0.260,2.320
3,4:21,1,10,DAL 49,3,31,Drew Brees pass incomplete deep middle intended for Marques Colston,2.320,1.780
3,4:15,2,10,DAL 49,3,31,Drew Brees pass complete short right to Marques Colston for 9 yards (tackle by Justin Durant and Brandon Carr),1.780,2.280
3,3:36,3,1,DAL 40,3,31,Khiry Robinson left end for 11 yards (tackle by Anthony Spencer and J.J. Wilcox),2.280,3.640
3,3:14,1,10,DAL 29,3,31,Drew Brees pass complete short left to Brandin Cooks for 2 yards (tackle by Orlando Scandrick),3.640,3.370
3,2:45,2,8,DAL 27,3,31,"Drew Brees pass complete short middle to Jimmy Graham for 16 yards (tackle by Rolando McClain). Jimmy Graham fumbles (forced by Rolando McClain), recovered by J.J. Wilcox at DAL-10 and returned for 11 yards (tackle by Jimmy Graham). J.J. Wilcox fumbles (forced by Jimmy Graham), recovered by Brandon Carr at DAL-23 and returned for 11 yards (tackle by Jimmy Graham)",3.370,-0.480
3,2:30,1,10,DAL 23,3,31,Joseph Randle right tackle for 4 yards (tackle by Glenn Foster),0.480,0.470
3,1:45,2,6,DAL 27,3,31,Joseph Randle right tackle for 14 yards (tackle by Keenan Lewis and Brodrick Bunkley),0.470,1.660
3,0:57,1,10,DAL 41,3,31,Joseph Randle left tackle for 3 yards (tackle by Ramon Humber),1.660,1.530
3,0:12,2,7,DAL 44,3,31,"Joseph Randle right end for 18 yards (tackle by Kenny Vaccaro). Penalty on Ronald Leary: Offensive Holding, 10 yards (no play)",1.530,0.180
Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,DAL 34,3,31,Tony Romo pass incomplete deep left intended for Dez Bryant,0.180,-0.490
4,14:52,3,17,DAL 34,3,31,Tony Romo pass complete short right to Jason Witten for 9 yards (tackle by Corey White),-0.490,-0.520
4,14:16,4,8,DAL 43,3,31,"Chris Jones punts 51 yards, returned by Brandin Cooks for 5 yards (tackle by Dwayne Harris). Penalty on Dwayne Harris: Unnecessary Roughness, 15 yards",-0.520,-0.670
4,14:00,1,10,NOR 26,3,31,Khiry Robinson right end for 62 yards (tackle by Brandon Carr),0.670,4.780
4,13:43,1,10,DAL 12,9,31,"Drew Brees pass complete short right to Josh Hill for 12 yards, touchdown",4.780,7.000
4,13:43,,,DAL 2,10,31,Shayne Graham kicks extra point good,0.000,0.000
4,13:43,,,NOR 35,10,31,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
4,13:35,1,10,DAL 20,10,31,DeMarco Murray left tackle for 9 yards (tackle by Ramon Humber),0.280,0.950
4,12:48,2,1,DAL 29,10,31,"Tony Romo for no gain. Tony Romo fumbles, recovered by Tony Romo at DAL-24",0.950,-0.430
4,12:08,3,6,DAL 24,10,31,Tony Romo up the middle for 2 yards (tackle by Tyrunn Walker),-0.430,-1.630
4,11:35,4,4,DAL 26,10,31,"Chris Jones punts 33 yards, fair catch by Brandin Cooks",-1.630,-1.660
4,11:27,1,10,NOR 41,10,31,Drew Brees pass incomplete deep left intended for Marques Colston (defended by Justin Durant),1.660,1.120
4,11:20,2,10,NOR 41,10,31,Drew Brees pass complete deep left to Travaris Cadet for 31 yards (tackle by Barry Church),1.120,3.710
4,10:45,1,10,DAL 28,10,31,Drew Brees pass complete short right to Brandin Cooks for 9 yards (tackle by Orlando Scandrick),3.710,4.420
4,10:18,2,1,DAL 19,10,31,Drew Brees pass complete short left to Travaris Cadet for 6 yards (tackle by Justin Durant),4.420,4.710
4,9:56,1,10,DAL 13,16,31,"Drew Brees pass complete short middle to Jimmy Graham for 13 yards, touchdown",4.710,7.000
4,9:56,,,DAL 2,17,31,Shayne Graham kicks extra point good,0.000,0.000
4,9:56,,,NOR 35,17,31,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
4,9:49,1,10,DAL 20,17,31,DeMarco Murray left end for 5 yards (tackle by Jairus Byrd),0.280,0.410
4,9:03,2,5,DAL 25,17,31,DeMarco Murray up the middle for -1 yards (tackle by Rafael Bush),0.410,0.410
4,8:56,2,5,DAL 25,17,31,Timeout #1 by New Orleans Saints,0.410,-0.430
4,8:56,3,6,DAL 24,17,31,Tony Romo sacked by Kenny Vaccaro for -7 yards,-0.430,-2.320
4,8:14,4,13,DAL 17,17,31,"Chris Jones punts 53 yards, returned by Brandin Cooks for 10 yards (tackle by Jeff Heath)",-2.320,-1.600
4,8:03,1,10,NOR 40,17,31,Drew Brees pass incomplete short right intended for Kenny Stills,1.600,1.050
4,8:03,2,10,NOR 40,17,31,"Penalty on NOR: Illegal Substitution, 5 yards (no play)",1.050,0.380
4,7:56,2,15,NOR 35,17,31,Drew Brees pass incomplete deep left intended for Jimmy Graham (defended by Sterling Moore),0.380,-0.300
4,7:45,3,15,NOR 35,17,31,Drew Brees pass complete short left to Pierre Thomas for 6 yards (tackle by Justin Durant and Tyrone Crawford),-0.300,-0.650
4,7:45,4,9,NOR 41,17,31,Thomas Morstead sacked by Jack Crawford for -2 yards,-0.650,-2.980
4,6:47,1,10,NOR 39,17,31,DeMarco Murray right end for 3 yards (tackle by Junior Galette),2.980,2.980
4,6:07,1,10,NOR 39,17,31,Timeout #1 by Dallas Cowboys,2.980,2.850
4,6:07,2,7,NOR 36,17,31,DeMarco Murray left tackle for -2 yards (tackle by Parys Haralson),2.850,1.880
4,5:24,3,9,NOR 38,17,31,Tony Romo pass complete short middle to Jason Witten for 16 yards (tackle by Rafael Bush),1.880,4.110
4,4:35,1,10,NOR 22,17,31,DeMarco Murray right guard for -1 yards (tackle by Akiem Hicks),4.110,4.110
4,4:31,1,10,NOR 22,17,31,Timeout #2 by New Orleans Saints,4.110,3.430
4,4:31,2,11,NOR 23,17,31,DeMarco Murray left end for 10 yards (tackle by Jairus Byrd),3.430,4.390
4,3:41,3,1,NOR 13,17,31,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",4.390,3.400
4,3:40,3,6,NOR 18,17,37,"Tony Romo pass complete short left to Dez Bryant for 18 yards, touchdown",3.400,7.000
4,3:40,,,NOR 2,17,38,Dan Bailey kicks extra point good,0.000,0.000
4,3:40,,,DAL 35,17,38,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,3:33,1,10,NOR 20,17,38,Drew Brees pass complete short middle to Jimmy Graham for 5 yards (tackle by Orlando Scandrick),0.280,0.410
4,3:15,2,5,NOR 25,17,38,Drew Brees pass complete short right to Jimmy Graham for 9 yards (tackle by Orlando Scandrick),0.410,1.200
4,2:56,1,10,NOR 34,17,38,"Penalty on Bryce Harris: False Start, 5 yards (no play)",1.200,0.870
4,2:54,1,15,NOR 29,17,38,Drew Brees pass complete short right to Travaris Cadet for 6 yards (tackle by Justin Durant),0.870,0.790
4,2:27,2,9,NOR 35,17,38,Drew Brees pass complete short middle to Jimmy Graham for 17 yards (tackle by J.J. Wilcox),0.790,2.390
4,2:27,1,10,DAL 48,17,38,Drew Brees sacked by Henry Melton for -4 yards,2.390,1.310
4,2:00,2,14,NOR 48,17,38,"Drew Brees pass complete short left to Travaris Cadet for 7 yards (tackle by Justin Durant and Jack Crawford). Travaris Cadet fumbles (forced by Justin Durant), recovered by Sterling Moore at DAL-45",1.310,-1.930
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
4,1:53,1,10,DAL 45,17,38,Tony Romo kneels for -1 yards,1.930,1.250
4,1:53,2,11,DAL 44,17,38,Tony Romo kneels for -1 yards,1.250,0.430
4,1:53,3,12,DAL 43,17,38,Tony Romo kneels for -1 yards,0.430,-0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
