Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
1,2:43,1,10,JAX 44,14,0,Nick Foles pass incomplete short right intended for Jeremy Maclin,2.650,2.110
1,2:41,2,10,JAX 44,14,0,Darren Sproles left end for -1 yards (tackle by Winston Guy),2.110,1.290
1,2:05,3,11,JAX 45,14,0,Nick Foles pass complete short middle to Darren Sproles for 5 yards (tackle by Will Blackmon),1.290,0.590
1,1:28,4,6,JAX 40,14,0,Donnie Jones punts 39 yards,0.590,0.380
1,1:27,1,10,JAX 1,14,0,Chad Henne pass complete deep left to Allen Hurns for 46 yards (tackle by Malcolm Jenkins),-0.380,2.060
1,1:07,1,10,JAX 47,14,0,Chad Henne pass complete short right to Marcedes Lewis for 4 yards (tackle by Cedric Thornton),2.060,2.060
1,0:29,2,6,PHI 49,14,0,"Toby Gerhart left end for no gain (tackle by Fletcher Cox). Penalty on Fletcher Cox: Horse Collar Tackle, 15 yards (no play)",2.060,3.310
Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 34,14,0,Chad Henne pass complete short right to Denard Robinson for 3 yards (tackle by Mychal Kendricks),3.310,3.180
2,14:27,2,7,PHI 31,14,0,Chad Henne pass incomplete short left intended for Allen Robinson,3.180,3.180
2,14:23,2,7,PHI 31,14,0,Timeout #1 by Jacksonville Jaguars,3.180,2.480
2,14:23,3,7,PHI 31,14,0,Chad Henne pass incomplete short right intended for Allen Hurns (defended by Connor Barwin),2.480,1.320
2,14:19,4,7,PHI 31,17,0,Josh Scobee 49 yard field goal good,1.320,3.000
2,14:19,,,JAX 35,17,0,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
2,14:14,1,10,PHI 20,17,0,Nick Foles pass incomplete short right intended for Jeremy Maclin,0.280,-0.270
2,14:08,2,10,PHI 20,17,0,LeSean McCoy for -1 yards,-0.270,-1.140
2,13:38,3,11,PHI 19,17,0,Nick Foles sacked by Ryan Davis for -7 yards,-1.140,-2.490
2,13:11,4,18,PHI 12,17,0,"Donnie Jones punts 41 yards, returned by Mike Brown for 13 yards (tackle by Jon Dorenbos)",-2.490,-2.920
2,13:01,1,10,PHI 40,17,0,Denard Robinson left end for 6 yards (tackle by Malcolm Jenkins),2.920,3.180
2,12:34,2,4,PHI 34,17,0,Denard Robinson left end for 3 yards (tackle by Vinny Curry and Trent Cole),3.180,2.870
2,12:00,3,1,PHI 31,17,0,Denard Robinson left end for -1 yards (tackle by Brandon Bair),2.870,2.870
2,11:09,3,1,PHI 31,17,0,Timeout #2 by Jacksonville Jaguars,2.870,1.300
2,11:09,4,2,PHI 32,17,0,Josh Scobee 50 yard field goal no good,1.300,-1.600
2,11:07,1,10,PHI 40,17,0,"Nick Foles pass complete deep right to Jordan Matthews for 30 yards (tackle by Dwayne Gratz). Penalty on Winston Guy: Unnecessary Roughness, 15 yards",1.600,4.580
2,10:44,1,10,JAX 15,17,0,Nick Foles pass incomplete short left intended for Riley Cooper,4.580,3.950
2,10:43,2,10,JAX 15,17,0,Nick Foles pass complete short middle to Jeremy Maclin for 10 yards (tackle by Telvin Smith),3.950,6.060
2,10:13,1,5,JAX 5,17,0,Nick Foles pass incomplete short left intended for Brent Celek is intercepted by Alan Ball at JAX--9,6.060,-0.280
2,10:07,1,10,JAX 20,17,0,Chad Henne pass incomplete short left intended for Allen Hurns,0.280,-0.270
2,10:03,2,10,JAX 20,17,0,Chad Henne pass complete short middle to Mike Brown for 10 yards (tackle by DeMeco Ryans and Nate Allen),-0.270,0.940
2,9:32,1,10,JAX 30,17,0,Toby Gerhart right end for 1 yard (tackle by Brandon Graham),0.940,0.530
2,8:59,2,9,JAX 31,17,0,Chad Henne pass complete short right to Marcedes Lewis for 11 yards (tackle by Nolan Carroll),0.530,1.730
2,8:29,1,10,JAX 42,17,0,Toby Gerhart up the middle for 3 yards (tackle by Fletcher Cox),1.730,1.590
2,7:59,2,7,JAX 45,17,0,Chad Henne pass complete short left to Allen Hurns for 9 yards (tackle by Cary Williams),1.590,2.520
2,7:22,1,10,PHI 46,17,0,Chad Henne pass complete short right to Marqise Lee for 5 yards (tackle by Brandon Boykin),2.520,2.650
2,6:46,2,5,PHI 41,17,0,Chad Henne pass complete deep right to Mike Brown for 17 yards (tackle by Nolan Carroll),2.650,3.970
2,6:20,1,10,PHI 24,17,0,"Penalty on Trent Cole: Neutral Zone Infraction, 5 yards (no play)",3.970,4.750
2,6:03,1,5,PHI 19,17,0,Chad Henne pass complete short left to Allen Robinson for no gain,4.750,4.120
2,5:26,2,5,PHI 19,17,0,Toby Gerhart right end for 1 yard (tackle by Fletcher Cox),4.120,3.570
2,4:44,3,4,PHI 18,17,0,Chad Henne pass incomplete short left intended for Marqise Lee,3.570,2.320
2,4:41,4,4,PHI 18,17,0,"Josh Scobee 36 yard field goal no good, blocked by Brandon Bair, recovered by Brandon Linder",2.320,-0.670
2,4:36,1,10,PHI 26,17,0,LeSean McCoy up the middle for -1 yards (tackle by Geno Hayes),0.670,-0.010
2,4:12,2,11,PHI 25,17,0,Nick Foles pass complete short left to Riley Cooper for 4 yards (tackle by Chris Clemons),-0.010,-0.160
2,3:43,3,7,PHI 29,17,0,"Nick Foles pass incomplete short left intended for Riley Cooper. Penalty on Alan Ball: Defensive Holding, 5 yards (no play)",-0.160,1.200
2,3:39,1,10,PHI 34,17,0,LeSean McCoy left end for 5 yards (tackle by Paul Posluszny),1.200,1.330
2,3:15,2,5,PHI 39,17,0,Nick Foles sacked by Sen'Derrick Marks for -6 yards,1.330,-0.160
2,2:36,3,11,PHI 33,17,0,"Nick Foles pass complete short right to Jeremy Maclin for 7 yards (tackle by Will Blackmon). Penalty on Will Blackmon: Illegal Contact, 5 yards (no play)",-0.160,1.470
2,2:27,1,10,PHI 38,17,0,Nick Foles pass incomplete deep left intended for Jeremy Maclin (defended by Jonathan Cyprien),1.470,0.920
2,2:21,2,10,PHI 38,17,0,Nick Foles pass incomplete deep left intended for Riley Cooper,0.920,0.230
2,2:16,3,10,PHI 38,17,0,Nick Foles pass complete short right to Jeremy Maclin for 11 yards (tackle by Dwayne Gratz),0.230,2.190
2,2:00,1,10,PHI 49,17,0,Nick Foles pass complete short right to LeSean McCoy for 12 yards (tackle by Paul Posluszny),2.190,2.980
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,1:38,1,10,JAX 39,17,0,"Nick Foles sacked by Andre Branch for -10 yards. Nick Foles fumbles (forced by Andre Branch), recovered by Nick Foles at PHI-44. Penalty on Todd Herremans: Offensive Holding (Declined)",2.980,0.140
2,1:29,2,27,PHI 44,17,0,Nick Foles pass complete short left to Jeff Maehl for 12 yards (tackle by Alan Ball),0.140,1.090
2,1:07,3,15,JAX 44,17,0,"Nick Foles pass complete short middle to Darren Sproles for 3 yards (tackle by Geno Hayes). Penalty on Chris Clemons: Defensive Offside, 5 yards (no play)",1.090,1.750
2,1:04,3,10,JAX 39,17,0,Nick Foles pass incomplete deep right intended for Jeremy Maclin,1.750,0.660
2,0:57,4,10,JAX 39,17,0,"Donnie Jones punts 30 yards, fair catch by Mike Brown",0.660,0.380
2,0:50,1,10,JAX 9,17,0,Jordan Todman left end for no gain (tackle by Bennie Logan),-0.380,-0.380
2,0:45,1,10,JAX 9,17,0,Timeout #1 by Philadelphia Eagles,-0.380,-0.780
2,0:45,2,10,JAX 9,17,0,Jordan Todman right end for 1 yard (tackle by Cedric Thornton),-0.780,-0.780
2,0:41,2,10,JAX 9,17,0,Timeout #2 by Philadelphia Eagles,-0.780,-1.300
2,0:41,3,9,JAX 10,17,0,Jordan Todman right tackle for 5 yards (tackle by DeMeco Ryans),-1.300,-1.300
2,0:36,3,9,JAX 10,17,0,Timeout #3 by Philadelphia Eagles,-1.300,-2.440
2,0:36,4,4,JAX 15,17,0,"Bryan Anger punts 49 yards, fair catch by Darren Sproles",-2.440,-1.330
2,0:28,1,10,PHI 36,17,0,Nick Foles pass complete short right to LeSean McCoy for 10 yards (tackle by Josh Evans),1.330,1.990
2,0:12,1,10,PHI 46,17,0,Nick Foles spiked the ball,1.990,1.450
2,0:07,2,10,PHI 46,17,0,Nick Foles pass complete short right to LeSean McCoy for 4 yards (tackle by Dwayne Gratz),1.450,1.290
2,0:04,3,6,,17,0,Nick Foles pass incomplete deep middle intended for Jeremy Maclin,1.290,-0.060
Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,17,0,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,PHI 20,17,0,Nick Foles pass incomplete deep left intended for Riley Cooper,0.280,-0.270
3,14:55,2,10,PHI 20,17,0,Nick Foles pass complete short left to Riley Cooper for 3 yards (tackle by Sen'Derrick Marks),-0.270,-0.560
3,14:31,3,7,PHI 23,17,0,Nick Foles pass complete short right to Jeremy Maclin for 8 yards (tackle by Paul Posluszny),-0.560,1.000
3,14:09,1,10,PHI 31,17,0,LeSean McCoy right end for -2 yards (tackle by LaRoy Reynolds and Paul Posluszny),1.000,0.190
3,13:42,2,12,PHI 29,17,0,Nick Foles pass complete short left to Riley Cooper for 9 yards (tackle by Alan Ball),0.190,0.700
3,13:20,3,3,PHI 38,17,0,Nick Foles pass complete short right to Brent Celek for 4 yards (tackle by LaRoy Reynolds and Dwayne Gratz),0.700,1.730
3,12:51,1,10,PHI 42,17,0,Darren Sproles left guard for 1 yard (tackle by LaRoy Reynolds),1.730,1.320
3,12:19,2,9,PHI 43,17,0,Nick Foles pass incomplete short middle intended for Jordan Matthews,1.320,0.630
3,12:15,3,9,PHI 43,17,0,Nick Foles pass complete short right to Darren Sproles for 8 yards (tackle by J.T. Thomas),0.630,0.000
3,11:46,4,1,JAX 49,17,6,"Darren Sproles up the middle for 49 yards, touchdown",0.000,7.000
3,11:46,,,JAX 2,17,7,Cody Parkey kicks extra point good,0.000,0.000
3,11:46,,,PHI 35,17,7,"Cody Parkey kicks off 69 yards, returned by Jordan Todman for 18 yards (tackle by Chris Maragos)",0.000,0.280
3,11:40,1,10,JAX 14,17,7,Toby Gerhart right end for 2 yards (tackle by Fletcher Cox),-0.280,-0.510
3,11:03,2,8,JAX 16,17,7,Chad Henne pass complete short right to Marcedes Lewis for no gain,-0.510,-1.160
3,10:19,3,8,JAX 16,17,7,Chad Henne pass complete short right to Jordan Todman for 5 yards (tackle by Mychal Kendricks),-1.160,-1.960
3,9:42,4,3,JAX 21,17,7,"Bryan Anger punts 41 yards, returned by Darren Sproles for 22 yards (tackle by Carson Tinker)",-1.960,-2.920
3,9:29,1,10,JAX 40,17,7,Nick Foles pass incomplete deep left intended for Zach Ertz,2.920,2.370
3,9:26,2,10,JAX 40,17,7,LeSean McCoy up the middle for 8 yards (tackle by Roy Miller),2.370,2.740
3,9:01,3,2,JAX 32,17,7,LeSean McCoy right end for 2 yards (tackle by Will Blackmon),2.740,3.580
3,8:31,1,10,JAX 30,17,7,Nick Foles pass complete short middle to LeSean McCoy for 6 yards (tackle by Telvin Smith),3.580,3.840
3,7:57,2,4,JAX 24,17,7,Nick Foles pass complete short right to Brent Celek for -1 yards (tackle by Telvin Smith),3.840,3.010
3,7:27,3,5,JAX 25,17,13,"Nick Foles pass complete deep middle to Zach Ertz for 25 yards, touchdown",3.010,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
3,7:27,,,JAX 2,17,14,Cody Parkey kicks extra point good,0.000,0.000
3,7:27,,,PHI 35,17,14,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
3,7:19,1,10,JAX 20,17,14,Chad Henne pass incomplete short left intended for Marqise Lee (defended by Mychal Kendricks),0.280,-0.270
3,7:16,2,10,JAX 20,17,14,Chad Henne pass incomplete short left intended for Jordan Todman,-0.270,-0.960
3,7:12,3,10,JAX 20,17,14,Chad Henne pass incomplete short right intended for Mike Brown,-0.960,-2.030
3,7:09,4,10,JAX 20,17,14,"Bryan Anger punts 53 yards, returned by Darren Sproles for 22 yards (tackle by Will Ta'ufo'ou)",-2.030,-2.190
3,6:57,1,10,PHI 49,17,14,Nick Foles pass complete short left to LeSean McCoy for 5 yards (tackle by Geno Hayes),2.190,2.320
3,6:18,2,5,JAX 46,17,14,LeSean McCoy up the middle for -3 yards (tackle by Andre Branch),2.320,1.220
3,5:51,3,8,JAX 49,17,14,Nick Foles pass incomplete deep left intended for Riley Cooper,1.220,0.000
3,5:45,4,8,JAX 49,17,14,"Donnie Jones punts 39 yards, returned by Mike Brown for 9 yards (tackle by Nolan Carroll)",0.000,-0.150
3,5:37,1,10,JAX 19,17,14,Chad Henne pass incomplete short right intended for Mickey Shuler,0.150,-0.390
3,5:30,2,10,JAX 19,17,14,Chad Henne pass incomplete deep right intended for Allen Hurns,-0.390,-0.390
3,5:25,2,10,JAX 19,17,14,Timeout #1 by Jacksonville Jaguars,-0.390,-1.070
3,5:25,3,10,JAX 19,17,14,Chad Henne pass incomplete deep right intended for Marqise Lee (defended by Bradley Fletcher),-1.070,-2.140
3,5:17,4,10,JAX 19,17,14,Bryan Anger punts 41 yards,-2.140,-1.600
3,5:09,1,10,PHI 40,17,14,"Nick Foles pass complete short left to Riley Cooper for 13 yards (tackle by Alan Ball). Penalty on Alan Ball: Illegal Contact (Declined), Penalty on Chris Clemons: Defensive Holding (Declined)",1.600,2.460
3,4:51,1,10,JAX 47,17,14,LeSean McCoy left end for 8 yards (tackle by Josh Evans),2.460,2.990
3,4:27,2,2,JAX 39,17,14,Darren Sproles left end for -3 yards (tackle by Chris Prosinski),2.990,1.880
3,3:59,3,5,JAX 42,17,14,Nick Foles pass complete short left to Darren Sproles for -2 yards (tackle by Chris Clemons and Sen'Derrick Marks),1.880,0.330
3,3:25,4,7,JAX 44,17,14,"Donnie Jones punts 29 yards, fair catch by Mike Brown",0.330,0.220
3,3:18,1,10,JAX 15,17,14,Toby Gerhart right end for 3 yards (tackle by Brandon Graham and DeMeco Ryans),-0.220,-0.280
3,2:54,2,7,JAX 18,17,14,Chad Henne pass complete short left to Marqise Lee for 8 yards (tackle by Mychal Kendricks),-0.280,0.670
3,2:23,1,10,JAX 26,17,14,Toby Gerhart left tackle for -3 yards (tackle by Brandon Graham),0.670,-0.280
3,1:44,2,13,JAX 23,17,14,Toby Gerhart left end for 4 yards (tackle by Fletcher Cox),-0.280,-0.280
3,0:57,2,13,JAX 23,17,14,Timeout #2 by Jacksonville Jaguars,-0.280,-0.430
3,0:57,3,9,JAX 27,17,14,Chad Henne pass complete short right to Marqise Lee for 13 yards (tackle by Brandon Boykin),-0.430,1.600
3,0:29,1,10,JAX 40,17,14,Chad Henne pass incomplete short left intended for Marcedes Lewis,1.600,1.050
3,0:24,2,10,JAX 40,17,14,Chad Henne pass incomplete short left intended for Mike Brown,1.050,0.370
3,0:19,3,10,JAX 40,17,14,Chad Henne pass incomplete,0.370,-0.720
3,0:17,4,10,JAX 40,17,14,"Bryan Anger punts 50 yards, returned by Darren Sproles for 2 yards (tackle by Jordan Todman)",-0.720,0.350
3,0:05,1,10,PHI 12,17,14,Nick Foles pass complete short right to LeSean McCoy for 4 yards (tackle by Paul Posluszny),-0.350,-0.370
Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,PHI 16,17,14,LeSean McCoy left end for no gain (tackle by Paul Posluszny),-0.370,-0.950
4,14:30,3,6,PHI 16,17,14,Nick Foles pass complete short right to Jordan Matthews for 7 yards (tackle by Will Blackmon),-0.950,0.480
4,14:12,1,10,PHI 23,17,14,Nick Foles pass incomplete short right intended for Darren Sproles,0.480,-0.070
4,14:05,2,10,PHI 23,17,14,Darren Sproles up the middle for 10 yards (tackle by Geno Hayes),-0.070,1.140
4,13:44,1,10,PHI 33,17,14,Darren Sproles left end for 5 yards (tackle by Sen'Derrick Marks),1.140,1.270
4,13:19,2,5,PHI 38,17,14,LeSean McCoy up the middle for 6 yards (tackle by Paul Posluszny),1.270,1.860
4,12:42,1,10,PHI 44,17,14,Nick Foles pass complete deep right to Zach Ertz for 26 yards (tackle by Chris Prosinski),1.860,3.580
4,12:21,1,10,JAX 30,17,14,"Nick Foles pass incomplete short right intended for Jeremy Maclin. Penalty on Andrew Gardner: Offensive Holding, 10 yards (no play)",3.580,2.920
4,12:21,1,20,JAX 40,17,14,Darren Sproles right end for 6 yards,2.920,2.490
4,11:38,2,14,JAX 34,17,14,Nick Foles pass incomplete short middle intended for Darren Sproles,2.490,1.820
4,11:38,3,14,JAX 34,17,14,Darren Sproles up the middle for 1 yard (tackle by Paul Posluszny),1.820,1.150
4,11:00,4,13,JAX 33,17,17,Cody Parkey 51 yard field goal good,1.150,3.000
4,11:00,,,PHI 35,17,17,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
4,10:55,1,10,JAX 20,17,17,"Chad Henne pass incomplete deep middle intended for Marqise Lee. Penalty on Bradley Fletcher: Defensive Holding, 5 yards (no play)",0.280,0.610
4,10:49,1,10,JAX 25,17,17,Chad Henne right end for 8 yards (tackle by Mychal Kendricks),0.610,1.140
4,10:21,2,2,JAX 33,17,17,Toby Gerhart right end for 1 yard (tackle by Trent Cole),1.140,0.560
4,9:41,3,1,JAX 34,17,17,Chad Henne pass complete short left to Marcedes Lewis for 2 yards (tackle by Earl Wolff),0.560,1.330
4,9:11,1,10,JAX 36,17,17,Toby Gerhart up the middle for 9 yards (tackle by Vinny Curry),1.330,2.010
4,8:45,2,1,JAX 45,17,17,Toby Gerhart up the middle for 7 yards (tackle by Beau Allen),2.010,2.390
4,8:09,1,10,PHI 48,17,17,Toby Gerhart right tackle for 2 yards (tackle by Vinny Curry),2.390,2.120
4,7:32,2,8,PHI 46,17,17,Chad Henne pass incomplete deep right intended for Marcedes Lewis,2.120,1.420
4,7:27,3,8,PHI 46,17,17,Chad Henne pass incomplete short middle intended for Allen Hurns (defended by Malcolm Jenkins),1.420,0.200
,,,,,,,"PHI challenged the incomplete pass ruling, and the play was upheld.",,
4,7:22,4,8,PHI 46,17,17,"Bryan Anger punts 29 yards. Penalty on Josh Evans: Chop Block, 15 yards",0.200,-1.070
4,7:10,1,10,PHI 32,17,23,"Nick Foles pass complete deep middle to Jeremy Maclin for 68 yards, touchdown",1.070,7.000
4,7:10,,,JAX 2,17,24,Cody Parkey kicks extra point good,0.000,0.000
4,7:10,,,PHI 35,17,24,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
4,6:57,1,10,JAX 20,17,24,Chad Henne pass incomplete short right intended for Marqise Lee,0.280,-0.270
4,6:52,2,10,JAX 20,17,24,Chad Henne pass incomplete short right intended for Allen Hurns (defended by DeMeco Ryans),-0.270,-0.270
4,6:48,2,10,JAX 20,17,24,Timeout #3 by Jacksonville Jaguars,-0.270,-0.960
4,6:48,3,10,JAX 20,17,24,Chad Henne pass complete short left to Mike Brown for 9 yards (tackle by Brandon Boykin),-0.960,-1.440
4,6:01,4,1,JAX 29,17,24,Chad Henne pass incomplete short right intended for Marcedes Lewis,-1.440,-3.640
4,5:56,1,10,JAX 29,17,24,LeSean McCoy right tackle for no gain (tackle by LaRoy Reynolds),3.640,3.100
4,5:10,2,10,JAX 29,17,24,LeSean McCoy left tackle for -3 yards (tackle by Geno Hayes),3.100,2.020
4,4:25,3,13,JAX 32,17,24,LeSean McCoy right end for 19 yards (tackle by Winston Guy and Josh Evans),2.020,4.710
4,3:37,1,10,JAX 13,17,24,LeSean McCoy left tackle for 1 yard (tackle by Chris Clemons),4.710,4.220
4,2:56,2,9,JAX 12,17,24,Darren Sproles up the middle for 4 yards (tackle by LaRoy Reynolds),4.220,4.100
4,2:13,3,5,JAX 8,17,24,Darren Sproles right guard for -1 yards (tackle by LaRoy Reynolds),4.100,2.850
4,2:00,4,6,JAX 9,17,27,Cody Parkey 28 yard field goal good,2.850,3.000
4,2:00,,,PHI 35,17,27,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
4,1:57,1,10,JAX 20,17,27,Chad Henne pass complete short left to Marcedes Lewis for 11 yards (tackle by DeMeco Ryans),0.280,1.000
4,1:33,1,10,JAX 31,17,33,"Chad Henne sacked by Trent Cole for -8 yards. Chad Henne fumbles (forced by Trent Cole), recovered by Fletcher Cox at JAX-17 and returned for 17 yards, touchdown",1.000,-7.000
4,1:23,,,JAX 2,17,34,Cody Parkey kicks extra point good,0.000,0.000
4,1:23,,,PHI 35,17,34,"Cody Parkey kicks off 70 yards, returned by Jordan Todman for 18 yards (tackle by Earl Wolff)",0.000,0.320
4,1:19,1,10,JAX 13,17,34,"Chad Henne pass incomplete short right intended for Jordan Todman. Penalty on Jacques McClendon: Ineligible Downfield Pass, 5 yards (no play)",-0.320,-0.570
4,1:14,1,15,JAX 8,17,34,Chad Henne pass complete short left to Marqise Lee for 6 yards (tackle by Brandon Boykin),-0.570,-0.680
4,0:58,2,9,JAX 14,17,34,Chad Henne pass complete short left to Toby Gerhart for 11 yards (tackle by Connor Barwin),-0.680,0.610
4,0:43,1,10,JAX 25,17,34,Chad Henne pass complete short left to Toby Gerhart for 4 yards,0.610,0.600
4,0:40,2,6,JAX 29,17,34,Chad Henne pass complete short middle to Marqise Lee for 18 yards (tackle by Mychal Kendricks),0.600,2.060
4,0:17,1,10,JAX 47,17,34,Chad Henne pass complete short middle to Marqise Lee for 12 yards (tackle by Malcolm Jenkins),2.060,2.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
