Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
2,15:00,3,5,BAL 8,0,0,Tom Brady sacked by Marques Douglas for -2 yards,4.100,2.760
2,14:34,4,7,BAL 10,0,3,Adam Vinatieri 28 yard field goal good,2.760,3.000
2,14:34,,,NWE 30,0,3,"Adam Vinatieri kicks off 66 yards, returned by B.J. Sams for 27 yards (tackle by Patrick Pass). Penalty on Bart Scott: Illegal Block Above the Waist, 10 yards",0.000,-0.350
2,14:24,1,10,BAL 12,0,3,Chester Taylor right guard for 3 yards (tackle by Vince Wilfork and Ted Johnson),-0.350,-0.500
2,13:51,2,7,BAL 15,0,3,Kyle Boller pass complete to Daniel Wilcox for 20 yards (tackle by Don Davis and Rodney Harrison),-0.500,1.270
2,13:16,1,10,BAL 35,0,3,Chester Taylor left guard for no gain (tackle by Vince Wilfork),1.270,0.720
2,12:39,2,10,BAL 35,0,3,"Kyle Boller pass complete to Chester Taylor for 12 yards (tackle by Rodney Harrison). Penalty on Alan Ricard: Offensive Holding, 10 yards",0.720,0.990
2,12:00,2,8,BAL 37,0,3,Jamel White for 1 yard (tackle by Tedy Bruschi and Vince Wilfork),0.990,0.430
2,11:28,3,7,BAL 38,0,3,Kyle Boller pass incomplete intended for Clarence Moore,0.430,-0.850
2,11:25,4,7,BAL 38,0,3,"Nick Murphy punts 35 yards, out of bounds. Penalty on Larry Izzo: Offensive Holding, 10 yards",-0.850,0.060
2,11:18,1,10,NWE 17,0,3,Tom Brady pass complete to David Givens for 3 yards (tackle by Terrell Suggs),-0.060,-0.060
2,10:42,2,7,NWE 20,0,3,Tom Brady pass incomplete intended for Corey Dillon,-0.060,-0.870
2,10:37,3,7,NWE 20,0,3,Tom Brady pass incomplete intended for David Patten,-0.870,-2.030
2,10:35,4,7,NWE 20,0,3,"Josh Miller punts 42 yards, returned by B.J. Sams for 11 yards",-2.030,-2.190
2,10:25,1,10,BAL 49,0,3,Kyle Boller left guard for 4 yards (tackle by Tedy Bruschi),2.190,2.190
2,9:54,2,6,NWE 47,0,3,Chester Taylor middle for 8 yards (tackle by Rodney Harrison and Mike Vrabel),2.190,2.980
2,9:18,1,10,NWE 39,0,3,Kyle Boller pass incomplete intended for Travis Taylor (defended by Eugene Wilson),2.980,2.440
2,9:12,2,10,NWE 39,0,3,Chester Taylor right guard for 4 yards (tackle by Rodney Harrison and Dexter Reid),2.440,2.280
2,8:32,3,6,NWE 35,0,3,Kyle Boller pass complete to Randy Hymes for no gain,2.280,0.970
2,7:51,4,6,NWE 35,0,3,"Nick Murphy punts 24 yards, fair catch by Kevin Faulk",0.970,0.370
2,7:45,1,10,NWE 11,0,3,Corey Dillon left tackle for 5 yards (tackle by Anthony Weaver and Kelly Gregg),-0.370,-0.300
2,7:08,2,5,NWE 16,0,3,Corey Dillon left guard for 4 yards (tackle by Ray Lewis and Kelly Gregg),-0.300,-0.370
2,6:27,3,1,NWE 20,0,3,Corey Dillon left tackle for 2 yards (tackle by Adalius Thomas and Ed Reed),-0.370,0.410
2,5:53,1,10,NWE 22,0,3,Corey Dillon right end for 4 yards (tackle by Gary Baxter),0.410,0.410
2,5:30,2,6,NWE 26,0,3,Tom Brady pass complete to David Givens for 6 yards (tackle by Raymond Walls and Chad Williams),0.410,1.070
2,5:06,1,10,NWE 32,0,3,"Tom Brady pass complete to David Givens for 15 yards (tackle by Corey Fuller). Penalty on Kevin Faulk: Offensive Holding, 10 yards (no play)",1.070,0.410
2,4:40,1,20,NWE 22,0,3,Tom Brady pass incomplete intended for David Patten,0.410,-0.820
2,4:33,2,20,NWE 22,0,3,Tom Brady pass complete to Daniel Graham for 2 yards (tackle by Ed Reed),-0.820,-1.220
2,3:49,3,18,NWE 24,0,3,Tom Brady pass complete to Deion Branch for 15 yards (tackle by Raymond Walls),-1.220,-0.780
2,3:05,4,3,NWE 39,0,3,"Josh Miller punts 16 yards, out of bounds",-0.780,-1.930
2,3:00,1,10,BAL 45,0,3,Kyle Boller pass incomplete intended for Travis Taylor (defended by Vince Wilfork),1.930,1.380
2,2:56,2,10,BAL 45,0,3,Chester Taylor left guard for 5 yards (tackle by Rosevelt Colvin and Rodney Harrison),1.380,1.360
2,2:17,3,5,NWE 50,0,3,Kyle Boller pass incomplete intended for Travis Taylor,1.360,-0.060
2,2:13,4,5,NWE 50,0,3,"Nick Murphy punts 50 yards, touchback",-0.060,-0.280
2,2:07,1,10,NWE 20,0,3,Tom Brady for no gain. Dan Koppen fumbles,0.280,-1.180
2,2:00,2,16,NWE 14,0,3,Kevin Faulk right guard for 6 yards (tackle by Ray Lewis and Jarret Johnson),-1.180,-0.960
2,1:52,2,16,NWE 14,,,Timeout #1 by Baltimore Ravens,-1.180,-0.960
2,1:52,3,10,NWE 20,0,3,Tom Brady pass incomplete intended for David Patten,-0.960,-2.030
2,1:47,4,10,NWE 20,0,3,"Josh Miller punts 37 yards, returned by B.J. Sams for 9 yards (tackle by Larry Izzo)",-2.030,-2.390
2,1:36,1,10,NWE 48,0,3,"Penalty on Ethan Brooks: False Start, 5 yards (no play)",2.390,2.060
2,1:36,1,15,BAL 47,0,3,Kyle Boller sacked by Rosevelt Colvin for -12 yards,2.060,-0.450
2,1:26,1,15,BAL 47,,,Timeout #1 by New England Patriots,2.060,-0.450
2,1:26,2,27,BAL 35,0,3,Kyle Boller pass incomplete intended for Travis Taylor,-0.450,-1.090
2,1:23,3,27,BAL 35,0,3,Kyle Boller pass incomplete intended for Travis Taylor (defended by Randall Gay),-1.090,-1.040
2,1:17,4,27,BAL 35,0,3,"Nick Murphy punts 45 yards, muffed catch by Kevin Faulk, recovered by Kevin Faulk and returned for -1 yards (tackle by Roderick Green)",-1.040,0.140
2,1:08,1,10,NWE 16,0,3,Tom Brady kneels for -1 yards,-0.140,-0.780
2,0:56,1,10,NWE 16,,,Timeout #2 by Baltimore Ravens,-0.140,-0.780
2,0:56,2,11,NWE 15,0,3,Corey Dillon for 3 yards,-0.780,-1.070
2,0:51,3,8,NWE 18,0,3,Corey Dillon left tackle for 2 yards (tackle by Marques Douglas and Adalius Thomas),-1.070,-2.030
2,0:46,3,8,NWE 18,,,Timeout #3 by Baltimore Ravens,-1.070,-2.030
2,0:46,4,6,NWE 20,0,3,"Josh Miller punts 38 yards, returned by B.J. Sams for 12 yards (tackle by Matt Chatham). Penalty on Matt Chatham: Face Mask (15 Yards), 15 yards, Penalty on Tedy Bruschi: Unsportsmanlike Conduct, 15 yards",-2.030,-4.510
2,0:36,1,10,NWE 16,0,3,Kyle Boller pass complete to Chester Taylor for -1 yards (tackle by Eugene Wilson),4.510,3.770
2,0:30,2,11,NWE 17,0,3,Kyle Boller pass complete to Daniel Wilcox for 10 yards (tackle by Mike Vrabel and Don Davis),3.770,4.850
2,0:23,3,1,NWE 7,0,3,Kyle Boller pass complete to Clarence Moore for 3 yards (tackle by Eugene Wilson),4.850,6.280
2,0:10,1,4,NWE 4,0,3,Kyle Boller spiked the ball,6.280,5.340
2,0:09,2,4,NWE 4,0,3,Kyle Boller pass incomplete intended for Randy Hymes,5.340,4.490
2,0:05,3,4,NWE 4,3,3,Matt Stover 22 yard field goal good,4.490,3.000
2,0:05,,,BAL 30,3,3,"Matt Stover kicks off 56 yards, returned by Patrick Pass for 18 yards (tackle by Daniel Wilcox)",0.000,0.940
Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,3,3,"Wade Richey kicks off 56 yards, returned by Bethel Johnson for 27 yards (tackle by Jamel White)",0.000,1.660
3,14:52,1,10,NWE 41,3,3,"Corey Dillon middle for 4 yards (tackle by Anthony Weaver and Ray Lewis). Penalty on Kelly Gregg: Defensive Holding, 5 yards",1.660,2.260
3,14:33,1,10,,3,3,Tom Brady pass incomplete intended for David Givens,2.260,1.710
3,14:27,2,10,,3,3,Tom Brady pass complete to David Givens for 14 yards (tackle by Will Demps),1.710,3.180
3,13:53,1,10,BAL 36,3,3,Corey Dillon left end for 3 yards (tackle by Ray Lewis),3.180,3.040
3,13:28,2,7,BAL 33,3,3,Tom Brady pass complete to David Givens for 9 yards (tackle by Ray Lewis),3.040,3.970
3,12:55,1,10,BAL 24,3,3,Corey Dillon middle for 7 yards (tackle by Jarret Johnson),3.970,4.460
3,12:15,2,3,BAL 17,3,3,Corey Dillon middle for -5 yards (tackle by Ed Reed),4.460,3.010
3,11:32,3,8,BAL 22,3,3,Tom Brady pass incomplete intended for David Patten,3.010,1.990
3,11:27,4,8,BAL 22,3,6,Adam Vinatieri 40 yard field goal good,1.990,3.000
3,11:27,,,NWE 30,3,6,"Adam Vinatieri kicks off 63 yards, returned by B.J. Sams for 13 yards (tackle by Larry Izzo). Penalty on Jamel White: Illegal Block Above the Waist, 9 yards",0.000,-0.380
3,11:13,1,10,BAL 9,3,6,Chester Taylor left guard for 3 yards (tackle by Ted Johnson),-0.380,-0.560
3,10:41,2,7,BAL 12,3,6,Chester Taylor right guard for 6 yards (tackle by Rodney Harrison and Tedy Bruschi),-0.560,-0.370
3,10:02,3,1,BAL 18,3,6,Kyle Boller pass complete to Chester Taylor for -5 yards (tackle by Tedy Bruschi),-0.370,-2.490
3,9:21,4,6,BAL 13,3,6,"Nick Murphy punts 48 yards, returned by Troy Brown for 9 yards (tackle by T.J. Slaughter)",-2.490,-2.130
3,9:11,1,10,NWE 48,3,6,Corey Dillon for 9 yards,2.130,2.800
3,8:57,2,1,BAL 43,3,6,Corey Dillon right tackle for 18 yards (tackle by Will Demps and Ed Reed),2.800,3.910
3,8:24,1,10,BAL 25,3,6,Patrick Pass right guard for 2 yards (tackle by Marques Douglas and Anthony Weaver),3.910,3.630
3,7:46,2,8,BAL 23,3,6,"Tom Brady pass complete to David Patten for 23 yards. Penalty on David Patten: Offensive Pass Interference, 10 yards (no play)",3.630,2.280
3,7:41,2,18,BAL 33,3,6,"Tom Brady pass complete to Patrick Pass for 7 yards (tackle by Ray Lewis). Penalty on Joe Andruzzi: Face Mask (15 Yards), 15 yards (no play)",2.280,0.260
3,7:10,2,33,BAL 48,3,6,Tom Brady pass complete to Patrick Pass for 8 yards (tackle by Adalius Thomas and Chad Williams),0.260,0.690
3,6:27,3,25,BAL 40,3,6,Tom Brady pass complete to Patrick Pass for 10 yards (tackle by Ray Lewis and Chad Williams),0.690,1.410
3,5:44,4,15,BAL 30,3,9,Adam Vinatieri 48 yard field goal good,1.410,3.000
3,5:44,,,NWE 30,3,9,"Adam Vinatieri kicks off 57 yards, muffed catch by B.J. Sams, recovered by B.J. Sams and returned for no gain",0.000,0.540
3,5:32,1,10,BAL 24,3,9,Chester Taylor left guard for 2 yards (tackle by Rodney Harrison),0.540,0.270
3,4:58,2,8,BAL 26,3,9,Kyle Boller pass incomplete intended for Travis Taylor (defended by Vince Wilfork),0.270,-0.430
3,4:54,3,8,BAL 26,3,9,Kyle Boller pass incomplete intended for Travis Taylor,-0.430,-1.630
3,4:49,4,8,BAL 26,3,9,"Nick Murphy punts 51 yards, returned by Troy Brown for 14 yards (tackle by Bart Scott). Penalty on Bart Scott: Personal Foul, 15 yards",-1.630,-2.390
3,4:38,1,10,BAL 48,3,9,Corey Dillon middle for 4 yards (tackle by Ma'ake Kemoeatu and Ed Hartwell),2.390,2.390
3,4:03,2,6,BAL 44,3,9,Corey Dillon middle for 5 yards (tackle by Gary Baxter and Ray Lewis),2.390,2.340
3,3:28,3,1,BAL 39,3,9,Corey Dillon left tackle for 3 yards (tackle by Ma'ake Kemoeatu),2.340,3.180
3,2:43,1,10,BAL 36,3,9,Tom Brady pass incomplete intended for David Givens,3.180,2.640
3,2:37,2,10,BAL 36,3,9,"Tom Brady pass incomplete intended for Daniel Graham. Penalty on Adalius Thomas: Defensive Pass Interference, 12 yards (no play)",2.640,3.970
3,2:29,1,10,BAL 24,3,9,Tom Brady pass complete to David Givens for 5 yards (tackle by Ray Lewis and Corey Fuller),3.970,4.120
3,1:54,2,5,BAL 19,3,9,Corey Dillon left tackle for -1 yards (tackle by Ray Lewis and Ed Hartwell),4.120,3.270
3,1:14,3,6,BAL 20,3,9,Tom Brady pass complete to Deion Branch for 15 yards (tackle by Gary Baxter),3.270,6.060
3,0:28,1,5,BAL 5,3,9,Corey Dillon right tackle for 4 yards (tackle by Ray Lewis and Gary Baxter),6.060,5.910
Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,BAL 1,3,15,"Corey Dillon left tackle for 1 yard, touchdown",5.910,7.000
4,15:00,2,,BAL 1,3,17,"Two Point Attempt: Corey Dillon middle, conversion succeeds",1.000,1.000
4,15:00,,,NWE 30,3,17,"Adam Vinatieri kicks off 63 yards, returned by B.J. Sams for 23 yards (tackle by Tully Banta-Cain)",0.000,0.940
4,14:52,1,10,BAL 30,3,17,Kyle Boller sacked by Ted Johnson for -10 yards,0.940,-0.960
4,14:23,2,20,BAL 20,3,23,"Kyle Boller sacked by Tedy Bruschi for -12 yards. Kyle Boller fumbles (forced by Tedy Bruschi), recovered by Jarvis Green at BAL--4, touchdown",-0.960,-7.000
4,14:15,,,BAL 20,3,24,Adam Vinatieri kicks extra point good,0.000,0.000
4,14:15,,,NWE 30,3,24,"Adam Vinatieri kicks off 59 yards, returned by B.J. Sams for 14 yards (tackle by Justin Kurpeikis)",0.000,0.610
4,14:11,1,10,BAL 25,3,24,Chester Taylor left guard for 5 yards (tackle by Rosevelt Colvin and Don Davis),0.610,0.740
4,13:36,2,5,BAL 30,3,24,Chester Taylor middle for 6 yards (tackle by Rodney Harrison and Don Davis),0.740,1.330
4,12:59,1,10,BAL 36,3,24,Kyle Boller pass incomplete intended for Travis Taylor,1.330,0.790
4,12:50,2,10,BAL 36,3,24,Jamel White left guard for 5 yards (tackle by Don Davis),0.790,0.760
4,12:09,3,5,BAL 41,3,24,Kyle Boller pass incomplete intended for Kevin Johnson (defended by Troy Brown),0.760,-0.650
4,12:05,4,5,BAL 41,3,24,"Nick Murphy punts 44 yards, fair catch by Troy Brown",-0.650,0.220
4,11:57,1,10,NWE 15,3,24,Corey Dillon middle for 3 yards (tackle by Adalius Thomas and Ed Hartwell),-0.220,-0.280
4,11:18,2,7,NWE 18,3,24,Corey Dillon left end for 10 yards (tackle by Will Demps and Ray Lewis),-0.280,0.810
4,10:46,1,10,NWE 28,3,24,Corey Dillon right guard for 4 yards (tackle by Adalius Thomas and Jarret Johnson),0.810,0.800
4,10:06,2,6,NWE 32,3,24,Corey Dillon right tackle for 13 yards (tackle by Gary Baxter),0.800,1.930
4,9:37,1,10,NWE 45,3,24,"Patrick Pass left end for 7 yards (tackle by Ed Reed). Penalty on Ed Reed: Face Mask (15 Yards), 15 yards",1.930,3.380
4,9:10,1,10,BAL 33,3,24,Patrick Pass left guard for no gain (tackle by Ed Reed and Ed Hartwell),3.380,2.840
4,8:27,2,10,BAL 33,3,24,Tom Brady pass incomplete intended for Deion Branch,2.840,2.150
4,8:24,3,10,BAL 33,3,24,Corey Dillon left tackle for 1 yard (tackle by Anthony Weaver and Kelly Gregg),2.150,1.240
4,7:39,4,9,BAL 32,3,24,Penalty on Josh Miller: Delay of Game (Declined),1.240,1.240
4,7:39,4,9,BAL 32,3,24,Josh Miller punts 29 yards,1.240,0.380
4,7:29,1,10,BAL 3,3,24,Chester Taylor left guard for no gain (tackle by Ted Johnson and Tedy Bruschi). Penalty on Daniel Wilcox: Illegal Formation (Declined),-0.380,-0.780
4,7:11,2,10,BAL 3,3,24,Chester Taylor left guard for 7 yards (tackle by Randall Gay and Rodney Harrison),-0.780,-0.600
4,6:30,3,3,BAL 10,3,24,Kyle Boller pass complete to Kevin Johnson for 8 yards (tackle by Rodney Harrison),-0.600,0.040
4,5:52,1,10,BAL 18,3,24,Kyle Boller pass incomplete intended for Daniel Wilcox,0.040,-0.490
4,5:47,2,10,BAL 18,3,24,Kyle Boller for no gain. Casey Rabach fumbles,-0.490,-1.170
4,5:41,2,10,BAL 18,,,Timeout #1 by Baltimore Ravens,-0.490,-1.170
4,5:41,3,10,BAL 18,3,24,Kyle Boller sacked by Richard Seymour for -6 yards,-1.170,-2.490
4,5:16,4,16,BAL 12,3,24,"Nick Murphy punts 45 yards, returned by Troy Brown for 5 yards (tackle by Will Demps)",-2.490,-2.130
4,5:06,1,10,NWE 48,3,24,"Patrick Pass middle for 3 yards (tackle by Ed Hartwell). Penalty on Christian Fauria: Offensive Holding, 10 yards (no play)",2.130,1.470
4,4:42,1,20,NWE 38,3,24,Kevin Faulk left end for 3 yards (tackle by Jarret Johnson and Bart Scott),1.470,0.640
4,3:58,2,17,NWE 41,3,24,Kevin Faulk right guard for -2 yards (tackle by Ed Reed),0.640,-0.290
4,3:17,3,19,NWE 39,3,24,Patrick Pass left guard for 3 yards (tackle by Kelly Gregg and Ed Hartwell),-0.290,-0.590
4,2:31,4,16,NWE 42,3,24,Josh Miller punts 32 yards,-0.590,-0.670
4,2:19,1,10,BAL 26,3,24,Kyle Boller pass complete to Chester Taylor for 9 yards (tackle by Larry Izzo),0.670,1.350
4,2:00,2,1,BAL 35,3,24,Kyle Boller pass complete to Clarence Moore for 12 yards (tackle by Je'Rod Cherry and Earthwind Moreland),1.350,2.060
4,1:40,1,10,BAL 47,3,24,Kyle Boller pass incomplete intended for Kevin Johnson,2.060,1.520
4,1:32,2,10,BAL 47,3,24,Kyle Boller pass complete to Kevin Johnson for 5 yards (tackle by Earthwind Moreland),1.520,1.490
4,1:20,3,5,NWE 48,3,24,"Kyle Boller right tackle for 13 yards (tackle by Randall Gay). Penalty on Jonathan Ogden: Offensive Holding, 10 yards (no play)",1.490,0.170
4,1:00,3,15,BAL 42,3,24,Kyle Boller pass incomplete intended for Clarence Moore,0.170,-0.590
4,0:54,4,15,BAL 42,3,24,Kyle Boller pass incomplete intended for Travis Taylor (defended by Dexter Reid),-0.590,-2.790
4,0:48,1,10,BAL 42,3,24,Rohan Davey kneels for -1 yards,2.790,2.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
