Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
2,11:01,2,6,MIN 36,7,17,"Daunte Culpepper middle for 5 yards (tackle by Marcus Robertson). Penalty on Chad Brown: Defensive Offside, 5 yards (no play)",1.070,1.740
2,10:45,2,1,MIN 41,7,17,"Penalty on Lewis Kelly: False Start, 5 yards (no play)",1.740,1.070
2,10:33,2,6,MIN 36,7,17,Michael Bennett left end for no gain (tackle by Antonio Cochran and Chad Brown),1.070,0.370
2,9:49,3,6,MIN 36,7,17,Daunte Culpepper pass complete to D'Wayne Bates for 7 yards (tackle by Willie Williams),0.370,1.800
2,9:04,1,10,MIN 43,7,17,Daunte Culpepper right end for 5 yards (tackle by Ken Lucas),1.800,1.930
2,8:38,2,5,MIN 48,7,17,Michael Bennett right tackle for 4 yards (tackle by Chad Eaton and Isaiah Kacyvenski),1.930,1.750
2,7:58,3,1,SEA 48,7,17,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Ken Lucas),1.750,2.520
2,7:21,1,10,SEA 46,7,17,Doug Chapman right tackle for 10 yards (tackle by Isaiah Kacyvenski),2.520,3.180
2,6:54,1,10,SEA 46,,,Timeout #1 by Seattle Seahawks,2.520,3.180
2,6:54,1,10,SEA 36,7,17,Daunte Culpepper sacked by Rocky Bernard for -2 yards,3.180,2.370
2,6:24,2,12,SEA 38,7,17,Moe Williams right guard for -1 yards (tackle by Willie Williams and Marcus Bell),2.370,1.550
2,5:37,3,13,SEA 39,7,17,Daunte Culpepper pass complete to Moe Williams for 16 yards (tackle by Doug Evans),1.550,4.040
2,4:48,1,10,SEA 23,7,17,Daunte Culpepper pass incomplete intended for Derrick Alexander,4.040,3.500
2,4:41,2,10,SEA 23,7,17,Michael Bennett right tackle for 5 yards (tackle by Isaiah Kacyvenski and Rocky Bernard),3.500,3.490
2,3:58,3,5,SEA 18,7,17,Daunte Culpepper pass complete to Randy Moss for 1 yard (tackle by Marcus Bell and Ken Lucas),3.490,2.390
2,3:17,4,4,SEA 17,10,17,Gary Anderson 35 yard field goal good,2.390,3.000
2,3:17,,,MIN 30,10,17,"Doug Brien kicks off 63 yards, returned by Maurice Morris for 13 yards (tackle by Antonio Wilson)",0.000,0.280
2,3:09,1,10,SEA 20,10,23,"Trent Dilfer pass complete to Shaun Alexander for 80 yards, touchdown",0.280,7.000
2,3:09,,,MIN 20,10,24,Rian Lindell kicks extra point good,0.000,0.000
2,2:47,1,10,MIN 29,10,24,Shaun Alexander left tackle for no gain (tackle by Kenny Mixon and Chris Hovan),3.640,3.100
2,2:15,2,10,MIN 29,10,24,Trent Dilfer pass complete to Darrell Jackson for 26 yards (tackle by Ronnie Bradford),3.100,6.510
2,2:00,1,3,MIN 3,10,30,"Shaun Alexander right tackle for 3 yards, touchdown",6.510,7.000
2,2:00,,,MIN 3,10,31,Rian Lindell kicks extra point good,0.000,0.000
2,2:00,,,SEA 30,10,31,"Rian Lindell kicks off 72 yards, returned by D'Wayne Bates for 15 yards (tackle by Tim Terry). D'Wayne Bates fumbles, recovered by Alex Bannister at MIN-14",0.000,-4.650
2,1:52,1,10,MIN 14,10,37,"Shaun Alexander left tackle for 14 yards, touchdown",4.650,7.000
2,1:52,,,MIN 14,10,38,Rian Lindell kicks extra point good,0.000,0.000
2,1:52,,,SEA 30,10,38,"Rian Lindell kicks off 68 yards, returned by Moe Williams for 27 yards (tackle by Terreal Bierria)",0.000,0.870
2,1:41,1,10,MIN 29,10,38,Moe Williams middle for 1 yard (tackle by Antonio Cochran and Rocky Bernard),0.870,0.460
2,1:15,2,9,MIN 30,10,44,"Daunte Culpepper pass incomplete intended for Randy Moss is intercepted by Reggie Tongue at MIN-46 and returned for 46 yards, touchdown",0.460,-7.000
2,1:15,2,9,MIN 30,10,45,"Penalty on Lamar King: Unsportsmanlike Conduct, 15 yards",0.460,0.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:06,,,MIN 30,10,45,Rian Lindell kicks extra point good,0.000,0.000
2,1:06,,,SEA 15,10,45,"Rian Lindell kicks off 67 yards, returned by Moe Williams for 17 yards (tackle by Orlando Huff)",0.000,1.270
2,1:00,1,10,MIN 35,10,45,Daunte Culpepper for 5 yards (tackle by Marcus Bell),1.270,1.400
2,0:54,2,5,MIN 40,10,45,"Daunte Culpepper pass complete to Derrick Alexander for 12 yards (tackle by Kris Richard). Penalty on Corbin Lacina: Offensive Holding, 10 yards (no play)",1.400,0.050
2,0:45,2,15,MIN 30,10,45,"Daunte Culpepper pass complete to Randy Moss for 14 yards, lateral to Moe Williams for 20 yards (tackle by Marcus Robertson)",0.050,3.180
2,0:36,1,10,SEA 36,10,45,"Daunte Culpepper pass complete to D'Wayne Bates for 10 yards (tackle by Marcus Bell). D'Wayne Bates fumbles (forced by Marcus Bell), ball out of bounds at SEA-26",3.180,3.840
2,0:26,1,10,SEA 36,,,Timeout #2 by Minnesota Vikings,3.180,3.840
2,0:26,1,10,SEA 26,10,45,Daunte Culpepper pass incomplete intended for Byron Chamberlain,3.840,3.300
2,0:17,2,10,SEA 26,10,45,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Marcus Bell),3.300,2.610
2,0:13,3,10,SEA 26,10,45,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Ken Lucas),2.610,1.740
2,0:07,4,10,SEA 26,10,45,Gary Anderson 44 yard field goal no good,1.740,1.140
Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,10,45,"Rian Lindell kicks off 65 yards, returned by Moe Williams for 18 yards (tackle by Alex Bannister)",0.000,0.480
3,14:54,1,10,MIN 23,10,45,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by Isaiah Kacyvenski),0.480,0.740
3,14:17,2,4,MIN 29,10,45,Daunte Culpepper pass complete to Derrick Alexander for 3 yards (tackle by Marcus Robertson),0.740,0.430
3,13:49,3,1,MIN 32,10,45,Daunte Culpepper pass incomplete intended for Derrick Alexander,0.430,-1.240
3,13:49,4,1,MIN 32,10,45,"Kyle Richardson punts 46 yards, fair catch by Bobby Engram",-1.240,-0.410
3,13:38,1,10,SEA 22,10,45,Shaun Alexander right end for no gain (tackle by Corey Chavous),0.410,-0.130
3,12:58,2,10,SEA 22,10,45,Trent Dilfer pass incomplete intended for Shaun Alexander,-0.130,-0.820
3,12:56,3,10,SEA 22,10,45,Trent Dilfer pass incomplete intended for Darrell Jackson,-0.820,-1.900
3,12:54,4,10,SEA 22,10,45,"Jeff Feagles for -8 yards (tackle by Nick Rogers). Jeff Feagles fumbles (forced by Nick Rogers), recovered by Brian Williams at SEA-14 (tackle by D.D. Lewis)",-1.900,-4.650
3,12:42,1,10,SEA 14,10,45,Randy Moss for 11 yards (tackle by Ken Lucas),4.650,6.510
3,12:11,1,3,SEA 3,16,45,"Moe Williams right guard for 3 yards, touchdown",6.510,7.000
3,12:11,,,SEA 3,17,45,Gary Anderson kicks extra point good,0.000,0.000
3,12:11,,,MIN 30,17,45,"Doug Brien kicks off 58 yards, muffed catch by Maurice Morris, recovered by Maurice Morris and returned for no gain",0.000,-0.140
3,11:59,1,10,SEA 16,17,45,Trent Dilfer pass complete to Koren Robinson for 8 yards (tackle by Lance Johnstone),-0.140,0.550
3,11:32,2,2,SEA 24,17,45,Shaun Alexander left tackle for 10 yards (tackle by Ronnie Bradford and Tyrone Carter),0.550,1.200
3,10:51,1,10,SEA 34,17,45,Trent Dilfer pass incomplete intended for Koren Robinson,1.200,0.660
3,10:46,2,10,SEA 34,17,45,Trent Dilfer pass incomplete intended for Shaun Alexander,0.660,-0.030
3,10:43,3,10,SEA 34,17,45,Trent Dilfer pass incomplete intended for Darrell Jackson (defended by Kenny Mixon),-0.030,-1.110
3,10:39,4,10,SEA 34,17,45,"Jeff Feagles punts 27 yards, out of bounds",-1.110,-1.530
3,10:29,1,10,MIN 39,17,45,Daunte Culpepper left end for 20 yards (tackle by Ken Lucas),1.530,2.850
3,10:01,1,10,SEA 41,17,45,Daunte Culpepper pass complete to Michael Bennett for 8 yards (tackle by Isaiah Kacyvenski),2.850,3.390
3,9:27,2,2,SEA 33,17,45,Michael Bennett right tackle for 2 yards (tackle by Chad Eaton and Chad Brown),3.390,3.510
3,9:05,1,10,SEA 31,17,45,Daunte Culpepper pass complete to Derrick Alexander for 12 yards (tackle by Willie Williams),3.510,4.310
3,8:24,1,10,SEA 19,17,45,"Daunte Culpepper pass complete to Chris Walsh for 16 yards (tackle by Kris Richard and Reggie Tongue). Penalty on Matt Birk: Unnecessary Roughness, 15 yards",4.310,4.370
3,7:55,1,10,SEA 18,17,45,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Kris Richard),4.370,3.800
3,7:48,2,10,SEA 18,17,45,Daunte Culpepper pass complete to Moe Williams for 9 yards (tackle by Marcus Bell),3.800,4.740
3,7:10,3,1,SEA 9,17,45,Daunte Culpepper pass incomplete intended for Randy Moss,4.740,2.980
3,7:06,3,1,SEA 9,,,Timeout #1 by Minnesota Vikings,4.740,2.980
3,7:06,4,1,SEA 9,17,45,Daunte Culpepper pass incomplete intended for Derrick Alexander,2.980,0.380
3,7:01,1,10,SEA 9,17,45,Shaun Alexander left tackle for 1 yard (tackle by Jim Nelson),-0.380,-0.710
3,6:19,2,9,SEA 10,17,45,Shaun Alexander left tackle for 2 yards (tackle by Kenny Mixon),-0.710,-1.070
3,5:43,3,7,SEA 12,17,45,Trent Dilfer pass incomplete intended for Koren Robinson,-1.070,-2.490
3,5:38,4,7,SEA 12,17,45,"Jeff Feagles punts 48 yards, returned by D'Wayne Bates for 8 yards (tackle by Terreal Bierria)",-2.490,-2.130
3,5:26,1,10,MIN 48,17,45,Michael Bennett middle for 4 yards (tackle by Marcus Bell and Lamar King),2.130,2.120
3,4:52,2,6,SEA 48,17,45,Daunte Culpepper pass complete to Moe Williams for 5 yards (tackle by Marcus Robertson),2.120,2.080
3,4:36,3,1,SEA 43,17,45,Daunte Culpepper pass complete to Randy Moss for 16 yards (tackle by Marcus Bell),2.080,3.780
3,4:10,1,10,SEA 27,17,45,Daunte Culpepper pass incomplete intended for Randy Moss,3.780,3.230
3,4:05,2,10,SEA 27,17,45,Michael Bennett right tackle for 22 yards (tackle by Reggie Tongue),3.230,6.060
3,3:27,1,5,SEA 5,17,45,Michael Bennett left guard for 2 yards (tackle by Chad Brown and Isaiah Kacyvenski),6.060,5.530
3,2:45,2,3,SEA 3,17,45,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Ken Lucas),5.530,4.720
3,2:43,3,3,SEA 3,17,45,Daunte Culpepper pass incomplete intended for Randy Moss,4.720,3.040
3,2:37,4,3,SEA 3,17,45,Daunte Culpepper sacked by Chad Brown for -2 yards,3.040,0.380
3,2:32,1,10,SEA 5,17,45,Trent Dilfer pass complete to Koren Robinson for 2 yards (tackle by Lorenzo Bromell),-0.380,-0.630
3,1:50,2,8,SEA 7,17,45,Trent Dilfer pass incomplete intended for Darrell Jackson,-0.630,-1.190
3,1:46,3,8,SEA 7,17,45,Trent Dilfer pass incomplete intended for Bobby Engram,-1.190,-2.490
3,1:40,4,8,SEA 7,17,45,Jeff Feagles punts 47 yards,-2.490,-1.990
3,1:28,1,10,MIN 46,17,45,Daunte Culpepper pass complete to Moe Williams for 6 yards (tackle by Doug Evans),1.990,2.260
3,1:22,2,4,SEA 48,17,45,Daunte Culpepper pass complete to Byron Chamberlain for 14 yards (tackle by Willie Williams),2.260,3.310
3,0:59,1,10,SEA 34,17,45,Daunte Culpepper pass incomplete intended for Derrick Alexander (defended by Willie Williams),3.310,2.770
3,0:52,2,10,SEA 34,17,45,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Doug Evans),2.770,2.080
3,0:47,3,10,SEA 34,17,45,Daunte Culpepper pass complete to D'Wayne Bates for 10 yards (tackle by Ken Lucas),2.080,3.970
3,0:19,1,10,SEA 24,17,45,Michael Bennett middle for 3 yards (tackle by Marcus Bell and Chad Brown),3.970,3.840
Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,SEA 21,17,45,Daunte Culpepper pass incomplete intended for Byron Chamberlain,3.840,3.140
4,14:56,3,7,SEA 21,17,45,Daunte Culpepper sacked by Rocky Bernard for -13 yards,3.140,1.060
4,14:31,3,7,SEA 21,,,Timeout #1 by Seattle Seahawks,3.140,1.060
4,14:31,4,20,SEA 34,17,45,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Ken Lucas),1.060,-1.200
4,14:25,1,10,SEA 34,17,45,Shaun Alexander right end for -5 yards (tackle by Jim Nelson),1.200,-0.020
4,13:47,2,15,SEA 29,17,45,Trent Dilfer pass incomplete intended for Bobby Engram (defended by Brian Williams),-0.020,-0.690
4,13:42,3,15,SEA 29,17,45,Shaun Alexander left end for 1 yard (tackle by Tyrone Carter),-0.690,-1.370
4,13:08,4,14,SEA 30,17,45,"Jeff Feagles punts 36 yards, returned by D'Wayne Bates for 11 yards (tackle by Tim Terry)",-1.370,-1.930
4,13:00,1,10,MIN 45,17,45,Daunte Culpepper pass complete to Derrick Alexander for 5 yards (tackle by Kris Richard),1.930,2.060
4,12:33,2,5,,17,45,Daunte Culpepper pass complete to Michael Bennett for 12 yards (tackle by Marcus Bell),2.060,3.050
4,12:03,1,10,SEA 38,17,45,Daunte Culpepper pass incomplete intended for Michael Bennett (defended by Anton Palepoi),3.050,2.510
4,11:58,2,10,SEA 38,17,45,"Daunte Culpepper sacked by Anton Palepoi for -7 yards. Daunte Culpepper fumbles (forced by Anton Palepoi), recovered by Daunte Culpepper at SEA-45",2.510,0.890
4,11:51,2,10,SEA 38,,,Timeout #2 by Minnesota Vikings,2.510,0.890
4,11:51,3,17,SEA 45,17,45,Daunte Culpepper pass complete to Michael Bennett for 20 yards (tackle by Kris Richard and Reggie Tongue),0.890,3.910
4,11:14,1,10,SEA 25,17,45,Michael Bennett right end for 5 yards (tackle by Marcus Bell and Anton Palepoi),3.910,4.040
4,10:47,2,5,SEA 20,17,45,Daunte Culpepper pass incomplete intended for D'Wayne Bates,4.040,3.340
4,10:40,3,5,SEA 20,17,45,Moe Williams middle for 9 yards (tackle by Marcus Robertson and Doug Evans),3.340,4.840
4,10:14,1,10,SEA 11,17,45,Daunte Culpepper pass complete to Randy Moss for 2 yards (tackle by Reggie Tongue),4.840,4.510
4,9:44,2,8,SEA 9,17,45,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",4.510,3.690
4,9:28,2,13,SEA 14,17,45,Daunte Culpepper pass complete to Byron Chamberlain for 9 yards (tackle by Isaiah Kacyvenski),3.690,4.440
4,9:00,3,4,SEA 5,23,45,"Moe Williams for 5 yards, touchdown",4.440,7.000
4,9:00,3,,SEA 5,23,45,"Two Point Attempt: Daunte Culpepper, conversion fails. Penalty on Daunte Culpepper: Illegal Forward Pass, Penalty on Everett Lindsay: Offensive Holding (Declined)",1.000,-1.000
4,9:00,,,MIN 30,23,45,"Doug Brien kicks onside 12 yards, recovered by D.D. Lewis and returned for 11 yards. Penalty on D.D. Lewis: Offensive Offside, 5 yards (no play)",0.000,0.000
4,9:00,,,MIN 35,23,45,"Doug Brien kicks onside 16 yards, recovered by Itula Mili",0.000,-2.190
4,8:50,1,10,SEA 49,23,45,Shaun Alexander middle for 4 yards (tackle by Lance Johnstone and Greg Biekert),2.190,2.190
4,8:07,2,6,MIN 47,23,45,Shaun Alexander middle for 1 yard (tackle by Kenny Mixon and Lance Johnstone),2.190,1.620
4,7:21,3,5,MIN 46,23,45,Koren Robinson right end for 11 yards (tackle by Corey Chavous),1.620,3.250
4,6:53,1,10,MIN 35,23,45,Shaun Alexander left end for 6 yards (tackle by Greg Biekert and Chuck Wiley),3.250,3.510
4,6:07,2,4,MIN 29,23,45,Shaun Alexander right guard for 4 yards (tackle by Brian Russell),3.510,3.910
4,5:22,1,10,MIN 25,23,45,"Mack Strong middle for 9 yards (tackle by Greg Biekert and Antonio Wilson). Penalty on Brian Russell: Unnecessary Roughness, 8 yards",3.910,5.370
4,4:54,1,8,MIN 8,23,45,Shaun Alexander left end for 1 yard (tackle by Eric Kelly),5.370,4.760
4,4:11,2,7,MIN 7,23,45,Shaun Alexander right tackle for 2 yards (tackle by Antonio Wilson and Kenny Mixon),4.760,4.260
4,3:30,3,5,MIN 5,23,45,Shaun Alexander left tackle for 1 yard (tackle by Greg Biekert and Antonio Wilson),4.260,3.030
4,2:51,4,4,MIN 4,23,48,Rian Lindell 21 yard field goal good,3.030,3.000
4,2:51,,,SEA 30,23,48,"Rian Lindell kicks off 66 yards, returned by Moe Williams for 15 yards (tackle by Tim Terry)",0.000,0.150
4,2:40,1,10,MIN 19,23,48,Daunte Culpepper right guard for 9 yards (tackle by Marcus Bell and Marcus Robertson),0.150,0.880
4,2:23,2,1,MIN 28,23,48,Daunte Culpepper pass incomplete intended for Derrick Alexander,0.880,0.100
4,2:19,3,1,MIN 28,23,48,Daunte Culpepper middle for 2 yards (tackle by Rocky Bernard),0.100,0.940
4,2:01,3,1,MIN 28,,,Timeout #3 by Minnesota Vikings,0.100,0.940
4,2:01,1,10,MIN 30,23,48,Daunte Culpepper pass complete to Byron Chamberlain for 6 yards (tackle by Marcus Bell),0.940,1.200
4,1:57,2,4,MIN 36,23,48,Daunte Culpepper pass complete to Michael Bennett for 4 yards (tackle by Chad Brown and Orlando Huff),1.200,1.600
4,1:37,1,10,MIN 40,23,48,Daunte Culpepper pass complete to Chris Walsh for 6 yards (tackle by Chad Brown),1.600,1.860
4,1:13,2,4,MIN 46,23,48,Daunte Culpepper pass incomplete intended for Derrick Alexander,1.860,1.160
4,1:07,3,4,MIN 46,23,48,"Daunte Culpepper pass complete to Moe Williams for 8 yards (tackle by Marcus Bell). Penalty on Chris Liwienski: Offensive Holding, 10 yards (no play)",1.160,-0.160
4,1:00,3,14,MIN 36,23,48,Daunte Culpepper pass complete to Moe Williams for 10 yards (tackle by Chad Brown),-0.160,-0.320
4,0:54,4,4,MIN 46,23,48,Daunte Culpepper pass complete to Moe Williams for 5 yards (tackle by Chad Brown),-0.320,2.320
4,0:26,1,10,SEA 49,23,48,Daunte Culpepper pass incomplete intended for D'Wayne Bates (defended by Doug Evans),2.320,1.780
4,0:18,2,10,SEA 49,23,48,Daunte Culpepper pass incomplete intended for Byron Chamberlain is intercepted by Reggie Tongue at SEA-27 and returned for 23 yards,1.780,-2.260
4,0:09,1,10,,23,48,Trent Dilfer for -1 yards,2.260,1.580
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
