Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
2,5:16,2,20,SDG 36,7,21,Daunte Culpepper pass complete to Michael Bennett for 17 yards (tackle by Jerry Wilson),1.950,3.570
2,4:49,3,3,SDG 19,13,21,"Daunte Culpepper pass complete to Nate Burleson for 19 yards, touchdown",3.570,7.000
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,,,,SDG 2,14,21,Aaron Elling kicks extra point good,0.000,0.000
2,,,,MIN 30,14,21,"Aaron Elling kicks off 56 yards, returned by Leon Johnson for 20 yards (tackle by E.J. Henderson)",0.000,1.200
2,4:36,1,10,SDG 34,14,21,Doug Flutie pass incomplete intended for LaDainian Tomlinson,1.200,0.660
2,4:30,2,10,SDG 34,14,21,Doug Flutie pass complete to LaDainian Tomlinson for 2 yards (tackle by Lance Johnstone),0.660,0.230
2,3:49,3,8,SDG 36,14,21,"Doug Flutie pass incomplete intended for David Boston. Penalty on Denard Walker: Defensive Pass Interference, 13 yards (no play)",0.230,2.190
2,3:44,1,10,SDG 49,14,21,LaDainian Tomlinson right end for 3 yards (tackle by Brian Russell and Kevin Williams),2.190,2.050
2,3:18,2,7,MIN 48,14,21,Doug Flutie pass incomplete intended for Lorenzo Neal,2.050,1.360
2,3:14,3,7,MIN 48,14,21,Doug Flutie pass complete to David Boston for 9 yards (tackle by Brian Williams),1.360,2.980
2,2:36,1,10,MIN 39,14,21,LaDainian Tomlinson up the middle for 2 yards (tackle by Greg Biekert),2.980,2.710
2,2:00,2,8,MIN 37,14,21,Doug Flutie sacked by Lance Johnstone for 0 yards,2.710,2.020
2,1:51,3,8,MIN 37,14,21,"Doug Flutie pass incomplete intended for Reche Caldwell. Penalty on Brian Williams: Defensive Holding, 5 yards (no play)",2.020,3.450
2,1:45,1,10,MIN 32,14,21,Doug Flutie pass complete to Antonio Gates for 25 yards (tackle by Brian Russell),3.450,5.600
2,0:55,1,7,MIN 7,14,21,LaDainian Tomlinson up the middle for 3 yards (tackle by Chris Claiborne),5.600,5.340
2,0:30,,,,14,21,Timeout #2 by San Diego Chargers,0.000,5.340
2,0:30,2,4,MIN 4,14,27,"Doug Flutie pass complete to Antonio Gates for 4 yards, touchdown",5.340,7.000
2,,,,MIN 2,14,28,Steve Christie kicks extra point good,0.000,0.000
2,,,,SDG 30,14,28,"Steve Christie kicks off 34 yards, returned by Nick Rogers for no gain",0.000,1.400
2,0:19,1,10,MIN 37,14,28,Daunte Culpepper pass complete to Moe Williams for 1 yard (tackle by Ben Leber),1.400,0.990
2,0:10,,,,14,28,Timeout #1 by Minnesota Vikings,0.000,0.990
2,0:10,2,9,MIN 38,14,28,Daunte Culpepper pass incomplete,0.990,0.300
2,0:02,3,9,MIN 38,14,28,"Daunte Culpepper pass complete to Randy Moss for 11 yards, lateral to Moe Williams for 13 yards",0.300,2.190
Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,14,28,"Steve Christie kicks off 62 yards, returned by Onterrio Smith for 18 yards (tackle by Stephen Cooper)",0.000,0.670
3,14:55,1,10,MIN 26,14,28,Moe Williams right end for no gain (tackle by Jamal Williams),0.670,0.130
3,14:19,2,10,MIN 26,14,28,Daunte Culpepper pass complete to Randy Moss for 23 yards (tackle by Quentin Jammer),0.130,2.190
3,13:39,1,10,MIN 49,14,28,Moe Williams up the middle for 1 yard (tackle by Jason Fisk and Donnie Edwards),2.190,1.780
3,12:58,2,9,SDG 50,14,28,Daunte Culpepper pass complete to Jim Kleinsasser for 6 yards (tackle by Quentin Jammer),1.780,1.880
3,12:18,3,3,SDG 44,14,28,Daunte Culpepper up the middle for 5 yards (tackle by DeQuincy Scott),1.880,2.980
3,11:37,1,10,SDG 39,14,28,Moe Williams up the middle for -1 yards (tackle by Ben Leber and Kwamie Lassiter),2.980,2.300
3,10:58,2,11,SDG 40,14,28,Daunte Culpepper pass complete to Randy Moss for 12 yards,2.300,3.710
3,10:25,1,10,SDG 28,14,28,Daunte Culpepper for 9 yards (tackle by Terrence Kiel),3.710,4.420
3,10:05,2,1,SDG 19,14,28,"Michael Bennett left tackle for 8 yards (tackle by Jerry Wilson). Michael Bennett fumbles (forced by Jerry Wilson), recovered by Zeke Moreno at SDG-4 (tackle by Randy Moss)",4.420,0.380
3,9:56,1,10,SDG 4,14,28,LaDainian Tomlinson left end for 55 yards (tackle by Denard Walker),-0.380,2.850
3,9:25,1,10,MIN 41,14,28,Doug Flutie pass incomplete intended for Lorenzo Neal,2.850,2.310
3,9:18,2,10,MIN 41,14,28,Jesse Chatman left end for no gain (tackle by Chris Claiborne),2.310,1.620
3,8:33,3,10,MIN 41,14,28,Doug Flutie sacked by Kenny Mixon and Chris Hovan for -1 yards,1.620,0.460
3,8:02,4,11,MIN 42,14,28,"Darren Bennett punts 29 yards, fair catch by Keenan Howry",0.460,0.320
3,7:55,1,10,MIN 13,14,28,Daunte Culpepper pass incomplete intended for Randy Moss,-0.320,-0.770
3,7:51,2,10,MIN 13,14,28,Moe Williams for -2 yards (tackle by Raylee Johnson and Donnie Edwards),-0.770,-1.650
3,7:09,3,12,MIN 11,14,28,Daunte Culpepper pass complete to Moe Williams for 13 yards (tackle by Kwamie Lassiter),-1.650,0.540
3,6:30,1,10,MIN 24,14,28,Moe Williams left tackle for no gain (tackle by Jason Fisk),0.540,0.000
3,5:46,2,10,MIN 24,14,28,Michael Bennett left tackle for no gain (tackle by Ben Leber),0.000,-0.690
3,5:04,3,10,MIN 24,14,28,"Daunte Culpepper pass incomplete. Penalty on Daunte Culpepper: Intentional Grounding, 10 yards",-0.690,-2.470
3,4:56,4,20,MIN 14,14,28,"Eddie Johnson punts 41 yards, returned by Tim Dwight for -2 yards (tackle by Brian Williams)",-2.470,-1.800
3,4:45,1,10,SDG 43,14,28,Doug Flutie pass complete to Reche Caldwell for 12 yards (tackle by Denard Walker),1.800,2.590
3,4:24,1,10,MIN 45,14,28,LaDainian Tomlinson left tackle for 2 yards (tackle by Chris Hovan),2.590,2.310
3,3:43,2,8,MIN 43,14,28,Doug Flutie pass complete to David Boston for 10 yards (tackle by Brian Williams),2.310,3.380
3,3:00,1,10,MIN 33,14,28,"Doug Flutie pass incomplete intended for Kassim Osgood. Penalty on Denard Walker: Defensive Pass Interference, 19 yards (no play)",3.380,4.650
3,2:55,1,10,MIN 14,14,28,Doug Flutie pass complete to LaDainian Tomlinson for 5 yards (tackle by Chris Claiborne),4.650,4.900
3,2:07,2,5,MIN 9,14,28,LaDainian Tomlinson left end for 8 yards (tackle by Brian Russell),4.900,6.970
3,1:39,,,,14,28,Timeout #1 by San Diego Chargers,0.000,6.970
3,1:39,1,1,MIN 1,14,34,"LaDainian Tomlinson up the middle for 1 yard, touchdown",6.970,7.000
3,,,,MIN 2,14,35,Steve Christie kicks extra point good,0.000,0.000
3,,,,SDG 30,14,35,"Steve Christie kicks off 52 yards, returned by Onterrio Smith for 25 yards (tackle by Stephen Cooper). Penalty on Terrence Kiel: Face Mask (5 Yards), 5 yards",0.000,2.130
3,1:26,1,10,MIN 48,14,35,Daunte Culpepper pass complete to D'Wayne Bates for 12 yards (tackle by Jerry Wilson),2.130,2.920
3,0:55,1,10,SDG 40,14,35,Daunte Culpepper pass complete to Randy Moss for 4 yards (tackle by Quentin Jammer),2.920,2.910
3,0:29,2,6,SDG 36,14,35,Daunte Culpepper up the middle for 5 yards (tackle by Terrence Kiel),2.910,2.870
Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,SDG 31,20,35,"Daunte Culpepper pass complete to Moe Williams for 31 yards, touchdown",2.870,7.000
4,,,,SDG 2,21,35,Aaron Elling kicks extra point good,0.000,0.000
4,,,,MIN 30,21,35,"Aaron Elling kicks off 60 yards, returned by Leon Johnson for 17 yards (tackle by Onterrio Smith)",0.000,0.740
4,14:41,1,10,SDG 27,21,35,"Doug Flutie for no gain. Doug Flutie fumbles, recovered by David Boston at SDG-18",0.740,-1.120
4,13:58,2,19,SDG 18,21,35,Doug Flutie pass complete to LaDainian Tomlinson for 5 yards (tackle by Brian Williams),-1.120,-1.020
4,13:30,3,14,SDG 23,21,35,Doug Flutie pass incomplete intended for LaDainian Tomlinson,-1.020,-1.830
4,13:25,4,14,SDG 23,21,35,Darren Bennett punts 53 yards,-1.830,-0.540
4,13:12,1,10,MIN 24,21,35,Daunte Culpepper for 6 yards (tackle by Raylee Johnson),0.540,0.810
4,12:33,2,4,MIN 30,21,35,Daunte Culpepper sacked by Raylee Johnson for -10 yards,0.810,-1.220
4,11:53,3,14,MIN 20,21,35,Daunte Culpepper pass complete to Randy Moss for 13 yards (tackle by Sammy Davis),-1.220,-1.180
4,11:16,4,1,MIN 33,21,35,"Eddie Johnson punts 42 yards, returned by Tim Dwight for 2 yards (tackle by Brian Williams)",-1.180,-0.740
4,11:07,1,10,SDG 27,21,35,LaDainian Tomlinson right end for -1 yards (tackle by Brian Russell),0.740,0.060
4,10:27,2,11,SDG 26,21,35,Doug Flutie pass complete to Antonio Gates for 26 yards (tackle by Brian Russell),0.060,2.390
4,9:40,1,10,MIN 48,21,35,Doug Flutie pass complete to Tim Dwight for 32 yards,2.390,4.510
4,9:00,1,10,MIN 16,21,35,LaDainian Tomlinson up the middle for 3 yards (tackle by Henri Crockett),4.510,4.390
4,8:17,2,7,MIN 13,21,41,"Doug Flutie for no gain. Doug Flutie fumbles, recovered by Doug Flutie at MIN-13, touchdown",4.390,7.000
4,,,,MIN 2,21,42,Steve Christie kicks extra point good,0.000,0.000
4,,,,SDG 30,21,42,"Steve Christie kicks off 54 yards, returned by Onterrio Smith for 27 yards (tackle by Matt Wilhelm)",0.000,1.800
4,8:04,1,10,MIN 43,21,42,Daunte Culpepper pass complete to Randy Moss for 12 yards (tackle by DeQuincy Scott),1.800,2.590
4,7:39,1,10,SDG 45,21,42,"Daunte Culpepper pass complete to Michael Bennett for no gain. Penalty on Nate Burleson: Offensive Pass Interference, 10 yards (no play)",2.590,1.930
4,7:23,1,20,MIN 45,21,42,Daunte Culpepper pass complete to Randy Moss for 6 yards (tackle by Donnie Edwards),1.930,1.500
4,6:48,2,14,SDG 49,21,42,Daunte Culpepper pass incomplete intended for Michael Bennett,1.500,0.830
4,6:44,3,14,SDG 49,21,42,Daunte Culpepper sacked by DeQuincy Scott for -4 yards,0.830,-0.260
4,6:32,,,,21,42,Timeout #1 by Minnesota Vikings,0.000,-0.260
4,6:32,4,18,MIN 47,21,42,Daunte Culpepper pass complete to Jim Kleinsasser for 19 yards (tackle by Sammy Davis),-0.260,3.310
4,6:03,1,10,SDG 34,21,42,Daunte Culpepper pass complete to Kelly Campbell for 7 yards (tackle by Donnie Edwards),3.310,3.720
4,5:35,2,3,SDG 27,21,42,Daunte Culpepper up the middle for 7 yards (tackle by Terrence Kiel),3.720,4.240
4,5:04,1,10,SDG 20,21,42,Daunte Culpepper pass complete to Moe Williams for 9 yards (tackle by Ben Leber),4.240,5.260
4,4:34,2,1,SDG 11,21,42,"Daunte Culpepper pass incomplete intended for Randy Moss. Penalty on Quentin Jammer: Defensive Pass Interference, 9 yards (no play)",5.260,6.740
4,4:30,1,2,SDG 2,21,42,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Quentin Jammer),6.740,5.720
4,4:26,2,2,SDG 2,27,42,"Daunte Culpepper pass complete to Moe Williams for 2 yards, touchdown",5.720,7.000
4,,,,SDG 2,28,42,Aaron Elling kicks extra point good,0.000,0.000
4,,,,MIN 30,28,42,"Aaron Elling kicks onside 21 yards, recovered by Willie Offord (onside kick successful)",0.000,2.320
,,,,,,,"MIN challenged the ruling, and the original play was overturned.",,
4,4:20,1,10,SDG 49,28,42,Daunte Culpepper pass incomplete intended for D'Wayne Bates,2.320,1.780
4,4:14,2,10,SDG 49,28,42,Daunte Culpepper pass incomplete intended for Moe Williams,1.780,1.090
4,4:08,3,10,SDG 49,28,42,"Daunte Culpepper pass complete to Moe Williams for 16 yards (tackle by Sammy Davis). Penalty on Donnie Edwards: Roughing the Passer, 15 yards",1.090,4.370
4,4:00,1,10,SDG 18,28,42,Daunte Culpepper pass complete to Moe Williams for 7 yards (tackle by Jerry Wilson),4.370,5.010
4,3:29,2,3,SDG 11,28,42,Daunte Culpepper sacked by Jason Fisk for -6 yards,5.010,3.170
4,3:21,,,,28,42,Timeout #2 by Minnesota Vikings,0.000,3.170
4,3:21,3,9,SDG 17,28,42,Daunte Culpepper up the middle for 10 yards (tackle by Kwamie Lassiter),3.170,5.600
4,2:45,1,7,SDG 7,28,42,Daunte Culpepper pass incomplete intended for Randy Moss,5.600,4.760
4,2:40,2,7,SDG 7,28,42,Daunte Culpepper pass incomplete intended for D'Wayne Bates is intercepted by Terrence Kiel at SDG-0,4.760,-0.280
4,2:32,1,10,SDG 20,28,42,LaDainian Tomlinson left end for no gain (tackle by Fred Robbins),0.280,-0.270
4,2:25,,,,28,42,Timeout #3 by Minnesota Vikings,0.000,-0.270
4,2:25,2,10,SDG 20,28,42,"LaDainian Tomlinson right guard for 11 yards (tackle by Corey Chavous). Penalty on Brian Williams: Unnecessary Roughness, 15 yards",-0.270,1.990
4,2:18,1,10,SDG 46,28,42,LaDainian Tomlinson left end for no gain (tackle by Greg Biekert),1.990,1.450
4,2:00,2,10,SDG 46,28,42,Doug Flutie kneels for -1 yards,1.450,0.630
4,1:20,3,11,SDG 45,28,42,Doug Flutie kneels for -1 yards,0.630,-0.460
4,1:20,4,12,SDG 44,28,42,"Penalty on SDG: Delay of Game, 5 yards (no play)",-0.460,-0.780
4,0:36,4,17,SDG 39,28,42,"Darren Bennett punts 44 yards, returned by Keenan Howry for 15 yards (tackle by Drayton Florence)",-0.780,-1.070
4,0:24,1,10,MIN 32,28,42,"Daunte Culpepper pass complete to Moe Williams for 7 yards, lateral to Kelly Campbell for no gain (tackle by Carlos Polk)",1.070,1.470
4,0:02,2,3,MIN 39,28,42,Daunte Culpepper spiked the ball,1.470,0.760
4,0:02,3,3,MIN 39,28,42,"Daunte Culpepper pass complete to Moe Williams for 8 yards, lateral to Kelly Campbell for 3 yards (tackle by Quentin Jammer)",0.760,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
