Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
2,1:46,1,5,TEN 5,10,0,Reggie Bush right guard for 4 yards (tackle by David Thornton),6.060,5.910
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,1:08,2,1,TEN 1,10,0,Drew Brees pass incomplete short right intended for Reggie Bush,5.910,5.170
2,1:05,3,1,TEN 1,10,6,"Reggie Bush right end for 1 yard, touchdown",5.170,7.000
2,,,,TEN 2,10,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,NOR 30,10,7,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
2,1:00,1,10,TEN 20,10,7,Kerry Collins pass complete short left to Chris Brown for 8 yards (tackle by Jason Craft),0.280,0.810
2,0:36,2,2,TEN 28,10,7,Kerry Collins pass complete short left to Chris Brown for 7 yards (tackle by Josh Bullocks),0.810,1.270
2,0:30,,,,10,7,Timeout #2 by Tennessee Titans,0.000,1.270
2,0:30,1,10,TEN 35,10,7,Kerry Collins pass complete short left to Roydell Williams for 6 yards (tackle by Jason David),1.270,1.530
2,0:26,2,4,TEN 41,10,7,Kerry Collins pass complete short right to Chris Brown for 1 yard (tackle by Scott Fujita),1.530,0.960
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,10,7,"Rob Bironas kicks off 67 yards, returned by Lance Moore for 25 yards (tackle by LeVar Woods)",0.000,0.810
3,14:53,1,10,NOR 28,10,7,Drew Brees pass incomplete,0.810,0.260
3,14:45,2,10,NOR 28,10,7,Drew Brees pass incomplete deep left intended for Devery Henderson,0.260,-0.430
3,14:40,3,10,NOR 28,10,7,Drew Brees pass incomplete short left intended for Reggie Bush,-0.430,-1.500
3,14:33,4,10,NOR 28,10,7,"Steve Weatherford punts 54 yards, returned by Chris Davis for no gain. Penalty on Gilbert Gardner: Offensive Holding, 9 yards",-1.500,0.380
3,14:23,1,10,TEN 9,10,7,LenDale White right guard for 6 yards (tackle by Josh Bullocks and Scott Fujita),-0.380,-0.280
3,13:40,2,4,TEN 15,10,7,LenDale White left guard for 1 yard (tackle by Brian Young and Hollis Thomas),-0.280,-0.600
3,12:59,3,3,TEN 16,10,7,Vince Young pass incomplete short left intended for Eric Moulds (defended by Jason David),-0.600,-2.390
3,12:54,4,3,TEN 16,10,7,Josh Miller punts 46 yards,-2.390,-1.470
3,12:46,1,10,NOR 38,10,7,Aaron Stecker right guard for 2 yards (tackle by David Thornton),1.470,1.190
3,12:14,2,8,NOR 40,10,7,Drew Brees pass complete short right to Terrance Copper for 15 yards (tackle by Chris Hope),1.190,2.590
3,11:37,1,10,TEN 45,10,7,Drew Brees pass complete short left to Lance Moore for 8 yards (tackle by Cortland Finnegan),2.590,3.120
3,11:00,2,2,TEN 37,10,7,Drew Brees pass complete short right to Devery Henderson for 11 yards (tackle by Calvin Lowry),3.120,3.840
3,10:30,1,10,TEN 26,10,7,Drew Brees pass complete short middle to Reggie Bush for 11 yards (tackle by Ryan Fowler),3.840,4.580
3,9:45,1,10,TEN 15,10,7,Aaron Stecker left guard for 2 yards (tackle by Randy Starks),4.580,4.280
3,9:03,2,8,TEN 13,10,7,Drew Brees pass complete short right to Lance Moore for 6 yards (tackle by Calvin Lowry),4.280,4.680
3,8:23,3,2,TEN 7,10,7,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Keith Bulluck),4.680,6.970
3,7:59,1,1,TEN 1,10,13,"Reggie Bush left guard for 1 yard, touchdown",6.970,7.000
3,,,,TEN 2,10,14,Olindo Mare kicks extra point good,0.000,0.000
3,,,,NOR 30,10,14,"Olindo Mare kicks off 75 yards, returned by Michael Griffin for 48 yards (tackle by Jason Craft)",0.000,1.800
3,7:47,1,10,TEN 43,10,14,Chris Brown left tackle for 19 yards (tackle by Scott Fujita),1.800,3.050
3,7:12,1,10,NOR 38,10,14,Chris Brown right end for 4 yards (tackle by Josh Bullocks and Mark Simoneau),3.050,3.050
3,6:30,2,6,NOR 34,10,14,Vince Young pass complete short middle to Chris Brown for 2 yards (tackle by Scott Fujita),3.050,2.610
3,5:45,3,4,NOR 32,10,14,LenDale White left tackle for 8 yards (tackle by Josh Bullocks and Jason Craft),2.610,3.970
3,5:04,1,10,NOR 24,10,14,LenDale White left guard for 3 yards (tackle by Brian Young),3.970,3.840
3,4:25,2,7,NOR 21,10,14,LenDale White left guard for 4 yards (tackle by Josh Bullocks),3.840,3.750
3,3:45,3,3,NOR 17,10,14,"Vince Young up the middle for 2 yards (tackle by Jason David). Penalty on Hollis Thomas: Defensive Offside, 5 yards (no play)",3.750,4.780
3,3:18,1,10,NOR 12,10,14,Chris Brown left end for 1 yard (tackle by Jason David),4.780,4.270
3,2:33,2,9,NOR 11,10,14,Vince Young pass complete short right to Eric Moulds for 10 yards (tackle by Mike McKenzie),4.270,6.970
,,,,,,,"NOR challenged the pass completion ruling, and the play was upheld.",,
3,2:25,1,1,NOR 1,16,14,"LenDale White left guard for 1 yard, touchdown",6.970,7.000
3,,,,NOR 2,17,14,Rob Bironas kicks extra point good,0.000,0.000
3,,,,TEN 30,,,"Rob Bironas kicks off 65 yards, returned by Lance Moore for 24 yards (tackle by Calvin Lowry)",,
3,2:14,1,10,NOR 29,17,14,Drew Brees pass complete short left to Lance Moore for 17 yards (tackle by David Thornton),0.870,1.990
3,1:42,1,10,NOR 46,17,14,Reggie Bush right guard for 1 yard (tackle by Albert Haynesworth),1.990,1.590
3,1:06,2,9,NOR 47,17,14,Drew Brees pass complete short right to Eric Johnson for 2 yards (tackle by David Thornton),1.590,1.160
3,0:35,,,,17,14,Timeout #2 by New Orleans Saints,0.000,1.160
3,0:35,3,7,NOR 49,17,14,Drew Brees right end for 9 yards (tackle by David Thornton and Nick Harper),1.160,2.790
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 42,17,14,"Drew Brees sacked by Travis LaBoy for -7 yards. Drew Brees fumbles (forced by Travis LaBoy), recovered by Randy Starks at TEN-49 (tackle by Jahri Evans)",2.790,-2.190
4,14:50,1,10,TEN 49,17,14,Chris Brown right end for 6 yards (tackle by Josh Bullocks),2.190,2.460
4,14:12,2,4,NOR 45,17,14,Chris Brown right tackle for 2 yards (tackle by Renaldo Wynn),2.460,2.010
4,13:34,3,2,NOR 43,17,14,Vince Young pass complete short right to Roydell Williams for 18 yards (tackle by Josh Bullocks),2.010,3.910
4,13:04,1,10,NOR 25,17,14,Chris Brown right tackle for no gain (tackle by Charles Grant and Mike McKenzie),3.910,3.360
4,12:22,2,10,NOR 25,17,14,Vince Young for 11 yards (tackle by Josh Bullocks),3.360,4.650
4,11:51,1,10,NOR 14,17,14,LenDale White right tackle for 3 yards (tackle by Mark Simoneau),4.650,4.520
4,11:08,2,7,NOR 11,17,14,Vince Young pass complete short left to Brandon Jones for 6 yards (tackle by Jason Craft),4.520,4.960
4,10:23,3,1,NOR 5,17,14,LenDale White right tackle for 2 yards (tackle by Charles Grant and Mark Simoneau),4.960,6.510
4,9:44,1,3,NOR 3,17,14,LenDale White left guard for no gain (tackle by Mark Simoneau and Antwan Lake),6.510,5.530
4,9:01,2,3,NOR 3,23,14,"Vince Young pass complete short right to Bo Scaife for 3 yards, touchdown",5.530,7.000
4,,,,NOR 2,24,14,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,24,14,"Rob Bironas kicks off 61 yards, returned by Lance Moore for 5 yards (tackle by Justin Gage)",0.000,-0.280
4,8:50,1,10,NOR 14,24,14,Drew Brees pass incomplete short right intended for Aaron Stecker (defended by Antwan Odom),-0.280,-0.750
4,8:46,2,10,NOR 14,24,14,Drew Brees pass complete short middle to Aaron Stecker for 7 yards (tackle by Antwan Odom),-0.750,-0.560
4,8:09,3,3,NOR 21,24,14,"Drew Brees pass complete short left to Reggie Bush for 3 yards (tackle by David Thornton). Penalty on Travis LaBoy: Defensive Offside, 5 yards (no play)",-0.560,0.670
4,7:40,1,10,NOR 26,24,14,"Drew Brees pass incomplete deep middle intended for Marques Colston is intercepted by Keith Bulluck at NOR-43 and returned for 35 yards (tackle by Lance Moore). Penalty on Keith Bulluck: Delay of Game, 5 yards",0.670,-4.710
,,,,,,,"NOR challenged the pass completion ruling, and the play was upheld.",,
4,7:22,1,10,NOR 13,24,14,Chris Brown right end for 7 yards (tackle by Roman Harper and Mark Simoneau),4.710,5.340
4,6:43,2,3,NOR 6,24,14,Chris Brown right guard for 2 yards (tackle by Will Smith and Roman Harper),5.340,5.010
4,5:59,3,1,NOR 4,24,14,LenDale White left guard for -1 yards (tackle by Will Smith),5.010,3.030
4,5:09,4,2,NOR 5,24,14,"Penalty on Josh Miller: Delay of Game, 5 yards (no play)",3.030,2.760
4,4:53,4,7,NOR 10,24,14,Rob Bironas 27 yard field goal no good,2.760,-0.280
4,4:49,1,10,NOR 20,24,14,Drew Brees pass complete short right to Terrance Copper for 8 yards (tackle by Nick Harper),0.280,0.810
4,4:49,,,,24,14,Timeout #4 by New Orleans Saints,0.000,0.810
4,4:17,2,2,NOR 28,24,14,Drew Brees pass complete short right to Eric Johnson for 4 yards (tackle by David Thornton),0.810,1.070
4,3:55,1,10,NOR 32,24,14,Drew Brees pass complete short left to Reggie Bush for 5 yards (tackle by Cortland Finnegan),1.070,1.200
4,3:49,2,5,NOR 37,24,14,Drew Brees pass complete short left to Reggie Bush for no gain,1.200,0.500
4,3:44,3,5,NOR 37,24,14,Drew Brees pass complete short left to Lance Moore for 13 yards (tackle by Cortland Finnegan),0.500,2.260
4,3:19,1,10,,24,14,Drew Brees pass complete short right to Eric Johnson for 5 yards (tackle by Vincent Fuller),2.260,2.390
4,2:51,2,5,TEN 45,30,14,"Drew Brees pass incomplete short left intended for Lance Moore is intercepted by Vincent Fuller at TEN-39 and returned for 61 yards, touchdown",2.390,-7.000
4,,,,NOR 2,31,14,Rob Bironas kicks extra point good,0.000,0.000
4,,,,TEN 30,31,14,"Rob Bironas kicks off 64 yards, returned by Aaron Stecker for 22 yards (tackle by Chris Davis)",0.000,0.810
4,2:33,1,10,NOR 28,31,14,Drew Brees pass complete short left to Reggie Bush for 4 yards (tackle by Randy Starks),0.810,0.800
4,2:07,2,6,NOR 32,31,14,Drew Brees pass complete short left to Eric Johnson for 9 yards (tackle by David Thornton),0.800,1.660
4,2:00,1,10,NOR 41,31,14,Drew Brees pass complete short right to Reggie Bush for 5 yards (tackle by Cortland Finnegan),1.660,1.800
4,1:50,,,,31,14,Timeout #1 by Tennessee Titans,0.000,1.800
4,1:50,2,5,NOR 46,31,14,Drew Brees pass complete short right to Aaron Stecker for 7 yards (tackle by Kyle Vanden Bosch),1.800,2.460
4,1:26,1,10,TEN 47,31,14,Drew Brees pass incomplete short right intended for Lance Moore,2.460,1.910
4,1:21,2,10,TEN 47,31,14,"Drew Brees pass incomplete deep right intended for Terrance Copper is intercepted by Keith Bulluck at TEN-27 and returned for 6 yards. Penalty on Keith Bulluck: Delay of Game, 5 yards",1.910,-0.810
4,0:58,1,10,TEN 28,31,14,Vince Young kneels for -1 yards,0.810,0.130
4,0:38,2,11,TEN 27,31,14,Vince Young kneels for -1 yards,0.130,-0.690
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
