Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
3,1:24,1,10,WAS 20,21,21,Kirk Cousins pass complete short left to Pierre Garcon for 5 yards (tackle by Adrian Amos),0.280,0.410
3,0:56,2,5,WAS 25,21,21,Matt Jones right tackle for 11 yards (tackle by Adrian Amos),0.410,1.330
3,0:30,1,10,WAS 36,21,21,Kirk Cousins pass complete deep left to DeSean Jackson for 29 yards,1.330,1.330
3,0:02,1,10,WAS 36,21,21,Timeout #2 by Washington Redskins,1.330,3.250
3,0:02,1,10,CHI 35,21,21,Matt Jones left end for -4 yards (tackle by Willie Young),3.250,2.160
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,CHI 39,21,21,Kirk Cousins pass incomplete short right intended for Ryan Grant (defended by Will Sutton),2.160,1.490
4,14:55,3,14,CHI 39,21,21,Kirk Cousins pass complete short right to Rashad Ross for 10 yards (tackle by Tracy Porter),1.490,1.560
4,14:12,4,4,CHI 29,24,21,Dustin Hopkins 47 yard field goal good,1.560,3.000
4,14:12,,,WAS 35,24,21,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
4,14:07,1,10,CHI 20,24,21,Matt Forte right tackle for no gain (tackle by Mason Foster),0.280,-0.270
4,13:33,2,10,CHI 20,24,21,Jay Cutler pass incomplete deep right intended for Alshon Jeffery,-0.270,-0.960
4,13:27,3,10,CHI 20,24,21,Jay Cutler pass complete short right to Matt Forte for 8 yards (tackle by Kyshoen Jarrett and Bashaud Breeland),-0.960,-1.500
4,12:58,4,2,CHI 28,24,21,"Pat O'Donnell punts 54 yards, fair catch by Jamison Crowder",-1.500,-0.040
4,12:50,1,10,WAS 18,24,21,Kirk Cousins pass complete deep left to Pierre Garcon for 19 yards,0.040,1.400
4,12:33,1,10,WAS 37,24,21,Matt Jones left guard for 3 yards (tackle by Christian Jones and Lamarr Houston),1.400,1.260
4,11:51,2,7,WAS 40,24,21,Kirk Cousins pass complete short right to DeSean Jackson for 14 yards (tackle by Chris Prosinski),1.260,2.520
4,11:11,1,10,CHI 46,24,21,Matt Jones left guard for 5 yards (tackle by Shea McClellin),2.520,2.650
4,10:36,2,5,CHI 41,24,21,"Alfred Morris left tackle for 4 yards (tackle by Chris Prosinski). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",2.650,1.300
4,10:08,2,15,WAS 49,24,21,Kirk Cousins pass complete short middle to Pierre Garcon for 11 yards (tackle by Christian Jones),1.300,2.080
4,9:29,3,4,CHI 40,24,21,Kirk Cousins pass incomplete short right intended for DeSean Jackson,2.080,0.590
4,9:25,4,4,CHI 40,24,21,"Tress Way punts 34 yards, fair catch by Marc Mariani",0.590,0.380
4,9:17,1,10,CHI 6,24,21,Jeremy Langford left guard for -1 yards (tackle by Ryan Kerrigan),-0.380,-0.850
4,8:43,2,11,CHI 5,24,21,Jeremy Langford right guard for 4 yards (tackle by Ryan Kerrigan),-0.850,-1.070
4,8:04,3,7,CHI 9,24,21,Jay Cutler pass complete short left to Zach Miller for 26 yards (tackle by DeAngelo Hall),-1.070,1.270
4,7:33,1,10,CHI 35,24,21,Jay Cutler pass complete short right to Marc Mariani for 24 yards (tackle by Bashaud Breeland),1.270,2.850
4,7:19,1,10,WAS 41,24,21,Jay Cutler pass incomplete short left intended for Marc Mariani,2.850,2.310
4,7:15,2,10,WAS 41,24,21,Jay Cutler pass incomplete short right intended for Jeremy Langford,2.310,1.620
4,7:10,3,10,WAS 41,24,21,Jay Cutler pass complete short right to Alshon Jeffery for 2 yards (tackle by Chris Baker),1.620,0.660
4,6:29,4,8,WAS 39,24,21,Pat O'Donnell punts 31 yards,0.660,0.380
4,6:18,1,10,WAS 8,24,21,Matt Jones left guard for no gain (tackle by Eddie Goldman),-0.380,-0.780
4,5:39,2,10,WAS 8,24,21,Kirk Cousins pass complete short left to Jordan Reed for 11 yards (tackle by Christian Jones),-0.780,0.150
4,5:07,1,10,WAS 19,24,21,Matt Jones right tackle for 6 yards (tackle by Christian Jones),0.150,0.480
4,4:26,2,4,WAS 25,24,21,Matt Jones left end for 8 yards (tackle by Adrian Amos),0.480,1.140
4,4:19,1,10,WAS 33,24,21,Matt Jones left end for 4 yards (tackle by Lamarr Houston),1.140,1.140
4,4:13,1,10,WAS 33,24,21,Timeout #1 by Chicago Bears,1.140,1.130
4,4:13,2,6,WAS 37,24,21,Kirk Cousins pass incomplete short left intended for Matt Jones,1.130,0.430
4,4:09,3,6,WAS 37,24,21,"Kirk Cousins pass complete deep left to Matt Jones for 18 yards. Matt Jones fumbles, recovered by Matt Jones at CHI-45",0.430,2.590
4,3:11,1,10,CHI 45,24,21,Alfred Morris left tackle for 1 yard (tackle by Sam Acho),2.590,2.590
4,3:08,1,10,CHI 45,24,21,Timeout #2 by Chicago Bears,2.590,2.180
4,3:08,2,9,CHI 44,24,21,Kirk Cousins pass incomplete short right intended for DeSean Jackson,2.180,1.490
4,3:03,3,9,CHI 44,24,21,Kirk Cousins pass complete short right to Jordan Reed for 3 yards (tackle by Alan Ball),1.490,0.530
4,2:19,4,6,CHI 41,24,21,"Tress Way punts 41 yards, touchback",0.530,-0.280
4,2:11,1,10,CHI 20,24,21,"Penalty on Hroniss Grasu: False Start, 5 yards (no play)",0.280,-0.310
4,2:11,1,15,CHI 15,24,21,Jay Cutler pass complete deep left to Alshon Jeffery for 50 yards (tackle by DeAngelo Hall),-0.310,3.250
4,2:02,1,10,WAS 35,24,21,Matt Forte right guard for 3 yards (tackle by William Compton),3.250,3.110
4,1:57,2,7,WAS 32,24,21,Jay Cutler pass incomplete deep left intended for Alshon Jeffery (defended by Bashaud Breeland),3.110,2.410
4,1:50,3,7,WAS 32,24,21,Jay Cutler pass incomplete deep right intended for Eddie Royal,2.410,1.240
4,1:45,4,7,WAS 32,24,21,Robbie Gould 50 yard field goal no good,1.240,-1.600
4,1:40,1,10,WAS 40,24,21,Matt Jones right end for 3 yards (tackle by Lamarr Houston),1.600,1.600
4,1:33,1,10,WAS 40,24,21,Timeout #3 by Chicago Bears,1.600,1.460
4,1:33,2,7,WAS 43,24,21,Matt Jones right guard for no gain (tackle by Shea McClellin),1.460,0.760
4,0:47,3,7,WAS 43,24,21,Matt Jones left end for 8 yards (tackle by Shea McClellin and Christian Jones),0.760,2.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
