Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
1,9:14,3,2,CIN 24,0,0,Ryan Fitzpatrick for 18 yards (tackle by Reggie Nelson),-0.320,1.730
1,8:39,1,10,CIN 42,0,0,Ryan Fitzpatrick pass incomplete short right intended for Chad Ochocinco (defended by Rashean Mathis),1.730,1.190
1,8:34,2,10,CIN 42,0,0,Ryan Fitzpatrick pass complete short middle to Cedric Benson for 5 yards (tackle by Justin Durant),1.190,1.160
1,7:53,3,5,CIN 47,0,0,"Penalty on T.J. Houshmandzadeh: False Start, 5 yards (no play)",1.160,0.500
1,7:35,3,10,CIN 42,0,0,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 16 yards (tackle by Justin Durant),0.500,2.790
1,6:50,1,10,JAX 42,0,0,Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 4 yards,2.790,2.780
1,6:24,2,6,JAX 38,0,0,Ryan Fitzpatrick pass complete short left to Chris Henry for 5 yards (tackle by Drayton Florence),2.780,2.740
1,5:52,3,1,JAX 33,0,0,Cedric Benson right guard for 2 yards (tackle by Jimmy Kennedy),2.740,3.510
1,5:17,1,10,JAX 31,0,0,Cedric Benson right end for 7 yards (tackle by Justin Durant),3.510,3.910
1,4:37,2,3,JAX 24,0,0,Ryan Fitzpatrick up the middle for 12 yards (tackle by Reggie Nelson),3.910,4.780
1,3:57,1,10,JAX 12,0,0,Cedric Benson right tackle for no gain (tackle by Justin Durant),4.780,4.100
1,3:16,2,10,JAX 12,0,0,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 7 yards (tackle by Rashean Mathis),4.100,4.610
1,2:47,3,3,JAX 5,0,0,"Penalty on Jimmy Kennedy: Encroachment, 3 yards (no play)",4.610,6.740
1,2:35,1,2,JAX 2,0,6,"Ryan Fitzpatrick pass complete short left to Chad Ochocinco for 2 yards, touchdown",6.740,7.000
1,,,,JAX 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 69 yards, returned by Maurice Jones-Drew for 22 yards (tackle by Corey Mays)",0.000,0.480
1,2:22,1,10,JAX 23,0,7,Fred Taylor right end for 1 yard (tackle by Domata Peko),0.480,0.070
1,1:43,2,9,JAX 24,0,7,David Garrard left end for 8 yards (tackle by Nedu Ndukwe),0.070,0.430
1,0:54,3,1,JAX 32,0,7,Maurice Jones-Drew left end for -1 yards (tackle by Leon Hall and Domata Peko),0.430,-1.310
1,0:19,4,2,JAX 31,0,7,"Adam Podlesh punts 51 yards, returned by Antonio Chatman for 10 yards (tackle by Brian Witherspoon). Penalty on Kyries Hebert: Illegal Block Above the Waist, 10 yards",-1.310,0.350
1,0:07,1,10,CIN 12,0,7,Cedric Benson right guard for 8 yards (tackle by Reggie Nelson),-0.350,0.290
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,CIN 20,0,7,"Penalty on Derek Landri: Neutral Zone Infraction, 5 yards (no play)",0.290,0.610
2,15:00,1,10,CIN 25,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Cedric Benson,0.610,0.060
2,14:55,2,10,CIN 25,0,7,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 7 yards (tackle by Rashean Mathis),0.060,0.300
2,14:28,3,3,CIN 32,0,7,"Ryan Fitzpatrick pass incomplete deep left intended for Chris Henry. Penalty on Drayton Florence: Defensive Pass Interference, 18 yards (no play)",0.300,2.260
2,14:22,1,10,,0,7,Ryan Fitzpatrick pass incomplete deep middle intended for Chris Henry,2.260,1.710
2,14:14,2,10,,0,7,Ryan Fitzpatrick pass complete short left to Reggie Kelly for 3 yards (tackle by Gerald Sensabaugh),1.710,1.420
2,13:34,3,7,JAX 47,0,7,Ryan Fitzpatrick pass complete short left to Chris Perry for 10 yards (tackle by Gerald Sensabaugh),1.420,3.120
2,12:55,1,10,JAX 37,0,7,Ryan Fitzpatrick up the middle for 22 yards (tackle by Gerald Sensabaugh),3.120,4.580
2,12:12,1,10,JAX 15,0,7,Cedric Benson up the middle for 3 yards (tackle by Mike Peterson),4.580,4.450
2,11:31,2,7,JAX 12,0,7,Cedric Benson up the middle for 2 yards (tackle by Mike Peterson),4.450,4.000
2,10:50,3,5,JAX 10,0,13,"Ryan Fitzpatrick pass complete short left to Chad Ochocinco for 10 yards, touchdown",4.000,7.000
2,,,,JAX 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,0,14,"Shayne Graham kicks off 67 yards, returned by Brian Witherspoon for 25 yards (tackle by David Jones)",0.000,0.810
2,10:37,1,10,JAX 28,0,14,Maurice Jones-Drew up the middle for 8 yards (tackle by Rashad Jeanty and Johnathan Joseph),0.810,1.340
2,10:01,2,2,JAX 36,0,14,Maurice Jones-Drew right end for 3 yards (tackle by Dhani Jones),1.340,1.530
2,9:19,1,10,JAX 39,0,14,David Garrard pass complete short right to Marcedes Lewis for 6 yards (tackle by Johnathan Joseph),1.530,1.800
2,8:37,2,4,JAX 45,0,14,Maurice Jones-Drew left end for no gain (tackle by Brandon Johnson and Pat Sims),1.800,1.090
2,7:50,3,4,JAX 45,0,14,David Garrard sacked by Robert Geathers for -10 yards,1.090,-1.040
2,7:23,4,14,JAX 35,0,14,"Adam Podlesh punts 52 yards, returned by Antonio Chatman for 4 yards (tackle by Montell Owens)",-1.040,0.060
2,7:11,1,10,CIN 17,0,14,Ryan Fitzpatrick pass complete short right to Reggie Kelly for 5 yards (tackle by Gerald Sensabaugh),-0.060,0.210
2,6:28,2,5,CIN 22,0,14,Ryan Fitzpatrick pass complete short right to T.J. Houshmandzadeh for 4 yards (tackle by Brian Williams),0.210,-0.120
2,5:52,,,,0,14,Timeout #1 by Cincinnati Bengals,0.000,-0.120
2,5:52,3,1,CIN 26,0,14,Cedric Benson left end for -3 yards (tackle by Justin Durant),-0.120,-1.830
2,5:24,4,4,CIN 23,0,14,"Kyle Larson punts 39 yards, returned by Maurice Jones-Drew for 13 yards (tackle by John Busing)",-1.830,-2.320
2,5:12,1,10,CIN 49,0,14,David Garrard pass incomplete deep right intended for Dennis Northcutt,2.320,1.780
2,5:04,2,10,CIN 49,0,14,David Garrard pass complete short right to Maurice Jones-Drew for 16 yards (tackle by Johnathan Joseph),1.780,3.380
2,4:18,1,10,CIN 33,0,14,Fred Taylor left guard for 4 yards (tackle by Pat Sims),3.380,3.380
2,3:35,2,6,CIN 29,0,14,"Penalty on Marcedes Lewis: False Start, 5 yards (no play)",3.380,2.700
2,3:20,2,11,CIN 34,0,14,David Garrard pass incomplete deep middle intended for Marcedes Lewis,2.700,2.010
2,3:14,3,11,CIN 34,0,14,David Garrard pass incomplete deep right intended for Matt Jones,2.010,1.060
2,3:08,4,11,CIN 34,3,14,Josh Scobee 52 yard field goal good,1.060,3.000
2,,,,JAX 30,3,14,"Josh Scobee kicks off 75 yards, touchback",0.000,0.280
2,3:03,1,10,CIN 20,3,14,Cedric Benson up the middle for 20 yards (tackle by Gerald Sensabaugh),0.280,1.600
2,2:27,1,10,CIN 40,3,14,Cedric Benson left guard for 7 yards (tackle by Reggie Nelson),1.600,2.000
2,2:00,2,3,CIN 47,3,14,Ryan Fitzpatrick pass complete short middle to Ben Utecht for 9 yards (tackle by Brian Williams),2.000,2.650
2,1:34,1,10,JAX 44,3,14,Ryan Fitzpatrick pass complete short right to T.J. Houshmandzadeh for 3 yards (tackle by Rashean Mathis),2.650,2.520
2,1:16,2,7,JAX 41,3,14,Kenny Watson up the middle for 1 yard (tackle by Daryl Smith and Derrick Harvey),2.520,1.950
2,1:08,,,,3,14,Timeout #2 by Cincinnati Bengals,0.000,1.950
2,1:08,3,6,JAX 40,3,14,Ryan Fitzpatrick pass complete short left to Antonio Chatman for 2 yards (tackle by Drayton Florence),1.950,0.720
2,0:59,,,,3,14,Timeout #1 by Jacksonville Jaguars,0.000,0.000
2,0:59,,,,3,14,Timeout #3 by Cincinnati Bengals,0.000,0.720
2,0:59,4,4,JAX 38,3,14,Kyle Larson punts 35 yards,0.720,0.380
2,0:52,1,10,JAX 3,3,14,David Garrard for 4 yards (tackle by Marvin White),-0.380,-0.490
2,0:45,2,6,JAX 7,3,14,Maurice Jones-Drew right guard for 5 yards (tackle by Dhani Jones and Leon Hall),-0.490,-0.370
2,0:03,3,1,JAX 12,3,14,Maurice Jones-Drew left guard for 8 yards (tackle by Marvin White and Rashad Jeanty),-0.370,0.280
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,3,14,Josh Scobee kicks off 65 yards,0.000,1.600
3,15:00,1,10,CIN 40,3,14,Ryan Fitzpatrick pass complete short middle to Chris Henry for 9 yards (tackle by Drayton Florence),1.600,2.270
3,14:42,2,1,CIN 49,3,14,Cedric Benson right tackle for 1 yard (tackle by John Henderson),2.270,2.260
3,14:14,1,10,,3,14,Ryan Fitzpatrick sacked by John Henderson for -2 yards,2.260,1.440
3,13:51,2,12,CIN 48,3,14,Ryan Fitzpatrick pass incomplete short right intended for Chris Henry,1.440,0.760
3,13:46,3,12,CIN 48,3,14,Ryan Fitzpatrick pass incomplete deep right intended for Chad Ochocinco,0.760,-0.190
3,13:39,4,12,CIN 48,3,14,Kyle Larson punts 42 yards,-0.190,0.380
3,13:26,1,10,JAX 10,3,14,David Garrard pass incomplete deep left intended for Matt Jones (defended by Leon Hall),-0.380,-0.780
3,13:20,2,10,JAX 10,3,14,David Garrard pass complete short middle to Matt Jones for 7 yards (tackle by Leon Hall),-0.780,-0.600
3,12:40,3,3,JAX 17,3,14,David Garrard pass complete deep right to Jerry Porter for 31 yards (tackle by Johnathan Joseph),-0.600,2.130
3,12:03,1,10,JAX 48,3,14,Fred Taylor right guard for 5 yards (tackle by Brandon Johnson and Domata Peko),2.130,2.260
3,11:21,2,5,CIN 47,3,14,David Garrard pass complete short left to Matt Jones for 8 yards (tackle by Leon Hall),2.260,2.980
3,10:40,1,10,CIN 39,3,14,"Fred Taylor right tackle for 1 yard (tackle by Johnathan Joseph and Nedu Ndukwe). Penalty on Tutan Reyes: Offensive Holding, 10 yards",2.980,2.390
3,10:09,1,19,CIN 48,3,14,"David Garrard pass incomplete short middle intended for Matt Jones is intercepted by Dhani Jones at CIN-35 and returned for 13 yards (tackle by Uche Nwaneri). Penalty on Maurice Jones-Drew: Low Block, 15 yards",2.390,-3.120
3,9:59,1,10,JAX 37,3,14,Cedric Benson up the middle for 30 yards (tackle by Rashean Mathis),3.120,5.600
3,9:20,1,7,JAX 7,3,20,"Cedric Benson right tackle for 7 yards, touchdown",5.600,7.000
3,,,,JAX 2,3,21,Shayne Graham kicks extra point good,0.000,0.000
3,,,,CIN 30,3,21,"Shayne Graham kicks off 67 yards, returned by Brian Witherspoon for 20 yards (tackle by David Jones)",0.000,0.480
3,9:09,1,10,JAX 23,3,21,David Garrard sacked by Pat Sims for -2 yards,0.480,-0.340
3,8:24,2,12,JAX 21,3,21,David Garrard up the middle for 2 yards (tackle by Pat Sims),-0.340,-0.760
3,7:38,3,10,JAX 23,3,21,David Garrard pass incomplete short left intended for Dennis Northcutt (defended by Leon Hall),-0.760,-1.830
3,7:31,4,10,JAX 23,3,21,Adam Podlesh punts 47 yards,-1.830,-0.940
3,7:23,1,10,CIN 30,3,21,"Ryan Fitzpatrick pass incomplete deep right intended for T.J. Houshmandzadeh is intercepted by Reggie Nelson at JAX-38. Penalty on Derrick Harvey: Defensive Offside, 5 yards (no play)",0.940,1.670
3,7:14,1,5,CIN 35,3,21,Cedric Benson left guard for 2 yards (tackle by Mike Peterson),1.670,1.340
3,6:44,2,3,CIN 37,3,21,Ryan Fitzpatrick pass complete short right to Chad Ochocinco for 11 yards,1.340,2.130
3,6:14,1,10,CIN 48,3,21,Cedric Benson up the middle for 3 yards (tackle by Rob Meier),2.130,1.990
3,5:34,2,7,JAX 49,3,21,Ryan Fitzpatrick pass incomplete short left intended for T.J. Houshmandzadeh is intercepted by Brian Williams at JAX-43 and returned for 4 yards (tackle by T.J. Houshmandzadeh),1.990,-2.060
3,5:27,1,10,JAX 47,3,21,"David Garrard pass incomplete deep middle intended for Troy Williamson (defended by Leon Hall). Penalty on Uche Nwaneri: Offensive Holding, 10 yards (no play)",2.060,1.400
3,5:17,1,20,JAX 37,3,21,David Garrard pass complete short left to Fred Taylor for no gain,1.400,0.170
3,4:33,2,20,JAX 37,3,21,David Garrard pass complete short right to Reggie Williams for 4 yards (tackle by Johnathan Joseph),0.170,0.040
3,3:50,3,16,JAX 41,3,21,"David Garrard pass incomplete. Penalty on Dennis Norman: Offensive Holding (Declined), Penalty on Brad Meester: Ineligible Downfield Pass (Declined)",0.040,-0.650
3,3:37,4,16,JAX 41,3,21,"Adam Podlesh punts 36 yards, returned by Antonio Chatman for 13 yards (tackle by Clint Ingram)",-0.650,-1.330
3,3:32,1,10,CIN 36,3,21,Cedric Benson right guard for 9 yards (tackle by Reggie Nelson),1.330,2.010
3,2:55,2,1,CIN 45,3,21,"Ryan Fitzpatrick right guard for no gain (tackle by Paul Spicer). Penalty on Bobbie Williams: Offensive Holding, 10 yards (no play)",2.010,0.660
3,2:33,2,11,CIN 35,3,21,Ryan Fitzpatrick pass incomplete short right intended for Antonio Chatman,0.660,-0.030
3,2:29,3,11,CIN 35,3,21,"Ryan Fitzpatrick pass complete short right to T.J. Houshmandzadeh for 23 yards (tackle by Reggie Nelson). Penalty on Andrew Whitworth: Disqualification (Offsetting), Penalty on John Henderson: Disqualification (Offsetting), Penalty on John Henderson: Illegal Use of Hands (Offsetting) (no play)",-0.030,-0.030
3,2:14,3,11,CIN 35,3,21,Ryan Fitzpatrick sacked by Mike Peterson for -7 yards,-0.030,-1.500
3,1:58,4,18,CIN 28,3,21,"Kyle Larson punts 34 yards, fair catch by Brian Witherspoon",-1.500,-1.470
3,1:24,1,10,JAX 38,3,21,Maurice Jones-Drew left end for 7 yards (tackle by Marvin White),1.470,1.870
3,1:20,2,3,JAX 45,3,21,David Garrard pass incomplete deep right intended for Jerry Porter,1.870,1.160
3,1:18,3,3,JAX 45,3,21,David Garrard left guard for 4 yards (tackle by Robert Geathers),1.160,2.190
3,0:36,1,10,JAX 49,3,21,David Garrard pass complete short right to Matt Jones for 16 yards (tackle by Johnathan Joseph),2.190,3.250
3,0:03,1,10,CIN 35,3,21,David Garrard pass complete short right to Matt Jones for 11 yards (tackle by Johnathan Joseph). Penalty on Frostee Rucker: Defensive Holding (Declined),3.250,3.970
Quarter,Time,Down,ToGo,Location,JAX,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CIN 24,3,21,David Garrard pass complete deep right to Marcedes Lewis for 21 yards (tackle by Nedu Ndukwe),3.970,6.510
4,14:30,1,3,CIN 3,3,21,David Garrard pass incomplete,6.510,5.530
4,14:25,2,3,CIN 3,3,21,Maurice Jones-Drew left guard for no gain (tackle by Dhani Jones and Nedu Ndukwe),5.530,4.720
4,13:40,3,3,CIN 3,3,21,David Garrard pass incomplete short right intended for Marcedes Lewis (defended by Dhani Jones),4.720,3.040
4,13:31,4,3,CIN 3,3,21,"Penalty on Tony Pashos: False Start, 5 yards (no play)",3.040,2.950
4,13:31,4,8,CIN 8,6,21,Josh Scobee 26 yard field goal good,2.950,3.000
4,,,,JAX 30,12,21,"Josh Scobee kicks off 72 yards, returned by Glenn Holt for 18 yards (tackle by Chad Nkang). Glenn Holt fumbles (forced by Chad Nkang), recovered by Montell Owens at CIN-18 and returned for 18 yards, touchdown",0.000,-7.000
4,,,,CIN 2,13,21,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,13,21,"Josh Scobee kicks off 68 yards, returned by Glenn Holt for 20 yards (tackle by Josh Scobee). Penalty on Nedu Ndukwe: Illegal Block Above the Waist, 9 yards",0.000,-0.380
4,13:10,1,10,CIN 9,13,21,Ryan Fitzpatrick pass complete short right to T.J. Houshmandzadeh for 8 yards (tackle by Reggie Nelson),-0.380,-0.020
4,12:36,2,2,CIN 17,13,21,Cedric Benson right guard for 5 yards (tackle by Brian Williams),-0.020,0.410
4,11:53,1,10,CIN 22,13,21,Ryan Fitzpatrick pass complete short middle to T.J. Houshmandzadeh for 22 yards (tackle by Brian Williams),0.410,1.860
4,11:11,1,10,CIN 44,13,21,Ryan Fitzpatrick pass incomplete short middle intended for T.J. Houshmandzadeh (defended by Paul Spicer),1.860,1.320
4,11:06,2,10,CIN 44,13,21,Cedric Benson left end for no gain (tackle by Daryl Smith),1.320,0.630
4,10:25,3,10,CIN 44,13,21,Ryan Fitzpatrick pass complete short left to Ben Utecht for 12 yards (tackle by Drayton Florence),0.630,2.650
4,9:49,1,10,JAX 44,13,21,Cedric Benson right guard for no gain (tackle by Gerald Sensabaugh),2.650,2.110
4,9:11,2,10,JAX 44,13,21,Antonio Chatman right end for 2 yards (tackle by Gerald Sensabaugh),2.110,1.690
4,8:41,3,8,JAX 42,13,21,Ryan Fitzpatrick pass incomplete short left intended for T.J. Houshmandzadeh (defended by Brian Williams),1.690,0.460
4,8:35,4,8,JAX 42,13,21,"Kyle Larson punts 25 yards, fair catch by Dennis Northcutt",0.460,0.060
4,8:28,1,10,JAX 17,13,21,David Garrard pass complete short right to Dennis Northcutt for 4 yards (tackle by Johnathan Joseph),-0.060,0.080
4,7:50,2,6,JAX 21,13,21,David Garrard pass incomplete deep right intended for Matt Jones,0.080,-0.750
4,7:43,3,6,JAX 21,13,21,"Penalty on David Garrard: Delay of Game, 5 yards (no play)",-0.750,-1.410
4,7:43,3,11,JAX 16,13,21,David Garrard pass incomplete short left intended for Greg Jones,-1.410,-2.390
4,7:36,4,11,JAX 16,13,21,"Adam Podlesh punts 51 yards, returned by Antonio Chatman for 1 yard (tackle by Montell Owens)",-2.390,-1.200
4,7:24,1,10,CIN 34,13,21,Cedric Benson up the middle for 1 yard (tackle by Mike Peterson and Gerald Sensabaugh),1.200,0.790
4,6:52,2,9,CIN 35,13,21,Cedric Benson left tackle for -3 yards (tackle by Daryl Smith and Mike Peterson),0.790,-0.300
4,6:11,3,12,CIN 32,13,21,Ryan Fitzpatrick pass incomplete deep left intended for Chad Ochocinco,-0.300,-1.240
4,6:02,4,12,CIN 32,13,21,"Kyle Larson punts 41 yards, fair catch by Maurice Jones-Drew",-1.240,-0.740
4,5:56,1,10,JAX 27,13,21,David Garrard pass complete short right to Maurice Jones-Drew for 16 yards (tackle by Nedu Ndukwe),0.740,1.800
4,5:29,1,10,JAX 43,13,21,David Garrard sacked by Nedu Ndukwe for -3 yards,1.800,0.850
4,4:52,2,13,JAX 40,13,21,David Garrard pass complete short middle to Matt Jones for 14 yards (tackle by Marvin White),0.850,2.520
4,4:10,1,10,CIN 46,13,21,David Garrard pass complete short right to Jerry Porter for 7 yards (tackle by Johnathan Joseph),2.520,2.920
4,3:32,2,3,CIN 39,13,21,David Garrard pass complete short middle to Dennis Northcutt for 9 yards (tackle by Robert Geathers),2.920,3.580
4,3:04,1,10,CIN 30,13,21,David Garrard pass complete short right to Matt Jones for 4 yards (tackle by Johnathan Joseph),3.580,3.570
4,3:00,2,6,CIN 26,13,21,David Garrard pass complete short right to Greg Estandia for 14 yards (tackle by Johnathan Joseph),3.570,4.780
4,2:21,1,10,CIN 12,13,21,David Garrard pass complete short right to Marcedes Lewis for 6 yards (tackle by Johnathan Joseph),4.780,5.210
4,2:00,2,4,CIN 6,13,21,David Garrard up the middle for 5 yards (tackle by John Thornton),5.210,6.970
4,1:35,1,1,CIN 1,13,21,David Garrard up the middle for no gain (tackle by Antwan Odom and Brandon Johnson),6.970,5.910
4,1:22,,,,13,21,Timeout #1 by Jacksonville Jaguars,0.000,5.910
4,1:22,2,1,CIN 1,19,21,"Maurice Jones-Drew right tackle for 1 yard, touchdown",5.910,7.000
4,,,,,19,21,"Two Point Attempt: David Garrard pass incomplete intended for Jerry Porter, conversion fails",1.000,-1.000
4,,,,JAX 30,19,21,"Adam Podlesh kicks onside 8 yards, recovered by T.J. Houshmandzadeh. Penalty on Brian Iwuh: Offside on Free Kick, 5 yards",0.000,3.380
4,1:15,1,10,JAX 33,19,21,Cedric Benson up the middle for 1 yard (tackle by Gerald Sensabaugh),3.380,2.970
4,1:12,,,,19,21,Timeout #2 by Jacksonville Jaguars,0.000,2.970
4,1:12,2,9,JAX 32,19,21,Cedric Benson up the middle for no gain (tackle by Reggie Hayward),2.970,2.280
4,1:06,,,,19,21,Timeout #3 by Jacksonville Jaguars,0.000,2.280
4,1:06,3,9,JAX 32,19,21,Cedric Benson right guard for 2 yards (tackle by Clint Ingram),2.280,1.410
4,0:19,4,7,JAX 30,19,21,"Penalty on Ryan Fitzpatrick: Delay of Game, 5 yards (no play)",1.410,0.970
4,0:19,4,12,JAX 35,19,21,Kyle Larson punts 31 yards,0.970,0.380
4,0:11,1,10,JAX 4,19,21,David Garrard pass complete short middle to Dennis Northcutt for 7 yards. Penalty on Greg Estandia: Illegal Forward Pass,-0.380,-0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
