Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
2,10:22,1,10,ARI 36,6,14,"Carson Palmer pass incomplete short right intended for Larry Fitzgerald (defended by Byron Maxwell). Penalty on Tony Lippett: Illegal Contact, 5 yards (no play)",1.330,1.660
2,10:03,1,10,ARI 41,6,14,"Carson Palmer for no gain. Carson Palmer fumbles, recovered by Terrence Fede at ARI-39 (tackle by Jermaine Gresham)",1.660,-2.980
2,10:00,1,10,ARI 39,6,14,"Jay Ajayi middle for -4 yards (tackle by Calais Campbell). Jay Ajayi fumbles (forced by Calais Campbell), recovered by Jay Ajayi at ARI-42",2.980,1.900
2,9:20,2,14,ARI 43,6,14,Ryan Tannehill pass incomplete short right intended for Jay Ajayi,1.900,1.220
2,9:11,3,14,ARI 43,6,14,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry (defended by Tyvon Branch),1.220,0.400
2,9:07,4,14,ARI 43,6,14,"Matt Darr punts 43 yards, touchback",0.400,-0.280
2,8:58,1,10,ARI 20,6,14,Kerwynn Williams left end for 20 yards (tackle by Spencer Paysinger),0.280,1.600
2,8:26,1,10,ARI 40,6,14,David Johnson middle for 1 yard (tackle by Earl Mitchell),1.600,1.190
2,7:42,2,9,ARI 41,6,14,Carson Palmer pass complete short right to Jermaine Gresham for 9 yards (tackle by Bobby McCain and Mike Hull),1.190,2.260
2,6:53,1,10,,6,14,David Johnson left guard for 9 yards (tackle by Bacarri Rambo),2.260,2.930
2,6:16,2,1,MIA 41,6,14,David Johnson middle for no gain (tackle by Ndamukong Suh),2.930,2.210
2,5:24,3,1,MIA 41,6,14,David Johnson left end for 19 yards (tackle by Spencer Paysinger),2.210,4.110
2,4:41,1,10,MIA 22,6,14,Carson Palmer pass incomplete deep middle intended for Larry Fitzgerald,4.110,3.560
2,4:34,2,10,MIA 22,6,14,David Johnson left guard for 8 yards (tackle by Jason Jones and Bobby McCain),3.560,4.150
2,3:52,3,2,MIA 14,6,14,Carson Palmer sacked by Cameron Wake for -9 yards,4.150,1.930
2,3:08,4,11,MIA 23,6,14,Chandler Catanzaro 41 yard field goal no good,1.930,-1.000
2,3:02,1,10,MIA 31,6,14,Jay Ajayi left guard for 4 yards (tackle by Deone Bucannon),1.000,1.000
2,2:36,2,6,MIA 35,6,14,"Ryan Tannehill sacked for -6 yards. Ryan Tannehill fumbles, ball out of bounds at MIA-14",1.000,-3.180
