Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
2,0:47,1,10,LAC 9,24,7,"Joshua Kelley up the middle for -1 yards (tackle by Ndamukong Suh). Joshua Kelley fumbles (forced by Ndamukong Suh), recovered by Devin White at LAC-8 and returned for 2 yards (tackle by Ryan Groy)",-0.380,-5.830
2,0:38,1,6,LAC 6,24,7,Tom Brady pass incomplete short middle intended for Rob Gronkowski,5.830,4.950
2,0:33,2,6,LAC 6,24,7,Tom Brady pass incomplete short right,4.950,4.040
2,0:28,3,6,LAC 6,24,13,"Tom Brady pass complete short left to Mike Evans for 6 yards, touchdown",4.040,7.000
2,0:22,,,LAC 15,24,14,Ryan Succop kicks extra point good,0.000,0.000
2,0:22,,,TAM 35,24,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,0:22,1,10,LAC 25,24,14,Justin Herbert kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAC,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,24,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,24,14,Joshua Kelley up the middle for 2 yards (tackle by Ndamukong Suh and Devin White),0.610,0.330
3,14:27,2,8,LAC 27,24,14,Joshua Kelley up the middle for 2 yards (tackle by Jason Pierre-Paul and Ndamukong Suh),0.330,-0.100
3,13:52,3,6,LAC 29,24,14,Justin Herbert sacked by Jordan Whitehead for -9 yards,-0.100,-2.030
3,13:04,4,15,LAC 20,24,14,"Ty Long punts 61 yards, returned by Jaydon Mickens for 12 yards (tackle by Justin Jackson)",-2.030,-1.000
3,12:50,1,10,TAM 31,24,14,Ronald Jones right guard for 2 yards (tackle by Linval Joseph and Jerry Tillery),1.000,0.730
3,12:16,2,8,TAM 33,24,14,Tom Brady pass complete short left to Mike Evans for 9 yards (tackle by Kyzir White),0.730,1.730
3,11:34,1,10,TAM 42,24,14,Tom Brady pass complete short left to Ronald Jones for 5 yards (tackle by Kenneth Murray),1.730,1.860
3,11:03,2,5,TAM 47,24,14,Ronald Jones up the middle for 1 yard (tackle by Denzel Perryman),1.860,1.290
3,10:22,3,4,TAM 48,24,14,Tom Brady pass complete short middle to Justin Watson for 10 yards (tackle by Casey Hayward),1.290,2.790
3,9:44,1,10,LAC 42,24,14,Tom Brady pass complete short left to Mike Evans for 12 yards (tackle by Denzel Perryman),2.790,3.580
3,9:05,1,10,LAC 30,24,14,Ronald Jones right guard for 2 yards (tackle by Uchenna Nwosu),3.580,3.300
3,8:29,2,8,LAC 28,24,20,"Tom Brady pass complete deep right to O.J. Howard for 28 yards, touchdown",3.300,7.000
3,8:22,,,LAC 15,24,21,Ryan Succop kicks extra point good,0.000,0.000
3,8:22,,,TAM 35,24,21,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,8:22,1,10,LAC 25,24,21,Justin Herbert pass complete short left to Hunter Henry for 29 yards (tackle by Antoine Winfield),0.610,2.520
3,7:44,1,10,TAM 46,24,21,Justin Jackson left end for 1 yard (tackle by Vita Vea),2.520,2.110
3,7:07,2,9,TAM 45,24,21,Justin Herbert pass complete short left to Hunter Henry for 10 yards (tackle by Jordan Whitehead),2.110,3.250
3,6:31,1,10,TAM 35,24,21,Justin Herbert pass complete short right to Keenan Allen for 9 yards,3.250,3.920
3,5:56,2,1,TAM 26,24,21,Joshua Kelley right end for no gain (tackle by Lavonte David),3.920,3.200
3,5:22,3,1,TAM 26,24,21,Joshua Kelley up the middle for no gain (tackle by Shaquil Barrett and Ndamukong Suh),3.200,1.890
3,4:43,4,1,TAM 26,24,21,Joshua Kelley left tackle for 1 yard (tackle by Vita Vea),1.890,3.910
3,4:08,1,10,TAM 25,24,21,Justin Jackson left guard for 3 yards (tackle by Lavonte David),3.910,3.770
