Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
2,12:14,2,8,CLE 41,0,0,Justin Forsett right tackle for 1 yard (tackle by Ahtyba Rubin and T.J. Ward),2.450,1.880
2,11:34,3,7,CLE 40,0,0,"Charlie Whitehurst sacked by T.J. Ward for -8 yards. Charlie Whitehurst fumbles (forced by T.J. Ward), recovered by D'Qwell Jackson at CLE-47 (tackle by Lemuel Jeanpierre)",1.880,-2.060
,,,,,,,"SEA challenged the fumble ruling, and the play was upheld.",,
2,11:23,1,10,CLE 47,0,0,Montario Hardesty right guard for 1 yard (tackle by Anthony Hargrove),2.060,1.650
2,10:45,2,9,CLE 48,0,0,Colt McCoy pass incomplete short right intended for Josh Cribbs (defended by Alan Branch),1.650,0.960
2,10:39,3,9,CLE 48,0,0,Colt McCoy pass complete short left to Greg Little for 6 yards (tackle by Earl Thomas),0.960,0.200
2,9:51,4,3,SEA 46,0,0,"Penalty on Malcolm Smith: Neutral Zone Infraction, 5 yards (no play)",0.200,2.850
2,9:39,1,10,SEA 41,0,0,Montario Hardesty right tackle for 2 yards (tackle by David Hawthorne),2.850,2.580
2,9:01,2,8,SEA 39,0,0,Montario Hardesty right tackle for -1 yards (tackle by LeRoy Hill),2.580,1.750
2,8:18,3,9,SEA 40,0,0,Colt McCoy pass complete short right to Evan Moore for 5 yards (tackle by Richard Sherman),1.750,0.980
2,7:32,4,4,SEA 35,0,3,Phil Dawson 52 yard field goal good,0.980,3.000
2,,,,CLE 35,0,3,"Phil Dawson kicks off 67 yards, returned by Leon Washington for 21 yards (tackle by Josh Cribbs)",0.000,0.150
2,7:20,1,10,SEA 19,0,3,Charlie Whitehurst pass complete short right to Cameron Morrah for 11 yards (tackle by T.J. Ward),0.150,0.940
2,6:49,1,10,SEA 30,0,3,Leon Washington left tackle for 3 yards (tackle by Scott Paxson),0.940,0.800
2,6:14,2,7,SEA 33,0,3,Charlie Whitehurst pass incomplete short right intended for Doug Baldwin,0.800,0.100
2,6:07,3,7,SEA 33,0,3,Charlie Whitehurst pass incomplete short right intended for Doug Baldwin,0.100,-1.180
2,6:00,4,7,SEA 33,0,3,"Jon Ryan punts 67 yards, touchback",-1.180,-0.280
2,5:51,1,10,CLE 20,0,3,Montario Hardesty right tackle for 2 yards (tackle by Raheem Brock),0.280,0.000
2,5:20,2,8,CLE 22,0,3,Colt McCoy pass incomplete short right intended for Ben Watson (defended by Kam Chancellor),0.000,-0.690
2,5:16,3,8,CLE 22,0,3,Colt McCoy pass complete short right to Chris Ogbonnaya for 17 yards (tackle by Walter Thurmond),-0.690,1.530
2,4:34,1,10,CLE 39,0,3,Montario Hardesty left guard for 6 yards (tackle by K.J. Wright),1.530,1.800
2,4:01,2,4,CLE 45,0,3,Colt McCoy pass complete short right to Greg Little for 5 yards (tackle by Richard Sherman),1.800,2.260
2,3:30,1,10,,0,3,Colt McCoy sacked by Chris Clemons for -6 yards,2.260,0.900
2,2:52,2,16,CLE 44,0,3,Montario Hardesty left guard for 2 yards (tackle by Brandon Mebane),0.900,0.500
2,2:10,3,14,CLE 46,0,3,Colt McCoy pass complete deep left to Mohamed Massaquoi for 15 yards (tackle by Brandon Browner),0.500,2.980
2,2:00,1,10,SEA 39,0,3,Colt McCoy pass incomplete deep right intended for Greg Little,2.980,2.440
2,1:53,,,,0,3,Timeout #2 by Seattle Seahawks,0.000,2.440
2,1:53,2,10,SEA 39,0,3,Montario Hardesty right tackle for 1 yard (tackle by Brandon Mebane),2.440,1.880
2,1:11,3,9,SEA 38,0,3,Colt McCoy pass incomplete short middle intended for Mohamed Massaquoi (defended by Brandon Browner),1.880,0.720
2,1:07,4,9,SEA 38,0,3,Brad Maynard punts 9 yards,0.720,-0.870
2,1:01,1,10,SEA 29,0,3,Charlie Whitehurst pass incomplete deep right intended for Doug Baldwin,0.870,0.330
2,0:57,2,10,SEA 29,0,3,Justin Forsett right tackle for 3 yards (tackle by Chris Gocong),0.330,0.040
2,0:49,,,,0,3,Timeout #2 by Cleveland Browns,0.000,0.040
2,0:49,3,7,SEA 32,0,3,Justin Forsett right tackle for 4 yards (tackle by D'Qwell Jackson),0.040,-0.980
2,0:42,,,,0,3,Timeout #3 by Cleveland Browns,0.000,-0.980
2,0:42,4,3,SEA 36,0,3,Jon Ryan punts 37 yards,-0.980,-0.740
2,0:32,1,10,CLE 27,0,3,Colt McCoy pass complete short right to Chris Ogbonnaya for 4 yards (tackle by LeRoy Hill),0.740,0.740
2,0:28,2,6,CLE 31,0,3,Colt McCoy up the middle for 7 yards,0.740,1.470
2,0:04,1,10,CLE 38,0,3,Colt McCoy pass incomplete short middle intended for Ben Watson,1.470,0.920
2,0:01,2,10,CLE 38,0,3,Colt McCoy pass complete short middle to Chris Ogbonnaya for 19 yards (tackle by Kennard Cox),0.920,2.720
Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,0,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CLE 20,0,3,Montario Hardesty right guard for 2 yards (tackle by Brandon Mebane),0.280,0.000
3,14:20,2,8,CLE 22,0,3,Colt McCoy pass incomplete deep right intended for Josh Cribbs,0.000,-0.690
3,14:14,3,8,CLE 22,0,3,Colt McCoy pass complete short right to Josh Cribbs for 9 yards,-0.690,1.000
3,13:59,1,10,CLE 31,0,3,Colt McCoy pass complete short right to Greg Little for 6 yards,1.000,1.270
3,13:32,2,4,CLE 37,0,3,Colt McCoy pass incomplete deep right intended for Brian Robiskie,1.270,0.560
3,13:27,3,4,CLE 37,0,3,Colt McCoy pass complete short right to Evan Moore for 16 yards (tackle by Kam Chancellor),0.560,2.460
3,13:02,1,10,SEA 47,0,3,Montario Hardesty right guard for 3 yards (tackle by Clinton McDonald),2.460,2.320
3,12:21,2,7,SEA 44,0,3,Montario Hardesty left guard for -1 yards (tackle by Brandon Mebane),2.320,1.490
3,11:38,3,8,SEA 45,0,3,Colt McCoy pass complete short left to Greg Little for 9 yards (tackle by Earl Thomas),1.490,3.180
3,11:15,1,10,SEA 36,0,3,Chris Ogbonnaya right guard for 6 yards (tackle by David Hawthorne),3.180,3.450
3,10:39,2,4,SEA 30,0,3,Colt McCoy pass incomplete deep right intended for Evan Moore is intercepted by David Hawthorne at SEA-12,3.450,0.350
,,,,,,,"CLE challenged the incomplete pass ruling, and the play was upheld.",,
3,10:31,1,10,SEA 12,0,3,Charlie Whitehurst pass complete short right to Anthony McCoy for 3 yards (tackle by Usama Young),-0.350,-0.500
3,10:09,2,7,SEA 15,0,3,Leon Washington right tackle for 5 yards (tackle by Chris Gocong),-0.500,-0.480
3,9:43,3,2,SEA 20,0,3,Charlie Whitehurst pass incomplete short middle intended for Anthony McCoy,-0.480,-2.030
3,9:38,4,2,SEA 20,0,3,"Jon Ryan punts 50 yards, returned by Josh Cribbs for 6 yards (tackle by Atari Bigby)",-2.030,-1.330
3,9:29,1,10,CLE 36,0,3,"Colt McCoy pass complete short right to Josh Cribbs for 5 yards (tackle by Richard Sherman). Penalty on Evan Moore: Illegal Formation, 5 yards (no play)",1.330,1.000
3,9:10,1,15,CLE 31,0,3,Montario Hardesty right guard for 1 yard (tackle by Brandon Mebane),1.000,0.250
3,8:25,2,14,CLE 32,0,3,Colt McCoy up the middle for 2 yards (tackle by David Hawthorne and K.J. Wright),0.250,-0.160
3,7:40,3,12,CLE 34,0,3,Colt McCoy pass complete short left to Chris Ogbonnaya for -4 yards (tackle by Chris Clemons),-0.160,-1.370
3,7:03,4,16,CLE 30,0,3,"Brad Maynard punts 51 yards, returned by Leon Washington for 81 yards. Penalty on Kennard Cox: Illegal Block Above the Waist, 10 yards",-1.370,-1.930
3,6:45,1,10,SEA 45,0,3,Charlie Whitehurst pass incomplete deep left intended for Sidney Rice is intercepted by Sheldon Brown at CLE-19,1.930,-0.150
3,6:38,1,10,CLE 19,0,3,Montario Hardesty right guard for 6 yards (tackle by David Hawthorne),0.150,0.480
3,5:59,2,4,CLE 25,0,3,Colt McCoy for 2 yards (tackle by K.J. Wright),0.480,-0.030
3,5:36,3,2,CLE 27,0,3,Colt McCoy pass incomplete short right intended for Josh Cribbs,-0.030,-1.570
3,5:29,4,2,CLE 27,0,3,"Brad Maynard punts 59 yards, out of bounds. Penalty on James Dockery: Player Out of Bounds on Punt, 5 yards (no play)",-1.570,-1.900
3,5:21,4,7,CLE 22,0,3,"Brad Maynard punts 40 yards, fair catch by Leon Washington",-1.900,-1.470
3,5:12,1,10,SEA 38,0,3,Leon Washington for 11 yards (tackle by D'Qwell Jackson),1.470,2.190
3,4:58,1,10,SEA 49,0,3,Leon Washington left tackle for 4 yards (tackle by Jabaal Sheard),2.190,2.190
3,4:16,2,6,CLE 47,0,3,Charlie Whitehurst pass complete deep right to Sidney Rice for 38 yards,2.190,5.140
3,4:08,,,,0,3,Timeout #2 by Cleveland Browns,0.000,5.140
3,4:07,1,9,CLE 9,0,3,Charlie Whitehurst pass complete short left to Sidney Rice for no gain,5.140,4.380
3,3:35,2,9,CLE 9,0,3,"Leon Washington left guard for 5 yards (tackle by Ahtyba Rubin). Penalty on Ahtyba Rubin: Face Mask (15 Yards), 2 yards",4.380,6.740
3,3:25,1,2,CLE 2,0,3,Justin Forsett left guard for no gain (tackle by D'Qwell Jackson and T.J. Ward),6.740,5.720
3,3:25,2,2,CLE 2,0,3,Charlie Whitehurst pass incomplete short right intended for Michael Robinson,5.720,4.950
3,2:41,3,2,CLE 2,0,3,Charlie Whitehurst pass incomplete short left intended for Cameron Morrah (defended by T.J. Ward),4.950,3.250
3,2:36,4,2,CLE 2,3,3,Steven Hauschka 20 yard field goal good,3.250,3.000
3,,,,SEA 35,3,3,"Steven Hauschka kicks off 71 yards, returned by Josh Cribbs for 23 yards (tackle by Heath Farwell)",0.000,-0.060
3,2:27,1,10,CLE 17,3,3,Montario Hardesty right tackle for 5 yards (tackle by David Hawthorne),-0.060,0.210
3,1:48,2,5,CLE 22,3,3,Montario Hardesty left guard for 2 yards (tackle by K.J. Wright),0.210,-0.370
3,1:06,3,3,CLE 24,3,3,Colt McCoy pass complete short middle to Alex Smith for 13 yards (tackle by Kam Chancellor),-0.370,1.400
3,0:25,1,10,CLE 37,3,3,Montario Hardesty left guard for -1 yards (tackle by K.J. Wright),1.400,0.720
Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,CLE 36,3,3,Colt McCoy pass complete short left to Evan Moore for 5 yards (tackle by LeRoy Hill),0.720,0.700
4,14:23,3,6,CLE 41,3,3,Colt McCoy pass complete short right to Chris Ogbonnaya for 7 yards (tackle by Earl Thomas),0.700,2.130
4,13:37,1,10,CLE 48,3,3,Colt McCoy pass complete short right to Montario Hardesty for 16 yards (tackle by David Hawthorne),2.130,3.180
4,12:55,1,10,SEA 36,3,3,Montario Hardesty right guard for 2 yards (tackle by LeRoy Hill),3.180,2.910
4,12:14,2,8,SEA 34,3,3,Colt McCoy sacked by Red Bryant and Kennard Cox for -1 yards,2.910,2.080
4,11:26,3,9,SEA 35,3,3,Colt McCoy pass incomplete short right intended for Brian Robiskie,2.080,0.970
4,11:23,4,9,SEA 35,3,6,Phil Dawson 53 yard field goal good,0.970,3.000
4,,,,CLE 35,3,6,"Phil Dawson kicks off 65 yards, returned by Leon Washington for 21 yards (tackle by Quinton Spears)",0.000,0.340
4,11:11,1,10,SEA 21,3,6,Charlie Whitehurst pass complete short left to Cameron Morrah for 7 yards (tackle by T.J. Ward),0.340,0.750
4,10:51,2,3,SEA 28,3,6,Charlie Whitehurst pass complete short right to Leon Washington for -3 yards (tackle by Joe Haden),0.750,-0.360
4,10:13,3,6,SEA 25,3,6,Charlie Whitehurst pass incomplete deep left intended for Sidney Rice,-0.360,-1.700
4,10:06,4,6,SEA 25,3,6,"Jon Ryan punts 49 yards, returned by Josh Cribbs for 8 yards (tackle by Ben Obomanu)",-1.700,-1.200
4,9:54,1,10,CLE 34,3,6,Colt McCoy pass complete short right to Greg Little for 5 yards (tackle by Richard Sherman),1.200,1.330
4,9:16,2,5,CLE 39,3,6,Montario Hardesty right guard for 1 yard (tackle by Chris Clemons),1.330,0.760
4,8:35,3,4,CLE 40,3,6,Colt McCoy pass complete short right to Evan Moore for 9 yards (tackle by Kam Chancellor),0.760,2.190
4,7:55,1,10,CLE 49,3,6,Colt McCoy pass incomplete short right intended for Greg Little,2.190,1.650
4,7:50,2,10,CLE 49,3,6,"Penalty on Evan Moore: False Start, 5 yards (no play)",1.650,0.970
4,7:50,2,15,CLE 44,3,6,Montario Hardesty right guard for 4 yards (tackle by David Hawthorne and Brandon Mebane),0.970,0.830
4,7:09,3,11,CLE 48,3,6,Colt McCoy up the middle for 12 yards (tackle by Richard Sherman),0.830,2.920
4,6:26,1,10,SEA 40,3,6,Montario Hardesty left guard for no gain (tackle by Red Bryant),2.920,2.370
4,5:43,2,10,SEA 40,3,6,Montario Hardesty right guard for 6 yards (tackle by LeRoy Hill),2.370,2.480
4,4:58,3,4,SEA 34,3,6,Chris Ogbonnaya right guard for 6 yards (tackle by Atari Bigby and Kennard Cox),2.480,3.710
4,4:17,1,10,SEA 28,3,6,Montario Hardesty right tackle for 15 yards (tackle by Kam Chancellor),3.710,4.710
4,3:29,1,10,SEA 13,3,6,Montario Hardesty left guard for 3 yards (tackle by Red Bryant),4.710,4.580
4,3:21,,,,3,6,Timeout #1 by Seattle Seahawks,0.000,4.580
4,3:21,2,7,SEA 10,3,6,Montario Hardesty right guard for 1 yard (tackle by LeRoy Hill and Alan Branch),4.580,3.880
4,3:16,,,,3,6,Timeout #2 by Seattle Seahawks,0.000,3.880
4,3:16,3,6,SEA 9,3,6,Chris Ogbonnaya right tackle for 3 yards (tackle by Kam Chancellor and Richard Sherman),3.880,3.010
4,3:08,,,,3,6,Timeout #3 by Seattle Seahawks,0.000,3.010
4,3:08,4,3,SEA 6,3,6,"Phil Dawson 24 yard field goal no good, blocked by Red Bryant",3.010,-0.280
4,3:05,1,10,SEA 20,3,6,Charlie Whitehurst pass incomplete short right intended for Mike Williams,0.280,-0.270
4,3:00,2,10,SEA 20,3,6,Charlie Whitehurst pass incomplete short right intended for Justin Forsett,-0.270,-0.960
4,2:53,3,10,SEA 20,3,6,"Charlie Whitehurst pass incomplete short right intended for Sidney Rice. Penalty on Joe Haden: Defensive Pass Interference, 11 yards (no play)",-0.960,1.000
4,2:49,1,10,SEA 31,3,6,Charlie Whitehurst pass incomplete deep right intended for Sidney Rice,1.000,0.460
4,2:44,2,10,SEA 31,3,6,Charlie Whitehurst pass complete short right to Leon Washington for 5 yards (tackle by Joe Haden),0.460,0.430
4,2:38,3,5,SEA 36,3,6,Charlie Whitehurst pass incomplete short left intended for Ben Obomanu,0.430,-0.980
4,2:34,4,5,SEA 36,3,6,"Charlie Whitehurst pass complete short left to Doug Baldwin for 10 yards (tackle by Kaluka Maiava). Penalty on Doug Baldwin: Offensive Pass Interference, 10 yards (no play)",-0.980,-1.630
4,2:27,4,15,SEA 26,3,6,Charlie Whitehurst pass incomplete short right intended for Mike Williams (defended by Joe Haden),-1.630,-3.840
4,2:22,1,10,SEA 26,3,6,Montario Hardesty right tackle for 3 yards (tackle by LeRoy Hill),3.840,3.700
4,2:00,2,7,SEA 23,3,6,Montario Hardesty right guard for no gain (tackle by K.J. Wright),3.700,3.010
4,1:18,3,7,SEA 23,3,6,"Colt McCoy left end for -2 yards (tackle by Chris Clemons). Penalty on Red Bryant: Disqualification, 13 yards",3.010,4.780
4,1:05,1,10,SEA 12,3,6,Colt McCoy kneels for -2 yards,4.780,3.790
4,0:25,2,12,SEA 14,3,6,Colt McCoy kneels for -1 yards,3.790,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
