Quarter,Time,Down,ToGo,Location,KAN,STL,Detail,EPB,EPA
2,5:29,4,3,KAN 27,17,7,"Dustin Colquitt punts 40 yards, fair catch by Shaun McDonald",-1.570,-1.140
2,5:21,1,10,STL 33,17,7,Steven Jackson right end for 13 yards (tackle by Kawika Mitchell),1.140,1.990
2,4:56,1,10,STL 46,17,7,Steven Jackson middle for 3 yards (tackle by Ron Edwards),1.990,1.860
2,4:22,2,7,STL 49,17,7,"Penalty on Todd Steussie: False Start, 5 yards (no play)",1.860,1.180
2,3:55,2,12,STL 44,17,7,Marc Bulger pass complete short right to Stephen Davis for 6 yards (tackle by Keyaron Fox),1.180,1.290
2,3:23,3,6,,17,7,Marc Bulger pass incomplete short right intended for Joe Klopfenstein,1.290,-0.060
2,3:19,4,6,,17,7,"Matt Turk punts 50 yards, touchback",-0.060,-0.280
2,3:09,1,10,KAN 20,17,7,Larry Johnson left end for 1 yard (tackle by Brandon Chillar),0.280,-0.130
2,2:32,2,9,KAN 21,17,7,Larry Johnson left tackle for 5 yards (tackle by Jason Fisk),-0.130,-0.160
2,2:24,,,,17,7,Timeout #2 by St. Louis Rams,0.000,-0.160
2,2:24,3,4,KAN 26,17,7,Damon Huard pass complete short left to Eddie Kennison for 14 yards (tackle by Tye Hill),-0.160,1.600
2,2:00,1,10,KAN 40,17,7,Larry Johnson left end for 9 yards (tackle by Will Witherspoon),1.600,2.270
2,1:25,2,1,KAN 49,17,7,Larry Johnson middle for 15 yards (tackle by Tye Hill),2.270,3.180
2,1:17,,,,17,7,Timeout #1 by Kansas City Chiefs,0.000,3.180
2,1:17,1,10,STL 36,17,7,Damon Huard pass complete short right to Tony Gonzalez for 11 yards (tackle by Corey Chavous),3.180,3.910
2,0:58,1,10,STL 25,17,7,Damon Huard pass incomplete deep right intended for Eddie Kennison,3.910,3.360
2,0:54,2,10,STL 25,23,7,"Damon Huard pass complete deep middle to Tony Gonzalez for 25 yards, touchdown",3.360,7.000
2,,,,STL 2,24,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,24,7,"Lawrence Tynes kicks off 66 yards, returned by Kevin Curtis for 15 yards (tackle by Boomer Grigsby)",0.000,0.150
2,0:43,1,10,STL 19,24,7,Marc Bulger pass complete short left to Steven Jackson for 16 yards (tackle by Greg Wesley),0.150,1.270
2,0:37,1,10,STL 35,24,7,Marc Bulger pass complete deep middle to Shaun McDonald for 25 yards (tackle by Kawika Mitchell),1.270,2.920
2,0:21,1,10,KAN 40,24,7,Marc Bulger spiked the ball,2.920,2.370
2,0:20,2,10,KAN 40,24,7,Marc Bulger pass complete short left to Steven Jackson for 9 yards (tackle by Lenny Walls),2.370,2.870
2,0:14,3,1,KAN 31,24,7,Marc Bulger pass complete short right to Kevin Curtis for 6 yards (tackle by Ty Law),2.870,3.910
2,0:09,1,10,KAN 25,24,7,Marc Bulger pass complete short left to Shaun McDonald for 2 yards (tackle by Lenny Walls),3.910,3.630
2,0:04,2,8,KAN 23,24,10,Jeff Wilkins 41 yard field goal good,3.630,3.000
Quarter,Time,Down,ToGo,Location,KAN,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,24,10,"Jeff Wilkins kicks off 64 yards, returned by Dante Hall for 22 yards (tackle by Dane Looker). Penalty on Dwaine Carpenter: Unnecessary Roughness, 15 yards",0.000,1.800
3,14:56,1,10,KAN 43,24,10,Larry Johnson middle for -3 yards (tackle by La'Roi Glover),1.800,0.850
3,14:22,2,13,KAN 40,24,10,Larry Johnson middle for 3 yards (tackle by Dexter Coakley),0.850,0.560
3,13:43,3,10,KAN 43,24,10,Damon Huard pass incomplete short left intended for Larry Johnson (defended by Dexter Coakley),0.560,-0.520
3,13:38,4,10,KAN 43,24,10,Dustin Colquitt punts 53 yards,-0.520,0.380
3,13:27,1,10,STL 4,24,10,Marc Bulger pass incomplete deep left intended for Joe Klopfenstein,-0.380,-0.780
3,13:23,2,10,STL 4,24,10,Steven Jackson right tackle for 2 yards (tackle by Sammy Knight),-0.780,-1.190
3,12:42,3,8,STL 6,24,10,Steven Jackson middle for 5 yards (tackle by Sammy Knight),-1.190,-2.490
3,12:04,4,3,STL 11,24,10,"Matt Turk punts 58 yards, returned by Dante Hall for -1 yards (tackle by Paul Smith)",-2.490,-0.940
3,11:49,1,10,KAN 30,24,10,Damon Huard sacked by Leonard Little for -10 yards,0.940,-0.960
3,11:14,2,20,KAN 20,24,10,Larry Johnson middle for 10 yards (tackle by Corey Chavous),-0.960,-0.300
3,10:37,3,10,KAN 30,24,10,Damon Huard pass complete short right to Eddie Kennison for 5 yards (tackle by Tye Hill),-0.300,-1.040
3,9:58,4,5,KAN 35,24,10,"Dustin Colquitt punts 43 yards, returned by Shaun McDonald for -2 yards (tackle by Kris Griffin)",-1.040,-0.280
3,9:44,1,10,STL 20,24,10,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",0.280,-0.310
3,9:44,1,15,STL 15,24,10,Marc Bulger pass complete deep middle to Torry Holt for 27 yards (tackle by Patrick Surtain),-0.310,1.730
3,9:04,1,10,STL 42,24,10,Steven Jackson middle for 5 yards (tackle by Jared Allen),1.730,1.860
3,8:34,2,5,STL 47,24,10,Steven Jackson right tackle for 4 yards (tackle by Ron Edwards),1.860,1.690
3,7:49,3,1,KAN 49,24,10,Stephen Davis right tackle for 4 yards (tackle by Patrick Surtain),1.690,2.590
3,7:20,1,10,KAN 45,24,10,Marc Bulger pass incomplete short left intended for Torry Holt (defended by Lenny Walls),2.590,2.040
3,7:15,2,10,KAN 45,24,10,Marc Bulger pass complete short right to Kevin Curtis for 9 yards (tackle by Jarrad Page),2.040,2.540
3,6:45,3,1,KAN 36,24,10,Kevin Curtis right end for no gain (tackle by Keyaron Fox),2.540,0.890
3,6:08,4,1,KAN 36,24,10,Marc Bulger pass complete short right to Torry Holt for 6 yards (tackle by Kawika Mitchell),0.890,3.580
3,5:25,1,10,KAN 30,24,10,Steven Jackson left tackle for 22 yards (tackle by Jarrad Page),3.580,5.370
3,4:52,1,8,KAN 8,24,10,"Marc Bulger pass complete short right to Steven Jackson for 6 yards (tackle by Sammy Knight). Steven Jackson fumbles (forced by Sammy Knight), ball out of bounds at KAN-2",5.370,5.720
3,4:31,,,,24,10,Timeout #1 by St. Louis Rams,0.000,5.720
3,4:31,2,2,KAN 2,24,10,Stephen Davis right guard for no gain (tackle by Keyaron Fox),5.720,4.950
3,3:55,3,2,KAN 2,24,16,"Marc Bulger pass complete short right to Kevin Curtis for 2 yards, touchdown",4.950,7.000
3,,,,KAN 2,24,17,"Jeff Wilkins kicks extra point good. Penalty on Michael Bragg: Defensive Offside, 5 yards",0.000,0.000
3,,,,STL 35,24,17,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
3,3:50,1,10,KAN 20,24,17,Larry Johnson left tackle for 4 yards (tackle by Victor Adeyanju),0.280,0.270
3,3:19,2,6,KAN 24,24,17,Damon Huard pass complete short left to Tony Gonzalez for 13 yards (tackle by Brandon Chillar),0.270,1.400
3,2:35,1,10,KAN 37,24,17,Larry Johnson right tackle for 3 yards (tackle by Dexter Coakley),1.400,1.260
3,1:55,2,7,KAN 40,24,17,"Damon Huard for no gain. Damon Huard fumbles, recovered by Kyle Turley at KAN-35",1.260,-0.100
3,1:08,3,12,KAN 35,24,17,Larry Johnson middle for 2 yards (tackle by Travis Fisher),-0.100,-0.910
3,0:30,4,10,KAN 37,24,17,"Dustin Colquitt punts 45 yards, fair catch by Shaun McDonald",-0.910,-0.040
3,0:23,1,10,STL 18,24,17,Steven Jackson left guard for 7 yards (tackle by Keyaron Fox),0.040,0.550
Quarter,Time,Down,ToGo,Location,KAN,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,STL 25,24,17,Marc Bulger pass complete short right to Steven Jackson for 10 yards (tackle by Patrick Surtain),0.550,1.270
4,14:28,1,10,STL 35,24,17,Stephen Davis middle for 3 yards (tackle by Jared Allen),1.270,1.130
4,13:57,2,7,STL 38,24,17,Marc Bulger pass complete deep left to Torry Holt for 17 yards (tackle by Jarrad Page),1.130,2.590
4,13:21,1,10,KAN 45,24,17,Stephen Davis right end for 10 yards (tackle by Keyaron Fox),2.590,3.250
4,12:56,1,10,KAN 35,24,17,Marc Bulger pass complete short left to Joe Klopfenstein for 9 yards (tackle by Jared Allen),3.250,3.920
4,12:08,2,1,KAN 26,24,17,"Penalty on Alex Barron: False Start, 5 yards (no play)",3.920,3.240
4,11:45,2,6,KAN 31,24,17,"Penalty on Alex Barron: False Start, 5 yards (no play)",3.240,2.570
4,11:22,2,11,KAN 36,24,17,Marc Bulger pass incomplete short left intended for Madison Hedgecock,2.570,1.880
4,11:16,3,11,KAN 36,24,17,"Marc Bulger pass complete short right to Isaac Bruce for 12 yards (tackle by Ty Law). Penalty on Isaac Bruce: Offensive Pass Interfere, 10 yards (no play)",1.880,0.560
4,10:51,3,21,KAN 46,24,17,Marc Bulger pass complete short left to Steven Jackson for 10 yards (tackle by Kris Griffin),0.560,0.880
4,10:10,,,,24,17,Timeout #2 by St. Louis Rams,0.000,0.880
4,10:10,4,11,KAN 36,24,17,Jeff Wilkins punts 30 yards,0.880,0.380
4,10:00,1,10,KAN 6,24,17,Damon Huard pass complete short right to Dante Hall for 12 yards (tackle by Brandon Chillar),-0.380,0.040
4,9:36,1,10,KAN 18,24,17,"Damon Huard pass incomplete deep right intended for Kris Wilson. Penalty on Dexter Coakley: Defensive Pass Interfere, 17 yards (no play)",0.040,1.270
4,9:27,1,10,KAN 35,24,17,"Larry Johnson right tackle for 16 yards (tackle by O.J. Atogwe). Penalty on O.J. Atogwe: Face Mask (5 Yards), 5 yards",1.270,2.650
4,9:20,1,10,STL 44,24,17,Larry Johnson left tackle for 15 yards (tackle by Fakhir Brown),2.650,3.640
4,8:50,1,10,STL 29,24,17,Michael Bennett middle for 3 yards (tackle by Jimmy Kennedy),3.640,3.510
4,8:10,2,7,STL 26,24,17,Michael Bennett left end for 4 yards (tackle by Will Witherspoon),3.510,3.340
4,7:20,3,3,STL 22,24,17,Damon Huard pass complete to Tony Gonzalez for 11 yards (tackle by Will Witherspoon),3.340,4.840
4,6:28,1,10,STL 11,30,17,"Damon Huard pass complete short right to Kris Wilson for 11 yards, touchdown",4.840,7.000
4,,,,STL 2,31,17,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,31,17,"Lawrence Tynes kicks off 63 yards, returned by Kevin Curtis for 18 yards (tackle by Bernard Pollard)",0.000,0.610
4,6:14,1,10,STL 25,31,17,Marc Bulger pass complete short left to Steven Jackson for 20 yards (tackle by Ty Law),0.610,1.930
4,5:36,1,10,STL 45,31,17,Marc Bulger pass complete short left to Kevin Curtis for 5 yards (tackle by Lenny Walls),1.930,2.060
4,5:14,2,5,,31,17,Marc Bulger pass complete short middle to Steven Jackson for 6 yards (tackle by Kawika Mitchell),2.060,2.650
4,4:39,1,10,KAN 44,31,17,Stephen Davis left tackle for no gain (tackle by James Reed),2.650,2.110
4,4:13,2,10,KAN 44,31,17,Marc Bulger pass incomplete short right intended for Joe Klopfenstein,2.110,1.420
4,4:06,3,10,KAN 44,31,17,Marc Bulger pass complete short middle to Stephen Davis for 9 yards (tackle by Kawika Mitchell),1.420,1.000
4,4:06,4,1,KAN 35,31,17,Marc Bulger middle for 1 yard (tackle by Eric Hicks),1.000,3.310
4,3:17,1,10,KAN 34,31,17,Marc Bulger pass complete short right to Steven Jackson for 13 yards (tackle by Rich Scanlon),3.310,4.170
4,2:39,1,10,KAN 21,31,17,Marc Bulger pass complete short right to Kevin Curtis for 6 yards (tackle by Ty Law),4.170,4.550
4,2:39,2,4,KAN 15,31,17,Marc Bulger middle for 10 yards (tackle by Patrick Surtain),4.550,6.060
4,2:39,1,5,KAN 5,31,17,Marc Bulger pass incomplete short left intended for Torry Holt,6.060,5.150
4,2:02,2,5,KAN 5,31,17,Marc Bulger pass incomplete short middle intended for Steven Jackson,5.150,4.260
4,1:59,3,5,KAN 5,31,17,Marc Bulger pass incomplete short right intended for Kevin Curtis (defended by Sammy Knight),4.260,3.010
4,1:53,4,5,KAN 5,31,17,Marc Bulger pass incomplete short middle intended for Isaac Bruce (defended by Bernard Pollard),3.010,0.380
4,1:48,1,10,KAN 5,31,17,Larry Johnson right tackle for 1 yard (tackle by Jimmy Kennedy),-0.380,-0.710
4,1:44,,,,31,17,Timeout #3 by St. Louis Rams,0.000,-0.710
4,1:44,2,9,KAN 6,31,17,Larry Johnson right tackle for 3 yards (tackle by La'Roi Glover),-0.710,-0.950
4,1:01,3,6,KAN 9,31,17,Larry Johnson left tackle for 2 yards (tackle by Will Witherspoon),-0.950,-2.490
4,0:14,,,,31,17,Timeout #1 by Kansas City Chiefs,0.000,-2.490
4,0:14,4,4,KAN 11,31,17,"Dustin Colquitt punts 48 yards, fair catch by Shaun McDonald",-2.490,-1.660
4,0:07,1,10,STL 41,31,17,Marc Bulger pass incomplete deep left intended for Kevin Curtis,1.660,1.120
4,0:03,2,10,STL 41,31,17,Marc Bulger pass complete deep left to Kevin Curtis for 23 yards (tackle by Sammy Knight),1.120,3.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
