Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
2,9:31,1,10,HOU 32,0,14,"Rashard Mendenhall left end for 6 yards (tackle by Travis Johnson). Penalty on Travis Johnson: Face Mask (15 Yards), 13 yards",3.450,4.710
2,9:09,1,10,HOU 13,0,20,"Ben Roethlisberger pass complete short middle to Hines Ward for 13 yards, touchdown",4.710,7.000
2,,,,HOU 2,0,21,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,21,"Jeff Reed kicks off 51 yards, returned by Andre' Davis for 3 yards (tackle by Andre Frazier)",0.000,0.410
2,9:00,1,10,HOU 22,0,21,Matt Schaub pass complete short left to Ahman Green for 6 yards (tackle by Larry Foote),0.410,0.680
2,8:40,2,4,HOU 28,0,21,Ahman Green right guard for 6 yards (tackle by Travis Kirschke),0.680,1.200
2,8:04,1,10,HOU 34,0,21,Matt Schaub pass complete short left to Ahman Green for -1 yards (tackle by Nick Eason),1.200,0.520
2,7:23,2,11,HOU 33,0,21,"Matt Schaub pass complete short left to Andre Johnson for 5 yards (tackle by Ike Taylor). Penalty on David Anderson: Offensive Pass Interference, 10 yards (no play)",0.520,-0.830
2,6:55,2,21,HOU 23,0,21,Matt Schaub pass incomplete short left intended for Andre Johnson is intercepted by Troy Polamalu at HOU-32. Penalty on Chester Pitts: Offensive Holding (Declined),-0.830,-3.450
2,6:47,1,10,HOU 32,0,21,"Ben Roethlisberger sacked by Mario Williams for -6 yards. Ben Roethlisberger fumbles (forced by Mario Williams), recovered by DeMeco Ryans at HOU-35 and returned for 41 yards (tackle by Willie Parker). Penalty on Willie Parker: Face Mask (15 Yards), 12 yards",3.450,-4.780
2,6:35,1,10,PIT 12,0,21,Steve Slaton right end for -2 yards (tackle by LaMarr Woodley and Brett Keisel),4.780,3.790
2,5:53,2,12,PIT 14,0,21,Ahman Green up the middle for -3 yards (tackle by James Farrior and Aaron Smith),3.790,2.840
2,5:15,,,,0,21,Timeout #2 by Houston Texans,0.000,2.840
2,5:15,3,15,PIT 17,0,21,Matt Schaub pass complete short left to Ahman Green for 1 yard (tackle by Lawrence Timmons),2.840,2.380
2,4:34,4,14,PIT 16,3,21,Kris Brown 34 yard field goal good,2.380,3.000
2,,,,HOU 30,3,21,"Kris Brown kicks off 66 yards, returned by Rashard Mendenhall for 27 yards (tackle by Jacques Reeves)",0.000,1.000
2,4:21,1,10,PIT 31,3,21,Willie Parker left guard for 2 yards (tackle by DeMeco Ryans),1.000,0.730
2,3:46,2,8,PIT 33,3,21,Willie Parker up the middle for 6 yards (tackle by Morlon Greenwood),0.730,0.830
2,3:07,3,2,PIT 39,3,21,Ben Roethlisberger sacked by Mario Williams for -12 yards,0.830,-1.570
2,2:50,4,14,PIT 27,3,21,"Mitch Berger punts 45 yards, returned by Jacoby Jones for no gain",-1.570,-0.810
2,2:42,1,10,HOU 28,3,21,Matt Schaub pass complete short left to Steve Slaton for 5 yards (tackle by Ike Taylor),0.810,0.940
2,2:13,2,5,HOU 33,3,21,Matt Schaub pass complete short right to Owen Daniels for 10 yards (tackle by Ryan Clark),0.940,1.800
2,2:00,1,10,HOU 43,3,21,Matt Schaub pass complete short left to Vonta Leach for 5 yards (tackle by Ike Taylor),1.800,1.930
2,1:55,2,5,HOU 48,3,21,Matt Schaub pass incomplete deep left intended for Joel Dreessen,1.930,1.220
2,1:49,3,5,HOU 48,3,21,Matt Schaub pass incomplete short left intended for David Anderson,1.220,-0.190
2,1:45,4,5,HOU 48,3,21,"Matt Turk punts 52 yards, touchback",-0.190,-0.280
2,1:35,1,10,PIT 20,3,21,Willie Parker left guard for 3 yards (tackle by Anthony Weaver),0.280,0.140
2,0:55,2,7,PIT 23,3,21,Willie Parker left guard for 1 yard (tackle by Zach Diles),0.140,-0.430
2,0:50,,,,3,21,Timeout #3 by Houston Texans,0.000,-0.430
2,0:50,3,6,PIT 24,3,21,Ben Roethlisberger pass complete short right to Hines Ward for 10 yards (tackle by Demarcus Faggins),-0.430,1.200
2,0:09,1,10,PIT 34,3,21,Willie Parker up the middle for 1 yard (tackle by Zach Diles),1.200,0.790
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 30,3,21,"Kris Brown kicks off 60 yards, returned by Rashard Mendenhall for 19 yards (tackle by Kevin Bentley)",0.000,0.870
3,14:53,1,10,PIT 29,3,21,Willie Parker left guard for 12 yards (tackle by Zach Diles),0.870,1.660
3,14:15,1,10,PIT 41,3,21,Willie Parker up the middle for 9 yards (tackle by DeMeco Ryans and Will Demps),1.660,2.340
3,13:34,2,1,PIT 50,3,21,Willie Parker left guard for 8 yards (tackle by Zach Diles),2.340,2.790
3,12:51,1,10,HOU 42,3,21,"Willie Parker left guard for 3 yards (tackle by Zach Diles). Penalty on Anthony Weaver: Defensive Holding, 5 yards",2.790,3.310
3,12:26,1,10,HOU 34,3,21,Rashard Mendenhall up the middle for 6 yards (tackle by DeMeco Ryans and Will Demps),3.310,3.580
3,11:50,2,4,HOU 28,3,21,Rashard Mendenhall right end for 9 yards (tackle by Jeff Zgonina and Will Demps),3.580,4.310
3,11:09,1,10,HOU 19,3,21,Willie Parker right tackle for 3 yards (tackle by DelJuan Robinson and Fred Bennett),4.310,4.180
3,10:31,2,7,HOU 16,3,21,Ben Roethlisberger pass complete short right to Carey Davis for 10 yards (tackle by Will Demps),4.180,5.830
3,9:58,1,6,HOU 6,3,21,Willie Parker left guard for 2 yards (tackle by Travis Johnson),5.830,5.340
3,9:15,2,4,HOU 4,3,27,"Willie Parker left end for 4 yards, touchdown",5.340,7.000
3,,,,HOU 2,3,28,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,3,28,"Jeff Reed kicks off 67 yards, returned by Andre' Davis for 12 yards (tackle by Donovan Woods)",0.000,-0.220
3,9:05,1,10,HOU 15,3,28,Matt Schaub pass complete short left to Andre Johnson for 6 yards (tackle by Ike Taylor),-0.220,0.210
3,8:42,2,4,HOU 21,3,28,Steve Slaton up the middle for no gain (tackle by Brett Keisel and Ryan Clark),0.210,-0.630
3,8:00,3,4,HOU 21,3,28,Matt Schaub pass incomplete short left intended for Andre Johnson. Penalty on Duane Brown: Face Mask (15 Yards) (Declined),-0.630,-1.960
3,7:55,4,4,HOU 21,3,28,"Matt Turk punts 56 yards, returned by Mewelde Moore for -3 yards (tackle by Antwaun Molden)",-1.960,-0.280
3,7:40,1,10,PIT 20,3,28,Willie Parker right tackle for 2 yards (tackle by Jeff Zgonina),0.280,0.000
3,6:59,2,8,PIT 22,3,28,Ben Roethlisberger pass complete short right to Matt Spaeth for 6 yards (tackle by DeMeco Ryans),0.000,0.100
3,6:15,3,2,PIT 28,3,28,Willie Parker right tackle for 4 yards (tackle by C.C. Brown and Zach Diles),0.100,1.070
3,5:32,1,10,PIT 32,3,28,Ben Roethlisberger pass complete short left to Hines Ward for 2 yards (tackle by Zach Diles),1.070,0.800
3,4:51,2,8,PIT 34,3,28,Willie Parker right tackle for 13 yards (tackle by Zach Diles and DeMeco Ryans),0.800,2.060
3,4:07,1,10,PIT 47,3,28,Willie Parker right end for 32 yards (tackle by C.C. Brown),2.060,4.170
3,3:34,1,10,HOU 21,3,28,Rashard Mendenhall up the middle for 2 yards (tackle by Travis Johnson and N.D. Kalu),4.170,3.900
3,2:53,2,8,HOU 19,3,28,Rashard Mendenhall right guard for 3 yards (tackle by C.C. Brown),3.900,3.630
3,2:10,3,5,HOU 16,3,34,"Ben Roethlisberger pass complete short left to Hines Ward for 16 yards, touchdown",3.630,7.000
3,,,,HOU 2,3,35,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,3,35,"Jeff Reed kicks off 65 yards, returned by Andre' Davis for 20 yards (tackle by Lawrence Timmons)",0.000,0.610
3,1:58,1,10,HOU 25,3,35,Matt Schaub pass complete short left to Andre Johnson for 11 yards (tackle by Ike Taylor),0.610,1.330
3,1:36,1,10,HOU 36,3,35,Matt Schaub sacked by James Harrison for -3 yards,1.330,0.390
3,1:05,2,13,HOU 33,3,35,Ahman Green up the middle for 14 yards (tackle by Ryan Clark),0.390,2.060
3,0:32,1,10,HOU 47,3,35,Ahman Green left guard for 3 yards (tackle by Casey Hampton and Brett Keisel),2.060,1.920
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,HOU 50,3,35,Matt Schaub pass incomplete short left intended for Owen Daniels,1.920,1.220
4,14:57,3,7,HOU 50,3,35,Matt Schaub pass incomplete short middle intended for Andre Johnson,1.220,-0.060
4,14:53,4,7,HOU 50,3,35,"Matt Turk punts 32 yards, fair catch by Mewelde Moore",-0.060,-0.040
4,14:44,1,10,PIT 18,3,35,Rashard Mendenhall right guard for -2 yards (tackle by DeMeco Ryans),0.040,-0.800
4,14:09,2,12,PIT 16,3,35,Rashard Mendenhall right guard for 1 yard (tackle by Zach Diles),-0.800,-1.340
4,13:30,3,11,PIT 17,3,35,Byron Leftwich pass incomplete short right intended for Santonio Holmes,-1.340,-2.320
4,13:22,4,11,PIT 17,3,35,"Mitch Berger punts 45 yards, returned by Jacoby Jones for 5 yards (tackle by James Harrison)",-2.320,-1.800
4,13:14,1,10,HOU 43,3,35,Matt Schaub pass complete short middle to Kevin Walter for 16 yards (tackle by Ike Taylor),1.800,2.850
4,12:42,1,10,PIT 41,3,35,Steve Slaton right guard for 4 yards (tackle by James Harrison and Nick Eason),2.850,2.850
4,12:10,2,6,PIT 37,3,35,Matt Schaub pass complete short middle to Andre Johnson for 11 yards (tackle by Bryant McFadden),2.850,3.840
4,11:38,1,10,PIT 26,3,35,Steve Slaton right guard for 7 yards (tackle by Ryan Clark),3.840,4.270
4,11:03,2,3,PIT 19,3,35,"Penalty on Andre' Davis: False Start, 5 yards (no play)",4.270,3.570
4,10:39,2,8,PIT 24,3,35,"Matt Schaub pass incomplete deep right intended for Andre Johnson. Penalty on Ryan Clark: Defensive Pass Interference, 19 yards (no play)",3.570,6.060
4,10:32,1,5,PIT 5,3,35,"Matt Schaub pass incomplete short left intended for Andre Johnson. Penalty on Duane Brown: Tripping, 10 yards (no play)",6.060,4.370
4,10:28,1,15,PIT 15,3,35,Matt Schaub pass complete short left to Steve Slaton for -3 yards (tackle by Brett Keisel),4.370,3.150
4,9:47,2,18,PIT 18,3,35,Matt Schaub pass complete short left to Steve Slaton for 4 yards (tackle by Bryant McFadden),3.150,3.000
4,9:06,3,14,PIT 14,9,35,"Matt Schaub pass complete short middle to Kevin Walter for 14 yards, touchdown",3.000,7.000
4,,,,PIT 2,10,35,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,10,35,"Kris Brown kicks off 62 yards, returned by Mewelde Moore for 21 yards (tackle by Joel Dreessen)",0.000,0.870
4,8:54,1,10,PIT 29,10,35,Rashard Mendenhall left guard for -3 yards (tackle by Mario Williams),0.870,-0.080
4,8:20,2,13,PIT 26,10,35,Rashard Mendenhall right guard for 4 yards (tackle by DeMeco Ryans and DelJuan Robinson),-0.080,-0.230
4,7:40,3,9,PIT 30,10,35,Byron Leftwich pass incomplete deep left intended for Nate Washington (defended by Jacques Reeves),-0.230,-1.370
4,7:30,4,9,PIT 30,10,35,Mitch Berger punts 39 yards,-1.370,-1.000
4,7:26,1,10,HOU 31,10,35,Matt Schaub pass complete short right to Andre Johnson for 5 yards (tackle by Troy Polamalu),1.000,1.140
4,6:52,2,5,HOU 36,10,35,Steve Slaton left end for 8 yards (tackle by Lawrence Timmons),1.140,1.860
4,6:29,1,10,HOU 44,10,35,"Matt Schaub sacked by James Harrison for -5 yards. Matt Schaub fumbles (forced by James Harrison), recovered by LaMarr Woodley at HOU-30 and returned for 2 yards (tackle by Kevin Walter)",1.860,-3.710
,,,,,,,"HOU challenged the fumble ruling, and the play was upheld.",,
4,6:18,1,10,HOU 28,10,35,Rashard Mendenhall right guard for 2 yards (tackle by DeMeco Ryans and Will Demps),3.710,3.440
4,5:37,2,8,HOU 26,10,35,Byron Leftwich pass incomplete short right intended for Carey Davis,3.440,2.740
4,5:32,3,8,HOU 26,10,35,Byron Leftwich pass incomplete short left intended for Nate Washington,2.740,1.740
4,5:28,4,8,HOU 26,10,38,Jeff Reed 44 yard field goal good,1.740,3.000
4,,,,PIT 30,10,38,"Jeff Reed kicks off 69 yards, returned by Andre' Davis for 25 yards (tackle by Ryan Clark)",0.000,0.670
4,5:17,1,10,HOU 26,10,38,Steve Slaton left tackle for 2 yards (tackle by Travis Kirschke and James Harrison),0.670,0.400
4,4:41,2,8,HOU 28,10,38,Matt Schaub pass complete short right to Andre Johnson for 9 yards (tackle by Bryant McFadden),0.400,1.400
4,4:04,1,10,HOU 37,10,38,Matt Schaub sacked by James Harrison for -3 yards,1.400,0.450
4,3:46,2,13,HOU 34,10,38,Matt Schaub pass complete short left to Owen Daniels for 9 yards (tackle by Ike Taylor),0.450,0.960
4,3:10,3,4,HOU 43,10,38,Steve Slaton up the middle for 6 yards (tackle by Travis Kirschke),0.960,2.190
4,2:41,1,10,HOU 49,10,38,"Matt Schaub pass incomplete short middle intended for Steve Slaton. Penalty on Larry Foote: Defensive Pass Interference, 5 yards (no play)",2.190,2.520
4,2:35,1,10,PIT 46,10,38,Matt Schaub pass complete short right to Owen Daniels for 14 yards (tackle by Ryan Clark),2.520,3.450
4,2:01,1,10,PIT 32,10,38,Steve Slaton up the middle for 2 yards (tackle by Nick Eason and William Gay),3.450,3.170
4,1:57,2,8,PIT 30,10,38,Matt Schaub pass complete short middle to Andre Johnson for 15 yards (tackle by Tyrone Carter),3.170,4.580
4,1:29,1,10,PIT 15,10,38,Matt Schaub pass complete short middle to Andre Johnson for 11 yards (tackle by Tyrone Carter),4.580,6.280
4,1:21,,,,10,38,Timeout #2 by Houston Texans,0.000,6.280
4,1:21,1,4,PIT 4,16,38,"Matt Schaub right end for 4 yards, touchdown",6.280,7.000
4,,,,PIT 2,17,38,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,17,38,"Kris Brown kicks off 68 yards, returned by Mewelde Moore for 12 yards (tackle by Kevin Bentley)",0.000,-0.280
4,1:14,1,10,PIT 14,17,38,Byron Leftwich kneels for no gain,-0.280,-0.750
4,1:14,2,10,PIT 14,17,38,Byron Leftwich kneels for no gain,-0.750,-1.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
