Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
2,0:37,1,10,CIN 29,6,20,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Logan Wilson),,
2,0:31,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:31,2,6,CIN 25,6,20,Derek Carr pass incomplete short middle intended for Darren Waller,,
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:27,3,6,CIN 25,6,20,Derek Carr pass complete short left to Darren Waller for 11 yards (tackle by Tre Flowers),,
2,0:23,1,10,CIN 14,6,20,Derek Carr pass incomplete short middle intended for Jalen Richard,,
2,0:19,2,10,CIN 14,12,20,"Derek Carr pass complete short middle to Zay Jones for 14 yards, touchdown",,
2,0:13,,,CIN 15,13,20,Daniel Carlson kicks extra point good,,
2,0:13,,,LVR 35,13,20,"Daniel Carlson kicks off 65 yards, touchback.",,
2,0:13,1,10,CIN 25,13,20,Joe Burrow kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,13,20,"Daniel Carlson kicks off 57 yards, returned by Chris Evans for 27 yards (tackle by Kyle Wilber)",,
3,14:53,1,10,CIN 35,13,20,Joe Mixon left tackle for 10 yards (tackle by Solomon Thomas),,
3,14:19,1,10,CIN 45,13,20,Joe Burrow pass complete short middle to Ja'Marr Chase for 5 yards (tackle by Denzel Perryman),,
3,13:45,2,5,CIN 50,13,20,Joe Burrow pass complete short right to C.J. Uzomah for 9 yards (tackle by Nate Hobbs),,
3,13:06,1,10,LVR 41,13,20,Joe Mixon left end for 5 yards (tackle by Denzel Perryman),,
3,12:28,2,5,LVR 36,13,20,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Cory Littleton),,
3,12:03,1,10,LVR 29,13,20,Joe Mixon for no gain (no play),,
3,11:57,1,15,LVR 34,13,20,Joe Burrow pass incomplete short right,,
3,11:50,,,,,,Timeout #1 by Las Vegas Raiders,,
3,11:50,2,15,LVR 34,13,20,Joe Burrow pass incomplete deep right intended for Tee Higgins,,
3,11:44,3,15,LVR 34,13,20,Joe Burrow pass complete short middle to Ja'Marr Chase for 9 yards (tackle by Dallin Leavitt),,
3,11:01,4,6,LVR 25,13,23,Evan McPherson 43 yard field goal good,,
3,10:56,,,CIN 35,13,23,"Evan McPherson kicks off 65 yards, touchback.",,
3,10:56,1,10,LVR 25,13,23,Josh Jacobs left tackle for -1 yards (tackle by Germaine Pratt and Logan Wilson),,
3,10:19,2,11,LVR 24,13,23,Derek Carr pass complete short left to Darren Waller for 12 yards (tackle by Chidobe Awuzie),,
3,9:46,1,10,LVR 36,13,23,Josh Jacobs right tackle for no gain (tackle by Sam Hubbard and Eli Apple),,
3,9:09,2,10,LVR 36,13,23,Derek Carr pass complete short right to Bryan Edwards for 6 yards (tackle by Eli Apple),,
3,8:37,3,4,LVR 42,13,23,"Derek Carr pass complete to Hunter Renfrow for -6 yards. Hunter Renfrow fumbles CIN challenged the pass completion ruling, and the original play was overturned. Derek Carr pass incomplete deep left intended for Hunter Renfrow (defended by Jessie Bates)",,
3,8:32,4,4,LVR 42,13,23,"AJ Cole punts 41 yards, returned by Trent Taylor for 12 yards (tackle by Keisean Nixon and Foster Moreau)",,
3,8:21,1,10,CIN 29,13,23,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Casey Hayward),,
3,7:53,2,5,CIN 34,13,23,"Tyler Boyd left end for 3 yards (tackle by Cory Littleton). Penalty on Jonah Williams: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
3,7:42,2,12,CIN 27,13,23,Joe Burrow pass incomplete short right intended for Tee Higgins,,
3,7:35,3,12,CIN 27,13,23,Joe Burrow sacked by Maxx Crosby for -11 yards,,
3,6:57,4,23,CIN 16,13,23,"Kevin Huber punts 57 yards, recovered by Hunter Renfrow at LV-27 (tackle by Mike Thomas)",,
3,6:47,1,10,LVR 27,13,23,"Derek Carr pass complete to DeSean Jackson for no gain. Penalty on Alex Leatherwood: Offensive Holding, 10 yards (accepted) (no play)",,
3,6:21,1,20,LVR 17,13,23,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Chidobe Awuzie),,
3,5:42,2,11,LVR 26,13,23,Derek Carr pass incomplete deep right intended for Bryan Edwards (defended by Eli Apple),,
3,5:36,3,11,LVR 26,13,23,Derek Carr pass complete short middle to Hunter Renfrow for 16 yards (tackle by Markus Bailey),,
3,4:58,1,10,LVR 42,13,23,Josh Jacobs right tackle for 8 yards (tackle by Jessie Bates and B.J. Hill),,
3,4:21,2,2,LVR 50,13,23,Josh Jacobs left guard for 7 yards (tackle by Eli Apple),,
3,3:40,1,10,CIN 43,13,23,Josh Jacobs left tackle for 5 yards (tackle by D.J. Reader and Jessie Bates),,
3,3:04,2,5,CIN 38,13,23,"Josh Jacobs left tackle for no gain (tackle by B.J. Hill). Penalty on Andre James: Offensive Holding, 10 yards (accepted) (no play)",,
3,2:47,2,15,CIN 48,13,23,Derek Carr pass complete short right to Josh Jacobs for 7 yards (tackle by Logan Wilson and Mike Hilton),,
3,2:02,3,8,CIN 41,13,23,Derek Carr pass complete short left to Hunter Renfrow for 5 yards (tackle by Vonn Bell and Chidobe Awuzie),,
3,1:21,4,3,CIN 36,13,23,"Derek Carr pass incomplete intended for Foster Moreau. Penalty on Vernon Hargreaves: Defensive Pass Interference, 11 yards (accepted) (no play)",,
3,1:16,1,10,CIN 25,13,23,Derek Carr pass complete short right to Bryan Edwards for 16 yards (tackle by Jessie Bates),,
3,0:36,1,9,CIN 9,13,23,Derek Carr pass incomplete short right,,
3,0:32,2,9,CIN 9,13,23,"Josh Jacobs right guard for no gain (tackle by Logan Wilson and Vonn Bell). Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",,
3,0:01,2,19,CIN 19,13,23,Derek Carr pass incomplete short left intended for Darren Waller,,
Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,19,CIN 19,13,23,Derek Carr pass complete short right to Darren Waller for 3 yards (tackle by Germaine Pratt),,
4,14:20,4,16,CIN 16,16,23,Daniel Carlson 34 yard field goal good,,
4,14:17,,,LVR 35,16,23,"Daniel Carlson kicks off 63 yards, returned by Chris Evans for 23 yards (tackle by Keisean Nixon and Nate Hobbs)",,
4,14:12,1,10,CIN 25,16,23,Joe Mixon up the middle for 2 yards (tackle by Damion Square),,
4,13:39,2,8,CIN 27,16,23,Joe Burrow pass complete short middle to C.J. Uzomah for 7 yards (tackle by Denzel Perryman and Cory Littleton),,
4,12:59,3,1,CIN 34,16,23,Joe Mixon right guard for 2 yards (tackle by Carl Nassib and Desmond Trufant),,
4,12:21,1,10,CIN 36,16,23,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,,
4,12:13,2,10,CIN 36,16,23,Joe Burrow pass complete short right to Joe Mixon for 3 yards (tackle by Roderic Teamer and Damion Square),,
4,11:29,3,7,CIN 39,16,23,Joe Burrow pass complete short right to Ja'Marr Chase for 19 yards (tackle by Desmond Trufant),,
4,10:49,1,10,LVR 42,16,23,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Desmond Trufant),,
4,10:13,1,10,LVR 31,16,23,Samaje Perine right guard for 2 yards (tackle by Johnathan Hankins and Maxx Crosby),,
4,9:34,2,8,LVR 29,16,23,Joe Burrow pass complete short middle to Tee Higgins for 10 yards (tackle by Desmond Trufant and Cory Littleton),,
4,8:56,1,10,LVR 19,16,23,Joe Burrow pass complete short middle to Tyler Boyd for 6 yards (tackle by Roderic Teamer),,
4,8:14,2,4,LVR 13,16,23,Joe Mixon right tackle for 3 yards (tackle by Denzel Perryman),,
4,7:29,3,1,LVR 10,16,23,Joe Mixon left end for no gain (tackle by Johnathan Hankins),,
4,6:49,,,,,,Timeout #1 by Cincinnati Bengals,,
4,6:49,4,1,LVR 10,16,26,Evan McPherson 28 yard field goal good,,
4,6:46,,,CIN 35,16,26,"Evan McPherson kicks off 64 yards, returned by Tyron Johnson for 22 yards (tackle by Tre Flowers)",,
4,6:41,1,10,LVR 23,16,26,Derek Carr pass complete short left to Hunter Renfrow for 3 yards (tackle by Chidobe Awuzie and Eli Apple),,
4,6:10,2,7,LVR 26,16,26,"Derek Carr pass complete to Josh Jacobs for no gain (tackle by Vonn Bell). Penalty on Alex Leatherwood: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
4,5:59,2,12,LVR 21,16,26,"Derek Carr pass complete to Josh Jacobs for no gain (tackle by Logan Wilson). Penalty on Chidobe Awuzie: Defensive Holding, 5 yards (accepted) (no play)",,
4,5:38,1,10,LVR 26,16,26,Derek Carr pass incomplete deep left intended for Darren Waller,,
4,5:29,2,10,LVR 26,16,26,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Logan Wilson),,
4,5:05,1,10,LVR 39,16,26,Derek Carr pass complete short middle to Hunter Renfrow for 5 yards (tackle by Logan Wilson),,
4,4:38,2,5,LVR 44,16,26,Derek Carr pass incomplete short right intended for Foster Moreau (defended by Jessie Bates),,
4,4:32,3,5,LVR 44,16,26,Derek Carr pass incomplete deep left intended for Bryan Edwards,,
4,4:27,,,,,,Timeout #2 by Las Vegas Raiders,,
4,4:27,4,5,LVR 44,16,26,Derek Carr pass complete deep left to DeSean Jackson for 26 yards (tackle by Eli Apple),,
4,4:19,1,10,CIN 30,16,26,Derek Carr pass complete short middle to Josh Jacobs for 13 yards (tackle by Germaine Pratt),,
4,3:51,1,10,CIN 17,16,26,Derek Carr pass complete short right to Zay Jones for 7 yards (tackle by Eli Apple),,
4,3:47,2,3,CIN 10,16,26,Derek Carr pass incomplete short right,,
4,3:42,3,3,CIN 10,16,26,Derek Carr pass incomplete short right intended for Darren Waller (defended by Sam Hubbard),,
4,3:39,4,3,CIN 10,19,26,Daniel Carlson 28 yard field goal good,,
4,3:34,,,LVR 35,19,26,"Daniel Carlson kicks off 64 yards, returned by Chris Evans for 25 yards (tackle by Cory Littleton)",,
4,3:29,1,10,CIN 26,19,26,Joe Mixon left tackle for -2 yards (tackle by Maxx Crosby and Carl Nassib),,
4,2:44,2,12,CIN 24,19,26,Ja'Marr Chase right end for 1 yard (tackle by Desmond Trufant and Maxx Crosby),,
4,2:35,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:35,,,,,,Timeout #2 by Cincinnati Bengals,,
4,2:35,3,11,CIN 25,19,26,Joe Burrow pass complete short left to C.J. Uzomah for 7 yards (tackle by Nate Hobbs and K.J. Wright),,
4,2:00,4,4,CIN 32,19,26,Kevin Huber punts 33 yards downed by Michael Thomas,,
4,1:51,1,10,LVR 35,19,26,"Derek Carr pass complete short left to Josh Jacobs for 15 yards (tackle by Tre Flowers). Penalty on Khalid Kareem: Roughing the Passer, 15 yards (accepted)",,
4,1:44,1,10,CIN 35,19,26,Derek Carr pass incomplete short middle intended for Darren Waller,,
4,1:39,2,10,CIN 35,19,26,Derek Carr sacked by B.J. Hill for -7 yards,,
4,1:16,3,17,CIN 42,19,26,Derek Carr pass complete deep middle to Darren Waller for 23 yards (tackle by Tre Flowers),,
4,0:56,1,10,CIN 19,19,26,Derek Carr pass incomplete short right intended for Josh Jacobs (defended by Logan Wilson),,
4,0:50,2,10,CIN 19,19,26,Derek Carr pass incomplete short right intended for Foster Moreau,,
4,0:45,3,10,CIN 19,19,26,Derek Carr pass complete short right to Zay Jones for 10 yards (tackle by Vonn Bell),,
4,0:30,1,9,CIN 9,19,26,Derek Carr spiked the ball,,
4,0:29,2,9,CIN 9,19,26,Derek Carr pass incomplete short middle intended for Zay Jones (defended by Jessie Bates),,
4,0:25,3,9,CIN 9,19,26,Derek Carr pass incomplete short left intended for Hunter Renfrow,,
4,0:17,4,9,CIN 9,19,26,Derek Carr pass short middle intended for Zay Jones is intercepted by Germaine Pratt at CIN-2 and returned for 2 yards (tackle by Zay Jones),,
4,0:12,1,10,CIN 4,19,26,Joe Burrow kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
