Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
2,2:14,2,8,SFO 22,3,6,Alex Smith pass complete short right to Frank Gore for 9 yards (tackle by Jarret Johnson),0.000,1.000
2,2:00,1,10,SFO 31,3,6,Alex Smith pass incomplete short left intended for Frank Gore,1.000,0.460
2,1:55,2,10,SFO 31,3,6,Alex Smith pass complete short middle to Ted Ginn Jr. for 12 yards (tackle by Cary Williams),0.460,1.800
2,1:27,1,10,SFO 43,3,6,Alex Smith pass complete short middle to Michael Crabtree for 10 yards (tackle by Pernell McPhee),1.800,2.460
2,0:45,1,10,BAL 47,3,6,Alex Smith pass complete short right to Vernon Davis for 7 yards,2.460,2.860
2,0:39,2,3,BAL 40,3,6,Alex Smith pass incomplete short left intended for Braylon Edwards,2.860,2.150
2,0:32,3,3,BAL 40,3,6,Frank Gore right guard for no gain (tackle by Paul Kruger and Jameel McClain),2.150,0.590
2,0:23,,,,3,6,Timeout #1 by Baltimore Ravens,0.000,0.590
2,0:23,4,3,BAL 40,3,6,"Alex Smith pass complete short right to Delanie Walker for 3 yards (tackle by Bernard Pollard). Penalty on Tom Zbikowski: Defensive 12 On-field, 5 yards (no play)",0.590,3.250
2,0:18,1,10,BAL 35,3,6,Alex Smith pass incomplete deep right intended for Braylon Edwards is intercepted by Lardarius Webb at BAL-0,3.250,-0.280
2,0:11,1,10,BAL 20,3,6,Joe Flacco kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,3,6,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,SFO 20,3,6,Frank Gore left guard for 5 yards (tackle by Albert McClellan and Jameel McClain),0.280,0.410
3,14:26,2,5,SFO 25,3,6,Alex Smith pass complete short right to Michael Crabtree for 8 yards (tackle by Jimmy Smith and Bernard Pollard),0.410,1.140
3,13:58,1,10,SFO 33,3,6,Frank Gore up the middle for -1 yards (tackle by Cory Redding),1.140,0.460
3,13:15,2,11,SFO 32,3,6,Alex Smith sacked by Haloti Ngata for -6 yards,0.460,-1.020
3,12:36,3,17,SFO 26,3,6,Alex Smith pass complete deep right to Michael Crabtree for 18 yards (tackle by Lardarius Webb),-1.020,1.860
3,11:57,1,10,SFO 44,3,6,Frank Gore right guard for 3 yards (tackle by Jameel McClain),1.860,1.720
3,11:16,2,7,SFO 47,3,6,Alex Smith for 8 yards (tackle by Paul Kruger),1.720,2.590
3,10:48,1,10,BAL 45,3,6,Alex Smith pass complete short right to Ted Ginn Jr. for 9 yards (tackle by Albert McClellan and Ed Reed),2.590,3.260
3,10:22,2,1,BAL 36,3,6,Frank Gore right guard for 9 yards (tackle by Bernard Pollard and Albert McClellan),3.260,3.780
3,9:42,1,10,BAL 27,3,6,Kendall Hunter left guard for 2 yards (tackle by Bernard Pollard and Albert McClellan),3.780,3.500
3,8:56,2,8,BAL 25,3,6,Alex Smith sacked by Terrell Suggs for -10 yards,3.500,1.490
3,8:16,3,18,BAL 35,3,6,Kendall Hunter left tackle for 1 yard (tackle by Brendon Ayanbadejo and Jameel McClain),1.490,1.060
3,7:35,4,17,BAL 34,6,6,David Akers 52 yard field goal good,1.060,3.000
3,,,,SFO 35,6,6,"David Akers kicks off 57 yards, returned by Tom Zbikowski for 16 yards (tackle by Delanie Walker)",0.000,0.540
3,7:25,1,10,BAL 24,6,6,Ray Rice right guard for 4 yards (tackle by Ray McDonald and Navorro Bowman),0.540,0.540
3,6:49,2,6,BAL 28,6,6,Joe Flacco pass incomplete short left intended for Anquan Boldin,0.540,-0.160
3,6:43,3,6,BAL 28,6,6,Joe Flacco pass complete short right to Anquan Boldin for 7 yards (tackle by Chris Culliver),-0.160,1.270
3,6:03,1,10,BAL 35,6,6,Ray Rice right guard for 3 yards (tackle by Isaac Sopoaga and Justin Smith),1.270,1.130
3,5:26,2,7,BAL 38,6,6,Joe Flacco pass incomplete short right intended for Anquan Boldin (defended by Carlos Rogers),1.130,0.430
3,5:19,3,7,BAL 38,6,6,Joe Flacco pass complete short left to Lee Evans for 8 yards (tackle by Carlos Rogers),0.430,1.990
3,4:38,1,10,BAL 46,6,6,Joe Flacco pass complete short right to Ricky Williams for -1 yards (tackle by Patrick Willis),1.990,1.320
3,3:53,2,11,BAL 45,6,6,Ricky Williams right tackle for 5 yards (tackle by Navorro Bowman),1.320,1.290
3,3:14,3,6,BAL 50,6,6,Joe Flacco pass complete short right to Dennis Pitta for 11 yards (tackle by Chris Culliver),1.290,2.980
3,2:32,1,10,SFO 39,6,6,Joe Flacco pass complete short middle to Ray Rice for 6 yards (tackle by Ahmad Brooks),2.980,3.250
3,1:52,2,4,SFO 33,6,6,Joe Flacco pass complete short right to Vonta Leach for 10 yards (tackle by Patrick Willis),3.250,4.040
3,1:22,1,10,SFO 23,6,6,Joe Flacco pass incomplete short right intended for Ed Dickson,4.040,3.500
3,1:19,2,10,SFO 23,6,6,Joe Flacco pass complete short right to Ed Dickson for 15 yards (tackle by Chris Culliver and Patrick Willis),3.500,5.370
3,0:45,1,8,SFO 8,6,6,Joe Flacco pass incomplete short right intended for Torrey Smith (defended by Chris Culliver),5.370,4.570
3,0:41,2,8,SFO 8,6,6,Ray Rice right guard for no gain (tackle by Aldon Smith),4.570,3.580
Quarter,Time,Down,ToGo,Location,SFO,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,SFO 8,6,12,"Joe Flacco pass complete short middle to Dennis Pitta for 8 yards, touchdown",3.580,7.000
4,,,,SFO 2,6,13,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 35,6,13,"Billy Cundiff kicks off 66 yards, returned by Ted Ginn Jr. for 29 yards (tackle by David Reed)",0.000,0.810
4,14:49,1,10,SFO 28,6,13,Alex Smith pass complete short left to Michael Crabtree for 8 yards (tackle by Cary Williams),0.810,1.340
4,14:08,2,2,SFO 36,6,13,"Frank Gore right guard for no gain (tackle by Terrell Suggs). Penalty on Delanie Walker: Illegal Shift, 5 yards (no play)",1.340,0.670
4,13:40,2,7,SFO 31,6,13,Alex Smith pass incomplete short left intended for Kyle Williams,0.670,-0.030
4,13:35,3,7,SFO 31,6,13,Alex Smith sacked by Lardarius Webb and Cory Redding for -2 yards,-0.030,-1.440
4,13:07,4,9,SFO 29,6,13,"Andy Lee punts 61 yards, returned by Lardarius Webb for 18 yards (tackle by Colin Jones)",-1.440,-0.810
4,12:54,1,10,BAL 28,6,13,Ray Rice left guard for 3 yards (tackle by Navorro Bowman and Ray McDonald),0.810,0.670
4,12:18,2,7,BAL 31,6,13,Ray Rice right guard for 3 yards (tackle by Justin Smith and Patrick Willis),0.670,0.370
4,11:37,3,4,BAL 34,6,13,Joe Flacco pass complete short left to Torrey Smith for 11 yards (tackle by Tarell Brown),0.370,1.930
4,11:08,1,10,BAL 45,6,13,Ricky Williams left guard for 7 yards (tackle by Donte Whitner),1.930,2.330
4,10:31,2,3,SFO 48,6,13,Ricky Williams right guard for 2 yards (tackle by Justin Smith and Navorro Bowman),2.330,1.880
4,9:52,,,,6,13,Timeout #1 by Baltimore Ravens,0.000,1.880
4,9:52,3,1,SFO 46,6,13,Ricky Williams right end for no gain (tackle by Navorro Bowman),1.880,0.200
4,9:10,4,1,SFO 46,6,13,"Sam Koch punts 36 yards, fair catch by Ted Ginn Jr.",0.200,0.380
4,9:01,1,10,SFO 10,6,13,Frank Gore left tackle for 2 yards (tackle by Jarret Johnson),-0.380,-0.630
4,8:19,2,8,SFO 12,6,13,Alex Smith pass incomplete short right intended for Michael Crabtree (defended by Ed Reed),-0.630,-1.190
4,8:12,3,8,SFO 12,6,13,"Alex Smith sacked by Terrell Suggs for -3 yards. Alex Smith fumbles (forced by Terrell Suggs), ball out of bounds at SFO-9",-1.190,-2.490
4,7:37,4,11,SFO 9,6,13,"Andy Lee punts 57 yards, returned by Lardarius Webb for 6 yards (tackle by C.J. Spillman)",-2.490,-1.600
4,7:26,1,10,BAL 40,6,13,Ray Rice right guard for 4 yards (tackle by Ray McDonald and Patrick Willis),1.600,1.590
4,6:48,2,6,BAL 44,6,13,Ray Rice right tackle for 2 yards (tackle by Carlos Rogers),1.590,1.160
4,6:04,3,4,BAL 46,6,13,Joe Flacco pass complete short right to Ray Rice for 17 yards (tackle by Chris Culliver),1.160,3.120
4,5:24,1,10,SFO 37,6,13,Ricky Williams left guard for 12 yards (tackle by Tarell Brown and Donte Whitner),3.120,3.910
4,4:41,1,10,SFO 25,6,13,Ricky Williams left guard for 3 yards (tackle by Isaac Sopoaga and Ray McDonald),3.910,3.770
4,4:02,2,7,SFO 22,6,13,Ray Rice right guard for 2 yards (tackle by Isaac Sopoaga),3.770,3.340
4,3:20,3,5,SFO 20,6,13,Ray Rice left guard for -1 yards (tackle by Aldon Smith),3.340,2.080
4,3:14,,,,6,13,Timeout #1 by San Francisco 49ers,0.000,2.080
4,3:14,4,6,SFO 21,6,16,Billy Cundiff 39 yard field goal good,2.080,3.000
4,,,,BAL 35,6,16,"Billy Cundiff kicks off 70 yards, returned by Ted Ginn Jr. for 36 yards (tackle by Haruki Nakamura)",0.000,1.000
4,3:05,1,10,SFO 31,6,16,Alex Smith sacked by Terrell Suggs for -7 yards,1.000,-0.490
4,2:48,2,17,SFO 24,6,16,Alex Smith pass complete short middle to Kendall Hunter for 13 yards (tackle by Brendon Ayanbadejo),-0.490,0.560
4,2:20,3,4,SFO 37,6,16,Alex Smith pass incomplete short middle intended for Michael Crabtree (defended by Lardarius Webb),0.560,-0.910
4,2:17,4,4,SFO 37,6,16,Alex Smith pass complete short left to Braylon Edwards for 5 yards (tackle by Cary Williams),-0.910,1.730
,,,,,,,"BAL challenged the first down ruling, and the play was upheld.",,
4,2:00,1,10,SFO 42,6,16,Alex Smith left end for 4 yards (tackle by Brendon Ayanbadejo),1.730,1.730
4,1:34,2,6,SFO 46,6,16,"Alex Smith pass incomplete short right intended for Michael Crabtree. Penalty on Alex Smith: Intentional Grounding, 15 yards",1.730,-0.960
4,1:26,3,21,SFO 31,6,16,Alex Smith pass complete short middle to Vernon Davis for 9 yards (tackle by Brendon Ayanbadejo),-0.960,-0.720
4,1:18,,,,6,16,Timeout #2 by San Francisco 49ers,0.000,-0.720
4,1:18,4,12,SFO 40,6,16,Alex Smith pass incomplete short right intended for Ted Ginn Jr. (defended by Jimmy Smith),-0.720,-2.920
4,1:15,1,10,SFO 40,6,16,Joe Flacco kneels for -1 yards,2.920,2.240
4,1:13,,,,6,16,Timeout #3 by San Francisco 49ers,0.000,2.240
4,1:13,2,11,SFO 41,6,16,Joe Flacco kneels for -1 yards,2.240,1.420
4,0:38,3,12,SFO 42,6,16,Joe Flacco kneels for -1 yards,1.420,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
