Quarter,Time,Down,ToGo,Location,LAR,MIA,Detail,EPB,EPA
3,6:15,4,6,LAR 30,10,28,"Johnny Hekker punts 44 yards, fair catch by Jakeem Grant at MIA-26",-1.370,-0.670
3,6:07,1,10,MIA 26,10,28,Matt Breida left guard for 4 yards (tackle by Micah Kiser and Greg Gaines),0.670,0.670
3,5:23,2,6,MIA 30,10,28,Tua Tagovailoa pass incomplete short left intended for Adam Shaheen (defended by Kenny Young),0.670,-0.030
3,5:19,3,6,MIA 30,10,28,Tua Tagovailoa pass incomplete short middle intended for Jakeem Grant,-0.030,-1.370
3,5:13,4,6,MIA 30,10,28,"Matt Haack punts 40 yards, returned by Nsimba Webster for 5 yards (tackle by Clayton Fejedelem). Penalty on Darious Williams: Offensive Holding, 10 yards",-1.370,-0.610
3,5:02,1,10,LAR 25,10,28,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Nik Needham),0.610,0.870
3,4:33,2,4,LAR 31,10,28,Cam Akers left guard for 2 yards (tackle by Eric Rowe and Shaq Lawson),0.870,0.430
3,3:48,3,2,LAR 33,10,28,Jared Goff pass complete short middle to Robert Woods for 26 yards (tackle by Bobby McCain),0.430,2.850
3,3:22,,,,,,Timeout #1 by Miami Dolphins,,
3,3:22,1,10,MIA 41,10,28,"Jared Goff pass complete deep left to Cooper Kupp for 34 yards (tackle by Andrew Van Ginkel). Penalty on Robert Woods: Offensive Holding, 10 yards (no play)",2.850,2.190
3,2:56,1,20,LAR 49,10,28,Cam Akers right tackle for 3 yards (tackle by Zach Sieler and Tae Hayes),2.190,1.360
3,2:18,2,17,MIA 48,10,28,Jared Goff pass incomplete short right intended for Tyler Higbee (defended by Kyle Van Noy) (defended by Eric Rowe),1.360,0.700
3,2:15,3,17,MIA 48,10,28,Jared Goff pass complete short left to Gerald Everett for 7 yards (tackle by Tae Hayes),0.700,0.530
3,1:26,4,10,MIA 41,10,28,Jared Goff pass incomplete short right intended for Cooper Kupp (defended by Eric Rowe),0.530,-1.660
3,1:22,1,10,MIA 41,10,28,Myles Gaskin left end for 5 yards (tackle by Taylor Rapp),1.660,1.800
3,0:39,2,5,MIA 46,10,28,"Myles Gaskin left guard for 1 yard (tackle by John Johnson). Penalty on Solomon Kindley: Offensive Holding, 10 yards (no play)",1.800,0.450
3,0:13,2,15,MIA 36,10,28,Myles Gaskin up the middle for 1 yard (tackle by Kenny Young),0.450,-0.100
Quarter,Time,Down,ToGo,Location,LAR,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,14,MIA 37,10,28,Tua Tagovailoa pass complete short right to Preston Williams for 7 yards (tackle by Nick Scott),-0.100,-0.460
4,14:15,4,7,MIA 44,10,28,"Matt Haack punts 47 yards, returned by Nsimba Webster for 2 yards",-0.460,0.370
4,14:07,1,10,LAR 11,10,28,Cam Akers left guard for 4 yards (tackle by Christian Wilkins),-0.370,-0.430
4,13:29,2,6,LAR 15,10,28,Cam Akers right guard for 5 yards (tackle by Elandon Roberts),-0.430,-0.370
4,13:10,3,1,LAR 20,10,28,Cam Akers left tackle for 2 yards (tackle by Christian Wilkins),-0.370,0.410
4,12:32,1,10,LAR 22,10,28,Jared Goff pass complete short left to Cooper Kupp for 6 yards,0.410,0.680
4,12:13,2,4,LAR 28,10,28,Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by Xavien Howard),0.680,1.330
4,11:55,1,10,LAR 36,10,28,Jared Goff pass complete short left to Josh Reynolds for 15 yards (tackle by Tae Hayes). Penalty on Tae Hayes: Illegal Use of Hands (Declined),1.330,2.320
4,11:24,1,10,MIA 49,10,28,Jared Goff pass complete short right to Van Jefferson for 15 yards (tackle by Xavien Howard),2.320,3.310
4,11:00,1,10,MIA 34,10,28,Jared Goff pass complete short left to Cam Akers for 19 yards (tackle by Brandon Jones),3.310,4.580
4,10:32,,,,,,Timeout #2 by Miami Dolphins,,
4,10:32,1,10,MIA 15,10,28,Malcolm Brown right guard for 4 yards (tackle by Kyle Van Noy and Kamu Grugier-Hill),4.580,4.640
4,10:03,2,6,MIA 11,16,28,"Jared Goff pass complete short left to Robert Woods for 11 yards, touchdown",4.640,7.000
4,9:58,,,MIA 15,17,28,Kai Forbath kicks extra point good,0.000,0.000
4,9:58,,,LAR 35,17,28,"Kai Forbath kicks off 65 yards, touchback.",0.000,0.610
4,9:58,1,10,MIA 25,17,28,Tua Tagovailoa pass complete short right to Durham Smythe for 8 yards (tackle by John Johnson and Troy Hill),0.610,1.140
4,9:20,2,2,MIA 33,17,28,Myles Gaskin left tackle for 1 yard (tackle by Samson Ebukam and Micah Kiser),1.140,0.560
4,8:36,3,1,MIA 34,17,28,Tua Tagovailoa pass complete short left to Isaiah Ford for 10 yards (tackle by Troy Hill),0.560,1.860
4,8:00,1,10,MIA 44,17,28,Matt Breida left tackle for no gain (tackle by Justin Hollins and Micah Kiser),1.860,1.320
4,7:20,2,10,MIA 44,17,28,Tua Tagovailoa pass complete short left to Mike Gesicki for 8 yards (tackle by David Long),1.320,1.690
4,6:42,3,2,LAR 48,17,28,Tua Tagovailoa pass incomplete short left intended for Myles Gaskin (defended by Taylor Rapp),1.690,0.070
4,6:38,4,2,LAR 48,17,28,"Matt Haack punts 40 yards, fair catch by Nsimba Webster at LA-8",0.070,0.380
4,6:30,1,10,LAR 8,17,28,Jared Goff pass complete short left to Cooper Kupp for 9 yards (tackle by Jerome Baker and Nik Needham),-0.380,0.050
4,6:08,2,1,LAR 17,17,28,Jared Goff pass complete short right to Tyler Higbee for 13 yards (tackle by Kyle Van Noy),0.050,0.940
4,5:50,1,10,LAR 30,17,28,Jared Goff pass complete short middle to Robert Woods for 9 yards (tackle by Jerome Baker),0.940,1.610
4,5:30,2,1,LAR 39,17,28,Malcolm Brown left guard for 4 yards (tackle by Jerome Baker and Raekwon Davis),1.610,1.800
4,5:00,1,10,LAR 43,17,28,Jared Goff pass incomplete short left,1.800,1.250
4,4:56,2,10,LAR 43,17,28,Jared Goff pass complete short right to Cooper Kupp for 7 yards (tackle by Nik Needham),1.250,1.490
4,4:50,3,3,LAR 50,17,28,Jared Goff pass complete short left to Cooper Kupp for 15 yards (tackle by Nik Needham),1.490,3.250
4,4:20,1,10,MIA 35,17,28,Jared Goff pass incomplete short middle intended for Cooper Kupp (defended by Jerome Baker),3.250,2.700
4,4:14,2,10,MIA 35,17,28,Jared Goff pass complete short right to Gerald Everett for 5 yards (tackle by Kyle Van Noy),2.700,2.680
4,3:47,3,5,MIA 30,17,28,Jared Goff pass incomplete short right intended for Gerald Everett (defended by Eric Rowe),2.680,1.450
4,3:42,4,5,MIA 30,17,28,Kai Forbath 48 yard field goal no good,1.450,-1.470
4,3:38,1,10,MIA 38,17,28,Myles Gaskin left guard for 3 yards (tackle by Justin Hollins and Micah Kiser),1.470,1.330
4,3:29,,,,,,Timeout #1 by Los Angeles Rams,,
4,3:29,2,7,MIA 41,17,28,Myles Gaskin left tackle for 6 yards (tackle by Morgan Fox and Troy Hill),1.330,1.420
4,2:45,3,1,MIA 47,17,28,Myles Gaskin left guard for 2 yards (tackle by Micah Kiser and John Johnson),1.420,2.190
4,2:36,,,,,,Timeout #2 by Los Angeles Rams,,
4,2:36,1,10,MIA 49,17,28,Myles Gaskin up the middle for 1 yard (tackle by Sebastian Joseph and Samson Ebukam),2.190,1.780
4,2:32,,,,,,Timeout #3 by Los Angeles Rams,,
4,2:32,2,9,MIA 50,17,28,Myles Gaskin left tackle for 6 yards (tackle by Sebastian Joseph),1.780,1.880
4,2:00,3,3,LAR 44,17,28,Myles Gaskin up the middle for no gain (tackle by Taylor Rapp),1.880,0.330
4,1:15,,,,,,Timeout #3 by Miami Dolphins,,
4,1:15,4,3,LAR 44,17,28,"Matt Haack punts 39 yards, fair catch by Nsimba Webster at LA-5",0.330,0.380
4,1:08,1,10,LAR 5,17,28,Jared Goff pass complete short right to Gerald Everett for 11 yards (tackle by Brandon Jones),-0.380,-0.140
4,0:53,1,10,LAR 16,17,28,Jared Goff pass complete short middle to Malcolm Brown for 14 yards (tackle by Brandon Jones and Jerome Baker),-0.140,0.940
4,0:34,1,10,LAR 30,17,28,Jared Goff spiked the ball,0.940,0.390
4,0:33,2,10,LAR 30,17,28,Jared Goff pass complete short right to Gerald Everett for 4 yards (tackle by Jerome Baker),0.390,0.230
4,0:15,3,6,LAR 34,17,28,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Xavien Howard),0.230,1.600
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
