Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2,0:34,,,,,,Timeout #1 by Houston Texans,,
2,0:34,1,10,HOU 43,17,17,Davis Mills pass complete short right to Dare Ogunbowale for 4 yards (tackle by Jayron Kearse),1.800,1.790
2,0:29,2,6,HOU 47,17,17,Davis Mills pass complete short left to Amari Rodgers for 7 yards (tackle by DaRon Bland),1.790,2.520
2,0:23,,,,,,Timeout #2 by Houston Texans,,
2,0:23,1,10,DAL 46,17,17,"Davis Mills pass incomplete deep left intended for Phillip Dorsett. Penalty on Dorance Armstrong: Defensive Offside, 5 yards (accepted) . Penalty on Trevon Diggs: Defensive Pass Interference, 15 yards (declined) (no play)",2.520,3.250
2,0:19,1,5,DAL 41,17,17,Davis Mills pass complete short right to Phillip Dorsett for 9 yards (tackle by Kelvin Joseph),3.250,3.450
2,0:02,,,,,,Timeout #3 by Houston Texans,,
2,0:02,1,10,DAL 32,20,17,Ka'imi Fairbairn 50 yard field goal good,3.450,3.000
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,20,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,20,17,Jeff Driskel pass complete short left to Chris Moore for 1 yard (tackle by DaRon Bland),0.610,0.200
3,14:32,2,9,HOU 26,20,17,Dameon Pierce up the middle for 3 yards (tackle by Carlos Watkins and Osa Odighizuwa),0.200,-0.100
3,13:55,3,6,HOU 29,20,17,Davis Mills pass complete short middle to Amari Rodgers for 8 yards (tackle by Damone Clark),-0.100,1.400
3,13:19,1,10,HOU 37,20,17,"Dameon Pierce left tackle for no gain. Dameon Pierce fumbles (forced by Donovan Wilson), recovered by Trevon Diggs at HOU-45 and returned for 17 yards (tackle by A.J. Cann)",1.400,-3.710
3,12:59,1,10,HOU 28,20,17,Ezekiel Elliott up the middle for 5 yards (tackle by Jalen Pitre),3.710,3.840
3,12:38,2,5,HOU 23,20,17,Ezekiel Elliott up the middle for 5 yards (tackle by Jonathan Owens and Roy Lopez),3.840,4.370
3,12:06,1,10,HOU 18,20,17,Ezekiel Elliott left end for 6 yards (tackle by Jalen Pitre),4.370,4.810
3,11:30,2,4,HOU 12,20,17,Tony Pollard left guard for 3 yards (tackle by Roy Lopez and Christian Kirksey),4.810,4.740
3,10:55,3,1,HOU 9,20,17,Tony Pollard up the middle for 1 yard (tackle by Ogbonnia Okoronkwo and Taylor Stallworth),4.740,5.370
3,10:22,1,8,HOU 8,20,17,Ezekiel Elliott right end for 1 yard (tackle by Jake Hansen),5.370,4.760
3,9:39,2,7,HOU 7,20,17,Ezekiel Elliott right tackle for 4 yards (tackle by Rasheem Green),4.760,4.720
3,9:00,3,3,HOU 3,20,17,Ezekiel Elliott left guard for 2 yards (tackle by Jalen Pitre),4.720,3.550
3,8:23,4,1,HOU 1,20,17,Ezekiel Elliott up the middle for -1 yards (tackle by Desmond King and Christian Harris),3.550,0.380
3,8:19,1,10,HOU 2,20,17,Dameon Pierce right tackle for 4 yards (tackle by Leighton Vander Esch),-0.380,-0.490
3,7:53,2,6,HOU 6,20,17,Jeff Driskel scrambles right end for 10 yards (tackle by Leighton Vander Esch),-0.490,-0.140
3,7:12,1,10,HOU 16,20,17,Dameon Pierce right guard for 24 yards (tackle by DaRon Bland and Jayron Kearse),-0.140,1.600
3,6:26,1,10,HOU 40,20,17,Dameon Pierce right guard for 4 yards (tackle by DeMarcus Lawrence and Dante Fowler),1.600,1.590
3,5:46,2,6,HOU 44,20,17,Jeff Driskel pass incomplete short middle intended for Jordan Akins (defended by Jayron Kearse),1.590,0.890
3,5:42,3,6,HOU 44,20,17,Davis Mills pass complete short left to Amari Rodgers for 14 yards (tackle by DaRon Bland),0.890,2.790
3,5:09,1,10,DAL 42,20,17,Eno Benjamin up the middle for -4 yards (tackle by Quinton Bohanna and Sam Williams),2.790,1.700
3,4:26,2,14,DAL 46,20,17,Jeff Driskel left end for 5 yards (tackle by Trevon Diggs),1.700,1.680
3,3:42,3,9,DAL 41,20,17,Davis Mills pass complete to Chris Moore for 6 yards (tackle by Kelvin Joseph),1.680,0.990
3,3:07,4,3,DAL 35,23,17,Ka'imi Fairbairn 54 yard field goal good,0.990,3.000
3,3:03,,,HOU 35,23,17,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,3:03,1,10,DAL 25,23,17,Dak Prescott pass complete short right to Tony Pollard for 6 yards (tackle by Tremon Smith),0.610,0.870
3,2:38,2,4,DAL 31,23,17,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Christian Harris),0.870,0.170
3,2:33,3,4,DAL 31,23,17,Dak Prescott scrambles left end for 3 yards (tackle by Christian Kirksey),0.170,-1.110
3,1:49,4,1,DAL 34,23,17,Dak Prescott up the middle for 4 yards (tackle by Tavierre Thomas and Desmond King),-1.110,1.470
3,1:25,1,10,DAL 38,23,17,Dak Prescott pass complete short middle to Michael Gallup for 24 yards (tackle by Jalen Pitre),1.470,3.050
3,1:01,1,10,HOU 38,23,17,Dak Prescott pass complete short middle to Dalton Schultz for 5 yards (tackle by Taylor Stallworth),3.050,3.180
3,0:28,2,5,HOU 33,23,17,Tony Pollard left tackle for -2 yards (tackle by Taylor Stallworth),3.180,2.210
Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,HOU 35,23,17,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Christian Kirksey),2.210,0.970
4,14:54,4,7,HOU 35,23,20,Brett Maher 53 yard field goal good,0.970,3.000
4,14:50,,,DAL 35,23,20,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,14:50,1,10,HOU 25,23,20,Davis Mills scrambles right end for 2 yards (tackle by Leighton Vander Esch),0.610,0.330
4,14:13,2,8,HOU 27,23,20,Dameon Pierce right tackle for 1 yard (tackle by DeMarcus Lawrence and Sam Williams),0.330,-0.230
4,13:37,3,7,HOU 28,23,20,Davis Mills pass incomplete short right intended for Chris Moore (defended by Kelvin Joseph),-0.230,-1.500
4,13:32,4,7,HOU 28,23,20,Cameron Johnston punts 60 yards out of bounds,-1.500,0.350
4,13:24,1,10,DAL 12,23,20,Dak Prescott pass complete short middle to Ezekiel Elliott for 5 yards (tackle by Christian Kirksey),-0.350,-0.230
4,12:54,2,5,DAL 17,23,20,Ezekiel Elliott up the middle for 1 yard (tackle by Ogbonnia Okoronkwo),-0.230,-0.720
4,12:22,3,4,DAL 18,23,20,"Dak Prescott pass incomplete short right intended for Ezekiel Elliott (defended by Jonathan Owens). Penalty on Tyler Smith: Offensive Holding, 10 yards (declined)",-0.720,-2.240
4,12:16,4,4,DAL 18,23,20,"Bryan Anger punts 62 yards, returned by Desmond King for 15 yards (tackle by Luke Gifford). Penalty on Tremon Smith: Offensive Holding, 10 yards (accepted)",-2.240,-0.610
4,12:03,1,10,HOU 25,23,20,Eno Benjamin left tackle for 4 yards (tackle by Micah Parsons and Damone Clark),0.610,0.600
4,11:23,2,6,HOU 29,23,20,Jeff Driskel right end for 5 yards (tackle by Micah Parsons and Jayron Kearse),0.600,0.560
4,10:50,3,1,HOU 34,23,20,Dameon Pierce up the middle for 2 yards (tackle by DaRon Bland and Donovan Wilson),0.560,1.330
4,10:10,1,10,HOU 36,23,20,Davis Mills pass complete short right to Chris Moore for 18 yards (tackle by Kelvin Joseph),1.330,2.520
4,9:31,1,10,DAL 46,23,20,Eno Benjamin up the middle for 1 yard (tackle by Dante Fowler),2.520,2.110
4,8:55,2,9,DAL 45,23,20,Davis Mills pass complete short middle to Rex Burkhead for 5 yards (tackle by Leighton Vander Esch and Damone Clark),2.110,2.080
4,8:13,3,4,DAL 40,23,20,Jeff Driskel pass incomplete short right intended for Amari Rodgers (defended by Neville Gallimore),2.080,0.590
4,8:10,4,4,DAL 40,23,20,Cameron Johnston punts 39 yards downed by Chris Moore,0.590,0.380
4,8:01,1,10,DAL 1,23,20,Dak Prescott up the middle for 2 yards (tackle by Rasheem Green and Christian Kirksey),-0.380,-0.630
4,7:25,2,8,DAL 3,23,20,Dak Prescott pass complete short left to CeeDee Lamb for 7 yards (tackle by Jalen Pitre),-0.630,-0.370
4,6:59,3,1,DAL 10,23,20,Tony Pollard right tackle for 3 yards (tackle by Roy Lopez),-0.370,-0.320
4,6:30,1,10,DAL 13,23,20,"Dak Prescott sacked by Ogbonnia Okoronkwo for -7 yards. Dak Prescott fumbles (forced by Ogbonnia Okoronkwo), recovered by Josh Ball at DAL-3",-0.320,-1.510
4,5:45,2,20,DAL 3,23,20,Dak Prescott pass short right (defended by Ogbonnia Okoronkwo) intended for Dalton Schultz is intercepted by Tremon Smith at DAL-11 and returned for 7 yards (tackle by Dalton Schultz),-1.510,-6.280
4,5:37,1,4,DAL 4,23,20,Rex Burkhead up the middle for -1 yards (tackle by Leighton Vander Esch and Sam Williams),6.280,5.150
4,4:58,2,5,DAL 5,23,20,Jeff Driskel pass complete short right to Chris Moore for 4 yards (tackle by Carlos Watkins),5.150,5.170
4,4:11,3,1,DAL 1,23,20,Rex Burkhead right tackle for -2 yards (tackle by DeMarcus Lawrence),5.170,3.040
4,3:25,,,,,,Timeout #1 by Houston Texans,,
4,3:25,4,3,DAL 3,23,20,Jeff Driskel scrambles right end for 1 yard (tackle by Neville Gallimore and Anthony Barr),3.040,0.380
4,3:20,1,10,DAL 2,23,20,Dak Prescott pass complete short left to Dalton Schultz for 21 yards (tackle by Jalen Pitre and Jonathan Owens),-0.380,0.480
4,2:52,1,10,DAL 23,23,20,Dak Prescott scrambles right end for 9 yards (tackle by Tavierre Thomas),0.480,1.150
4,2:44,2,1,DAL 32,23,20,Dak Prescott pass complete short right to Dalton Schultz for 13 yards (tackle by Tremon Smith),1.150,1.930
4,2:21,1,10,DAL 45,23,20,Dak Prescott pass complete short middle to Ezekiel Elliott for 6 yards (tackle by Christian Kirksey),1.930,2.190
4,2:00,2,4,HOU 49,23,20,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Tavierre Thomas),2.190,1.880
4,1:42,3,1,HOU 46,23,20,Dak Prescott up the middle for 6 yards (tackle by Christian Harris and Christian Kirksey),1.880,2.920
4,1:21,1,10,HOU 40,23,20,Dak Prescott pass complete deep right to Noah Brown for 18 yards (tackle by Jalen Pitre),2.920,4.110
4,1:14,,,,,,Timeout #1 by Dallas Cowboys,,
4,1:14,1,10,HOU 22,23,20,Dak Prescott pass complete deep middle to Dalton Schultz for 18 yards (tackle by Jonathan Owens),4.110,6.280
4,0:55,,,,,,Timeout #2 by Houston Texans,,
4,0:55,1,4,HOU 4,23,20,Ezekiel Elliott left tackle for 2 yards (tackle by Jalen Pitre and Christian Kirksey),6.280,5.720
4,0:51,,,,,,Timeout #3 by Houston Texans,,
4,0:51,2,2,HOU 2,23,20,"Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Jonathan Owens) Replay Assistant challenged the pass completion ruling, and the play was upheld.",5.720,4.950
4,0:46,3,2,HOU 2,23,26,"Ezekiel Elliott up the middle for 2 yards, touchdown",4.950,7.000
4,0:41,,,HOU 15,23,27,Brett Maher kicks extra point good,0.000,0.000
4,0:41,,,DAL 35,23,27,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,0:41,1,10,HOU 25,23,27,Davis Mills pass complete short left to Dare Ogunbowale for no gain (tackle by Trevon Diggs),0.610,0.060
4,0:35,2,10,HOU 25,23,27,Davis Mills pass complete deep middle to Chris Moore for 31 yards (tackle by Malik Hooker),0.060,2.650
4,0:15,1,10,DAL 44,23,27,Davis Mills spiked the ball,2.650,2.110
4,0:14,2,10,DAL 44,23,27,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",2.110,1.440
4,0:14,2,15,DAL 49,23,27,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",1.440,0.760
4,0:14,2,20,HOU 46,23,27,Davis Mills pass deep middle is intercepted by Israel Mukuamu in end zone and returned for no gain,0.760,-0.280
4,0:03,1,10,DAL 20,23,27,Dak Prescott kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
