Quarter,Time,Down,ToGo,Location,KAN,SEA,Detail,EPB,EPA
3,15:00,,,KAN 30,21,10,"Ryan Succop kicks off 64 yards, returned by Leon Washington for 23 yards (tackle by Reshard Langford)",0.000,0.870
3,14:54,1,10,SEA 29,21,10,Matt Hasselbeck pass complete deep right to Ben Obomanu for 52 yards (tackle by Kendrick Lewis),0.870,4.310
3,14:16,1,10,KAN 19,21,10,"Matt Hasselbeck pass incomplete short right intended for Chris Baker. Penalty on Jovan Belcher: Defensive Pass Interfere, 6 yards (no play)",4.310,4.710
3,14:10,1,10,KAN 13,21,16,"Matt Hasselbeck pass complete short middle to Chris Baker for 13 yards, touchdown",4.710,7.000
3,,,,KAN 2,21,17,Olindo Mare kicks extra point good,0.000,0.000
3,,,,SEA 30,21,17,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,14:03,1,10,KAN 20,21,17,Jamaal Charles left end for 8 yards (tackle by Earl Thomas),0.280,0.810
3,13:44,2,2,KAN 28,21,17,Jamaal Charles middle for 6 yards (tackle by Junior Siavii and Lawyer Milloy),0.810,1.200
3,13:09,1,10,KAN 34,21,17,Thomas Jones right tackle for no gain (tackle by Chris Clemons),1.200,0.660
3,12:35,2,10,KAN 34,21,17,Matt Cassel pass incomplete short middle intended for Jamaal Charles,0.660,-0.030
3,12:30,3,10,KAN 34,21,17,Matt Cassel pass incomplete short right intended for Terrance Copper (defended by Brandon Mebane),-0.030,-1.110
3,12:25,4,10,KAN 34,21,17,Dustin Colquitt punts 46 yards,-1.110,-0.280
3,12:17,1,10,SEA 20,21,17,Matt Hasselbeck pass complete short right to Marshawn Lynch for 8 yards (tackle by Mike Vrabel and Tamba Hali),0.280,0.810
3,11:47,2,2,SEA 28,21,17,Marshawn Lynch left tackle for 1 yard (tackle by Tamba Hali and Shaun Smith),0.810,0.230
3,11:12,3,1,SEA 29,21,17,Marshawn Lynch right end for 4 yards (tackle by Javier Arenas and Mike Vrabel),0.230,1.140
3,10:32,1,10,SEA 33,21,17,Matt Hasselbeck pass complete short left to Ben Obomanu for 10 yards (tackle by Derrick Johnson),1.140,1.800
3,9:54,1,10,SEA 43,21,17,Matt Hasselbeck pass incomplete short right intended for Deon Butler,1.800,1.250
3,9:48,2,10,SEA 43,21,17,Matt Hasselbeck sacked by Shaun Smith for -3 yards,1.250,0.170
3,9:09,3,13,SEA 40,21,17,Matt Hasselbeck pass incomplete short right intended for Brandon Stokley (defended by Travis Daniels),0.170,-0.720
,,,,,,,"SEA challenged the incomplete pass ruling, and the original play was overturned.",,
3,9:06,4,13,SEA 40,21,17,"Jon Ryan punts 39 yards, fair catch by Javier Arenas",-0.720,-0.340
3,8:58,1,10,KAN 21,21,17,Matt Cassel pass incomplete deep middle intended for Leonard Pope,0.340,-0.200
3,8:54,2,10,KAN 21,21,17,Matt Cassel pass complete short right to Dwayne Bowe for 8 yards (tackle by Marcus Trufant),-0.200,0.170
3,8:29,3,2,KAN 29,21,17,Matt Cassel pass incomplete short right intended for Dwayne Bowe,0.170,-1.440
3,8:25,4,2,KAN 29,21,17,"Dustin Colquitt punts 55 yards, returned by Leon Washington for -2 yards (tackle by Javier Arenas)",-1.440,0.280
3,8:13,1,10,SEA 14,21,17,Matt Hasselbeck pass incomplete short left intended for Deon Butler,-0.280,-0.750
3,8:07,2,10,SEA 14,21,17,Matt Hasselbeck pass complete short left to Brandon Stokley for 13 yards (tackle by Tamba Hali),-0.750,0.740
3,7:27,1,10,SEA 27,21,17,Matt Hasselbeck pass incomplete deep right intended for Cameron Morrah (defended by Javier Arenas),0.740,0.200
3,7:21,2,10,SEA 27,21,17,Matt Hasselbeck pass complete short left to Brandon Stokley for 11 yards (tackle by Eric Berry),0.200,1.470
3,6:59,1,10,SEA 38,21,17,Justin Forsett right tackle for 4 yards (tackle by Jovan Belcher),1.470,1.460
3,6:19,2,6,SEA 42,21,17,Matt Hasselbeck pass incomplete short left intended for Deon Butler,1.460,0.760
3,6:15,,,,21,17,Timeout #1 by Seattle Seahawks,0.000,0.760
3,6:15,3,6,SEA 42,21,17,Matt Hasselbeck pass incomplete short left intended for Golden Tate (defended by Wallace Gilberry),0.760,-0.590
3,6:10,4,6,SEA 42,21,17,Jon Ryan punts 29 yards,-0.590,-0.870
3,6:00,1,10,KAN 29,21,17,Jamaal Charles right end for 5 yards (tackle by Kentwan Balmer),0.870,1.000
3,5:32,2,5,KAN 34,21,17,Matt Cassel pass complete short left to Terrance Copper for 6 yards (tackle by Kelly Jennings),1.000,1.600
3,4:54,1,10,KAN 40,21,17,Thomas Jones right tackle for 2 yards (tackle by Raheem Brock),1.600,1.320
3,4:17,2,8,KAN 42,21,17,Matt Cassel middle for 2 yards (tackle by Junior Siavii),1.320,0.890
3,3:33,3,6,KAN 44,21,17,Matt Cassel pass complete short left to Dwayne Bowe for 8 yards,0.890,2.390
3,3:05,1,10,SEA 48,21,17,Matt Cassel left end for 6 yards (tackle by David Hawthorne),2.390,2.660
3,2:26,2,4,SEA 42,21,17,Jamaal Charles middle for 1 yard (tackle by David Hawthorne and Kelly Jennings),2.660,2.080
3,1:49,3,3,SEA 41,21,17,Jamaal Charles right end for 29 yards (tackle by David Hawthorne),2.080,4.780
3,1:18,1,10,SEA 12,21,17,Thomas Jones left end for 2 yards (tackle by Kelly Jennings),4.780,4.450
3,0:33,,,,21,17,Timeout #1 by Kansas City Chiefs,0.000,4.450
3,0:33,2,8,SEA 10,21,17,Jamaal Charles middle for 7 yards (tackle by Lofa Tatupu and Aaron Curry),4.450,5.060
Quarter,Time,Down,ToGo,Location,KAN,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,SEA 3,27,17,"Jamaal Charles right tackle for 3 yards, touchdown",5.060,7.000
4,,,,SEA 2,28,17,Ryan Succop kicks extra point good,0.000,0.000
4,,,,KAN 30,28,17,"Ryan Succop kicks off 53 yards, returned by Leon Washington for 12 yards (tackle by Jackie Battle). Leon Washington fumbles (forced by Jackie Battle), recovered by Leon Washington at SEA-29",0.000,0.870
4,14:44,1,10,SEA 29,28,17,Marshawn Lynch left tackle for 6 yards (tackle by Brandon Carr),0.870,1.140
4,14:08,2,4,SEA 35,28,17,Matt Hasselbeck pass incomplete deep left intended for Cameron Morrah,1.140,0.430
4,14:01,3,4,SEA 35,28,17,"Matt Hasselbeck sacked by Derrick Johnson for -11 yards. Matt Hasselbeck fumbles (forced by Derrick Johnson), recovered by Tamba Hali at SEA-24 and returned for 2 yards (tackle by Mike Gibson)",0.430,-4.110
4,13:53,1,10,SEA 22,28,17,Jamaal Charles right tackle for 9 yards (tackle by Earl Thomas),4.110,5.060
4,13:21,2,1,SEA 13,28,17,Jamaal Charles middle for 4 yards (tackle by Jay Richardson),5.060,5.140
4,12:49,1,9,SEA 9,34,17,"Matt Cassel pass complete short middle to Dwayne Bowe for 9 yards, touchdown",5.140,7.000
4,,,,SEA 2,35,17,Ryan Succop kicks extra point good,0.000,0.000
4,,,,KAN 30,35,17,"Ryan Succop kicks off 46 yards, returned by Leon Washington for 9 yards (tackle by Demorrio Williams)",0.000,1.140
4,12:39,1,10,SEA 33,35,17,"Matt Hasselbeck pass incomplete short middle intended for Justin Forsett. Penalty on Travis Daniels: Roughing the Passer, 15 yards (no play)",1.140,2.130
4,12:35,1,10,SEA 48,35,17,Matt Hasselbeck pass complete short left to Golden Tate for 12 yards (tackle by Travis Daniels and Brandon Carr),2.130,2.920
4,12:08,1,10,KAN 40,35,17,Matt Hasselbeck pass incomplete short left intended for Brandon Stokley is intercepted by Travis Daniels at KAN-32 and returned for 4 yards,2.920,-1.330
4,12:04,1,10,KAN 36,35,17,Thomas Jones left tackle for 1 yard (tackle by Lawyer Milloy and Brandon Mebane),1.330,0.930
4,11:22,2,9,KAN 37,35,17,Thomas Jones right tackle for 6 yards (tackle by Marcus Trufant and David Hawthorne),0.930,1.030
4,10:45,3,3,KAN 43,35,17,Matt Cassel pass incomplete short middle intended for Dwayne Bowe (defended by Kelly Jennings),1.030,-0.520
4,10:42,4,3,KAN 43,35,17,Dustin Colquitt punts 44 yards,-0.520,0.320
4,10:29,1,10,SEA 13,35,23,"Matt Hasselbeck pass complete deep left to Ben Obomanu for 87 yards, touchdown",-0.320,7.000
4,,,,KAN 2,35,24,Olindo Mare kicks extra point good,0.000,0.000
4,,,,SEA 30,35,24,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
4,10:16,1,10,KAN 20,35,24,Thomas Jones left tackle for 4 yards (tackle by Lawyer Milloy),0.280,0.270
4,9:36,2,6,KAN 24,35,24,Jamaal Charles left end for 10 yards (tackle by Aaron Curry),0.270,1.200
4,8:54,1,10,KAN 34,35,24,Thomas Jones right tackle for 4 yards (tackle by Lofa Tatupu),1.200,1.200
4,8:09,2,6,KAN 38,35,24,Jamaal Charles left tackle for 7 yards (tackle by Lawyer Milloy and David Hawthorne),1.200,1.930
4,7:27,1,10,KAN 45,35,24,Matt Cassel pass complete short right to Dwayne Bowe for 8 yards (tackle by Earl Thomas),1.930,2.460
4,6:43,2,2,SEA 47,35,24,Jamaal Charles left tackle for 1 yard (tackle by Lofa Tatupu),2.460,1.880
4,5:57,,,,35,24,Timeout #2 by Kansas City Chiefs,0.000,1.880
4,5:57,3,1,SEA 46,35,24,Matt Cassel pass complete deep left to Dwayne Bowe for 17 yards (tackle by Kelly Jennings),1.880,3.640
4,5:14,1,10,SEA 29,35,24,Thomas Jones left end for 16 yards (tackle by Lawyer Milloy),3.640,4.710
4,4:28,1,10,SEA 13,35,24,Thomas Jones left guard for 7 yards (tackle by Lofa Tatupu),4.710,5.340
4,3:43,2,3,SEA 6,41,24,"Matt Cassel pass complete short right to Tony Moeaki for 6 yards, touchdown",5.340,7.000
4,,,,SEA 2,42,24,Ryan Succop kicks extra point good,0.000,0.000
4,,,,KAN 30,42,24,"Ryan Succop kicks off 48 yards, returned by Leon Washington for 22 yards (tackle by Ricky Price)",0.000,1.860
4,3:30,1,10,SEA 44,42,24,Matt Hasselbeck pass complete short middle to Golden Tate for 9 yards (tackle by Javier Arenas),1.860,2.530
4,3:10,,,,42,24,Timeout #3 by Kansas City Chiefs,0.000,2.530
4,3:10,2,1,KAN 47,42,24,Matt Hasselbeck pass incomplete deep middle intended for John Carlson (defended by Derrick Johnson),2.530,1.820
4,3:05,3,1,KAN 47,42,24,Justin Forsett right tackle for -1 yards (tackle by Wallace Gilberry),1.820,0.070
4,2:43,4,2,KAN 48,42,24,Justin Forsett middle for -1 yards (tackle by Wallace Gilberry),0.070,-2.190
4,2:39,1,10,KAN 49,42,24,Thomas Jones middle for 2 yards (tackle by Junior Siavii),2.190,1.920
4,2:00,2,8,SEA 49,42,24,Matt Cassel kneels for -1 yards,1.920,1.090
4,1:58,,,,42,24,Timeout #2 by Seattle Seahawks,0.000,1.090
4,1:57,3,9,,42,24,Matt Cassel kneels for -2 yards,1.090,-0.190
4,1:56,,,,42,24,Timeout #3 by Seattle Seahawks,0.000,-0.190
4,1:56,4,11,KAN 48,42,24,"Dustin Colquitt punts 37 yards, fair catch by Leon Washington",-0.190,0.220
4,1:51,1,10,SEA 15,42,24,Matt Hasselbeck pass complete short left to Leon Washington for 5 yards (tackle by Travis Daniels),-0.220,0.080
4,1:28,2,5,SEA 20,42,24,"Leon Washington right tackle for 6 yards (tackle by Jovan Belcher). Penalty on Chris Spencer: Offensive Holding, 10 yards (no play)",0.080,-1.150
4,1:23,2,15,SEA 10,42,24,Matt Hasselbeck kneels for -1 yards,-1.150,-2.120
4,0:41,3,16,SEA 9,42,24,Matt Hasselbeck kneels for -1 yards,-2.120,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
