Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
2,13:04,1,10,JAX 49,7,0,Maurice Jones-Drew right end for 12 yards (tackle by Stewart Bradley),2.190,2.980
2,12:21,1,10,PHI 39,7,0,Maurice Jones-Drew middle for 4 yards (tackle by Mike Patterson),2.980,2.980
2,11:40,2,6,PHI 35,7,0,Maurice Jones-Drew middle for 2 yards (tackle by Ernie Sims),2.980,2.540
2,10:56,3,4,PHI 33,7,0,David Garrard pass complete short middle to Marcedes Lewis for 7 yards (tackle by Quintin Mikell),2.540,3.840
2,10:12,1,10,PHI 26,7,0,David Garrard pass incomplete deep middle intended for Zach Miller (defended by Quintin Mikell),3.840,3.300
2,10:07,2,10,PHI 26,7,0,"David Garrard for no gain. David Garrard fumbles, recovered by Maurice Jones-Drew at PHI-34 and returned for 1 yards",3.300,1.690
2,9:18,3,17,PHI 33,7,0,David Garrard pass incomplete short right intended for Mike Thomas (defended by Asante Samuel),1.690,1.150
2,9:13,4,17,PHI 33,7,3,Josh Scobee 51 yard field goal good,1.150,3.000
2,,,,JAX 30,7,3,"Josh Scobee kicks off 71 yards, returned by Jorrick Calvin for 13 yards (tackle by Jacob Cutrera). Penalty on PHI: Illegal Wedge, 6 yards",0.000,-0.380
2,9:01,1,10,PHI 6,7,3,Michael Vick pass complete short left to DeSean Jackson for 11 yards (tackle by David Jones),-0.380,-0.060
,,,,,,,"JAX challenged the pass completion ruling, and the play was upheld.",,
2,8:36,1,10,PHI 17,7,3,Michael Vick pass complete short left to LeSean McCoy for 5 yards (tackle by David Jones),-0.060,0.210
2,7:56,2,5,PHI 22,7,3,Michael Vick pass complete short middle to DeSean Jackson for 25 yards (tackle by Rashean Mathis),0.210,2.060
2,7:08,1,10,PHI 47,7,3,Michael Vick pass incomplete deep left intended for Jeremy Maclin,2.060,1.520
2,7:00,2,10,PHI 47,7,3,"Michael Vick middle for 9 yards (tackle by Tyson Alualu). Penalty on Reggie Wells: Offensive Holding, 10 yards (no play)",1.520,0.170
2,6:32,2,20,PHI 37,7,3,LeSean McCoy middle for 1 yard (tackle by Tyson Alualu),0.170,-0.360
2,5:54,3,19,PHI 38,7,3,"Michael Vick pass incomplete deep left intended for Jeremy Maclin. Penalty on Sean Considine: Defensive Pass Interfere, 27 yards (no play)",-0.360,3.250
2,5:46,1,10,JAX 35,7,3,Michael Vick pass incomplete short middle intended for LeSean McCoy,3.250,2.700
2,5:40,2,10,JAX 35,7,3,DeSean Jackson for 8 yards (tackle by Daryl Smith),2.700,3.070
2,4:51,,,,7,3,Timeout #2 by Philadelphia Eagles,0.000,3.070
2,4:50,3,2,JAX 27,7,3,Mike Bell middle for 1 yard (tackle by Kirk Morrison),3.070,1.890
2,4:16,4,1,JAX 26,7,3,Mike Bell left end for no gain (tackle by Tyson Alualu),1.890,-0.670
,,,,,,,"PHI challenged the first down ruling, and the play was upheld.",,
2,4:02,1,10,JAX 26,7,3,Maurice Jones-Drew left end for no gain (tackle by Quintin Mikell),0.670,0.130
2,3:18,2,10,JAX 26,7,3,David Garrard pass incomplete short left intended for Maurice Jones-Drew (defended by Akeem Jordan),0.130,-0.560
2,3:14,3,10,JAX 26,7,3,David Garrard pass complete short right to Mike Sims-Walker for 11 yards (tackle by Asante Samuel),-0.560,1.400
2,2:45,1,10,JAX 37,7,3,David Garrard pass complete short left to Mike Thomas for 8 yards (tackle by Trent Cole),1.400,1.940
2,2:09,2,2,JAX 45,7,3,"David Garrard for 2 yards. Penalty on Uche Nwaneri: Personal Foul, 15 yards (no play)",1.940,-0.090
2,2:00,2,17,JAX 30,7,3,David Garrard pass incomplete short middle intended for Mike Sims-Walker (defended by Trevor Laws),-0.090,-0.760
2,1:55,3,17,JAX 30,7,3,David Garrard sacked by Trevor Laws for -12 yards. Penalty on Eben Britton: Offensive Holding (Declined),-0.760,-2.240
2,1:47,4,29,JAX 18,7,3,"Adam Podlesh punts 45 yards, returned by Jorrick Calvin for 10 yards (tackle by Jeremy Cain)",-2.240,-2.060
2,1:37,1,10,PHI 47,7,3,Michael Vick pass incomplete short right intended for Riley Cooper,2.060,1.520
2,1:33,2,10,PHI 47,7,3,Michael Vick pass complete short right to LeSean McCoy for 2 yards (tackle by Rashean Mathis),1.520,1.090
2,1:01,3,8,PHI 49,7,3,Michael Vick pass complete deep middle to Brent Celek for 21 yards (tackle by Sean Considine),1.090,3.580
2,0:32,1,10,JAX 30,7,3,Michael Vick pass incomplete deep left intended for Garrett Mills,3.580,3.030
2,0:29,2,10,JAX 30,7,3,Michael Vick pass complete short right to Jeremy Maclin for 14 yards (tackle by Rashean Mathis),3.030,4.510
2,0:12,1,10,JAX 16,7,3,Michael Vick spiked the ball,4.510,3.900
2,0:12,2,10,JAX 16,13,3,"Michael Vick pass complete deep right to Jeremy Maclin for 16 yards, touchdown",3.900,7.000
2,,,,JAX 2,14,3,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,14,3,"David Akers kicks off 55 yards, muffed catch by Ernest Wilford, ball out of bounds at JAX-15",0.000,-0.220
2,0:01,1,10,JAX 15,14,3,David Garrard kneels for -1 yards,-0.220,-0.820
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,14,3,"David Akers kicks off 66 yards, returned by Tiquan Underwood for 19 yards (tackle by Dimitri Patterson)",0.000,0.480
3,14:53,1,10,JAX 23,14,3,David Garrard left end for 11 yards,0.480,1.200
3,14:16,1,10,JAX 34,14,3,Maurice Jones-Drew left end for 7 yards (tackle by Stewart Bradley),1.200,1.600
3,13:36,2,3,JAX 41,14,3,David Garrard pass incomplete short middle intended for Mike Sims-Walker,1.600,0.890
3,13:32,3,3,JAX 41,14,3,David Garrard pass incomplete short left intended for Marcedes Lewis,0.890,-0.650
3,13:28,4,3,JAX 41,14,3,"Adam Podlesh punts 59 yards, touchback",-0.650,-0.280
3,13:18,1,10,PHI 20,14,3,Michael Vick pass incomplete short left intended for Brent Celek (defended by Courtney Greene),0.280,-0.270
3,13:13,2,10,PHI 20,14,3,Michael Vick pass incomplete short left intended for DeSean Jackson,-0.270,-0.960
3,13:06,3,10,PHI 20,14,3,Michael Vick pass complete short middle to Jeremy Maclin for 8 yards (tackle by Sean Considine),-0.960,-1.500
3,12:22,4,2,PHI 28,14,3,"Saverio Rocca punts 45 yards, returned by Mike Thomas for no gain",-1.500,-0.740
3,12:12,1,10,JAX 27,14,3,David Garrard pass complete deep middle to Mike Sims-Walker for 23 yards (tackle by Quintin Mikell),0.740,2.260
3,11:34,1,10,,14,3,David Garrard sacked by Juqua Parker for -9 yards,2.260,0.500
3,11:02,2,19,JAX 41,14,3,David Garrard pass complete short right to Marcedes Lewis for 3 yards (tackle by Asante Samuel),0.500,0.230
3,10:22,3,16,JAX 44,14,3,David Garrard pass complete short right to Maurice Jones-Drew for 3 yards (tackle by Nate Allen),0.230,-0.260
3,9:40,4,13,JAX 47,14,3,"Adam Podlesh punts 50 yards, returned by Jorrick Calvin for 12 yards (tackle by Sean Considine)",-0.260,0.220
3,9:28,1,10,PHI 15,14,3,LeSean McCoy middle for 18 yards (tackle by David Jones),-0.220,1.140
3,8:49,1,10,PHI 33,14,3,LeSean McCoy middle for 2 yards (tackle by Kirk Morrison),1.140,0.860
3,8:14,2,8,PHI 35,14,3,Michael Vick sacked by Tyson Alualu and Terrance Knighton for -7 yards,0.860,-0.760
3,7:38,3,15,PHI 28,14,3,Michael Vick pass complete short middle to DeSean Jackson for 14 yards (tackle by Rashean Mathis),-0.760,-0.590
3,6:48,4,1,PHI 42,14,3,"Penalty on Saverio Rocca: Delay of Game, 5 yards (no play)",-0.590,-0.910
3,6:32,4,6,PHI 37,14,3,Saverio Rocca punts 35 yards,-0.910,-0.810
3,6:25,1,10,JAX 28,14,3,Maurice Jones-Drew left end for -5 yards (tackle by Akeem Jordan),0.810,-0.410
3,5:44,2,15,JAX 23,14,3,David Garrard pass incomplete short left intended for Tiquan Underwood,-0.410,-1.090
3,5:38,3,15,JAX 23,14,3,"David Garrard pass incomplete short right intended for Mike Sims-Walker is intercepted by Asante Samuel at JAX-35 and returned for 5 yards. Penalty on Ellis Hobbs: Unsportsmanlike Conduct, 15 yards",-1.090,-2.590
3,5:30,1,10,JAX 45,20,3,"Michael Vick pass complete deep left to Jeremy Maclin for 45 yards, touchdown",2.590,7.000
3,,,,JAX 2,21,3,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,21,3,"David Akers kicks off 69 yards, returned by Tiquan Underwood for 25 yards (tackle by Jamar Chaney). Penalty on Leger Douzable: Illegal Block Above the , 10 yards",0.000,-0.140
3,5:14,1,10,JAX 16,21,3,Maurice Jones-Drew middle for 5 yards (tackle by Trent Cole),-0.140,0.150
3,4:47,2,5,JAX 21,21,3,David Garrard middle for 3 yards (tackle by Mike Patterson),0.150,-0.320
3,4:24,3,2,JAX 24,21,3,Maurice Jones-Drew middle for 1 yard (tackle by Trent Cole),-0.320,-1.700
3,3:41,4,1,JAX 25,21,3,"Adam Podlesh punts 56 yards, returned by Jorrick Calvin for 9 yards (tackle by Don Carey)",-1.700,-0.810
3,3:29,1,10,PHI 28,21,3,Michael Vick pass complete deep left to DeSean Jackson for 42 yards (tackle by David Jones),0.810,3.580
3,2:57,1,10,JAX 30,21,3,Michael Vick pass complete short left to Owen Schmitt for 4 yards (tackle by Sean Considine),3.580,3.570
3,2:28,2,6,JAX 26,21,3,Michael Vick sacked by Sean Considine for -8 yards,3.570,1.820
3,1:53,3,14,JAX 34,21,3,Michael Vick pass complete short left to Brent Celek for 15 yards (tackle by Courtney Greene),1.820,4.310
3,1:10,1,10,JAX 19,21,3,LeSean McCoy right end for 2 yards (tackle by Derrick Harvey),4.310,4.030
3,0:25,2,8,JAX 17,27,3,"Michael Vick middle for 17 yards, touchdown",4.030,7.000
3,,,,JAX 2,28,3,David Akers kicks extra point good,0.000,0.000
3,,,,PHI 30,28,3,David Akers kicks off 67 yards. Penalty on Dimitri Patterson: Offside on Free Kick (Declined),0.000,1.600
3,0:17,1,10,JAX 40,28,3,Maurice Jones-Drew middle for no gain (tackle by Brodrick Bunkley),1.600,1.050
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,JAX 40,28,3,"David Garrard pass incomplete deep left intended for Tiquan Underwood. Penalty on Ellis Hobbs: Defensive Pass Interfere, 38 yards (no play)",1.050,4.110
4,14:54,1,10,PHI 22,28,3,David Garrard pass incomplete deep right intended for Mike Sims-Walker,4.110,3.560
4,14:46,2,10,PHI 22,28,3,Rashad Jennings middle for 4 yards (tackle by Trevor Laws),3.560,3.400
4,14:03,3,6,PHI 18,28,3,David Garrard pass incomplete short left intended for Mike Thomas,3.400,2.270
4,13:58,4,6,PHI 18,28,3,David Garrard pass incomplete short right intended for Ernest Wilford,2.270,-0.040
4,13:52,1,10,PHI 18,28,3,LeSean McCoy middle for no gain (tackle by Aaron Kampman),0.040,-0.490
4,13:07,2,10,PHI 18,28,3,Michael Vick left end for 2 yards (tackle by Daryl Smith),-0.490,-0.910
4,12:34,3,8,PHI 20,28,3,Michael Vick pass incomplete short middle intended for Jason Avant,-0.910,-2.030
4,12:29,4,8,PHI 20,28,3,"Saverio Rocca punts 53 yards, returned by Mike Thomas for 10 yards (tackle by Dimitri Patterson)",-2.030,-1.400
4,12:18,1,10,JAX 37,28,3,Maurice Jones-Drew middle for 5 yards (tackle by Ernie Sims),1.400,1.530
4,11:48,2,5,JAX 42,28,3,Maurice Jones-Drew middle for 3 yards (tackle by Trevor Laws),1.530,1.220
4,11:17,3,2,JAX 45,28,3,David Garrard pass incomplete short left intended for Mike Sims-Walker,1.220,-0.390
4,11:08,4,2,JAX 45,28,3,Maurice Jones-Drew right end for 3 yards (tackle by Akeem Jordan),-0.390,2.130
4,10:26,1,10,JAX 48,28,3,"Maurice Jones-Drew middle for 10 yards (tackle by Quintin Mikell). Penalty on Uche Nwaneri: Personal Foul, 15 yards",2.130,1.800
4,9:54,1,10,JAX 43,28,3,David Garrard sacked by Trent Cole for -5 yards,1.800,0.580
4,9:03,2,15,JAX 38,28,3,David Garrard for 5 yards (tackle by Trent Cole),0.580,0.560
4,8:42,3,10,JAX 43,28,3,David Garrard sacked by Trent Cole for -6 yards,0.560,-0.910
4,8:17,4,16,JAX 37,28,3,"Adam Podlesh punts 63 yards, touchback",-0.910,-0.280
4,7:57,1,10,PHI 20,28,3,LeSean McCoy middle for 13 yards (tackle by Russell Allen),0.280,1.140
4,7:07,,,,28,3,Timeout #1 by Philadelphia Eagles,0.000,1.140
4,7:07,1,10,PHI 33,28,3,LeSean McCoy middle for 1 yard (tackle by Kirk Morrison),1.140,0.730
4,6:24,2,9,PHI 34,28,3,LeSean McCoy left end for 5 yards (tackle by Sean Considine),0.730,0.700
4,5:41,3,4,PHI 39,28,3,Michael Vick pass complete short left to Brent Celek for 2 yards (tackle by Courtney Greene),0.700,-0.650
4,4:59,4,2,PHI 41,28,3,"Saverio Rocca punts 47 yards, returned by Mike Thomas for no gain",-0.650,0.350
4,4:46,1,10,JAX 12,28,3,Maurice Jones-Drew middle for 4 yards (tackle by Trevor Laws),-0.350,-0.370
4,4:05,2,6,JAX 16,28,3,David Garrard pass complete short right to Marcedes Lewis for 5 yards (tackle by Stewart Bradley),-0.370,-0.370
4,3:21,3,1,JAX 21,28,3,Maurice Jones-Drew middle for 4 yards (tackle by Trent Cole),-0.370,0.610
4,2:46,1,10,JAX 25,28,3,David Garrard pass incomplete short middle intended for Marcedes Lewis (defended by Trent Cole),0.610,0.060
4,2:40,2,10,JAX 25,28,3,Rashad Jennings middle for 13 yards (tackle by Kurt Coleman),0.060,1.470
4,2:01,1,10,JAX 38,28,3,David Garrard pass complete short right to Kassim Osgood for 5 yards (tackle by Jamar Chaney),1.470,1.600
4,1:54,2,5,JAX 43,28,3,David Garrard for 5 yards (tackle by Moise Fokou),1.600,2.130
4,1:46,1,10,JAX 48,28,3,David Garrard pass complete short left to Mike Thomas for -1 yards (tackle by Jamar Chaney),2.130,1.450
4,1:15,2,11,JAX 47,28,3,David Garrard pass incomplete short left intended for Rashad Jennings (defended by Trevor Laws),1.450,0.760
4,1:08,3,11,JAX 47,28,3,"David Garrard sacked by Juqua Parker for -10 yards. Penalty on Juqua Parker: Defensive Offside, 5 yards (no play)",0.760,1.420
4,1:03,3,6,PHI 48,28,3,David Garrard pass complete short middle to Zach Miller for 7 yards (tackle by Joselio Hanson and Moise Fokou),1.420,2.850
4,0:40,1,10,PHI 41,28,3,David Garrard sacked by Nate Allen for -10 yards,2.850,0.960
4,0:13,2,20,JAX 49,28,3,David Garrard pass complete deep right to Tiquan Underwood for 22 yards (tackle by Kurt Coleman),0.960,3.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
