Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
2,7:27,,,OAK 35,10,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,7:27,1,10,LAC 25,10,7,Branden Oliver right guard for 7 yards (tackle by Sean Smith and Justin Ellis),0.610,1.010
2,6:46,2,3,LAC 32,10,7,Philip Rivers pass complete short left to Branden Oliver for 6 yards (tackle by NaVorro Bowman),1.010,1.470
2,6:01,1,10,LAC 38,10,7,"Philip Rivers pass complete deep middle to Keenan Allen for 22 yards (tackle by T.J. Carrie). Penalty on Joe Barksdale: Offensive Holding, 10 yards (no play)",1.470,0.810
2,5:37,1,20,LAC 28,10,7,"Travis Benjamin right end for 1 yard (tackle by Antonio Hamilton). Penalty on Khalil Mack: Unnecessary Roughness, 15 yards",0.810,0.000
2,5:21,,,,,,Timeout #2 by Oakland Raiders,0.000,-1.860
2,5:21,1,10,LAC 44,10,13,"Philip Rivers pass complete deep left to Tyrell Williams for 56 yards, touchdown",1.860,7.000
2,5:12,,,OAK 15,10,14,Nick Rose kicks extra point good,0.000,0.000
2,5:12,,,LAC 35,10,14,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
2,5:12,1,10,OAK 25,10,14,Derek Carr pass complete short left to Michael Crabtree for 5 yards,0.610,0.740
2,4:38,2,5,OAK 30,10,14,Marshawn Lynch right end for 15 yards (tackle by Tre Boston),0.740,1.930
2,3:56,1,10,OAK 45,10,14,Derek Carr pass incomplete short right intended for Marshawn Lynch,1.930,1.380
2,3:51,2,10,OAK 45,10,14,"Derek Carr pass complete short right to Amari Cooper for 17 yards (tackle by Desmond King and Tre Boston). Penalty on Seth Roberts: Illegal Block Above the Waist, 10 yards",1.380,2.330
2,3:24,2,3,LAC 48,10,14,Marshawn Lynch middle for 2 yards (tackle by Trevor Williams),2.330,1.880
2,2:46,3,1,LAC 46,10,14,Marshawn Lynch left guard for 3 yards (tackle by Melvin Ingram and Jahleel Addae),1.880,2.720
2,2:00,1,10,LAC 43,10,14,Derek Carr pass incomplete deep left intended for Johnny Holton is intercepted by Tre Boston at LAC--2 and returned for 25 yards,2.720,-0.480
2,1:48,1,10,LAC 23,10,14,Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by NaVorro Bowman),0.480,0.470
2,1:30,2,6,LAC 27,10,14,Philip Rivers pass complete short middle to Melvin Gordon for 12 yards (tackle by Nicholas Morrow and T.J. Carrie),0.470,1.530
2,1:08,1,10,LAC 39,10,14,Philip Rivers pass complete deep middle to Keenan Allen for 17 yards (tackle by Sean Smith),1.530,0.000
2,1:01,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-2.650
2,1:01,1,10,OAK 44,10,14,Philip Rivers pass complete short left to Melvin Gordon for 3 yards (tackle by Reggie Nelson),2.650,2.520
2,0:54,2,7,OAK 41,10,14,Philip Rivers pass complete short right to Melvin Gordon for 14 yards (tackle by Shilique Calhoun and Shalom Luani),2.520,0.000
2,0:44,,,,,,Timeout #3 by Oakland Raiders,0.000,-3.780
2,0:44,1,10,OAK 27,10,14,Philip Rivers pass complete short left to Tyrell Williams for 1 yard (tackle by Antonio Hamilton),3.780,3.370
2,0:38,2,9,OAK 26,10,14,Philip Rivers pass complete deep left to Antonio Gates for 20 yards,3.370,5.830
2,0:30,1,6,OAK 6,10,20,"Philip Rivers pass complete short right to Keenan Allen for 6 yards, touchdown",5.830,7.000
2,0:24,,,OAK 15,10,20,"Nick Rose kicks extra point no good, blocked by Denico Autry",0.000,-1.000
2,0:24,,,LAC 35,10,20,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
2,0:24,1,10,OAK 25,10,20,Marshawn Lynch middle for 2 yards (tackle by Denzel Perryman),0.610,0.330
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,10,20,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,LAC 25,10,20,Philip Rivers pass complete short middle to Keenan Allen for 23 yards (tackle by NaVorro Bowman),0.610,2.130
3,14:19,1,10,LAC 48,10,20,Melvin Gordon middle for 16 yards (tackle by Antonio Hamilton and Reggie Nelson),2.130,3.180
3,13:41,1,10,OAK 36,10,20,Melvin Gordon left tackle for 17 yards (tackle by Antonio Hamilton and NaVorro Bowman),3.180,4.310
3,13:09,1,10,OAK 19,10,20,Branden Oliver left tackle for -4 yards (tackle by Denico Autry),4.310,3.220
3,12:35,2,14,OAK 23,10,20,Philip Rivers pass complete short middle to Antonio Gates for 13 yards (tackle by Antonio Hamilton),3.220,4.690
3,12:15,3,1,OAK 10,10,20,Branden Oliver middle for 3 yards (tackle by NaVorro Bowman and Shalom Luani),4.690,5.600
3,11:31,1,7,OAK 7,10,20,"Philip Rivers pass incomplete. Penalty on Philip Rivers: Intentional Grounding, 10 yards",5.600,3.240
3,11:26,2,17,OAK 17,10,20,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Shalom Luani). Penalty on Kenny Wiggins: Offensive Holding (Declined),3.240,2.740
3,11:20,3,17,OAK 17,10,20,Philip Rivers pass complete short left to Keenan Allen for 10 yards (tackle by T.J. Carrie),2.740,2.970
3,10:44,4,7,OAK 7,10,23,Nick Rose 25 yard field goal good,2.970,3.000
3,10:39,,,LAC 35,10,23,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
3,10:39,1,10,OAK 25,10,23,Marshawn Lynch right tackle for 3 yards (tackle by Desmond King and Joey Bosa),0.610,0.470
3,10:01,2,7,OAK 28,10,23,Derek Carr pass complete short left to Jared Cook for 6 yards (tackle by Hayes Pullard and Denzel Perryman),0.470,0.560
3,9:26,3,1,OAK 34,10,23,Marshawn Lynch right guard for 19 yards (tackle by Tre Boston),0.560,2.460
3,8:39,1,10,LAC 47,10,23,Derek Carr pass complete short right to Amari Cooper for 11 yards,2.460,3.180
3,8:08,1,10,LAC 36,10,23,Marshawn Lynch right end for 10 yards (tackle by Jahleel Addae and Joey Bosa),3.180,3.840
3,7:22,1,10,LAC 26,10,23,DeAndre Washington right tackle for 2 yards (tackle by Hayes Pullard and Korey Toomer),3.840,3.570
3,6:41,2,8,LAC 24,10,23,Derek Carr pass incomplete short right intended for Amari Cooper,3.570,2.870
,,,,,,,"OAK challenged the incomplete pass ruling, and the play was upheld.",,
3,6:33,3,8,LAC 24,10,23,Derek Carr pass complete short middle to Jalen Richard for 6 yards (tackle by Jatavis Brown),2.870,0.000
3,5:51,,,,,,Timeout #2 by Oakland Raiders,0.000,-2.370
3,5:51,4,2,LAC 18,10,23,Marshawn Lynch right end for no gain (tackle by Tenny Palepoi),2.370,-0.040
3,5:43,1,10,LAC 18,10,23,Philip Rivers pass complete short left to Melvin Gordon for 2 yards (tackle by Reggie Nelson and James Cowser),0.040,-0.130
3,5:02,2,8,LAC 20,10,23,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Khalil Mack),-0.130,-0.270
3,4:22,3,3,LAC 25,10,23,Philip Rivers pass complete short right to Travis Benjamin for 5 yards (tackle by Antonio Hamilton),-0.270,0.940
3,3:55,1,10,LAC 30,10,23,Melvin Gordon right tackle for -2 yards (tackle by Keith McGill and Shilique Calhoun),0.940,0.120
3,3:18,2,12,LAC 28,10,23,Philip Rivers pass complete short right to Mike Williams for 8 yards (tackle by Sean Smith),0.120,0.500
3,2:33,3,4,LAC 36,10,23,Philip Rivers middle for 5 yards,0.500,1.660
3,1:45,1,10,LAC 41,10,23,Branden Oliver middle for -3 yards (tackle by Eddie Vanderdoes),1.660,0.720
3,1:08,2,13,LAC 38,10,23,Philip Rivers pass incomplete deep right intended for Antonio Gates,0.720,0.040
3,1:00,3,13,LAC 38,10,29,"Philip Rivers pass complete deep middle to Travis Benjamin for 62 yards, touchdown",0.040,7.000
3,0:53,,,OAK 15,10,30,Nick Rose kicks extra point good,0.000,0.000
3,0:53,,,LAC 35,10,30,"Nick Rose kicks off 69 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Nick Dzubnar)",0.000,-0.610
3,0:47,1,10,OAK 25,10,30,Marshawn Lynch middle for 6 yards (tackle by Desmond King and Brandon Mebane),0.610,0.870
3,0:18,2,4,OAK 31,10,30,Marshawn Lynch right guard for 1 yard (tackle by Desmond King),0.870,0.300
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,OAK 32,10,30,Derek Carr sacked by Joey Bosa for -6 yards,0.300,-1.630
4,14:20,4,9,OAK 26,10,30,"Marquette King punts 46 yards, fair catch by Travis Benjamin. Penalty on Nicholas Morrow: Offensive Holding, 10 yards",-1.630,-1.470
4,14:14,1,10,LAC 38,10,30,Philip Rivers pass complete short right to Keenan Allen for 6 yards (tackle by Sean Smith),1.470,1.730
4,13:47,2,4,LAC 44,10,30,Melvin Gordon left end for -1 yards (tackle by Khalil Mack),1.730,0.890
4,13:02,3,5,LAC 43,10,30,Philip Rivers pass complete short left to Keenan Allen for 27 yards (tackle by Reggie Nelson),0.890,3.580
4,12:16,1,10,OAK 30,10,30,Philip Rivers pass incomplete deep middle intended for Travis Benjamin (defended by T.J. Carrie),3.580,3.030
4,12:10,2,10,OAK 30,10,30,Melvin Gordon right end for 2 yards (tackle by NaVorro Bowman and Khalil Mack),3.030,2.610
4,11:24,3,8,OAK 28,10,30,"Philip Rivers sacked by Bruce Irvin and NaVorro Bowman for -7 yards. Philip Rivers fumbles (forced by Bruce Irvin), recovered by Philip Rivers at OAK-35",2.610,0.970
4,10:36,4,15,OAK 35,10,30,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",0.970,0.590
4,10:23,4,20,OAK 40,10,30,"Drew Kaser punts 33 yards, muffed catch by Johnny Holton, ball out of bounds at OAK-8",0.590,0.380
4,10:16,1,10,OAK 8,10,30,Derek Carr pass complete short middle to Seth Roberts for 7 yards (tackle by Hayes Pullard and Desmond King),-0.380,-0.210
4,9:51,2,3,OAK 15,10,30,Derek Carr pass incomplete short left intended for Seth Roberts,-0.210,-0.600
4,9:48,3,3,OAK 15,10,30,Marshawn Lynch middle for 2 yards (tackle by Desmond King and Darius Philon),-0.600,-2.320
4,9:03,4,1,OAK 17,10,30,"Derek Carr middle for -1 yards (tackle by Darius Philon). Derek Carr fumbles (forced by Darius Philon), recovered by Joey Bosa at OAK-16 (tackle by Derek Carr)",-2.320,-4.510
4,9:00,1,10,OAK 16,10,30,Melvin Gordon left end for 6 yards (tackle by Shalom Luani),4.510,4.970
4,8:18,2,4,OAK 10,10,30,Melvin Gordon middle for 3 yards (tackle by Shalom Luani and Reggie Nelson),4.970,4.850
4,7:53,3,1,OAK 7,10,30,Melvin Gordon right guard for no gain (tackle by Justin Ellis and Marquel Lee),4.850,3.010
4,7:09,4,1,OAK 7,10,30,Melvin Gordon middle for no gain (tackle by NaVorro Bowman and Denico Autry),3.010,0.380
4,7:03,1,10,OAK 8,10,30,Derek Carr pass complete short left to Marshawn Lynch for 17 yards (tackle by Jatavis Brown and Jahleel Addae),-0.380,0.610
4,6:32,1,10,OAK 25,10,30,Derek Carr pass complete short right to Seth Roberts for 8 yards (tackle by Desmond King),0.610,1.140
4,6:04,2,2,OAK 33,10,30,Derek Carr pass complete short left to Seth Roberts for 4 yards (tackle by Desmond King),1.140,1.400
4,5:38,1,10,OAK 37,10,30,Derek Carr pass complete short right to Seth Roberts for 26 yards (tackle by Jatavis Brown and Tre Boston),1.400,3.120
4,4:57,1,10,LAC 37,10,30,"Derek Carr pass complete short middle to Seth Roberts for 3 yards (tackle by Hayes Pullard). Penalty on Hayes Pullard: Unnecessary Roughness, 15 yards",3.120,4.310
4,4:53,1,10,LAC 19,10,30,Marshawn Lynch left guard for 11 yards (tackle by Tre Boston and Desmond King),4.310,5.370
4,4:18,1,8,LAC 8,10,30,Marshawn Lynch middle for 3 yards (tackle by Melvin Ingram and Tenny Palepoi),5.370,5.150
4,3:47,2,5,LAC 5,10,30,Marshawn Lynch left guard for no gain (tackle by Tenny Palepoi),5.150,4.260
4,3:06,3,5,LAC 5,10,30,Derek Carr pass incomplete short left intended for Amari Cooper (defended by Casey Hayward). Penalty on David Sharpe: Offensive Holding (Declined),4.260,3.010
4,2:58,4,5,LAC 5,10,30,Derek Carr pass incomplete,3.010,0.380
4,2:48,1,10,LAC 6,10,30,Branden Oliver right tackle for 11 yards (tackle by Antonio Hamilton),-0.380,-0.060
4,2:00,1,10,LAC 17,10,30,Branden Oliver left end for -2 yards (tackle by Denico Autry),-0.060,-0.850
4,1:14,2,12,LAC 15,10,30,Kellen Clemens kneels for -1 yards,-0.850,-1.720
4,0:35,3,13,LAC 14,10,30,Kellen Clemens kneels for -1 yards,-1.720,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
