Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 38,3,0,Seneca Wallace pass complete short right to Koren Robinson for 16 yards (tackle by Eric Barton),1.470,2.520
2,14:33,1,10,NYJ 46,3,0,Maurice Morris right guard for 4 yards (tackle by Sione Pouha),2.520,2.520
2,14:01,2,6,NYJ 42,3,0,Leonard Weaver right guard for -3 yards (tackle by Bryan Thomas),2.520,1.420
2,13:20,3,9,NYJ 45,3,0,Seneca Wallace pass incomplete deep middle intended for Bobby Engram,1.420,0.270
2,13:15,4,9,NYJ 45,3,0,Jon Ryan punts 35 yards,0.270,0.380
2,13:05,1,10,NYJ 10,3,0,Brett Favre pass incomplete short middle intended for Bubba Franks (defended by Lofa Tatupu),-0.380,-0.780
2,13:00,2,10,NYJ 10,3,0,Brett Favre pass complete deep left to Laveranues Coles for 23 yards (tackle by Josh Wilson),-0.780,1.140
2,12:22,1,10,NYJ 33,3,0,Thomas Jones right guard for 7 yards (tackle by Lofa Tatupu and Julian Peterson),1.140,1.540
2,11:40,2,3,NYJ 40,3,0,Brett Favre pass incomplete short right intended for Laveranues Coles,1.540,0.830
2,11:37,3,3,NYJ 40,3,0,Brett Favre sacked by Brandon Mebane and Darryl Tapp for -10 yards,0.830,-1.370
2,11:05,4,13,NYJ 30,3,0,"Reggie Hodges punts 40 yards, fair catch by Justin Forsett",-1.370,-0.940
2,10:57,1,10,SEA 30,3,0,Seneca Wallace pass incomplete deep right intended for Deion Branch,0.940,0.390
2,10:52,2,10,SEA 30,3,0,Maurice Morris left end for 6 yards (tackle by David Harris),0.390,0.500
2,10:34,3,4,SEA 36,3,0,"Seneca Wallace pass complete short middle to Will Heller for 4 yards (tackle by Dwight Lowery). Will Heller fumbles (forced by Dwight Lowery), recovered by Darrelle Revis at NYJ-40 (tackle by John Carlson)",0.500,-1.600
2,10:22,1,10,NYJ 40,3,0,Thomas Jones left guard for 3 yards (tackle by Lawrence Jackson and Lofa Tatupu),1.600,1.460
2,9:40,2,7,NYJ 43,3,0,Brett Favre pass incomplete short right intended for Laveranues Coles,1.460,0.760
2,9:36,3,7,NYJ 43,3,0,Brett Favre pass incomplete short right intended for Jerricho Cotchery is intercepted by Josh Wilson at SEA-43 and returned for 2 yards (tackle by Jerricho Cotchery),0.760,-1.930
2,9:27,1,10,SEA 45,3,0,Maurice Morris right tackle for 4 yards (tackle by Hank Poteat),1.930,1.920
2,8:54,2,6,SEA 49,3,0,Seneca Wallace pass complete short middle to Courtney Taylor for 26 yards (tackle by Abram Elam),1.920,3.910
2,8:19,1,10,NYJ 25,3,0,Seneca Wallace pass complete short right to Deion Branch for 4 yards (tackle by Eric Smith),3.910,3.900
2,7:43,2,6,NYJ 21,3,0,Maurice Morris right tackle for 11 yards (tackle by Eric Smith),3.900,4.910
2,7:09,1,10,NYJ 10,3,0,Maurice Morris right end for no gain (tackle by Eric Barton),4.910,4.190
2,6:28,2,10,NYJ 10,3,0,Seneca Wallace pass incomplete short right intended for Maurice Morris,4.190,3.130
2,6:22,3,10,NYJ 10,3,0,"Leonard Weaver left tackle for 5 yards (tackle by Dwight Lowery). Leonard Weaver fumbles (forced by Dwight Lowery), recovered by Eric Smith at NYJ-3 (tackle by Courtney Taylor)",3.130,0.380
2,6:14,1,10,NYJ 3,3,0,Tony Richardson right guard for 4 yards (tackle by Lofa Tatupu and Rocky Bernard),-0.380,-0.490
2,5:38,2,6,NYJ 7,3,0,Thomas Jones right guard for 6 yards (tackle by Josh Wilson),-0.490,-0.320
2,4:56,1,10,NYJ 13,3,0,Thomas Jones right end for 5 yards (tackle by Deon Grant),-0.320,-0.140
2,4:20,2,5,NYJ 18,3,0,Thomas Jones left tackle for -2 yards (tackle by Darryl Tapp),-0.140,-1.060
2,3:35,3,7,NYJ 16,3,0,Brett Favre pass incomplete short right intended for Jerricho Cotchery (defended by Lofa Tatupu),-1.060,-2.390
2,3:31,4,7,NYJ 16,3,0,"Reggie Hodges punts 35 yards, returned by Justin Forsett for 11 yards (tackle by Ahmad Carroll)",-2.390,-2.920
2,3:20,1,10,NYJ 40,3,0,Maurice Morris up the middle for 5 yards (tackle by C.J. Mosley),2.920,3.050
2,2:51,2,5,NYJ 35,3,0,"Maurice Morris left end for -2 yards (tackle by Calvin Pace). Penalty on Calvin Pace: Face Mask (15 Yards), 15 yards",3.050,4.110
2,2:33,,,,3,0,Timeout #1 by Seattle Seahawks,0.000,4.110
2,2:33,1,10,NYJ 22,3,0,Maurice Morris right tackle for 5 yards (tackle by Kris Jenkins),4.110,4.290
2,2:01,2,5,NYJ 17,3,0,Seneca Wallace pass complete short right to Will Heller for 4 yards (tackle by Kerry Rhodes),4.290,4.390
2,1:56,3,1,NYJ 13,3,0,T.J. Duckett up the middle for 2 yards (tackle by Kris Jenkins and Eric Barton),4.390,4.840
2,1:17,1,10,NYJ 11,3,0,Seneca Wallace pass complete short left to Courtney Taylor for 9 yards (tackle by Darrelle Revis),4.840,5.850
2,0:36,2,1,NYJ 2,3,6,"Seneca Wallace pass complete short right to John Carlson for 2 yards, touchdown",5.850,7.000
2,,,,NYJ 2,3,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,SEA 30,3,7,"Olindo Mare kicks off 61 yards, returned by Leon Washington for 13 yards (tackle by Owen Schmitt)",0.000,0.410
2,0:24,1,10,NYJ 22,3,7,Brett Favre sacked by Craig Terrill for -7 yards,0.410,-1.210
Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,3,7,"Jay Feely kicks off 58 yards, returned by Josh Wilson for 15 yards (tackle by Wallace Wright)",0.000,0.740
3,14:56,1,10,SEA 27,3,7,Seneca Wallace pass complete short right to Bobby Engram for 8 yards (tackle by Darrelle Revis),0.740,1.280
3,14:24,2,2,SEA 35,3,7,Maurice Morris up the middle for 4 yards (tackle by Kenyon Coleman and Calvin Pace),1.280,1.530
3,13:48,1,10,SEA 39,3,7,Maurice Morris right end for 3 yards (tackle by Eric Barton),1.530,1.390
3,13:10,2,7,SEA 42,3,7,Maurice Morris up the middle for 4 yards (tackle by Shaun Ellis),1.390,1.220
3,12:29,3,3,SEA 46,3,7,Seneca Wallace pass incomplete short left intended for Courtney Taylor (defended by Ty Law),1.220,-0.320
3,12:24,4,3,SEA 46,3,7,"Jon Ryan punts 35 yards, returned by Leon Washington for 4 yards (tackle by David Hawthorne)",-0.320,-0.480
3,12:15,1,10,NYJ 23,3,7,Brett Favre pass complete short left to Laveranues Coles for 8 yards (tackle by Josh Wilson),0.480,1.010
3,11:40,2,2,NYJ 31,3,7,Thomas Jones right end for 6 yards (tackle by Deon Grant),1.010,1.400
3,11:05,1,10,NYJ 37,3,7,Thomas Jones up the middle for 3 yards (tackle by Lawrence Jackson),1.400,1.260
3,10:19,2,7,NYJ 40,3,7,Brett Favre pass complete short left to Jerricho Cotchery for 6 yards (tackle by Brian Russell),1.260,1.360
3,10:11,3,1,NYJ 46,3,7,"Leon Washington right tackle for 5 yards (tackle by Deon Grant and Howard Green). Penalty on NYJ: Illegal Formation, 5 yards (no play)",1.360,0.700
3,9:53,3,6,NYJ 41,3,7,Brett Favre pass incomplete deep right intended for David Clowney,0.700,-0.650
3,9:48,4,6,NYJ 41,3,7,"Reggie Hodges punts 46 yards, fair catch by Justin Forsett",-0.650,0.320
3,9:40,1,10,SEA 13,3,7,"Penalty on Kyle Williams: False Start, 5 yards (no play)",-0.320,-0.570
3,9:40,1,15,SEA 8,3,7,Maurice Morris right tackle for 5 yards (tackle by Bryan Thomas),-0.570,-0.770
3,9:11,2,10,SEA 13,3,7,Seneca Wallace pass complete short middle to Koren Robinson for 13 yards (tackle by Ty Law),-0.770,0.670
3,8:38,1,10,SEA 26,3,7,Maurice Morris left tackle for 4 yards (tackle by Kris Jenkins),0.670,0.670
3,8:05,2,6,SEA 30,3,7,Maurice Morris right end for 8 yards (tackle by Kenyon Coleman),0.670,1.470
3,7:29,1,10,SEA 38,3,7,Maurice Morris up the middle for 4 yards (tackle by Shaun Ellis),1.470,1.460
3,6:49,2,6,SEA 42,3,7,Seneca Wallace pass complete short left to Koren Robinson for 9 yards (tackle by Ty Law),1.460,2.320
3,6:20,1,10,NYJ 49,3,7,Maurice Morris right end for 4 yards (tackle by Abram Elam),2.320,2.320
3,5:49,2,6,NYJ 45,3,7,Seneca Wallace pass complete short right to Bobby Engram for 15 yards (tackle by Kerry Rhodes),2.320,3.580
3,5:14,1,10,NYJ 30,3,7,Maurice Morris up the middle for 13 yards (tackle by Bryan Thomas),3.580,4.440
3,4:43,1,10,NYJ 17,3,7,Maurice Morris right guard for no gain (tackle by Kris Jenkins),4.440,3.850
3,4:08,2,10,NYJ 17,3,7,Seneca Wallace pass complete short left to Leonard Weaver for 1 yard (tackle by Calvin Pace),3.850,3.190
3,3:28,3,9,NYJ 16,3,7,Leonard Weaver right tackle for 3 yards (tackle by Darrelle Revis and Dwight Lowery),3.190,2.590
3,2:46,4,6,NYJ 13,3,10,Olindo Mare 31 yard field goal good,2.590,3.000
3,,,,SEA 30,3,10,"Olindo Mare kicks off 63 yards, returned by Leon Washington for 16 yards (tackle by Lance Laury)",0.000,0.480
3,2:35,1,10,NYJ 23,3,10,"Penalty on Damien Woody: False Start, 5 yards (no play)",0.480,0.000
3,2:35,1,15,NYJ 18,3,10,"Brett Favre pass incomplete short right intended for Jerricho Cotchery. Penalty on Brian Russell: Defensive Pass Interference, 6 yards (no play)",0.000,0.540
3,2:33,1,10,NYJ 24,3,10,Thomas Jones right guard for 4 yards (tackle by Brian Russell and Will Herring),0.540,0.540
3,1:56,2,6,NYJ 28,3,10,Brett Favre pass complete short right to Laveranues Coles for 9 yards (tackle by Marcus Trufant),0.540,1.400
3,1:35,1,10,NYJ 37,3,10,Thomas Jones right tackle for 5 yards (tackle by Deon Grant),1.400,1.530
3,0:58,2,5,NYJ 42,3,10,Brett Favre pass complete short middle to Chris Baker for 12 yards (tackle by Marcus Trufant),1.530,2.520
3,0:15,1,10,SEA 46,3,10,Thomas Jones right tackle for 6 yards (tackle by Deon Grant),2.520,2.790
Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,SEA 40,3,10,Brett Favre pass complete short left to Jerricho Cotchery for 10 yards (tackle by Josh Wilson),2.790,3.580
4,14:18,1,10,SEA 30,3,10,Brett Favre pass incomplete short left intended for Bubba Franks,3.580,3.030
4,14:10,2,10,SEA 30,3,10,Thomas Jones right guard for 3 yards (tackle by Lawrence Jackson and Rocky Bernard),3.030,2.740
4,13:27,3,7,SEA 27,3,10,Brett Favre pass incomplete deep right intended for Laveranues Coles (defended by Marcus Trufant),2.740,1.670
4,13:22,4,7,SEA 27,3,10,"Penalty on Reggie Hodges: Delay of Game, 5 yards (no play)",1.670,1.240
4,13:22,4,12,SEA 32,3,10,"Reggie Hodges punts 25 yards, fair catch by Justin Forsett",1.240,0.380
4,13:15,1,10,SEA 7,3,10,Maurice Morris up the middle for 2 yards (tackle by Kris Jenkins),-0.380,-0.630
4,12:49,2,8,SEA 9,3,10,Maurice Morris right tackle for 3 yards (tackle by Bryan Thomas),-0.630,-0.840
4,11:59,3,5,SEA 12,3,10,Seneca Wallace pass complete short middle to Bobby Engram for 12 yards (tackle by Kerry Rhodes),-0.840,0.540
4,11:24,1,10,SEA 24,3,10,Maurice Morris left tackle for 1 yard (tackle by Kenyon Coleman),0.540,0.130
4,10:46,2,9,SEA 25,3,10,Seneca Wallace pass complete short right to Deion Branch for 2 yards (tackle by Mike DeVito),0.130,-0.300
4,10:03,3,7,SEA 27,3,10,Seneca Wallace pass incomplete short right intended for Courtney Taylor,-0.300,-1.570
4,9:59,4,7,SEA 27,3,10,Jon Ryan punts 34 yards,-1.570,-1.530
4,9:51,1,10,NYJ 39,3,10,Brett Favre pass complete short middle to Thomas Jones for 8 yards (tackle by Will Herring),1.530,2.070
4,9:19,2,2,NYJ 47,3,10,Thomas Jones right tackle for 1 yard (tackle by Darryl Tapp),2.070,1.490
4,8:45,3,1,NYJ 48,3,10,Tony Richardson up the middle for 2 yards (tackle by Howard Green and Julian Peterson),1.490,2.260
4,8:08,1,10,,3,10,Leon Washington left end for 3 yards (tackle by Brandon Miller),2.260,2.120
4,7:28,2,7,SEA 47,3,10,Brett Favre pass incomplete deep right intended for Laveranues Coles (defended by Josh Wilson),2.120,1.420
4,7:22,3,7,SEA 47,3,10,Brett Favre sacked by Josh Wilson for -13 yards,1.420,-0.720
4,6:59,4,20,NYJ 40,3,10,"Reggie Hodges punts 38 yards, returned by Justin Forsett for 10 yards (tackle by Wallace Wright)",-0.720,-1.070
4,6:48,1,10,SEA 32,3,10,Seneca Wallace pass complete short right to Bobby Engram for 11 yards (tackle by Darrelle Revis),1.070,1.800
4,6:11,1,10,SEA 43,3,10,"Penalty on Kyle Williams: False Start, 5 yards (no play)",1.800,1.470
4,5:56,1,15,SEA 38,3,10,Maurice Morris up the middle for 2 yards (tackle by Kenyon Coleman),1.470,0.850
4,5:21,2,13,SEA 40,3,10,"Penalty on Koren Robinson: False Start, 5 yards (no play)",0.850,0.170
4,4:47,2,18,SEA 35,3,10,Maurice Morris left guard for 5 yards (tackle by Shaun Ellis),0.170,0.170
4,4:05,3,13,SEA 40,3,10,Seneca Wallace pass complete short middle to Bobby Engram for 10 yards (tackle by David Harris),0.170,-0.060
4,3:18,,,,3,10,Timeout #1 by Seattle Seahawks,0.000,-0.060
4,3:18,4,3,,3,10,Jon Ryan punts 38 yards,-0.060,0.350
4,3:06,1,10,NYJ 12,3,10,Brett Favre sacked by Darryl Tapp for -7 yards,-0.350,-1.290
4,2:48,2,17,NYJ 5,3,10,Brett Favre pass complete short middle to Laveranues Coles for 15 yards (tackle by Brian Russell),-1.290,-0.480
4,2:23,3,2,NYJ 20,3,10,Brett Favre pass incomplete short left intended for Brad Smith,-0.480,-2.030
4,2:21,4,2,NYJ 20,3,10,Brett Favre pass incomplete deep middle intended for Laveranues Coles (defended by Kelly Jennings),-2.030,-4.240
4,2:12,1,10,NYJ 20,3,10,Maurice Morris left guard for 2 yards (tackle by Kenyon Coleman),4.240,3.960
4,2:00,2,8,NYJ 18,3,10,Maurice Morris right tackle for -3 yards (tackle by Kerry Rhodes),3.960,2.870
4,1:56,,,,3,10,Timeout #1 by New York Jets,0.000,2.870
4,1:56,3,11,NYJ 21,3,10,Maurice Morris up the middle for 1 yard (tackle by Kenyon Coleman),2.870,2.120
4,1:52,,,,3,10,Timeout #2 by New York Jets,0.000,2.120
4,1:52,4,10,NYJ 20,3,13,Olindo Mare 38 yard field goal good,2.120,3.000
4,,,,SEA 30,3,13,"Olindo Mare kicks off 67 yards, returned by Leon Washington for 22 yards (tackle by Owen Schmitt)",0.000,0.610
4,1:42,1,10,NYJ 25,3,13,Brett Favre pass complete deep middle to Jerricho Cotchery for 30 yards (tackle by Deon Grant),0.610,2.590
4,1:23,1,10,SEA 45,3,13,"Brett Favre pass incomplete deep right intended for Jerricho Cotchery is intercepted by Josh Wilson at SEA-15. Penalty on Josh Wilson: Unsportsmanlike Conduct, 7 yards",2.590,0.380
4,1:16,1,10,SEA 8,3,13,Seneca Wallace kneels for -1 yards,-0.380,-0.850
4,1:13,,,,3,13,Timeout #3 by New York Jets,0.000,-0.850
4,1:09,2,11,SEA 7,3,13,Seneca Wallace kneels for -1 yards,-0.850,-1.650
4,0:35,3,12,SEA 6,3,13,Seneca Wallace kneels for -1 yards,-1.650,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
