Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
3,14:18,2,6,MIN 37,3,14,Tarvaris Jackson pass incomplete deep middle intended for Robert Ferguson,1.130,0.430
3,14:10,3,6,MIN 37,3,14,Tarvaris Jackson pass incomplete short right intended for Troy Williamson (defended by Champ Bailey),0.430,-0.910
3,14:05,4,6,MIN 37,3,14,"Chris Kluwe punts 41 yards, out of bounds",-0.910,-0.480
3,13:58,1,10,DEN 23,3,14,Jay Cutler pass complete short right to Tony Scheffler for 2 yards (tackle by Dwight Smith),0.480,0.200
3,13:26,2,8,DEN 25,3,14,Jay Cutler pass complete short left to Brandon Marshall for no gain,0.200,-0.490
3,12:46,3,8,DEN 25,3,14,Jay Cutler pass complete short left to Selvin Young for 8 yards (tackle by Ben Leber),-0.490,1.140
,,,,,,,"MIN challenged the first down ruling, and the play was upheld.",,
3,12:20,1,10,DEN 33,3,14,Jay Cutler pass incomplete (defended by Pat Williams),1.140,0.590
3,12:20,2,10,DEN 33,3,14,Jay Cutler pass complete short right to Brandon Marshall for 16 yards (tackle by Chad Greenway),0.590,2.190
3,11:34,1,10,DEN 49,3,14,Jay Cutler pass complete short left to Javon Walker for 7 yards (tackle by Ben Leber),2.190,2.590
3,11:00,2,3,MIN 44,3,14,Selvin Young right tackle for 2 yards (tackle by Spencer Johnson),2.590,2.150
3,10:26,3,1,MIN 42,3,14,Selvin Young up the middle for no gain (tackle by Spencer Johnson),2.150,0.460
3,9:45,4,1,MIN 42,3,14,Jay Cutler pass complete short right to Tony Scheffler for 18 yards (tackle by Marcus McCauley),0.460,3.970
3,9:03,1,10,MIN 24,3,14,Andre Hall up the middle for -1 yards (tackle by Brian Robison),3.970,3.300
3,8:19,1,10,MIN 24,3,14,Timeout #1 by Denver Broncos,3.970,3.300
3,8:19,2,11,MIN 25,3,14,Jay Cutler pass incomplete deep middle intended for Brandon Marshall (defended by E.J. Henderson),3.300,2.610
3,8:14,3,11,MIN 25,3,14,Jay Cutler pass complete short middle to Selvin Young for no gain,2.610,1.800
3,7:41,4,11,MIN 25,3,17,Jason Elam 43 yard field goal good,1.800,3.000
3,7:41,,,DEN 30,3,17,"Matt Prater kicks off 66 yards, returned by Adrian Peterson for 26 yards (tackle by Paul Smith)",0.000,-0.940
3,7:29,1,10,MIN 30,3,17,Adrian Peterson up the middle for -1 yards (tackle by D.J. Williams and John Lynch),0.940,0.260
3,6:51,2,11,MIN 29,3,17,Tarvaris Jackson pass complete short left to Robert Ferguson for 8 yards (tackle by Karl Paymah),0.260,0.630
3,6:07,3,3,MIN 37,3,17,Tarvaris Jackson pass complete short right to Robert Ferguson for 4 yards (tackle by Champ Bailey),0.630,1.660
3,5:31,1,10,MIN 41,3,17,"Tarvaris Jackson for no gain. Tarvaris Jackson fumbles, recovered by Adrian Peterson at MIN-30",1.660,-0.370
3,4:48,2,21,MIN 30,3,17,Tarvaris Jackson sacked by Josh Mallard for -3 yards,-0.370,-1.420
3,4:08,3,24,MIN 27,3,17,Tarvaris Jackson pass complete deep right to Bobby Wade for 19 yards (tackle by Jamie Winborn and John Lynch),-1.420,-0.320
3,3:24,4,5,MIN 46,3,17,"Chris Kluwe punts 48 yards, returned by Glenn Martinez for 12 yards (tackle by Heath Farwell)",-0.320,-0.040
3,3:11,1,10,DEN 18,3,17,Jay Cutler pass complete short left to Brandon Marshall for 12 yards (tackle by Cedric Griffin),0.040,0.940
3,2:42,1,10,DEN 30,3,17,Selvin Young left end for 1 yard (tackle by Spencer Johnson),0.940,0.530
3,2:02,2,9,DEN 31,3,17,Jay Cutler pass complete short right to Brandon Marshall for 8 yards (tackle by Marcus McCauley),0.530,0.890
3,1:26,3,1,DEN 39,3,17,Brandon Marshall left end for 7 yards (tackle by Cedric Griffin),0.890,1.990
3,0:46,1,10,DEN 46,3,17,Selvin Young right guard for 3 yards (tackle by Kenechi Udeze),1.990,1.860
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,DEN 49,3,17,Jay Cutler pass incomplete short right intended for Cecil Sapp,1.860,1.160
4,14:55,2,7,DEN 49,3,17,Timeout #2 by Denver Broncos,1.860,1.160
4,14:55,3,7,DEN 49,3,17,Selvin Young left end for 5 yards (tackle by Darren Sharper),1.160,0.200
4,14:11,4,2,MIN 46,3,17,"Sam Paulescu punts 44 yards, out of bounds",0.200,0.380
4,14:03,1,10,MIN 2,3,17,Tarvaris Jackson pass complete short left to Bobby Wade for 16 yards (tackle by Dre' Bly and D.J. Williams),-0.380,0.040
4,13:23,1,10,MIN 18,3,17,Tarvaris Jackson pass incomplete deep right intended for Robert Ferguson,0.040,-0.490
4,13:17,2,10,MIN 18,3,17,Tarvaris Jackson pass incomplete short right intended for Bobby Wade,-0.490,-1.170
4,13:13,3,10,MIN 18,3,17,"Penalty on Bobby Wade: False Start, 5 yards (no play)",-1.170,-1.970
4,13:13,3,15,MIN 13,3,17,"Penalty on Tarvaris Jackson: False Start, 5 yards (no play)",-1.970,-2.590
4,13:13,3,20,MIN 8,3,19,"Tarvaris Jackson pass complete short left to Chester Taylor for 8 yards (tackle by Jamie Winborn), safety. Penalty on Ryan Cook: Face Mask (15 Yards), 8 yards",-2.590,-2.000
4,13:13,3,20,MIN 8,3,19,--,-2.590,0.000
4,13:13,,,MIN 20,3,19,"Chris Kluwe kicks off 76 yards, returned by Dre' Bly for 23 yards (tackle by Charles Gordon)",0.000,0.740
4,12:57,1,10,DEN 27,3,19,Selvin Young left end for 8 yards (tackle by Ben Leber),0.740,1.280
4,12:22,2,2,DEN 35,3,19,Selvin Young left guard for no gain (tackle by Kenechi Udeze),1.280,0.560
4,11:41,3,2,DEN 35,3,19,Brandon Marshall left end for 24 yards (tackle by Darren Sharper),0.560,2.850
4,11:05,1,10,MIN 41,3,19,Selvin Young up the middle for 7 yards (tackle by Darren Sharper),2.850,3.250
4,10:24,2,3,MIN 34,3,19,Selvin Young up the middle for 4 yards (tackle by Kevin Williams),3.250,3.580
4,9:41,1,10,MIN 30,3,19,Selvin Young left end for 3 yards (tackle by E.J. Henderson),3.580,3.440
4,8:57,2,7,MIN 27,3,19,Andre Hall up the middle for 1 yard (tackle by Dwight Smith),3.440,2.870
4,8:12,3,6,MIN 26,3,19,Jay Cutler pass incomplete short left intended for Brandon Marshall,2.870,1.760
4,8:09,3,6,MIN 26,3,19,Timeout #3 by Denver Broncos,2.870,1.760
4,8:09,4,6,MIN 26,3,19,Jay Cutler pass complete short right to Tony Scheffler for -4 yards (tackle by Marcus McCauley),1.760,-1.000
4,8:04,1,10,MIN 31,3,19,Tarvaris Jackson pass complete short right to Aundrae Allison for 9 yards (tackle by Champ Bailey),1.000,1.680
4,7:33,2,1,MIN 40,3,19,Tarvaris Jackson pass complete short left to Chester Taylor for 2 yards (tackle by Jamie Winborn and Josh Mallard),1.680,1.730
4,7:04,1,10,MIN 42,3,19,Tarvaris Jackson pass complete deep middle to Bobby Wade for 30 yards (tackle by D.J. Williams),1.730,3.710
4,6:36,1,10,DEN 28,3,19,Tarvaris Jackson pass incomplete short left intended for Robert Ferguson (defended by Karl Paymah),3.710,3.170
4,6:32,2,10,DEN 28,3,19,Tarvaris Jackson pass complete short right to Robert Ferguson for 2 yards (tackle by D.J. Williams),3.170,2.740
4,5:58,3,8,DEN 26,3,19,Tarvaris Jackson pass incomplete deep left intended for Garrett Mills,2.740,1.740
4,5:54,4,8,DEN 26,3,19,Tarvaris Jackson pass complete deep left to Robert Ferguson for 21 yards (tackle by Dre' Bly),1.740,6.060
4,5:21,1,5,DEN 5,9,19,"Tarvaris Jackson pass complete short right to Bobby Wade for 5 yards, touchdown",6.060,7.000
4,5:21,,,,11,19,"Two Point Attempt: Tarvaris Jackson up the middle, conversion succeeds",1.000,1.000
4,5:21,,,MIN 30,11,19,"Ryan Longwell kicks off 70 yards, touchback",0.000,0.280
4,5:18,1,10,DEN 20,11,19,Selvin Young up the middle for 5 yards (tackle by Darren Sharper),0.280,0.410
4,4:34,2,5,DEN 25,11,19,Selvin Young up the middle for 2 yards (tackle by Darren Sharper),0.410,-0.030
4,4:28,2,5,DEN 25,11,19,Timeout #2 by Minnesota Vikings,0.410,-0.030
4,4:28,3,3,DEN 27,11,19,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Cedric Griffin),-0.030,-1.570
4,4:25,4,3,DEN 27,11,19,"Sam Paulescu punts 51 yards, returned by Mewelde Moore for 13 yards (tackle by Mike Leach)",-1.570,-1.270
4,4:12,1,10,MIN 35,11,19,"Tarvaris Jackson pass incomplete deep right intended for Bobby Wade. Penalty on Elvis Dumervil: Defensive Offside, 5 yards (no play)",1.270,2.000
4,4:05,1,5,MIN 40,11,19,Tarvaris Jackson pass incomplete deep left intended for Aundrae Allison,2.000,1.400
4,4:00,2,5,MIN 40,11,19,Tarvaris Jackson up the middle for 32 yards (tackle by Champ Bailey),1.400,3.710
4,3:22,1,10,DEN 28,11,19,Adrian Peterson right tackle for 6 yards (tackle by Kenny Peterson and D.J. Williams),3.710,3.980
4,2:37,2,4,DEN 22,11,19,Tarvaris Jackson pass incomplete deep left intended for Robert Ferguson,3.980,3.270
4,2:30,3,4,DEN 22,17,19,"Tarvaris Jackson pass complete deep left to Bobby Wade for 22 yards, touchdown",3.270,7.000
4,2:30,,,,19,19,"Two Point Attempt: Tarvaris Jackson right end, conversion succeeds",1.000,1.000
4,2:30,,,MIN 30,19,19,"Ryan Longwell kicks off 70 yards, touchback",0.000,0.280
4,2:21,1,10,DEN 20,19,19,Jay Cutler pass complete short middle to Tony Scheffler for 14 yards (tackle by Chad Greenway and E.J. Henderson),0.280,1.200
4,2:00,1,10,DEN 34,19,19,"Penalty on Brandon Marshall: False Start, 5 yards (no play)",1.200,0.870
4,2:00,1,15,DEN 29,19,19,Jay Cutler pass complete short middle to Selvin Young for 4 yards (tackle by Ben Leber and Darren Sharper),0.870,0.520
4,1:50,2,11,DEN 33,19,19,"Jay Cutler pass complete deep left to Brandon Marshall for 17 yards, lateral to Glenn Martinez for 10 yards (tackle by Charles Gordon)",0.520,2.920
4,1:38,1,10,MIN 40,19,19,Jay Cutler spiked the ball,2.920,2.370
4,1:09,2,10,MIN 40,19,19,Jay Cutler pass complete short left to Brandon Marshall for 5 yards (tackle by Cedric Griffin),2.370,2.340
4,0:48,3,5,MIN 35,19,19,Jay Cutler pass incomplete short middle intended for Glenn Martinez (defended by Charles Gordon),2.340,0.980
4,0:44,4,5,MIN 35,19,19,Jay Cutler pass incomplete deep right intended for Javon Walker (defended by Marcus McCauley),0.980,-1.270
4,0:39,1,10,MIN 35,19,19,Tarvaris Jackson right tackle for -1 yards (tackle by Josh Mallard),1.270,0.590
4,0:31,1,10,MIN 35,19,19,Timeout #3 by Minnesota Vikings,1.270,0.590
4,0:31,2,11,MIN 34,19,19,Tarvaris Jackson pass incomplete short right intended for Aundrae Allison,0.590,-0.100
4,0:26,3,11,MIN 34,19,19,Tarvaris Jackson up the middle for 5 yards (tackle by Kenny Peterson),-0.100,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,
OT,15:00,,,DEN 30,19,19,"Matt Prater kicks off 70 yards, touchback",0.000,-0.280
OT,15:00,1,10,MIN 20,19,19,Adrian Peterson left end for 2 yards (tackle by D.J. Williams and Nate Webster),0.280,0.000
OT,14:20,2,8,MIN 22,19,19,"Tarvaris Jackson sacked by Alvin McKinley and Jamie Winborn for 0 yards. Tarvaris Jackson fumbles (forced by Alvin McKinley), recovered by Elvis Dumervil at MIN-13 (tackle by Adrian Peterson)",0.000,-4.780
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
OT,14:12,1,10,MIN 12,19,22,Jason Elam 30 yard field goal good,4.780,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
