Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
2,6:03,2,3,BUF 15,3,21,LaDainian Tomlinson up the middle for 4 yards (tackle by Jeff Posey),4.650,4.840
2,5:22,1,10,BUF 11,3,21,Michael Turner left tackle for 4 yards (tackle by Nate Clements),4.840,4.890
2,4:36,2,6,BUF 7,3,21,Drew Brees pass complete to Reche Caldwell for 3 yards (tackle by Jabari Greer),4.890,4.670
2,4:02,3,3,BUF 4,3,21,Drew Brees pass complete to LaDainian Tomlinson for 2 yards (tackle by Aaron Schobel),4.670,3.250
2,3:17,,,,3,21,Timeout #2 by San Diego Chargers,0.000,3.250
2,3:17,4,1,BUF 2,3,27,"Drew Brees pass complete to Lorenzo Neal for 2 yards, touchdown",3.250,7.000
2,,,,BUF 2,3,28,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,3,28,"Nate Kaeding kicks off 61 yards, returned by Roscoe Parrish for 36 yards (tackle by Nate Kaeding)",0.000,1.930
2,3:03,1,10,BUF 45,3,28,Willis McGahee up the middle for 11 yards (tackle by Donnie Edwards and Clinton Hart),1.930,2.650
2,2:38,1,10,SDG 44,3,28,J.P. Losman pass incomplete intended for Josh Reed (defended by Jamar Fletcher),2.650,2.110
2,2:34,2,10,SDG 44,3,28,J.P. Losman pass complete to Josh Reed for 9 yards (tackle by Marques Harris),2.110,2.610
2,2:11,3,1,SDG 35,3,28,J.P. Losman pass incomplete intended for Lee Evans,2.610,1.000
2,2:06,4,1,SDG 35,3,28,Willis McGahee up the middle for 2 yards (tackle by Jamal Williams),1.000,3.380
2,2:00,1,10,SDG 33,3,28,J.P. Losman up the middle for 30 yards (tackle by Shawne Merriman),3.380,6.510
2,2:00,1,3,SDG 3,3,28,J.P. Losman spiked the ball,6.510,5.530
2,1:30,2,3,SDG 3,9,28,"J.P. Losman pass complete to Daimon Shelton for 3 yards, touchdown",5.530,7.000
2,,,,SDG 2,10,28,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,10,28,"Rian Lindell kicks off 70 yards, returned by Darren Sproles for 17 yards (tackle by Joe Burns)",0.000,-0.060
2,1:17,1,10,SDG 17,10,28,Drew Brees pass incomplete intended for LaDainian Tomlinson,-0.060,-0.580
2,1:13,2,10,SDG 17,10,28,Drew Brees pass complete to Eric Parker for 17 yards (tackle by Terrence McGee and London Fletcher),-0.580,1.200
2,1:01,,,,10,28,Timeout #3 by San Diego Chargers,0.000,1.200
2,1:01,1,10,SDG 34,10,28,Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Ryan Denney),1.200,0.660
2,0:56,2,10,SDG 34,10,28,Drew Brees pass complete to Keenan McCardell for 26 yards (tackle by Nate Clements),0.660,2.920
2,0:56,1,10,BUF 40,10,28,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",2.920,2.590
2,0:50,1,15,BUF 45,10,28,Drew Brees pass complete to Antonio Gates for 16 yards (tackle by Lawyer Milloy),2.590,3.640
2,0:43,1,10,BUF 29,10,34,"Drew Brees pass complete to Keenan McCardell for 29 yards, touchdown",3.640,7.000
2,,,,BUF 2,10,35,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,10,35,"Nate Kaeding kicks off 42 yards, returned by Daimon Shelton for 10 yards (tackle by Andrew Pinnock)",0.000,1.470
2,0:32,1,10,BUF 38,10,35,J.P. Losman pass incomplete intended for Lee Evans,1.470,0.920
2,0:26,2,10,BUF 38,10,35,J.P. Losman pass complete to Willis McGahee for 2 yards (tackle by Donnie Edwards),0.920,0.500
2,0:19,,,,10,35,Timeout #3 by Buffalo Bills,0.000,0.500
2,0:19,3,8,BUF 40,10,35,J.P. Losman pass incomplete intended for Willis McGahee,0.500,-0.720
2,0:15,4,8,BUF 40,10,35,"Brian Moorman punts 60 yards, touchback",-0.720,-0.280
2,0:05,1,10,SDG 20,10,35,Drew Brees kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,10,35,"Nate Kaeding kicks off 46 yards, returned by Ryan Neufeld for 11 yards (tackle by Marques Harris)",0.000,1.270
3,14:55,1,10,BUF 35,10,35,Willis McGahee right tackle for 4 yards (tackle by Randall Godfrey and Donnie Edwards),1.270,1.260
3,14:17,2,6,BUF 39,10,35,J.P. Losman pass complete to Daimon Shelton for 4 yards (tackle by Quentin Jammer),1.260,1.090
3,13:49,3,2,BUF 43,10,35,J.P. Losman pass complete to Eric Moulds for 8 yards (tackle by Quentin Jammer),1.090,2.320
3,13:15,1,10,SDG 49,10,35,Willis McGahee up the middle for 2 yards (tackle by Jamal Williams and Igor Olshansky),2.320,2.050
3,12:37,2,8,SDG 47,10,35,Willis McGahee right guard for 10 yards (tackle by Terrence Kiel),2.050,3.120
3,12:00,1,10,SDG 37,10,35,J.P. Losman pass incomplete intended for Eric Moulds (defended by Drayton Florence),3.120,2.570
3,11:53,2,10,SDG 37,10,35,Willis McGahee right tackle for 2 yards (tackle by Jamal Williams),2.570,2.150
3,11:06,3,8,SDG 35,10,35,"Penalty on J.P. Losman: Delay of Game, 5 yards (no play)",2.150,1.490
3,10:45,3,13,SDG 40,10,35,J.P. Losman pass incomplete intended for Josh Reed,1.490,0.590
3,10:38,4,13,SDG 40,10,35,"Brian Moorman punts 25 yards, fair catch by Darren Sproles",0.590,0.220
3,10:32,1,10,SDG 15,10,35,LaDainian Tomlinson right tackle for 2 yards (tackle by London Fletcher and Justin Bannan),-0.220,-0.440
3,9:57,2,8,SDG 17,10,35,LaDainian Tomlinson up the middle for no gain (tackle by Justin Bannan),-0.440,-1.120
3,9:18,3,8,SDG 17,10,35,Drew Brees pass complete to Antonio Gates for 21 yards (tackle by Angelo Crowell and Lawyer Milloy),-1.120,1.470
3,8:45,1,10,SDG 38,10,35,"Penalty on Leander Jordan: False Start, 5 yards (no play)",1.470,1.140
3,8:25,1,15,SDG 33,10,35,Drew Brees pass complete to Lorenzo Neal for 2 yards (tackle by London Fletcher and Angelo Crowell),1.140,0.520
3,7:46,2,13,SDG 35,10,35,Drew Brees pass complete to Kassim Osgood for 15 yards (tackle by Nate Clements and Lawyer Milloy),0.520,2.260
3,7:01,1,10,SDG 50,10,35,LaDainian Tomlinson up the middle for 19 yards (tackle by Nate Clements),2.260,3.510
3,6:20,1,10,BUF 31,10,35,Eric Parker right end for 14 yards (tackle by Troy Vincent),3.510,4.440
3,5:36,1,10,BUF 17,10,35,Kassim Osgood right end for 4 yards (tackle by Chris Kelsay),4.440,4.500
3,4:57,2,6,BUF 13,10,35,LaDainian Tomlinson left tackle for 3 yards (tackle by London Fletcher),4.500,4.340
3,4:09,3,3,BUF 10,10,35,Drew Brees pass incomplete intended for Keenan McCardell,4.340,2.860
3,4:05,4,3,BUF 10,10,38,Nate Kaeding 28 yard field goal good,2.860,3.000
3,,,,SDG 30,10,38,"Nate Kaeding kicks off 65 yards, returned by Roscoe Parrish for 22 yards (tackle by Clinton Hart)",0.000,0.740
3,3:54,1,10,BUF 27,10,38,J.P. Losman pass incomplete intended for Eric Moulds (defended by Drayton Florence),0.740,0.200
3,3:51,2,10,BUF 27,10,38,J.P. Losman pass complete to Roscoe Parrish for 7 yards (tackle by Donnie Edwards),0.200,0.430
3,3:22,3,3,BUF 34,10,38,J.P. Losman pass complete to Eric Moulds for 10 yards (tackle by Stephen Cooper),0.430,1.860
3,2:54,1,10,BUF 44,10,38,J.P. Losman pass complete to Eric Moulds for 5 yards (tackle by Shaun Phillips),1.860,1.990
3,2:10,2,5,BUF 49,10,38,Willis McGahee up the middle for 1 yard (tackle by Luis Castillo and Jamal Williams),1.990,1.420
3,1:31,3,4,SDG 50,10,38,"J.P. Losman pass incomplete intended for Eric Moulds. Penalty on Eric Moulds: Offensive Pass Interfere, 10 yards (no play)",1.420,0.100
3,1:24,3,14,BUF 40,10,38,J.P. Losman pass incomplete intended for Ryan Neufeld is intercepted by Matt Wilhelm at SDG-49 and returned for 10 yards,0.100,-2.850
3,1:16,1,10,BUF 41,10,38,Drew Brees pass complete to Keenan McCardell for 15 yards (tackle by Jabari Greer),2.850,3.840
3,0:41,1,10,BUF 26,10,38,LaDainian Tomlinson up the middle for 1 yard (tackle by Rashad Baker),3.840,3.430
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,BUF 25,10,38,Drew Brees pass complete to Keenan McCardell for 5 yards (tackle by London Fletcher),3.430,3.400
4,14:21,3,4,BUF 20,10,38,Drew Brees pass incomplete intended for Keenan McCardell,3.400,2.200
4,14:18,4,4,BUF 20,10,41,Nate Kaeding 38 yard field goal good,2.200,3.000
4,,,,SDG 30,10,41,"Nate Kaeding kicks off 63 yards, returned by Roscoe Parrish for 41 yards (tackle by Hanik Milligan)",0.000,2.130
4,14:06,1,10,BUF 48,10,41,Willis McGahee up the middle for 1 yard (tackle by Shawne Merriman),2.130,1.720
4,13:30,2,9,BUF 49,10,41,J.P. Losman pass incomplete intended for Eric Moulds (defended by Donnie Edwards),1.720,1.020
4,13:26,3,9,BUF 49,10,41,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.020,0.370
4,13:26,3,14,BUF 44,10,41,J.P. Losman pass complete to Lee Evans for 42 yards (tackle by Clinton Hart). Penalty on Clinton Hart: Defensive Pass Interfere (Declined),0.370,4.650
4,13:02,1,10,SDG 14,10,41,J.P. Losman pass incomplete intended for Lee Evans (defended by Jamal Williams),4.650,4.000
4,12:57,2,10,SDG 14,10,41,J.P. Losman sacked by Donnie Edwards for -10 yards,4.000,2.080
4,12:27,,,,10,41,Timeout #1 by Buffalo Bills,0.000,2.080
4,12:27,3,20,SDG 24,10,41,"J.P. Losman pass complete to Eric Moulds for 14 yards (tackle by Quentin Jammer). Penalty on Jason Peters: Offensive Holding, 10 yards (no play)",2.080,0.760
4,12:01,3,30,SDG 34,10,41,J.P. Losman pass complete to Eric Moulds for 7 yards (tackle by Jamar Fletcher),0.760,1.670
4,11:13,4,23,SDG 27,10,41,J.P. Losman sacked by Shawne Merriman for -8 yards,1.670,-1.330
4,11:09,1,10,SDG 36,10,41,Michael Turner left end for 9 yards (tackle by Lawyer Milloy),1.330,2.010
4,10:23,2,1,SDG 45,10,41,Andrew Pinnock up the middle for 4 yards (tackle by London Fletcher),2.010,2.190
4,9:40,1,10,SDG 49,10,41,Michael Turner right tackle for 2 yards (tackle by London Fletcher and Rashad Baker),2.190,1.920
4,8:52,2,8,BUF 49,10,41,Drew Brees pass complete to Reche Caldwell for -2 yards (tackle by Nate Clements),1.920,0.960
4,8:07,3,10,SDG 49,10,41,Drew Brees pass complete to Eric Parker for 18 yards (tackle by London Fletcher),0.960,3.380
4,7:20,1,10,BUF 33,10,41,Michael Turner up the middle for 6 yards (tackle by Lawyer Milloy and London Fletcher),3.380,3.650
4,6:34,2,4,BUF 27,10,41,Michael Turner left end for 7 yards (tackle by Lawyer Milloy and London Fletcher),3.650,4.240
4,5:48,1,10,BUF 20,10,41,Michael Turner left end for 7 yards (tackle by Lawyer Milloy),4.240,4.830
4,5:03,2,3,BUF 13,10,41,Michael Turner left tackle for 5 yards (tackle by Angelo Crowell and Chris Kelsay),4.830,5.370
4,4:13,1,8,BUF 8,10,47,"Michael Turner up the middle for 8 yards, touchdown",5.370,7.000
4,,,,BUF 2,10,48,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,10,48,"Nate Kaeding kicks off 64 yards, returned by Roscoe Parrish for 45 yards (tackle by Shaun Phillips)",0.000,2.320
4,3:55,1,10,SDG 49,10,48,"J.P. Losman sacked by Shaun Phillips for -6 yards. J.P. Losman fumbles (forced by Shaun Phillips), recovered by J.P. Losman at BUF-45",2.320,0.970
4,3:19,2,16,BUF 45,10,48,J.P. Losman pass complete to Roscoe Parrish for 7 yards (tackle by Drayton Florence),0.970,1.220
4,2:38,3,9,SDG 48,10,48,J.P. Losman pass complete to Shaud Williams for 3 yards (tackle by Matt Wilhelm and Jamar Fletcher),1.220,0.270
4,2:00,4,6,SDG 45,10,48,"Penalty on Bennie Anderson: False Start, 5 yards (no play)",0.270,-0.060
4,2:00,4,11,SDG 50,10,48,J.P. Losman pass complete to Lee Evans for 12 yards (tackle by Drayton Florence),-0.060,3.050
4,1:54,1,10,SDG 38,10,48,J.P. Losman pass complete to Sam Aiken for 15 yards (tackle by Matt Wilhelm),3.050,4.040
4,1:21,1,10,SDG 23,10,48,J.P. Losman pass complete to Lee Evans for 6 yards (tackle by Drayton Florence),4.040,4.380
4,1:16,2,4,SDG 17,10,48,J.P. Losman pass complete to Tim Euhus for 9 yards (tackle by Matt Wilhelm and Quentin Jammer),4.380,5.370
4,0:55,,,,10,48,Timeout #2 by Buffalo Bills,0.000,5.370
4,0:55,1,8,SDG 8,10,48,J.P. Losman pass complete to Shaud Williams for -1 yards (tackle by Jamar Fletcher),5.370,4.380
4,0:25,2,9,SDG 9,10,48,J.P. Losman sacked by Stephen Cooper for -1 yards,4.380,3.130
4,0:14,,,,10,48,Timeout #3 by Buffalo Bills,0.000,3.130
4,0:14,3,10,SDG 10,10,48,J.P. Losman pass incomplete intended for Lee Evans,3.130,2.760
4,0:10,4,10,SDG 10,10,48,J.P. Losman pass incomplete intended for Lee Evans (defended by Terrence Kiel),2.760,0.380
4,0:05,1,10,SDG 10,10,48,Philip Rivers kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
