Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
2,13:02,4,10,CIN 22,3,10,"Kevin Huber punts 47 yards. Penalty on Chris Owens: Offensive Holding, 10 yards",-1.900,-0.340
2,12:58,1,10,ATL 21,3,10,Michael Turner for 8 yards (tackle by Adam Jones),0.340,0.880
2,12:41,2,2,ATL 29,3,10,Matt Ryan pass complete deep middle to Roddy White for 19 yards (tackle by Leon Hall),0.880,2.130
2,12:06,1,10,ATL 48,3,10,Matt Ryan pass complete short left to Roddy White for 8 yards (tackle by Leon Hall),2.130,2.660
2,11:52,2,2,CIN 44,3,10,Jason Snelling middle for 1 yard (tackle by Domata Peko),2.660,2.080
2,11:13,3,1,CIN 43,3,16,"Matt Ryan pass complete deep left to Roddy White for 43 yards, touchdown",2.080,7.000
2,11:13,,,CIN 2,3,17,Matt Bryant kicks extra point good,0.000,0.000
2,11:13,,,ATL 30,3,17,"Michael Koenen kicks off 73 yards, returned by Adam Jones for 45 yards (tackle by Michael Koenen). Penalty on Daniel Coats: Offensive Holding, 7 yards",0.000,-0.380
2,10:59,1,10,CIN 7,3,17,Cedric Benson left end for -1 yards (tackle by Vance Walker),-0.380,-0.850
2,10:32,2,11,CIN 6,3,17,Cedric Benson left tackle for 7 yards (tackle by William Moore),-0.850,-0.720
2,9:52,3,4,CIN 13,3,17,Carson Palmer pass complete short left to Terrell Owens for 15 yards (tackle by Erik Coleman),-0.720,0.810
2,9:26,1,10,CIN 28,3,17,Carson Palmer pass complete short left to Terrell Owens for 11 yards (tackle by Chris Owens),0.810,1.530
2,9:05,1,10,CIN 39,3,17,Cedric Benson left end for 6 yards (tackle by Curtis Lofton),1.530,1.800
2,8:23,2,4,CIN 45,3,17,Cedric Benson left tackle for 9 yards (tackle by Chris Owens and Brian Williams),1.800,2.520
2,7:59,1,10,ATL 46,3,17,Carson Palmer pass incomplete deep right intended for Chad Johnson,2.520,1.980
2,7:54,2,10,ATL 46,3,17,"Penalty on Andre Smith: False Start, 5 yards (no play)",1.980,1.300
2,7:54,2,15,CIN 49,3,17,Carson Palmer pass complete short left to Terrell Owens for 7 yards (tackle by Stephen Nicholas and Chris Owens),1.300,1.550
2,7:13,2,15,CIN 49,3,17,Timeout #1 by Atlanta Falcons,1.300,1.550
2,7:13,3,8,ATL 44,3,17,"Penalty on CIN: Offensive 12 On-field, 5 yards (no play)",1.550,0.890
2,7:13,3,13,ATL 49,3,17,Carson Palmer sacked by Brian Williams for -9 yards,0.890,-0.590
2,6:43,4,22,CIN 42,3,17,"Kevin Huber punts 41 yards, fair catch by Eric Weems",-0.590,0.060
2,6:36,1,10,ATL 17,3,17,Michael Turner left end for 1 yard (tackle by Keith Rivers and Domata Peko),-0.060,-0.420
2,5:59,2,9,ATL 18,3,17,Michael Turner middle for 36 yards (tackle by Keith Rivers and Adam Jones),-0.420,2.520
2,5:09,1,10,CIN 46,3,17,Matt Ryan pass incomplete deep left intended for Michael Palmer,2.520,1.980
2,5:03,2,10,CIN 46,3,17,Matt Ryan pass complete short middle to Jason Snelling for 9 yards (tackle by Dhani Jones),1.980,2.480
2,4:25,3,1,CIN 37,3,17,Gartrell Johnson right end for 23 yards (tackle by Nedu Ndukwe),2.480,4.650
2,3:56,1,10,CIN 14,3,17,Jason Snelling right guard for 1 yard (tackle by Robert Geathers and Domata Peko),4.650,4.160
2,3:22,2,9,CIN 13,3,17,Matt Ryan pass complete short right to Jason Snelling for no gain,4.160,3.260
2,2:28,3,9,CIN 13,3,17,Matt Ryan pass complete short right to Michael Jenkins for 8 yards (tackle by Brandon Johnson),3.260,3.030
2,2:00,4,1,CIN 5,3,17,Michael Turner right end for 1 yard (tackle by Dhani Jones),3.030,6.280
2,1:13,1,4,CIN 4,3,17,Michael Turner left guard for 2 yards (tackle by Keith Rivers and Domata Peko),6.280,5.720
2,1:09,1,4,CIN 4,3,17,Timeout #1 by Cincinnati Bengals,6.280,5.720
2,1:09,2,2,CIN 2,3,23,"Michael Turner right tackle for 2 yards, touchdown",5.720,7.000
2,1:09,,,CIN 2,3,24,Matt Bryant kicks extra point good,0.000,0.000
2,1:09,,,ATL 30,3,24,"Michael Koenen kicks off 67 yards, returned by Bernard Scott for 21 yards (tackle by Brent Grimes)",0.000,0.540
2,0:59,1,10,CIN 24,3,24,Carson Palmer pass complete short left to Bernard Scott for 6 yards (tackle by Curtis Lofton),0.540,0.810
2,0:38,2,4,CIN 30,3,24,Carson Palmer pass complete short left to Jermaine Gresham for 5 yards (tackle by Stephen Nicholas),0.810,1.270
2,0:32,1,10,CIN 35,3,24,Carson Palmer pass complete short right to Jordan Shipley for 9 yards (tackle by Brent Grimes),1.270,1.940
2,0:22,1,10,CIN 35,3,24,Timeout #2 by Cincinnati Bengals,1.270,1.940
2,0:22,2,1,CIN 44,3,24,Carson Palmer pass complete short right to Chad Johnson for 9 yards (tackle by Brent Grimes),1.940,2.460
2,0:17,1,10,ATL 47,3,24,Carson Palmer pass incomplete deep right intended for Chad Johnson,2.460,1.910
2,0:13,2,10,ATL 47,3,24,Carson Palmer pass incomplete short right intended for Chad Johnson,1.910,1.220
2,0:09,3,10,ATL 47,3,24,Carson Palmer pass complete short left to Jordan Shipley for 12 yards (tackle by Brian Williams),1.220,3.250
2,0:02,3,10,ATL 47,3,24,Timeout #3 by Cincinnati Bengals,1.220,1.220
2,0:02,3,10,ATL 47,3,24,Timeout #2 by Atlanta Falcons,1.220,3.250
2,0:02,1,10,ATL 35,3,24,Mike Nugent 53 yard field goal no good,3.250,1.730
Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,3,24,"Michael Koenen kicks off 73 yards, returned by Adam Jones for 29 yards (tackle by Spencer Adkins)",0.000,0.670
3,14:55,1,10,CIN 26,3,24,Carson Palmer pass complete short left to Chad Johnson for 10 yards,0.670,1.330
3,14:38,1,10,CIN 36,3,24,Cedric Benson left end for 4 yards (tackle by Erik Coleman),1.330,1.330
3,14:07,2,6,CIN 40,3,24,Carson Palmer pass complete short left to Chad Johnson for 7 yards (tackle by William Moore),1.330,2.060
3,13:32,1,10,CIN 47,3,24,Carson Palmer pass complete short left to Chad Johnson for 9 yards (tackle by Chris Owens and Erik Coleman),2.060,2.730
3,13:00,2,1,ATL 44,3,24,Carson Palmer pass complete short left to Cedric Benson for 6 yards (tackle by Curtis Lofton),2.730,3.050
3,12:35,1,10,ATL 38,3,24,Cedric Benson left tackle for 1 yard (tackle by Vance Walker),3.050,2.640
3,11:53,2,9,ATL 37,3,24,Carson Palmer pass complete short left to Chad Johnson for 14 yards (tackle by Chris Owens),2.640,4.040
3,11:11,1,10,ATL 23,3,24,Carson Palmer pass incomplete short middle intended for Jermaine Gresham (defended by John Abraham),4.040,3.500
3,11:06,2,10,ATL 23,3,24,Cedric Benson left end for no gain (tackle by Vance Walker),3.500,2.810
3,10:23,3,10,ATL 23,3,24,Carson Palmer pass complete short middle to Jordan Shipley for 8 yards (tackle by Erik Coleman),2.810,2.570
3,9:38,4,2,ATL 15,6,24,Mike Nugent 33 yard field goal good,2.570,3.000
3,9:38,,,CIN 30,6,24,"Mike Nugent kicks off 74 yards, returned by Eric Weems for 22 yards (tackle by Brandon Ghee)",0.000,0.040
3,9:27,1,10,ATL 18,6,24,Matt Ryan pass complete short right to Tony Gonzalez for 5 yards (tackle by Keith Rivers),0.040,0.280
3,8:53,2,5,ATL 23,6,24,Michael Turner right guard for 15 yards (tackle by Keith Rivers),0.280,1.470
3,8:14,1,10,ATL 38,6,24,Michael Turner left end for no gain (tackle by Nedu Ndukwe),1.470,0.920
3,7:37,2,10,ATL 38,6,24,Matt Ryan pass complete short left to Jason Snelling for 4 yards (tackle by Nedu Ndukwe),0.920,0.760
3,7:10,3,6,ATL 42,6,24,Matt Ryan pass incomplete short left intended for Tony Gonzalez,0.760,-0.590
3,7:06,4,6,ATL 42,6,24,"Michael Koenen punts 51 yards, returned by Adam Jones for 5 yards (tackle by Eric Weems)",-0.590,0.350
3,6:57,1,10,CIN 12,6,24,Carson Palmer pass complete short right to Bernard Scott for 2 yards (tackle by Mike Peterson),-0.350,-0.610
3,6:22,2,8,CIN 14,6,24,Carson Palmer pass complete deep right to Chad Johnson for 18 yards (tackle by Brent Grimes),-0.610,1.070
3,5:39,1,10,CIN 32,6,24,Carson Palmer pass complete deep middle to Terrell Owens for 16 yards (tackle by Chris Owens),1.070,2.130
3,5:08,1,10,CIN 48,6,24,Carson Palmer pass complete short left to Terrell Owens for 8 yards (tackle by Chris Owens and Chauncey Davis),2.130,2.660
3,4:42,2,2,ATL 44,6,24,Carson Palmer pass complete deep middle to Jordan Shipley for 30 yards (tackle by Erik Coleman),2.660,4.650
3,4:38,1,10,ATL 14,6,24,"Penalty on Andre Smith: False Start, 5 yards (no play)",4.650,4.260
3,3:47,1,15,ATL 19,12,24,"Carson Palmer pass complete short left to Terrell Owens for 19 yards, touchdown",4.260,7.000
3,3:47,,,ATL 2,13,24,Mike Nugent kicks extra point good,0.000,0.000
3,3:47,,,CIN 30,13,24,"Mike Nugent kicks off 65 yards, returned by Eric Weems for 26 yards (tackle by Dan Skuta)",0.000,1.000
3,3:35,1,10,ATL 31,13,24,Michael Turner left tackle for 2 yards (tackle by Chris Crocker),1.000,0.730
3,3:09,2,8,ATL 33,13,24,Matt Ryan pass incomplete deep left intended for Michael Jenkins,0.730,0.040
3,3:05,3,8,ATL 33,13,24,Matt Ryan pass incomplete deep left intended for Michael Jenkins is intercepted by Leon Hall at CIN-38,0.040,-1.470
3,2:57,1,10,CIN 38,13,24,Cedric Benson left end for no gain (tackle by Kroy Biermann),1.470,0.920
3,2:26,2,10,CIN 38,13,24,Cedric Benson left end for -2 yards (tackle by Vance Walker),0.920,-0.030
3,1:49,3,12,CIN 36,19,24,"Carson Palmer pass complete short right to Jordan Shipley for 64 yards, touchdown",-0.030,7.000
3,1:49,,,,19,24,"Two Point Attempt: Carson Palmer pass incomplete intended for Chad Johnson, conversion fails",1.000,-1.000
3,1:49,,,CIN 30,19,24,"Mike Nugent kicks off 71 yards, returned by Eric Weems for 55 yards (tackle by Brandon Ghee)",0.000,2.520
3,1:28,1,10,CIN 46,25,24,"Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Adam Jones). Roddy White fumbles (forced by Adam Jones), recovered by Adam Jones at CIN-41 and returned for 59 yards, touchdown",2.520,-7.000
,,,,,,,"ATL challenged the fumble ruling, and the play was upheld.",,
3,1:16,,,,25,24,"Two Point Attempt: Carson Palmer pass incomplete intended for Chad Johnson, conversion fails",1.000,-1.000
3,1:16,,,CIN 30,25,24,"Mike Nugent kicks off 72 yards, returned by Eric Weems for 28 yards (tackle by Dan Skuta)",0.000,0.670
3,1:09,1,10,ATL 26,25,24,Michael Turner left guard for 4 yards (tackle by Robert Geathers),0.670,0.670
3,0:34,2,6,ATL 30,25,24,Matt Ryan pass complete short right to Roddy White for 13 yards (tackle by Adam Jones),0.670,1.800
Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 43,25,24,Matt Ryan pass incomplete short right intended for Michael Turner,1.800,1.250
4,14:53,2,10,ATL 43,25,24,Matt Ryan pass complete short middle to Michael Turner for 19 yards (tackle by Nedu Ndukwe),1.250,3.050
4,14:17,1,10,CIN 38,25,24,Matt Ryan for 5 yards (tackle by Chris Crocker),3.050,3.180
4,13:49,2,5,CIN 33,25,24,Matt Ryan pass incomplete deep left intended for Roddy White,3.180,2.480
4,13:43,3,5,CIN 33,25,24,Matt Ryan pass complete deep left to Tony Gonzalez for 22 yards (tackle by Nedu Ndukwe),2.480,4.840
4,13:09,3,5,CIN 33,25,24,Timeout #2 by Atlanta Falcons,2.480,4.840
4,13:09,1,10,CIN 11,25,30,"Matt Ryan pass complete short right to Roddy White for 11 yards, touchdown",4.840,7.000
4,13:09,,,,25,32,"Two Point Attempt: Matt Ryan pass complete to Roddy White, conversion succeeds",1.000,1.000
4,13:09,,,ATL 30,25,32,"Michael Koenen kicks off 70 yards, returned by Bernard Scott for 25 yards (tackle by Gartrell Johnson)",0.000,0.610
4,12:56,1,10,CIN 25,25,32,Carson Palmer pass complete short middle to Terrell Owens for no gain,0.610,0.060
4,12:21,2,10,CIN 25,25,32,Cedric Benson left tackle for 4 yards (tackle by Curtis Lofton and Brian Williams),0.060,-0.100
4,11:39,3,6,CIN 29,25,32,Carson Palmer pass complete short right to Jordan Shipley for 8 yards (tackle by Brian Williams),-0.100,1.400
4,11:05,1,10,CIN 37,25,32,Cedric Benson right tackle for 7 yards (tackle by Brian Williams and William Moore),1.400,1.800
4,10:32,2,3,CIN 44,25,32,Carson Palmer pass complete short right to Chad Johnson for 17 yards (tackle by Erik Coleman and Curtis Lofton),1.800,2.980
4,9:56,1,10,ATL 39,25,32,Carson Palmer pass incomplete deep left intended for Terrell Owens,2.980,2.440
4,9:46,2,10,ATL 39,25,32,"Cedric Benson left end for -1 yards (tackle by Curtis Lofton). Cedric Benson fumbles (forced by Curtis Lofton), recovered by Brian Williams at ATL-40 and returned for 12 yards (tackle by Jordan Shipley)",2.440,-2.390
4,9:37,1,10,CIN 48,25,32,Michael Turner right end for 5 yards (tackle by Robert Geathers),2.390,2.520
4,8:59,2,5,CIN 43,25,32,Michael Turner right tackle for 2 yards (tackle by Domata Peko),2.520,2.080
4,8:28,3,3,CIN 41,25,32,Matt Ryan pass complete short left to Michael Jenkins for 11 yards (tackle by Reggie Nelson),2.080,3.580
4,7:48,1,10,CIN 30,25,32,Matt Ryan pass incomplete short right intended for Roddy White,3.580,3.030
4,7:39,2,10,CIN 30,25,32,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Morgan Trent),3.030,3.530
4,7:10,3,1,CIN 21,25,32,Matt Ryan pass complete short left to Roddy White for 6 yards,3.530,4.580
4,6:40,1,10,CIN 15,25,32,Jason Snelling right end for 4 yards (tackle by Carlos Dunlap),4.580,4.640
4,5:54,2,6,CIN 11,25,32,Matt Ryan pass complete short right to Brian Finneran for 5 yards (tackle by Morgan Trent),4.640,4.900
4,5:23,3,1,CIN 6,25,32,Michael Turner middle for 3 yards (tackle by Dhani Jones),4.900,6.510
4,4:35,1,3,CIN 3,25,38,"Michael Turner right end for 3 yards, touchdown",6.510,7.000
4,4:35,,,CIN 2,25,39,Matt Bryant kicks extra point good,0.000,0.000
4,4:35,,,ATL 30,25,39,"Michael Koenen kicks off 74 yards, returned by Bernard Scott for 18 yards (tackle by Corey Peters)",0.000,-0.280
4,4:28,1,10,CIN 14,25,39,Carson Palmer pass complete short left to Jermaine Gresham for 6 yards (tackle by Chris Owens and Stephen Nicholas),-0.280,0.150
4,3:48,2,4,CIN 20,25,39,Carson Palmer pass complete short left to Jermaine Gresham for 6 yards (tackle by Chris Owens),0.150,0.670
4,3:42,1,10,CIN 26,25,39,Carson Palmer pass complete short middle to Terrell Owens for 7 yards (tackle by Jonathan Babineaux),0.670,1.070
4,3:21,2,3,CIN 33,25,39,Carson Palmer pass complete short left to Bernard Scott for 5 yards (tackle by Chris Owens),1.070,1.470
4,2:49,1,10,CIN 38,25,39,Carson Palmer pass incomplete deep left intended for Chad Johnson,1.470,0.920
4,2:45,2,10,CIN 38,25,39,"Carson Palmer pass complete short left to Jermaine Gresham for 9 yards (tackle by Curtis Lofton). Jermaine Gresham fumbles (forced by Curtis Lofton), recovered by Chad Johnson at CIN-49 and returned for 6 yards",0.920,2.590
4,2:07,1,10,ATL 45,25,39,Bernard Scott left end for 14 yards (tackle by Stephen Nicholas),2.590,3.510
4,2:00,1,10,ATL 31,25,39,Carson Palmer pass complete short left to Bernard Scott for 5 yards (tackle by Chris Owens),3.510,3.640
4,1:54,2,5,ATL 26,25,39,Carson Palmer sacked by John Abraham for -7 yards,3.640,2.020
4,1:47,2,5,ATL 26,25,39,Timeout #1 by Cincinnati Bengals,3.640,2.020
4,1:47,3,12,ATL 33,25,39,Carson Palmer pass complete short left to Bernard Scott for 25 yards (tackle by Erik Coleman),2.020,5.370
4,1:39,1,8,ATL 8,31,39,"Carson Palmer pass complete short left to Chad Johnson for 8 yards, touchdown",5.370,7.000
4,1:39,,,ATL 2,32,39,Mike Nugent kicks extra point good,0.000,0.000
4,1:33,1,8,ATL 8,32,39,Timeout #3 by Atlanta Falcons,5.370,0.000
4,1:39,,,CIN 30,32,39,"Mike Nugent kicks onside 11 yards, recovered by Brian Finneran. Penalty on Michael Johnson: Offside on Free Kick, 5 yards",0.000,-3.180
4,1:32,1,10,CIN 36,32,39,Michael Turner left end for -5 yards (tackle by Tank Johnson),3.180,1.960
4,1:28,1,10,CIN 36,32,39,Timeout #2 by Cincinnati Bengals,3.180,1.960
4,1:28,2,15,CIN 41,32,39,Michael Turner right guard for 3 yards (tackle by Dhani Jones),1.960,1.690
4,1:22,2,15,CIN 41,32,39,Timeout #3 by Cincinnati Bengals,1.960,1.690
4,1:22,3,12,CIN 38,32,39,Michael Turner left guard for 2 yards (tackle by Dhani Jones),1.690,0.880
4,0:35,4,10,CIN 36,32,39,Penalty on Michael Koenen: Delay of Game (Declined),0.880,0.880
4,0:35,4,10,CIN 36,32,39,"Michael Koenen punts 32 yards, fair catch by Quan Cosby",0.880,0.380
4,0:28,1,10,CIN 4,32,39,Carson Palmer pass incomplete deep right intended for Chad Johnson,-0.380,-0.780
4,0:23,2,10,CIN 4,32,39,Carson Palmer pass complete short left to Andre Caldwell for 10 yards (tackle by Stephen Nicholas),-0.780,-0.280
4,0:05,1,10,CIN 14,32,39,Carson Palmer spiked the ball,-0.280,-0.750
4,0:04,2,10,CIN 14,32,39,Carson Palmer sacked by John Abraham for -11 yards,-0.750,-2.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
