Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
2,6:09,3,12,JAX 2,3,10,Gardner Minshew pass incomplete short right intended for Chris Conley (defended by Trayvon Mullen),-1.650,-2.490
2,6:06,4,12,JAX 2,3,10,"Logan Cooke punts 50 yards, returned by Jalen Richard for 2 yards (tackle by Cody Davis)",-2.490,-2.260
2,5:55,1,10,OAK 50,3,10,Derek Carr pass complete short right to Alec Ingold for 1 yard (tackle by Leon Jacobs),2.260,1.850
2,5:27,2,9,JAX 49,3,10,Derek Carr pass complete short left to Josh Jacobs for 14 yards (tackle by Donald Payne),1.850,3.250
2,5:04,1,10,JAX 35,3,10,Josh Jacobs right tackle for 3 yards (tackle by Austin Calitro),3.250,3.110
2,4:23,2,7,JAX 32,3,10,Derek Carr pass incomplete short left intended for Josh Jacobs (defended by Donald Payne),3.110,2.410
2,4:14,3,7,JAX 32,3,10,"Derek Carr pass incomplete short right intended for Tyrell Williams. Penalty on Tre Herndon: Illegal Contact, 5 yards (no play)",2.410,3.780
2,4:09,1,10,JAX 27,3,10,"Josh Jacobs up the middle for 5 yards (tackle by Abry Jones). Penalty on Akeem Spence: Defensive Holding, 5 yards",3.780,4.440
2,3:48,1,10,JAX 17,3,10,Josh Jacobs left tackle for 5 yards (tackle by Donald Payne),4.440,4.690
2,3:10,2,5,JAX 12,3,10,DeAndre Washington up the middle for -3 yards (tackle by Yannick Ngakoue),4.690,3.340
2,2:27,3,8,JAX 15,3,10,Derek Carr pass incomplete short left intended for Jalen Richard,3.340,2.440
2,2:24,4,8,JAX 15,3,13,Daniel Carlson 34 yard field goal good,2.440,3.000
2,2:21,,,OAK 35,3,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,2:21,1,10,JAX 25,3,13,Gardner Minshew pass complete short middle to Dede Westbrook for 11 yards (tackle by William Compton),0.610,1.330
2,2:00,1,10,JAX 36,3,13,Gardner Minshew pass complete short right to Leonard Fournette for 3 yards (tackle by Trayvon Mullen),1.330,1.200
2,1:36,2,7,JAX 39,3,13,Gardner Minshew pass incomplete short left,1.200,0.500
2,1:29,3,7,JAX 39,3,13,Gardner Minshew pass incomplete short right intended for Leonard Fournette,0.500,-0.780
2,1:23,4,7,JAX 39,3,13,"Logan Cooke punts 39 yards, fair catch by Jalen Richard at OAK-22",-0.780,-0.410
2,1:17,1,10,OAK 22,3,13,Jalen Richard up the middle for 11 yards (tackle by Marcus Gilchrist),0.410,1.140
2,0:57,1,10,OAK 33,3,13,Derek Carr pass complete short left to Jalen Richard for 21 yards (tackle by Donald Payne),1.140,2.520
2,0:31,1,10,JAX 46,3,13,Derek Carr pass incomplete short right intended for Darren Waller,2.520,1.980
2,0:26,2,10,JAX 46,3,13,Derek Carr pass incomplete short left intended for Keelan Doss,1.980,1.290
2,0:20,3,10,JAX 46,3,13,Derek Carr pass complete short middle to Darren Waller for 20 yards (tackle by Ronnie Harrison),1.290,3.840
2,0:15,1,10,JAX 26,3,13,Derek Carr pass complete short middle to Keelan Doss for 17 yards (tackle by D.J. Hayden),3.840,5.140
2,0:08,,,,,,Timeout #2 by Oakland Raiders,,
2,0:08,1,9,JAX 9,3,13,Derek Carr pass incomplete short left,5.140,4.380
2,0:02,2,9,JAX 9,3,16,Daniel Carlson 27 yard field goal good,4.380,3.000
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,3,16,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,3,16,Dede Westbrook left end for 7 yards (tackle by Nevin Lawson and Tahir Whitehead),0.610,1.010
3,14:23,2,3,JAX 32,3,16,Leonard Fournette up the middle for -1 yards (tackle by Johnathan Hankins),1.010,0.170
3,13:43,3,4,JAX 31,3,16,Gardner Minshew pass incomplete deep middle intended for Keelan Cole,0.170,-1.310
3,13:38,4,4,JAX 31,3,16,Logan Cooke punts 66 yards downed by Brandon Watson,-1.310,0.380
3,13:28,1,10,OAK 3,3,16,Josh Jacobs left tackle for no gain (tackle by Ronnie Harrison and Leon Jacobs),-0.380,-0.780
3,12:43,2,10,OAK 3,3,16,"Derek Carr pass complete short left to Alec Ingold for 14 yards (tackle by Donald Payne). Penalty on Calais Campbell: Roughing the Passer, 15 yards",-0.780,1.070
3,12:10,1,10,OAK 32,3,16,DeAndre Washington left guard for 4 yards (tackle by Austin Calitro and Donald Payne),1.070,1.070
3,11:33,2,6,OAK 36,3,16,Derek Carr pass complete short left to Darren Waller for 6 yards (tackle by A.J. Bouye),1.070,1.730
3,10:47,,,,,,Timeout #1 by Oakland Raiders,,
3,10:47,1,10,OAK 42,3,16,Josh Jacobs right tackle for no gain (tackle by Austin Calitro and Calais Campbell),1.730,1.190
3,10:15,2,10,OAK 42,3,16,Derek Carr pass complete short middle to Derek Carrier for 5 yards (tackle by Ronnie Harrison),1.190,1.160
3,9:39,3,5,OAK 47,3,16,Derek Carr pass complete short middle to Jalen Richard for 4 yards (tackle by Dawuane Smoot and D.J. Hayden),1.160,0.000
3,9:01,4,1,JAX 49,3,16,A.J. Cole punts 33 yards downed by Rod Smith,0.000,0.140
3,8:49,1,10,JAX 16,3,16,Gardner Minshew pass complete short left to Keelan Cole for 1 yard (tackle by William Compton and Nevin Lawson),-0.140,-0.510
3,8:11,2,9,JAX 17,3,16,"Leonard Fournette up the middle for 17 yards (tackle by Trayvon Mullen). Penalty on Chris Conley: Illegal Block Above the Waist, 10 yards",-0.510,0.550
3,7:51,2,2,JAX 24,3,16,Leonard Fournette left end for 11 yards (tackle by Nevin Lawson),0.550,1.270
3,7:27,1,10,JAX 35,3,16,Gardner Minshew pass complete deep left to Keelan Cole for 20 yards (tackle by Nevin Lawson),1.270,2.590
3,6:45,1,10,OAK 45,3,16,Leonard Fournette up the middle for 5 yards (tackle by Tahir Whitehead and Johnathan Hankins),2.590,2.720
3,6:11,2,5,OAK 40,3,16,Gardner Minshew right end for 3 yards (tackle by Dallin Leavitt),2.720,2.410
3,5:31,3,2,OAK 37,3,16,Leonard Fournette right tackle for 1 yard (tackle by Tahir Whitehead),2.410,0.890
3,4:43,4,1,OAK 36,3,16,"Penalty on OAK: Defensive Too Many Men on Field, 6 yards (no play)",0.890,3.580
3,4:30,1,10,OAK 30,3,16,Gardner Minshew up the middle for 2 yards (tackle by Josh Mauro),3.580,3.300
3,3:47,2,8,OAK 28,3,16,"Keelan Cole left end for no gain (tackle by Nevin Lawson). Penalty on Brandon Linder: Illegal Block Above the Waist, 9 yards (no play)",3.300,2.090
3,3:29,2,17,OAK 37,3,16,Gardner Minshew pass complete short right to Leonard Fournette for 5 yards (tackle by Trayvon Mullen),2.090,2.080
3,2:44,3,12,OAK 32,3,16,Gardner Minshew pass complete short right to Chris Conley for 18 yards (tackle by Curtis Riley),2.080,4.650
3,1:56,1,10,OAK 14,3,16,Gardner Minshew pass incomplete short left intended for Chris Conley,4.650,4.000
3,1:52,2,10,OAK 14,3,16,Leonard Fournette up the middle for 1 yard (tackle by Nevin Lawson and Tahir Whitehead),4.000,3.260
3,1:07,3,9,OAK 13,3,16,Gardner Minshew sacked by Dion Jordan for -12 yards,3.260,1.800
3,0:32,4,21,OAK 25,6,16,Josh Lambo 43 yard field goal good,1.800,3.000
3,0:28,,,JAX 35,6,16,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,0:28,1,10,OAK 25,6,16,Josh Jacobs left guard for 5 yards (tackle by Taven Bryan),0.610,0.740
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,OAK 30,6,16,Derek Carr pass complete short left to Tyrell Williams for 5 yards (tackle by A.J. Bouye),0.740,1.270
4,14:16,1,10,OAK 35,6,16,Josh Jacobs left end for 1 yard (tackle by Donald Payne),1.270,0.860
4,13:45,2,9,OAK 36,6,16,"Penalty on Josh Allen: Neutral Zone Infraction, 5 yards (no play)",0.860,1.530
4,13:27,2,4,OAK 41,6,16,Derek Carr pass complete short right to Zay Jones for 5 yards (tackle by Tre Herndon),1.530,1.990
4,12:45,1,10,OAK 46,6,16,Derek Carr pass incomplete short middle,1.990,1.450
4,12:41,2,10,OAK 46,6,16,Derek Carr pass complete short right to DeAndre Washington for -3 yards (tackle by Yannick Ngakoue),1.450,0.370
4,11:50,3,13,OAK 43,6,16,Derek Carr sacked by Yannick Ngakoue for -8 yards,0.370,-1.040
4,11:21,4,21,OAK 35,6,16,"A.J. Cole punts 52 yards, returned by Dede Westbrook for 8 yards (tackle by Derek Carrier)",-1.040,-0.340
4,11:09,1,10,JAX 21,6,16,Gardner Minshew pass complete short right to Seth Devalve for 11 yards (tackle by Trayvon Mullen),0.340,1.070
4,10:32,1,10,JAX 32,6,16,Leonard Fournette left tackle for -1 yards (tackle by Nevin Lawson),1.070,0.390
4,9:46,2,11,JAX 31,6,16,Gardner Minshew pass complete short right to Dede Westbrook for 3 yards (tackle by Trayvon Mullen),0.390,0.100
4,9:00,3,8,JAX 34,6,16,"Gardner Minshew up the middle for 6 yards (tackle by Maxx Crosby). Penalty on Curtis Riley: Defensive Offside, 5 yards (no play)",0.100,0.760
4,8:38,3,3,JAX 39,6,16,Leonard Fournette up the middle for 2 yards (tackle by William Compton),0.760,-0.650
4,7:56,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,7:56,4,1,JAX 41,6,16,Leonard Fournette left tackle for 1 yard (tackle by Curtis Riley),-0.650,1.730
4,7:22,1,10,JAX 42,6,16,"Gardner Minshew pass incomplete deep right intended for Keelan Cole. Penalty on Trayvon Mullen: Defensive Pass Interference, 21 yards (no play)",1.730,3.120
4,7:17,1,10,OAK 37,6,16,Gardner Minshew pass incomplete short right intended for Dede Westbrook (defended by Trayvon Mullen),3.120,2.570
4,7:14,2,10,OAK 37,6,16,Gardner Minshew pass complete short middle to Seth Devalve for 12 yards (tackle by Dallin Leavitt),2.570,3.910
4,6:26,1,10,OAK 25,6,16,Gardner Minshew pass incomplete short left intended for Leonard Fournette (defended by Maurice Hurst),3.910,3.360
4,6:22,2,10,OAK 25,6,16,Gardner Minshew left end for 11 yards (tackle by Tahir Whitehead),3.360,4.650
4,5:51,1,10,OAK 14,6,16,Gardner Minshew pass complete short middle to Leonard Fournette for 8 yards (tackle by William Compton and Tahir Whitehead),4.650,5.470
4,5:20,2,2,OAK 6,12,16,"Gardner Minshew pass complete short middle to Chris Conley for 6 yards, touchdown",5.470,7.000
4,5:15,,,OAK 15,13,16,Josh Lambo kicks extra point good,0.000,0.000
4,5:15,,,JAX 35,13,16,"Logan Cooke kicks off 61 yards, returned by Jalen Richard for 26 yards",0.000,0.940
4,5:10,1,10,OAK 30,13,16,Josh Jacobs up the middle for 9 yards (tackle by Jarrod Wilson),0.940,1.610
4,4:24,2,1,OAK 39,13,16,Josh Jacobs up the middle for 4 yards (tackle by Donald Payne),1.610,1.800
4,3:45,1,10,OAK 43,13,16,Josh Jacobs up the middle for 4 yards (tackle by Austin Calitro),1.800,1.790
4,3:03,2,6,OAK 47,13,16,Josh Jacobs left end for 9 yards (tackle by Austin Calitro),1.790,2.650
4,2:18,1,10,JAX 44,13,16,Josh Jacobs up the middle for 1 yard (tackle by Calais Campbell),2.650,2.250
4,2:12,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,2:12,2,9,JAX 43,13,16,Derek Carr right end for 12 yards (tackle by Ronnie Harrison),2.250,3.510
4,2:05,1,10,JAX 31,13,16,"Penalty on OAK: Delay of Game, 5 yards (no play)",3.510,3.180
4,2:05,1,15,JAX 36,13,16,Josh Jacobs right guard for 3 yards (tackle by Austin Calitro),3.180,2.700
4,2:00,2,12,JAX 33,13,16,Josh Jacobs right guard for 1 yard (tackle by Leon Jacobs),2.700,2.150
4,1:55,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:55,,,,,,Timeout #2 by Oakland Raiders,,
4,1:55,3,11,JAX 32,13,16,Derek Carr pass incomplete short middle intended for Tyrell Williams,2.150,1.240
4,1:52,4,11,JAX 32,13,16,"Daniel Carlson yard field goal no good. Penalty on Parry Nickerson: Running Into the Kicker, 5 yards (no play)",1.240,1.700
4,1:48,4,6,JAX 27,13,16,Daniel Carlson 45 yard field goal no good,1.700,-1.270
4,1:44,1,10,JAX 35,13,16,Gardner Minshew pass complete short middle to C.J. Board for 8 yards (tackle by William Compton),1.270,1.800
4,1:22,2,2,JAX 43,13,16,Gardner Minshew up the middle for 8 yards (tackle by Benson Mayowa),1.800,2.320
4,1:01,1,10,OAK 49,13,16,Gardner Minshew pass complete short middle to Leonard Fournette for 11 yards (tackle by Trayvon Mullen),2.320,3.050
4,0:54,1,10,OAK 38,13,16,Gardner Minshew pass complete short middle to Chris Conley for 21 yards (tackle by Lamarcus Joyner),3.050,4.440
4,0:47,1,10,OAK 17,13,16,"Gardner Minshew pass incomplete deep left intended for Keelan Cole. Penalty on Dion Jordan: Roughing the Passer, 9 yards (no play)",4.440,5.370
4,0:43,1,8,OAK 8,13,16,Gardner Minshew pass complete short left to Leonard Fournette for 4 yards (tackle by Nevin Lawson and Curtis Riley),5.370,5.340
4,0:37,2,4,OAK 4,13,16,Gardner Minshew pass incomplete short middle intended for Chris Conley (defended by Trayvon Mullen),5.340,4.490
4,0:34,3,4,OAK 4,19,16,"Gardner Minshew pass complete short middle to Chris Conley for 4 yards, touchdown",4.490,7.000
4,0:31,,,OAK 15,20,16,Josh Lambo kicks extra point good,0.000,0.000
4,0:31,,,JAX 35,20,16,"Logan Cooke kicks off 59 yards, returned by Jalen Richard for 11 yards (tackle by Parry Nickerson)",0.000,-0.060
4,0:27,1,10,OAK 17,20,16,Derek Carr pass incomplete short right,-0.060,-0.580
4,0:18,2,10,OAK 17,20,16,"Derek Carr pass incomplete deep middle intended for Darren Waller. Penalty on Ronnie Harrison: Defensive Pass Interference, 33 yards (no play)",-0.580,2.260
4,0:13,1,10,OAK 50,20,16,Derek Carr pass complete short middle to Darren Waller for 10 yards (tackle by Donald Payne),2.260,2.920
4,0:09,,,,,,Timeout #3 by Oakland Raiders,,
4,0:09,1,10,JAX 40,20,16,Derek Carr pass incomplete deep middle (defended by Tre Herndon),2.920,2.370
4,0:02,2,10,JAX 40,20,16,Derek Carr pass incomplete deep right (defended by Ronnie Harrison),2.370,1.680
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
