Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
4,9:59,3,9,BAL 43,20,0,Andy Dalton pass incomplete deep left intended for Tyler Boyd,1.550,0.400
4,9:54,4,9,BAL 43,20,0,"Kevin Huber punts 35 yards, fair catch by Michael Campanaro",0.400,0.380
4,9:47,1,10,BAL 8,20,0,Terrance West right end for 4 yards (tackle by Kevin Minter),-0.380,-0.490
4,9:05,2,6,BAL 12,20,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",-0.490,-0.850
4,8:47,2,11,BAL 7,20,0,Terrance West left guard for 8 yards (tackle by Clayton Fejedelem),-0.850,-0.600
4,8:05,3,3,BAL 15,20,0,Javorius Allen left tackle for -2 yards (tackle by Carlos Dunlap and Nick Vigil),-0.600,-2.490
4,7:24,4,5,BAL 13,20,0,"Sam Koch punts 39 yards, out of bounds",-2.490,-2.130
4,7:16,1,10,CIN 48,20,0,Andy Dalton pass incomplete short middle intended for Giovani Bernard,2.130,1.580
4,7:13,2,10,CIN 48,20,0,"Andy Dalton pass incomplete short middle intended for Brandon LaFell. Penalty on Brandon Carr: Illegal Use of Hands, 5 yards (no play)",1.580,2.460
4,7:09,1,10,BAL 47,20,0,"Andy Dalton pass complete short right to Tyler Eifert for 7 yards (tackle by Terrell Suggs). Penalty on Jake Fisher: Offensive Holding, 10 yards (no play)",2.460,1.800
4,6:46,1,20,CIN 43,20,0,Andy Dalton pass complete short left to Giovani Bernard for 39 yards (tackle by Lardarius Webb),1.800,4.370
4,6:09,1,10,BAL 18,20,0,Andy Dalton pass incomplete deep left intended for A.J. Green,4.370,3.800
4,6:04,2,10,BAL 18,20,0,Andy Dalton sacked by Tony Jefferson for -1 yards,3.800,2.970
4,5:18,3,11,BAL 19,20,0,Andy Dalton pass complete short middle to Brandon LaFell for 6 yards (tackle by Tony Jefferson),2.970,2.620
4,4:43,4,5,BAL 13,20,0,Andy Dalton pass incomplete,2.620,0.280
4,4:33,1,10,BAL 14,20,0,Javorius Allen right guard for -1 yards (tackle by Chris Smith),-0.280,0.000
4,4:26,,,,,,Timeout #2 by Cincinnati Bengals,0.000,0.850
4,4:26,2,11,BAL 13,20,0,Javorius Allen left tackle for 2 yards (tackle by Kevin Minter). Penalty on Ryan Jensen: Offensive Holding (Declined),-0.850,-1.280
4,4:21,3,9,BAL 15,20,0,Javorius Allen left tackle for 8 yards (tackle by Nick Vigil),-1.280,0.000
4,4:16,,,,,,Timeout #3 by Cincinnati Bengals,0.000,1.830
4,4:16,4,1,BAL 23,20,0,"Sam Koch punts 36 yards, returned by Alex Erickson for 1 yard (tackle by Vince Mayle)",-1.830,-1.730
