Quarter,Time,Down,ToGo,Location,BUF,LVR,Detail,EPB,EPA
1,8:18,2,10,LVR 41,7,0,Derek Carr pass complete short left to Zay Jones for -1 yards (tackle by Jordan Poyer),1.120,0.300
1,7:46,3,11,LVR 40,7,0,Derek Carr pass complete deep middle to Zay Jones for 16 yards (tackle by Tremaine Edmunds),0.300,2.650
1,7:07,1,10,BUF 44,7,0,Josh Jacobs right end for -3 yards (tackle by Josh Norman),2.650,1.710
1,6:23,2,13,BUF 47,7,0,Derek Carr pass complete short right to Alec Ingold for 12 yards (tackle by Tre'Davious White),1.710,2.610
1,5:51,3,1,BUF 35,7,0,Alec Ingold right guard for -1 yards (tackle by Ed Oliver),2.610,0.890
1,5:08,4,2,BUF 36,7,3,Daniel Carlson 54 yard field goal good,0.890,3.000
1,5:02,,,LVR 35,7,3,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,5:02,1,10,BUF 25,7,3,"Devin Singletary right end for 7 yards (tackle by Trayvon Mullen). Penalty on Stefon Diggs: Offensive Holding, 10 yards",0.610,0.410
1,4:33,1,13,BUF 22,7,3,"Josh Allen pass complete short middle to Cole Beasley for 7 yards (tackle by Trayvon Mullen). Penalty on Johnathan Hankins: Roughing the Passer, 15 yards",0.410,1.860
1,4:04,1,10,BUF 44,7,3,Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Trayvon Mullen),1.860,2.520
1,3:33,1,10,LVR 46,7,3,Andre Roberts right end for -3 yards (tackle by Johnathan Abram),2.520,1.570
1,2:49,2,13,LVR 49,7,3,Josh Allen pass incomplete short left,1.570,0.890
1,2:41,3,13,LVR 49,7,3,Josh Allen pass complete short middle to Isaiah McKenzie for 18 yards (tackle by Nevin Lawson and Erik Harris),0.890,3.510
1,1:56,1,10,LVR 31,7,3,Josh Allen pass complete short left to Andre Roberts for 6 yards (tackle by Nevin Lawson),3.510,3.780
1,1:18,2,4,LVR 25,7,3,Devin Singletary left guard for 11 yards (tackle by Kendal Vickers and Johnathan Abram),3.780,4.650
1,0:45,1,10,LVR 14,7,3,Devin Singletary left tackle for 3 yards (tackle by Nevin Lawson),4.650,4.520
Quarter,Time,Down,ToGo,Location,BUF,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,LVR 11,7,3,Josh Allen pass incomplete short right,4.520,3.620
2,14:53,3,7,LVR 11,13,3,"Josh Allen pass complete short right to Cole Beasley for 11 yards, touchdown",3.620,7.000
2,14:48,,,LVR 15,14,3,Tyler Bass kicks extra point good,0.000,0.000
2,14:48,,,BUF 35,14,3,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,14:48,1,10,LVR 25,14,3,Josh Jacobs left end for 10 yards (tackle by Tre'Davious White),0.610,1.270
2,14:28,1,10,LVR 35,14,3,Derek Carr pass incomplete short middle intended for Zay Jones (defended by Tre'Davious White),1.270,0.720
2,14:24,2,10,LVR 35,14,3,Josh Jacobs left guard for 7 yards (tackle by Micah Hyde),0.720,0.960
2,13:42,3,3,LVR 42,14,3,Derek Carr pass complete short left to Darren Waller for 9 yards (tackle by Taron Johnson). Penalty on Jerry Hughes: Defensive Offside (Declined),0.960,2.320
2,13:16,1,10,BUF 49,14,3,"Derek Carr pass complete deep middle to Nelson Agholor for 49 yards. Penalty on Foster Moreau: Illegal Formation, 5 yards (no play)",2.320,1.990
2,13:08,1,15,LVR 46,14,3,Derek Carr pass complete short right to Zay Jones for 8 yards (tackle by Jordan Poyer and Tremaine Edmunds),1.990,2.190
2,12:28,2,7,BUF 46,14,3,Josh Jacobs right tackle for 1 yard (tackle by Tremaine Edmunds),2.190,1.620
2,11:51,,,,,,Timeout #1 by Las Vegas Raiders,,
2,11:51,3,6,BUF 45,14,3,Derek Carr pass complete short middle to Nelson Agholor for 14 yards (tackle by Taron Johnson),1.620,3.510
2,11:15,1,10,BUF 31,14,3,Derek Carr pass complete short middle to Nelson Agholor for 12 yards (tackle by Micah Hyde),3.510,4.310
2,10:32,1,10,BUF 19,14,3,Josh Jacobs right end for -2 yards (tackle by Jerry Hughes and Tremaine Edmunds),4.310,3.490
2,9:53,2,12,BUF 21,14,3,Derek Carr pass incomplete short right intended for Darren Waller,3.490,2.810
2,9:48,3,12,BUF 21,14,3,Derek Carr pass incomplete short middle intended for Jalen Richard (defended by Matt Milano),2.810,2.060
2,9:43,4,12,BUF 21,14,6,Daniel Carlson 39 yard field goal good,2.060,3.000
2,9:38,,,LVR 35,14,6,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,9:38,1,10,BUF 25,14,6,Josh Allen pass complete short right to Devin Singletary for 7 yards (tackle by Cory Littleton),0.610,1.010
2,8:53,2,3,BUF 32,14,6,"Devin Singletary right guard for 6 yards (tackle by Erik Harris and Trayvon Mullen). Penalty on Arden Key: Unnecessary Roughness, 15 yards",1.010,2.460
2,8:23,1,10,LVR 47,14,6,Devin Singletary left end for 4 yards (tackle by Nick Kwiatkoski),2.460,2.450
2,7:40,2,6,LVR 43,14,6,Josh Allen pass complete short left to John Brown for 9 yards (tackle by Nevin Lawson),2.450,3.310
2,7:08,1,10,LVR 34,14,6,Devin Singletary right tackle for 4 yards (tackle by Maliek Collins and Amik Robertson),3.310,3.310
2,6:31,2,6,LVR 30,14,6,Josh Allen pass complete short right to Devin Singletary for 1 yard (tackle by Cory Littleton),3.310,2.740
2,5:47,3,5,LVR 29,14,6,Josh Allen pass complete short middle to John Brown for 5 yards (tackle by Cory Littleton),2.740,3.970
2,5:07,1,10,LVR 24,14,6,Josh Allen pass incomplete short middle intended for T.J. Yeldon (defended by Arden Key),3.970,3.430
2,5:03,2,10,LVR 24,14,6,Josh Allen pass incomplete short left intended for Tyler Kroft,3.430,2.740
2,4:58,,,,,,Timeout #2 by Las Vegas Raiders,,
2,4:58,3,10,LVR 24,14,6,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Amik Robertson),2.740,2.500
2,4:17,4,2,LVR 16,17,6,Tyler Bass 34 yard field goal good,2.500,3.000
2,4:13,,,BUF 35,17,6,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,4:13,1,10,LVR 25,17,6,Derek Carr pass complete short left to Darren Waller for 22 yards (tackle by Tre'Davious White and Josh Norman),0.610,2.060
2,3:29,1,10,LVR 47,17,6,Josh Jacobs left guard for 1 yard (tackle by Matt Milano),2.060,1.650
2,2:45,2,9,LVR 48,17,6,Derek Carr pass complete short left to Hunter Renfrow for no gain (tackle by Micah Hyde),1.650,0.960
2,2:09,3,9,LVR 48,17,6,Derek Carr pass complete short left to Nelson Agholor for 11 yards (tackle by Tremaine Edmunds),0.960,2.850
2,2:00,1,10,BUF 41,17,6,Derek Carr pass complete short left to Darren Waller for 7 yards (tackle by Tre'Davious White and Micah Hyde),2.850,3.250
2,1:24,2,3,BUF 34,17,6,Derek Carr pass complete short right to Jason Witten for 15 yards (tackle by Jordan Poyer),3.250,4.310
2,0:48,1,10,BUF 19,17,6,Derek Carr pass incomplete short right intended for Jalen Richard (defended by Micah Hyde),4.310,3.750
2,0:45,2,10,BUF 19,17,6,Derek Carr pass complete short middle to Jalen Richard for 5 yards (tackle by Matt Milano),3.750,3.760
2,0:37,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:37,3,5,BUF 14,17,6,Derek Carr pass complete short middle to Darren Waller for 11 yards (tackle by Tremaine Edmunds),3.760,6.510
2,0:20,1,3,BUF 3,17,6,Derek Carr spiked the ball,6.510,5.530
2,0:19,,,,,,Timeout #1 by Buffalo Bills,,
2,0:19,2,3,BUF 3,17,12,"Derek Carr pass complete short right to Jason Witten for 3 yards, touchdown",5.530,7.000
2,0:13,,,BUF 15,17,13,Daniel Carlson kicks extra point good,0.000,0.000
2,0:13,,,LVR 35,17,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:13,1,10,BUF 25,17,13,Josh Allen kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,BUF,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,17,13,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,17,13,Josh Jacobs left guard for -2 yards (tackle by Ed Oliver),0.610,-0.210
3,14:17,2,12,LVR 23,17,13,Derek Carr pass complete short middle to Josh Jacobs for 10 yards (tackle by A.J. Klein),-0.210,0.430
3,13:36,3,2,LVR 33,17,13,Theo Riddick right guard for 11 yards (tackle by Matt Milano),0.430,1.860
3,13:11,1,10,LVR 44,17,13,"Derek Carr pass complete short left to Nelson Agholor for 8 yards (tackle by Josh Norman). Penalty on Kolton Miller: Ineligible Downfield Pass, 5 yards (no play)",1.860,1.530
3,12:46,1,15,LVR 39,17,13,Josh Jacobs left end for 16 yards (tackle by Micah Hyde),1.530,2.590
3,12:15,1,10,BUF 45,17,13,Derek Carr up the middle for 10 yards (tackle by Tremaine Edmunds),2.590,3.250
3,11:40,1,10,BUF 35,17,13,Josh Jacobs left tackle for 3 yards (tackle by Jordan Poyer and Tremaine Edmunds),3.250,3.110
3,11:00,2,7,BUF 32,17,13,Derek Carr pass complete short right to Alec Ingold for 17 yards (tackle by Jordan Poyer),3.110,4.580
3,10:12,1,10,BUF 15,17,13,Theo Riddick right tackle for 2 yards (tackle by Jerry Hughes),4.580,4.280
3,9:31,2,8,BUF 13,17,13,Derek Carr pass incomplete short right intended for Josh Jacobs,4.280,3.400
3,9:26,3,8,BUF 13,17,13,Derek Carr pass complete short right to Darren Waller for 6 yards (tackle by Jordan Poyer and Matt Milano),3.400,3.000
3,8:41,4,2,BUF 7,17,16,Daniel Carlson 25 yard field goal good,3.000,3.000
3,8:36,,,LVR 35,17,16,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,8:36,1,10,BUF 25,17,16,Devin Singletary right end for 4 yards (tackle by Trayvon Mullen),0.610,0.600
3,8:06,2,6,BUF 29,17,16,Josh Allen pass complete short middle to Tyler Kroft for 12 yards (tackle by Carl Nassib),0.600,1.660
3,7:40,1,10,BUF 41,17,16,Devin Singletary right tackle for 4 yards (tackle by Clelin Ferrell),1.660,1.660
3,7:14,2,6,BUF 45,17,16,Josh Allen pass complete short right to Devin Singletary for 5 yards (tackle by Maurice Hurst),1.660,1.620
3,6:56,3,1,BUF 50,17,16,Devin Singletary right tackle for no gain (tackle by Maurice Hurst and Jeff Heath),1.620,-0.060
3,6:16,4,1,BUF 50,17,16,Isaiah McKenzie right end for 14 yards (tackle by Trayvon Mullen),-0.060,3.180
3,5:48,1,10,LVR 36,17,16,Josh Allen pass incomplete short middle intended for Tyler Kroft,3.180,2.640
3,5:43,2,10,LVR 36,17,16,"Devin Singletary right tackle for 3 yards (tackle by Arden Key and Johnathan Hankins). Penalty on Daryl Williams: Offensive Holding, 10 yards (no play)",2.640,1.290
3,5:23,2,20,LVR 46,17,16,Josh Allen pass incomplete short left intended for Devin Singletary,1.290,0.630
3,5:18,3,20,LVR 46,17,16,Josh Allen pass incomplete short middle intended for John Brown,0.630,0.200
3,5:13,4,20,LVR 46,17,16,"Corey Bojorquez punts 46 yards, touchback.",0.200,-0.280
3,5:04,1,10,LVR 20,17,16,Josh Jacobs right guard for 5 yards (tackle by Tremaine Edmunds),0.280,0.410
3,4:43,2,5,LVR 25,17,16,Derek Carr pass complete short right to Darren Waller for 7 yards (tackle by Trent Murphy),0.410,1.070
3,3:58,1,10,LVR 32,17,16,Josh Jacobs right guard for 1 yard (tackle by Harrison Phillips),1.070,0.660
3,3:25,2,9,LVR 33,17,16,Derek Carr pass incomplete deep right intended for Zay Jones,0.660,-0.030
3,3:19,3,9,LVR 33,17,16,Derek Carr sacked by Darryl Johnson for -7 yards,-0.030,-1.630
3,2:37,4,16,LVR 26,17,16,"AJ Cole punts 57 yards, returned by Andre Roberts for 38 yards (tackle by Erik Harris)",-1.630,-2.590
3,2:23,1,10,LVR 45,17,16,Devin Singletary right guard for -3 yards (tackle by Lamarcus Joyner),2.590,1.640
3,1:46,2,13,LVR 48,17,16,Josh Allen pass complete short left to Dawson Knox for 7 yards (tackle by Cory Littleton),1.640,1.880
3,1:20,3,6,LVR 41,17,16,Josh Allen pass complete short left to Stefon Diggs for 12 yards (tackle by Erik Harris),1.880,3.640
3,0:50,1,10,LVR 29,17,16,Josh Allen pass complete short right to Cole Beasley for 14 yards (tackle by Lamarcus Joyner). Penalty on Lamarcus Joyner: Defensive Holding (Declined),3.640,4.580
3,0:25,1,10,LVR 15,17,16,Josh Allen pass complete short right to John Brown for 14 yards (tackle by Erik Harris),4.580,6.970
Quarter,Time,Down,ToGo,Location,BUF,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,1,LVR 1,23,16,"Josh Allen up the middle for 1 yard, touchdown",6.970,7.000
4,14:49,,,LVR 15,23,16,Tyler Bass kicks extra point no good wide right,0.000,-1.000
4,14:49,,,BUF 35,23,16,"Tyler Bass kicks off 62 yards, returned by Jalen Richard for 35 yards (tackle by Tyler Bass)",0.000,1.470
4,14:43,1,10,LVR 38,23,16,Josh Jacobs left tackle for 1 yard (tackle by Taron Johnson),1.470,1.060
4,14:13,2,9,LVR 39,23,16,Derek Carr pass complete short middle to Darren Waller for 14 yards (tackle by Tre'Davious White),1.060,2.460
4,13:56,1,10,BUF 47,23,16,Derek Carr pass complete short left to Hunter Renfrow for 12 yards (tackle by Matt Milano and Taron Johnson),2.460,3.250
4,13:34,1,10,BUF 35,23,16,"Nelson Agholor left end for 2 yards (tackle by Josh Norman). Penalty on Kolton Miller: Illegal Block Above the Waist, 10 yards (no play)",3.250,2.590
4,13:07,1,20,BUF 45,23,16,Derek Carr pass complete short left to Josh Jacobs for 9 yards (tackle by Tremaine Edmunds),2.590,2.570
4,12:39,2,11,BUF 36,23,16,"Derek Carr pass complete short right to Darren Waller for 3 yards (tackle by Josh Norman and Jordan Poyer). Darren Waller fumbles (forced by Josh Norman), recovered by Josh Norman at BUF-33 and returned for 7 yards (tackle by Darren Waller)",2.570,-1.600
4,12:28,1,10,BUF 40,23,16,Josh Allen pass complete deep middle to Stefon Diggs for 49 yards (tackle by Erik Harris),1.600,4.840
4,11:38,1,10,LVR 11,23,16,Josh Allen pass incomplete short left intended for Dawson Knox,4.840,4.140
4,11:35,2,10,LVR 11,23,16,Josh Allen pass complete short left to Dawson Knox for 9 yards (tackle by Lamarcus Joyner),4.140,5.120
4,11:24,3,1,LVR 2,29,16,"Devin Singletary left end for 2 yards, touchdown",5.120,7.000
4,11:17,,,LVR 15,30,16,Tyler Bass kicks extra point good,0.000,0.000
4,11:17,,,BUF 35,30,16,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,11:17,1,10,LVR 25,30,16,Derek Carr pass incomplete short right intended for Darren Waller,0.610,0.060
4,11:12,2,10,LVR 25,30,16,Derek Carr pass complete short left to Hunter Renfrow for 4 yards (tackle by Mario Addison),0.060,-0.100
4,10:35,3,6,LVR 29,30,16,Derek Carr pass complete short middle to Jalen Richard for 5 yards (tackle by Micah Hyde),-0.100,-1.110
4,9:52,4,1,LVR 34,30,16,Josh Jacobs right tackle for no gain (tackle by Ed Oliver and Jordan Poyer),-1.110,-3.310
4,9:47,1,10,LVR 34,30,16,Josh Allen pass complete short middle to John Brown for 14 yards (tackle by Nevin Lawson),3.310,4.240
4,9:05,1,10,LVR 20,30,16,"Josh Allen pass incomplete short left. Penalty on Cody Ford: Offensive Holding, 10 yards (no play)",4.240,3.580
4,9:00,1,20,LVR 30,30,16,Josh Allen pass incomplete short middle intended for Cole Beasley (defended by Maurice Hurst),3.580,2.340
4,8:55,2,20,LVR 30,30,16,Devin Singletary left guard for 2 yards (tackle by Carl Nassib),2.340,1.950
4,8:13,3,18,LVR 28,30,16,Josh Allen sacked by Maxx Crosby for -14 yards,1.950,0.460
4,7:29,4,32,LVR 42,30,16,"Corey Bojorquez punts 42 yards, touchback.",0.460,-0.280
4,7:20,1,10,LVR 20,30,16,Derek Carr pass complete short right to Darren Waller for 9 yards (tackle by Taron Johnson),0.280,0.950
4,6:55,2,1,LVR 29,30,16,Derek Carr right end for 1 yard (tackle by Tre'Davious White),0.950,0.940
4,6:20,1,10,LVR 30,30,16,Derek Carr pass complete deep right to Hunter Renfrow for 37 yards (tackle by Taron Johnson),0.940,3.380
4,5:49,1,10,BUF 33,30,16,Derek Carr pass complete short middle to Josh Jacobs for 15 yards (tackle by Tyrel Dodson). Penalty on Quinton Jefferson: Roughing the Passer (Offsetting) Penalty on LVR: Lowering the Head to Initiate Contact (Offsetting) (no play),3.380,3.380
4,5:29,1,10,BUF 33,30,16,"Derek Carr sacked by Quinton Jefferson for -7 yards. Derek Carr fumbles (forced by Quinton Jefferson), recovered by Quinton Jefferson at BUF-40",3.380,-1.600
4,5:21,1,10,BUF 40,30,16,Devin Singletary right guard for -5 yards (tackle by Johnathan Hankins and Cory Littleton),1.600,0.380
4,4:37,2,15,BUF 35,30,16,Devin Singletary left guard for 3 yards (tackle by Johnathan Hankins and Cory Littleton),0.380,0.100
4,3:53,3,12,BUF 38,30,16,Devin Singletary left tackle for 2 yards (tackle by Erik Harris),0.100,-0.720
4,3:47,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:47,4,10,BUF 40,30,16,"Penalty on Tyrel Dodson: False Start, 5 yards (no play)",-0.720,-1.040
4,3:47,4,15,BUF 35,30,16,"Corey Bojorquez punts 51 yards, returned by Hunter Renfrow for 16 yards (tackle by Reggie Gilliam). Hunter Renfrow fumbles (forced by Reggie Gilliam), recovered by Johnathan Abram at LV-38. Penalty on Cory Littleton: Illegal Block Above the Waist, 10 yards",-1.040,-0.280
4,3:31,1,10,LVR 20,30,16,Derek Carr pass complete short middle to Josh Jacobs for 6 yards (tackle by Tyrel Dodson and Tremaine Edmunds),0.280,0.540
4,3:05,2,4,LVR 26,30,16,"Derek Carr pass incomplete deep middle intended for Nelson Agholor (defended by Jordan Poyer). Penalty on Jordan Poyer: Defensive Pass Interference, 46 yards (no play)",0.540,3.710
4,2:56,1,10,BUF 28,30,16,Derek Carr pass incomplete short right intended for Hunter Renfrow,3.710,3.170
4,2:52,2,10,BUF 28,30,16,Derek Carr pass complete short left to Foster Moreau for 8 yards (tackle by Tremaine Edmunds and Tyrel Dodson),3.170,3.530
4,2:26,3,2,BUF 20,30,16,Derek Carr pass complete short right to Hunter Renfrow for 4 yards (tackle by Josh Norman),3.530,4.510
4,2:01,1,10,BUF 16,30,16,Derek Carr right end for 3 yards (tackle by Tre'Davious White),4.510,4.390
4,1:55,2,7,BUF 13,30,16,Derek Carr right tackle for 6 yards (tackle by Tre'Davious White),4.390,4.850
4,1:44,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:44,3,1,BUF 7,30,16,Derek Carr pass incomplete short left intended for Zay Jones,4.850,3.010
4,1:36,4,1,BUF 7,30,22,"Derek Carr pass complete short left to Nelson Agholor for 7 yards, touchdown",3.010,7.000
4,1:29,,,BUF 15,30,23,Daniel Carlson kicks extra point good,0.000,0.000
4,1:29,,,LVR 35,30,23,"Daniel Carlson kicks onside 8 yards, returned by Jaquan Johnson for no gain",0.000,2.720
4,1:28,1,10,LVR 43,30,23,Devin Singletary left guard for -2 yards (tackle by Nick Kwiatkoski),2.720,1.910
4,1:24,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:24,2,12,LVR 45,30,23,Devin Singletary left end for 11 yards (tackle by Erik Harris),1.910,2.680
4,0:37,3,1,LVR 34,30,23,Josh Allen kneels for -1 yards,2.680,0.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
