Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2,0:08,3,7,CHI 13,6,6,Adam Vinatieri 31 yard field goal good,3.540,3.000
2,0:08,,,NWE 30,6,6,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.940
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,6,6,"Adam Vinatieri kicks off 60 yards, returned by Ahmad Merritt for 21 yards (tackle by Matt Chatham)",0.000,1.000
3,14:54,1,10,CHI 31,6,6,Jim Miller pass incomplete intended for John Davis,1.000,0.460
3,14:49,2,10,CHI 31,6,6,Anthony Thomas right end for no gain (tackle by Ty Law),0.460,-0.230
3,14:04,3,10,CHI 31,6,6,Jim Miller pass incomplete intended for Marcus Robinson,-0.230,-1.310
3,13:55,4,10,CHI 31,6,6,"Brad Maynard punts 38 yards, returned by Troy Brown for 4 yards (tackle by Rabih Abdullah). Penalty on Je'Rod Cherry: Illegal Block Above the Waist, 10 yards",-1.310,-0.480
3,13:48,1,10,NWE 23,6,6,Antowain Smith left end for no gain (tackle by Keith Traylor and Michael Green),0.480,-0.070
3,13:08,2,10,NWE 23,6,6,"Tom Brady sacked by Alex Brown for -6 yards. Tom Brady fumbles (forced by Alex Brown), recovered by Phillip Daniels at NWE-14 (tackle by Greg Randall)",-0.070,-4.650
3,13:01,1,10,NWE 14,6,6,Anthony Thomas left guard for 3 yards (tackle by Willie McGinest),4.650,4.520
3,12:27,2,7,NWE 11,6,12,"Jim Miller pass complete to Stanley Pritchett for 11 yards, touchdown",4.520,7.000
3,12:27,,,NWE 11,6,13,Paul Edinger kicks extra point good,0.000,0.000
3,12:27,,,CHI 30,6,13,"Paul Edinger kicks off 72 yards, returned by Deion Branch for 24 yards (tackle by Rabih Abdullah)",0.000,0.410
3,12:17,1,10,NWE 22,6,13,Tom Brady pass complete to Daniel Graham for -2 yards (tackle by Mike Brown),0.410,-0.400
3,11:37,2,12,NWE 20,6,13,"Penalty on Matt Light: False Start, 5 yards (no play)",-0.400,-1.210
3,11:23,2,17,NWE 15,6,13,Antowain Smith right tackle for 10 yards (tackle by Brian Urlacher and Mike Caldwell),-1.210,-0.430
3,10:43,2,17,NWE 15,,,Timeout #1 by New England Patriots,-1.210,-0.430
3,10:43,3,7,NWE 25,6,13,"Penalty on Rosevelt Colvin: Defensive Offside, 5 yards (no play)",-0.430,0.230
3,10:43,3,2,NWE 30,6,13,Tom Brady pass incomplete intended for Cam Cleeland,0.230,-1.370
3,10:39,4,2,NWE 30,6,13,"Ken Walter punts 35 yards, muffed catch by Leon Johnson, recovered by Leon Johnson and returned for -1 yards (tackle by Je'Rod Cherry). Penalty on Matt Chatham: Face Mask (15 Yards), 15 yards (no play)",-1.370,-2.440
3,10:24,4,17,NWE 15,6,13,Ken Walter punts 29 yards,-2.440,-2.650
3,10:18,1,10,NWE 44,6,19,"Marty Booker pass complete to Marcus Robinson for 44 yards, touchdown",2.650,7.000
3,10:18,,,NWE 44,6,20,Paul Edinger kicks extra point good,0.000,0.000
3,10:18,,,CHI 30,6,20,"Paul Edinger kicks off 71 yards, returned by Deion Branch for 21 yards (tackle by Bryan Knight)",0.000,0.280
3,10:02,1,10,NWE 20,6,20,Tom Brady pass complete to David Patten for 9 yards (tackle by Jerry Azumah),0.280,0.950
3,9:44,2,1,NWE 29,6,20,Antowain Smith left guard for no gain (tackle by Alfonso Boone),0.950,0.230
3,9:08,3,1,NWE 29,6,20,Tom Brady pass incomplete intended for Marc Edwards (defended by Brian Urlacher),0.230,-1.440
3,9:05,4,1,NWE 29,6,20,"Ken Walter punts 45 yards, returned by Leon Johnson for 4 yards (tackle by Ted Johnson)",-1.440,-0.940
3,8:52,1,10,CHI 30,6,20,Anthony Thomas left guard for 2 yards (tackle by Tedy Bruschi),0.940,0.660
3,8:12,2,8,CHI 32,6,20,Jim Miller pass incomplete intended for Stanley Pritchett,0.660,-0.030
3,8:08,3,8,CHI 32,6,20,Jim Miller pass incomplete intended for Ahmad Merritt (defended by Mike Vrabel),-0.030,-1.240
3,8:03,4,8,CHI 32,6,20,"Brad Maynard punts 49 yards, returned by Troy Brown for 7 yards (tackle by Todd McMillon)",-1.240,-0.670
3,7:54,1,10,NWE 26,6,20,"Tom Brady for no gain. Tom Brady fumbles, recovered by Tom Brady at NWE-23",0.670,-0.280
3,7:27,2,13,NWE 23,6,20,Tom Brady pass incomplete intended for Troy Brown is intercepted by Brian Urlacher at NWE-36,-0.280,-3.180
3,7:19,1,10,NWE 36,6,20,Jim Miller pass incomplete intended for Dez White,3.180,2.640
3,7:13,2,10,NWE 36,6,20,Anthony Thomas right tackle for 34 yards (tackle by Roman Phifer),2.640,6.740
3,6:45,1,2,NWE 2,6,26,"Anthony Thomas left tackle for 2 yards, touchdown",6.740,7.000
3,6:45,,,NWE 2,6,27,Paul Edinger kicks extra point good,0.000,0.000
3,6:45,,,CHI 30,6,27,"Paul Edinger kicks off 71 yards, returned by Deion Branch for 26 yards (tackle by Michael Green)",0.000,0.610
3,6:36,1,10,NWE 25,6,27,Tom Brady pass complete to Antowain Smith for 5 yards (tackle by Jerry Azumah),0.610,0.740
3,6:03,2,5,NWE 30,6,27,Tom Brady pass complete to Cam Cleeland for 4 yards (tackle by Brian Urlacher),0.740,0.560
3,5:33,3,1,NWE 34,6,27,Tom Brady pass complete to Troy Brown for 7 yards (tackle by Reggie Austin),0.560,1.660
3,5:05,1,10,NWE 41,6,27,Tom Brady pass complete to Troy Brown for 4 yards (tackle by Reggie Austin),1.660,1.660
3,4:37,2,6,NWE 45,6,27,Tom Brady pass complete to Antowain Smith for 19 yards (tackle by Alex Brown),1.660,3.180
3,4:07,1,10,CHI 36,6,27,Tom Brady pass complete to Kevin Faulk for 15 yards (tackle by Jerry Azumah),3.180,4.170
3,3:36,1,10,CHI 21,6,27,Kevin Faulk right tackle for 6 yards (tackle by Michael Green),4.170,4.550
3,3:10,2,4,CHI 15,12,27,"Tom Brady pass complete to Kevin Faulk for 15 yards, touchdown",4.550,7.000
3,3:10,,,CHI 15,13,27,Adam Vinatieri kicks extra point good,0.000,0.000
3,3:10,,,NWE 30,13,27,"Adam Vinatieri kicks off 56 yards, returned by Ahmad Merritt for 18 yards (tackle by Je'Rod Cherry)",0.000,1.070
3,2:58,1,10,CHI 32,13,27,"Penalty on James Williams: False Start, 5 yards (no play)",1.070,0.740
3,2:51,1,15,CHI 27,13,27,Jim Miller pass incomplete intended for Dez White is intercepted by Otis Smith at CHI-47 and returned for 22 yards,0.740,-3.910
3,2:48,1,10,CHI 25,13,27,Tom Brady pass incomplete intended for Christian Fauria,3.910,3.360
3,2:42,2,10,CHI 25,13,27,Tom Brady pass complete to Marc Edwards for 2 yards (tackle by Jerry Azumah),3.360,2.940
3,1:58,3,8,CHI 23,13,27,Tom Brady pass incomplete intended for Troy Brown,2.940,1.930
3,1:58,4,8,CHI 23,16,27,Adam Vinatieri 42 yard field goal good,1.930,3.000
3,1:58,,,NWE 30,16,27,"Adam Vinatieri kicks off 56 yards, returned by Ahmad Merritt for 17 yards (tackle by David Givens)",0.000,1.000
3,1:45,1,10,CHI 31,16,27,Anthony Thomas left guard for 3 yards (tackle by Ted Johnson),1.000,0.870
3,1:08,2,7,CHI 34,16,27,Jim Miller pass incomplete intended for Stanley Pritchett,0.870,0.170
3,1:04,3,7,CHI 34,16,27,Jim Miller pass incomplete intended for John Davis,0.170,-1.110
3,0:57,4,7,CHI 34,16,27,"Brad Maynard punts 43 yards, returned by Troy Brown for 16 yards (tackle by Patrick Mannelly)",-1.110,-1.530
3,0:46,1,10,NWE 39,16,27,Antowain Smith left end for 7 yards (tackle by Damon Moore),1.530,1.930
3,0:17,2,3,NWE 46,16,27,Tom Brady pass incomplete intended for Christian Fauria,1.930,1.220
3,0:13,3,3,NWE 46,16,27,"Antowain Smith left guard for 5 yards (tackle by Mike Brown). Antowain Smith fumbles (forced by Mike Brown), recovered by Antowain Smith at CHI-49. Penalty on Tom Brady: Unnecessary Roughness, 15 yards",1.220,1.330
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 36,16,27,Tom Brady pass complete to Marc Edwards for 13 yards (tackle by Todd McMillon and Mike Caldwell),1.330,2.190
4,14:26,1,10,NWE 49,16,27,Tom Brady pass incomplete intended for Deion Branch,2.190,1.650
4,14:26,2,10,NWE 49,16,27,Tom Brady pass incomplete intended for Troy Brown,1.650,0.960
4,14:19,3,10,NWE 49,16,27,Tom Brady pass complete to Marc Edwards for 12 yards (tackle by R.W. McQuarters),0.960,2.980
4,13:49,1,10,CHI 39,16,27,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Jerry Azumah),2.980,3.250
4,13:25,2,4,CHI 33,16,27,Tom Brady pass complete to Christian Fauria for 5 yards (tackle by Mike Caldwell),3.250,3.710
4,13:25,1,10,CHI 28,16,27,Tom Brady pass incomplete intended for Troy Brown (defended by Phillip Daniels),3.710,3.170
4,13:00,2,10,CHI 28,16,27,Kevin Faulk left tackle for 3 yards (tackle by Ernest Grant),3.170,2.870
4,13:00,3,7,CHI 25,16,27,Tom Brady right guard for 13 yards (tackle by Bryan Knight),2.870,4.780
4,13:00,1,10,CHI 12,16,27,Kevin Faulk left guard for 5 yards (tackle by Alfonso Boone and Ernest Grant),4.780,5.020
4,11:13,2,5,CHI 7,16,27,Tom Brady pass incomplete intended for Troy Brown,5.020,4.160
4,11:09,3,5,CHI 7,16,27,Tom Brady pass incomplete intended for David Givens (defended by Todd McMillon),4.160,2.980
4,11:09,4,5,CHI 7,19,27,Adam Vinatieri 25 yard field goal good,2.980,3.000
4,11:09,,,NWE 30,19,27,"Adam Vinatieri kicks off 66 yards, returned by Ahmad Merritt for 44 yards (tackle by Larry Izzo)",0.000,2.130
4,11:02,1,10,CHI 48,19,27,Anthony Thomas right tackle for 4 yards (tackle by Willie McGinest),2.130,2.120
4,10:12,2,6,NWE 48,19,27,Anthony Thomas right tackle for 2 yards (tackle by Ted Johnson),2.120,1.680
4,9:33,3,4,NWE 46,19,27,Jim Miller pass complete to Marty Booker for 13 yards (tackle by Victor Green),1.680,3.380
4,8:50,1,10,NWE 33,19,27,Anthony Thomas right guard for 7 yards (tackle by Victor Green),3.380,3.780
4,8:34,2,3,NWE 26,19,27,Anthony Thomas right end for 8 yards (tackle by Victor Green),3.780,4.370
4,7:59,1,10,NWE 18,19,27,Anthony Thomas right guard for 1 yard (tackle by Victor Green),4.370,3.940
4,7:33,2,9,NWE 17,19,27,Anthony Thomas right tackle for 3 yards (tackle by Victor Green and Bobby Hamilton),3.940,3.630
4,6:58,3,6,NWE 14,19,27,Anthony Thomas right end for no gain (tackle by Jarvis Green). Penalty on James Williams: Offensive Holding (Declined),3.630,2.530
4,6:27,4,6,NWE 14,19,30,Paul Edinger 32 yard field goal good,2.530,3.000
4,6:27,,,CHI 30,19,30,"Paul Edinger kicks off 57 yards, returned by Deion Branch for 24 yards (tackle by Todd McMillon)",0.000,1.400
4,5:16,1,10,NWE 37,19,30,Tom Brady pass incomplete intended for Kevin Faulk (defended by Rosevelt Colvin),1.400,0.860
4,5:11,2,10,NWE 37,19,30,Tom Brady pass complete to Kevin Faulk for 4 yards (tackle by Todd McMillon and Jerry Azumah),0.860,0.700
4,4:37,3,6,NWE 41,19,30,Tom Brady pass complete to Troy Brown for 3 yards (tackle by Jerry Azumah),0.700,-0.460
4,4:03,4,3,NWE 44,19,30,Tom Brady pass complete to Troy Brown for 14 yards (tackle by Mike Brown),-0.460,2.790
4,3:28,1,10,CHI 42,19,30,Tom Brady pass complete to David Givens for 6 yards (tackle by Todd McMillon),2.790,3.050
4,2:59,2,4,CHI 36,19,30,Tom Brady pass incomplete intended for David Givens (defended by Brian Urlacher),3.050,2.340
4,2:54,3,4,CHI 36,25,30,"Tom Brady pass complete to Kevin Faulk for 36 yards, touchdown",2.340,7.000
4,2:54,3,,CHI 36,25,30,"Two Point Attempt: Kevin Faulk left end, conversion fails",1.000,-1.000
4,2:54,,,NWE 30,25,30,"Adam Vinatieri kicks off 67 yards, returned by Ahmad Merritt for 24 yards (tackle by Matt Chatham)",0.000,0.740
4,2:40,1,10,CHI 27,25,30,Anthony Thomas right guard for 9 yards (tackle by Lawyer Milloy),0.740,1.410
4,2:27,1,10,CHI 27,,,Timeout #2 by New England Patriots,0.740,1.410
4,2:27,2,1,CHI 36,25,30,Anthony Thomas right tackle for no gain (tackle by Willie McGinest),1.410,0.700
4,2:20,2,1,CHI 36,,,Timeout #3 by New England Patriots,1.410,0.700
4,2:20,3,1,CHI 36,25,30,Anthony Thomas left guard for -1 yards (tackle by Tedy Bruschi),0.700,-1.040
4,2:00,4,2,CHI 35,25,30,"Brad Maynard punts 32 yards, returned by Troy Brown for 11 yards (tackle by Patrick Mannelly)",-1.040,-1.860
4,1:50,1,10,NWE 44,25,30,Tom Brady pass complete to David Patten for 19 yards (tackle by Todd McMillon),1.860,3.120
4,1:25,1,10,CHI 37,25,30,Tom Brady pass incomplete intended for Cam Cleeland,3.120,2.570
4,1:21,2,10,CHI 37,25,30,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Bryan Robinson),2.570,2.810
4,1:21,3,3,CHI 30,25,30,Tom Brady pass incomplete intended for Cam Cleeland (defended by Bryan Robinson),2.810,1.480
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
4,0:54,4,3,CHI 30,25,30,Tom Brady right guard for 3 yards (tackle by Bryan Robinson and Damon Moore),1.480,3.780
4,0:40,1,10,CHI 27,25,30,Tom Brady pass incomplete intended for David Patten,3.780,3.230
4,0:37,2,10,CHI 27,25,30,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Brian Urlacher),3.230,3.470
4,0:28,2,10,CHI 27,,,Timeout #1 by Chicago Bears,3.230,3.470
4,0:28,3,3,CHI 20,31,30,"Tom Brady pass complete to David Patten for 20 yards, touchdown",3.470,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,0:28,3,,CHI 20,33,30,"Two Point Attempt: Tom Brady pass complete to Troy Brown, conversion succeeds",1.000,1.000
4,0:28,,,NWE 30,33,30,"Adam Vinatieri kicks off 70 yards, touchback",0.000,0.280
4,0:21,1,10,CHI 20,33,30,Jim Miller pass incomplete intended for Marty Booker (defended by Ty Law),0.280,-0.270
4,0:17,2,10,CHI 20,33,30,Jim Miller sacked by Mike Vrabel for -3 yards,-0.270,-1.510
4,0:02,2,10,CHI 20,,,Timeout #2 by Chicago Bears,-0.270,-1.510
4,0:02,3,13,CHI 17,33,30,"Jim Miller pass complete to Marcus Robinson for 6 yards, lateral to Marty Booker for 14 yards (tackle by Otis Smith)",-1.510,-1.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
