Quarter,Time,Down,ToGo,Location,JAX,ARI,Detail,EPB,EPA
,,,,,,,"ARI challenged the runner was down by contact ruling, and the original play was overturned.",,
2,11:08,1,10,ARI 40,0,3,"Blaine Gabbert pass incomplete short left intended for Adrian Peterson. Penalty on Dante Fowler: Roughing the Passer, 15 yards (no play)",1.600,2.590
2,11:03,1,10,JAX 45,0,3,Blaine Gabbert pass complete short left to JJ Nelson for 14 yards (tackle by A.J. Bouye),2.590,3.510
2,10:27,1,10,JAX 31,0,3,Adrian Peterson right end for 7 yards (tackle by Jalen Ramsey),3.510,3.910
2,9:48,2,3,JAX 24,0,3,Adrian Peterson middle for no gain (tackle by Dante Fowler),3.910,3.200
2,9:08,3,3,JAX 24,0,3,Blaine Gabbert pass incomplete short right intended for Larry Fitzgerald (defended by Tashaun Gipson),3.200,1.970
2,9:05,4,3,JAX 24,0,6,Phil Dawson 42 yard field goal good,1.970,3.000
2,9:00,,,ARI 35,0,6,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
2,9:00,1,10,JAX 25,0,6,Leonard Fournette middle for 1 yard (tackle by Olsen Pierre and Budda Baker),0.610,0.200
2,8:24,2,9,JAX 26,0,6,Leonard Fournette middle for -3 yards (tackle by Chandler Jones),0.200,-0.890
2,7:39,3,12,JAX 23,0,6,Blake Bortles sacked by Olsen Pierre for -12 yards,-0.890,-2.490
2,7:04,4,24,JAX 11,0,6,"Brad Nortman punts 50 yards, returned by Kerwynn Williams for 20 yards (tackle by Dawuane Smoot)",-2.490,-2.850
2,6:51,1,10,JAX 41,0,6,Adrian Peterson right tackle for 7 yards (tackle by Tashaun Gipson),2.850,3.250
2,6:12,2,3,JAX 34,0,6,Adrian Peterson middle for -1 yards (tackle by Yannick Ngakoue),3.250,0.000
2,5:36,,,,,,Timeout #1 by Arizona Cardinals,0.000,-2.410
2,5:36,3,4,JAX 35,0,6,Blaine Gabbert pass complete short middle to Ricky Seals-Jones for 6 yards (tackle by Telvin Smith),2.410,3.640
2,4:51,1,10,JAX 29,0,12,"Blaine Gabbert pass complete short right to Ricky Seals-Jones for 29 yards, touchdown",3.640,7.000
2,4:44,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,0.000
2,4:44,,,JAX 15,0,13,Phil Dawson kicks extra point good,0.000,0.000
2,4:44,,,ARI 35,0,13,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
2,4:44,1,10,JAX 25,0,13,"Blake Bortles pass incomplete deep right intended for Marcedes Lewis. Penalty on Josh Bynes: Defensive Pass Interference, 18 yards (no play)",0.610,1.800
2,4:39,1,10,JAX 43,0,13,Blake Bortles right end for 7 yards (tackle by Josh Bynes),1.800,2.200
2,3:57,2,3,,0,13,Blake Bortles pass incomplete deep middle intended for Keelan Cole (defended by Tyrann Mathieu),2.200,1.490
2,3:50,3,3,,0,13,Blake Bortles sacked by Chandler Jones for -10 yards,1.490,-0.720
2,3:19,4,13,JAX 40,0,13,"Brad Nortman punts 60 yards, touchback",-0.720,-0.280
2,3:08,1,10,ARI 20,0,13,"Blaine Gabbert for no gain. Blaine Gabbert fumbles, recovered by Adrian Peterson at ARI-17",0.280,-0.790
2,2:25,2,13,ARI 17,0,13,Kerwynn Williams middle for 4 yards (tackle by Telvin Smith),-0.790,-0.820
2,2:16,3,9,ARI 21,0,13,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",-0.820,-1.690
2,2:16,3,14,ARI 16,0,13,"Penalty on A.Q. Shipley: False Start, 5 yards (no play)",-1.690,0.000
2,2:16,,,,,,Timeout #2 by Jacksonville Jaguars,0.000,2.470
2,2:16,3,19,ARI 11,0,13,D.J. Foster middle for 4 yards (tackle by Dante Fowler),-2.470,0.000
2,2:12,,,,,,Timeout #3 by Jacksonville Jaguars,0.000,2.440
2,2:12,4,15,ARI 15,0,13,"Andy Lee punts 55 yards, returned by Jaydon Mickens for 14 yards (tackle by Josh Bynes)",-2.440,-1.860
2,2:00,1,10,JAX 44,0,13,Blake Bortles pass complete short middle to Dede Westbrook for 7 yards (tackle by Karlos Dansby),1.860,2.260
2,1:53,2,3,ARI 49,0,13,Blake Bortles pass complete short left to T.J. Yeldon for 3 yards (tackle by Josh Bynes),2.260,2.520
2,1:30,1,10,ARI 46,0,13,Blake Bortles pass complete short middle to T.J. Yeldon for 11 yards (tackle by Karlos Dansby),2.520,3.250
2,1:05,1,10,ARI 35,0,13,Blake Bortles pass complete short left to Marqise Lee for 13 yards (tackle by Tramon Williams),3.250,4.110
2,0:47,1,10,ARI 22,0,13,Blake Bortles spiked the ball,4.110,3.560
2,0:46,2,10,ARI 22,0,13,Blake Bortles sacked by Chandler Jones for -10 yards,3.560,1.550
2,0:24,3,20,ARI 32,0,13,Blake Bortles pass complete short left to James O'Shaughnessy for 7 yards (tackle by Tramon Williams),1.550,1.800
2,0:20,4,13,ARI 25,3,13,Josh Lambo 43 yard field goal good,1.800,3.000
2,0:15,,,JAX 35,3,13,"Josh Lambo kicks off 61 yards, returned by D.J. Foster for 36 yards (tackle by Calvin Pryor). Penalty on JJ Nelson: Illegal Block Above the Waist, 10 yards",0.000,-0.670
2,0:06,1,10,ARI 26,3,13,Blaine Gabbert kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,JAX,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,3,13,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,ARI 25,3,13,Blaine Gabbert for 1 yard (tackle by Paul Posluszny),0.610,0.200
3,14:19,2,9,ARI 26,3,13,Adrian Peterson middle for 3 yards (tackle by Malik Jackson),0.200,-0.100
3,13:36,3,6,ARI 29,3,13,Blaine Gabbert pass complete deep middle to Larry Fitzgerald for 16 yards (tackle by Barry Church),-0.100,1.930
3,12:55,1,10,ARI 45,3,13,"Adrian Peterson right end for 4 yards (tackle by Myles Jack). Penalty on Myles Jack: Horse Collar Tackle, 15 yards",1.930,3.180
3,12:25,1,10,JAX 36,3,13,Blaine Gabbert pass incomplete deep right intended for JJ Nelson,3.180,2.640
3,12:19,2,10,JAX 36,3,13,Adrian Peterson middle for 6 yards (tackle by Barry Church),2.640,2.740
3,11:38,3,4,JAX 30,3,13,Blaine Gabbert pass incomplete short left intended for D.J. Foster,2.740,1.460
3,11:34,4,4,JAX 30,3,16,Phil Dawson 48 yard field goal good,1.460,3.000
3,11:29,,,ARI 35,3,16,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
3,11:29,1,10,JAX 25,3,16,Leonard Fournette middle for -2 yards (tackle by Chandler Jones),0.610,-0.210
3,10:51,2,12,JAX 23,3,16,Blake Bortles pass complete short middle to Keelan Cole for 24 yards (tackle by Antoine Bethea),-0.210,2.060
3,10:08,1,10,JAX 47,3,16,"Blake Bortles pass incomplete deep left intended for T.J. Yeldon. Penalty on Kareem Martin: Roughing the Passer, 15 yards (no play)",2.060,3.050
3,10:00,1,10,ARI 38,3,16,Blake Bortles for 28 yards (tackle by Tyrann Mathieu),3.050,4.910
3,9:19,1,10,ARI 10,3,16,Blake Bortles pass incomplete short left intended for James O'Shaughnessy (defended by Budda Baker),4.910,4.190
3,9:13,2,10,ARI 10,3,16,Blake Bortles middle for 1 yard (tackle by Frostee Rucker),4.190,3.360
3,8:29,3,9,ARI 9,3,16,"Blake Bortles middle for 8 yards (tackle by Haason Reddick). Blake Bortles fumbles (forced by Haason Reddick), recovered by Blake Bortles at ARI-1",3.360,0.000
3,7:39,,,,,,Timeout #1 by Jacksonville Jaguars,0.000,-3.550
3,7:39,4,1,ARI 1,9,16,"Blake Bortles right end for 1 yard, touchdown",3.550,7.000
3,7:33,,,ARI 15,10,16,Josh Lambo kicks extra point good,0.000,0.000
3,7:33,,,JAX 35,10,16,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,7:33,1,10,ARI 25,10,16,Blaine Gabbert pass complete short middle to Troy Niklas for 9 yards (tackle by Paul Posluszny and Blair Brown),0.610,1.280
3,6:58,2,1,ARI 34,10,16,Adrian Peterson left end for 9 yards (tackle by Blair Brown),1.280,1.800
3,6:20,1,10,ARI 43,10,16,Adrian Peterson middle for 4 yards (tackle by Blair Brown),1.800,1.790
3,5:44,2,6,ARI 47,10,16,Adrian Peterson middle for no gain (tackle by Barry Church),1.790,1.090
3,5:00,3,6,ARI 47,10,16,Blaine Gabbert pass complete short middle to Larry Fitzgerald for 3 yards (tackle by Jalen Ramsey),1.090,-0.060
3,4:29,4,3,,10,16,"Andy Lee punts 43 yards, fair catch by Jaydon Mickens",-0.060,0.380
3,4:21,1,10,JAX 7,10,16,Blake Bortles pass incomplete deep right intended for Dede Westbrook,-0.380,-0.780
3,4:15,2,10,JAX 7,10,16,Leonard Fournette middle for 4 yards (tackle by Kareem Martin),-0.780,-0.950
3,3:33,3,6,JAX 11,10,16,Blake Bortles pass complete short right to Dede Westbrook for 4 yards (tackle by Tramon Williams),-0.950,-2.440
3,3:01,4,2,JAX 15,10,16,"Brad Nortman punts 59 yards, returned by Patrick Peterson for 19 yards (tackle by Dawuane Smoot)",-2.440,-1.930
3,2:49,1,10,ARI 45,10,16,Blaine Gabbert pass incomplete short left intended for Larry Fitzgerald (defended by Paul Posluszny),1.930,1.380
3,2:43,2,10,ARI 45,10,16,Blaine Gabbert pass incomplete,1.380,0.700
3,2:35,3,10,ARI 45,10,16,Blaine Gabbert pass incomplete deep left intended for JJ Nelson (defended by A.J. Bouye),0.700,-0.390
3,2:26,4,10,ARI 45,10,16,"Andy Lee punts 55 yards, touchback",-0.390,-0.280
3,2:18,1,10,JAX 20,10,16,Blake Bortles pass complete short right to Leonard Fournette for -5 yards (tackle by Tyrann Mathieu),0.280,-1.070
3,1:32,2,15,JAX 15,10,16,Blake Bortles pass complete short right to Leonard Fournette for 5 yards (tackle by Josh Bynes),-1.070,-0.960
3,0:45,3,10,JAX 20,10,16,Blake Bortles pass incomplete deep left intended for Keelan Cole,-0.960,-2.030
3,0:40,4,10,JAX 20,10,16,"Brad Nortman punts 50 yards, out of bounds",-2.030,-0.940
3,0:31,1,10,ARI 30,10,16,Adrian Peterson middle for 10 yards (tackle by Jalen Ramsey),0.940,1.600
Quarter,Time,Down,ToGo,Location,JAX,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 40,10,16,Blaine Gabbert pass incomplete short left intended for Chad Williams (defended by Aaron Colvin),1.600,1.050
4,14:57,2,10,ARI 40,10,16,Blaine Gabbert pass incomplete short left intended for Ricky Seals-Jones,1.050,0.370
4,14:53,3,10,ARI 40,10,16,Blaine Gabbert left end for 4 yards (tackle by Aaron Colvin),0.370,-0.460
4,14:21,4,6,ARI 44,10,16,"Andy Lee punts 39 yards, out of bounds",-0.460,0.060
4,14:14,1,10,JAX 17,10,16,"Blake Bortles pass incomplete short middle intended for Marqise Lee. Penalty on Frostee Rucker: Roughing the Passer, 15 yards (no play)",-0.060,1.070
4,14:07,1,10,JAX 32,10,16,Blake Bortles pass complete short right to Dede Westbrook for 10 yards (tackle by Tramon Williams),1.070,1.730
4,13:49,1,10,JAX 42,10,16,T.J. Yeldon right tackle for 6 yards (tackle by Chandler Jones),1.730,2.000
4,13:28,2,4,JAX 48,10,16,Blake Bortles pass incomplete short middle intended for Marcedes Lewis,2.000,1.290
4,13:24,3,4,JAX 48,10,16,Blake Bortles pass incomplete short middle intended for Keelan Cole,1.290,-0.190
4,13:19,4,4,JAX 48,10,16,"Brad Nortman punts 37 yards, fair catch by Patrick Peterson",-0.190,0.220
4,13:12,1,10,ARI 15,10,16,Adrian Peterson right end for no gain (tackle by Calais Campbell),-0.220,-0.710
4,12:26,2,10,ARI 15,10,16,Blaine Gabbert pass incomplete short middle intended for Larry Fitzgerald (defended by Abry Jones),-0.710,0.000
4,12:19,,,,,,Timeout #1 by Arizona Cardinals,0.000,1.370
4,12:19,3,10,ARI 15,16,16,"Blaine Gabbert sacked by Yannick Ngakoue for -5 yards. Blaine Gabbert fumbles (forced by Yannick Ngakoue), recovered by Calais Campbell at ARI-10 and returned for 10 yards, touchdown",-1.370,-7.000
4,,,,ARI 15,17,16,Josh Lambo kicks extra point good,,
4,12:10,,,JAX 35,17,16,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
4,12:10,1,10,ARI 25,17,16,Blaine Gabbert pass incomplete short middle intended for Ricky Seals-Jones,0.610,0.060
4,12:06,2,10,ARI 25,17,16,Blaine Gabbert pass complete short left to Jermaine Gresham for 6 yards (tackle by Myles Jack),0.060,0.170
4,11:23,3,4,ARI 31,17,16,Blaine Gabbert left end for 4 yards (tackle by A.J. Bouye),0.170,1.270
4,10:44,1,10,ARI 35,17,16,Adrian Peterson middle for 4 yards (tackle by Dawuane Smoot),1.270,1.260
4,10:02,2,6,ARI 39,17,16,Blaine Gabbert middle for 9 yards (tackle by Dawuane Smoot),1.260,2.130
4,9:17,1,10,ARI 48,17,22,"Blaine Gabbert pass complete deep middle to Jaron Brown for 52 yards, touchdown",2.130,7.000
4,9:07,,,JAX 2,17,24,"Two Point Attempt: Blaine Gabbert pass complete to Larry Fitzgerald, conversion succeeds",0.000,1.000
4,9:07,,,ARI 35,17,24,"Phil Dawson kicks off 71 yards, returned by Corey Grant for 68 yards (tackle by Phil Dawson)",0.000,-3.050
4,8:58,1,10,ARI 38,17,24,Blake Bortles pass complete short middle to T.J. Yeldon for 5 yards (tackle by Josh Bynes),3.050,3.180
4,8:32,2,5,ARI 33,17,24,Blake Bortles pass complete short left to Keelan Cole for 6 yards (tackle by Patrick Peterson),3.180,3.780
4,8:04,1,10,ARI 27,17,24,Blake Bortles pass complete short middle to Marcedes Lewis for 10 yards (tackle by Budda Baker),3.780,4.440
4,7:33,1,10,ARI 17,23,24,"Blake Bortles left end for 17 yards, touchdown",4.440,7.000
4,7:26,,,ARI 15,24,24,Josh Lambo kicks extra point good,0.000,0.000
4,7:26,,,JAX 35,24,24,"Josh Lambo kicks off 67 yards, returned by D.J. Foster for 18 yards (tackle by Jarrod Wilson)",0.000,0.140
4,7:21,1,10,ARI 16,24,24,Adrian Peterson middle for 3 yards (tackle by Calais Campbell),-0.140,-0.180
4,6:40,2,7,ARI 19,24,24,Blaine Gabbert pass incomplete short middle intended for Adrian Peterson,-0.180,-0.950
4,6:34,3,7,ARI 19,24,24,Blaine Gabbert pass complete short right to Ricky Seals-Jones for 11 yards (tackle by Tashaun Gipson),-0.950,0.940
4,5:52,1,10,ARI 30,24,24,Adrian Peterson middle for 5 yards (tackle by Barry Church),0.940,1.070
4,5:14,2,5,ARI 35,24,24,Adrian Peterson middle for 2 yards (tackle by Barry Church and Paul Posluszny),1.070,0.630
4,4:34,3,3,ARI 37,24,24,Blaine Gabbert pass complete short middle to D.J. Foster for 4 yards (tackle by Malik Jackson),0.630,1.660
4,3:52,1,10,ARI 41,24,24,Blaine Gabbert pass incomplete deep right intended for JJ Nelson,1.660,1.120
4,3:46,2,10,ARI 41,24,24,Blaine Gabbert pass incomplete deep right intended for Chad Williams is intercepted by Barry Church at JAX-42,1.120,-1.730
4,3:38,1,10,JAX 42,24,24,Blake Bortles pass complete short right to T.J. Yeldon for 16 yards (tackle by Tyrann Mathieu),1.730,2.790
4,3:31,1,10,ARI 42,24,24,T.J. Yeldon left tackle for 2 yards (tackle by Frostee Rucker),2.790,2.510
4,2:54,2,8,ARI 40,24,24,Blake Bortles pass complete short right to Dede Westbrook for 2 yards (tackle by Patrick Peterson),2.510,2.080
4,2:47,3,6,ARI 38,24,24,Blake Bortles pass incomplete short right intended for Dede Westbrook is intercepted by Tyrann Mathieu at ARI-40 and returned for 1 yard,2.080,-1.660
4,2:42,1,10,ARI 41,24,24,Blaine Gabbert pass complete short middle to Adrian Peterson for 7 yards (tackle by Paul Posluszny),1.660,2.070
4,2:00,2,3,ARI 48,24,24,Blaine Gabbert pass incomplete short right intended for Larry Fitzgerald,2.070,0.000
4,1:56,,,,,,Timeout #2 by Arizona Cardinals,0.000,-1.360
4,1:56,3,3,ARI 48,24,24,Blaine Gabbert pass complete short right to D.J. Foster for 2 yards (tackle by A.J. Bouye),1.360,-0.060
4,1:21,4,1,,24,24,"Andy Lee punts 40 yards, fair catch by Jaydon Mickens",-0.060,0.380
4,1:14,1,10,JAX 10,24,24,T.J. Yeldon middle for 2 yards (tackle by Frostee Rucker),-0.380,-0.630
4,0:37,2,8,JAX 12,24,24,Blake Bortles pass incomplete short middle intended for Marqise Lee (defended by Tyrann Mathieu),-0.630,-1.190
4,0:33,3,8,JAX 12,24,24,Leonard Fournette middle for 5 yards (tackle by Josh Bynes and Justin Bethel),-1.190,0.000
4,0:27,,,,,,Timeout #3 by Arizona Cardinals,0.000,2.320
4,0:27,4,3,JAX 17,24,24,"Brad Nortman punts 56 yards, returned by Patrick Peterson for 12 yards (tackle by Jarrod Wilson)",-2.320,-1.530
4,0:16,1,10,ARI 39,24,24,Blaine Gabbert pass complete short left to Kerwynn Williams for 10 yards,1.530,2.190
4,0:11,1,10,ARI 49,24,24,Blaine Gabbert pass complete short left to D.J. Foster for 12 yards (tackle by Myles Jack),2.190,2.980
4,0:11,1,10,JAX 39,24,27,Phil Dawson 57 yard field goal good,2.980,3.000
4,0:01,,,ARI 35,24,27,"Penalty on ARI: Delay of Game, 5 yards (no play)",0.000,0.000
4,0:01,,,ARI 30,24,27,--,0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
