Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
4,15:00,2,8,STL 28,10,6,Marc Bulger pass complete short left to Tim Carter for 6 yards (tackle by Derek Cox),0.400,0.500
4,14:28,,,,10,6,Timeout #1 by Jacksonville Jaguars,0.000,0.500
4,14:28,3,2,STL 34,10,6,Marc Bulger pass incomplete short left intended for Tim Carter (defended by Derek Cox),0.500,-1.110
4,14:24,4,2,STL 34,10,6,"Donnie Jones punts 41 yards, returned by Mike Thomas for 6 yards (tackle by Craig Dahl)",-1.110,-1.000
4,14:13,1,10,JAX 31,10,6,Maurice Jones-Drew middle for 6 yards (tackle by Paris Lenon),1.000,1.270
4,13:38,2,4,JAX 37,10,6,Maurice Jones-Drew middle for 5 yards (tackle by Bradley Fletcher),1.270,1.730
4,12:56,1,10,JAX 42,10,6,David Garrard right end for 10 yards (tackle by Bradley Fletcher),1.730,2.390
4,12:17,1,10,STL 48,10,6,David Garrard pass complete short left to Zach Miller for 14 yards (tackle by O.J. Atogwe),2.390,3.310
4,11:33,1,10,STL 34,10,6,Maurice Jones-Drew middle for 5 yards (tackle by Paris Lenon),3.310,3.450
4,10:55,2,5,STL 29,10,6,Rashad Jennings middle for 2 yards (tackle by Chris Long),3.450,3.010
4,10:17,3,3,STL 27,10,6,Maurice Jones-Drew middle for 26 yards (tackle by Jonathan Wade),3.010,6.970
4,9:27,1,1,STL 1,10,6,Maurice Jones-Drew middle for no gain (tackle by Larry Grant),6.970,5.910
4,8:49,2,1,STL 1,10,6,Maurice Jones-Drew right end for no gain (tackle by LaJuan Ramsey),5.910,5.170
4,8:10,3,1,STL 1,10,12,"Maurice Jones-Drew middle for 1 yard, touchdown",5.170,7.000
4,,,,STL 2,10,13,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,10,13,"Josh Scobee kicks off 64 yards, returned by Danny Amendola for 14 yards (tackle by William Middleton)",0.000,0.280
4,8:00,1,10,STL 20,10,13,Steven Jackson right end for -3 yards,0.280,-0.790
4,7:18,2,13,STL 17,10,13,Marc Bulger pass incomplete short right intended for Steven Jackson,-0.790,-1.510
4,7:11,,,,10,13,Timeout #2 by Los Angeles Rams,0.000,-1.510
4,7:11,3,13,STL 17,10,13,Marc Bulger pass incomplete deep right intended for Tim Carter,-1.510,-2.320
4,7:06,4,13,STL 17,10,13,"Donnie Jones punts 55 yards, returned by Mike Thomas for 2 yards (tackle by Will Witherspoon)",-2.320,-0.940
4,6:54,1,10,JAX 30,10,13,Maurice Jones-Drew middle for 3 yards (tackle by Chris Long),0.940,0.800
4,6:14,2,7,JAX 33,10,13,David Garrard pass complete short left to Mike Sims-Walker for 1 yard (tackle by Ronald Bartell),0.800,0.230
4,5:32,3,6,JAX 34,10,13,"David Garrard pass incomplete short right intended for Maurice Jones-Drew. Penalty on James Laurinaitis: Defensive Pass Interfere, 11 yards (no play)",0.230,1.930
4,5:27,1,10,JAX 45,10,13,Maurice Jones-Drew middle for no gain (tackle by Will Witherspoon),1.930,1.380
4,4:46,2,10,JAX 45,16,13,"David Garrard pass incomplete short right intended for Greg Jones is intercepted by Leonard Little at JAX-36 and returned for 36 yards, touchdown",1.380,-7.000
4,,,,JAX 2,17,13,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 35,17,13,"Josh Brown kicks off 61 yards, returned by Mike Thomas for 21 yards (tackle by Kenneth Darby)",0.000,0.610
4,4:31,1,10,JAX 25,17,13,David Garrard pass incomplete short left intended for Maurice Jones-Drew,0.610,0.060
4,4:25,2,10,JAX 25,17,13,David Garrard left end for 13 yards (tackle by Ronald Bartell),0.060,1.470
4,4:15,1,10,JAX 38,17,13,Maurice Jones-Drew right end for 18 yards (tackle by O.J. Atogwe),1.470,2.650
4,4:07,1,10,STL 44,17,13,David Garrard pass complete deep middle to Mike Sims-Walker for 26 yards (tackle by O.J. Atogwe),2.650,4.370
4,4:07,1,10,STL 18,17,13,"Penalty on JAX: Illegal Substitution, 5 yards (no play)",4.370,4.040
4,3:38,1,15,STL 23,17,13,David Garrard pass incomplete deep middle intended for Marcedes Lewis,4.040,3.150
4,3:33,2,15,STL 23,17,13,David Garrard pass complete short middle to Maurice Jones-Drew for 13 yards (tackle by Leonard Little),3.150,4.510
4,2:53,3,2,STL 10,17,13,Maurice Jones-Drew middle for 4 yards (tackle by Clifton Ryan),4.510,5.830
4,2:07,1,6,STL 6,17,13,Maurice Jones-Drew middle for 3 yards (tackle by Ronald Bartell),5.830,5.530
4,2:00,2,3,STL 3,17,19,"Maurice Jones-Drew middle for 3 yards, touchdown",5.530,7.000
4,,,,STL 2,17,20,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,17,20,"Josh Scobee kicks off 75 yards, returned by Danny Amendola for 27 yards (tackle by Quentin Groves)",0.000,0.410
4,1:49,1,10,STL 22,17,20,Marc Bulger pass complete short right to Steven Jackson for 38 yards (tackle by Derek Cox),0.410,2.920
4,1:11,1,10,JAX 40,17,20,Marc Bulger pass complete short right to Danny Amendola for 5 yards (tackle by Reggie Nelson),2.920,3.050
4,0:46,2,5,JAX 35,17,20,Marc Bulger pass incomplete short right intended for Keenan Burton (defended by Rashean Mathis),3.050,2.340
4,0:42,3,5,JAX 35,17,20,Marc Bulger pass complete short right to Danny Amendola for 13 yards (tackle by Gerald Alexander),2.340,4.110
4,0:35,1,10,JAX 22,17,20,Marc Bulger pass incomplete deep middle intended for Daniel Fells (defended by Daryl Smith),4.110,3.560
4,0:30,2,10,JAX 22,17,20,Marc Bulger pass complete short left to Randy McMichael for 13 yards (tackle by Derrick Harvey),3.560,5.140
4,0:15,1,9,JAX 9,17,20,Marc Bulger spiked the ball,5.140,4.380
4,0:15,2,9,JAX 9,17,20,Marc Bulger pass incomplete,4.380,3.360
4,0:07,3,9,JAX 9,20,20,Josh Brown 27 yard field goal good,3.360,3.000
4,,,,STL 30,20,20,"Josh Brown kicks off 41 yards, muffed catch by Ernest Wilford, recovered by Ernest Wilford and returned for no gain",0.000,0.610
4,0:01,1,10,JAX 25,20,20,David Garrard kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,STL,JAX,Detail,EPB,EPA
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the overtime kickoff.",,
OT,,,,STL 30,20,20,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
OT,15:00,1,10,JAX 20,20,20,David Garrard pass complete short right to Mike Sims-Walker for 7 yards (tackle by Ronald Bartell),0.280,0.680
OT,14:25,2,3,JAX 27,20,20,David Garrard pass complete short left to Mike Thomas for 4 yards (tackle by Paris Lenon),0.680,1.000
OT,13:54,1,10,JAX 31,20,20,David Garrard pass complete short right to Ernest Wilford for 1 yard (tackle by Paris Lenon),1.000,0.600
OT,13:14,2,9,JAX 32,20,20,David Garrard pass complete short left to Mike Thomas for 6 yards (tackle by Jonathan Wade),0.600,0.700
OT,12:36,3,3,JAX 38,20,20,Maurice Jones-Drew middle for 4 yards (tackle by David Roach),0.700,1.730
OT,11:59,1,10,JAX 42,20,20,David Garrard pass incomplete short right intended for Greg Jones,1.730,1.190
OT,11:52,2,10,JAX 42,20,20,David Garrard pass complete short left to Mike Sims-Walker for 4 yards (tackle by Bradley Fletcher),1.190,1.030
OT,11:14,3,6,JAX 46,20,20,David Garrard pass complete deep middle to Mike Thomas for 17 yards (tackle by David Roach),1.030,3.120
OT,10:34,1,10,STL 37,20,20,Maurice Jones-Drew left end for 11 yards (tackle by O.J. Atogwe),3.120,3.840
OT,9:54,1,10,STL 26,20,20,Maurice Jones-Drew left end for 2 yards (tackle by Larry Grant),3.840,3.570
OT,9:16,2,8,STL 24,20,20,Maurice Jones-Drew middle for 4 yards (tackle by Paris Lenon),3.570,3.400
OT,8:41,3,4,STL 20,20,20,Maurice Jones-Drew middle for 2 yards (tackle by LaJuan Ramsey),3.400,2.370
OT,8:04,,,,20,20,Timeout #1 by Los Angeles Rams,0.000,2.370
OT,8:04,4,2,STL 18,20,23,Josh Scobee 36 yard field goal good,2.370,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
