Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA
1,1:36,2,12,LAC 24,10,3,David Montgomery right end for 6 yards (tackle by Kenneth Murray),3.290,3.400
1,0:52,3,6,LAC 18,10,3,David Montgomery right guard for 5 yards (tackle by Khalil Mack and Deane Leonard),3.400,2.720
1,0:13,4,1,LAC 13,10,3,Amon-Ra St. Brown left end for 3 yards (tackle by Alohi Gilman),2.720,4.910
Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 10,10,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Asante Samuel),4.910,5.910
2,14:26,2,1,LAC 1,10,3,David Montgomery right tackle for no gain (tackle by Khalil Mack and Derwin James),5.910,5.170
2,13:52,3,1,LAC 1,10,3,David Montgomery right end for no gain (tackle by Nick Williams),5.170,3.550
2,13:13,4,1,LAC 1,10,3,Jared Goff pass incomplete short right,3.550,0.380
2,13:09,1,10,LAC 2,10,3,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.380,-0.780
2,13:03,2,10,LAC 2,10,3,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Cameron Sutton),-0.780,-0.370
2,12:31,3,1,LAC 11,10,3,Justin Herbert pass incomplete short right intended for Austin Ekeler,-0.370,-2.490
2,12:24,4,1,LAC 11,10,3,"JK Scott punts 49 yards, fair catch by Kalif Raymond at DET-40",-2.490,-1.600
2,12:17,1,10,DET 40,10,3,Jahmyr Gibbs left tackle for 3 yards (tackle by Deane Leonard and Derwin James),1.600,1.460
2,11:40,2,7,DET 43,10,3,Jared Goff pass complete short left to Jahmyr Gibbs for 24 yards (tackle by Eric Kendricks),1.460,3.380
2,10:57,1,10,LAC 33,10,3,Jared Goff pass complete short left to Jameson Williams for 13 yards (tackle by Derwin James),3.380,4.240
2,10:15,1,10,LAC 20,10,3,Jahmyr Gibbs right end for -1 yards (tackle by Joey Bosa),4.240,3.560
2,9:40,2,11,LAC 21,10,3,Jared Goff pass complete short left to Amon-Ra St. Brown for 14 yards (tackle by Alohi Gilman),3.560,5.600
2,9:00,1,7,LAC 7,10,3,Jahmyr Gibbs left tackle for 2 yards (tackle by Kenneth Murray),5.600,5.150
2,8:25,2,5,LAC 5,10,3,Jahmyr Gibbs right end for 4 yards (tackle by Eric Kendricks and Alohi Gilman),5.150,5.170
2,7:37,3,1,LAC 1,10,3,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,5.170,3.550
2,7:34,4,1,LAC 1,16,3,"Jahmyr Gibbs right tackle for 1 yard, touchdown",3.550,7.000
2,7:30,,,LAC 15,17,3,Riley Patterson kicks extra point good,0.000,0.000
2,7:30,,,DET 35,17,3,"Jack Fox kicks off 63 yards,",0.000,0.610
2,7:30,1,10,LAC 25,17,3,Austin Ekeler left guard for 2 yards (tackle by Alim McNeill and Alex Anzalone),0.610,0.270
2,6:51,2,9,LAC 27,17,3,Austin Ekeler up the middle for 4 yards (tackle by Alim McNeill),0.270,0.170
2,6:19,3,4,LAC 31,17,3,Justin Herbert pass complete short right to Austin Ekeler for 15 yards (tackle by Kerby Joseph),0.170,1.990
2,5:42,1,10,LAC 46,17,3,Austin Ekeler up the middle for 3 yards (tackle by Derrick Barnes),1.990,1.860
2,5:04,2,7,LAC 49,17,3,Justin Herbert pass incomplete deep right intended for Jalen Guyton (defended by Jerry Jacobs),1.860,1.160
2,4:56,3,7,LAC 49,17,3,Justin Herbert pass complete short middle to Keenan Allen for 11 yards (tackle by Cameron Sutton),1.160,2.920
2,4:28,1,10,DET 40,17,3,Justin Herbert pass incomplete deep left intended for Gerald Everett,2.920,2.370
2,4:23,2,10,DET 40,17,3,Justin Herbert pass complete short right to Derius Davis for 9 yards (tackle by Alex Anzalone),2.370,2.870
2,4:02,3,1,DET 31,17,3,Justin Herbert up the middle for 2 yards (tackle by Jack Campbell and Benito Jones),2.870,3.640
2,3:27,1,10,DET 29,17,9,"Justin Herbert pass complete deep right to Keenan Allen for 29 yards, touchdown",3.640,7.000
2,3:21,,,DET 15,17,10,Cameron Dicker kicks extra point good,0.000,0.000
2,3:21,,,LAC 35,17,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,3:21,1,10,DET 25,23,10,"David Montgomery left guard for 75 yards, touchdown Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",0.610,7.000
2,3:07,,,LAC 15,24,10,Riley Patterson kicks extra point good,0.000,0.000
2,3:07,,,DET 35,24,10,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,3:07,1,10,LAC 25,24,10,Austin Ekeler left end for 9 yards (tackle by Brian Branch),0.610,1.280
2,2:41,2,1,LAC 34,24,10,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Kerby Joseph),1.280,1.660
2,2:17,1,10,LAC 41,24,10,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Kerby Joseph),1.660,2.520
2,2:00,1,10,DET 46,24,10,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Cameron Sutton),2.520,2.920
2,1:38,2,3,DET 39,24,10,Justin Herbert pass incomplete short right intended for Austin Ekeler,2.920,2.210
2,1:34,3,3,DET 39,24,10,Justin Herbert pass complete deep left to Keenan Allen for 28 yards (tackle by Kerby Joseph),2.210,4.840
2,1:05,1,10,DET 11,24,10,Justin Herbert pass complete short middle to Jalen Guyton for 8 yards (tackle by Brian Branch and Derrick Barnes),4.840,5.660
2,0:45,2,2,DET 3,24,10,Austin Ekeler up the middle for 1 yard (tackle by Tracy Walker),5.660,5.120
2,0:33,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:33,3,1,DET 2,24,10,Justin Herbert pass incomplete short middle intended for Stone Smartt,5.120,3.250
2,0:29,4,1,DET 2,24,16,"Austin Ekeler up the middle for 2 yards, touchdown",3.250,7.000
2,0:23,,,DET 15,24,17,Cameron Dicker kicks extra point good,0.000,0.000
2,0:23,,,LAC 35,24,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,0:23,1,10,DET 25,24,17,Jared Goff pass complete short right to Jameson Williams for 5 yards (tackle by Kenneth Murray),0.610,0.740
Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,24,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,24,17,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by Alohi Gilman),0.610,0.060
3,14:52,2,10,DET 25,24,17,Jared Goff pass incomplete short left intended for Sam LaPorta,0.060,-0.620
3,14:49,3,10,DET 25,24,17,Jared Goff pass complete short right to Josh Reynolds for 8 yards (tackle by Derwin James),-0.620,-1.180
3,14:49,4,2,DET 33,24,17,"Penalty on Derwin James: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",-1.180,2.130
3,14:34,1,10,DET 48,24,17,Jahmyr Gibbs up the middle for 3 yards (tackle by Otito Ogbonnia and Ja'Sir Taylor),2.130,1.990
3,13:54,2,7,LAC 49,24,17,Jared Goff pass complete short right to Amon-Ra St. Brown for 15 yards (tackle by Deane Leonard),1.990,3.310
3,13:18,1,10,LAC 34,24,17,Jahmyr Gibbs up the middle for -3 yards (tackle by Derwin James),3.310,2.370
3,12:42,2,13,LAC 37,24,17,Jared Goff pass incomplete short right intended for Kalif Raymond,2.370,1.690
3,12:38,3,13,LAC 37,24,17,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs,1.690,0.790
3,12:34,4,13,LAC 37,24,17,"Jack Fox punts 29 yards, fair catch by Derius Davis at LAC-8",0.790,0.380
3,12:27,1,10,LAC 8,24,17,Justin Herbert pass complete short left to Austin Ekeler for 6 yards (tackle by Kerby Joseph and Jack Campbell),-0.380,-0.320
3,11:54,2,4,LAC 14,24,17,"Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Jerry Jacobs: Defensive Pass Interference, 15 yards (accepted) (no play)",-0.320,0.870
3,11:50,1,10,LAC 29,24,17,Joshua Kelley left guard for 4 yards (tackle by Alim McNeill and Aidan Hutchinson),0.870,0.870
3,11:16,2,6,LAC 33,24,17,Justin Herbert pass complete short middle to Donald Parham for 16 yards (tackle by Brian Branch and Alex Anzalone),0.870,2.190
3,10:47,1,10,LAC 49,24,17,Justin Herbert pass complete short right to Donald Parham for 2 yards (tackle by Jerry Jacobs and Alex Anzalone),2.190,1.920
3,10:28,2,8,DET 49,24,17,Justin Herbert pass incomplete deep right intended for Stone Smartt (defended by Alex Anzalone),1.920,1.220
3,10:22,3,8,DET 49,24,17,Justin Herbert pass complete short middle to Keenan Allen for 12 yards (tackle by Charles Harris),1.220,3.120
3,10:03,1,10,DET 37,24,17,Joshua Kelley up the middle for 3 yards (tackle by Julian Okwara and Charles Harris),3.120,2.980
3,9:25,2,7,DET 34,24,17,Justin Herbert pass complete short left to Jalen Guyton for 4 yards (tackle by Brian Branch),2.980,2.810
3,8:48,3,3,DET 30,24,17,Justin Herbert pass complete short middle to Keenan Allen for 12 yards (tackle by Tracy Walker),2.810,4.370
3,8:03,1,10,DET 18,24,23,"Justin Herbert pass complete deep right to Jalen Guyton for 18 yards, touchdown",4.370,7.000
3,7:59,,,DET 15,24,24,Cameron Dicker kicks extra point good,0.000,0.000
3,7:59,,,LAC 35,24,24,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,7:59,1,10,DET 25,24,24,David Montgomery left tackle for 2 yards (tackle by Austin Johnson and Sebastian Joseph-Day),0.610,0.330
3,7:24,2,8,DET 27,24,24,David Montgomery up the middle for 5 yards (tackle by Nick Williams and Sebastian Joseph-Day),0.330,0.300
3,6:43,3,3,DET 32,24,24,Jared Goff pass complete short middle to Josh Reynolds for 7 yards (tackle by Eric Kendricks),0.300,1.530
3,6:04,1,10,DET 39,24,24,David Montgomery left tackle for 8 yards (tackle by Morgan Fox and Otito Ogbonnia),1.530,2.070
3,5:18,2,2,DET 47,24,24,Jared Goff pass incomplete short right intended for Brock Wright,2.070,1.360
3,5:13,3,2,DET 47,24,24,Jared Goff pass complete short middle to Amon-Ra St. Brown for 33 yards (tackle by Alohi Gilman),1.360,4.240
3,4:36,1,10,LAC 20,30,24,"Jared Goff pass complete short left to Amon-Ra St. Brown for 20 yards, touchdown",4.240,7.000
3,4:31,,,LAC 15,31,24,Riley Patterson kicks extra point good,0.000,0.000
3,4:31,,,DET 35,31,24,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,4:31,1,10,LAC 25,31,24,Austin Ekeler up the middle for 5 yards (tackle by Jack Campbell),0.610,0.740
3,4:02,2,5,LAC 30,31,24,Justin Herbert pass incomplete short right intended for Jalen Guyton (defended by Jerry Jacobs),0.740,0.040
3,3:58,3,5,LAC 30,31,24,Justin Herbert scrambles right end for 13 yards (tackle by Tracy Walker),0.040,1.800
3,3:25,1,10,LAC 43,31,24,Joshua Kelley right tackle for 4 yards (tackle by Alex Anzalone and Jack Campbell),1.800,1.720
3,2:54,2,7,LAC 47,31,24,Justin Herbert pass incomplete short right intended for Stone Smartt (defended by Cameron Sutton),1.720,1.030
3,2:49,3,7,LAC 47,31,24,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",1.030,0.370
3,2:49,3,12,LAC 42,31,24,"Justin Herbert pass incomplete. Penalty on Julian Okwara: Roughing the Passer, 15 yards (offset) . Penalty on Justin Herbert: Intentional Grounding, 10 yards (offset) (no play)",0.370,0.370
3,2:44,3,12,LAC 42,31,24,"Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Cameron Sutton: Defensive Pass Interference, 14 yards (accepted) (no play)",0.370,2.650
3,2:39,1,10,DET 44,31,24,Austin Ekeler left guard for 4 yards (tackle by Tracy Walker),2.650,2.650
3,2:08,2,6,DET 40,31,24,Austin Ekeler left end for 17 yards (tackle by Kerby Joseph and Romeo Okwara),2.650,4.040
3,1:32,1,10,DET 23,31,24,Justin Herbert pass complete short right to Derius Davis for -2 yards (tackle by Cameron Sutton),4.040,3.230
3,0:58,2,12,DET 25,31,24,Justin Herbert pass complete short right to Quentin Johnston for 17 yards (tackle by Derrick Barnes),3.230,5.370
3,0:11,1,8,DET 8,31,24,Austin Ekeler up the middle for 2 yards (tackle by Romeo Okwara),5.370,4.950
Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DET 6,31,24,Austin Ekeler up the middle for 5 yards (tackle by Kerby Joseph and Derrick Barnes),4.950,5.170
4,14:18,3,1,DET 1,31,24,Austin Ekeler right tackle for no gain (tackle by Aidan Hutchinson and Will Harris),5.170,3.550
4,13:38,4,1,DET 1,31,24,Justin Herbert pass incomplete intended for Quentin Johnston. Penalty on Cameron Sutton: Defensive Pass Interference (accepted) (no play),3.550,6.970
4,13:32,1,1,DET 1,31,24,Justin Herbert up the middle for no gain (tackle by Benito Jones and Malcolm Rodriguez),6.970,5.910
4,12:51,2,1,DET 1,31,24,Justin Herbert up the middle for no gain (tackle by Malcolm Rodriguez and Alim McNeill),5.910,5.170
4,12:14,3,1,DET 1,31,24,Austin Ekeler right end for no gain (tackle by Malcolm Rodriguez),5.170,3.550
4,11:33,4,1,DET 1,31,30,"Justin Herbert pass complete short middle to Quentin Johnston for 1 yard, touchdown",3.550,7.000
4,11:30,,,DET 15,31,31,Cameron Dicker kicks extra point good,0.000,0.000
4,11:30,,,LAC 35,31,31,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,11:30,1,10,DET 25,31,31,Jared Goff pass complete short middle to Jahmyr Gibbs for 14 yards (tackle by Khalil Mack),0.610,1.530
4,10:50,1,10,DET 39,31,31,Jahmyr Gibbs right guard for 2 yards (tackle by Ja'Sir Taylor),1.530,1.260
4,10:09,2,8,DET 41,31,31,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Derwin James),1.260,1.360
4,9:30,3,2,DET 47,31,31,Jared Goff pass complete deep left to Sam LaPorta for 19 yards (tackle by Alohi Gilman),1.360,3.310
4,8:49,1,10,LAC 34,31,31,Jahmyr Gibbs left end for 3 yards (tackle by Kenneth Murray and Derwin James),3.310,3.180
4,8:09,2,7,LAC 31,31,31,Amon-Ra St. Brown left end for 6 yards (tackle by Derwin James),3.180,3.270
4,7:35,3,1,LAC 25,37,31,"Jared Goff pass complete deep middle to Brock Wright for 25 yards, touchdown",3.270,7.000
4,7:30,,,LAC 15,38,31,Riley Patterson kicks extra point good,0.000,0.000
4,7:30,,,DET 35,38,31,"Jack Fox kicks off 60 yards, returned by Derius Davis for 27 yards (tackle by Khalil Dorsey)",0.000,1.070
4,7:24,1,10,LAC 32,38,31,Justin Herbert pass complete short left to Jalen Guyton for 11 yards (tackle by Benito Jones),1.070,1.800
4,6:45,1,10,LAC 43,38,31,Austin Ekeler up the middle for 7 yards (tackle by Tracy Walker and Alex Anzalone),1.800,2.200
4,6:13,2,3,LAC 50,38,31,Austin Ekeler up the middle for 3 yards (tackle by Benito Jones and Alim McNeill),2.200,2.460
4,5:46,1,10,DET 47,38,31,Austin Ekeler left tackle for no gain (tackle by Alim McNeill),2.460,1.910
4,5:12,2,10,DET 47,38,31,Justin Herbert pass complete short middle to Quentin Johnston for 9 yards (tackle by Jerry Jacobs),1.910,2.410
4,4:28,3,1,DET 38,38,31,Austin Ekeler up the middle for no gain (tackle by Julian Okwara),2.410,0.720
4,3:42,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:42,4,1,DET 38,38,37,"Justin Herbert pass complete deep right to Keenan Allen for 38 yards, touchdown",0.720,7.000
4,3:34,,,DET 15,38,38,Cameron Dicker kicks extra point good,0.000,0.000
4,3:34,,,LAC 35,38,38,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,3:34,1,10,DET 25,38,38,Jared Goff pass complete short left to Kalif Raymond for 41 yards (tackle by Derwin James and Eric Kendricks),0.610,3.310
4,2:47,1,10,LAC 34,38,38,David Montgomery right end for -1 yards (tackle by Khalil Mack),3.310,2.640
4,2:00,2,11,LAC 35,38,38,Jared Goff pass complete short right to Jahmyr Gibbs for -3 yards (tackle by Kenneth Murray),2.640,1.550
4,1:51,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:51,3,14,LAC 38,38,38,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Ja'Sir Taylor),1.550,1.860
4,1:47,4,2,LAC 26,38,38,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Derwin James and Deane Leonard),1.860,4.240
4,1:40,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:40,1,10,LAC 20,38,38,Jared Goff kneels for -1 yards,4.240,3.560
4,0:57,2,11,LAC 21,38,38,Jared Goff kneels for no gain,3.560,2.810
4,0:31,3,12,LAC 21,38,38,Jared Goff kneels for -1 yards,2.810,1.990
4,0:02,,,,,,Timeout #1 by Detroit Lions,,
4,0:02,4,12,LAC 22,41,38,Riley Patterson 41 yard field goal good,1.990,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
