Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
2,12:52,1,10,OAK 38,0,6,Kenbrell Thompkins right end for 7 yards (tackle by Donte Whitner),1.470,1.870
2,12:08,2,3,OAK 45,0,6,Maurice Jones-Drew left guard for 2 yards (tackle by Jabaal Sheard),1.870,1.420
2,11:39,3,1,OAK 47,0,6,Jamize Olawale left guard for no gain (tackle by Donte Whitner),1.420,-0.260
2,11:08,4,1,OAK 47,0,6,"Marquette King punts 40 yards, fair catch by Jim Leonhard",-0.260,0.280
2,11:00,1,10,CLE 14,0,6,Brian Hoyer pass complete short middle to Jordan Cameron for 18 yards (tackle by Brandian Ross),-0.280,1.070
2,10:24,1,10,CLE 32,0,6,Terrance West left guard for 6 yards (tackle by Denico Autry),1.070,1.340
2,9:55,2,4,CLE 38,0,6,Terrance West right guard for -1 yards (tackle by Sio Moore),1.340,0.500
2,9:18,3,5,CLE 37,0,6,Brian Hoyer pass complete short left to Andrew Hawkins for 7 yards (tackle by Carlos Rogers),0.500,0.500
2,8:55,3,5,CLE 37,0,6,Timeout #1 by Oakland Raiders,0.500,1.860
2,8:55,1,10,CLE 44,0,6,Brian Hoyer pass complete deep middle to Andrew Hawkins for 17 yards (tackle by Tarell Brown),1.860,2.980
2,8:17,1,10,OAK 39,0,6,Terrance West right guard for no gain (tackle by Miles Burris),2.980,2.440
2,7:38,2,10,OAK 39,0,6,"Brian Hoyer pass complete deep middle to Jordan Cameron for 21 yards (tackle by Brandian Ross). Penalty on Brandian Ross: Unnecessary Roughness, 9 yards",2.440,5.140
2,7:15,1,9,OAK 9,0,6,Terrance West left guard for -1 yards (tackle by Khalil Mack),5.140,4.190
2,6:44,2,10,OAK 10,0,6,Brian Hoyer pass incomplete short right intended for Terrance West,4.190,3.130
2,6:44,3,10,OAK 10,0,6,"Penalty on Gary Barnidge: False Start, 5 yards (no play)",3.130,2.930
2,6:38,3,15,OAK 15,0,6,Brian Hoyer pass complete short middle to Taylor Gabriel for 12 yards (tackle by Charles Woodson),2.930,3.040
2,5:54,4,3,OAK 3,0,6,"Billy Cundiff 20 yard field goal good. Penalty on Joel Bitonio: Illegal Formation, 5 yards (no play)",3.040,2.950
2,5:51,4,8,OAK 8,0,9,Billy Cundiff 26 yard field goal good,2.950,3.000
2,5:51,,,CLE 35,0,9,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
2,5:45,1,10,OAK 20,0,9,Derek Carr pass complete short right to Marcel Reece for 3 yards (tackle by Barkevious Mingo),0.280,0.140
2,5:25,2,7,OAK 23,0,9,Darren McFadden left guard for 2 yards (tackle by John Hughes),0.140,-0.300
2,4:44,3,5,OAK 25,0,9,Derek Carr pass complete short right to James Jones for 13 yards (tackle by Joe Haden). Penalty on Joe Haden: Defensive Holding (Declined),-0.300,1.470
2,4:23,1,10,OAK 38,0,9,Derek Carr pass complete short right to Darren McFadden for 8 yards (tackle by Christian Kirksey),1.470,2.000
2,3:51,2,2,OAK 46,0,9,Derek Carr pass complete deep middle to Mychal Rivera for 22 yards (tackle by Craig Robertson),2.000,3.450
2,3:07,1,10,CLE 32,0,9,Derek Carr sacked by Paul Kruger for -2 yards,3.450,2.630
2,2:22,2,12,CLE 34,0,9,Derek Carr pass complete short middle to Andre Holmes for 7 yards (tackle by Justin Gilbert),2.630,2.870
2,2:00,3,5,CLE 27,0,9,Derek Carr pass incomplete short left intended for James Jones (defended by Justin Gilbert),2.870,1.720
2,1:55,4,5,CLE 27,3,9,Sebastian Janikowski 46 yard field goal good,1.720,3.000
2,1:55,,,OAK 35,3,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,1:50,1,10,CLE 20,3,9,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",0.280,-0.310
2,1:50,1,15,CLE 15,3,9,Brian Hoyer pass incomplete short left intended for Gary Barnidge (defended by Carlos Rogers),-0.310,-1.070
2,1:47,2,15,CLE 15,3,9,"Penalty on Miles Austin: False Start, 5 yards (no play)",-1.070,-1.510
2,1:47,2,20,CLE 10,3,9,Ben Tate left guard for 5 yards (tackle by Sio Moore),-1.510,-1.510
2,1:41,2,20,CLE 10,3,9,Timeout #2 by Oakland Raiders,-1.510,-1.860
2,1:41,3,15,CLE 15,3,9,Ben Tate right guard for 6 yards (tackle by Miles Burris and Justin Tuck),-1.860,-1.860
2,1:35,3,15,CLE 15,3,9,Timeout #3 by Oakland Raiders,-1.860,-1.960
2,1:35,4,9,CLE 21,3,9,"Spencer Lanning punts 50 yards, returned by Travis Carrie for 8 yards (tackle by Marlon Moore)",-1.960,-1.400
2,1:24,1,10,OAK 37,3,9,Derek Carr pass complete deep right to Andre Holmes for 31 yards (tackle by Justin Gilbert),1.400,3.450
2,0:45,1,10,CLE 32,3,9,"Penalty on James Jones: False Start, 5 yards (no play)",3.450,3.120
2,0:34,1,15,CLE 37,3,9,Derek Carr pass complete short left to Kenbrell Thompkins for 15 yards (tackle by Joe Haden),3.120,4.110
2,0:18,1,10,CLE 22,3,9,Derek Carr spiked the ball,4.110,3.560
2,0:18,2,10,CLE 22,3,9,Derek Carr pass complete short right to Kenbrell Thompkins for 2 yards (tackle by Buster Skrine),3.560,3.140
2,0:02,3,8,CLE 20,3,9,Derek Carr spiked the ball,3.140,2.120
2,0:02,4,8,CLE 20,6,9,Sebastian Janikowski 38 yard field goal good,2.120,3.000
Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,6,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CLE 20,6,9,Ben Tate right guard for no gain (tackle by Miles Burris),0.280,-0.270
3,14:28,2,10,CLE 20,6,9,Brian Hoyer for 2 yards (tackle by Carlos Rogers),-0.270,-0.690
3,14:00,3,8,CLE 22,6,9,Brian Hoyer pass incomplete deep middle intended for Taylor Gabriel,-0.690,-1.900
3,13:55,4,8,CLE 22,6,9,"Spencer Lanning punts 54 yards, returned by Travis Carrie for 6 yards (tackle by Johnson Bademosi)",-1.900,-0.940
3,13:43,1,10,OAK 30,6,9,Darren McFadden left guard for 3 yards (tackle by Desmond Bryant),0.940,0.800
3,13:03,2,7,OAK 33,6,9,Derek Carr pass complete short right to James Jones for 2 yards (tackle by Karlos Dansby and Desmond Bryant),0.800,0.370
3,12:23,3,5,OAK 35,6,9,Derek Carr pass incomplete short right intended for Darren McFadden,0.370,-1.040
3,12:15,4,5,OAK 35,6,9,Marquette King punts 37 yards,-1.040,-0.810
3,12:06,1,10,CLE 28,6,9,Brian Hoyer pass complete short middle to Isaiah Crowell for 8 yards (tackle by Sio Moore),0.810,1.340
3,11:31,2,2,CLE 36,6,9,Isaiah Crowell left tackle for 1 yard (tackle by Benson Mayowa and Sio Moore),1.340,0.760
3,10:52,3,1,CLE 37,6,9,Brian Hoyer pass incomplete short right intended for Andrew Hawkins,0.760,-0.910
3,10:49,4,1,CLE 37,6,9,"Spencer Lanning punts 41 yards, fair catch by Travis Carrie",-0.910,-0.410
3,10:42,1,10,OAK 22,6,9,"Darren McFadden right guard for 3 yards (tackle by Karlos Dansby). Penalty on Austin Howard: Offensive Holding, 10 yards (no play)",0.410,-0.660
3,10:16,1,20,OAK 12,6,9,"Derek Carr sacked by Paul Kruger for -8 yards. Derek Carr fumbles (forced by Paul Kruger), recovered by Stefen Wisniewski at OAK-9",-0.660,-0.660
3,9:40,1,20,OAK 12,6,9,Timeout #1 by Oakland Raiders,-0.660,-1.730
3,9:40,2,23,OAK 9,6,9,Derek Carr pass incomplete short right intended for Marcel Reece,-1.730,-2.940
3,9:40,3,23,OAK 9,6,9,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",-2.940,-3.530
3,9:36,3,28,OAK 4,6,9,Darren McFadden left guard for 9 yards (tackle by Karlos Dansby and Jabaal Sheard),-3.530,-2.490
3,8:54,4,19,OAK 13,6,9,"Marquette King punts 51 yards, returned by Travis Benjamin for -3 yards (tackle by Jamize Olawale). Travis Benjamin fumbles (forced by Jamize Olawale), recovered by Eric Martin at CLE-30 (tackle by Mychal Rivera)",-2.490,-0.940
3,8:38,1,10,CLE 30,6,9,Brian Hoyer pass complete short right to Miles Austin for 22 yards (tackle by Sio Moore),0.940,2.390
3,8:13,1,10,OAK 48,6,9,Terrance West left guard for -1 yards (tackle by Khalil Mack and Denico Autry),2.390,1.710
3,7:44,2,11,OAK 49,6,9,Brian Hoyer pass incomplete short middle intended for Travis Benjamin,1.710,1.030
3,7:41,3,11,OAK 49,6,9,"Penalty on Nick McDonald: False Start, 5 yards (no play)",1.030,0.370
3,7:41,3,16,CLE 46,6,9,Brian Hoyer pass complete short middle to Terrance West for 10 yards (tackle by Miles Burris),0.370,0.330
3,7:03,4,6,OAK 44,6,9,"Spencer Lanning punts 35 yards, fair catch by Travis Carrie",0.330,0.380
3,6:56,1,10,OAK 9,6,9,Derek Carr pass complete short left to Darren McFadden for 7 yards (tackle by Joe Haden),-0.380,-0.160
3,6:24,2,3,OAK 16,6,9,Darren McFadden left tackle for -3 yards (tackle by Joe Haden),-0.160,-0.950
3,5:43,3,6,OAK 13,6,9,Derek Carr pass complete short left to Darren McFadden for 10 yards (tackle by Christian Kirksey),-0.950,0.480
3,5:05,1,10,OAK 23,6,9,Maurice Jones-Drew right guard for 1 yard (tackle by Craig Robertson),0.480,0.070
3,4:25,2,9,OAK 24,6,9,Derek Carr pass complete deep right to Marcel Reece for 19 yards,0.070,1.800
3,3:56,1,10,OAK 43,6,9,Derek Carr pass incomplete short left intended for James Jones,1.800,1.250
3,3:51,2,10,OAK 43,6,9,Darren McFadden right guard for 2 yards (tackle by Donte Whitner and Christian Kirksey),1.250,0.830
3,3:10,3,8,OAK 45,6,9,Derek Carr pass complete short left to Kenbrell Thompkins for 12 yards (tackle by Tashaun Gipson),0.830,2.720
3,2:29,1,10,CLE 43,6,9,Darren McFadden right guard for 5 yards (tackle by Paul Kruger and Ishmaa'ily Kitchen),2.720,2.850
3,1:51,2,5,CLE 38,6,9,Derek Carr pass complete short left to Denarius Moore for 5 yards (tackle by Joe Haden),2.850,3.380
3,1:12,1,10,CLE 33,6,9,Derek Carr pass complete short right to Marcel Reece for 4 yards (tackle by Buster Skrine),3.380,3.380
3,0:35,2,6,CLE 29,6,9,"Darren McFadden right guard for 9 yards (tackle by Donte Whitner). Darren McFadden fumbles (forced by Donte Whitner), recovered by Joe Haden at CLE-13 and returned for 34 yards (tackle by Jamize Olawale)",3.380,-2.060
3,0:23,1,10,CLE 47,6,9,Brian Hoyer pass complete deep right to Andrew Hawkins for 32 yards (tackle by Charles Woodson),2.060,4.170
Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,OAK 21,6,9,Brian Hoyer pass complete short right to Jim Dray for 16 yards (tackle by Charles Woodson),4.170,6.060
4,14:50,1,5,OAK 5,6,9,Ben Tate right end for 1 yard (tackle by Brandian Ross),6.060,5.340
4,14:21,2,4,OAK 4,6,15,"Brian Hoyer pass complete short left to Andrew Hawkins for 4 yards, touchdown",5.340,7.000
4,14:21,,,OAK 2,6,16,Billy Cundiff kicks extra point good,0.000,0.000
4,14:21,,,CLE 35,6,16,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
4,14:17,1,10,OAK 20,6,16,Derek Carr pass complete short right to Marcel Reece for 9 yards (tackle by Joe Haden),0.280,0.950
4,13:50,2,1,OAK 29,6,16,Darren McFadden left guard for 1 yard (tackle by John Hughes and Ishmaa'ily Kitchen),0.950,0.940
4,13:11,1,10,OAK 30,6,16,"Derek Carr pass complete deep right to Andre Holmes for 16 yards. Penalty on Andre Holmes: Offensive Pass Interference, 10 yards (no play)",0.940,0.280
4,13:11,1,20,OAK 20,6,16,Derek Carr pass complete short left to Marcel Reece for -1 yards (tackle by Tashaun Gipson),0.280,-1.150
4,12:06,2,21,OAK 19,6,16,Derek Carr pass incomplete deep left intended for Kenbrell Thompkins,-1.150,-1.870
4,12:00,3,21,OAK 19,6,16,Derek Carr pass complete short left to Mychal Rivera for 6 yards (tackle by Christian Kirksey),-1.870,-1.700
4,11:20,4,15,OAK 25,6,16,"Marquette King punts 52 yards, fair catch by Jim Leonhard",-1.700,-0.480
4,11:12,1,10,CLE 23,6,16,Brian Hoyer pass complete short right to Andrew Hawkins for 10 yards (tackle by Miles Burris),0.480,1.140
4,10:24,1,10,CLE 33,6,16,"Terrance West left guard for 11 yards (tackle by Brandian Ross). Penalty on CLE: Illegal Formation, 5 yards (no play)",1.140,0.810
4,10:01,1,15,CLE 28,6,16,Terrance West left tackle for 1 yard (tackle by Sio Moore),0.810,0.050
4,9:24,2,14,CLE 29,6,16,Brian Hoyer pass complete short middle to Jim Dray for 11 yards (tackle by Khalil Mack),0.050,0.830
4,8:42,3,3,CLE 40,6,16,Brian Hoyer sacked by Justin Tuck for -8 yards,0.830,-1.240
4,8:01,4,11,CLE 32,6,16,"Spencer Lanning punts 48 yards, returned by Travis Carrie for 9 yards (tackle by Tank Carder)",-1.240,-0.870
4,7:51,1,10,OAK 29,6,16,"Penalty on Menelik Watson: False Start, 5 yards (no play)",0.870,0.540
4,7:51,1,15,OAK 24,6,16,Derek Carr pass incomplete deep right intended for Kenbrell Thompkins (defended by Joe Haden),0.540,-0.350
4,7:46,2,15,OAK 24,6,16,Derek Carr pass complete short right to Mychal Rivera for 10 yards (tackle by Donte Whitner),-0.350,0.300
4,7:02,3,5,OAK 34,6,16,Derek Carr pass incomplete short right intended for James Jones (defended by Joe Haden),0.300,-1.110
4,6:59,4,5,OAK 34,6,16,Marquette King punts 45 yards,-1.110,-0.410
4,6:48,1,10,CLE 22,6,16,Ben Tate left guard for 3 yards (tackle by Khalil Mack and Miles Burris),0.410,0.270
4,6:08,2,7,CLE 25,6,16,Ben Tate left guard for 3 yards (tackle by Miles Burris),0.270,-0.030
4,5:29,3,4,CLE 28,6,16,Brian Hoyer pass complete short right to Miles Austin for 12 yards (tackle by Travis Carrie and Charles Woodson),-0.030,1.600
4,4:53,1,10,CLE 40,6,16,Ben Tate left tackle for no gain (tackle by Benson Mayowa and C.J. Wilson),1.600,1.050
4,4:12,2,10,CLE 40,6,16,Ben Tate left guard for 4 yards (tackle by Sio Moore),1.050,1.050
4,4:06,2,10,CLE 40,6,16,Timeout #2 by Oakland Raiders,1.050,0.890
4,4:06,3,6,CLE 44,6,16,Brian Hoyer pass complete short left to Andrew Hawkins for 4 yards (tackle by Tarell Brown),0.890,0.890
4,3:57,3,6,CLE 44,6,16,Timeout #3 by Oakland Raiders,0.890,-0.190
4,3:57,4,2,CLE 48,6,16,"Spencer Lanning punts 40 yards, returned by Denarius Moore for 1 yard (tackle by Craig Robertson)",-0.190,0.320
4,3:48,1,10,OAK 13,6,16,Derek Carr pass complete short right to Darren McFadden for 1 yard (tackle by Karlos Dansby),-0.320,-0.680
4,3:20,2,9,OAK 14,6,16,--,-0.680,-5.140
4,3:14,1,9,OAK 9,6,16,Ben Tate right guard for 4 yards (tackle by Charles Woodson and Tarell Brown),5.140,5.150
4,3:13,2,5,OAK 5,6,22,"Ben Tate left guard for 5 yards, touchdown",5.150,7.000
4,3:13,,,OAK 2,6,23,Billy Cundiff kicks extra point good,0.000,0.000
4,3:13,,,CLE 35,6,23,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
4,2:26,1,10,OAK 20,6,23,Derek Carr pass incomplete short right intended for James Jones,0.280,-0.270
4,2:22,2,10,OAK 20,6,23,Derek Carr pass incomplete short left intended for James Jones,-0.270,-0.960
4,2:18,3,10,OAK 20,6,23,Derek Carr pass incomplete short left intended for Andre Holmes (defended by Buster Skrine),-0.960,-2.030
4,2:14,4,10,OAK 20,6,23,Derek Carr pass complete short middle to James Jones for 16 yards (tackle by Buster Skrine). Penalty on Buster Skrine: Defensive Holding (Declined),-2.030,1.330
4,2:08,1,10,OAK 36,6,23,Derek Carr pass incomplete short right intended for Kenbrell Thompkins,1.330,0.790
4,2:03,2,10,OAK 36,6,23,Derek Carr pass incomplete short right intended for Mychal Rivera,0.790,0.100
4,1:59,3,10,OAK 36,6,23,Derek Carr pass complete short middle to Brice Butler for 9 yards (tackle by Justin Gilbert),0.100,-0.390
4,1:33,4,1,OAK 45,6,23,Derek Carr up the middle for 2 yards (tackle by Jabaal Sheard),-0.390,-0.390
4,1:27,4,1,OAK 45,6,23,Timeout #1 by Cleveland Browns,-0.390,2.060
4,1:27,1,10,OAK 47,6,23,Derek Carr pass complete short left to Maurice Jones-Drew for 6 yards (tackle by Jim Leonhard and Karlos Dansby),2.060,2.330
4,0:55,2,4,CLE 47,6,23,Derek Carr pass complete short right to James Jones for 16 yards (tackle by Buster Skrine),2.330,3.510
4,0:49,1,10,CLE 31,6,23,Derek Carr pass incomplete short right intended for Maurice Jones-Drew,3.510,2.970
4,0:45,2,10,CLE 31,6,23,Derek Carr pass complete short left to Mychal Rivera for 6 yards (tackle by Buster Skrine),2.970,3.070
4,0:40,3,4,CLE 25,6,23,Derek Carr sacked by Paul Kruger for -7 yards. Penalty on Menelik Watson: Illegal Use of Hands (Declined),3.070,1.240
4,0:34,4,11,CLE 32,6,23,Derek Carr pass complete deep middle to Mychal Rivera for 22 yards (tackle by Donte Whitner),1.240,4.910
4,0:15,1,10,CLE 10,6,23,Derek Carr spiked the ball,4.910,4.190
4,0:15,2,10,CLE 10,6,23,Derek Carr pass incomplete short left intended for Brice Butler (defended by Justin Gilbert),4.190,3.130
4,0:12,3,10,CLE 10,12,23,"Derek Carr pass complete short left to Andre Holmes for 10 yards, touchdown",3.130,7.000
4,0:12,,,CLE 2,13,23,Sebastian Janikowski kicks extra point good,0.000,0.000
4,0:12,,,OAK 35,13,23,Sebastian Janikowski kicks onside 18 yards,0.000,-2.060
4,0:07,1,10,CLE 47,13,23,Brian Hoyer kneels for -1 yards,2.060,1.380
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
