Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
2,9:36,3,6,ATL 24,10,7,Matt Ryan sacked by Sheldon Richardson for -8 yards,-0.430,-2.390
2,9:07,4,14,ATL 16,10,7,"Matthew Bosher punts 55 yards, returned by Jeremy Kerley for 5 yards (tackle by Robert Alford)",-2.390,-1.200
2,8:56,1,10,NYJ 34,10,7,Bilal Powell right guard for 3 yards (tackle by Jonathan Babineaux),1.200,1.060
2,8:17,2,7,NYJ 37,10,7,Geno Smith pass complete deep right to Jeff Cumberland for 47 yards (tackle by Asante Samuel),1.060,4.510
2,7:29,1,10,ATL 16,16,7,"Geno Smith pass complete short right to Jeremy Kerley for 16 yards, touchdown",4.510,7.000
2,7:29,,,ATL 2,17,7,Nick Folk kicks extra point good,0.000,0.000
2,7:29,,,NYJ 35,17,7,"Nick Folk kicks off 64 yards, returned by Jacquizz Rodgers for 23 yards (tackle by Nick Bellore)",0.000,-0.540
2,7:13,1,10,ATL 24,17,7,Jason Snelling right guard for 3 yards (tackle by Demario Davis and Sheldon Richardson),0.540,0.400
2,6:29,2,7,ATL 27,17,7,Matt Ryan pass complete short left to Tony Gonzalez for 14 yards (tackle by Demario Davis),0.400,1.660
2,5:47,1,10,ATL 41,17,7,Jason Snelling right guard for 4 yards (tackle by Jaiquawn Jarrett and Damon Harrison),1.660,1.660
2,5:02,2,6,ATL 45,17,7,Matt Ryan pass complete short left to Roddy White for 10 yards (tackle by Jaiquawn Jarrett),1.660,2.590
2,4:17,1,10,NYJ 45,17,7,Jacquizz Rodgers left end for no gain (tackle by Demario Davis),2.590,2.040
2,3:35,2,10,NYJ 45,17,7,Matt Ryan pass complete deep left to Julio Jones for 20 yards (tackle by Josh Bush),2.040,3.910
2,3:04,1,10,NYJ 25,17,7,Matt Ryan pass complete short left to Roddy White for 8 yards,3.910,4.550
2,2:41,2,2,NYJ 17,17,7,Jacquizz Rodgers left end for -3 yards (tackle by Kenrick Ellis),4.550,3.340
2,2:00,3,5,NYJ 20,17,7,Matt Ryan pass complete short left to Tony Gonzalez for 8 yards (tackle by Ellis Lankster),3.340,4.780
2,1:17,1,10,NYJ 12,17,7,Jason Snelling right tackle for 3 yards (tackle by David Harris and Jaiquawn Jarrett),4.780,4.640
2,0:37,2,7,NYJ 9,17,7,"Matt Ryan pass incomplete short middle intended for Roddy White. Penalty on David Harris: Defensive Holding, 5 yards (no play)",4.640,6.280
2,0:33,1,4,NYJ 4,17,7,Jason Snelling right tackle for -1 yards (tackle by Sheldon Richardson),6.280,6.280
2,0:28,1,4,NYJ 4,17,7,Timeout #1 by Atlanta Falcons,6.280,5.150
2,0:28,2,5,NYJ 5,17,7,Matt Ryan pass incomplete short left intended for Harry Douglas,5.150,4.260
2,0:24,3,5,NYJ 5,17,7,Matt Ryan pass complete short left to Julio Jones for 4 yards (tackle by Dawan Landry),4.260,4.260
2,0:07,3,5,NYJ 5,17,7,Timeout #2 by Atlanta Falcons,4.260,3.550
2,0:07,4,1,NYJ 1,17,7,Matt Ryan pass incomplete short right intended for Tony Gonzalez. Penalty on Demario Davis: Defensive Pass Interference (no play),3.550,6.970
2,0:01,1,1,NYJ 1,17,7,Jacquizz Rodgers right tackle for no gain (tackle by Sheldon Richardson),6.970,5.910
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,17,7,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,NYJ 20,17,7,Bilal Powell left guard for no gain (tackle by Osi Umenyiora and Stephen Nicholas),0.280,-0.270
3,14:20,2,10,NYJ 20,17,7,Chris Ivory right guard for 6 yards (tackle by Jonathan Babineaux and Omar Gaither),-0.270,-0.270
3,13:44,2,10,NYJ 20,17,7,Timeout #1 by Atlanta Falcons,-0.270,-0.160
3,13:44,3,4,NYJ 26,17,7,Geno Smith sacked by Osi Umenyiora for -8 yards,-0.160,-2.240
3,13:25,4,12,NYJ 18,17,7,"Ryan Quigley punts 47 yards, returned by Harry Douglas for 15 yards (tackle by Tanner Purdum)",-2.240,-2.260
3,13:13,1,10,,17,7,Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by Jaiquawn Jarrett),2.260,3.250
3,12:36,1,10,NYJ 35,17,7,Jacquizz Rodgers right end for -1 yards (tackle by Damon Harrison),3.250,2.570
3,11:57,2,11,NYJ 36,17,7,Matt Ryan pass complete short left to Levine Toilolo for 12 yards (tackle by Darrin Walls),2.570,3.970
3,11:17,1,10,NYJ 24,17,7,"Jacquizz Rodgers right tackle for 5 yards (tackle by Josh Bush and David Harris). Penalty on Peter Konz: Offensive Holding, 11 yards (no play)",3.970,3.250
3,10:54,1,21,NYJ 35,17,7,Matt Ryan pass complete short left to Jacquizz Rodgers for no gain,3.250,1.950
3,10:10,2,21,NYJ 35,17,7,Matt Ryan pass complete short right to Tony Gonzalez for 9 yards (tackle by Dawan Landry),1.950,2.480
3,9:29,3,12,NYJ 26,17,7,Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by David Harris and Dawan Landry),2.480,4.840
3,8:46,1,10,NYJ 11,17,7,Matt Ryan pass complete short right to Tony Gonzalez for 7 yards (tackle by David Harris),4.840,5.470
3,8:05,2,3,NYJ 4,17,13,"Jacquizz Rodgers left end for 4 yards, touchdown",5.470,7.000
3,8:05,,,NYJ 2,17,14,Matt Bryant kicks extra point good,0.000,0.000
3,8:05,,,ATL 35,17,14,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
3,7:59,1,10,NYJ 20,17,14,Bilal Powell right tackle for 4 yards (tackle by Paul Worrilow and Stephen Nicholas),0.280,0.270
3,7:18,2,6,NYJ 24,17,14,Geno Smith pass complete short right to Jeremy Kerley for 8 yards (tackle by Paul Worrilow),0.270,1.070
3,6:36,1,10,NYJ 32,17,14,Geno Smith pass incomplete short middle intended for Bilal Powell (defended by Corey Peters),1.070,0.530
3,6:29,2,10,NYJ 32,17,14,Bilal Powell left guard for 5 yards (tackle by Peria Jerry),0.530,0.500
3,5:49,3,5,NYJ 37,17,14,Geno Smith pass incomplete deep left intended for Jeremy Kerley (defended by Desmond Trufant),0.500,-0.910
3,5:42,4,5,NYJ 37,17,14,"Ryan Quigley punts 45 yards, fair catch by Harry Douglas",-0.910,-0.040
3,5:34,1,10,ATL 18,17,14,Matt Ryan pass complete short left to Jason Snelling for 8 yards (tackle by Demario Davis),0.040,0.680
3,4:49,2,2,ATL 26,17,14,Jason Snelling right tackle for 1 yard (tackle by David Harris),0.680,-0.020
3,4:07,3,1,ATL 27,17,14,Matt Ryan pass complete short middle to Jason Snelling for 4 yards (tackle by David Harris and Demario Davis),-0.020,1.000
3,3:25,1,10,ATL 31,17,14,"Matt Ryan sacked by Muhammad Wilkerson for -7 yards. Matt Ryan fumbles (forced by Muhammad Wilkerson), recovered by Leger Douzable at ATL-27",1.000,-3.780
3,3:17,1,10,ATL 27,17,14,Geno Smith pass complete short right to Bilal Powell for 9 yards (tackle by William Moore and Stephen Nicholas),3.780,4.530
3,2:50,2,1,ATL 18,17,14,Bilal Powell left end for 3 yards (tackle by Stephen Nicholas),4.530,4.580
3,2:12,1,10,ATL 15,17,14,Geno Smith sacked by Corey Peters for -10 yards,4.580,2.670
3,1:32,2,20,ATL 25,17,14,Geno Smith pass incomplete short middle intended for Jeff Cumberland,2.670,2.010
3,1:28,3,20,ATL 25,17,14,Geno Smith left end for 7 yards (tackle by Robert McClain),2.010,2.250
3,0:45,4,13,ATL 18,20,14,Nick Folk 36 yard field goal good,2.250,3.000
3,0:45,,,NYJ 35,20,14,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
3,0:39,1,10,ATL 20,20,14,Jacquizz Rodgers right tackle for 9 yards (tackle by Darrin Walls),0.280,0.950
3,0:15,2,1,ATL 29,20,14,Jacquizz Rodgers right tackle for -1 yards (tackle by Muhammad Wilkerson),0.950,0.100
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,ATL 28,20,14,"Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Demario Davis). Penalty on Roddy White: Offensive Pass Interference, 10 yards (no play)",0.100,-1.330
4,14:28,3,12,ATL 18,20,14,Matt Ryan pass incomplete deep right intended for Julio Jones,-1.330,-2.240
4,14:23,4,12,ATL 18,20,14,"Matthew Bosher punts 44 yards, returned by Jeremy Kerley for 24 yards (tackle by Matthew Bosher). Penalty on Matthew Bosher: Horse Collar Tackle, 15 yards",-2.240,-4.040
4,14:08,1,10,ATL 23,20,14,Chris Ivory left guard for 19 yards (tackle by William Moore),4.040,6.280
4,13:32,1,4,ATL 4,20,14,Chris Ivory right guard for 1 yard (tackle by Paul Worrilow and Malliciah Goodman),6.280,5.530
4,12:48,2,3,ATL 3,20,14,Bilal Powell right tackle for 2 yards (tackle by Stephen Nicholas and Omar Gaither),5.530,5.170
4,12:05,3,1,ATL 1,26,14,"Geno Smith pass complete short right to Kellen Winslow for 1 yard, touchdown",5.170,7.000
4,12:05,,,ATL 2,27,14,Nick Folk kicks extra point good,0.000,0.000
4,12:05,,,NYJ 35,27,14,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
4,11:59,1,10,ATL 20,27,14,Matt Ryan pass complete short right to Tony Gonzalez for 12 yards (tackle by Antonio Allen),0.280,1.070
4,11:32,1,10,ATL 32,27,14,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Sheldon Richardson),1.070,0.530
4,11:28,2,10,ATL 32,27,14,Matt Ryan pass complete short middle to Julio Jones for 12 yards (tackle by Antonio Allen),0.530,1.860
4,10:53,1,10,ATL 44,27,14,Matt Ryan pass complete short left to Jacquizz Rodgers for 5 yards (tackle by Demario Davis),1.860,1.990
4,10:26,2,5,ATL 49,27,14,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by David Harris),1.990,2.590
4,9:59,1,10,NYJ 45,27,14,Matt Ryan pass complete short right to Harry Douglas for 7 yards (tackle by Darrin Walls),2.590,2.990
4,9:21,2,3,NYJ 38,27,14,Matt Ryan pass incomplete deep left intended for Julio Jones,2.990,2.280
4,9:13,3,3,NYJ 38,27,14,Matt Ryan pass complete short right to Kevin Cone for 12 yards (tackle by David Harris),2.280,3.840
4,8:45,1,10,NYJ 26,27,14,Matt Ryan pass complete short right to Tony Gonzalez for 7 yards (tackle by Josh Bush),3.840,4.270
4,8:10,2,3,NYJ 19,27,20,"Jacquizz Rodgers right guard for 19 yards, touchdown",4.270,7.000
4,8:10,,,NYJ 2,27,21,Matt Bryant kicks extra point good,0.000,0.000
4,8:10,,,ATL 35,27,21,"Matthew Bosher kicks off 64 yards, returned by Clyde Gates for 18 yards (tackle by Kevin Cone)",0.000,-0.150
4,7:58,1,10,NYJ 19,27,21,Bilal Powell left tackle for 6 yards (tackle by Stephen Nicholas),0.150,0.480
4,7:16,2,4,NYJ 25,27,21,Geno Smith sacked by Osi Umenyiora for -8 yards,0.480,-1.420
4,7:12,3,12,NYJ 17,27,21,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",-1.420,-2.240
4,6:29,3,17,NYJ 12,27,21,Geno Smith pass complete short right to Jeremy Kerley for 10 yards (tackle by Paul Worrilow),-2.240,-1.900
4,5:52,4,7,NYJ 22,27,21,"Ryan Quigley punts 48 yards, returned by Harry Douglas for 7 yards (tackle by Nick Bellore)",-1.900,-1.400
4,5:40,1,10,ATL 37,27,21,"Matt Ryan pass complete deep left to Julio Jones for 27 yards. Penalty on Julio Jones: Offensive Pass Interference, 10 yards (no play)",1.400,0.740
4,5:35,1,20,ATL 27,27,21,Matt Ryan pass complete deep left to Julio Jones for 46 yards (tackle by Antonio Cromartie). Penalty on Antonio Cromartie: Defensive Pass Interference (Declined),0.740,3.780
4,5:12,1,10,NYJ 27,27,21,Matt Ryan pass incomplete deep middle intended for Harry Douglas (defended by Darrin Walls),3.780,3.230
4,5:06,2,10,NYJ 27,27,21,Matt Ryan pass complete short left to Jacquizz Rodgers for 9 yards (tackle by David Harris),3.230,3.840
4,4:22,3,1,NYJ 18,27,21,Matt Ryan pass incomplete short right intended for Tony Gonzalez,3.840,2.400
4,4:15,4,1,NYJ 18,27,21,Matt Ryan pass complete short left to Tony Gonzalez for 4 yards (tackle by Kyle Wilson),2.400,4.650
4,3:37,1,10,NYJ 14,27,21,Antone Smith left tackle for 8 yards (tackle by Demario Davis and David Harris),4.650,5.470
4,2:57,2,2,NYJ 6,27,21,Matt Ryan pass complete short right to Harry Douglas for -1 yards (tackle by Darrin Walls),5.470,4.500
4,2:16,3,3,NYJ 7,27,21,Matt Ryan pass incomplete short middle intended for Julio Jones,4.500,2.990
4,2:12,4,3,NYJ 7,27,21,"Matt Ryan pass incomplete short right intended for Jacquizz Rodgers. Penalty on Demario Davis: Defensive Holding, 4 yards (no play)",2.990,6.510
4,2:07,1,3,NYJ 3,27,21,Jacquizz Rodgers left guard for no gain (tackle by Dawan Landry and Sheldon Richardson),6.510,5.530
4,2:00,2,3,NYJ 3,27,27,"Matt Ryan pass complete short right to Levine Toilolo for 3 yards, touchdown",5.530,7.000
4,2:00,,,NYJ 2,27,28,Matt Bryant kicks extra point good,0.000,0.000
4,2:00,,,ATL 35,27,28,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
4,1:54,1,10,NYJ 20,27,28,Geno Smith pass complete short middle to Stephen Hill for 12 yards (tackle by Joplo Bartu),0.280,1.070
4,1:30,1,10,NYJ 32,27,28,Geno Smith pass complete short middle to Jeremy Kerley for 13 yards (tackle by Thomas DeCoud),1.070,1.930
4,1:07,1,10,NYJ 45,27,28,Geno Smith pass complete short right to Stephen Hill for 9 yards (tackle by William Moore),1.930,2.600
4,0:43,2,1,ATL 46,27,28,Geno Smith for 8 yards (tackle by Osi Umenyiora),2.600,3.050
4,0:37,1,10,ATL 38,27,28,Bilal Powell left tackle for 4 yards (tackle by Osi Umenyiora and Corey Peters),3.050,3.050
4,0:31,1,10,ATL 38,27,28,Timeout #1 by New York Jets,3.050,3.050
4,0:31,2,6,ATL 34,27,28,Geno Smith pass complete short left to Clyde Gates for 3 yards (tackle by Osi Umenyiora),3.050,3.050
4,0:25,2,6,ATL 34,27,28,Timeout #2 by New York Jets,3.050,2.740
4,0:25,3,3,ATL 31,27,28,Bilal Powell left tackle for 6 yards (tackle by Peria Jerry),2.740,2.740
4,0:03,3,3,ATL 31,27,28,Timeout #3 by New York Jets,2.740,3.910
4,0:03,1,10,ATL 25,30,28,Nick Folk 43 yard field goal good,3.910,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
