Quarter,Time,Down,ToGo,Location,IND,LAR,Detail,EPB,EPA
2,7:41,4,21,IND 14,3,17,"Rigoberto Sanchez punts 51 yards, returned by Tavon Austin for 7 yards (tackle by Kenny Moore)",-2.470,-1.730
2,7:29,1,10,LAR 42,3,17,Jared Goff pass complete short right to Sammy Watkins for 24 yards (tackle by Malik Hooker),1.730,3.310
2,6:59,1,10,IND 34,3,17,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by Rashaan Melvin),3.310,3.450
2,6:37,2,5,IND 29,3,17,Todd Gurley middle for 7 yards (tackle by Rashaan Melvin),3.450,4.110
2,6:15,1,10,IND 22,3,17,Jared Goff pass incomplete short right intended for Robert Woods,4.110,3.560
2,6:11,2,10,IND 22,3,17,Jared Goff pass complete short left to Sammy Watkins for 4 yards (tackle by Nate Hairston),3.560,3.400
2,5:27,3,6,IND 18,3,23,"Jared Goff pass complete deep middle to Cooper Kupp for 18 yards, touchdown",3.400,7.000
2,5:20,,,IND 15,3,24,Greg Zuerlein kicks extra point good,0.000,0.000
2,5:20,,,LAR 35,3,24,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,5:20,1,10,IND 25,3,24,Scott Tolzien pass complete deep left to T.Y. Hilton for 32 yards (tackle by Kayvon Webster),0.610,2.720
2,4:49,1,10,LAR 43,3,24,Scott Tolzien sacked by Tyrunn Walker for -7 yards,2.720,1.230
2,4:07,2,17,,3,24,Scott Tolzien pass complete short right to Frank Gore for 10 yards (tackle by Lamarcus Joyner),1.230,1.880
2,3:19,3,7,LAR 40,3,24,Scott Tolzien pass incomplete short left intended for T.Y. Hilton,1.880,0.000
2,3:14,,,,,,Timeout #1 by Indianapolis Colts,0.000,-0.590
2,3:14,4,7,LAR 40,3,24,Scott Tolzien pass incomplete short middle intended for Jack Doyle,0.590,-1.600
2,3:08,1,10,LAR 40,3,24,"Todd Gurley right end for 12 yards (tackle by Darius Butler). Todd Gurley fumbles (forced by Darius Butler), ball out of bounds at IND-48",1.600,2.390
2,2:34,1,10,IND 48,3,24,Jared Goff pass complete short left to Todd Gurley for 23 yards (tackle by T.J. Green),2.390,3.910
2,2:00,1,10,IND 25,3,24,Todd Gurley right end for 1 yard (tackle by Johnathan Hankins),3.910,3.500
2,1:16,2,9,IND 24,3,24,Jared Goff pass incomplete short right intended for Derek Carrier,3.500,0.000
2,1:10,,,,,,Timeout #1 by Los Angeles Rams,0.000,-2.810
2,1:10,3,9,IND 24,3,24,Jared Goff pass complete short right to Todd Gurley for 7 yards (tackle by Jeremiah George),2.810,0.000
2,0:22,,,,,,Timeout #2 by Los Angeles Rams,0.000,-2.440
2,0:22,4,2,IND 17,3,27,Greg Zuerlein 35 yard field goal good,2.440,3.000
2,0:17,,,LAR 35,3,27,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,0:17,1,10,IND 25,3,27,Scott Tolzien kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,IND,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,3,27,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,IND 25,3,27,Frank Gore middle for 6 yards (tackle by Connor Barwin),0.610,0.870
3,14:25,2,4,IND 31,3,27,Frank Gore left guard for 3 yards (tackle by Ethan Westbrooks and Michael Brockers),0.870,0.560
3,13:45,3,1,IND 34,3,27,Scott Tolzien pass incomplete short right intended for Donte Moncrief (defended by Alec Ogletree),0.560,-1.110
3,13:40,4,1,IND 34,3,27,"Rigoberto Sanchez punts 49 yards, muffed catch by Tavon Austin, recovered by Jeremiah George and returned for no gain. Penalty on LAR: Offensive Holding (Declined)",-1.110,3.970
3,13:28,1,10,LAR 24,3,27,Scott Tolzien pass complete short middle to Kamar Aiken for 3 yards (tackle by Lamarcus Joyner),3.970,3.840
3,12:54,2,7,LAR 21,3,27,Frank Gore middle for 1 yard (tackle by Alec Ogletree),3.840,3.270
3,12:14,3,6,LAR 20,3,27,Scott Tolzien pass incomplete deep right intended for T.Y. Hilton,3.270,2.150
3,12:08,4,6,LAR 20,3,27,Adam Vinatieri 38 yard field goal no good,2.150,-0.810
3,12:03,1,10,LAR 28,3,27,Jared Goff pass complete short left to Tyler Higbee for 8 yards (tackle by John Simon),0.810,1.340
3,11:23,2,2,LAR 36,3,27,Todd Gurley right end for 3 yards (tackle by John Simon and Matthias Farley),1.340,1.530
3,10:43,1,10,LAR 39,3,27,Jared Goff pass complete deep left to Robert Woods for 27 yards (tackle by Matthias Farley),1.530,3.310
3,9:54,1,10,IND 34,3,27,"Todd Gurley for 5 yards (tackle by T.J. Green). Penalty on Hassan Ridgeway: Defensive Holding, 5 yards",3.310,0.000
3,9:28,,,,,,Timeout #1 by Los Angeles Rams,0.000,-3.970
3,9:28,1,10,IND 24,3,27,Jared Goff right end for 2 yards (tackle by Matthias Farley),3.970,3.700
3,8:47,2,8,IND 22,3,27,Todd Gurley middle for -6 yards (tackle by John Simon),3.700,2.210
3,8:09,3,14,IND 28,3,27,Todd Gurley middle for 2 yards (tackle by Jabaal Sheard),2.210,1.740
3,7:28,4,12,IND 26,3,30,Greg Zuerlein 44 yard field goal good,1.740,3.000
3,7:23,,,LAR 35,3,30,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,7:23,1,10,IND 25,3,36,"Scott Tolzien pass incomplete short left intended for T.Y. Hilton is intercepted by Lamarcus Joyner at IND-29 and returned for 29 yards, touchdown",0.610,-7.000
3,,,,IND 15,3,37,Greg Zuerlein kicks extra point good,,
3,7:15,,,LAR 35,3,37,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,7:15,1,10,IND 25,3,37,Marlon Mack right end for 1 yard (tackle by Dominique Hatfield),0.610,0.200
3,6:37,2,9,IND 26,3,37,Scott Tolzien sacked by Ethan Westbrooks for -6 yards,0.200,-1.290
3,5:53,3,15,IND 20,3,37,Scott Tolzien sacked by Matt Longacre for -9 yards. Penalty on Jeremy Vujnovich: Offensive Holding (Declined),-1.290,-2.490
3,5:38,4,24,IND 11,3,37,"Rigoberto Sanchez punts 49 yards, out of bounds",-2.490,-1.600
3,5:30,1,10,LAR 40,3,37,Todd Gurley left end for no gain (tackle by Margus Hunt),1.600,1.050
3,4:44,2,10,LAR 40,3,37,Jared Goff pass incomplete short middle intended for Cooper Kupp,1.050,0.370
3,4:39,3,10,LAR 40,3,37,Jared Goff pass complete short right to Tavon Austin for 7 yards (tackle by Rashaan Melvin). Penalty on Cooper Kupp: Face Mask (15 Yards) (Declined),0.370,-0.260
3,4:28,4,3,LAR 47,3,37,Johnny Hekker punts 47 yards,-0.260,0.380
3,4:17,1,10,IND 6,3,37,Marlon Mack left tackle for 3 yards (tackle by Morgan Fox),-0.380,-0.560
3,3:41,2,7,IND 9,3,37,Marlon Mack middle for -2 yards (tackle by Blake Countess),-0.560,-1.300
3,2:57,3,9,IND 7,3,37,Scott Tolzien pass incomplete short left intended for Donte Moncrief (defended by Nickell Robey-Coleman). Penalty on Donte Moncrief: Face Mask (15 Yards) (Declined),-1.300,-2.490
3,2:51,4,9,IND 7,3,37,"Rigoberto Sanchez punts 51 yards, out of bounds. Penalty on Cory Littleton: Offensive Holding, 10 yards",-2.490,-1.070
3,2:37,1,10,LAR 32,3,37,Todd Gurley right guard for 1 yard (tackle by Antonio Morrison),1.070,0.660
3,1:55,2,9,LAR 33,3,37,Todd Gurley for no gain (tackle by Jonathan Bostic),0.660,-0.030
3,1:16,3,9,LAR 33,3,37,Jared Goff pass complete short left to Sammy Watkins for 10 yards (tackle by Malik Hooker),-0.030,1.800
3,0:45,1,10,LAR 43,3,37,Jared Goff pass complete short left to Todd Gurley for 3 yards (tackle by Jeremiah George),1.800,1.660
3,0:10,2,7,LAR 46,3,37,Malcolm Brown left end for no gain (tackle by John Simon),1.660,0.960
Quarter,Time,Down,ToGo,Location,IND,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,LAR 46,3,37,Jared Goff sacked by Margus Hunt for -8 yards,0.960,-0.850
4,14:25,4,15,LAR 38,3,37,"Johnny Hekker punts 46 yards, returned by Quan Bray for no gain",-0.850,0.140
4,14:13,1,10,IND 16,3,37,--,-0.140,1.600
4,13:34,1,10,IND 40,3,37,Robert Turbin middle for 5 yards (tackle by Samson Ebukam),1.600,1.730
4,13:02,2,5,IND 45,3,37,Jacoby Brissett pass complete deep left to Donte Moncrief for 50 yards (tackle by Blake Countess),1.730,6.060
4,12:17,1,5,LAR 5,3,37,Robert Turbin right tackle for 2 yards (tackle by Nickell Robey-Coleman and Bryce Hager),6.060,5.530
4,11:36,2,3,LAR 3,9,37,"Marlon Mack middle for 3 yards, touchdown",5.530,7.000
4,11:32,,,LAR 15,9,37,Adam Vinatieri kicks extra point no good,0.000,-1.000
4,11:32,,,IND 35,9,37,"Rigoberto Sanchez kicks off 58 yards, returned by Pharoh Cooper for 35 yards (tackle by Malik Hooker)",0.000,-1.730
4,11:23,1,10,LAR 42,9,37,"Todd Gurley for 12 yards (tackle by Quincy Wilson). Penalty on Tyler Higbee: Offensive Holding, 10 yards (no play)",1.730,1.070
4,11:00,1,20,LAR 32,9,37,Todd Gurley for -4 yards (tackle by Barkevious Mingo and Jonathan Bostic),1.070,-0.700
4,10:26,2,24,LAR 28,9,37,Jared Goff pass complete short middle to Todd Gurley for 19 yards (tackle by Malik Hooker and Matthias Farley),-0.700,1.160
4,9:47,3,5,LAR 47,9,37,Jared Goff pass incomplete deep right intended for Pharoh Cooper,1.160,-0.260
4,9:39,4,5,LAR 47,9,37,"Johnny Hekker punts 43 yards, returned by Quan Bray for no gain",-0.260,0.380
4,9:29,1,10,IND 10,9,39,"Marlon Mack left tackle for -10 yards (tackle by Cory Littleton). Marlon Mack fumbles (forced by Cory Littleton), recovered by Jacoby Brissett at IND--3, safety",-0.380,-2.000
4,9:18,,,IND 20,9,39,"Rigoberto Sanchez kicks off 50 yards, returned by Tavon Austin for 13 yards (tackle by Christopher Milton)",0.000,-1.800
4,9:10,1,10,LAR 43,9,39,Malcolm Brown middle for 5 yards (tackle by Matthias Farley),1.800,1.930
4,8:29,2,5,LAR 48,9,39,Malcolm Brown left guard for 2 yards (tackle by Matthias Farley),1.930,1.490
4,7:45,3,3,,9,39,Jared Goff pass complete deep right to Cooper Kupp for 28 yards (tackle by Quincy Wilson),1.490,4.110
4,6:59,1,10,IND 22,9,39,Malcolm Brown middle for 2 yards (tackle by Antonio Morrison),4.110,3.830
4,6:33,2,8,IND 20,9,39,Jared Goff pass complete short middle to Tyler Higbee for 9 yards (tackle by Antonio Morrison),3.830,4.840
4,5:48,1,10,IND 11,9,39,Malcolm Brown left guard for 1 yard (tackle by Antonio Morrison and Jonathan Bostic),4.840,4.320
4,5:02,2,9,IND 10,9,39,Malcolm Brown right end for 3 yards (tackle by John Simon),4.320,3.980
4,4:34,3,6,IND 7,9,39,"Penalty on Margus Hunt: Encroachment, 4 yards (no play)",3.980,4.890
4,4:33,3,2,IND 3,9,45,"Malcolm Brown left guard for 3 yards, touchdown",4.890,7.000
4,4:28,,,IND 15,9,46,Greg Zuerlein kicks extra point good,0.000,0.000
4,4:28,,,LAR 35,9,46,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,4:28,1,10,IND 25,9,46,Jacoby Brissett pass incomplete short middle intended for Quan Bray (defended by Tanzel Smart),0.610,0.060
4,4:22,2,10,IND 25,9,46,Marlon Mack middle for 6 yards (tackle by Cory Littleton),0.060,0.170
4,3:38,3,4,IND 31,9,46,Jacoby Brissett pass complete short right to Matt Hazel for 1 yard (tackle by Nickell Robey-Coleman),0.170,-1.240
4,3:05,4,3,IND 32,9,46,"Rigoberto Sanchez punts 53 yards, out of bounds",-1.240,0.220
4,2:54,1,10,LAR 15,9,46,Justin Davis for 1 yard (tackle by Matthias Farley),-0.220,-0.580
4,2:11,2,9,LAR 16,9,46,Sean Mannion pass complete short left to Derek Carrier for 12 yards (tackle by Matthias Farley),-0.580,0.810
4,2:00,1,10,LAR 28,9,46,Sean Mannion kneels for -3 yards,0.810,-0.140
4,1:15,2,13,LAR 25,9,46,Sean Mannion kneels for -2 yards,-0.140,-1.090
4,0:37,3,15,LAR 23,9,46,Sean Mannion kneels for -2 yards,-1.090,-1.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
