Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
3,5:15,2,10,PIT 45,13,24,Ryan Fitzpatrick up the middle for 4 yards (tackle by Sean Spence),2.040,1.880
3,4:30,3,6,PIT 41,13,24,Ryan Fitzpatrick pass incomplete short right intended for Garrett Graham (defended by Brice McCain),1.880,0.530
3,4:20,4,6,PIT 41,13,24,Shane Lechler punts 40 yards,0.530,0.380
3,4:15,1,10,PIT 1,13,24,Ben Roethlisberger pass complete short left to Antonio Brown for 3 yards (tackle by Kareem Jackson),-0.380,-0.560
3,3:39,2,7,PIT 4,13,24,"Penalty on Mike Adams: False Start, 2 yards (no play)",-0.560,-0.710
3,3:31,2,9,PIT 2,13,24,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant,-0.710,-1.300
3,3:10,3,9,PIT 2,13,24,Ben Roethlisberger pass complete short right to Darrius Heyward-Bey for 17 yards (tackle by Danieal Manning),-1.300,0.150
3,2:47,1,10,PIT 19,13,24,LeGarrette Blount up the middle for 5 yards (tackle by Brooks Reed),0.150,0.340
3,2:08,2,5,PIT 24,13,24,Ben Roethlisberger pass complete short left to Antonio Brown for 6 yards (tackle by Kareem Jackson),0.340,0.940
3,1:27,1,10,PIT 30,13,24,LeGarrette Blount up the middle for 2 yards (tackle by Brooks Reed and Jerrell Powe),0.940,0.660
3,0:45,2,8,PIT 32,13,24,Dri Archer right tackle for -2 yards (tackle by Whitney Mercilus),0.660,-0.300
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,PIT 30,13,24,Ben Roethlisberger pass complete short left to Lance Moore for 9 yards (tackle by Kareem Jackson),-0.300,-0.780
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
4,14:36,4,1,PIT 39,13,24,Brad Wing punts 35 yards,-0.780,-0.670
4,14:29,1,10,HOU 26,13,24,Ryan Fitzpatrick pass incomplete short left intended for Andre Johnson,0.670,0.130
4,14:24,2,10,HOU 26,13,24,"Ryan Fitzpatrick pass incomplete short right intended for Andre Johnson. Penalty on Cortez Allen: Defensive Pass Interference, 11 yards (no play)",0.130,1.400
4,14:20,1,10,HOU 37,13,24,Ryan Fitzpatrick pass complete deep right to Andre Johnson for 24 yards (tackle by Cortez Allen),1.400,2.980
4,13:54,1,10,PIT 39,13,24,Arian Foster right tackle for 3 yards (tackle by James Harrison),2.980,2.850
4,13:19,2,7,PIT 36,13,24,Ryan Fitzpatrick pass incomplete deep middle intended for DeAndre Hopkins,2.850,2.150
4,13:13,3,7,PIT 36,13,24,Ryan Fitzpatrick pass complete deep right to Andre Johnson for 21 yards (tackle by Michael Mitchell),2.150,4.580
4,12:43,1,10,PIT 15,13,24,Arian Foster up the middle for 2 yards (tackle by Jason Worilds),4.580,4.280
4,12:01,2,8,PIT 13,13,24,Ryan Fitzpatrick pass incomplete short right intended for Andre Johnson,4.280,3.400
4,11:56,3,8,PIT 13,13,24,Ryan Fitzpatrick pass incomplete short left intended for Damaris Johnson,3.400,2.570
4,11:52,4,8,PIT 13,16,24,Randy Bullock 31 yard field goal good,2.570,3.000
4,11:52,,,HOU 35,16,24,"Randy Bullock kicks off 66 yards, returned by Dri Archer for 19 yards (tackle by Akeem Dent)",0.000,-0.040
4,11:43,1,10,PIT 18,16,24,Le'Veon Bell right guard for 6 yards (tackle by D.J. Swearinger and J.J. Watt),0.040,0.410
4,11:04,2,4,PIT 24,16,24,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.410,-0.400
4,11:00,3,4,PIT 24,16,24,"Penalty on HOU: Defensive 12 On-field, 5 yards (no play)",-0.400,0.870
4,10:43,1,10,PIT 29,16,24,Le'Veon Bell left end for 20 yards (tackle by D.J. Swearinger),0.870,2.190
4,10:13,1,10,PIT 49,16,24,LeGarrette Blount left guard for 3 yards (tackle by Mike Mohamed and Kendrick Lewis),2.190,2.050
4,9:31,2,7,HOU 48,16,24,LeGarrette Blount up the middle for -3 yards (tackle by Mike Mohamed and Ryan Pickett),2.050,0.960
4,8:47,3,10,PIT 49,16,24,"Ben Roethlisberger pass complete short right to Heath Miller for 7 yards (tackle by Mike Mohamed). Penalty on Kareem Jackson: Defensive Holding, 5 yards (no play)",0.960,2.520
4,8:20,1,10,HOU 46,16,24,Ben Roethlisberger pass complete deep left to Antonio Brown for 30 yards (tackle by Andre Hal),2.520,4.510
,,,,,,,"HOU challenged the pass completion ruling, and the play was upheld.",,
4,7:55,1,10,HOU 16,16,24,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,4.510,3.900
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
4,7:48,2,10,HOU 16,16,24,Ben Roethlisberger pass complete short middle to Le'Veon Bell for -6 yards (tackle by Jared Crick),3.900,2.480
4,7:01,3,16,HOU 22,16,24,Ben Roethlisberger pass complete short middle to Antonio Brown for 15 yards (tackle by Kendrick Lewis and Tim Jamison),2.480,3.010
4,6:09,4,1,HOU 7,16,24,"Penalty on Brad Wing: Delay of Game, 5 yards (no play)",3.010,2.660
4,5:55,4,6,HOU 12,16,27,Shaun Suisham 30 yard field goal good,2.660,3.000
4,5:55,,,PIT 35,16,27,"Shaun Suisham kicks off 61 yards, returned by Danieal Manning for 10 yards (tackle by Antwon Blake)",0.000,0.280
4,5:46,1,10,HOU 14,16,27,Ryan Fitzpatrick pass complete short right to Andre Johnson for 6 yards (tackle by Sean Spence),-0.280,0.150
4,5:15,2,4,HOU 20,16,27,"Ryan Fitzpatrick pass complete deep right to DeAndre Hopkins for 32 yards (tackle by Michael Mitchell). DeAndre Hopkins fumbles (forced by Michael Mitchell), recovered by Troy Polamalu at PIT-48 and returned for 13 yards (tackle by Andre Johnson)",0.150,-2.980
4,4:55,1,10,HOU 39,16,27,Le'Veon Bell right guard for 6 yards (tackle by Jared Crick and Justin Tuggle),2.980,2.980
4,4:48,1,10,HOU 39,16,27,Timeout #2 by Houston Texans,2.980,3.250
4,4:48,2,4,HOU 33,16,27,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Andre Hal),3.250,3.250
4,4:42,2,4,HOU 33,16,27,Timeout #3 by Houston Texans,3.250,3.710
4,4:38,1,10,HOU 28,16,27,Le'Veon Bell left tackle for 1 yard (tackle by Kareem Jackson and Justin Tuggle),3.710,3.300
4,4:00,2,9,HOU 27,16,27,Ben Roethlisberger pass incomplete deep right intended for Martavis Bryant,3.300,2.610
4,3:54,3,9,HOU 27,16,27,Ben Roethlisberger pass complete short right to Martavis Bryant for 5 yards (tackle by Andre Hal),2.610,2.610
4,3:09,3,9,HOU 27,16,27,Timeout #1 by Pittsburgh Steelers,2.610,2.070
4,3:09,4,4,HOU 22,16,30,Shaun Suisham 40 yard field goal good,2.070,3.000
4,3:09,,,PIT 35,16,30,"Shaun Suisham kicks off 68 yards, returned by Danieal Manning for 17 yards (tackle by Ross Ventrone)",0.000,0.280
4,2:59,1,10,HOU 14,16,30,Ryan Fitzpatrick left guard for 6 yards (tackle by Brett Keisel),-0.280,0.150
4,2:27,2,4,HOU 20,16,30,"Ryan Fitzpatrick pass complete deep left to Andre Johnson for 22 yards (tackle by Michael Mitchell). Penalty on James Harrison: Roughing the Passer, 15 yards",0.150,2.720
4,2:21,1,10,PIT 43,16,30,Ryan Fitzpatrick pass complete short left to Arian Foster for 8 yards (tackle by Lawrence Timmons),2.720,3.260
4,2:13,2,2,PIT 35,16,30,Ryan Fitzpatrick pass complete short middle to Garrett Graham for 18 yards (tackle by Lawrence Timmons),3.260,4.440
4,2:00,1,10,PIT 17,16,30,Ryan Fitzpatrick pass incomplete deep right intended for Andre Johnson (defended by Cortez Allen),4.440,3.850
4,1:55,2,10,PIT 17,16,30,Ryan Fitzpatrick pass complete short left to DeAndre Hopkins for 16 yards (tackle by William Gay),3.850,6.970
4,1:36,1,1,PIT 1,16,30,Penalty on Troy Polamalu: Encroachment (no play),6.970,6.970
4,1:35,1,1,PIT 1,22,30,"Ryan Fitzpatrick pass complete short left to Arian Foster for 1 yard, touchdown",6.970,7.000
4,1:35,,,PIT 2,23,30,Randy Bullock kicks extra point good,0.000,0.000
4,1:31,1,1,PIT 1,23,30,Timeout #2 by Pittsburgh Steelers,6.970,0.000
4,1:35,,,HOU 35,23,30,"Randy Bullock kicks onside 29 yards, recovered by Michael Palmer",0.000,-1.330
4,1:26,1,10,PIT 36,23,30,Ben Roethlisberger kneels for -1 yards,1.330,0.660
4,0:45,2,11,PIT 35,23,30,Ben Roethlisberger kneels for no gain,0.660,-0.030
4,0:22,3,11,PIT 35,23,30,Ben Roethlisberger kneels for -1 yards,-0.030,-1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
