Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
4,15:00,1,10,BAL 41,6,23,Kurt Warner pass complete short right to Anquan Boldin for 15 yards (tackle by Chris McAlister),2.850,3.840
4,14:25,1,10,BAL 26,6,23,Kurt Warner pass complete short middle to Troy Bienemann for 6 yards (tackle by Gerome Sapp),3.840,4.110
4,13:58,2,4,BAL 20,6,23,Kurt Warner pass complete short middle to Larry Fitzgerald for 15 yards (tackle by Dawan Landry),4.110,6.060
4,13:18,1,5,BAL 5,6,23,Marcel Shipp up the middle for -1 yards (tackle by Ronnie Prude and Bart Scott),6.060,4.950
4,12:46,2,6,BAL 6,6,23,Kurt Warner pass complete short middle to Anquan Boldin for 1 yard (tackle by Terrell Suggs),4.950,4.260
4,12:06,3,5,BAL 5,12,23,"Kurt Warner pass complete short middle to Anquan Boldin for 5 yards, touchdown. Penalty on Anquan Boldin: Unsportsmanlike Conduct, 15 yards",4.260,7.000
4,,,,BAL 2,13,23,Neil Rackers kicks extra point good,0.000,0.000
4,,,,ARI 15,13,23,"Neil Rackers kicks off 80 yards, returned by Yamon Figurs for 35 yards (tackle by Neil Rackers)",0.000,1.600
4,11:54,1,10,BAL 40,13,23,Willis McGahee left guard for 3 yards (tackle by Gabe Watson and Adrian Wilson),1.600,1.460
4,11:10,2,7,BAL 43,13,23,Kyle Boller pass incomplete short right intended for Mark Clayton (defended by Roderick Hood),1.460,0.760
4,11:10,3,7,BAL 43,13,23,Kyle Boller pass incomplete deep left intended for Derrick Mason (defended by Eric Green),0.760,-0.520
4,10:59,4,7,BAL 43,13,23,Sam Koch punts 11 yards,-0.520,-1.990
4,10:52,1,10,ARI 46,13,23,Kurt Warner pass complete deep right to Larry Fitzgerald for 22 yards,1.990,3.450
4,10:52,1,10,BAL 32,19,23,"Kurt Warner pass complete deep middle to Anquan Boldin for 32 yards, touchdown",3.450,7.000
4,,,,BAL 2,20,23,Neil Rackers kicks extra point good,0.000,0.000
4,,,,ARI 30,20,23,"Neil Rackers kicks off 70 yards, touchback",0.000,0.280
4,10:19,1,10,BAL 20,20,23,Kyle Boller pass complete deep left to Todd Heap for 24 yards (tackle by Karlos Dansby),0.280,1.860
4,9:46,1,10,BAL 44,20,23,Willis McGahee left guard for no gain (tackle by Antonio Smith and Gabe Watson),1.860,1.320
4,9:15,2,10,BAL 44,20,23,Kyle Boller pass complete short right to Mark Clayton for 8 yards (tackle by Roderick Hood),1.320,1.690
4,8:47,3,2,ARI 48,20,23,Kyle Boller pass complete deep middle to Demetrius Williams for 19 yards (tackle by Eric Green),1.690,3.640
4,8:20,1,10,ARI 29,20,23,Willis McGahee left end for -3 yards (tackle by Adrian Wilson),3.640,2.700
4,7:45,2,13,ARI 32,20,23,Kyle Boller sacked by Antonio Smith and Darnell Dockett for 0 yards,2.700,2.020
4,6:15,3,13,ARI 32,20,23,Kyle Boller sacked by Karlos Dansby for -7 yards,2.020,0.660
4,5:40,4,20,ARI 39,20,23,"Sam Koch punts 26 yards, fair catch by Steve Breaston",0.660,0.320
4,5:33,1,10,ARI 13,20,23,Kurt Warner pass complete short middle to Edgerrin James for 10 yards (tackle by Jarret Johnson),-0.320,0.480
4,4:54,1,10,ARI 23,20,23,Kurt Warner pass complete short left to Larry Fitzgerald for 8 yards (tackle by Corey Ivy),0.480,1.010
4,4:25,2,2,ARI 31,20,23,Edgerrin James up the middle for 14 yards (tackle by Chris McAlister),1.010,1.930
4,3:53,1,10,ARI 45,20,23,"Kurt Warner pass incomplete deep middle intended for Troy Bienemann (defended by Corey Ivy). Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",1.930,1.270
4,3:25,1,20,ARI 35,20,23,Kurt Warner pass complete short left to Bryant Johnson for 18 yards (tackle by Corey Ivy),1.270,2.460
4,3:16,2,2,BAL 47,20,23,Kurt Warner pass incomplete short right intended for Troy Bienemann,2.460,1.750
4,3:13,3,2,BAL 47,20,23,Kurt Warner pass complete short middle to Anquan Boldin for 19 yards (tackle by Ed Reed),1.750,3.710
