Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
2,12:29,2,5,BUF 50,10,0,Joe Burns left guard for no gain (tackle by Corey Simon),2.060,1.360
2,11:49,3,5,BUF 50,10,0,Drew Bledsoe pass complete to Josh Reed for 9 yards (tackle by Lito Sheppard),1.360,2.850
2,11:07,1,10,PHI 41,10,0,Drew Bledsoe pass complete to Joe Burns for 8 yards (tackle by Sheldon Brown),2.850,3.390
2,10:21,2,2,PHI 33,10,0,Joe Burns right guard for no gain (tackle by Mark Simoneau and Corey Simon),3.390,2.680
2,9:37,3,2,PHI 33,10,0,Drew Bledsoe pass incomplete intended for Josh Reed (defended by Lito Sheppard),2.680,1.200
2,9:22,4,2,PHI 33,10,0,Rian Lindell 51 yard field goal no good,1.200,-1.660
2,9:17,1,10,PHI 41,10,0,Correll Buckhalter up the middle for 3 yards (tackle by London Fletcher and Pat Williams),1.660,1.530
2,8:42,2,7,PHI 44,10,0,Donovan McNabb pass complete to Duce Staley for 3 yards (tackle by Jeff Posey),1.530,1.220
2,8:17,,,,10,0,Timeout #1 by Buffalo Bills,0.000,1.220
2,8:17,3,4,PHI 47,10,0,Donovan McNabb pass complete to Duce Staley for 6 yards (tackle by Pierson Prioleau),1.220,2.460
2,7:42,1,10,BUF 47,10,0,Donovan McNabb pass incomplete intended for Freddie Mitchell,2.460,1.910
2,7:37,2,10,BUF 47,10,0,Brian Westbrook for no gain,1.910,1.220
2,7:02,3,10,BUF 47,10,0,"Penalty on Jon Runyan: False Start, 5 yards (no play)",1.220,0.560
2,6:48,3,15,PHI 48,10,0,Donovan McNabb pass complete to L.J. Smith for 8 yards (tackle by Antoine Winfield),0.560,0.330
2,6:15,4,7,BUF 44,10,0,"Dirk Johnson punts 44 yards, touchback",0.330,-0.280
2,6:03,1,10,BUF 20,10,0,Drew Bledsoe pass complete to Sam Gash for 2 yards (tackle by Carlos Emmons),0.280,0.000
2,5:20,2,8,BUF 22,10,0,Joe Burns up the middle for 4 yards (tackle by Marco Coleman),0.000,-0.160
2,4:41,3,4,BUF 26,10,0,Drew Bledsoe pass complete to Bobby Shaw for 14 yards (tackle by Roderick Hood),-0.160,1.600
2,3:59,1,10,BUF 40,10,0,Drew Bledsoe pass complete to Mark Campbell for 18 yards (tackle by Sheldon Brown),1.600,2.790
2,3:15,1,10,PHI 42,10,0,Drew Bledsoe pass complete to Mark Campbell for 6 yards (tackle by Clinton Hart),2.790,3.050
2,2:36,2,4,PHI 36,10,0,Joe Burns right end for 1 yard (tackle by Marco Coleman and Nate Wayne),3.050,2.480
2,2:00,3,3,PHI 35,10,0,"Drew Bledsoe pass complete to Bobby Shaw for 12 yards (tackle by Michael Lewis). Roderick Hood fumbles (forced by Eric Moulds), recovered by Clinton Hart at tm_-50 (tackle by Eric Moulds)",2.480,-2.260
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:42,1,10,BUF 50,10,0,Donovan McNabb up the middle for 8 yards (tackle by Pat Williams),2.260,2.790
2,1:03,2,2,BUF 42,10,0,Brian Westbrook right tackle for -3 yards (tackle by Antoine Winfield),2.790,1.690
2,0:57,,,,10,0,Timeout #3 by Philadelphia Eagles,0.000,1.690
2,0:57,3,5,BUF 45,10,0,Donovan McNabb pass complete to Freddie Mitchell for 15 yards (tackle by London Fletcher),1.690,3.580
2,0:43,1,10,BUF 30,10,0,"Penalty on Aaron Schobel: Defensive Offside, 5 yards (no play)",3.580,4.310
2,0:43,1,5,BUF 25,10,0,Donovan McNabb pass complete to Freddie Mitchell for 9 yards (tackle by Antoine Winfield),4.310,4.510
2,0:25,1,10,BUF 16,10,0,Donovan McNabb spiked the ball,4.510,3.900
2,0:24,2,10,BUF 16,10,0,Donovan McNabb pass incomplete intended for Todd Pinkston,3.900,3.080
2,0:19,3,10,BUF 16,10,0,Donovan McNabb pass incomplete intended for James Thrash,3.080,2.380
2,0:13,4,10,BUF 16,13,0,David Akers 34 yard field goal good,2.380,3.000
2,,,,PHI 30,13,0,"David Akers kicks off 64 yards, returned by Antonio Brown for 20 yards (tackle by Brian Westbrook)",0.000,0.670
2,0:05,1,10,BUF 26,13,0,Drew Bledsoe kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,13,0,"David Akers kicks off 69 yards, returned by Antonio Brown for 27 yards (tackle by Justin Ena)",0.000,0.810
3,14:54,1,10,BUF 28,13,0,"Drew Bledsoe pass incomplete intended for Eric Moulds. Penalty on N.D. Kalu: Defensive Offside, 5 yards (no play)",0.810,1.540
3,14:49,1,5,BUF 33,13,0,Ken Simonton up the middle for 2 yards (tackle by Corey Simon and Lito Sheppard),1.540,1.210
3,14:10,2,3,BUF 35,13,0,Ken Simonton left guard for 2 yards (tackle by N.D. Kalu and Nate Wayne),1.210,0.760
3,13:33,3,1,BUF 37,13,0,Drew Bledsoe pass incomplete intended for Bobby Shaw,0.760,-0.910
3,13:29,4,1,BUF 37,13,0,"Brian Moorman punts 46 yards, fair catch by Brian Westbrook",-0.910,0.060
3,13:20,1,10,PHI 17,13,0,Correll Buckhalter up the middle for -1 yards (tackle by Pat Williams),-0.060,-0.730
3,12:46,2,11,PHI 16,13,0,Donovan McNabb pass complete to Todd Pinkston for 6 yards (tackle by Nate Clements),-0.730,-0.620
3,12:22,3,5,PHI 22,13,0,Donovan McNabb pass incomplete intended for Billy McMullen (defended by Takeo Spikes),-0.620,-1.900
3,12:16,4,5,PHI 22,13,0,"Dirk Johnson punts 53 yards, returned by Antonio Brown for 4 yards (tackle by Mike Bartrum)",-1.900,-0.870
3,12:04,1,10,BUF 29,13,0,"Penalty on Bobby Shaw: False Start, 5 yards (no play)",0.870,0.540
3,12:04,1,15,BUF 24,13,0,Drew Bledsoe pass complete to Eric Moulds for 8 yards (tackle by Sheldon Brown),0.540,0.730
3,11:28,2,7,BUF 32,13,0,"Drew Bledsoe pass incomplete intended for Mark Campbell. Penalty on Joe Burns: Chop Block, 14 yards (no play)",0.730,-1.260
3,11:22,2,21,BUF 18,13,0,Drew Bledsoe pass complete to Eric Moulds for 17 yards (tackle by Clinton Hart),-1.260,0.430
3,10:42,3,4,BUF 35,13,0,"Drew Bledsoe sacked by Sheldon Brown for -6 yards. Drew Bledsoe fumbles (forced by Sheldon Brown), recovered by Trey Teague at BUF-34",0.430,-1.110
3,9:59,4,5,BUF 34,13,0,"Brian Moorman punts 41 yards, returned by Brian Westbrook for 1 yard (tackle by Josh Stamer)",-1.110,-0.670
3,9:50,1,10,PHI 26,13,0,Donovan McNabb pass incomplete intended for James Thrash,0.670,0.130
3,9:47,2,10,PHI 26,13,0,Brian Westbrook left tackle for 2 yards (tackle by Pierson Prioleau and Takeo Spikes),0.130,-0.300
3,9:01,3,8,PHI 28,13,0,Donovan McNabb pass complete to James Thrash for 17 yards (tackle by Nate Clements),-0.300,1.930
3,8:22,1,10,PHI 45,13,0,"Penalty on L.J. Smith: False Start, 5 yards (no play)",1.930,1.600
3,8:05,1,15,PHI 40,13,0,Brian Westbrook right tackle for 7 yards (tackle by Lawyer Milloy and Chris Kelsay),1.600,1.650
3,7:27,2,8,PHI 47,13,0,"Donovan McNabb pass incomplete intended for Todd Pinkston. Penalty on Pierson Prioleau: Illegal Use of Hands, 5 yards (no play)",1.650,2.390
3,7:21,1,10,BUF 48,13,0,Correll Buckhalter right guard for 13 yards (tackle by Takeo Spikes and Nate Clements),2.390,3.250
3,6:39,1,10,BUF 35,13,0,Duce Staley up the middle for 2 yards (tackle by London Fletcher),3.250,2.970
3,5:59,2,8,BUF 33,13,0,Donovan McNabb pass complete to Todd Pinkston for 4 yards (tackle by Jeff Posey),2.970,2.810
3,5:16,3,4,BUF 29,13,0,"Donovan McNabb pass complete to Freddie Mitchell for 2 yards (tackle by Antoine Winfield). Penalty on Takeo Spikes: Defensive Holding, 5 yards (no play)",2.810,3.970
3,4:57,1,10,BUF 24,13,0,Donovan McNabb for 8 yards (tackle by London Fletcher),3.970,4.650
3,4:19,2,2,BUF 16,13,0,Correll Buckhalter up the middle for 1 yard (tackle by Justin Bannan),4.650,4.170
3,3:35,,,,13,0,Timeout #1 by Philadelphia Eagles,0.000,4.170
3,3:35,3,1,BUF 15,13,0,Donovan McNabb up the middle for 2 yards (tackle by Ron Edwards),4.170,4.710
3,2:38,1,10,BUF 13,13,0,Donovan McNabb pass complete to Brian Westbrook for 5 yards (tackle by Antoine Winfield),4.710,4.960
3,2:00,2,5,BUF 8,13,0,Donovan McNabb up the middle for 4 yards (tackle by Pierson Prioleau),4.960,5.010
3,1:23,3,1,BUF 4,13,0,Donovan McNabb up the middle for no gain (tackle by Sam Adams),5.010,3.040
3,0:31,4,1,BUF 4,16,0,David Akers 22 yard field goal good,3.040,3.000
3,,,,PHI 30,16,0,"David Akers kicks off 70 yards, returned by Antonio Brown for 18 yards (tackle by Sean Morey). Penalty on Justin Ena: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,PHI 25,16,0,"David Akers kicks off 68 yards, returned by Terrence McGee for 23 yards (tackle by Roderick Hood)",0.000,0.940
3,0:15,1,10,BUF 30,16,0,Drew Bledsoe pass incomplete (defended by Corey Simon),0.940,0.390
3,0:11,2,10,BUF 30,16,0,Drew Bledsoe pass complete to Eric Moulds for 9 yards (tackle by Sheldon Brown),0.390,0.890
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,BUF 39,16,0,Drew Bledsoe pass incomplete intended for Mark Campbell,0.890,-0.780
4,14:54,4,1,BUF 39,16,0,"Brian Moorman punts 40 yards, returned by Brian Westbrook for 10 yards (tackle by Coy Wire)",-0.780,-1.000
4,14:43,1,10,PHI 31,16,0,Donovan McNabb pass complete to Jon Ritchie for 4 yards (tackle by London Fletcher),1.000,1.000
4,14:04,2,6,PHI 35,16,0,Correll Buckhalter up the middle for no gain (tackle by Aaron Schobel),1.000,0.300
4,13:26,3,6,PHI 35,16,0,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Antoine Winfield),0.300,-1.040
4,13:20,4,6,PHI 35,16,0,Dirk Johnson punts 32 yards,-1.040,-1.140
4,13:09,1,10,BUF 33,16,0,Drew Bledsoe pass incomplete intended for Josh Reed,1.140,0.590
4,13:04,2,10,BUF 33,16,0,Drew Bledsoe pass complete to Eric Moulds for 23 yards,0.590,2.650
4,12:42,1,10,PHI 44,16,0,Joe Burns up the middle for 7 yards (tackle by Marco Coleman and Mark Simoneau),2.650,3.060
4,12:14,2,3,PHI 37,16,0,Drew Bledsoe pass complete to Bobby Shaw for 15 yards (tackle by Michael Lewis),3.060,4.110
4,11:47,1,10,PHI 22,16,0,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Sheldon Brown),4.110,3.560
4,11:40,2,10,PHI 22,16,0,Drew Bledsoe pass incomplete intended for Mark Campbell (defended by Nate Wayne),3.560,2.870
4,11:34,3,10,PHI 22,16,0,Drew Bledsoe pass complete to Joe Burns for 14 yards (tackle by Clinton Hart),2.870,5.370
4,10:51,1,8,PHI 8,16,0,Drew Bledsoe pass incomplete intended for Bobby Shaw,5.370,4.570
4,10:45,2,8,PHI 8,16,0,Drew Bledsoe pass complete to Mark Campbell for 7 yards (tackle by Nate Wayne),4.570,5.170
4,10:03,3,1,PHI 1,16,0,Joe Burns up the middle for -2 yards (tackle by Corey Simon and Hollis Thomas),5.170,3.040
4,9:18,4,3,PHI 3,16,6,"Drew Bledsoe pass complete to Bobby Shaw for 3 yards, touchdown",3.040,7.000
4,,,,,16,6,"Two Point Attempt: Drew Bledsoe pass incomplete intended for Eric Moulds, conversion fails",1.000,-1.000
4,,,,BUF 30,16,6,"Rian Lindell kicks off 67 yards, returned by Brian Westbrook for 70 yards (tackle by Kevin Thomas). Penalty on Quintin Mikell: Offensive Holding, 10 yards",0.000,0.280
4,8:57,1,10,PHI 20,16,6,Correll Buckhalter left guard for 1 yard (tackle by Takeo Spikes and Aaron Schobel),0.280,-0.130
4,8:24,2,9,PHI 21,16,6,Donovan McNabb pass complete to Todd Pinkston for 7 yards (tackle by Takeo Spikes),-0.130,0.100
4,7:42,3,2,PHI 28,16,6,Donovan McNabb pass incomplete intended for James Thrash (defended by Kevin Thomas). Penalty on Jon Runyan: Chop Block (Declined),0.100,-1.500
4,7:36,4,2,PHI 28,16,6,"Dirk Johnson punts 45 yards, returned by Antonio Brown for 4 yards (tackle by Correll Buckhalter)",-1.500,-1.000
4,7:25,1,10,BUF 31,16,6,Drew Bledsoe pass complete to Joe Burns for 12 yards (tackle by Clinton Hart),1.000,1.800
4,6:49,1,10,BUF 43,16,6,"Drew Bledsoe sacked by Hollis Thomas for -8 yards. Penalty on Nate Wayne: Defensive Holding, 5 yards (no play)",1.800,2.130
4,6:33,1,10,BUF 48,16,6,Drew Bledsoe pass incomplete intended for Mark Campbell (defended by Clinton Hart),2.130,1.580
4,6:28,2,10,BUF 48,16,6,"Drew Bledsoe pass incomplete intended for Eric Moulds. Penalty on Mike Pucillo: Offensive Holding, 10 yards (no play)",1.580,0.230
4,6:22,2,20,BUF 38,16,6,Drew Bledsoe pass complete to Mark Campbell for 2 yards (tackle by Roderick Hood),0.230,-0.160
4,5:43,3,18,BUF 40,16,6,Drew Bledsoe pass complete to Eric Moulds for 21 yards (tackle by Sheldon Brown). Penalty on Sheldon Brown: Defensive Holding (Declined),-0.160,2.980
4,5:25,1,10,PHI 39,16,6,Drew Bledsoe pass incomplete intended for Bobby Shaw (defended by Roderick Hood),2.980,2.440
4,5:19,2,10,PHI 39,16,6,Drew Bledsoe pass complete to Mark Campbell for 5 yards (tackle by Roderick Hood),2.440,2.410
4,4:49,3,5,PHI 34,16,6,Drew Bledsoe pass complete to Bobby Shaw for 9 yards (tackle by Roderick Hood),2.410,3.910
4,4:15,1,10,PHI 25,16,6,Drew Bledsoe pass complete to Bobby Shaw for 17 yards (tackle by Michael Lewis),3.910,5.370
4,3:44,1,8,PHI 8,16,6,Drew Bledsoe pass incomplete intended for Mark Campbell (defended by Lito Sheppard),5.370,4.570
4,3:38,2,8,PHI 8,16,6,Drew Bledsoe pass incomplete intended for Mark Campbell,4.570,3.580
4,3:34,3,8,PHI 8,16,6,"Drew Bledsoe pass complete to Dave Moore for 7 yards (tackle by Mark Simoneau). Dave Moore fumbles (forced by Mark Simoneau), recovered by Dave Moore at PHI-1",3.580,3.550
,,,,,,,"BUF challenged the ruling, and the play was upheld.",,
4,2:52,4,1,PHI 1,16,12,"Drew Bledsoe up the middle for 1 yard, touchdown",3.550,7.000
4,,,,PHI 2,16,13,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,16,13,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
4,2:49,1,10,PHI 20,16,13,Brian Westbrook right guard for 3 yards (tackle by Aaron Schobel and Takeo Spikes),0.280,0.140
4,2:40,,,,16,13,Timeout #2 by Buffalo Bills,0.000,0.140
4,2:40,2,7,PHI 23,16,13,Donovan McNabb pass incomplete intended for Todd Pinkston,0.140,-0.560
4,2:32,3,7,PHI 23,16,13,Donovan McNabb pass complete to James Thrash for 14 yards,-0.560,1.400
4,2:27,1,10,PHI 37,16,13,Correll Buckhalter right guard for 1 yard (tackle by Pierson Prioleau and Lawyer Milloy),1.400,0.990
4,2:19,,,,16,13,Timeout #3 by Buffalo Bills,0.000,0.990
4,2:19,2,9,PHI 38,22,13,"Brian Westbrook right guard for 62 yards, touchdown",0.990,7.000
4,,,,BUF 2,23,13,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,23,13,"David Akers kicks off 65 yards, returned by Antonio Brown for 20 yards (tackle by Quintin Mikell)",0.000,0.610
4,2:04,1,10,BUF 25,23,13,Drew Bledsoe pass complete to Eric Moulds for 21 yards (tackle by Clinton Hart). Penalty on Marco Coleman: Illegal Use of Hands (Declined),0.610,1.990
4,1:57,1,10,BUF 46,23,13,"Drew Bledsoe pass complete to Joe Burns for 10 yards (tackle by Nate Wayne). Penalty on Mike Pucillo: Offensive Holding, 10 yards (no play)",1.990,1.330
4,1:49,1,20,BUF 36,23,13,Drew Bledsoe pass incomplete intended for Eric Moulds (defended by Michael Lewis),1.330,0.100
4,1:43,2,20,BUF 36,23,13,Drew Bledsoe pass incomplete intended for Bobby Shaw,0.100,-0.560
4,1:38,3,20,BUF 36,23,13,Drew Bledsoe pass complete to Bobby Shaw for 12 yards (tackle by N.D. Kalu),-0.560,-0.190
4,1:09,4,8,BUF 48,23,13,Drew Bledsoe pass incomplete,-0.190,-2.390
4,1:03,1,10,BUF 48,23,13,Donovan McNabb kneels for -1 yards,2.390,1.710
4,0:30,2,11,BUF 49,23,13,Donovan McNabb kneels for -1 yards,1.710,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
