Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,20,3,"Bradley Pinion kicks off 65 yards, touchback.",,
3,15:00,1,10,LAR 25,20,3,Cam Akers right end for 2 yards (tackle by Jordan Whitehead),,
3,14:19,2,8,LAR 27,20,3,Matthew Stafford pass complete short left to Odell Beckham for 17 yards (tackle by Jamel Dean),,
3,13:41,1,10,LAR 44,20,3,Cam Akers left end for -3 yards (tackle by Devin White and Jamel Dean),,
3,12:54,2,13,LAR 41,20,3,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",,
3,12:38,2,18,LAR 36,20,3,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards (tackle by Lavonte David and Jordan Whitehead),,
3,12:05,3,5,LAR 49,20,3,Matthew Stafford pass incomplete short middle intended for Cooper Kupp (defended by Devin White),,
3,12:00,4,5,LAR 49,20,3,Johnny Hekker punts 46 yards out of bounds,,
3,11:51,1,10,TAM 5,20,3,Leonard Fournette up the middle for 7 yards (tackle by Nick Scott and Travin Howard),,
3,11:19,2,3,TAM 12,20,3,Leonard Fournette right guard for no gain (tackle by Von Miller),,
3,10:42,3,3,TAM 12,20,3,Tom Brady pass incomplete short right intended for Tyler Johnson,,
3,10:39,4,3,TAM 12,20,3,"Bradley Pinion punts 49 yards, returned by Brandon Powell for 33 yards (tackle by Anthony Nelson)",,
3,10:25,1,10,TAM 28,20,3,Matthew Stafford pass complete short left to Kendall Blanton for 11 yards (tackle by Jamel Dean),,
3,9:38,1,10,TAM 17,20,3,Matthew Stafford pass complete short middle to Cooper Kupp for 4 yards (tackle by Carlton Davis),,
3,8:59,2,6,TAM 13,20,3,Matthew Stafford pass complete short left to Odell Beckham for 10 yards,,
3,8:21,1,3,TAM 3,20,3,Cam Akers up the middle for 2 yards (tackle by Jason Pierre-Paul),,
3,7:45,2,1,TAM 1,20,3,Cam Akers up the middle for no gain (tackle by Jordan Whitehead and Rakeem Nunez-Roches),,
3,7:11,3,1,TAM 1,26,3,"Matthew Stafford up the middle for 1 yard, touchdown",,
3,7:07,,,TAM 15,27,3,Matt Gay kicks extra point good,,
3,7:07,,,LAR 35,27,3,"Matt Gay kicks off 65 yards, touchback.",,
3,7:07,1,10,TAM 25,27,3,Tom Brady pass complete short left to Mike Evans for 5 yards (tackle by Jalen Ramsey),,
3,6:30,2,5,TAM 30,27,3,Tom Brady pass complete short left to O.J. Howard for 7 yards (tackle by Jalen Ramsey),,
3,5:54,1,10,TAM 37,27,3,Tom Brady pass complete short left to Scott Miller for -2 yards (tackle by Darious Williams),,
3,5:21,2,12,TAM 35,27,3,Tom Brady pass complete deep left to Rob Gronkowski for 42 yards (tackle by Eric Weddle),,
3,4:36,1,10,LAR 23,27,3,Tom Brady pass incomplete short left intended for Mike Evans,,
3,4:32,2,10,LAR 23,27,3,Tom Brady pass complete short right to Mike Evans for 11 yards (tackle by David Long),,
3,3:59,1,10,LAR 12,27,3,Tom Brady pass incomplete short left,,
3,3:52,2,10,LAR 12,27,3,Leonard Fournette up the middle for -1 yards (tackle by Aaron Donald),,
3,3:10,3,11,LAR 13,27,3,Tom Brady pass incomplete short middle intended for Rob Gronkowski,,
3,3:06,4,11,LAR 13,27,6,Ryan Succop 31 yard field goal good,,
3,3:02,,,TAM 35,27,6,"Bradley Pinion kicks off 63 yards, out of bounds",,
3,3:02,1,10,LAR 40,27,6,"Matthew Stafford pass complete short left to Cooper Kupp for no gain. Cooper Kupp fumbles (forced by Jamel Dean), recovered by Sean Murphy-Bunting at LA-40 and returned for 10 yards (tackle by Cam Akers)",,
3,2:45,1,10,LAR 30,27,6,Tom Brady pass incomplete deep left intended for Rob Gronkowski,,
3,2:40,2,10,LAR 30,27,6,Tom Brady pass complete short left to Rob Gronkowski for 1 yard (tackle by Von Miller),,
3,2:02,3,9,LAR 29,27,6,Tom Brady pass incomplete short left intended for Rob Gronkowski,,
3,1:58,4,9,LAR 29,27,6,Tom Brady pass complete short left to Scott Miller for 16 yards (tackle by Darious Williams),,
3,1:15,1,10,LAR 13,27,6,Tom Brady pass complete short right to Tyler Johnson for 3 yards (tackle by David Long),,
3,0:34,2,7,LAR 10,27,6,Tom Brady pass complete short left to Tyler Johnson for 9 yards (tackle by Darious Williams and Troy Reeder),,
3,0:16,1,1,LAR 1,27,12,"Leonard Fournette right tackle for 1 yard, touchdown",,
3,0:12,,,LAR 15,27,13,Ryan Succop kicks extra point good,,
3,0:12,,,TAM 35,27,13,"Bradley Pinion kicks off 65 yards, touchback.",,
3,0:12,1,10,LAR 25,27,13,Cam Akers up the middle for no gain (tackle by Jordan Whitehead and Devin White),,
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,LAR 25,27,13,Matthew Stafford pass incomplete deep middle intended for Tyler Higbee,,
4,14:55,3,10,LAR 25,27,13,Matthew Stafford pass incomplete short right intended for Tyler Higbee,,
4,14:51,4,10,LAR 25,27,13,"Johnny Hekker punts 50 yards, returned by Jaelon Darden for 5 yards (tackle by Ben Skowronek)",,
4,14:41,1,10,TAM 30,27,13,"Tom Brady sacked by Von Miller for -5 yards. Tom Brady fumbles (forced by Von Miller), recovered by Von Miller at TB-25",,
4,14:33,1,10,TAM 25,27,13,"Brian Allen aborted snap, recovered by Jason Pierre-Paul at 50 and returned for 5 yards (tackle by Rob Havenstein)",,
4,14:25,1,10,LAR 45,27,13,Tom Brady pass complete short middle to Rob Gronkowski for 13 yards (tackle by Nick Scott),,
4,13:48,1,10,LAR 32,27,13,Tom Brady pass complete short right to Leonard Fournette for 5 yards (tackle by Leonard Floyd),,
4,13:16,2,5,LAR 27,27,13,Tom Brady pass incomplete deep right intended for Rob Gronkowski (defended by Nick Scott),,
4,13:11,3,5,LAR 27,27,13,Tom Brady sacked by Leonard Floyd for -9 yards,,
4,12:28,4,14,LAR 36,27,13,Tom Brady pass incomplete deep left intended for Mike Evans (defended by Jalen Ramsey),,
4,12:22,1,10,LAR 36,27,13,"Penalty on Eric Weddle: Unnecessary Roughness / Defense, 14 yards (accepted) (no play)",,
4,12:22,1,10,LAR 22,27,13,Cam Akers right guard for 3 yards (tackle by Jordan Whitehead),,
4,11:39,2,7,LAR 25,27,13,Van Jefferson left end for 15 yards (tackle by Antoine Winfield),,
4,10:58,1,10,LAR 40,27,13,Cam Akers up the middle for 3 yards (tackle by Vita Vea),,
4,10:14,2,7,LAR 43,27,13,Cam Akers up the middle for 8 yards (tackle by Shaquil Barrett),,
4,9:28,1,10,TAM 49,27,13,Matthew Stafford pass complete short right to Van Jefferson for 18 yards (tackle by Lavonte David),,
4,8:44,1,10,TAM 31,27,13,Cam Akers left guard for -3 yards (tackle by Rakeem Nunez-Roches),,
4,8:02,2,13,TAM 34,27,13,Cam Akers left tackle for 1 yard (tackle by Rakeem Nunez-Roches and Anthony Nelson),,
4,7:18,,,,,,Timeout #1 by Los Angeles Rams,,
4,7:18,3,12,TAM 33,27,13,Sony Michel up the middle for 4 yards (tackle by Ndamukong Suh and Lavonte David),,
4,6:36,4,8,TAM 29,27,13,Matt Gay 47 yard field goal no good,,
4,6:31,1,10,TAM 37,27,13,Tom Brady pass complete short left to Leonard Fournette for 9 yards (tackle by Darious Williams),,
4,6:04,2,1,TAM 46,27,13,Tom Brady pass complete short left to Mike Evans for 6 yards (tackle by Darious Williams),,
4,5:41,1,10,LAR 48,27,13,"Tom Brady pass incomplete intended for Mike Evans. Penalty on Darious Williams: Defensive Pass Interference, 16 yards (accepted) (no play)",,
4,5:36,1,10,LAR 32,27,13,Tom Brady pass incomplete short right intended for Scott Miller (defended by Ogbonnia Okoronkwo),,
4,5:30,2,10,LAR 32,27,13,Tom Brady pass complete short right to Leonard Fournette for 4 yards (tackle by Ogbonnia Okoronkwo),,
4,4:59,3,6,LAR 28,27,13,Tom Brady pass complete short left to Leonard Fournette for -3 yards (tackle by David Long),,
4,4:31,4,9,LAR 31,27,13,Tom Brady pass incomplete deep middle intended for Cameron Brate,,
4,4:26,1,10,LAR 31,27,13,Cam Akers right guard for 4 yards (tackle by William Gholston),,
4,4:21,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,4:21,2,6,LAR 35,27,13,Cam Akers right guard for -1 yards (tackle by William Gholston),,
4,4:16,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,4:16,3,7,LAR 34,27,13,Matthew Stafford pass complete short right to Sony Michel for no gain (tackle by Antoine Winfield and Ndamukong Suh),,
4,4:07,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,4:07,4,7,LAR 34,27,13,"Johnny Hekker punts 45 yards, returned by Giovani Bernard for 2 yards (tackle by Ben Skowronek and Grant Haley)",,
4,3:56,1,10,TAM 23,27,13,Tom Brady pass complete deep left to Scott Miller for 19 yards (tackle by Darious Williams),,
4,3:49,1,10,TAM 42,27,13,Tom Brady pass complete short left to Leonard Fournette for 3 yards (tackle by Travin Howard and Troy Reeder),,
4,3:27,2,7,TAM 45,27,19,"Tom Brady pass complete deep right to Mike Evans for 55 yards, touchdown",,
4,3:20,,,LAR 15,27,20,Ryan Succop kicks extra point good,,
4,3:20,,,TAM 35,27,20,"Bradley Pinion kicks off 64 yards, returned by Brandon Powell for 19 yards (tackle by Cam Gill)",,
4,3:15,1,10,LAR 20,27,20,Cam Akers up the middle for 3 yards (tackle by Shaquil Barrett),,
4,2:32,2,7,LAR 23,27,20,"Cam Akers right tackle for 3 yards. Cam Akers fumbles (forced by Ndamukong Suh), recovered by Lavonte David at LA-30",,
4,2:25,1,10,LAR 30,27,20,Tom Brady pass complete short left to Leonard Fournette for 5 yards (tackle by Travin Howard),,
4,2:00,2,5,LAR 25,27,20,Leonard Fournette up the middle for 4 yards (tackle by Leonard Floyd and Aaron Donald),,
4,1:41,3,1,LAR 21,27,20,Leonard Fournette up the middle for 3 yards (tackle by Travin Howard and Aaron Donald),,
4,1:19,1,10,LAR 18,27,20,Tom Brady pass incomplete short left intended for Mike Evans,,
4,1:15,2,10,LAR 18,27,20,Tom Brady pass incomplete deep left intended for Mike Evans,,
4,1:10,3,10,LAR 18,27,20,"Tom Brady pass complete short middle to Cameron Brate for 9 yards (tackle by David Long) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",,
4,0:46,,,,,,Timeout #2 by Los Angeles Rams,,
4,0:46,4,1,LAR 9,27,26,"Leonard Fournette right end for 9 yards, touchdown",,
4,0:42,,,LAR 15,27,27,Ryan Succop kicks extra point good,,
4,0:42,,,TAM 35,27,27,"Bradley Pinion kicks off 65 yards, touchback.",,
4,0:42,1,10,LAR 25,27,27,Matthew Stafford sacked by and Ndamukong Suh for -1 yards and Jason Pierre-Paul for -1 yards,,
4,0:35,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:35,2,11,LAR 24,27,27,Matthew Stafford pass complete deep left to Cooper Kupp for 20 yards (tackle by Mike Edwards),,
4,0:27,1,10,LAR 44,27,27,Matthew Stafford pass complete deep middle to Cooper Kupp for 44 yards (tackle by Antoine Winfield),,
4,0:05,1,10,TAM 12,27,27,Matthew Stafford spiked the ball,,
4,0:04,2,10,TAM 12,30,27,Matt Gay 30 yard field goal good,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
