Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
3,8:22,2,7,PIT 25,16,17,"Najee Harris up the middle for no gain (tackle by Isaiah McDuffie). Penalty on Mason Cole: Offensive Holding, 10 yards (accepted) (no play)",0.270,-1.210
3,8:01,2,17,PIT 15,16,17,Kenny Pickett pass incomplete short right intended for Najee Harris,-1.210,-2.050
3,7:56,3,17,PIT 15,16,17,Kenny Pickett pass complete short left to Connor Heyward for 7 yards (tackle by Isaiah McDuffie and Anthony Johnson),-2.050,-1.900
3,7:18,4,10,PIT 22,16,17,Pressley Harvin punts 56 yards out of bounds,-1.900,-0.410
3,7:10,1,10,GNB 22,16,17,Aaron Jones left guard for 4 yards (tackle by Mark Robinson),0.410,0.410
3,6:37,2,6,GNB 26,16,17,Jordan Love pass complete deep right to Romeo Doubs for 20 yards (tackle by Keanu Neal),0.410,1.990
3,5:56,1,10,GNB 46,16,17,Aaron Jones right tackle for 3 yards (tackle by Isaiahh Loudermilk),1.990,1.860
3,5:16,2,7,GNB 49,16,17,Jordan Love pass incomplete deep left intended for Christian Watson,1.860,1.160
3,5:11,3,7,GNB 49,16,17,Jordan Love pass complete deep middle to Luke Musgrave for 36 yards (tackle by Levi Wallace),1.160,4.580
3,4:28,1,10,PIT 15,16,17,Jordan Love pass complete short right to Jayden Reed for 6 yards (tackle by Damontae Kazee and Joey Porter),4.580,5.030
3,3:54,2,4,PIT 9,16,17,Aaron Jones left guard for -1 yards (tackle by Cameron Heyward and Alex Highsmith),5.030,4.000
3,3:12,3,5,PIT 10,16,17,Jordan Love pass incomplete short middle intended for Luke Musgrave (defended by Elandon Roberts),4.000,2.810
3,3:07,4,5,PIT 10,19,17,Anders Carlson 28 yard field goal good,2.810,3.000
3,3:04,,,GNB 35,19,17,"Anders Carlson kicks off 68 yards, returned by Anthony McFarland for 37 yards (tackle by Kristian Welch and Zayne Anderson)",0.000,1.200
3,2:56,1,10,PIT 34,19,17,Kenny Pickett pass complete deep right to George Pickens for 28 yards (tackle by Jonathan Owens),1.200,3.050
3,2:32,1,10,GNB 38,19,17,Jaylen Warren up the middle for 2 yards (tackle by Kenny Clark),3.050,2.780
3,1:57,2,8,GNB 36,19,17,Jaylen Warren right tackle for 5 yards (tackle by Tedarrell Slaton and Carrington Valentine),2.780,2.740
3,1:13,3,3,GNB 31,19,17,Kenny Pickett pass incomplete short left intended for Jaylen Warren (defended by De'Vondre Campbell),2.740,1.380
3,1:09,4,3,GNB 31,19,20,Chris Boswell 49 yard field goal good,1.380,3.000
3,1:05,,,PIT 35,19,20,"Chris Boswell kicks off 60 yards, returned by Keisean Nixon for 29 yards (tackle by Chandon Sullivan)",0.000,1.200
3,0:59,1,10,GNB 34,19,20,AJ Dillon right guard for 4 yards (tackle by Elandon Roberts and Cameron Heyward),1.200,1.200
3,0:19,2,6,GNB 38,19,20,Jordan Love pass incomplete deep left,1.200,0.500
3,0:05,3,6,GNB 38,19,20,"Jordan Love pass complete short middle to Jayden Reed for 5 yards (tackle by Patrick Peterson). Penalty on Zach Tom: Illegal Formation, 5 yards (accepted) (no play)",0.500,-0.160
Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,11,GNB 33,19,20,"Jordan Love pass complete short left to Dontayvion Wicks for -5 yards. Dontayvion Wicks fumbles, recovered by Aaron Jones at GB-29 and returned for -1 yards (tackle by Elijah Riley)",-0.160,-1.500
4,14:17,4,16,GNB 28,19,20,"Daniel Whelan punts 53 yards, returned by Calvin Austin for 6 yards (tackle by Robert Rochell and Josiah Deguara)",-1.500,-0.610
4,14:06,1,10,PIT 25,19,20,Najee Harris left guard for 3 yards (tackle by Tedarrell Slaton),0.610,0.470
4,13:28,2,7,PIT 28,19,20,Najee Harris left tackle for 24 yards (tackle by Rudy Ford),0.470,2.390
4,12:46,1,10,GNB 48,19,20,Kenny Pickett pass complete short right to Najee Harris for no gain (tackle by Keisean Nixon),2.390,1.850
4,12:06,2,10,GNB 48,19,20,Kenny Pickett pass incomplete deep left intended for Diontae Johnson (defended by Corey Ballentine),1.850,1.160
4,11:58,3,10,GNB 48,19,20,"Kenny Pickett pass incomplete deep left intended for George Pickens. Penalty on Dan Moore: Offensive Holding, 10 yards (declined)",1.160,0.070
4,11:53,4,10,GNB 48,19,20,"Pressley Harvin punts 39 yards, recovered by Jayden Reed at GB-9",0.070,0.380
4,11:45,1,10,GNB 9,19,20,AJ Dillon left tackle for 5 yards (tackle by T.J. Watt and Alex Highsmith),-0.380,-0.390
4,11:09,2,5,GNB 14,19,20,AJ Dillon up the middle for 3 yards (tackle by Keeanu Benton and Keanu Neal),-0.390,-0.480
4,10:33,3,2,GNB 17,19,20,Jordan Love pass complete short left to Jayden Reed for 2 yards (tackle by Patrick Peterson),-0.480,0.150
4,10:13,1,10,GNB 19,19,20,Jordan Love pass complete short left to Romeo Doubs for 3 yards (tackle by Patrick Peterson),0.150,0.070
4,9:43,2,7,GNB 22,19,20,Jordan Love pass incomplete short left intended for AJ Dillon (defended by Alex Highsmith),0.070,-0.680
4,9:39,3,7,GNB 22,19,20,Jordan Love pass incomplete short right intended for Tucker Kraft,-0.680,-1.900
4,9:32,4,7,GNB 22,19,20,"Daniel Whelan punts 44 yards, fair catch by Calvin Austin at PIT-34",-1.900,-1.200
4,9:24,1,10,PIT 34,19,20,Jaylen Warren left tackle for 11 yards (tackle by Jonathan Owens),1.200,1.930
4,8:51,1,10,PIT 45,19,20,Calvin Austin left end for 6 yards (tackle by Jonathan Owens and Isaiah McDuffie),1.930,2.190
4,8:09,2,4,GNB 49,19,20,Jaylen Warren left tackle for 4 yards (tackle by Kenny Clark and Corey Ballentine),2.190,2.590
4,7:27,1,10,GNB 45,19,20,Jaylen Warren left tackle for 20 yards (tackle by Corey Ballentine and Keisean Nixon),2.590,3.910
4,6:41,1,10,GNB 25,19,20,Jaylen Warren up the middle for no gain (tackle by Preston Smith and Isaiah McDuffie),3.910,3.360
4,5:58,2,10,GNB 25,19,20,Kenny Pickett pass complete short left to Najee Harris for 8 yards (tackle by Rudy Ford),3.360,3.850
4,5:24,3,2,GNB 17,19,20,Kenny Pickett pass incomplete short right,3.850,2.440
4,5:17,4,2,GNB 17,19,23,Chris Boswell 35 yard field goal good,2.440,3.000
4,5:14,,,PIT 35,19,23,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,5:14,1,10,GNB 25,19,23,Jordan Love pass complete deep right to Luke Musgrave for 28 yards (tackle by Elandon Roberts),0.610,2.460
4,4:32,1,10,PIT 47,19,23,Jordan Love pass incomplete short right,2.460,1.910
4,4:25,2,10,PIT 47,19,23,Jordan Love pass incomplete short left intended for Aaron Jones (defended by Chandon Sullivan),1.910,1.220
4,4:22,3,10,PIT 47,19,23,Jordan Love pass complete deep middle to Dontayvion Wicks for 32 yards (tackle by Keanu Neal),1.220,4.580
4,3:39,1,10,PIT 15,19,23,Aaron Jones left end for 1 yard (tackle by Elandon Roberts),4.580,4.110
4,3:32,2,9,PIT 14,19,23,Jordan Love pass deep left (defended by Patrick Peterson) intended for Christian Watson is intercepted by Keanu Neal in end zone and returned for 32 yards (tackle by Romeo Doubs),4.110,-0.540
4,3:20,1,10,PIT 24,19,23,Najee Harris left tackle for 1 yard (tackle by Rashan Gary),0.540,0.130
4,2:37,2,9,PIT 25,19,23,Najee Harris left tackle for 3 yards (tackle by Rudy Ford and Devonte Wyatt),0.130,-0.160
4,2:32,,,,,,Timeout #1 by Green Bay Packers,,
4,2:32,3,6,PIT 28,19,23,Kenny Pickett scrambles right end for 11 yards (tackle by Jonathan Owens),-0.160,1.530
4,2:25,,,,,,Timeout #2 by Green Bay Packers,,
4,2:25,1,10,PIT 39,19,23,Jaylen Warren left tackle for 1 yard (tackle by Tedarrell Slaton and Rudy Ford),1.530,1.120
4,2:20,,,,,,Timeout #3 by Green Bay Packers,,
4,2:20,2,9,PIT 40,19,23,Jaylen Warren right end for no gain (tackle by Tedarrell Slaton and Lukas Van Ness),1.120,0.430
4,2:00,3,9,PIT 40,19,23,"Kenny Pickett pass complete deep middle to George Pickens for no gain. Penalty on Calvin Austin: Offensive Pass Interference, 10 yards (accepted) (no play)",0.430,-0.890
4,1:52,3,19,PIT 30,19,23,Jaylen Warren up the middle for 11 yards (tackle by Isaiah McDuffie),-0.890,-0.650
4,1:09,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,1:09,4,8,PIT 41,19,23,Pressley Harvin punts 40 yards downed by Elijah Riley,-0.650,-0.150
4,0:59,1,10,GNB 19,19,23,Jordan Love pass complete deep right to Jayden Reed for 46 yards (tackle by Damontae Kazee),0.150,3.250
4,0:51,1,10,PIT 35,19,23,Jordan Love pass complete short right to Aaron Jones for no gain (tackle by Elijah Riley),3.250,2.700
4,0:28,2,10,PIT 35,19,23,Jordan Love scrambles right end for 8 yards (tackle by Elandon Roberts),2.700,3.070
4,0:22,3,2,PIT 27,19,23,Jordan Love pass incomplete short middle intended for AJ Dillon,3.070,1.800
4,0:17,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,0:17,4,2,PIT 27,19,23,Jordan Love pass complete short left to AJ Dillon for 11 yards (tackle by Damontae Kazee and Elijah Riley),1.800,4.510
4,0:04,1,10,PIT 16,19,23,Jordan Love spiked the ball,4.510,3.900
4,0:03,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:03,2,10,PIT 16,19,23,Jordan Love pass short middle intended for Christian Watson is intercepted by Damontae Kazee at PIT-2 and returned for 30 yards (tackle by Zach Tom). Penalty on Elgton Jenkins: Unnecessary Roughness / Offense (accepted),3.900,3.450
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
