Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2,0:26,3,2,NWE 25,21,17,Tom Brady pass complete short left to Julian Edelman for -1 yards (tackle by Prince Amukamara),-0.240,-1.770
2,0:22,,,,,,Timeout #1 by Chicago Bears,,
2,0:22,4,3,NWE 24,21,17,"Ryan Allen punts 53 yards out of bounds. Penalty on Keion Crossen: Unsportsmanlike Conduct, 15 yards",-1.770,-1.470
2,0:14,1,10,CHI 38,21,17,Mitchell Trubisky pass complete deep middle to Trey Burton for 17 yards (tackle by Devin McCourty),1.470,2.590
2,0:08,,,,,,Timeout #2 by Chicago Bears,,
2,0:08,1,10,NWE 45,21,17,Mitchell Trubisky pass complete short right to Tarik Cohen for 5 yards,2.590,2.720
2,0:01,2,5,NWE 40,21,17,Mitchell Trubisky pass complete short middle to Tarik Cohen for 20 yards (tackle by Derek Rivers),2.720,1.600
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,21,17,"Stephen Gostkowski kicks off 69 yards, returned by Benny Cunningham for no gain (tackle by Brandon King). Penalty on Nate Ebner: Face Mask (15 Yards), 15 yards",0.000,1.730
3,14:53,1,10,CHI 42,21,17,Jordan Howard left tackle for 2 yards (tackle by Malcom Brown),1.730,1.460
3,14:16,2,8,CHI 44,21,17,Mitchell Trubisky pass complete short left to Tarik Cohen for 16 yards (tackle by Eric Rowe),1.460,2.920
3,13:41,1,10,NWE 40,21,17,Mitchell Trubisky left end for 39 yards (tackle by Dont'a Hightower),2.920,6.970
3,13:04,1,1,NWE 1,21,17,"Jordan Howard right guard for no gain Penalty on CHI: Illegal Formation, 5 yards (no play)",6.970,5.830
3,13:01,1,6,NWE 6,21,17,Mitchell Trubisky pass incomplete short right intended for Allen Robinson (defended by Stephon Gilmore),5.830,4.950
3,12:57,2,6,NWE 6,21,17,Taylor Gabriel left end for no gain (tackle by Eric Rowe),4.950,4.040
3,12:10,3,6,NWE 6,21,23,"Mitchell Trubisky pass complete short left to Tarik Cohen for 6 yards, touchdown",4.040,7.000
3,12:04,,,NWE 15,21,24,Cody Parkey kicks extra point good,0.000,0.000
3,12:04,,,CHI 35,21,24,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
3,12:04,1,10,NWE 25,21,24,Tom Brady pass complete short right to Chris Hogan for 8 yards (tackle by Adrian Amos),0.610,1.140
3,11:41,2,2,NWE 33,21,24,"Tom Brady pass complete short left to Chris Hogan for 20 yards (tackle by Eddie Jackson). Penalty on Eddie Jackson: Face Mask (15 Yards), 15 yards",1.140,3.450
3,11:09,1,10,CHI 32,21,24,Tom Brady pass incomplete deep left intended for Julian Edelman,3.450,2.900
3,11:03,2,10,CHI 32,21,24,Tom Brady pass complete short middle to Chris Hogan for 8 yards (tackle by Kyle Fuller),2.900,3.270
3,10:24,3,2,CHI 24,21,24,Tom Brady pass complete short middle to James White for 8 yards (tackle by Leonard Floyd),3.270,4.510
3,9:46,1,10,CHI 16,21,24,Kenjon Barner right end for 7 yards (tackle by Danny Trevathan and Eddie Jackson),4.510,5.160
3,9:10,2,3,CHI 9,21,24,Kenjon Barner left guard for 2 yards (tackle by Akiem Hicks),5.160,4.850
3,8:29,3,1,CHI 7,21,24,Tom Brady sacked by Roquan Smith for -4 yards,4.850,2.750
3,7:52,4,5,CHI 11,24,24,Stephen Gostkowski 29 yard field goal good,2.750,3.000
3,7:48,,,NWE 35,24,24,"Stephen Gostkowski kicks off 64 yards, returned by Benny Cunningham for no gain (tackle by Matthew Slater)",0.000,0.610
3,7:40,1,10,CHI 25,24,24,Jordan Howard right guard for 2 yards (tackle by Lawrence Guy),0.610,0.330
3,7:03,2,8,CHI 27,24,24,"Mitchell Trubisky pass incomplete deep left intended for Taylor Gabriel. Penalty on J.C. Jackson: Defensive Pass Interference, 16 yards (no play)",0.330,1.800
3,6:57,1,10,CHI 43,24,24,Jordan Howard left tackle for 2 yards (tackle by Dont'a Hightower),1.800,1.520
3,6:16,2,8,CHI 45,24,24,Mitchell Trubisky pass incomplete deep right intended for Josh Bellamy,1.520,0.830
3,6:10,3,8,CHI 45,24,24,Mitchell Trubisky pass incomplete short right,0.830,-0.390
3,6:05,4,8,CHI 45,30,24,"Pat O'Donnell punts blocked by Dont'a Hightower, recovered by Kyle Van Noy, touchdown",-0.390,-7.000
3,5:53,,,NWE 35,31,24,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,5:53,1,10,CHI 25,31,24,Mitchell Trubisky pass complete deep middle to Trey Burton for 17 yards (tackle by Dont'a Hightower),0.610,1.730
3,5:15,1,10,CHI 42,31,24,Mitchell Trubisky pass complete short middle to Tarik Cohen for 8 yards (tackle by Malcom Brown),1.730,2.270
3,4:35,2,2,CHI 50,31,24,Mitchell Trubisky pass complete short left to Jordan Howard for 9 yards (tackle by Jason McCourty),2.270,2.850
3,3:56,1,10,NWE 41,31,24,Mitchell Trubisky pass incomplete short middle intended for Anthony Miller,2.850,2.310
3,3:51,2,10,NWE 41,31,24,Mitchell Trubisky pass incomplete deep middle intended for Anthony Miller,2.310,1.620
3,3:47,3,10,NWE 41,31,24,Mitchell Trubisky pass deep right intended for Josh Bellamy is intercepted by J.C. Jackson at NE-21 and returned for no gain,1.620,-0.340
3,3:38,1,10,NWE 21,31,24,Tom Brady pass complete short left to James White for 5 yards (tackle by Khalil Mack),0.340,0.480
3,2:56,2,5,NWE 26,31,24,Tom Brady pass complete short right to Chris Hogan for 5 yards (tackle by Bryce Callahan),0.480,1.000
3,2:15,1,10,NWE 31,31,24,Tom Brady pass incomplete short left intended for James White,1.000,0.460
3,2:09,2,10,NWE 31,31,24,James White left tackle for 7 yards (tackle by Roquan Smith),0.460,0.700
3,1:34,3,3,NWE 38,31,24,Tom Brady pass incomplete short left intended for Josh Gordon,0.700,-0.850
3,1:30,4,3,NWE 38,31,24,"Ryan Allen punts 38 yards out of bounds. Penalty on Kevin Toliver: Offensive Holding, 10 yards",-0.850,0.280
3,1:24,1,10,CHI 14,31,24,"Penalty on Anthony Miller: False Start, 5 yards (no play)",-0.280,-0.570
3,1:24,1,15,CHI 9,31,24,Mitchell Trubisky pass complete short middle to Trey Burton for 11 yards (tackle by Patrick Chung),-0.570,0.150
3,0:50,2,4,CHI 20,31,24,Mitchell Trubisky pass incomplete deep left intended for Trey Burton (defended by Patrick Chung),0.150,-0.680
3,0:43,3,4,CHI 20,31,24,Mitchell Trubisky pass complete deep right to Anthony Miller for 21 yards (tackle by J.C. Jackson),-0.680,1.660
3,0:04,1,10,CHI 41,31,24,Mitchell Trubisky pass complete short middle to Tarik Cohen for 1 yard (tackle by Jonathan Jones),1.660,1.260
Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,CHI 42,31,24,Tarik Cohen right tackle for 3 yards (tackle by Adrian Clayborn),1.260,0.960
4,14:25,3,6,CHI 45,31,24,Mitchell Trubisky pass complete short right to Tarik Cohen for 10 yards. Penalty on Jason McCourty: Defensive Holding (Declined),0.960,2.590
4,13:52,1,10,NWE 45,31,24,Mitchell Trubisky pass complete short middle to Trey Burton for 10 yards (tackle by Patrick Chung),2.590,3.250
