Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
2,11:16,3,2,MIN 28,7,0,Daunte Culpepper pass complete to Nate Burleson for 4 yards (tackle by Marcus Coleman),0.100,1.070
2,10:56,1,10,MIN 32,7,0,Mewelde Moore up the middle for 5 yards (tackle by Jason Babin and Kailee Wong),1.070,1.200
2,10:14,2,5,MIN 37,7,0,Daunte Culpepper pass complete to Randy Moss for 6 yards (tackle by Aaron Glenn),1.200,1.800
2,9:37,1,10,MIN 43,7,0,Mewelde Moore right tackle for 3 yards (tackle by Jerry DeLoach),1.800,1.660
2,8:55,2,7,MIN 46,7,0,Daunte Culpepper pass complete to Larry Ned for 9 yards (tackle by Jay Foreman),1.660,2.590
2,8:15,1,10,HOU 45,7,0,"Penalty on Larry Ned: False Start, 5 yards (no play)",2.590,2.260
2,7:57,1,15,HOU 50,7,0,Daunte Culpepper pass complete to Mewelde Moore for 1 yard (tackle by Seth Payne),2.260,1.500
2,7:04,2,14,HOU 49,7,0,Daunte Culpepper pass incomplete intended for Marcus Robinson,1.500,0.830
2,6:57,,,,7,0,Timeout #3 by Minnesota Vikings,0.000,0.830
2,6:57,3,14,HOU 49,7,0,Daunte Culpepper pass complete to Mewelde Moore for 11 yards (tackle by Jamie Sharper),0.830,0.720
2,6:14,4,3,HOU 38,7,0,"Darren Bennett punts 26 yards, fair catch by J.J. Moses",0.720,0.350
2,6:06,1,10,HOU 12,7,0,David Carr pass complete to Andre Johnson for 12 yards (tackle by Brian Williams),-0.350,0.540
2,5:29,1,10,HOU 24,7,0,David Carr pass complete to Andre Johnson for 19 yards (tackle by Antoine Winfield),0.540,1.800
2,4:43,1,10,HOU 43,7,0,David Carr pass complete to Corey Bradford for 4 yards (tackle by Antoine Winfield),1.800,1.790
2,4:03,2,6,HOU 47,7,0,David Carr pass incomplete intended for Billy Miller,1.790,1.090
2,3:57,3,6,HOU 47,7,0,David Carr pass complete to Domanick Williams for -1 yards (tackle by Antoine Winfield),1.090,-0.320
2,3:11,4,7,HOU 46,7,0,"Chad Stanley punts 54 yards, touchback",-0.320,-0.280
2,2:59,1,10,MIN 20,7,0,Mewelde Moore up the middle for 5 yards (tackle by Aaron Glenn and Jason Simmons),0.280,0.410
2,2:22,2,5,MIN 25,7,0,Daunte Culpepper pass complete to Mewelde Moore for 11 yards (tackle by Jay Foreman),0.410,1.330
2,2:00,1,10,MIN 36,7,0,Daunte Culpepper pass complete to Kelly Campbell for 16 yards (tackle by Jason Simmons),1.330,2.390
2,1:54,1,10,HOU 48,7,0,Daunte Culpepper pass complete to Richard Owens for 11 yards (tackle by Jamie Sharper),2.390,3.120
2,1:48,1,10,HOU 37,7,0,Daunte Culpepper pass complete to Mewelde Moore for 8 yards (tackle by Marcus Coleman),3.120,3.650
2,1:41,2,2,HOU 29,7,0,Daunte Culpepper pass complete to Marcus Robinson for 9 yards (tackle by Aaron Glenn),3.650,4.240
2,1:10,1,10,HOU 20,7,0,Daunte Culpepper pass incomplete intended for Marcus Robinson,4.240,3.690
2,1:04,2,10,HOU 20,7,0,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",3.690,3.020
2,1:04,2,15,HOU 25,7,0,Daunte Culpepper pass complete to Marcus Robinson for 8 yards (tackle by Demarcus Faggins),3.020,3.360
2,0:58,,,,7,0,Timeout #2 by Houston Texans,0.000,3.360
2,0:58,3,7,HOU 17,7,0,"Daunte Culpepper pass incomplete intended for Marcus Robinson. Penalty on Demarcus Faggins: Defensive Pass Interference, 12 yards (no play)",3.360,6.060
2,0:52,,,,7,0,Timeout #3 by Houston Texans,0.000,6.060
2,0:52,1,5,HOU 5,7,0,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Dunta Robinson),6.060,5.150
2,0:47,2,5,HOU 5,7,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Jason Babin),5.150,4.260
2,0:43,3,5,HOU 5,13,0,"Daunte Culpepper pass complete to Nate Burleson for 5 yards, touchdown",4.260,7.000
2,,,,HOU 2,14,0,Morten Andersen kicks extra point good,0.000,0.000
2,,,,MIN 30,14,0,"Aaron Elling kicks off 74 yards, returned by J.J. Moses for 29 yards (tackle by Larry Ned)",0.000,0.610
2,0:29,1,10,HOU 25,14,0,David Carr pass incomplete intended for Domanick Williams (defended by Chris Hovan),0.610,0.060
2,0:25,2,10,HOU 25,14,0,David Carr pass complete to Andre Johnson for 18 yards (tackle by Mike Nattiel),0.060,1.800
2,0:12,1,10,HOU 43,14,0,David Carr spiked the ball,1.800,1.250
2,0:10,2,10,HOU 43,14,0,David Carr pass incomplete intended for Domanick Williams,1.250,0.560
2,0:05,3,10,HOU 43,14,0,David Carr for 14 yards (tackle by Dontarrious Thomas),0.560,2.720
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,14,0,"Aaron Elling kicks off 66 yards, returned by J.J. Moses for 19 yards (tackle by Raonall Smith). Penalty on DaShon Polk: Offensive Holding, 10 yards",0.000,-0.320
3,14:53,1,10,HOU 13,14,0,Domanick Williams left guard for 5 yards (tackle by Kenechi Udeze),-0.320,-0.140
3,14:14,2,5,HOU 18,14,0,David Carr up the middle for 2 yards (tackle by Kenechi Udeze),-0.140,-0.590
3,13:25,3,3,HOU 20,14,0,"Penalty on Todd Wade: False Start, 5 yards (no play)",-0.590,-1.180
3,13:09,3,8,HOU 15,14,0,David Carr sacked by Kevin Williams for -4 yards,-1.180,-2.490
3,12:45,4,12,HOU 11,14,0,"Chad Stanley punts 38 yards, fair catch by Keenan Howry",-2.490,-2.320
3,12:36,1,10,HOU 49,14,0,"Daunte Culpepper pass complete to Randy Moss for 29 yards (tackle by Aaron Glenn). Penalty on Jamie Sharper: Roughing the Passer, 10 yards",2.320,4.910
3,12:06,1,10,HOU 10,14,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Jason Babin),4.910,4.190
3,11:57,2,10,HOU 10,20,0,"Daunte Culpepper pass complete to Marcus Robinson for 10 yards, touchdown",4.190,7.000
3,,,,HOU 2,21,0,Morten Andersen kicks extra point good,0.000,0.000
3,,,,MIN 30,21,0,"Aaron Elling kicks off 72 yards, returned by J.J. Moses for 14 yards (tackle by Rod Davis). Penalty on Matt Murphy: Offensive Holding, 6 yards",0.000,-0.380
3,11:44,1,10,HOU 6,21,0,Domanick Williams up the middle for 3 yards (tackle by Raonall Smith),-0.380,-0.560
3,11:07,2,7,HOU 9,21,0,David Carr pass complete to Mark Bruener for 27 yards (tackle by Corey Chavous),-0.560,1.330
3,10:28,1,10,HOU 36,21,0,David Carr pass complete to Jabar Gaffney for 22 yards (tackle by Brian Russell),1.330,2.790
3,9:59,1,10,MIN 42,21,0,Domanick Williams right guard for 4 yards (tackle by Steve Martin and Max Yates),2.790,2.780
3,9:21,2,6,MIN 38,21,0,Domanick Williams left guard for -2 yards (tackle by Raonall Smith and Kenechi Udeze),2.780,1.820
3,8:38,3,8,MIN 40,21,0,David Carr pass complete to Andre Johnson for 36 yards (tackle by Terrance Shaw),1.820,6.280
3,8:14,1,4,MIN 4,21,0,Domanick Williams up the middle for 2 yards (tackle by Max Yates and Kenechi Udeze),6.280,5.720
3,7:37,2,2,MIN 2,21,0,Domanick Williams right guard for no gain (tackle by Kenechi Udeze),5.720,4.950
3,6:58,3,2,MIN 2,21,6,"David Carr pass complete to Andre Johnson for 2 yards, touchdown",4.950,7.000
3,,,,MIN 2,21,7,Kris Brown kicks extra point good,0.000,0.000
3,,,,HOU 30,21,7,"Kris Brown kicks off 72 yards, returned by Kelly Campbell for 19 yards (tackle by Robaire Smith)",0.000,-0.060
3,6:45,1,10,MIN 17,21,7,Mewelde Moore right guard for 5 yards (tackle by Robaire Smith and Kailee Wong),-0.060,0.210
3,6:03,2,5,MIN 22,21,7,Daunte Culpepper pass complete to Mewelde Moore for 7 yards (tackle by Aaron Glenn). Penalty on Jamie Sharper: Illegal Contact (Declined),0.210,0.870
3,5:39,1,10,MIN 29,21,7,Mewelde Moore right guard for no gain (tackle by Seth Payne),0.870,0.330
3,5:02,2,10,MIN 29,21,7,"Penalty on Nat Dorsey: False Start, 5 yards (no play)",0.330,-0.350
3,4:39,2,15,MIN 24,21,7,Daunte Culpepper pass complete to Keenan Howry for 3 yards (tackle by Aaron Glenn),-0.350,-0.630
3,4:01,3,12,MIN 27,21,7,Daunte Culpepper left end for 6 yards (tackle by Demarcus Faggins),-0.630,-1.180
3,3:36,4,6,MIN 33,21,7,"Darren Bennett punts 49 yards, returned by J.J. Moses for 7 yards (tackle by Willie Offord)",-1.180,-0.610
3,3:23,1,10,HOU 25,21,7,David Carr pass incomplete intended for Corey Bradford,0.610,0.060
3,3:17,2,10,HOU 25,21,7,David Carr pass complete to Andre Johnson for 8 yards (tackle by Dontarrious Thomas),0.060,0.430
3,2:35,3,2,HOU 33,21,7,David Carr pass incomplete intended for Andre Johnson (defended by Terrance Shaw),0.430,-1.180
3,2:29,4,2,HOU 33,21,7,"Chad Stanley punts 50 yards, returned by Nate Burleson for 4 yards (tackle by Corey Bradford)",-1.180,-0.340
3,2:17,1,10,MIN 21,21,7,Daunte Culpepper pass incomplete intended for Randy Moss,0.340,-0.200
3,2:12,2,10,MIN 21,21,7,Daunte Culpepper pass complete to Mewelde Moore for 7 yards (tackle by Jay Foreman),-0.200,0.040
3,1:30,3,3,MIN 28,21,7,Daunte Culpepper pass complete to Nate Burleson for 7 yards (tackle by Aaron Glenn),0.040,1.270
3,0:54,1,10,MIN 35,21,7,Mewelde Moore left guard for 4 yards (tackle by Jay Foreman and Jamie Sharper),1.270,1.260
3,0:15,2,6,MIN 39,21,7,Mewelde Moore left tackle for 2 yards (tackle by Robaire Smith and Jay Foreman),1.260,0.830
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,MIN 41,21,7,Daunte Culpepper pass incomplete intended for Marcus Robinson (defended by Dunta Robinson),0.830,-0.650
4,14:55,4,4,MIN 41,21,7,"Darren Bennett punts 36 yards, returned by J.J. Moses for 9 yards (tackle by Brian Russell). Penalty on Max Yates: Tripping, 10 yards",-0.650,-1.730
4,14:42,1,10,HOU 42,21,7,David Carr pass complete to Andre Johnson for 6 yards (tackle by Brian Williams),1.730,2.000
4,14:06,2,4,HOU 48,21,7,David Carr sacked by Steve Martin and Kenny Mixon for -2 yards,2.000,1.030
4,13:37,3,6,HOU 46,21,7,David Carr pass complete to Derick Armstrong for 35 yards (tackle by Corey Chavous),1.030,4.310
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
4,13:01,1,10,MIN 19,21,7,"David Carr pass incomplete intended for Billy Miller (defended by Keith Newman). Penalty on Billy Miller: Illegal Motion, 5 yards (no play)",4.310,3.970
4,12:55,1,15,MIN 24,21,7,David Carr pass complete to Andre Johnson for 20 yards (tackle by Dontarrious Thomas),3.970,6.280
4,12:15,1,4,MIN 4,21,7,Domanick Williams right guard for 3 yards (tackle by Keith Newman and Kevin Williams),6.280,5.910
4,11:36,2,1,MIN 1,21,13,"Domanick Williams right guard for 1 yard, touchdown",5.910,7.000
4,,,,MIN 2,21,14,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,21,14,"Kris Brown kicks off 70 yards, touchback",0.000,0.280
4,11:31,1,10,MIN 20,21,14,Daunte Culpepper pass complete to Randy Moss for 4 yards (tackle by Jamie Sharper),0.280,0.270
4,10:46,2,6,MIN 24,21,14,Daunte Culpepper pass complete to Marcus Robinson for 20 yards (tackle by Jason Simmons),0.270,1.860
4,10:03,1,10,MIN 44,21,14,Daunte Culpepper pass complete to Mewelde Moore for 6 yards (tackle by Jamie Sharper),1.860,2.130
4,9:16,2,4,HOU 50,21,14,Daunte Culpepper pass incomplete intended for Nate Burleson,2.130,1.420
4,9:08,,,,21,14,Timeout #2 by Minnesota Vikings,0.000,1.420
4,9:08,3,4,HOU 50,21,14,Daunte Culpepper pass incomplete intended for Marcus Robinson (defended by Marcus Coleman),1.420,-0.060
4,9:02,4,4,HOU 50,21,14,"Darren Bennett punts 28 yards, fair catch by J.J. Moses",-0.060,-0.410
4,8:53,1,10,HOU 22,21,14,David Carr pass incomplete intended for Andre Johnson,0.410,-0.130
4,8:48,2,10,HOU 22,21,14,Domanick Williams right end for 2 yards (tackle by Antoine Winfield and Raonall Smith),-0.130,-0.560
4,8:05,3,8,HOU 24,21,14,David Carr pass incomplete intended for Corey Bradford,-0.560,-1.770
4,7:59,4,8,HOU 24,21,14,"Chad Stanley punts 48 yards, returned by Nate Burleson for 13 yards (tackle by Troy Evans)",-1.770,-1.660
4,7:48,1,10,MIN 41,21,14,Daunte Culpepper pass incomplete intended for Mewelde Moore (defended by Dunta Robinson),1.660,1.120
4,7:42,2,10,MIN 41,21,14,Daunte Culpepper pass complete to Mewelde Moore for 9 yards (tackle by Jay Foreman),1.120,1.620
4,6:58,3,1,HOU 50,27,14,"Daunte Culpepper pass complete to Randy Moss for 50 yards, touchdown. Penalty on Kelly Campbell: Taunting, 15 yards, Penalty on Daunte Culpepper: Taunting (Declined)",1.620,7.000
4,,,,HOU 2,28,14,Morten Andersen kicks extra point good,0.000,0.000
4,,,,MIN 15,28,14,"Aaron Elling kicks off 71 yards, returned by J.J. Moses for 43 yards (tackle by Aaron Elling). Penalty on J.J. Moses: Face Mask (15 Yards), 15 yards",0.000,1.730
4,6:40,1,10,HOU 42,28,14,David Carr pass complete to Domanick Williams for 6 yards (tackle by Dontarrious Thomas),1.730,2.000
4,6:17,2,4,HOU 48,28,14,David Carr pass incomplete intended for Andre Johnson (defended by Terrance Shaw),2.000,1.290
4,6:13,3,4,HOU 48,28,14,David Carr pass incomplete intended for Andre Johnson,1.290,-0.190
4,6:09,4,4,HOU 48,28,14,David Carr pass complete to Derick Armstrong for 19 yards (tackle by Terrance Shaw),-0.190,3.380
4,5:51,1,10,MIN 33,28,14,David Carr pass complete to Andre Johnson for 13 yards (tackle by Mike Nattiel),3.380,4.240
4,5:23,1,10,MIN 20,28,14,David Carr pass incomplete intended for Domanick Williams,4.240,3.690
4,5:19,2,10,MIN 20,28,14,David Carr pass complete to Andre Johnson for 8 yards (tackle by Antoine Winfield),3.690,4.340
4,4:47,3,2,MIN 12,28,14,Domanick Williams left guard for 6 yards (tackle by Dontarrious Thomas and Lance Johnstone),4.340,5.830
4,4:10,1,6,MIN 6,28,14,David Carr pass incomplete intended for Mark Bruener,5.830,4.950
4,4:04,2,6,MIN 6,28,14,David Carr up the middle for 5 yards (tackle by Mike Nattiel),4.950,5.170
4,3:26,3,1,MIN 1,28,14,"David Carr pass incomplete intended for Billy Miller. Penalty on Zach Wiegert: Tripping, 10 yards (no play)",5.170,3.120
4,3:20,3,11,MIN 11,28,14,David Carr pass incomplete intended for Andre Johnson,3.120,2.700
4,3:15,4,11,MIN 11,28,20,"David Carr pass complete to Derick Armstrong for 11 yards, touchdown",2.700,7.000
4,,,,MIN 2,28,21,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,28,21,"Kris Brown kicks off 69 yards, returned by Mewelde Moore for 3 yards (tackle by Charlie Anderson)",0.000,-0.380
4,3:08,1,10,MIN 4,28,21,Mewelde Moore left guard for 9 yards (tackle by Marcus Coleman),-0.380,-0.120
4,2:59,,,,28,21,Timeout #1 by Houston Texans,0.000,-0.120
4,2:59,2,1,MIN 13,28,21,"Penalty on Nat Dorsey: False Start, 5 yards (no play)",-0.120,-0.490
4,2:59,2,6,MIN 8,28,21,Mewelde Moore right tackle for 5 yards (tackle by Jamie Sharper and Jay Foreman),-0.490,-0.370
4,2:52,,,,28,21,Timeout #2 by Houston Texans,0.000,-0.370
4,2:52,3,1,MIN 13,28,21,Mewelde Moore right tackle for -3 yards (tackle by Jason Babin and Robaire Smith),-0.370,-2.490
4,2:47,4,4,MIN 10,28,21,"Darren Bennett punts 52 yards, returned by J.J. Moses for 3 yards (tackle by Mike Nattiel). Penalty on Rod Davis: Ineligible Downfield Kick, 5 yards (no play)",-2.490,-2.490
4,2:35,4,9,MIN 5,28,21,"Darren Bennett punts 52 yards, returned by J.J. Moses for 15 yards (tackle by Raonall Smith)",-2.490,-2.790
4,2:21,1,10,MIN 42,28,21,David Carr pass complete to Derick Armstrong for 8 yards (tackle by Brian Williams),2.790,3.320
4,2:15,2,2,MIN 34,28,21,David Carr pass complete to Derick Armstrong for 12 yards (tackle by Antoine Winfield),3.320,4.110
4,2:00,1,10,MIN 22,28,27,"David Carr pass complete to Andre Johnson for 22 yards, touchdown",4.110,7.000
4,,,,MIN 2,28,28,Kris Brown kicks extra point good,0.000,0.000
4,,,,HOU 30,28,28,"Kris Brown kicks off 74 yards, returned by Nate Burleson for 22 yards (tackle by Marlon McCree)",0.000,0.040
4,1:46,1,10,MIN 18,28,28,Daunte Culpepper pass complete to Mewelde Moore for 8 yards (tackle by Robaire Smith),0.040,0.680
4,1:18,2,2,MIN 26,28,28,Daunte Culpepper pass incomplete intended for Mewelde Moore,0.680,-0.140
4,1:13,3,2,MIN 26,28,28,Daunte Culpepper sacked by Kailee Wong for -2 yards,-0.140,-1.770
4,0:27,4,4,MIN 24,28,28,"Darren Bennett punts 51 yards, returned by J.J. Moses for 15 yards (tackle by Willie Offord)",-1.770,-1.600
4,0:13,1,10,HOU 40,28,28,David Carr sacked by Lance Johnstone for -5 yards,1.600,-0.940
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,
OT,15:00,1,10,HOU 30,28,28,"Kris Brown kicks off 69 yards, returned by Nate Burleson for 29 yards (tackle by Kenny Wright)",0.940,0.940
OT,14:54,1,10,MIN 30,28,28,Mewelde Moore left tackle for 3 yards (tackle by Jerry DeLoach and Jay Foreman),0.940,0.800
OT,14:11,2,7,MIN 33,28,28,Daunte Culpepper pass complete to Mewelde Moore for no gain,0.800,0.100
OT,13:28,3,7,MIN 33,28,28,Daunte Culpepper pass complete to Mewelde Moore for 2 yards (tackle by Aaron Glenn),0.100,-1.040
OT,12:47,4,5,MIN 35,28,28,Darren Bennett punts 47 yards,-1.040,-0.040
OT,12:33,1,10,HOU 18,28,28,David Carr pass complete to Corey Bradford for 9 yards (tackle by Brian Williams),0.040,0.820
OT,12:00,2,1,HOU 27,28,28,"Domanick Williams left guard for 10 yards (tackle by Mike Nattiel). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",0.820,-0.650
OT,11:39,2,11,HOU 17,28,28,David Carr pass complete to Derick Armstrong for 16 yards (tackle by Ralph Brown),-0.650,1.140
OT,10:59,1,10,HOU 33,28,28,David Carr pass incomplete intended for Corey Bradford,1.140,0.590
OT,10:54,2,10,HOU 33,28,28,David Carr pass complete to Jabar Gaffney for 8 yards (tackle by Antoine Winfield),0.590,0.960
OT,10:13,3,2,HOU 41,28,28,David Carr sacked by Chris Hovan and Steve Martin for -3 yards,0.960,-0.850
OT,9:50,4,5,HOU 38,28,28,Chad Stanley punts 43 yards,-0.850,-0.150
OT,9:35,1,10,MIN 19,28,28,Daunte Culpepper pass complete to Marcus Robinson for 11 yards (tackle by Jamie Sharper),0.150,0.940
OT,8:53,1,10,MIN 30,28,28,Daunte Culpepper for 2 yards (tackle by Jason Simmons),0.940,0.660
OT,8:30,2,8,MIN 32,28,28,Daunte Culpepper pass complete to Mewelde Moore for 20 yards (tackle by Jay Foreman),0.660,2.390
OT,7:41,1,10,HOU 48,28,28,Daunte Culpepper pass incomplete intended for Marcus Robinson,2.390,1.850
OT,7:36,1,10,HOU 48,28,28,Timeout #1 by Minnesota Vikings,2.390,1.850
OT,7:36,2,10,HOU 48,28,28,Daunte Culpepper sacked by Robaire Smith for -2 yards. Penalty on Nat Dorsey: Offensive Holding (Declined),1.850,0.890
OT,7:12,3,12,,34,28,"Daunte Culpepper pass complete to Marcus Robinson for 50 yards, touchdown. Penalty on Antwan Peek: Defensive Offside (Declined)",0.890,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
