Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
2,7:30,2,11,WAS 49,14,0,Dwayne Haskins pass incomplete deep left intended for J.D. McKissic,1.580,0.890
2,7:25,3,11,WAS 49,14,0,Dwayne Haskins pass complete short left to Antonio Gibson for 40 yards (tackle by Jimmy Smith),0.890,4.840
2,6:38,1,10,BAL 11,14,0,Antonio Gibson left guard for 9 yards (tackle by L.J. Fort),4.840,5.850
2,6:02,2,1,BAL 2,14,0,Antonio Gibson right guard for 1 yard (tackle by L.J. Fort),5.850,6.970
2,5:25,1,1,BAL 1,14,0,Peyton Barber up the middle for -1 yards (tackle by Patrick Queen),6.970,5.720
2,4:46,2,2,BAL 2,14,6,"Antonio Gibson up the middle for 2 yards, touchdown",5.720,7.000
2,4:41,,,BAL 15,14,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,4:41,,,WAS 35,14,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,4:41,1,10,BAL 25,14,7,Lamar Jackson pass complete deep middle to Marquise Brown for 31 yards (tackle by Kevin Pierre-Louis),0.610,2.650
2,4:00,1,10,WAS 44,14,7,Gus Edwards right tackle for 1 yard (tackle by Jonathan Bostic and Daron Payne),2.650,2.250
2,3:23,2,9,WAS 43,14,7,Lamar Jackson pass incomplete deep right intended for Devin Duvernay,2.250,1.550
2,3:15,3,9,WAS 43,14,7,Lamar Jackson pass incomplete deep left intended for Marquise Brown (defended by Troy Apke),1.550,0.400
2,3:09,4,9,WAS 43,14,7,Sam Koch pass complete short right to Miles Boykin for 15 yards (tackle by Fabian Moreau),0.400,3.710
2,2:18,,,,,,Timeout #1 by Baltimore Ravens,,
2,2:18,1,10,WAS 28,14,7,Lamar Jackson pass complete short middle to Mark Ingram for 3 yards (tackle by Jonathan Bostic),3.710,3.570
2,2:00,2,7,WAS 25,14,7,Lamar Jackson pass incomplete short right intended for J.K. Dobbins,3.570,2.870
2,1:57,3,7,WAS 25,20,7,"Lamar Jackson pass complete deep left to Mark Andrews for 25 yards, touchdown",2.870,7.000
2,1:49,,,WAS 15,21,7,Justin Tucker kicks extra point good,0.000,0.000
2,1:49,,,BAL 35,21,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,1:49,1,10,WAS 25,21,7,Isaiah Wright right end for 9 yards (tackle by Jimmy Smith),0.610,1.280
2,1:27,2,1,WAS 34,21,7,Dwayne Haskins pass complete short left to Terry McLaurin for 4 yards (tackle by Anthony Averett),1.280,1.470
2,1:10,1,10,WAS 38,21,7,Dwayne Haskins pass complete short right to Terry McLaurin for 3 yards (tackle by Marlon Humphrey),1.470,1.330
2,1:02,,,,,,Timeout #1 by Washington Football Team,,
2,1:02,2,7,WAS 41,21,7,Dwayne Haskins sacked by Matt Judon for -13 yards,1.330,-1.090
2,0:57,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:57,3,20,WAS 28,21,7,J.D. McKissic right tackle for 5 yards (tackle by Calais Campbell),-1.090,-1.180
2,0:52,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:52,4,15,WAS 33,21,7,"Tress Way punts 49 yards, returned by James Proche for 5 yards (tackle by Fabian Moreau)",-1.180,-0.480
2,0:42,1,10,BAL 23,21,7,Lamar Jackson pass incomplete deep middle intended for Marquise Brown,0.480,-0.070
2,0:36,2,10,BAL 23,21,7,Lamar Jackson pass short left intended for Miles Boykin is intercepted by Kendall Fuller at BAL-37 and returned for no gain,-0.070,-3.120
2,0:31,1,10,BAL 37,21,7,Dwayne Haskins pass complete short left to J.D. McKissic for 12 yards (tackle by Patrick Queen),3.120,3.910
2,0:23,,,,,,Timeout #2 by Washington Football Team,,
2,0:23,1,10,BAL 25,21,7,Dwayne Haskins pass complete short right to J.D. McKissic for no gain (tackle by Calais Campbell),3.910,3.360
2,0:05,,,,,,Timeout #2 by Washington Football Team,,
2,0:05,2,10,BAL 25,21,10,Dustin Hopkins 43 yard field goal good,3.360,3.000
Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,21,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,21,10,Lamar Jackson pass complete short right to Miles Boykin for 13 yards (tackle by Jonathan Bostic),0.610,1.470
3,14:20,1,10,BAL 38,21,10,J.K. Dobbins right end for 2 yards (tackle by Kamren Curl and Ronald Darby),1.470,1.190
3,13:35,2,8,BAL 40,21,10,Lamar Jackson pass complete short middle to Nick Boyle for 9 yards (tackle by Jonathan Bostic and Kevin Pierre-Louis),1.190,2.190
3,12:53,1,10,BAL 49,21,10,Mark Ingram left guard for 7 yards (tackle by Shaun Dion Hamilton),2.190,2.590
3,12:11,2,3,WAS 44,21,10,Mark Ingram right tackle for 2 yards (tackle by Landon Collins and Daron Payne),2.590,2.150
3,11:40,3,1,WAS 42,21,10,Gus Edwards right tackle for 3 yards (tackle by Jonathan Bostic and Nate Orchard),2.150,2.980
3,10:59,1,10,WAS 39,21,10,Lamar Jackson sacked by Tim Settle for -2 yards,2.980,2.170
3,10:10,2,12,WAS 41,21,10,Lamar Jackson pass complete short middle to Marquise Brown for 18 yards (tackle by Landon Collins and Kendall Fuller),2.170,4.040
3,9:27,1,10,WAS 23,21,10,Gus Edwards right tackle for 1 yard (tackle by Jonathan Bostic and Daron Payne),4.040,3.630
3,8:47,2,9,WAS 22,27,10,"Lamar Jackson pass complete deep right to Mark Andrews for 22 yards, touchdown",3.630,7.000
3,8:42,,,WAS 15,28,10,Justin Tucker kicks extra point good,0.000,0.000
3,8:42,,,BAL 35,28,10,"Justin Tucker kicks off 60 yards, returned by Isaiah Wright for 20 yards (tackle by Chris Board and L.J. Fort)",0.000,0.610
3,8:34,1,10,WAS 25,28,10,Antonio Gibson up the middle for 3 yards (tackle by Marcus Peters),0.610,0.470
3,8:08,2,7,WAS 28,28,10,Dwayne Haskins pass complete short middle to Antonio Gibson for 7 yards (tackle by L.J. Fort),0.470,1.270
3,7:33,1,10,WAS 35,28,10,Dwayne Haskins pass incomplete short left intended for Peyton Barber,1.270,0.720
3,7:28,2,10,WAS 35,28,10,Dwayne Haskins pass incomplete short left intended for Terry McLaurin,0.720,0.040
3,7:23,3,10,WAS 35,28,10,Dwayne Haskins pass complete short right to J.D. McKissic for 4 yards (tackle by DeShon Elliott),0.040,-0.780
3,6:43,4,6,WAS 39,28,10,"Tress Way punts 41 yards, returned by James Proche for 13 yards (tackle by Jared Norris)",-0.780,-1.140
3,6:32,1,10,BAL 33,28,10,"Penalty on Matt Skura: False Start, 5 yards (no play)",1.140,0.810
3,6:32,1,15,BAL 28,28,10,Lamar Jackson pass complete short right to Marquise Brown for 4 yards (tackle by Jonathan Bostic),0.810,0.460
3,5:50,2,11,BAL 32,28,10,Lamar Jackson up the middle for 3 yards (tackle by Daron Payne),0.460,0.170
3,5:04,3,8,BAL 35,28,10,Lamar Jackson left end for 4 yards (tackle by Kevin Pierre-Louis),0.170,-0.780
3,4:29,4,4,BAL 39,28,10,"Sam Koch punts 51 yards, fair catch by Isaiah Wright at WAS-10",-0.780,0.380
3,4:22,1,10,WAS 10,28,10,Antonio Gibson right end for 7 yards (tackle by Chuck Clark and Patrick Queen),-0.380,-0.090
3,3:48,2,3,WAS 17,28,10,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin (defended by Marlon Humphrey),-0.090,-0.600
3,3:43,3,3,WAS 17,28,10,Dwayne Haskins pass complete short middle to Dontrelle Inman for 4 yards (tackle by Anthony Averett),-0.600,0.340
3,3:12,1,10,WAS 21,28,10,Dwayne Haskins pass complete deep middle to Terry McLaurin for 19 yards (tackle by L.J. Fort),0.340,1.600
3,2:31,1,10,WAS 40,28,10,Dwayne Haskins pass complete short right to J.D. McKissic for 4 yards (tackle by Chuck Clark and Chris Board),1.600,1.590
3,1:54,2,6,WAS 44,28,10,Dwayne Haskins pass complete short middle to Terry McLaurin for 13 yards (tackle by DeShon Elliott and Chris Board),1.590,2.720
3,1:35,1,10,BAL 43,28,10,Dwayne Haskins pass incomplete short left,2.720,2.180
3,1:29,2,10,BAL 43,28,10,Dwayne Haskins pass complete short left to Cam Sims for 8 yards (tackle by Anthony Averett),2.180,2.540
3,0:51,3,2,BAL 35,28,10,Dwayne Haskins pass incomplete short right intended for Isaiah Wright (defended by Anthony Averett),2.540,0.990
3,0:47,4,2,BAL 35,28,10,Dwayne Haskins pass complete short right to Terry McLaurin for 3 yards (tackle by Marlon Humphrey),0.990,3.450
3,0:21,1,10,BAL 32,28,10,Dwayne Haskins pass complete short left to Dontrelle Inman for 8 yards (tackle by Chris Board),3.450,3.980
Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,BAL 24,28,10,Antonio Gibson right end for 3 yards (tackle by Jaylon Ferguson),3.980,4.170
4,14:26,1,10,BAL 21,28,10,Dwayne Haskins pass complete short middle to Isaiah Wright for 11 yards (tackle by Marlon Humphrey),4.170,4.910
4,13:52,1,10,BAL 10,28,10,"Penalty on Chase Roullier: False Start, 5 yards (no play)",4.910,4.370
4,13:52,1,15,BAL 15,28,10,Dwayne Haskins sacked by Jaylon Ferguson for -18 yards,4.370,1.250
4,13:09,2,33,BAL 33,28,10,Dwayne Haskins pass complete short left to J.D. McKissic for 11 yards (tackle by Chuck Clark),1.250,2.080
4,12:22,3,22,BAL 22,28,10,Dwayne Haskins pass complete short middle to J.D. McKissic for 9 yards (tackle by Marlon Humphrey),2.080,2.570
4,11:42,4,13,BAL 13,28,10,Dwayne Haskins pass complete short right to Isaiah Wright for 5 yards (tackle by Marcus Peters),2.570,0.380
4,11:35,1,10,BAL 8,28,10,Gus Edwards right guard for no gain (tackle by Landon Collins),-0.380,-0.780
4,10:49,,,,,,Timeout #1 by Baltimore Ravens,,
4,10:49,2,10,BAL 8,28,10,Lamar Jackson pass complete short middle to Devin Duvernay for 4 yards (tackle by Landon Collins),-0.780,-0.950
4,10:06,3,6,BAL 12,28,10,Lamar Jackson pass complete short middle to Willie Snead for 10 yards (tackle by Ronald Darby),-0.950,0.410
4,9:27,1,10,BAL 22,28,10,"Gus Edwards right tackle for 13 yards (tackle by Montez Sweat). Penalty on Montez Sweat: Horse Collar Tackle, 15 yards",0.410,2.260
4,8:55,1,10,BAL 50,28,10,Mark Ingram left tackle for 8 yards (tackle by Troy Apke),2.260,2.790
4,8:14,2,2,WAS 42,28,10,Mark Ingram right guard for 6 yards (tackle by Kevin Pierre-Louis),2.790,3.180
4,7:31,1,10,WAS 36,28,10,Gus Edwards right tackle for 9 yards (tackle by Jonathan Bostic),3.180,3.850
4,6:49,2,1,WAS 27,28,10,Lamar Jackson left end for -11 yards (tackle by Ryan Anderson),3.850,1.690
4,6:03,3,12,WAS 38,28,10,Lamar Jackson pass complete short middle to Willie Snead for 10 yards (tackle by Landon Collins),1.690,1.700
4,5:21,4,2,WAS 28,31,10,Justin Tucker 46 yard field goal good,1.700,3.000
4,5:16,,,BAL 35,31,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,5:16,1,10,WAS 25,31,10,Dwayne Haskins pass complete short middle to Terry McLaurin for 16 yards (tackle by Anthony Averett),0.610,1.660
4,5:00,1,10,WAS 41,31,10,Dwayne Haskins pass incomplete short middle intended for Dontrelle Inman,1.660,1.120
4,4:54,2,10,WAS 41,31,10,Dwayne Haskins pass complete short right to Dontrelle Inman for 4 yards (tackle by L.J. Fort),1.120,0.960
4,4:36,3,6,WAS 45,31,10,Dwayne Haskins pass incomplete short right intended for Logan Thomas (defended by Matt Judon),0.960,-0.390
4,4:31,4,6,WAS 45,31,10,"Tress Way punts 43 yards, fair catch by James Proche at BAL-12",-0.390,0.350
4,4:24,1,10,BAL 12,31,10,J.K. Dobbins up the middle for -2 yards (tackle by James Smith-Williams),-0.350,-0.930
4,3:42,2,12,BAL 10,31,10,"J.K. Dobbins right end for 3 yards (tackle by Ronald Darby). Penalty on D.J. Fluker: Offensive Holding, 5 yards (no play)",-0.930,-1.290
4,3:37,2,17,BAL 5,31,10,Robert Griffin pass deep left intended for Marquise Brown is intercepted by Kendall Fuller at BAL-42 and returned for no gain,-1.290,-2.790
4,3:29,1,10,BAL 42,31,10,Dwayne Haskins pass complete deep left to Terry McLaurin for 39 yards (tackle by Khalil Dorsey),2.790,6.510
4,2:59,1,3,BAL 3,31,10,Antonio Gibson left guard for 2 yards (tackle by Patrick Queen and Calais Campbell),6.510,5.910
4,2:33,2,1,BAL 1,31,10,Dwayne Haskins left guard for no gain (tackle by Matt Judon and Patrick Queen),5.910,5.170
4,2:09,3,1,BAL 1,31,16,"Dwayne Haskins right tackle for 1 yard, touchdown",5.170,7.000
4,2:05,,,BAL 15,31,17,Dustin Hopkins kicks extra point good,0.000,0.000
4,2:05,,,WAS 35,31,17,"Dustin Hopkins kicks onside 14 yards, returned by James Proche for no gain",0.000,2.320
4,2:04,,,,,,Timeout #2 by Baltimore Ravens,,
4,2:04,1,10,WAS 49,31,17,J.K. Dobbins up the middle for no gain (tackle by James Smith-Williams),2.320,1.780
4,1:59,2,10,WAS 49,31,17,"J.K. Dobbins right end for 6 yards (tackle by Troy Apke). Penalty on D.J. Fluker: Offensive Holding, 10 yards (no play)",1.780,0.430
4,1:52,2,20,BAL 41,31,17,J.K. Dobbins right end for 14 yards (tackle by Landon Collins and Troy Apke),0.430,1.620
4,1:42,,,,,,Timeout #1 by Washington Football Team,,
4,1:42,3,6,WAS 45,31,17,Robert Griffin right end for 5 yards (tackle by Jonathan Bostic),1.620,0.590
4,1:33,,,,,,Timeout #2 by Washington Football Team,,
4,1:33,4,1,WAS 40,31,17,Gus Edwards left end for 2 yards (tackle by Jonathan Bostic and Shaun Dion Hamilton),0.590,3.050
4,0:47,1,10,WAS 38,31,17,Robert Griffin kneels for -1 yards,3.050,2.370
4,0:07,2,11,WAS 39,31,17,Robert Griffin kneels for -1 yards,2.370,1.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
