Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
1,0:36,2,9,ARI 44,7,7,Carson Palmer pass complete short right to Chad Johnson for 11 yards,2.180,3.380
1,0:28,1,10,ARI 33,7,7,"Carson Palmer pass incomplete deep right intended for Chad Johnson. Penalty on ARI: Defensive 12 On-field, 5 yards (no play)",3.380,4.110
1,0:21,1,5,ARI 28,7,7,Rudi Johnson left guard for 3 yards (tackle by Karlos Dansby),4.110,3.920
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,ARI 25,7,7,Rudi Johnson left tackle for 2 yards (tackle by Gerald Hayes and Karlos Dansby),3.920,4.040
2,14:13,2,2,ARI 25,7,7,Timeout #2 by Cincinnati Bengals,3.920,4.040
2,14:13,1,10,ARI 23,7,7,"Rudi Johnson right end for 3 yards (tackle by Karlos Dansby and Darryl Blackstock). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",4.040,3.380
2,13:53,1,20,ARI 33,7,7,Carson Palmer pass complete short left to Chris Henry for 5 yards (tackle by Eric Green),3.380,2.820
2,13:29,2,15,ARI 28,7,7,Carson Palmer pass complete short left to Kenny Watson for 5 yards (tackle by Karlos Dansby),2.820,2.810
2,12:57,3,10,ARI 23,7,7,Carson Palmer pass incomplete short middle intended for Kenny Watson,2.810,1.930
2,12:51,4,10,ARI 23,7,10,Shayne Graham 41 yard field goal good,1.930,3.000
2,12:51,,,CIN 30,7,10,"Shayne Graham kicks off 71 yards, returned by Steve Breaston for 33 yards (tackle by Nedu Ndukwe)",0.000,1.070
2,12:39,1,10,ARI 32,7,10,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,1.070,0.530
2,12:36,2,10,ARI 32,7,10,Edgerrin James left end for 4 yards (tackle by Rashad Jeanty),0.530,0.370
2,11:49,3,6,ARI 36,7,10,"Penalty on Robert Geathers: Neutral Zone Infraction, 5 yards (no play)",0.370,1.030
2,11:26,3,1,ARI 41,7,10,Kurt Warner pass complete short left to Larry Fitzgerald for 15 yards (tackle by Leon Hall),1.030,2.650
2,11:05,3,1,ARI 41,7,10,Timeout #1 by Arizona Cardinals,1.030,2.650
2,11:05,1,10,CIN 44,13,10,"Kurt Warner pass complete deep middle to Anquan Boldin for 44 yards, touchdown",2.650,7.000
2,11:05,,,CIN 2,14,10,Neil Rackers kicks extra point good,0.000,0.000
2,11:05,,,ARI 30,14,10,"Neil Rackers kicks off 75 yards, touchback",0.000,0.280
2,10:58,1,10,CIN 20,14,10,Rudi Johnson right guard for 6 yards (tackle by Oliver Celestin),0.280,0.540
2,10:33,2,4,CIN 26,14,10,Rudi Johnson left guard for no gain (tackle by Karlos Dansby),0.540,-0.160
2,9:57,3,4,CIN 26,14,10,Carson Palmer pass complete short left to Chad Johnson for 9 yards (tackle by Eric Green),-0.160,1.270
2,9:44,1,10,CIN 35,14,10,Carson Palmer pass complete short right to Reggie Kelly for 3 yards (tackle by Roderick Hood),1.270,1.130
2,9:26,2,7,CIN 38,14,10,Carson Palmer pass complete short left to Rudi Johnson for 2 yards (tackle by Eric Green),1.130,0.700
2,9:02,3,5,CIN 40,14,10,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 18 yards (tackle by Terrence Holt),0.700,2.790
2,8:13,1,10,ARI 42,14,10,Carson Palmer pass complete short right to Chris Henry for 2 yards (tackle by Eric Green),2.790,2.510
2,7:44,2,8,ARI 40,14,10,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 5 yards (tackle by Roderick Hood and Antrel Rolle),2.510,2.480
2,7:03,3,3,ARI 35,14,10,Carson Palmer pass complete short right to Chad Johnson for 15 yards (tackle by Gerald Hayes),2.480,4.240
2,6:30,1,10,ARI 20,14,10,Carson Palmer pass complete short right to Chris Henry for 2 yards (tackle by Roderick Hood),4.240,3.960
2,5:43,2,8,ARI 18,14,10,"Penalty on Chad Johnson: False Start, 5 yards (no play)",3.960,3.290
2,5:19,2,13,ARI 23,14,10,Carson Palmer pass incomplete short left intended for Daniel Coats,3.290,2.610
2,5:13,3,13,ARI 23,14,10,Carson Palmer pass complete short right to Antonio Chatman for 3 yards (tackle by Calvin Pace),2.610,2.120
2,4:33,4,10,ARI 20,14,13,Shayne Graham 38 yard field goal good,2.120,3.000
2,4:33,,,CIN 30,14,13,"Shayne Graham kicks off 60 yards, returned by Steve Breaston for 15 yards (tackle by Corey Mays). Penalty on Monty Beisel: Offensive Holding, 10 yards",0.000,-0.220
2,4:21,1,10,ARI 15,14,13,Kurt Warner pass complete deep middle to Larry Fitzgerald for 19 yards (tackle by Dexter Jackson),-0.220,1.200
2,3:45,1,10,ARI 34,14,13,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,1.200,0.660
2,3:40,2,10,ARI 34,14,13,Kurt Warner pass complete short left to Larry Fitzgerald for 9 yards (tackle by Madieu Williams),0.660,1.160
2,2:59,3,1,ARI 43,14,13,Kurt Warner pass complete deep right to Larry Fitzgerald for 20 yards (tackle by Deltha O'Neal),1.160,3.120
2,2:19,1,10,CIN 37,14,13,Kurt Warner pass complete short right to Bryant Johnson for 13 yards (tackle by Deltha O'Neal),3.120,3.970
2,2:00,1,10,CIN 24,14,13,Kurt Warner pass complete short left to J.J. Arrington for 3 yards (tackle by Leon Hall and Landon Johnson),3.970,3.840
2,1:14,2,7,CIN 21,14,13,"Penalty on Leonard Pope: False Start, 5 yards (no play)",3.840,3.160
2,1:14,2,12,CIN 26,14,13,Kurt Warner pass complete short left to Leonard Pope for 22 yards (tackle by Madieu Williams),3.160,6.280
2,0:53,2,12,CIN 26,14,13,Timeout #3 by Cincinnati Bengals,3.160,6.280
2,0:53,1,4,CIN 4,14,13,Edgerrin James left guard for -1 yards (tackle by Domata Peko),6.280,5.150
2,0:18,1,4,CIN 4,14,13,Timeout #2 by Arizona Cardinals,6.280,5.150
2,0:18,2,5,CIN 5,20,13,"Kurt Warner pass complete short middle to Larry Fitzgerald for 5 yards, touchdown",5.150,7.000
2,0:18,,,CIN 2,21,13,Neil Rackers kicks extra point good,0.000,0.000
2,0:18,,,ARI 30,21,13,"Neil Rackers kicks off 53 yards, returned by De De Dorsey for 20 yards (tackle by Monty Beisel)",0.000,1.400
2,0:08,1,10,CIN 37,21,13,Carson Palmer kneels for -1 yards,1.400,0.720
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,21,13,"Neil Rackers kicks off no gain, returned by Glenn Holt for 37 yards (tackle by Neil Rackers)",0.000,1.730
3,14:51,1,10,CIN 42,21,13,"Carson Palmer pass incomplete short middle intended for T.J. Houshmandzadeh is intercepted by Karlos Dansby at ARI-43 and returned for 28 yards (tackle by T.J. Houshmandzadeh). Penalty on T.J. Houshmandzadeh: Face Mask (5 Yards), 5 yards",1.730,-3.970
3,14:40,1,10,CIN 24,21,13,Edgerrin James left tackle for 4 yards (tackle by Domata Peko),3.970,3.970
3,13:58,2,6,CIN 20,21,13,Edgerrin James right end for 7 yards (tackle by Landon Johnson),3.970,4.710
3,13:28,1,10,CIN 13,21,13,"Edgerrin James right tackle for 6 yards (tackle by Landon Johnson). Penalty on Dhani Jones: Unnecessary Roughness, 4 yards",4.710,6.510
3,13:04,1,3,CIN 3,27,13,"Edgerrin James up the middle for 3 yards, touchdown",6.510,7.000
3,13:04,,,CIN 2,28,13,Neil Rackers kicks extra point good,0.000,0.000
3,13:04,,,ARI 30,28,13,"Neil Rackers kicks off 71 yards, returned by Antonio Chatman for 34 yards (tackle by Joe Tafoya)",0.000,1.140
3,12:48,1,10,CIN 33,28,13,Kenny Watson right tackle for 2 yards (tackle by Gerald Hayes),1.140,0.860
3,12:22,2,8,CIN 35,28,13,Carson Palmer pass complete short right to Chad Johnson for 15 yards (tackle by Roderick Hood),0.860,2.260
3,11:48,1,10,,28,13,Carson Palmer pass complete short left to Chris Henry for 9 yards (tackle by Eric Green),2.260,2.930
3,11:18,2,1,ARI 41,28,13,Carson Palmer pass incomplete deep middle intended for Antonio Chatman (defended by Roderick Hood),2.930,2.210
3,11:12,3,1,ARI 41,28,13,Rudi Johnson right guard for 5 yards (tackle by Antrel Rolle),2.210,3.180
3,10:29,1,10,ARI 36,28,13,Carson Palmer pass complete short right to Kenny Watson for 6 yards (tackle by Terrence Holt),3.180,3.450
3,9:45,2,4,ARI 30,28,13,Kenny Watson up the middle for 6 yards (tackle by Gerald Hayes),3.450,3.970
3,9:18,1,10,ARI 24,28,13,Carson Palmer pass complete short middle to Kenny Watson for 7 yards (tackle by Karlos Dansby),3.970,4.460
3,8:52,2,3,ARI 17,28,13,"Carson Palmer pass complete short right to Chad Johnson for 4 yards. Chad Johnson fumbles, recovered by Terrence Holt at ARI-9",4.460,0.380
3,8:35,1,10,ARI 9,28,13,Kurt Warner pass complete short middle to Larry Fitzgerald for 9 yards (tackle by Leon Hall),-0.380,0.140
3,8:12,2,1,ARI 18,28,13,Edgerrin James left guard for 6 yards (tackle by Landon Johnson),0.140,0.540
3,7:36,1,10,ARI 24,28,13,Edgerrin James right end for no gain (tackle by Dexter Jackson),0.540,0.000
3,7:00,2,10,ARI 24,28,13,Kurt Warner pass incomplete deep middle intended for Anquan Boldin,0.000,-0.690
3,6:53,3,10,ARI 24,28,13,Kurt Warner pass incomplete short right intended for Larry Fitzgerald (defended by Deltha O'Neal),-0.690,-1.770
3,6:46,4,10,ARI 24,28,13,"Mike Barr punts 43 yards, returned by Antonio Chatman for 7 yards (tackle by Darryl Blackstock)",-1.770,-1.600
3,6:33,1,10,CIN 40,28,13,Carson Palmer sacked by Darryl Blackstock for -5 yards,1.600,0.380
3,6:08,2,15,CIN 35,28,13,Carson Palmer pass complete short middle to Kenny Watson for 8 yards (tackle by Calvin Pace),0.380,0.760
3,5:24,3,7,CIN 43,28,13,Carson Palmer pass complete short right to Chad Johnson for 20 yards (tackle by Roderick Hood),0.760,3.120
3,5:08,1,10,ARI 37,28,19,"Carson Palmer pass complete deep left to Chris Henry for 37 yards, touchdown. Penalty on Eric Green: Defensive Pass Interference (Declined)",3.120,7.000
,,,,,,,"ARI challenged the pass completion ruling, and the play was upheld.",,
3,5:08,,,ARI 2,28,20,Shayne Graham kicks extra point good,0.000,0.000
3,5:08,,,CIN 30,28,20,"Shayne Graham kicks off 69 yards, returned by Steve Breaston for 25 yards (tackle by Leon Hall)",0.000,0.670
3,4:54,1,10,ARI 26,28,20,Kurt Warner pass complete short right to Edgerrin James for 9 yards (tackle by John Thornton),0.670,1.350
3,4:19,2,1,ARI 35,28,20,Edgerrin James left guard for no gain (tackle by Bryan Robinson),1.350,0.630
3,3:41,2,1,ARI 35,28,20,Timeout #2 by Arizona Cardinals,1.350,0.630
3,3:41,3,1,ARI 35,28,20,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald (defended by Leon Hall),0.630,-1.040
3,3:37,4,1,ARI 35,28,26,"Mike Barr punts, blocked by De De Dorsey, recovered by De De Dorsey and returned 19 yards, touchdown",-1.040,-7.000
3,3:29,,,ARI 2,28,27,Shayne Graham kicks extra point good,0.000,0.000
3,3:29,,,CIN 30,28,27,"Shayne Graham kicks off 56 yards, returned by Steve Breaston for 16 yards (tackle by Herana-Daze Jones)",0.000,0.940
3,3:23,1,10,ARI 30,28,27,Edgerrin James left tackle for no gain (tackle by Michael Myers),0.940,0.390
3,2:43,2,10,ARI 30,28,27,"Kurt Warner pass complete short left to Edgerrin James for 10 yards (tackle by Anthony Schlegel). Penalty on Al Johnson: Offensive Holding, 10 yards (no play)",0.390,-0.960
3,2:09,2,20,ARI 20,28,27,Kurt Warner pass incomplete short middle intended for J.J. Arrington (defended by Leon Hall),-0.960,-1.620
3,2:04,3,20,ARI 20,28,27,Kurt Warner pass incomplete short left intended for Bryant Johnson (defended by Dhani Jones),-1.620,-2.030
3,2:00,4,20,ARI 20,28,27,Mike Barr punts 36 yards,-2.030,-1.860
3,1:50,1,10,CIN 44,28,27,Rudi Johnson left guard for 4 yards (tackle by Gerald Hayes and Gabe Watson),1.860,1.860
3,1:14,2,6,CIN 48,28,27,De De Dorsey right end for 3 yards (tackle by Calvin Pace and Terrence Holt),1.860,1.550
3,0:35,3,3,ARI 49,34,27,"Carson Palmer pass incomplete short left intended for Chad Johnson is intercepted by Antrel Rolle at ARI-46 and returned for 54 yards, touchdown. Penalty on CIN: Illegal Formation (Declined), Penalty on Antrel Rolle: Unsportsmanlike Conduct, 15 yards",1.550,-7.000
3,0:25,,,CIN 2,35,27,Neil Rackers kicks extra point good,0.000,0.000
3,0:25,,,ARI 15,35,27,"Neil Rackers kicks off 65 yards, returned by Antonio Chatman for 26 yards (tackle by Troy Bienemann). Penalty on John Busing: Illegal Block Above the Waist, 10 yards",0.000,0.610
3,0:19,1,10,CIN 25,35,27,Kenny Watson right guard for 5 yards (tackle by Karlos Dansby),0.610,0.740
Quarter,Time,Down,ToGo,Location,ARI,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,CIN 30,35,27,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 12 yards (tackle by Eric Green),0.740,1.730
4,14:23,1,10,CIN 42,35,27,"Penalty on Levi Jones: False Start, 5 yards (no play)",1.730,1.400
4,14:13,1,15,CIN 37,35,27,Kenny Watson left tackle for -1 yards (tackle by Karlos Dansby),1.400,0.380
4,13:43,2,16,CIN 36,35,27,"Kenny Watson right guard for -3 yards (tackle by Calvin Pace). Penalty on Bobbie Williams: Offensive Holding, 10 yards (no play)",0.380,-0.970
4,13:20,2,26,CIN 26,35,27,Carson Palmer pass complete short middle to Kenny Watson for 4 yards (tackle by Darnell Dockett),-0.970,-1.090
4,12:40,3,22,CIN 30,35,27,Carson Palmer pass complete short middle to Kenny Watson for 11 yards (tackle by Calvin Pace),-1.090,-0.650
4,11:58,4,11,CIN 41,35,27,"Kyle Larson punts 29 yards, out of bounds",-0.650,-0.940
4,11:51,1,10,ARI 30,35,27,Kurt Warner pass complete short right to Larry Fitzgerald for 10 yards (tackle by Madieu Williams),0.940,1.600
4,11:16,1,10,ARI 40,35,27,Edgerrin James right guard for -1 yards (tackle by Dhani Jones),1.600,0.920
4,10:36,2,11,ARI 39,35,27,Kurt Warner pass incomplete short middle intended for Anquan Boldin,0.920,0.230
4,10:31,3,11,ARI 39,35,27,Kurt Warner pass incomplete short middle intended for Bryant Johnson,0.230,-0.780
4,10:27,4,11,ARI 39,35,27,"Mike Barr punts 34 yards, returned by Antonio Chatman for 10 yards (tackle by Joe Tafoya). Penalty on Brandon Johnson: Illegal Block Above the Waist, 10 yards",-0.780,-2.060
4,10:18,1,10,CIN 47,35,27,Carson Palmer pass incomplete deep middle intended for T.J. Houshmandzadeh (defended by Karlos Dansby),2.060,1.520
4,10:10,2,10,CIN 47,35,27,"Penalty on Calvin Pace: Defensive Offside, 5 yards (no play)",1.520,2.190
4,10:09,2,5,ARI 48,35,27,Kenny Watson left guard for 7 yards (tackle by Gerald Hayes),2.190,2.850
4,9:47,1,10,ARI 41,35,27,Carson Palmer pass incomplete short right intended for Chris Henry (defended by Gerald Hayes),2.850,2.310
4,9:41,2,10,ARI 41,35,27,Kenny Watson up the middle for 4 yards (tackle by Matt Ware),2.310,2.150
4,9:06,3,6,ARI 37,35,27,Carson Palmer pass incomplete short right intended for T.J. Houshmandzadeh (defended by Calvin Pace),2.150,0.790
4,9:00,4,6,ARI 37,35,27,Carson Palmer pass incomplete short right intended for Chris Henry,0.790,-1.400
4,8:55,1,10,ARI 37,35,27,Edgerrin James left tackle for 2 yards (tackle by Dexter Jackson and Dhani Jones),1.400,1.130
4,8:17,2,8,ARI 39,35,27,Kurt Warner pass complete short right to Anquan Boldin for 8 yards (tackle by Leon Hall),1.130,2.060
4,7:46,1,10,ARI 47,35,27,Edgerrin James left guard for 1 yard (tackle by Dhani Jones),2.060,1.650
4,7:06,2,9,ARI 48,35,27,Edgerrin James right end for 1 yard (tackle by Anthony Schlegel),1.650,1.090
4,6:30,2,9,ARI 48,35,27,Timeout #3 by Arizona Cardinals,1.650,1.090
4,6:30,3,8,ARI 49,35,27,Kurt Warner sacked by Bryan Robinson and Robert Geathers for -8 yards. Penalty on Al Johnson: Offensive Holding (Declined),1.090,-0.650
4,6:21,4,16,ARI 41,35,27,"Mike Barr punts 47 yards, returned by Antonio Chatman for 11 yards (tackle by Marcel Shipp)",-0.650,-0.480
4,6:09,1,10,CIN 23,35,27,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 7 yards (tackle by Monty Beisel),0.480,0.880
4,5:37,2,3,CIN 30,35,27,Carson Palmer pass complete short left to Chad Johnson for 2 yards (tackle by Eric Green),0.880,0.430
4,4:53,3,1,CIN 32,35,27,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 11 yards (tackle by Darnell Dockett). Penalty on Antrel Rolle: Illegal Contact (Declined),0.430,1.800
4,4:47,1,10,CIN 43,35,27,Kenny Watson left guard for 8 yards (tackle by Ralph Brown),1.800,2.330
4,4:24,2,2,ARI 49,35,27,Carson Palmer pass complete short right to Chris Henry for 10 yards,2.330,2.980
4,4:20,1,10,ARI 39,35,27,"Kenny Watson right tackle for 6 yards (tackle by Antrel Rolle). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",2.980,2.320
4,4:15,1,20,ARI 49,35,27,Kenny Watson left guard for 11 yards (tackle by Antrel Rolle),2.320,2.580
4,3:47,2,9,ARI 38,35,27,Carson Palmer pass incomplete deep right intended for Chris Henry,2.580,1.880
4,3:41,3,9,ARI 38,35,27,Carson Palmer pass complete short middle to Antonio Chatman for 4 yards (tackle by Gerald Hayes),1.880,1.070
4,3:02,4,5,ARI 34,35,27,Carson Palmer pass incomplete short right intended for Antonio Chatman (defended by Calvin Pace),1.070,-1.200
4,2:58,1,10,ARI 34,35,27,Edgerrin James left tackle for 4 yards (tackle by Robert Geathers),1.200,1.200
4,2:14,2,6,ARI 38,35,27,Edgerrin James left guard for 1 yard (tackle by Robert Geathers and Anthony Schlegel),1.200,0.630
4,2:10,2,6,ARI 38,35,27,Timeout #1 by Cincinnati Bengals,1.200,0.630
4,2:10,3,5,ARI 39,35,27,Kurt Warner pass incomplete short left intended for Leonard Pope,0.630,-0.780
4,2:07,4,5,ARI 39,35,27,"Mike Barr punts 34 yards, returned by Antonio Chatman for 5 yards (tackle by Monty Beisel)",-0.780,-1.070
4,1:56,1,10,CIN 32,35,27,Carson Palmer pass complete short right to Kenny Watson for 3 yards (tackle by Calvin Pace),1.070,0.930
4,1:31,2,7,CIN 35,35,27,Carson Palmer pass complete short middle to Antonio Chatman for 13 yards (tackle by Antrel Rolle),0.930,2.130
4,1:09,1,10,CIN 48,35,27,Carson Palmer pass complete short left to Kenny Watson for 6 yards (tackle by Eric Green),2.130,2.390
4,1:01,1,10,CIN 48,35,27,Timeout #2 by Cincinnati Bengals,2.130,2.390
4,1:01,2,4,ARI 46,35,27,Carson Palmer pass complete short left to Chad Johnson for 10 yards (tackle by Eric Green),2.390,3.180
4,0:55,1,10,ARI 36,35,27,"Carson Palmer pass complete short left to De De Dorsey for 8 yards (tackle by Eric Green). Penalty on Eric Ghiaciuc: Offensive Holding, 10 yards (no play)",3.180,2.520
4,0:49,1,20,ARI 46,35,27,"Carson Palmer pass incomplete deep middle intended for Antonio Chatman is intercepted by Antrel Rolle at ARI-29 and returned for 71 yards. Penalty on Antonio Smith: Personal Foul, 15 yards, Penalty on Antrel Rolle: Unsportsmanlike Conduct (Declined)",2.520,-1.070
4,0:33,1,10,ARI 32,35,27,Kurt Warner kneels for -1 yards,1.070,0.390
4,0:32,1,10,ARI 32,35,27,Timeout #3 by Cincinnati Bengals,1.070,0.390
4,0:32,2,11,ARI 31,35,27,Kurt Warner kneels for -1 yards,0.390,-0.430
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
