Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
2,9:02,2,8,ATL 25,7,7,Justin Fields left end for 3 yards (tackle by Jaylinn Hawkins),3.500,3.200
2,8:29,3,5,ATL 22,7,7,Justin Fields left end for -1 yards (tackle by Troy Andersen),3.200,1.950
2,7:47,4,6,ATL 23,10,7,Cairo Santos 41 yard field goal good,1.950,3.000
2,7:42,,,CHI 35,10,7,"Cairo Santos kicks off 68 yards, returned by Cordarrelle Patterson for 24 yards (tackle by Josh Blackwell)",0.000,0.340
2,7:37,1,10,ATL 21,10,7,"Cordarrelle Patterson left end for 17 yards. Cordarrelle Patterson fumbles (forced by Jaquan Brisker), recovered by Jaylon Johnson at ATL-46 and returned for 17 yards (tackle by Chris Lindstrom)",0.340,-3.640
2,7:24,1,10,ATL 29,10,7,Trestan Ebner left tackle for 4 yards (tackle by Rashaan Evans and AJ Terrell),3.640,3.640
2,6:52,2,6,ATL 25,10,7,Justin Fields pass incomplete short right,3.640,2.940
2,6:44,3,6,ATL 25,10,7,Justin Fields pass complete short right to Equanimeous St. Brown for 10 yards (tackle by Darren Hall),2.940,4.580
2,6:13,1,10,ATL 15,10,7,Trestan Ebner right guard for 3 yards (tackle by Isaiah Oliver and Mykal Walker),4.580,4.450
2,5:35,2,7,ATL 12,10,7,Trestan Ebner left end for 6 yards (tackle by Rashaan Evans and Arnold Ebiketie),4.450,4.900
2,5:13,3,1,ATL 6,10,7,Justin Fields left guard for 2 yards (tackle by Rashaan Evans),4.900,6.280
2,4:35,1,4,ATL 4,16,7,"Justin Fields left end for 4 yards, touchdown",6.280,7.000
2,4:31,,,ATL 15,17,7,Cairo Santos kicks extra point good,0.000,0.000
2,4:31,,,CHI 35,17,13,"Cairo Santos kicks off 68 yards, returned by Cordarrelle Patterson for 103 yards, touchdown",0.000,7.000
2,4:18,,,CHI 15,17,14,Younghoe Koo kicks extra point good,0.000,0.000
2,4:18,,,ATL 35,17,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,4:18,1,10,CHI 25,17,14,Justin Fields pass complete short right to Chase Claypool for 5 yards (tackle by Darren Hall),0.610,0.740
2,3:47,2,5,CHI 30,17,14,Justin Fields left tackle for 3 yards (tackle by Adetokunbo Ogundeji),0.740,0.430
2,3:13,3,2,CHI 33,17,14,Justin Fields right end for 17 yards (tackle by DeAngelo Malone),0.430,2.260
2,2:37,1,10,ATL 50,17,14,Trestan Ebner left end for -1 yards (tackle by Arnold Ebiketie),2.260,1.580
2,2:28,,,,,,Timeout #1 by Atlanta Falcons,,
2,2:28,2,11,CHI 49,17,14,Justin Fields left end for 3 yards (tackle by Rashaan Evans),1.580,1.290
2,2:00,3,8,ATL 48,17,14,Justin Fields scrambles left tackle for 9 yards (tackle by Arnold Ebiketie),1.290,2.980
2,1:36,1,10,ATL 39,17,14,"Justin Fields pass complete short left to David Montgomery for no gain (tackle by Mykal Walker). Penalty on Michael Schofield: Offensive Holding, 10 yards (accepted) (no play)",2.980,2.320
2,1:31,1,20,ATL 49,17,14,David Montgomery left tackle for 6 yards (tackle by Jalen Dalton and Rashaan Evans),2.320,1.900
2,1:26,,,,,,Timeout #2 by Atlanta Falcons,,
2,1:26,2,14,ATL 43,17,14,Justin Fields scrambles right end for 5 yards (tackle by AJ Terrell),1.900,1.880
2,1:20,3,9,ATL 38,17,14,Justin Fields pass incomplete short right intended for Trestan Ebner,1.880,0.720
2,1:14,4,9,ATL 38,17,14,Cairo Santos 56 yard field goal no good,0.720,-1.990
2,1:10,1,10,ATL 46,17,14,Marcus Mariota right tackle for 5 yards (tackle by Jack Sanborn),1.990,2.130
2,0:53,2,5,CHI 49,17,14,"Marcus Mariota pass complete short left to Drake London for no gain (tackle by Jaylon Johnson). Penalty on Chuma Edoga: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",2.130,0.780
2,0:48,2,15,ATL 41,17,14,Marcus Mariota pass complete short right to Kyle Pitts for 9 yards (tackle by Kyler Gordon),0.780,1.290
2,0:40,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:40,3,6,ATL 50,17,14,Marcus Mariota pass complete short left to Damiere Byrd for 19 yards (tackle by Jaquan Brisker),1.290,3.510
2,0:24,1,10,CHI 31,17,14,Marcus Mariota spiked the ball,3.510,2.970
2,0:23,2,10,CHI 31,17,14,Marcus Mariota pass complete short middle to Tyler Allgeier for 9 yards (tackle by Nicholas Morrow and Kyler Gordon),2.970,3.470
2,0:04,3,1,CHI 22,17,14,Marcus Mariota spiked the ball,3.470,2.140
2,0:03,4,1,CHI 22,17,17,Younghoe Koo 40 yard field goal good,2.140,3.000
Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,17,17,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CHI 25,17,17,Justin Fields sacked by Abdullah Anderson for -6 yards,0.610,-0.810
3,14:16,2,16,CHI 19,17,17,Justin Fields pass complete short middle to Darnell Mooney for 6 yards (tackle by Mykal Walker),-0.810,-0.620
3,13:36,3,10,CHI 25,17,17,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by Mykal Walker),-0.620,-1.700
3,13:27,4,10,CHI 25,17,17,"Trenton Gill punts 41 yards, returned by Avery Williams for 8 yards (tackle by Josh Blackwell)",-1.700,-1.730
3,13:15,1,10,ATL 42,17,17,Marcus Mariota pass complete short middle to Kyle Pitts for 18 yards (tackle by Eddie Jackson),1.730,2.920
3,12:47,1,10,CHI 40,17,17,Cordarrelle Patterson right guard for no gain (tackle by Trevis Gipson),2.920,2.370
3,12:14,2,10,CHI 40,17,17,Marcus Mariota scrambles up the middle for no gain (tackle by Kyler Gordon),2.370,1.680
3,11:30,3,10,CHI 40,17,17,Marcus Mariota pass complete short right to Cordarrelle Patterson for -2 yards (tackle by Kyler Gordon),1.680,0.460
3,10:52,4,12,CHI 42,17,17,"Bradley Pinion punts 42 yards, touchback.",0.460,-0.280
3,10:43,1,10,CHI 20,17,17,David Montgomery right end for 5 yards (tackle by Troy Andersen and Mykal Walker),0.280,0.410
3,10:09,2,5,CHI 25,17,17,David Montgomery left guard for 5 yards (tackle by Troy Andersen),0.410,0.940
3,9:29,1,10,CHI 30,17,17,"Penalty on Michael Schofield: False Start, 5 yards (accepted) (no play)",0.940,0.610
3,9:16,1,15,CHI 25,17,17,David Montgomery left guard for 1 yard (tackle by Abdullah Anderson),0.610,-0.150
3,8:37,2,14,CHI 26,17,17,Justin Fields pass complete short middle to David Montgomery for 13 yards (tackle by Rashaan Evans and Mykal Walker),-0.150,0.890
3,8:05,3,1,CHI 39,17,17,David Montgomery right end for 2 yards (tackle by Darren Hall),0.890,1.660
3,7:28,1,10,CHI 41,17,17,Trestan Ebner left end for -3 yards (tackle by Mykal Walker),1.660,0.720
3,6:52,2,13,CHI 38,17,17,Justin Fields sacked by Lorenzo Carter for -2 yards,0.720,-0.230
3,6:12,3,15,CHI 36,17,17,Justin Fields sacked by Arnold Ebiketie for -9 yards,-0.230,-1.570
3,5:28,4,24,CHI 27,17,17,"Trenton Gill punts 44 yards, returned by Avery Williams for 10 yards (tackle by Ryan Griffin and Joe Thomas)",-1.570,-1.530
3,5:15,1,10,ATL 39,17,17,Marcus Mariota pass complete short right to MyCole Pruitt for 17 yards (tackle by Eddie Jackson),1.530,2.650
3,4:37,1,10,CHI 44,17,17,Olamide Zaccheaus right end for 13 yards (tackle by Jaquan Brisker),2.650,3.510
3,3:57,1,10,CHI 31,17,17,Tyler Allgeier right end for 4 yards (tackle by Jack Sanborn),3.510,3.510
3,3:14,2,6,CHI 27,17,17,Marcus Mariota right end for -2 yards (tackle by Nicholas Morrow),3.510,2.540
3,2:41,3,8,CHI 29,17,17,"Marcus Mariota pass incomplete deep right intended for MyCole Pruitt. Penalty on Trevis Gipson: Defensive Offside, 5 yards (declined) . Penalty on Kyler Gordon: Roughing the Passer, 15 yards (accepted) . Penalty on Marcus Mariota: Roughing the Passer, 15 yards (accepted) . Penalty on Kyler Gordon: Roughing the Passer, 15 yards (accepted) . Penalty on Marcus Mariota: Roughing the Passer, 15 yards (accepted) (no play)",2.540,4.650
3,2:36,1,10,CHI 14,17,17,Cordarrelle Patterson left tackle for 4 yards (tackle by Eddie Jackson),4.650,4.710
3,1:53,2,6,CHI 10,17,23,"Marcus Mariota right tackle for 10 yards, touchdown",4.710,7.000
3,1:48,,,CHI 15,17,24,Younghoe Koo kicks extra point good,0.000,0.000
3,1:48,,,ATL 35,17,24,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,1:48,1,10,CHI 25,17,24,David Montgomery right tackle for 1 yard (tackle by Rashaan Evans and Timmy Horne),0.610,0.200
3,1:13,2,9,CHI 26,17,24,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by Isaiah Oliver),0.200,0.300
3,0:31,3,3,CHI 32,17,24,Justin Fields pass complete short right to Chase Claypool for 6 yards (tackle by Richie Grant),0.300,1.470
Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 38,17,24,David Montgomery left tackle for 5 yards (tackle by Rashaan Evans),1.470,1.600
4,14:26,2,5,CHI 43,17,24,Justin Fields left tackle for 2 yards (tackle by Arnold Ebiketie),1.600,1.160
4,13:45,3,3,CHI 45,17,24,Justin Fields pass complete short left to Cole Kmet for 5 yards (tackle by AJ Terrell),1.160,2.260
4,13:08,1,10,CHI 50,17,24,Justin Fields pass complete deep right to David Montgomery for 32 yards (tackle by Lorenzo Carter),2.260,4.370
4,12:29,1,10,ATL 18,17,24,"David Montgomery left tackle for no gain (tackle by Darren Hall and Jaylinn Hawkins). Penalty on Byron Pringle: Offensive Holding, 10 yards (accepted) (no play)",4.370,3.710
4,12:07,1,20,ATL 28,17,24,Justin Fields scrambles right tackle for 5 yards (tackle by Troy Andersen),3.710,3.150
4,11:29,2,15,ATL 23,17,24,David Montgomery left tackle for 3 yards (tackle by Rashaan Evans and Abdullah Anderson),3.150,2.870
4,10:46,3,12,ATL 20,17,24,Justin Fields pass complete short right to Equanimeous St. Brown for 14 yards (tackle by Darren Hall),2.870,5.830
4,9:51,1,6,ATL 6,17,24,Trestan Ebner left tackle for -1 yards (tackle by DeAngelo Malone and Richie Grant),5.830,4.760
4,9:15,2,7,ATL 7,17,24,David Montgomery right tackle for 2 yards (tackle by DeAngelo Malone and Timmy Horne),4.760,4.260
4,8:30,3,5,ATL 5,17,24,"Justin Fields pass incomplete short left intended for Chase Claypool. Penalty on AJ Terrell: Defensive Holding, 3 yards (accepted) (no play)",4.260,6.740
4,8:20,1,2,ATL 2,23,24,"David Montgomery left guard for 2 yards, touchdown",6.740,7.000
4,8:16,,,ATL 15,24,24,Cairo Santos kicks extra point good,0.000,0.000
4,8:16,,,CHI 35,24,24,"Trenton Gill kicks off 65 yards, touchback.",0.000,0.610
4,8:16,1,10,ATL 25,24,24,Marcus Mariota scrambles left end for 2 yards (tackle by Joe Thomas),0.610,0.330
4,7:35,2,8,ATL 27,24,24,Marcus Mariota pass complete short right to Damiere Byrd for 10 yards (tackle by Joe Thomas and Kindle Vildor),0.330,1.400
4,6:57,1,10,ATL 37,24,24,Cordarrelle Patterson right tackle for 7 yards (tackle by Dominique Robinson and Jaquan Brisker),1.400,1.800
4,6:14,2,3,ATL 44,24,24,Cordarrelle Patterson left end for 4 yards (tackle by Armon Watts),1.800,2.130
4,5:31,1,10,ATL 48,24,24,Tyler Allgeier right tackle for 4 yards (tackle by Nicholas Morrow and Jaylon Johnson),2.130,2.120
4,5:04,2,6,CHI 48,24,24,Cordarrelle Patterson left end for 5 yards (tackle by Jack Sanborn),2.120,2.080
4,4:19,3,1,CHI 43,24,24,Cordarrelle Patterson right tackle for -1 yards (tackle by Jaquan Brisker and Matthew Adams),2.080,0.330
4,3:30,4,2,CHI 44,24,24,Cordarrelle Patterson right guard for 6 yards (tackle by Jack Sanborn),0.330,3.050
4,2:46,1,10,CHI 38,24,24,Tyler Allgeier right tackle for 3 yards (tackle by Jack Sanborn),3.050,2.910
4,2:02,2,7,CHI 35,24,24,Tyler Allgeier left tackle for no gain (tackle by Mike Pennel and Jaquan Brisker),2.910,2.210
4,1:57,3,7,CHI 35,24,24,Marcus Mariota pass incomplete deep left intended for Olamide Zaccheaus,2.210,0.970
4,1:52,4,7,CHI 35,24,27,Younghoe Koo 53 yard field goal good,0.970,3.000
4,1:47,,,ATL 35,24,27,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
4,1:47,1,10,CHI 25,24,27,Justin Fields left end for 1 yard (tackle by DeAundre Alford),0.610,0.200
4,1:42,,,,,,Timeout #1 by Chicago Bears,,
4,1:42,2,9,CHI 26,24,27,Justin Fields left tackle for 4 yards (tackle by Grady Jarrett and Richie Grant),0.200,0.040
4,1:13,3,5,CHI 30,24,27,Justin Fields pass short middle intended for David Montgomery is intercepted by Jaylinn Hawkins at CHI-40 and returned for no gain (tackle by Darnell Mooney),0.040,-2.920
4,1:07,1,10,CHI 40,24,27,Tyler Allgeier left end for 4 yards (tackle by Eddie Jackson),2.920,2.910
4,1:03,,,,,,Timeout #2 by Chicago Bears,,
4,1:03,2,6,CHI 36,24,27,Tyler Allgeier left end for 26 yards (tackle by Eddie Jackson),2.910,4.910
4,0:57,1,10,CHI 10,24,27,Marcus Mariota kneels for -1 yards,4.910,4.020
4,0:55,,,,,,Timeout #3 by Chicago Bears,,
4,0:55,2,11,CHI 11,24,27,Marcus Mariota kneels for -1 yards,4.020,3.100
4,0:35,3,12,CHI 12,24,27,Marcus Mariota kneels for -1 yards,3.100,2.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
