Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
1,9:24,3,5,PIT 30,0,3,"Ben Roethlisberger aborted snap, recovered by James Conner at PIT-25 (tackle by Markus Golden)",0.040,-1.700
1,8:46,4,10,PIT 25,0,3,"Dustin Colquitt punts 39 yards, returned by Jabrill Peppers for 8 yards (tackle by Derek Watt)",-1.700,-1.860
1,8:34,1,10,NYG 44,0,3,Daniel Jones pass incomplete short right intended for Saquon Barkley,1.860,1.320
1,8:29,2,10,NYG 44,0,3,Saquon Barkley right tackle for -4 yards (tackle by Bud Dupree),1.320,0.100
1,7:51,3,14,NYG 40,0,3,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Cameron Sutton and Bud Dupree),0.100,-0.650
1,7:08,4,13,NYG 41,0,3,"Riley Dixon punts 41 yards, fair catch by Diontae Johnson at PIT-18",-0.650,-0.040
1,7:00,1,10,PIT 18,0,3,James Conner up the middle for 3 yards (tackle by Blake Martinez),0.040,0.010
1,6:22,2,7,PIT 21,0,3,Ben Roethlisberger pass incomplete short right intended for James Conner,0.010,-0.790
1,6:17,3,7,PIT 21,0,3,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 11 yards (tackle by Corey Ballentine),-0.790,1.070
1,5:32,1,10,PIT 32,0,3,James Conner left end for 1 yard (tackle by Lorenzo Carter and Dexter Lawrence),1.070,0.660
1,4:50,2,9,PIT 33,0,3,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson (defended by James Bradberry),0.660,-0.030
1,4:46,3,9,PIT 33,0,3,Ben Roethlisberger pass complete deep right to Chase Claypool for 28 yards (tackle by Julian Love),-0.030,2.980
1,4:21,1,10,NYG 39,0,3,Benny Snell right end for 3 yards (tackle by James Bradberry),2.980,2.850
1,3:40,2,7,NYG 36,0,3,Benny Snell left end for 6 yards (tackle by Julian Love),2.850,2.940
1,3:01,3,1,NYG 30,0,3,Ben Roethlisberger pass complete short left to James Conner for 6 yards (tackle by Corey Ballentine),2.940,3.970
1,2:24,1,10,NYG 24,0,3,James Conner left end for -1 yards (tackle by Leonard Williams and Corey Ballentine),3.970,3.300
1,1:45,2,11,NYG 25,0,3,Ben Roethlisberger pass complete short left to James Conner for 2 yards (tackle by Blake Martinez),3.300,2.870
1,1:00,3,9,NYG 23,0,3,Ben Roethlisberger pass incomplete short right intended for Benny Snell,2.870,1.930
1,0:54,4,9,NYG 23,3,3,Chris Boswell 41 yard field goal good,1.930,3.000
1,0:49,,,PIT 35,3,3,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,0:49,1,10,NYG 25,3,3,Daniel Jones pass complete short middle to Darius Slayton for 11 yards (tackle by Devin Bush),0.610,1.330
1,0:26,1,10,NYG 36,3,3,Dion Lewis left tackle for 1 yard (tackle by Devin Bush),1.330,0.930
Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYG 37,3,3,Daniel Jones pass complete short left to Kaden Smith for 12 yards (tackle by Steven Nelson and Vince Williams),0.930,2.190
2,14:39,1,10,NYG 49,3,3,Saquon Barkley left guard for -2 yards (tackle by Tyson Alualu),2.190,1.380
2,14:02,2,12,NYG 47,3,3,Daniel Jones pass incomplete short left intended for Darius Slayton,1.380,0.700
2,13:59,3,12,NYG 47,3,3,"Daniel Jones pass incomplete short middle intended for Evan Engram (defended by Joe Haden). Penalty on Joe Haden: Defensive Pass Interference, 12 yards (no play)",0.700,2.850
2,13:54,1,10,PIT 41,3,9,"Daniel Jones pass complete deep middle to Darius Slayton for 41 yards, touchdown",2.850,7.000
2,13:45,,,PIT 15,3,10,Graham Gano kicks extra point good,0.000,0.000
2,13:45,,,NYG 35,3,10,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,13:45,1,10,PIT 25,3,10,Ben Roethlisberger pass incomplete short left intended for James Conner,0.610,0.060
2,13:41,2,10,PIT 25,3,10,James Conner up the middle for 1 yard (tackle by Blake Martinez and Kyler Fackrell),0.060,-0.490
2,13:01,3,9,PIT 26,3,10,Ben Roethlisberger pass incomplete short right intended for Vance McDonald (defended by Jabrill Peppers),-0.490,-1.630
2,12:56,4,9,PIT 26,3,10,"Dustin Colquitt punts 59 yards, returned by Jabrill Peppers for 20 yards (tackle by Kameron Canaday)",-1.630,-1.270
2,12:40,1,10,NYG 35,3,10,Daniel Jones pass short right intended for Evan Engram is intercepted by T.J. Watt at NYG-36 and returned for no gain,1.270,-3.180
2,12:35,1,10,NYG 36,3,10,Benny Snell right end for 8 yards (tackle by Logan Ryan),3.180,3.720
2,11:56,2,2,NYG 28,3,10,Benny Snell left tackle for 1 yard (tackle by Blake Martinez),3.720,3.140
2,11:08,3,1,NYG 27,3,10,"Penalty on PIT: Delay of Game, 4 yards (no play)",3.140,2.610
2,10:43,3,5,NYG 31,3,10,Ben Roethlisberger pass complete deep left to Eric Ebron for 18 yards (tackle by Jabrill Peppers),2.610,4.710
2,10:02,1,10,NYG 13,3,10,Ben Roethlisberger pass incomplete short left,4.710,4.050
2,9:55,2,10,NYG 13,3,10,Ben Roethlisberger pass complete short middle to Vance McDonald for 3 yards (tackle by Lorenzo Carter),4.050,3.650
2,9:07,3,7,NYG 10,9,10,"Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 10 yards, touchdown",3.650,7.000
2,9:01,,,NYG 15,9,10,Chris Boswell kicks extra point no good hit right upright,0.000,-1.000
2,9:01,,,PIT 35,9,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,9:01,1,10,NYG 25,9,10,Saquon Barkley up the middle for -2 yards (tackle by Bud Dupree),0.610,-0.210
2,8:25,2,12,NYG 23,9,10,"Penalty on Cameron Fleming: False Start, 5 yards (no play)",-0.210,-0.980
2,8:04,2,17,NYG 18,9,10,Daniel Jones pass complete short right to Saquon Barkley for 38 yards (tackle by Joe Haden),-0.980,2.650
2,7:22,1,10,PIT 44,9,10,"Daniel Jones pass complete deep right to Evan Engram for 24 yards (tackle by Terrell Edmunds). Penalty on Evan Engram: Offensive Pass Interference, 10 yards (no play)",2.650,1.990
2,6:54,1,20,NYG 46,9,10,Daniel Jones pass incomplete short right,1.990,0.760
2,6:48,2,20,NYG 46,9,10,Daniel Jones sacked by Vince Williams for -7 yards,0.760,-0.820
2,6:08,3,27,NYG 39,9,10,Daniel Jones pass complete short middle to Wayne Gallman for 14 yards (tackle by Devin Bush and Mike Hilton),-0.820,0.130
2,5:20,4,13,PIT 47,9,10,"Riley Dixon punts 32 yards, returned by Diontae Johnson for 1 yard (tackle by Eric Tomlinson)",0.130,0.140
2,5:10,1,10,PIT 16,9,10,Ben Roethlisberger sacked by Dexter Lawrence for -9 yards,-0.140,-1.440
2,4:28,2,19,PIT 7,9,10,Benny Snell right end for 5 yards (tackle by Blake Martinez and Lorenzo Carter),-1.440,-1.890
2,3:43,3,14,PIT 12,9,10,Ben Roethlisberger pass incomplete deep middle intended for Eric Ebron,-1.890,-2.490
2,3:36,4,14,PIT 12,9,10,"Dustin Colquitt punts 50 yards, returned by Jabrill Peppers for 11 yards (tackle by Robert Spillane and Derek Watt)",-2.490,-2.190
2,3:24,1,10,NYG 49,9,10,Daniel Jones sacked by Stephon Tuitt for -1 yards,2.190,1.510
2,2:43,2,11,NYG 48,9,10,Saquon Barkley left end for -2 yards (tackle by Tyson Alualu),1.510,0.560
2,2:00,3,13,NYG 46,9,10,"Penalty on Damion Ratley: False Start, 5 yards (no play)",0.560,-0.100
2,2:00,3,18,NYG 41,9,10,Saquon Barkley right end for 5 yards (tackle by Devin Bush and Mike Hilton),-0.100,-0.320
2,1:42,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,1:42,4,13,NYG 46,9,10,Riley Dixon punts 32 yards downed by Casey Kreiter,-0.320,-0.410
2,1:32,1,10,PIT 22,9,10,Ben Roethlisberger pass complete short middle to Diontae Johnson for 2 yards (tackle by Markus Golden),0.410,0.140
2,1:08,2,8,PIT 24,9,10,Ben Roethlisberger pass complete deep right to James Washington for 21 yards (tackle by James Bradberry),0.140,1.930
2,0:46,1,10,PIT 45,9,10,Ben Roethlisberger pass incomplete deep left intended for Diontae Johnson,1.930,1.380
2,0:39,2,10,PIT 45,9,10,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 17 yards (tackle by Darnay Holmes),1.380,3.050
2,0:33,1,10,NYG 38,9,10,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,3.050,2.510
2,0:29,2,10,NYG 38,9,10,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 14 yards (tackle by Corey Ballentine),2.510,3.970
2,0:23,1,10,NYG 24,9,10,Ben Roethlisberger up the middle for 11 yards (tackle by Julian Love),3.970,4.710
2,0:14,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:14,,,,,,Timeout #1 by New York Giants,,
2,0:14,1,10,NYG 13,15,10,"Ben Roethlisberger pass complete short middle to James Washington for 13 yards, touchdown",4.710,7.000
2,0:07,,,NYG 15,16,10,Chris Boswell kicks extra point good,0.000,0.000
2,0:07,,,PIT 35,16,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,0:07,1,10,NYG 25,16,10,Daniel Jones kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,16,10,"Graham Gano kicks off 64 yards, returned by Ray-Ray McCloud for 33 yards (tackle by James Bradberry)",0.000,1.200
3,14:53,1,10,PIT 34,16,10,Benny Snell right tackle for 3 yards (tackle by Blake Martinez and Jabrill Peppers),1.200,1.060
3,14:18,2,7,PIT 37,16,10,Benny Snell right guard for 14 yards (tackle by Darnay Holmes and Logan Ryan),1.060,2.320
3,13:41,1,10,NYG 49,16,10,Benny Snell right end for 5 yards (tackle by Leonard Williams),2.320,2.460
3,12:59,2,5,NYG 44,16,10,Benny Snell left guard for no gain (tackle by Blake Martinez),2.460,1.750
3,12:20,3,5,NYG 44,16,10,Ben Roethlisberger pass incomplete deep right intended for James Washington (defended by James Bradberry),1.750,0.330
3,12:14,4,5,NYG 44,16,10,"Dustin Colquitt punts 35 yards, fair catch by Jabrill Peppers at NYG-9",0.330,0.380
3,12:07,1,10,NYG 9,16,10,Saquon Barkley up the middle for -4 yards (tackle by Vince Williams),-0.380,-1.070
3,11:33,2,14,NYG 5,16,10,Daniel Jones pass incomplete short left intended for Evan Engram (defended by Mike Hilton),-1.070,-1.890
3,11:29,3,14,NYG 5,16,10,Daniel Jones pass complete deep right to Darius Slayton for 18 yards (tackle by Terrell Edmunds),-1.890,0.480
3,10:59,1,10,NYG 23,16,10,Daniel Jones pass complete short left to Sterling Shepard for 5 yards (tackle by Steven Nelson),0.480,0.610
3,10:30,2,5,NYG 28,16,10,Saquon Barkley up the middle for 4 yards (tackle by Cameron Heyward),0.610,0.430
3,9:52,3,1,NYG 32,16,10,Daniel Jones pass complete short left to Levine Toilolo for 13 yards (tackle by Terrell Edmunds),0.430,1.930
3,9:19,1,10,NYG 45,16,10,Daniel Jones pass complete short left to Darius Slayton for 10 yards (tackle by Vince Williams),1.930,2.590
3,8:57,1,10,PIT 45,16,10,Saquon Barkley right end for 1 yard (tackle by Alex Highsmith),2.590,2.180
3,8:26,2,9,PIT 44,16,10,Daniel Jones pass complete short middle to Saquon Barkley for 4 yards (tackle by Devin Bush),2.180,2.010
3,7:47,3,5,PIT 40,16,10,Daniel Jones right end for 4 yards (tackle by Joe Haden),2.010,0.890
3,7:15,4,1,PIT 36,16,10,Daniel Jones pass complete short left to Saquon Barkley for 3 yards (tackle by Joe Haden),0.890,3.380
3,6:38,1,10,PIT 33,16,10,Daniel Jones pass complete short left to Evan Engram for 4 yards (tackle by Steven Nelson),3.380,3.380
3,6:07,2,6,PIT 29,16,10,Daniel Jones pass incomplete short left intended for Dion Lewis,3.380,2.680
3,6:02,3,6,PIT 29,16,10,Daniel Jones left end for 6 yards (tackle by Terrell Edmunds),2.680,4.040
3,5:40,1,10,PIT 23,16,10,Daniel Jones pass complete short middle to Kaden Smith for 5 yards (tackle by Tyson Alualu),4.040,4.210
3,5:15,2,5,PIT 18,16,10,Saquon Barkley up the middle for 2 yards (tackle by Tyson Alualu and Isaiah Buggs),4.210,3.850
3,4:32,3,3,PIT 16,16,10,Daniel Jones pass complete short left to Sterling Shepard for 5 yards (tackle by Mike Hilton),3.850,4.840
3,3:52,1,10,PIT 11,16,10,Saquon Barkley right guard for 7 yards (tackle by Minkah Fitzpatrick),4.840,5.470
3,3:25,2,3,PIT 4,16,10,Daniel Jones pass short left (defended by Bud Dupree) intended for Darius Slayton is intercepted by Cameron Heyward at PIT-0 and returned for no gain,5.470,-0.280
3,3:17,1,10,PIT 20,16,10,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by James Bradberry),0.280,0.950
3,2:46,2,1,PIT 29,16,10,"Benny Snell right end for 21 yards (tackle by James Bradberry). Benny Snell fumbles (forced by James Bradberry), recovered by JuJu Smith-Schuster at NYG-46",0.950,2.520
3,2:16,1,10,NYG 46,16,10,Ben Roethlisberger pass complete short left to Diontae Johnson for 10 yards (tackle by Corey Ballentine),2.520,3.180
3,1:40,1,10,NYG 36,16,10,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson,3.180,2.640
3,1:36,2,10,NYG 36,16,10,Ben Roethlisberger pass complete short left to Diontae Johnson for 18 yards (tackle by Kyler Fackrell),2.640,4.370
3,0:55,1,10,NYG 18,16,10,Ben Roethlisberger sacked by Leonard Williams for -12 yards,4.370,2.210
3,0:09,2,22,NYG 30,16,10,Ben Roethlisberger pass complete short middle to Jaylen Samuels for 1 yard (tackle by Dexter Lawrence),2.210,1.680
Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,21,NYG 29,16,10,Ben Roethlisberger pass complete short left to Chase Claypool for 11 yards (tackle by Logan Ryan and Darnay Holmes),1.680,2.250
4,14:24,4,10,NYG 18,19,10,Chris Boswell 36 yard field goal good,2.250,3.000
4,14:19,,,PIT 35,19,10,"Chris Boswell kicks off 25 yards, out of bounds",0.000,1.600
4,14:19,1,10,NYG 40,19,10,Daniel Jones pass complete short right to Sterling Shepard for 4 yards (tackle by Joe Haden),1.600,1.590
4,13:47,2,6,NYG 44,19,10,Saquon Barkley right end for -1 yards (tackle by T.J. Watt),1.590,0.760
4,13:17,3,7,NYG 43,19,10,Daniel Jones sacked by Mike Hilton for -9 yards,0.760,-1.110
4,12:39,4,16,NYG 34,19,10,"Riley Dixon punts 53 yards, returned by Diontae Johnson for 12 yards (tackle by Devante Downs)",-1.110,-0.610
4,12:23,1,10,PIT 25,19,10,Benny Snell right guard for -2 yards (tackle by Blake Martinez),0.610,-0.210
4,11:42,2,12,PIT 23,19,10,Ben Roethlisberger pass complete short left to Diontae Johnson for 5 yards (tackle by Blake Martinez),-0.210,-0.230
4,11:01,3,7,PIT 28,19,10,Ben Roethlisberger pass complete short left to Diontae Johnson for 11 yards (tackle by Corey Ballentine),-0.230,1.530
4,10:22,1,10,PIT 39,19,10,Benny Snell left tackle for 1 yard (tackle by Lorenzo Carter),1.530,1.120
4,9:41,2,9,PIT 40,19,10,Benny Snell up the middle for 5 yards (tackle by Jabrill Peppers and Blake Martinez),1.120,1.090
4,9:00,3,4,PIT 45,19,10,Ben Roethlisberger pass complete short middle to Diontae Johnson for 11 yards (tackle by Lorenzo Carter),1.090,2.650
4,8:18,1,10,NYG 44,19,10,Benny Snell left tackle for no gain (tackle by Dalvin Tomlinson),2.650,2.110
4,7:34,2,10,NYG 44,19,10,Benny Snell left tackle for 30 yards (tackle by Corey Ballentine and Jabrill Peppers),2.110,4.650
4,6:56,1,10,NYG 14,19,10,Jaylen Samuels right tackle for 2 yards (tackle by Blake Martinez),4.650,4.330
4,6:12,,,,,,Timeout #1 by New York Giants,,
4,6:12,2,8,NYG 12,19,10,Benny Snell right tackle for 4 yards (tackle by Logan Ryan),4.330,4.280
4,5:28,3,4,NYG 8,25,10,"Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 8 yards, touchdown",4.280,7.000
4,5:23,,,NYG 15,26,10,Chris Boswell kicks extra point good,0.000,0.000
4,5:23,,,PIT 35,26,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,5:23,1,10,NYG 25,26,10,Daniel Jones pass complete short middle to Darius Slayton for 15 yards (tackle by Terrell Edmunds),0.610,1.600
4,4:58,1,10,NYG 40,26,10,Daniel Jones pass complete short right to C.J. Board for 10 yards (tackle by Joe Haden),1.600,2.260
4,4:52,1,10,NYG 50,26,10,Daniel Jones up the middle for 13 yards (tackle by Mike Hilton),2.260,3.120
4,4:25,1,10,PIT 37,26,10,Daniel Jones pass incomplete short middle intended for Evan Engram,3.120,2.570
4,4:21,2,10,PIT 37,26,10,"Daniel Jones pass incomplete short left intended for Evan Engram. Penalty on Steven Nelson: Illegal Contact, 5 yards (no play)",2.570,3.450
4,4:16,1,10,PIT 32,26,10,Daniel Jones pass complete short middle to Sterling Shepard for 6 yards (tackle by Terrell Edmunds),3.450,3.710
4,3:45,2,4,PIT 26,26,10,Daniel Jones pass incomplete deep right intended for Saquon Barkley,3.710,3.010
4,3:41,3,4,PIT 26,26,10,Daniel Jones pass complete short right to Saquon Barkley for 7 yards (tackle by Joe Haden),3.010,4.310
4,3:15,1,10,PIT 19,26,10,Daniel Jones pass complete short middle to Saquon Barkley for 7 yards (tackle by Terrell Edmunds),4.310,4.920
4,2:39,2,3,PIT 12,26,10,Daniel Jones pass incomplete short left intended for Damion Ratley,4.920,4.190
4,2:34,3,3,PIT 12,26,10,Daniel Jones pass complete short right to Evan Engram for 5 yards (tackle by Minkah Fitzpatrick),4.190,5.600
4,2:06,1,7,PIT 7,26,10,Daniel Jones pass incomplete short right intended for Saquon Barkley,5.600,4.760
4,2:02,2,7,PIT 7,26,10,Daniel Jones pass incomplete short left,4.760,3.810
4,1:56,3,7,PIT 7,26,16,"Daniel Jones pass complete short middle to Darius Slayton for 7 yards, touchdown",3.810,7.000
4,1:52,,,PIT 2,26,16,"Two Point Attempt: Daniel Jones pass incomplete intended for Sterling Shepard, conversion fails",1.000,-1.000
4,1:52,,,NYG 35,26,16,"Graham Gano kicks onside 11 yards, returned by JuJu Smith-Schuster for no gain",0.000,2.520
4,1:51,1,10,NYG 46,26,16,Benny Snell right guard for 1 yard (tackle by Dexter Lawrence and Lorenzo Carter),2.520,2.110
4,1:48,,,,,,Timeout #2 by New York Giants,,
4,1:48,2,9,NYG 45,26,16,Benny Snell left tackle for 7 yards (tackle by Corey Ballentine),2.110,2.350
4,1:42,,,,,,Timeout #3 by New York Giants,,
4,1:42,3,2,NYG 38,26,16,Benny Snell right guard for 1 yard (tackle by Blake Martinez and Lorenzo Carter),2.350,0.790
4,0:55,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,0:55,4,1,NYG 37,26,16,Chase Claypool left end for 8 yards (tackle by Corey Ballentine),0.790,3.640
4,0:19,1,10,NYG 29,26,16,Ben Roethlisberger kneels for -2 yards,3.640,2.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
