Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
2,13:38,2,10,ARI 25,0,3,"Keaontay Ingram left guard for -5 yards (tackle by Jordan Elliott and Shelby Harris). Penalty on Jordan Elliott: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.060,1.600
2,13:15,1,10,ARI 40,0,3,Clayton Tune pass short right intended for Marquise Brown is intercepted by Denzel Ward at ARI-49 and returned for no gain (tackle by Marquise Brown),1.600,-2.320
2,13:10,1,10,ARI 49,0,3,Pierre Strong left end for 4 yards (tackle by Victor Dimukeje),2.320,2.320
2,12:33,2,6,ARI 45,0,3,Pierre Strong right end for 1 yard (tackle by Jalen Thompson),2.320,1.750
2,12:04,3,5,ARI 44,0,3,Deshaun Watson scrambles left guard for 4 yards (tackle by Dante Stills and Budda Baker),1.750,0.590
2,11:28,4,1,ARI 40,0,3,Kareem Hunt up the middle for 2 yards (tackle by Kyzir White and Budda Baker),0.590,3.050
2,10:49,1,10,ARI 38,0,3,Deshaun Watson scrambles right end for 5 yards (tackle by Kyzir White),3.050,3.180
2,10:10,2,5,ARI 33,0,3,Kareem Hunt right end for 10 yards (tackle by BJ Ojulari),3.180,4.040
2,9:26,1,10,ARI 23,0,3,Kareem Hunt right end for 2 yards (tackle by Kevin Strong),4.040,3.770
2,8:48,2,8,ARI 21,0,3,Kareem Hunt right guard for 6 yards (tackle by Roy Lopez),3.770,4.050
2,8:14,3,2,ARI 15,0,3,Kareem Hunt left guard for 3 yards (tackle by Budda Baker and Marco Wilson),4.050,4.780
2,7:33,1,10,ARI 12,0,3,Jerome Ford right guard for 1 yard (tackle by Jonathan Ledbetter and Josh Woods),4.780,4.270
2,6:52,2,9,ARI 11,0,9,"Deshaun Watson pass complete short right to Amari Cooper for 11 yards, touchdown",4.270,7.000
2,6:48,,,ARI 15,0,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,6:48,,,CLE 35,0,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,6:48,1,10,ARI 25,0,10,Clayton Tune scrambles right guard for 4 yards (tackle by Grant Delpit),0.610,0.600
2,6:14,2,6,ARI 29,0,10,Keaontay Ingram left guard for 2 yards (tackle by Rodney McLeod and Anthony Walker),0.600,0.100
2,5:36,3,5,ARI 31,0,10,"Clayton Tune pass complete short left to Rondale Moore for no gain (tackle by Juan Thornhill). Penalty on Marquise Brown: Offensive Pass Interference, 10 yards (accepted) (no play)",0.100,-1.220
2,5:09,3,15,ARI 21,0,10,Clayton Tune scrambles left end for 6 yards (tackle by Juan Thornhill),-1.220,-1.570
2,4:36,4,8,ARI 27,0,10,"Blake Gillikin punts 55 yards, returned by James Proche for 12 yards (tackle by Zeke Turner)",-1.570,-0.940
2,4:27,1,10,CLE 30,0,10,Jerome Ford left end for no gain (tackle by Garrett Williams),0.940,0.390
2,3:49,2,10,CLE 30,0,10,Deshaun Watson pass incomplete short right intended for David Njoku,0.390,-0.300
2,3:47,3,10,CLE 30,0,10,Deshaun Watson pass incomplete short right intended for Jerome Ford,-0.300,-1.370
2,3:39,4,10,CLE 30,0,10,"Corey Bojorquez punts 60 yards, returned by Greg Dortch for 14 yards (tackle by Rodney McLeod)",-1.370,-0.540
2,3:27,1,10,ARI 24,0,10,Tony Jones left guard for -3 yards (tackle by Grant Delpit),0.540,-0.410
2,2:50,2,13,ARI 21,0,10,"Clayton Tune scrambles right end for no gain. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)",-0.410,-1.730
2,2:21,2,23,ARI 11,0,10,Clayton Tune pass complete short right to Marquise Brown for 4 yards (tackle by Denzel Ward and Cameron Mitchell),-1.730,-2.250
2,2:00,3,19,ARI 15,0,10,Clayton Tune sacked by Dalvin Tomlinson for -3 yards,-2.250,-2.490
2,1:55,,,,,,Timeout #2 by Cleveland Browns,,
2,1:55,4,22,ARI 12,0,10,"Blake Gillikin punts 55 yards, returned by James Proche for 11 yards (tackle by Zach Pascal). Penalty on Mike Ford: Offensive Holding, 10 yards (accepted)",-2.490,-1.200
2,1:44,1,10,CLE 34,0,10,Deshaun Watson pass complete short right to Jerome Ford for 1 yard (tackle by Josh Woods),1.200,0.790
2,1:24,2,9,CLE 35,0,10,Deshaun Watson pass incomplete deep left intended for Marquise Goodwin,0.790,0.100
2,1:18,,,,,,Timeout #3 by Cleveland Browns,,
2,1:18,3,9,CLE 35,0,10,"Deshaun Watson pass incomplete short left intended for David Njoku. Penalty on Cameron Thomas: Roughing the Passer, 15 yards (accepted) (no play)",0.100,2.260
2,1:15,1,10,CLE 50,0,10,Deshaun Watson pass incomplete short right intended for Jordan Akins,2.260,1.710
2,1:11,2,10,CLE 50,0,10,Jerome Ford left guard for 1 yard (tackle by Dennis Gardeck),1.710,1.160
2,0:44,3,9,ARI 49,0,10,Deshaun Watson pass complete short right to Jordan Akins for 11 yards (tackle by Garrett Williams),1.160,3.050
2,0:21,1,10,ARI 38,0,10,Deshaun Watson pass incomplete short left intended for Jerome Ford,3.050,2.510
2,0:16,2,10,ARI 38,0,10,"Deshaun Watson pass complete short left to Elijah Moore for 11 yards (tackle by Garrett Williams) Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.510,3.780
2,0:05,1,10,ARI 27,0,10,Deshaun Watson spiked the ball,3.780,3.230
2,0:04,2,10,ARI 27,0,13,Dustin Hopkins 45 yard field goal good,3.230,3.000
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,0,13,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CLE 25,0,13,Jerome Ford right guard for -4 yards (tackle by Dante Stills),0.610,-0.480
3,14:16,2,14,CLE 21,0,13,Jerome Ford right guard for 5 yards (tackle by Cameron Thomas),-0.480,-0.490
3,13:47,3,9,CLE 26,0,13,Deshaun Watson pass incomplete deep middle intended for Marquise Goodwin (defended by Garrett Williams),-0.490,-1.630
3,13:40,4,9,CLE 26,0,13,Corey Bojorquez punts 73 yards downed by Mike Ford,-1.630,0.380
3,13:27,1,10,ARI 1,0,13,Keaontay Ingram left guard for no gain (tackle by Jeremiah Owusu-Koramoah),-0.380,-0.780
3,12:48,2,10,ARI 1,0,13,Clayton Tune pass incomplete short right intended for Trey McBride (defended by Juan Thornhill),-0.780,-1.420
3,12:43,3,10,ARI 1,0,13,Clayton Tune pass incomplete short right intended for Marquise Brown (defended by Anthony Walker),-1.420,-2.490
3,12:39,4,10,ARI 1,0,13,"Blake Gillikin punts 55 yards, returned by James Proche for no gain (tackle by Dennis Gardeck). Penalty on Kahlef Hailassie: Offensive Holding, 10 yards (accepted)",-2.490,-1.200
3,12:29,1,10,CLE 34,0,13,Jerome Ford left end for 2 yards (tackle by Starling Thomas),1.200,0.930
3,11:47,2,8,CLE 36,0,13,Deshaun Watson pass complete short right to Jerome Ford for 9 yards (tackle by Kevin Strong and Garrett Williams),0.930,1.930
3,11:21,1,10,CLE 45,0,13,Kareem Hunt left guard for 1 yard (tackle by Zaven Collins),1.930,1.520
3,10:59,2,9,CLE 46,0,13,Deshaun Watson pass complete short left to Pierre Strong for -7 yards (tackle by Leki Fotu),1.520,-0.100
3,10:20,3,16,CLE 39,0,13,Deshaun Watson pass complete short left to Jerome Ford for 4 yards (tackle by Budda Baker),-0.100,-0.520
3,9:47,4,12,CLE 43,0,13,"Corey Bojorquez punts 57 yards, touchback.",-0.520,-0.280
3,9:38,1,10,ARI 20,0,13,"Clayton Tune sacked by Shelby Harris for -8 yards. Clayton Tune fumbles (forced by Shelby Harris), recovered by Myles Garrett at ARI-12 and returned for 1 yard (tackle by D.J. Humphries)",0.280,-4.840
3,9:31,1,10,ARI 11,0,13,Deshaun Watson pass complete short right to Elijah Moore for 3 yards (tackle by Antonio Hamilton),4.840,4.700
3,8:50,2,7,ARI 8,0,13,Jerome Ford left guard for 3 yards (tackle by Kyzir White and Jonathan Ledbetter),4.700,4.440
3,8:09,3,4,ARI 5,0,19,"Deshaun Watson pass complete short middle to David Njoku for 5 yards, touchdown",4.440,7.000
3,8:07,,,ARI 15,0,20,Dustin Hopkins kicks extra point good,0.000,0.000
3,8:07,,,CLE 35,0,20,"Dustin Hopkins kicks off 62 yards, returned by Greg Dortch for 11 yards (tackle by Tony Fields). Penalty on Grant Delpit: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.000,0.870
3,8:03,1,10,ARI 29,0,20,"Penalty on Maurice Hurst: Defensive Offside, 5 yards (accepted) (no play)",0.870,1.600
3,7:38,1,5,ARI 34,0,20,Clayton Tune pass complete short left to Rondale Moore for 5 yards (tackle by Sione Takitaki),1.600,1.530
3,7:08,1,10,ARI 39,0,20,Rondale Moore left end for 4 yards (tackle by Sione Takitaki),1.530,1.530
3,6:31,2,6,ARI 43,0,20,Rondale Moore right end for 1 yard (tackle by Cameron Mitchell and Dalvin Tomlinson),1.530,0.960
3,5:53,3,5,ARI 44,0,20,Clayton Tune pass incomplete short left intended for Marquise Brown (defended by Denzel Ward),0.960,-0.460
3,5:50,4,5,ARI 44,0,20,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",-0.460,-0.780
3,5:50,4,10,ARI 39,0,20,Blake Gillikin punts 57 yards downed by Dennis Gardeck,-0.780,0.380
3,5:39,1,10,CLE 4,0,20,Kareem Hunt left guard for 4 yards (tackle by Roy Lopez and Budda Baker),-0.380,-0.490
3,5:05,2,6,CLE 8,0,20,Kareem Hunt left guard for 3 yards (tackle by Roy Lopez and Kyzir White),-0.490,-0.600
3,4:26,3,3,CLE 11,0,20,Jerome Ford left end for -3 yards (tackle by Cameron Thomas),-0.600,-2.490
3,3:51,4,6,CLE 8,0,20,"Corey Bojorquez punts 65 yards, returned by Greg Dortch for 23 yards (tackle by Mike Ford)",-2.490,-2.260
3,3:34,1,10,CLE 50,0,20,Keaontay Ingram left guard for -1 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),2.260,1.580
3,2:56,2,11,ARI 49,0,20,Clayton Tune scrambles left end for 11 yards (tackle by Grant Delpit),1.580,2.920
3,2:21,1,10,CLE 40,0,20,Clayton Tune pass deep left intended for Trey McBride is intercepted by Sione Takitaki at CLE-24 and returned for no gain (tackle by Elijah Higgins and Trey McBride),2.920,-0.540
3,2:15,1,10,CLE 24,0,20,Deshaun Watson pass complete deep left to Amari Cooper for 17 yards (tackle by Jalen Thompson),0.540,1.660
3,1:35,1,10,CLE 41,0,20,Kareem Hunt left guard for -1 yards (tackle by Jonathan Ledbetter and Josh Woods),1.660,0.990
3,0:49,2,11,CLE 40,0,20,"Kareem Hunt right guard for no gain (tackle by Kevin Strong) Penalty on CLE: Illegal Shift, 5 yards (declined)",0.990,0.300
3,0:18,3,11,CLE 40,0,20,Deshaun Watson scrambles right end for 13 yards (tackle by Josh Woods),0.300,2.460
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 47,0,20,Jerome Ford right guard for 5 yards (tackle by Leki Fotu),2.460,2.590
4,14:23,2,5,ARI 42,0,20,Jerome Ford right guard for 7 yards (tackle by BJ Ojulari and Dante Stills),2.590,3.250
4,13:43,1,10,ARI 35,0,20,Jerome Ford right guard for 4 yards (tackle by BJ Ojulari),3.250,3.240
4,13:01,2,6,ARI 31,0,20,Kareem Hunt right end for 1 yard (tackle by Dante Stills),3.240,2.680
4,12:19,3,5,ARI 30,0,20,Deshaun Watson pass incomplete short left,2.680,1.450
4,12:13,4,5,ARI 30,0,20,Dustin Hopkins 48 yard field goal no good,1.450,-1.470
4,12:08,1,10,ARI 38,0,20,Clayton Tune pass complete short right to Marquise Brown for 14 yards (tackle by Denzel Ward),1.470,2.390
4,11:38,1,10,CLE 48,0,20,Tony Jones right guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),2.390,2.390
4,11:14,2,6,CLE 44,0,20,Clayton Tune sacked by Myles Garrett for -1 yards,2.390,1.550
4,10:47,3,7,CLE 45,0,20,Clayton Tune sacked by Dalvin Tomlinson for -5 yards,1.550,-0.060
4,10:07,4,12,CLE 50,0,20,Clayton Tune pass complete short right to Trey McBride for 6 yards (tackle by Grant Delpit),-0.060,-1.860
4,10:01,1,10,CLE 44,0,20,Kareem Hunt left guard for 1 yard (tackle by Cameron Thomas and Kyzir White),1.860,1.450
4,9:23,2,9,CLE 45,0,20,Deshaun Watson pass complete short right to Cedric Tillman for 3 yards (tackle by Jalen Thompson),1.450,1.160
4,8:41,3,6,CLE 48,0,20,Deshaun Watson pass complete deep right to Amari Cooper for 49 yards (tackle by Antonio Hamilton and Budda Baker),1.160,6.510
4,7:52,,,,,,Timeout #1 by Cleveland Browns,,
4,7:52,1,3,ARI 3,0,26,"Kareem Hunt right guard for 3 yards, touchdown",6.510,7.000
4,7:48,,,ARI 15,0,27,Dustin Hopkins kicks extra point good,0.000,0.000
4,7:48,,,CLE 35,0,27,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,7:48,1,10,ARI 25,0,27,Clayton Tune pass incomplete short right intended for Zach Pascal (defended by Cameron Mitchell),0.610,0.060
4,7:40,2,10,ARI 25,0,27,Clayton Tune pass complete short right to Tony Jones for 1 yard (tackle by Cameron Mitchell),0.060,-0.490
4,7:19,3,9,ARI 26,0,27,Clayton Tune sacked by and Dalvin Tomlinson for -3 yards and Grant Delpit for -3 yards,-0.490,-1.830
4,6:59,4,12,ARI 23,0,27,"Blake Gillikin punts 58 yards, returned by James Proche for 10 yards (tackle by Victor Dimukeje)",-1.830,-0.870
4,6:49,1,10,CLE 29,0,27,Jerome Ford left end for -2 yards (tackle by Zaven Collins and Budda Baker),0.870,0.060
4,6:42,,,,,,Timeout #1 by Arizona Cardinals,,
4,6:42,2,12,CLE 27,0,27,Jerome Ford right guard for -2 yards (tackle by Leki Fotu and Dante Stills),0.060,-0.890
4,6:37,,,,,,Timeout #2 by Arizona Cardinals,,
4,6:37,3,14,CLE 25,0,27,Jerome Ford right guard for 8 yards (tackle by Budda Baker),-0.890,-1.180
4,6:31,,,,,,Timeout #3 by Arizona Cardinals,,
4,6:31,4,6,CLE 33,0,27,"Corey Bojorquez punts 67 yards, touchback.",-1.180,-0.280
4,6:22,1,10,ARI 20,0,27,Clayton Tune scrambles right end for 5 yards (tackle by Matthew Adams),0.280,0.410
4,5:52,2,5,ARI 25,0,27,Clayton Tune pass complete short left to Trey McBride for 4 yards (tackle by D'Anthony Bell),0.410,0.230
4,5:32,3,1,ARI 29,0,27,Tony Jones right guard for 1 yard (tackle by Ogbonnia Okoronkwo),0.230,0.940
4,5:10,1,10,ARI 30,0,27,Clayton Tune pass incomplete short middle intended for Rondale Moore (defended by Shelby Harris),0.940,0.390
4,5:06,2,10,ARI 30,0,27,Clayton Tune pass complete short left to Marquise Brown for 6 yards (tackle by Mike Ford),0.390,0.500
4,4:39,3,4,ARI 36,0,27,Clayton Tune sacked by Za'Darius Smith for -11 yards,0.500,-1.700
4,3:59,4,15,ARI 25,0,27,"Blake Gillikin punts 43 yards, fair catch by James Proche at CLE-32",-1.700,-1.070
4,3:51,1,10,CLE 32,0,27,Jerome Ford right guard for 2 yards (tackle by Josh Woods and Roy Lopez),1.070,0.800
4,3:08,2,8,CLE 34,0,27,Jerome Ford left guard for -1 yards (tackle by Kyzir White and Jonathan Ledbetter),0.800,0.040
4,2:25,3,8,CLE 33,0,27,Jerome Ford right guard for 1 yard (tackle by Cameron Thomas and Jonathan Ledbetter),0.040,-1.110
4,2:00,4,8,CLE 34,0,27,"Corey Bojorquez punts 44 yards, returned by Greg Dortch for 7 yards (tackle by Harrison Bryant)",-1.110,-0.870
4,1:49,1,10,ARI 29,0,27,Keaontay Ingram right end for -5 yards (tackle by Shelby Harris and Mohamoud Diabate),0.870,-0.350
4,1:13,2,15,ARI 24,0,27,Keaontay Ingram right end for -4 yards (tackle by Za'Darius Smith),-0.350,-1.550
4,0:34,3,19,ARI 20,0,27,Keaontay Ingram right guard for 3 yards (tackle by Za'Darius Smith and Ogbonnia Okoronkwo),-1.550,-1.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
