Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
1,7:05,3,7,WAS 40,7,0,Taylor Heinicke pass complete short left to Terry McLaurin for 10 yards (tackle by Desmond King),0.560,2.260
1,6:32,1,10,WAS 50,7,0,Terry McLaurin right end for 1 yard (tackle by Christian Kirksey),2.260,1.850
1,5:48,2,9,HOU 49,7,0,Antonio Gibson left guard for 3 yards (tackle by Jonathan Owens and Mario Addison),1.850,1.550
1,5:09,3,6,HOU 46,7,0,Taylor Heinicke pass incomplete short left intended for Jahan Dotson,1.550,0.200
1,5:01,4,6,HOU 46,7,0,"Tress Way punts 46 yards, touchback.",0.200,-0.280
1,4:53,1,10,HOU 20,7,0,Davis Mills pass complete short left to Chris Moore for 4 yards (tackle by Montez Sweat),0.280,0.270
1,4:22,2,6,HOU 24,7,0,Davis Mills pass complete short right to Nico Collins for 5 yards (tackle by Bobby McCain),0.270,0.230
1,3:47,3,1,HOU 29,7,0,Davis Mills up the middle for 2 yards (tackle by Jamin Davis),0.230,1.000
1,3:16,1,10,HOU 31,7,0,Dameon Pierce right guard for 2 yards (tackle by John Ridgeway and Darrick Forrest),1.000,0.730
1,2:42,2,8,HOU 33,7,0,Davis Mills pass incomplete short right intended for Nico Collins,0.730,0.040
1,2:37,3,8,HOU 33,7,0,Davis Mills sacked by Jonathan Allen for -9 yards,0.040,-1.770
1,2:04,4,17,HOU 24,7,0,"Cameron Johnston punts 51 yards, returned by Dax Milne for no gain (tackle by Troy Hairston). Penalty on Christian Holmes: Offensive Holding, 10 yards (accepted)",-1.770,0.220
1,1:55,1,10,WAS 15,7,0,Brian Robinson left guard for 14 yards (tackle by Steven Nelson),-0.220,0.870
1,1:14,1,10,WAS 29,7,0,Brian Robinson right end for 5 yards (tackle by Jake Hansen),0.870,1.000
1,0:30,2,5,WAS 34,7,0,Taylor Heinicke pass complete short left to Jahan Dotson for 13 yards (tackle by Steven Nelson),1.000,2.060
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 47,7,0,Antonio Gibson right end for 9 yards (tackle by M.J. Stewart),2.060,2.730
2,14:24,2,1,HOU 44,7,0,Curtis Samuel right end for 8 yards (tackle by Tavierre Thomas and M.J. Stewart),2.730,3.180
2,13:40,1,10,HOU 36,7,0,Antonio Gibson left end for 5 yards (tackle by Christian Kirksey),3.180,3.310
2,12:59,2,5,HOU 31,7,0,"Taylor Heinicke pass complete short middle to Logan Thomas for no gain. Penalty on Desmond King: Illegal Contact, 5 yards (accepted) (no play)",3.310,3.840
2,12:33,1,10,HOU 26,7,0,Taylor Heinicke pass complete deep left to Logan Thomas for 16 yards (tackle by Christian Harris),3.840,4.910
2,11:55,1,10,HOU 10,7,0,Taylor Heinicke pass incomplete short right,4.910,4.190
2,11:49,2,10,HOU 10,13,0,"Curtis Samuel left end for 10 yards, touchdown",4.190,7.000
2,11:44,,,HOU 15,14,0,Joey Slye kicks extra point good,0.000,0.000
2,11:44,,,WAS 35,14,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,11:44,1,10,HOU 25,14,0,Dameon Pierce left guard for 3 yards (tackle by Efe Obada and John Ridgeway),0.610,0.470
2,11:08,2,7,HOU 28,14,0,Davis Mills sacked by Daron Payne for -7 yards,0.470,-1.150
2,10:26,3,14,HOU 21,14,0,Davis Mills sacked by Montez Sweat for -7 yards,-1.150,-2.470
2,9:49,4,21,HOU 14,14,0,"Cameron Johnston punts 47 yards, fair catch by Dax Milne at WAS-39",-2.470,-1.530
2,9:43,1,10,WAS 39,14,0,Brian Robinson right tackle for 5 yards (tackle by Ogbonnia Okoronkwo and Jonathan Owens),1.530,1.660
2,8:57,2,5,WAS 44,14,0,Taylor Heinicke pass complete short middle to Logan Thomas for 19 yards (tackle by Christian Harris),1.660,3.120
2,8:12,1,10,HOU 37,14,0,Taylor Heinicke pass incomplete short right intended for Terry McLaurin,3.120,2.570
2,8:07,2,10,HOU 37,14,0,Antonio Gibson right tackle for 13 yards (tackle by Eric Murray and Steven Nelson),2.570,3.970
2,7:42,1,10,HOU 24,14,0,Antonio Gibson right tackle for 1 yard (tackle by Michael Dwumfour),3.970,3.570
2,7:04,2,9,HOU 23,14,0,Taylor Heinicke pass complete short right to Antonio Gibson for 18 yards (tackle by Jonathan Owens),3.570,6.060
2,6:17,,,,,,Timeout #1 by Washington Commanders,,
2,6:17,1,5,HOU 5,14,0,Taylor Heinicke right end for -2 yards (tackle by Rasheem Green and Desmond King),6.060,4.760
2,5:38,2,7,HOU 7,14,0,Antonio Gibson right tackle for no gain (tackle by Maliek Collins and Mario Addison),4.760,3.810
2,5:00,3,7,HOU 7,14,0,Taylor Heinicke pass incomplete short right intended for Logan Thomas,3.810,2.970
2,4:55,4,7,HOU 7,17,0,"Joey Slye 25 yard field goal good Penalty on HOU: Illegal Formation, 5 yards (declined)",2.970,3.000
2,4:53,,,WAS 35,17,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,4:53,1,10,HOU 25,17,0,Davis Mills pass incomplete short right intended for Dameon Pierce,0.610,0.060
2,4:49,2,10,HOU 25,17,0,Chris Moore left end for 3 yards (tackle by Jonathan Bostic),0.060,-0.230
2,4:14,3,7,HOU 28,17,0,"Davis Mills pass complete to Dare Ogunbowale for no gain. Penalty on Kenyon Green: Offensive Holding, 10 yards (accepted) (no play)",-0.230,-1.720
2,3:41,3,17,HOU 18,17,0,Davis Mills pass complete short middle to Dare Ogunbowale for 5 yards (tackle by Kamren Curl and Jamin Davis),-1.720,-1.830
2,3:07,4,12,HOU 23,17,0,"Cameron Johnston punts 44 yards, fair catch by Dax Milne at WAS-33. Penalty on Khaleke Hudson: Running Into the Kicker, 5 yards (declined)",-1.830,-1.140
2,3:00,1,10,WAS 33,17,0,"Antonio Gibson left guard for 2 yards (tackle by Tavierre Thomas and Jalen Pitre). Penalty on Trai Turner: Offensive Holding, 10 yards (accepted)",1.140,0.610
2,2:29,,,,,,Timeout #2 by Washington Commanders,,
2,2:29,1,18,WAS 25,17,0,Taylor Heinicke pass complete short left to Antonio Gibson for 4 yards (tackle by Jonathan Owens),0.610,0.050
2,2:00,2,14,WAS 29,17,0,Taylor Heinicke pass complete deep right to Terry McLaurin for 17 yards,0.050,1.990
2,1:53,1,10,WAS 46,17,0,Taylor Heinicke pass complete short middle to Terry McLaurin for 9 yards (tackle by Desmond King),1.990,2.670
2,1:48,2,1,HOU 45,17,0,Taylor Heinicke pass complete deep left to Logan Thomas for 17 yards (tackle by Desmond King),2.670,3.710
2,1:18,1,10,HOU 28,17,0,Antonio Gibson up the middle for no gain (tackle by Roy Lopez and Jonathan Owens),3.710,3.170
2,0:50,2,10,HOU 28,17,0,Taylor Heinicke pass complete deep middle to Cam Sims for 17 yards (tackle by Jalen Pitre),3.170,4.840
2,0:27,1,10,HOU 11,17,0,Taylor Heinicke pass complete short right to Logan Thomas for 5 yards (tackle by Tavierre Thomas and Jonathan Owens),4.840,5.080
2,0:22,,,,,,Timeout #3 by Washington Commanders,,
2,0:22,2,5,HOU 6,17,0,Taylor Heinicke pass incomplete,5.080,4.210
2,0:16,3,5,HOU 6,17,0,Taylor Heinicke pass incomplete short right,4.210,2.990
2,0:10,4,5,HOU 6,20,0,Joey Slye 24 yard field goal good,2.990,3.000
2,0:07,,,WAS 35,20,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,0:07,1,10,HOU 25,20,0,Davis Mills kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,20,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,20,0,Davis Mills pass complete short right to O.J. Howard for 9 yards (tackle by Jamin Davis and Darrick Forrest),0.610,1.280
3,14:27,2,1,HOU 34,20,0,Dameon Pierce up the middle for 3 yards (tackle by Jonathan Bostic),1.280,1.400
3,14:02,1,10,HOU 37,20,0,Davis Mills pass complete short left to Brandin Cooks for 41 yards (tackle by Darrick Forrest),1.400,4.110
3,13:16,1,10,WAS 22,20,0,Davis Mills pass complete short left to Dameon Pierce for 7 yards (tackle by Kamren Curl and Jamin Davis),4.110,4.650
3,12:36,2,3,WAS 15,20,0,Davis Mills pass incomplete short left intended for Nico Collins,4.650,3.930
3,12:34,3,3,WAS 15,20,0,Davis Mills pass incomplete short right intended for Jordan Akins (defended by Daron Payne),3.930,2.540
3,12:30,4,3,WAS 15,20,0,Davis Mills scrambles right end for 4 yards (tackle by Daron Payne),2.540,4.840
3,11:55,1,10,WAS 11,20,0,"Davis Mills pass complete short middle to Dameon Pierce for 1 yard (tackle by John Ridgeway). Penalty on John Ridgeway: Unnecessary Roughness / Defense, 6 yards (accepted) (no play)",4.840,6.060
3,11:22,1,5,WAS 5,20,0,Davis Mills left tackle for 1 yard (tackle by Kamren Curl),6.060,5.340
3,10:46,2,4,WAS 4,20,0,Davis Mills pass incomplete short left intended for O.J. Howard,5.340,4.490
3,10:41,3,4,WAS 4,20,0,Davis Mills sacked by Montez Sweat for -7 yards,4.490,2.700
3,9:56,4,11,WAS 11,20,3,Ka'imi Fairbairn 29 yard field goal good,2.700,3.000
3,9:53,,,HOU 35,20,3,"Ka'imi Fairbairn kicks off 61 yards, returned by Antonio Gibson for 27 yards (tackle by Eric Murray)",0.000,1.000
3,9:48,1,10,WAS 31,20,3,Brian Robinson right tackle for 2 yards (tackle by Christian Harris),1.000,0.730
3,9:08,2,8,WAS 33,20,3,Brian Robinson right tackle for 6 yards (tackle by Christian Kirksey),0.730,0.830
3,8:27,3,2,WAS 39,20,3,Brian Robinson right tackle for 3 yards (tackle by Maliek Collins and Jonathan Owens),0.830,1.730
3,7:49,1,10,WAS 42,20,3,Taylor Heinicke pass complete short right to Logan Thomas for 8 yards (tackle by Desmond King),1.730,2.270
3,7:19,2,2,WAS 50,20,3,Antonio Gibson up the middle for 1 yard (tackle by Christian Harris and Ogbonnia Okoronkwo),2.270,1.690
3,6:38,3,1,HOU 49,20,3,Taylor Heinicke pass incomplete intended for John Bates,1.690,0.000
3,6:33,4,1,HOU 49,20,3,"Penalty on Camaron Cheeseman: False Start, 5 yards (accepted) (no play)",0.000,-0.320
3,6:33,4,6,WAS 46,20,3,"Tress Way punts 48 yards, fair catch by Desmond King at HOU-6",-0.320,0.380
3,6:26,1,10,HOU 6,20,3,Dameon Pierce up the middle for 2 yards (tackle by Daron Payne and Jonathan Bostic),-0.380,-0.630
3,5:49,2,8,HOU 8,20,3,Davis Mills pass complete short left to Dameon Pierce for 2 yards (tackle by Bobby McCain and Kendall Fuller),-0.630,-0.950
3,5:17,3,6,HOU 10,20,3,Davis Mills pass complete short right to Chris Moore for 11 yards (tackle by Kendall Fuller),-0.950,0.340
3,4:38,1,10,HOU 21,20,3,Davis Mills pass incomplete deep left intended for Phillip Dorsett,0.340,-0.200
3,4:32,2,10,HOU 21,20,3,"Davis Mills pass incomplete short right. Penalty on Kenyon Green: Ineligible Downfield Pass, 5 yards (declined)",-0.200,-0.890
3,4:27,3,10,HOU 21,20,3,Davis Mills sacked by Jonathan Allen for -12 yards,-0.890,-2.490
3,3:51,4,22,HOU 9,20,3,"Cameron Johnston punts 53 yards, returned by Dax Milne for 16 yards (tackle by M.J. Stewart)",-2.490,-2.520
3,3:39,1,10,HOU 46,20,3,Antonio Gibson left tackle for 2 yards (tackle by Rasheem Green),2.520,2.250
3,2:57,2,8,HOU 44,20,3,Taylor Heinicke pass complete short middle to Curtis Samuel for 10 yards (tackle by M.J. Stewart),2.250,3.310
3,2:20,1,10,HOU 34,20,3,Antonio Gibson left end for -4 yards (tackle by Roy Lopez),3.310,2.230
3,1:33,2,14,HOU 38,20,3,Taylor Heinicke scrambles right end for 4 yards (tackle by Tavierre Thomas),2.230,2.080
3,0:49,3,10,HOU 34,20,3,Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards (tackle by Jalen Pitre and Ogbonnia Okoronkwo),2.080,1.950
Quarter,Time,Down,ToGo,Location,WAS,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,HOU 25,20,3,Brian Robinson left end for 3 yards (tackle by Christian Kirksey),1.950,4.110
4,14:21,1,10,HOU 22,20,3,Antonio Gibson up the middle for no gain (tackle by Christian Harris and Kurt Hinish),4.110,3.560
4,13:35,2,10,HOU 22,20,3,"Taylor Heinicke aborted snap, recovered by Taylor Heinicke at HOU-22 and returned for -9 yards",3.560,1.690
4,12:52,3,19,HOU 31,20,3,Antonio Gibson up the middle for 5 yards (tackle by Christian Kirksey),1.690,1.740
4,12:12,4,14,HOU 26,23,3,Joey Slye 44 yard field goal good,1.740,3.000
4,12:08,,,WAS 35,23,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,12:08,1,10,HOU 25,23,3,Davis Mills pass complete short left to Nico Collins for 6 yards (tackle by Bobby McCain),0.610,0.870
4,11:44,2,4,HOU 31,23,3,Dameon Pierce up the middle for 2 yards (tackle by Casey Toohill and Jamin Davis),0.870,0.430
4,11:01,,,,,,Timeout #1 by Houston Texans,,
4,11:01,3,2,HOU 33,23,3,Davis Mills pass incomplete deep left intended for O.J. Howard,0.430,-1.180
4,10:56,4,2,HOU 33,23,3,Davis Mills pass complete short middle to Brandin Cooks for 19 yards (tackle by Bobby McCain),-1.180,2.390
4,10:19,1,10,WAS 48,23,3,Davis Mills pass incomplete deep right intended for Chris Moore,2.390,1.850
4,10:13,2,10,WAS 48,23,3,"Davis Mills pass incomplete intended for Brandin Cooks Replay Assistant challenged the pass completion ruling, and the original play was overturned. Davis Mills pass deep left (defended by Benjamin St-Juste) intended for Brandin Cooks is intercepted by Darrick Forrest at WAS-3 and returned for no gain",1.850,0.380
4,10:05,1,10,WAS 3,23,3,Brian Robinson right guard for 11 yards (tackle by Eric Murray and Jerry Hughes),-0.380,-0.280
4,9:23,1,10,WAS 14,23,3,Brian Robinson right guard for 2 yards (tackle by Desmond King),-0.280,-0.510
4,8:42,2,8,WAS 16,23,3,Brian Robinson right guard for -2 yards (tackle by Ogbonnia Okoronkwo and Christian Harris),-0.510,-1.400
4,7:55,3,10,WAS 14,23,3,Taylor Heinicke pass incomplete short right intended for Cole Turner,-1.400,-2.470
4,7:50,4,10,WAS 14,23,3,"Tress Way punts 46 yards, returned by Desmond King for 5 yards (tackle by Jeremy Reaves)",-2.470,-1.930
4,7:39,1,10,HOU 45,23,3,Davis Mills pass complete short left to Nico Collins for 22 yards (tackle by Darrick Forrest),1.930,3.380
4,7:03,1,10,WAS 33,23,3,Davis Mills pass incomplete short middle intended for Brandin Cooks,3.380,2.840
4,6:58,2,10,WAS 33,23,3,Davis Mills pass complete short right to Chris Moore for -2 yards (tackle by James Smith-Williams),2.840,1.880
4,6:24,3,12,WAS 35,23,3,Davis Mills pass complete short middle to Nico Collins for 8 yards (tackle by Bobby McCain),1.880,1.750
4,5:42,4,4,WAS 27,23,3,Davis Mills pass complete short middle to Jordan Akins for 8 yards (tackle by Kamren Curl),1.750,4.310
4,5:18,1,10,WAS 19,23,3,Davis Mills pass incomplete deep middle intended for Teagan Quitoriano,4.310,3.750
4,5:16,2,10,WAS 19,23,3,Davis Mills pass complete short right to Chris Moore for 6 yards (tackle by Danny Johnson),3.750,3.960
4,4:35,3,4,WAS 13,23,3,Davis Mills pass incomplete short left intended for Chris Moore,3.960,2.640
4,4:29,4,4,WAS 13,23,3,Davis Mills pass complete short left to Brandin Cooks for 10 yards (tackle by Kendall Fuller),2.640,6.510
4,4:04,1,3,WAS 3,23,3,Dameon Pierce up the middle for -1 yards (tackle by Casey Toohill),6.510,5.470
4,3:25,2,3,WAS 4,23,9,"Davis Mills scrambles left guard for 4 yards, touchdown",5.470,7.000
4,3:19,,,WAS 15,23,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,3:19,,,HOU 35,23,10,"Ka'imi Fairbairn kicks onside 7 yards, returned by Khaleke Hudson for no gain",0.000,2.790
4,3:17,1,10,HOU 42,23,10,Brian Robinson left guard for 6 yards (tackle by Jonathan Owens and Desmond King),2.790,3.050
4,3:12,,,,,,Timeout #2 by Houston Texans,,
4,3:12,2,4,HOU 36,23,10,Brian Robinson for 2 yards (tackle by Jake Hansen),3.050,2.610
4,2:28,3,2,HOU 34,23,10,Antonio Gibson right guard for 18 yards (tackle by Jalen Pitre and Desmond King),2.610,4.510
4,2:18,,,,,,Timeout #3 by Houston Texans,,
4,2:18,1,10,HOU 16,23,10,Antonio Gibson up the middle for 2 yards (tackle by Ogbonnia Okoronkwo and Jerry Hughes),4.510,4.210
4,2:00,2,8,HOU 14,23,10,Antonio Gibson left guard for 7 yards (tackle by Jonathan Owens),4.210,4.850
4,1:12,,,,,,Timeout #1 by Washington Commanders,,
4,1:12,3,1,HOU 7,23,10,Brian Robinson up the middle for no gain (tackle by Ogbonnia Okoronkwo),4.850,3.010
4,0:27,,,,,,Timeout #2 by Washington Commanders,,
4,0:27,4,1,HOU 7,23,10,Antonio Gibson left guard for 3 yards (tackle by Desmond King and Jonathan Owens),3.010,4.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
