Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
2,7:05,3,2,OAK 19,7,10,Jalen Richard up the middle for no gain (tackle by Thomas Davis and Jaylen Watkins),-0.480,-2.140
2,6:30,4,2,OAK 19,7,10,"A.J. Cole punts 41 yards, returned by Desmond King for 11 yards (tackle by Alec Ingold). Penalty on Jatavis Brown: Offensive Holding (Offsetting) . Penalty on Cole Mazza: Unnecessary Roughness (Offsetting)",-2.140,-2.320
2,6:20,1,10,OAK 49,7,10,Philip Rivers pass complete short left to Melvin Gordon for 25 yards (tackle by Tahir Whitehead),2.320,3.970
2,5:50,1,10,OAK 24,7,10,Melvin Gordon left end for 4 yards (tackle by Clelin Ferrell),3.970,3.970
2,5:09,2,6,OAK 20,7,10,Philip Rivers pass complete short right to Hunter Henry for 13 yards (tackle by Karl Joseph),3.970,5.600
2,4:24,1,7,OAK 7,7,10,"Philip Rivers pass short left is intercepted by Erik Harris at OAK-0 and returned for 3 yards. Penalty on Maxx Crosby: Defensive Offside, 4 yards (no play)",5.600,6.510
2,4:20,1,3,OAK 3,13,10,"Melvin Gordon up the middle for 3 yards, touchdown",6.510,7.000
2,4:14,,,OAK 15,14,10,Michael Badgley kicks extra point good,0.000,0.000
2,4:14,,,LAC 35,14,10,"Michael Badgley kicks off 59 yards, returned by Trevor Davis for 18 yards (tackle by Uchenna Nwosu and Shalom Luani)",0.000,0.540
2,4:08,1,10,OAK 24,14,10,Derek Carr pass complete short left to Josh Jacobs for 17 yards (tackle by Melvin Ingram),0.540,1.660
2,3:31,1,10,OAK 41,14,10,"Derek Carr pass incomplete short left intended for Tyrell Williams (defended by Michael Davis). Penalty on Michael Davis: Defensive Pass Interference, 10 yards (no play)",1.660,2.320
2,3:26,1,10,LAC 49,14,10,Josh Jacobs right tackle for no gain (tackle by Damion Square),2.320,1.780
2,2:53,2,10,LAC 49,14,10,Derek Carr pass complete short right to Josh Jacobs for -1 yards (tackle by Desmond King),1.780,0.960
2,2:12,3,11,OAK 50,14,10,Derek Carr pass complete short left to Zay Jones for 10 yards (tackle by Drue Tranquill),0.960,0.590
2,2:00,4,1,LAC 40,14,10,Alec Ingold up the middle for 3 yards (tackle by Drue Tranquill),0.590,3.120
2,1:31,1,10,LAC 37,14,10,Derek Carr pass complete short middle to Darren Waller for 6 yards (tackle by Michael Davis and Thomas Davis),3.120,3.380
2,1:12,2,4,LAC 31,14,10,Derek Carr pass complete short right to Jalen Richard for 13 yards (tackle by Drue Tranquill),3.380,4.370
2,0:37,1,10,LAC 18,14,10,Derek Carr pass incomplete deep right intended for Hunter Renfrow,4.370,3.800
2,0:32,2,10,LAC 18,14,10,Derek Carr pass complete short right to DeAndre Washington for 9 yards (tackle by Drue Tranquill),3.800,4.740
2,0:24,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:24,3,1,LAC 9,14,16,"Derek Carr pass complete short right to Alec Ingold for 9 yards, touchdown. Penalty on Damion Square: Defensive Offside (Declined)",4.740,7.000
2,0:20,,,LAC 15,14,17,Daniel Carlson kicks extra point good,0.000,0.000
2,0:20,,,OAK 35,14,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:20,1,10,LAC 25,14,17,"Penalty on Ryan Groy: False Start, 5 yards (no play)",0.610,0.280
2,0:20,1,15,LAC 20,14,17,Melvin Gordon right guard for 5 yards (tackle by Maurice Hurst),0.280,0.060
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,14,17,"Michael Badgley kicks off 56 yards, returned by Trevor Davis for 18 yards (tackle by Derek Watt)",0.000,0.740
3,14:56,1,10,OAK 27,14,17,Josh Jacobs right end for 3 yards (tackle by Thomas Davis and Drue Tranquill),0.740,0.600
3,14:21,2,7,OAK 30,14,17,Derek Carr pass incomplete short right intended for Josh Jacobs (defended by Melvin Ingram),0.600,-0.100
3,14:18,3,7,OAK 30,14,17,"Derek Carr pass complete short left to Hunter Renfrow for 14 yards (tackle by Desmond King). Penalty on Desmond King: Face Mask (15 Yards), 15 yards",-0.100,2.850
3,13:56,1,10,LAC 41,14,17,Josh Jacobs up the middle for 2 yards (tackle by Melvin Ingram),2.850,2.580
3,13:19,2,8,LAC 39,14,17,Derek Carr pass complete deep left to Darren Waller for 27 yards (tackle by Michael Davis),2.580,4.780
3,12:30,1,10,LAC 12,14,17,Derek Carr pass incomplete short right,4.780,4.100
3,12:22,2,10,LAC 12,14,17,Josh Jacobs up the middle for 8 yards (tackle by Melvin Ingram and Rayshawn Jenkins),4.100,4.840
3,11:42,3,2,LAC 4,14,17,Derek Carr pass incomplete short left intended for Zay Jones,4.840,3.040
3,11:36,4,2,LAC 4,14,20,Daniel Carlson 22 yard field goal good,3.040,3.000
3,11:33,,,OAK 35,14,20,"Daniel Carlson kicks off 68 yards, returned by Troymaine Pope for 21 yards (tackle by Erik Harris). Penalty on Uchenna Nwosu: Offensive Holding, 9 yards",0.000,-0.380
3,11:27,1,10,LAC 9,14,20,Melvin Gordon right tackle for 5 yards (tackle by Trayvon Mullen),-0.380,-0.390
3,10:57,2,5,LAC 14,14,20,Philip Rivers sacked by Clelin Ferrell for -7 yards,-0.390,-1.650
3,10:11,3,12,LAC 7,14,20,Philip Rivers pass incomplete short middle intended for Mike Williams (defended by Trayvon Mullen),-1.650,-2.490
3,10:07,4,12,LAC 7,14,20,Ty Long punts 36 yards downed by Nick Dzubnar,-2.490,-2.720
3,9:57,1,10,LAC 43,14,20,Josh Jacobs left guard for -1 yards (tackle by Joey Bosa),2.720,2.040
3,9:26,2,11,LAC 44,14,20,Derek Carr pass complete short middle to DeAndre Washington for 10 yards (tackle by Desmond King and Damion Square),2.040,2.680
3,8:45,3,1,LAC 34,14,20,DeAndre Washington up the middle for no gain (tackle by Isaac Rochell and Thomas Davis),2.680,1.100
3,8:01,4,1,LAC 34,14,20,Daniel Carlson 53 yard field goal no good,1.100,-1.800
3,7:56,1,10,LAC 43,14,20,Austin Ekeler up the middle for no gain (tackle by Johnathan Hankins and Lamarcus Joyner),1.800,1.250
3,7:12,2,10,LAC 43,14,20,Philip Rivers pass incomplete deep middle intended for Andre Patton,1.250,0.560
3,7:06,3,10,LAC 43,14,20,"Philip Rivers sacked by Benson Mayowa for -13 yards. Philip Rivers fumbles (forced by Benson Mayowa), recovered by Michael Schofield at LAC-29 (tackle by Benson Mayowa). Penalty on Dan Feeney: Offensive Holding (Declined)",0.560,-1.440
3,6:52,4,24,LAC 29,14,20,"Ty Long punts 40 yards, returned by Trevor Davis for 1 yard (tackle by Derek Watt)",-1.440,-1.070
3,6:41,1,10,OAK 32,14,20,Derek Carr pass complete short left to Josh Jacobs for 14 yards (tackle by Michael Davis and Jerry Tillery),1.070,1.990
3,5:55,1,10,OAK 46,14,20,"Josh Jacobs right guard for 2 yards (tackle by Thomas Davis and Jerry Tillery). Penalty on Jerry Tillery: Defensive Holding, 5 yards",1.990,2.460
3,5:30,1,10,LAC 47,14,20,Derek Carr sacked by Melvin Ingram for -5 yards,2.460,1.240
3,4:46,2,15,OAK 48,14,20,Derek Carr pass complete short middle to Hunter Renfrow for 5 yards (tackle by Thomas Davis),1.240,1.220
3,4:06,3,10,LAC 47,14,20,Derek Carr pass incomplete short left intended for Darren Waller,1.220,0.130
3,4:02,4,10,LAC 47,14,20,"A.J. Cole punts 30 yards, fair catch by Desmond King at LAC-17",0.130,0.060
3,3:56,1,10,LAC 17,14,20,Philip Rivers pass complete deep middle to Mike Williams for 45 yards (tackle by Trayvon Mullen),-0.060,3.050
3,3:22,1,10,OAK 38,14,20,Melvin Gordon right tackle for 24 yards (tackle by Tahir Whitehead and Erik Harris),3.050,4.650
3,2:47,1,10,OAK 14,14,20,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Trayvon Mullen),4.650,5.470
3,2:13,2,2,OAK 6,14,20,Melvin Gordon up the middle for -4 yards (tackle by Karl Joseph),5.470,3.820
3,1:25,3,6,OAK 10,14,20,"Penalty on Philip Rivers: Delay of Game, 6 yards (no play)",3.820,3.000
3,1:07,3,12,OAK 16,14,20,Philip Rivers pass complete short middle to Keenan Allen for 7 yards (tackle by Tahir Whitehead),3.000,2.880
3,0:28,4,5,OAK 9,17,20,Michael Badgley 27 yard field goal good,2.880,3.000
3,0:25,,,LAC 35,17,20,"Michael Badgley kicks off 58 yards, returned by Trevor Davis for 23 yards (tackle by Derek Watt and Nick Dzubnar)",0.000,0.940
3,0:19,1,10,OAK 30,17,20,Josh Jacobs left guard for 4 yards (tackle by Brandon Mebane and Drue Tranquill),0.940,0.930
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,OAK 34,17,20,Derek Carr pass incomplete short middle intended for Darren Waller (defended by Michael Davis),0.930,0.230
4,14:58,3,6,OAK 34,17,20,Derek Carr pass complete short left to Tyrell Williams for 12 yards (tackle by Michael Davis),0.230,1.990
4,14:16,1,10,OAK 46,17,20,Josh Jacobs up the middle for 4 yards (tackle by Melvin Ingram and Drue Tranquill),1.990,1.990
4,13:40,2,6,OAK 50,17,20,Josh Jacobs left guard for 2 yards (tackle by Damion Square and Thomas Davis),1.990,1.550
4,13:03,3,4,LAC 48,17,20,Derek Carr sacked by Uchenna Nwosu for -8 yards,1.550,-0.460
4,12:25,4,12,OAK 44,17,20,"Penalty on Nevin Lawson: False Start, 5 yards (no play)",-0.460,-0.780
4,12:19,4,17,OAK 39,17,20,"A.J. Cole punts 49 yards, returned by Desmond King for 8 yards (tackle by Nicholas Morrow)",-0.780,-0.280
4,12:07,1,10,LAC 20,17,20,Philip Rivers sacked by Clelin Ferrell for -3 yards,0.280,-0.790
4,11:22,2,13,LAC 17,17,20,"Philip Rivers pass complete short left to Austin Ekeler for 11 yards (tackle by Daryl Worley and Maurice Hurst). Penalty on Kyle Wilber: Defensive Offside, 5 yards (no play)",-0.790,0.000
4,11:04,2,8,LAC 22,17,20,Philip Rivers pass complete short middle to Keenan Allen for 4 yards (tackle by Nicholas Morrow),0.000,-0.160
4,10:20,3,4,LAC 26,17,20,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by Tahir Whitehead and Trayvon Mullen),-0.160,1.070
4,9:55,1,10,LAC 32,17,20,Melvin Gordon left guard for -1 yards (tackle by Maxx Crosby),1.070,0.390
4,9:20,2,11,LAC 31,17,20,"Philip Rivers pass incomplete short left intended for Andre Patton. Penalty on Daryl Worley: Defensive Pass Interference, 12 yards (no play)",0.390,1.800
4,9:15,1,10,LAC 43,17,20,Austin Ekeler right end for 5 yards (tackle by Terrell McClain and Lamarcus Joyner),1.800,1.930
4,8:30,2,5,LAC 48,17,20,"Philip Rivers pass complete short middle to Keenan Allen for 29 yards (tackle by Daryl Worley). Penalty on Trenton Scott: Offensive Holding, 10 yards (no play)",1.930,0.580
4,8:01,2,15,LAC 38,17,20,Philip Rivers pass complete deep middle to Keenan Allen for 26 yards (tackle by Daryl Worley),0.580,3.180
4,7:34,1,10,OAK 36,17,20,"Philip Rivers pass incomplete short middle intended for Hunter Henry. Penalty on Erik Harris: Defensive Pass Interference, 8 yards (no play)",3.180,3.710
4,7:30,1,10,OAK 28,17,20,Melvin Gordon up the middle for 3 yards (tackle by P.J. Hall and Maxx Crosby),3.710,3.570
4,6:50,2,7,OAK 25,17,20,Philip Rivers pass complete short middle to Mike Williams for 10 yards (tackle by Lamarcus Joyner),3.570,4.580
4,6:05,1,10,OAK 15,17,20,Melvin Gordon left guard for 7 yards (tackle by Nicholas Morrow),4.580,5.220
4,5:33,2,3,OAK 8,17,20,Melvin Gordon up the middle for 3 yards (tackle by Nicholas Morrow and Karl Joseph),5.220,6.060
4,4:50,1,5,OAK 5,17,20,Austin Ekeler up the middle for -1 yards (tackle by Tahir Whitehead),6.060,4.950
4,4:08,2,6,OAK 6,23,20,"Philip Rivers pass complete short middle to Austin Ekeler for 6 yards, touchdown. Penalty on Nicholas Morrow: Defensive Holding (Declined)",4.950,7.000
4,4:02,,,OAK 15,24,20,Michael Badgley kicks extra point good,0.000,0.000
4,4:02,,,LAC 35,24,20,"Michael Badgley kicks off 58 yards, returned by Trevor Davis for 18 yards (tackle by Derek Watt)",0.000,0.610
4,3:57,1,10,OAK 25,24,20,Derek Carr pass incomplete short left intended for Josh Jacobs,0.610,0.060
4,3:53,2,10,OAK 25,24,20,Derek Carr pass complete short middle to Jalen Richard for 11 yards (tackle by Drue Tranquill),0.060,1.330
4,3:13,1,10,OAK 36,24,20,Derek Carr right tackle for 4 yards (tackle by Thomas Davis),1.330,1.330
4,2:36,2,6,OAK 40,24,20,Derek Carr pass complete short middle to Hunter Renfrow for 10 yards (tackle by Thomas Davis and Drue Tranquill),1.330,2.260
4,2:12,1,10,OAK 50,24,20,Derek Carr pass complete short right to Jalen Richard for 10 yards (tackle by Jaylen Watkins),2.260,2.920
4,2:05,1,10,LAC 40,24,20,Jalen Richard left end for no gain (tackle by Drue Tranquill and Joey Bosa),2.920,2.370
4,2:00,2,10,LAC 40,24,20,Derek Carr pass complete short right to Hunter Renfrow for 13 yards (tackle by Rayshawn Jenkins),2.370,3.780
4,1:26,1,10,LAC 27,24,20,Derek Carr pass incomplete deep right intended for Tyrell Williams,3.780,3.230
4,1:21,2,10,LAC 27,24,20,Derek Carr pass complete short middle to Jalen Richard for 9 yards (tackle by Drue Tranquill and Desmond King),3.230,3.840
4,1:06,,,,,,Timeout #1 by Oakland Raiders,,
4,1:06,3,1,LAC 18,24,26,"Josh Jacobs up the middle for 18 yards, touchdown",3.840,7.000
4,1:02,,,LAC 15,24,26,Daniel Carlson kicks extra point no good wide right,0.000,-1.000
4,1:02,,,OAK 35,24,26,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,1:02,1,10,LAC 25,24,26,Philip Rivers pass incomplete short middle intended for Andre Patton (defended by Kyle Wilber),0.610,0.060
4,0:58,2,10,LAC 25,24,26,Philip Rivers pass incomplete deep left intended for Andre Patton,0.060,-0.620
4,0:52,3,10,LAC 25,24,26,Philip Rivers pass incomplete short left intended for Keenan Allen,-0.620,-1.700
4,0:48,4,10,LAC 25,24,26,"Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Lamarcus Joyner). Penalty on Trayvon Mullen: Defensive Holding, 5 yards (no play)",-1.700,0.940
4,0:43,1,10,LAC 30,24,26,Philip Rivers pass incomplete deep left intended for Jason Moore,0.940,0.390
4,0:37,2,10,LAC 30,24,26,Philip Rivers pass incomplete deep right intended for Hunter Henry Penalty on LAC: Illegal Shift (Declined),0.390,-0.300
4,0:30,3,10,LAC 30,24,26,Philip Rivers pass incomplete short left intended for Hunter Henry,-0.300,-1.370
4,0:27,4,10,LAC 30,24,26,Philip Rivers pass deep right intended for Keenan Allen is intercepted by Karl Joseph at OAK-35 and returned for no gain,-1.370,-1.270
4,0:20,1,10,OAK 35,24,26,Josh Jacobs up the middle for 5 yards (tackle by Sylvester Williams),1.270,1.400
4,0:16,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:16,2,5,OAK 40,24,26,Josh Jacobs up the middle for 5 yards (tackle by Jaylen Watkins and Rayshawn Jenkins),1.400,1.930
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
