Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
2,14:12,1,10,TAM 45,3,10,Rachaad White up the middle for 3 yards (tackle by Brent Urban and A.J. Klein),1.930,1.790
2,13:36,2,7,TAM 48,3,10,Rachaad White up the middle for 3 yards (tackle by Broderick Washington and Justin Madubuike),1.790,1.490
2,12:58,3,4,BAL 49,3,10,Tom Brady pass incomplete short left intended for Chris Godwin (defended by Geno Stone),1.490,0.000
2,12:55,4,4,BAL 49,3,10,Jake Camarda punts 43 yards downed by Scott Miller,0.000,0.380
2,12:44,1,10,BAL 6,3,10,Gus Edwards up the middle for 12 yards (tackle by Mike Edwards),-0.380,0.040
2,12:09,1,10,BAL 18,3,10,Lamar Jackson sacked by Shaquil Barrett for -3 yards,0.040,-0.930
2,11:24,2,13,BAL 15,3,10,Lamar Jackson pass complete short middle to Mark Andrews for 6 yards (tackle by Keanu Neal),-0.930,-0.790
2,10:46,3,7,BAL 21,3,10,Lamar Jackson pass complete short right to Demarcus Robinson for 9 yards (tackle by Zyon McCollum),-0.790,0.940
2,10:29,1,10,BAL 30,3,10,Lamar Jackson pass complete short right to Demarcus Robinson for 6 yards (tackle by Lavonte David and Zyon McCollum),0.940,1.200
2,9:54,2,4,BAL 36,3,10,Lamar Jackson left end for 5 yards (tackle by Devin White and Jamel Dean),1.200,1.660
2,9:20,1,10,BAL 41,3,10,Lamar Jackson pass complete short left to James Proche for 6 yards (tackle by Jamel Dean),1.660,1.930
2,8:42,2,4,BAL 47,3,10,Gus Edwards up the middle for 2 yards (tackle by Rakeem Nunez-Roches and Mike Edwards),1.930,1.490
2,8:08,3,2,BAL 49,3,10,Gus Edwards right guard for 5 yards (tackle by William Gholston and Joe Tryon-Shoyinka),1.490,2.520
2,7:20,1,10,TAM 46,3,10,"Lamar Jackson pass complete to Kenyan Drake for 2 yards (tackle by Dee Delaney). Penalty on James Proche: Offensive Pass Interference, 10 yards (accepted) (no play)",2.520,1.860
2,7:09,1,20,BAL 44,3,10,Lamar Jackson pass complete short left to Demarcus Robinson for 4 yards,1.860,1.170
2,6:40,2,16,BAL 48,3,10,"Lamar Jackson pass incomplete short left. Penalty on Lamar Jackson: Intentional Grounding, 20 yards (accepted)",1.170,-2.140
2,6:29,3,36,BAL 28,3,10,Justice Hill up the middle for 8 yards (tackle by Joe Tryon-Shoyinka),-2.140,-0.980
2,5:55,4,28,BAL 36,3,10,"Jordan Stout punts 50 yards, fair catch by Jaelon Darden at TB-14",-0.980,0.280
2,5:47,1,10,TAM 14,3,10,Leonard Fournette left tackle for 2 yards (tackle by Malik Harrison),-0.280,-0.510
2,5:12,2,8,TAM 16,3,10,Tom Brady pass incomplete deep left intended for Mike Evans (defended by Marlon Humphrey),-0.510,-1.160
2,5:04,3,8,TAM 16,3,10,Tom Brady pass incomplete short middle intended for Chris Godwin,-1.160,-2.390
2,5:00,4,8,TAM 16,3,10,"Jake Camarda punts 51 yards, returned by Devin Duvernay for 7 yards (tackle by Cade Otton)",-2.390,-1.600
2,4:48,1,10,BAL 40,3,10,Lamar Jackson pass complete short left to Kenyan Drake for 1 yard (tackle by Lavonte David),1.600,1.190
2,4:19,2,9,BAL 41,3,10,Lamar Jackson pass complete short right to Isaiah Likely for 12 yards (tackle by Keanu Neal),1.190,2.460
2,3:40,1,10,TAM 47,3,10,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,2.460,1.910
2,3:35,2,10,TAM 47,3,10,Lamar Jackson pass complete short right to Demarcus Robinson for 14 yards (tackle by Devin White),1.910,3.380
2,3:07,1,10,TAM 33,3,10,Lamar Jackson pass complete short right to Demarcus Robinson for 16 yards (tackle by Mike Edwards),3.380,4.440
2,2:33,1,10,TAM 17,3,10,Lamar Jackson pass incomplete deep right,4.440,3.850
2,2:25,2,10,TAM 17,3,10,Lamar Jackson pass incomplete short right intended for Demarcus Robinson,3.850,3.070
2,2:22,3,10,TAM 17,3,10,Lamar Jackson pass complete short middle to Isaiah Likely for 8 yards (tackle by Keanu Neal),3.070,2.950
2,2:00,4,2,TAM 9,3,10,Lamar Jackson pass incomplete short middle intended for Demarcus Robinson (defended by Jamel Dean),2.950,0.380
2,1:55,1,10,TAM 10,3,10,Tom Brady pass complete short left to Scott Miller for 7 yards (tackle by Brandon Stephens),-0.380,-0.090
2,1:35,2,3,TAM 17,3,10,Tom Brady pass incomplete intended for Chris Godwin (defended by Broderick Washington),-0.090,-0.480
2,1:31,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:31,3,2,TAM 17,3,10,Tom Brady pass complete deep right to Mike Evans for 28 yards (tackle by Damarion Williams),-0.480,1.930
2,1:25,1,10,TAM 45,3,10,Tom Brady pass complete short middle to Leonard Fournette for 5 yards (tackle by Kyle Hamilton),1.930,2.060
2,1:06,2,5,TAM 50,3,10,Tom Brady sacked by Justin Houston for -9 yards,2.060,0.170
2,1:03,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,1:03,3,14,TAM 41,3,10,Tom Brady sacked by Justin Houston for -7 yards,0.170,-1.110
2,0:56,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:56,4,21,TAM 34,3,10,"Jake Camarda punts 60 yards, returned by Devin Duvernay for 7 yards (tackle by Rachaad White)",-1.110,0.320
2,0:46,1,10,BAL 13,3,10,Lamar Jackson pass complete short left to Kenyan Drake for 3 yards (tackle by Jamel Dean),-0.320,-0.440
2,0:41,2,7,BAL 16,3,10,Lamar Jackson pass complete short right to Isaiah Likely for 14 yards (tackle by William Gholston),-0.440,0.940
2,0:30,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:30,1,10,BAL 30,3,10,"Lamar Jackson pass incomplete deep middle intended for James Proche. Penalty on Joe Tryon-Shoyinka: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.940,1.930
2,0:25,1,10,BAL 45,3,10,Lamar Jackson pass complete short right to James Proche for 12 yards (tackle by Mike Edwards),1.930,2.720
2,0:09,1,10,TAM 43,3,10,Lamar Jackson spiked the ball,2.720,2.180
2,0:08,2,10,TAM 43,3,10,Lamar Jackson pass incomplete short right,2.180,1.490
2,0:04,3,10,TAM 43,3,10,Justin Tucker 61 yard field goal no good blocked by Pat O'Connor,1.490,2.260
Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,3,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,TAM 25,3,10,Leonard Fournette left guard for 4 yards (tackle by Broderick Washington),0.610,0.600
3,14:21,2,6,TAM 29,3,10,Tom Brady pass incomplete short right intended for Mike Evans,0.600,-0.100
3,14:19,3,6,TAM 29,3,10,Tom Brady pass incomplete short middle,-0.100,-1.440
3,14:13,4,6,TAM 29,3,10,"Penalty on J.J. Russell: False Start, 5 yards (accepted) (no play)",-1.440,-1.770
3,14:13,4,11,TAM 24,3,10,"Jake Camarda punts 66 yards, returned by Devin Duvernay for 13 yards (tackle by Ko Kieft)",-1.770,-0.480
3,13:58,1,10,BAL 23,3,10,Lamar Jackson up the middle for 25 yards (tackle by Zyon McCollum),0.480,2.130
3,13:25,1,10,BAL 48,3,10,Gus Edwards right guard for 2 yards (tackle by Pat O'Connor and Devin White),2.130,1.850
3,12:40,2,8,TAM 50,3,10,Gus Edwards right guard for 7 yards (tackle by Rakeem Nunez-Roches),1.850,2.080
3,12:09,3,1,TAM 43,3,10,Gus Edwards right tackle for 11 yards (tackle by Dee Delaney),2.080,3.450
3,11:44,1,10,TAM 32,3,10,Gus Edwards right tackle for 1 yard (tackle by William Gholston),3.450,3.040
3,11:04,2,9,TAM 31,3,10,Lamar Jackson pass complete short left to Devin Duvernay for 13 yards (tackle by Jamel Dean),3.040,4.370
3,10:27,1,10,TAM 18,3,10,Kenyan Drake left guard for 6 yards (tackle by Devin White and Lavonte David),4.370,4.810
3,9:44,2,4,TAM 12,3,10,Lamar Jackson pass complete short middle to Devin Duvernay for 7 yards (tackle by Lavonte David),4.810,6.060
3,9:10,1,5,TAM 5,9,10,"Lamar Jackson pass complete short right to Kenyan Drake for 5 yards, touchdown",6.060,7.000
3,9:05,,,TAM 15,10,10,Justin Tucker kicks extra point good,0.000,0.000
3,9:05,,,BAL 35,10,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,9:05,1,10,TAM 25,10,10,Tom Brady pass complete short left to Rachaad White for 20 yards (tackle by Devon Kennard),0.610,1.930
3,8:31,1,10,TAM 45,10,10,Rachaad White up the middle for 8 yards (tackle by Malik Harrison and Brent Urban),1.930,2.460
3,7:56,2,2,BAL 47,10,10,Julio Jones right end for no gain (tackle by A.J. Klein),2.460,1.750
3,7:11,3,2,BAL 47,10,10,Tom Brady pass incomplete deep left intended for Mike Evans,1.750,0.130
3,7:05,4,2,BAL 47,10,10,"Jake Camarda punts 47 yards, touchback.",0.130,-0.280
3,6:57,1,10,BAL 20,10,10,Devin Duvernay left end for 18 yards (tackle by Lavonte David),0.280,1.470
3,6:15,1,10,BAL 38,10,10,Gus Edwards up the middle for 2 yards (tackle by William Gholston and Devin White),1.470,1.190
3,5:38,2,8,BAL 40,10,10,Kenyan Drake right tackle for 3 yards (tackle by Vita Vea),1.190,0.890
3,4:56,3,5,BAL 43,10,10,Lamar Jackson pass complete short middle to Isaiah Likely for 17 yards (tackle by Logan Hall and Keanu Neal),0.890,2.920
3,4:24,1,10,TAM 40,10,10,Lamar Jackson sacked by Joe Tryon-Shoyinka for -1 yards,2.920,2.240
3,3:39,2,11,TAM 41,10,10,Justice Hill right tackle for 12 yards (tackle by Carl Nassib),2.240,3.640
3,2:57,1,10,TAM 29,10,10,Gus Edwards right tackle for 2 yards (tackle by Keanu Neal and Anthony Nelson),3.640,3.370
3,2:17,2,8,TAM 27,10,10,Lamar Jackson up the middle for -1 yards (tackle by Rakeem Nunez-Roches),3.370,2.540
3,1:32,3,9,TAM 28,10,10,Lamar Jackson pass complete short right to Demarcus Robinson for 15 yards (tackle by Mike Edwards),2.540,4.710
3,0:52,1,10,TAM 13,10,10,Justice Hill right guard for 3 yards (tackle by Vita Vea),4.710,4.580
3,0:11,2,7,TAM 10,16,10,"Lamar Jackson pass complete short right to Isaiah Likely for 10 yards, touchdown",4.580,7.000
3,0:05,,,TAM 15,17,10,Justin Tucker kicks extra point good,0.000,0.000
3,0:05,,,BAL 35,17,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,0:05,1,10,TAM 25,17,10,Tom Brady pass complete short right to Chris Godwin for 4 yards (tackle by Patrick Queen),0.610,0.600
Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,TAM 29,17,10,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Geno Stone and Damarion Williams),0.600,1.330
4,14:24,1,10,TAM 36,17,10,Tom Brady pass incomplete short middle intended for Chris Godwin (defended by Broderick Washington),1.330,0.790
4,14:20,2,10,TAM 36,17,10,Tom Brady pass complete deep left to Mike Evans for 51 yards (tackle by Geno Stone),0.790,4.710
4,13:31,1,10,BAL 13,17,10,Tom Brady pass incomplete short left intended for Kyle Rudolph,4.710,4.050
4,13:26,2,10,BAL 13,17,10,Tom Brady pass incomplete short right intended for Mike Evans,4.050,3.120
4,13:22,3,10,BAL 13,17,10,Tom Brady scrambles left end for 1 yard (tackle by Geno Stone),3.120,2.630
4,12:30,4,9,BAL 12,17,13,Ryan Succop 30 yard field goal good,2.630,3.000
4,12:26,,,TAM 35,17,13,"Jake Camarda kicks off 66 yards, returned by Devin Duvernay for 18 yards (tackle by Ko Kieft and Olakunle Fatukasi)",0.000,-0.060
4,12:21,1,10,BAL 17,17,13,Gus Edwards right tackle for 22 yards (tackle by Zyon McCollum),-0.060,1.530
4,11:36,1,10,BAL 39,17,13,Lamar Jackson pass complete short right to Isaiah Likely for 16 yards (tackle by Mike Edwards),1.530,2.590
4,10:46,1,10,TAM 45,17,13,Kenyan Drake right guard for 7 yards (tackle by Keanu Neal and Mike Edwards),2.590,2.990
4,10:10,2,3,TAM 38,17,13,Kenyan Drake up the middle for 3 yards (tackle by Dee Delaney and Devin White),2.990,3.250
4,9:23,1,10,TAM 35,17,13,Lamar Jackson pass complete short right to Devin Duvernay for 11 yards (tackle by Mike Edwards),3.250,3.970
4,8:48,1,10,TAM 24,17,13,"Lamar Jackson right end for 10 yards (tackle by Zyon McCollum). Penalty on Patrick Ricard: Offensive Holding, 10 yards (accepted)",3.970,3.970
4,8:25,1,10,TAM 24,17,13,Kenyan Drake left tackle for 3 yards (tackle by Devin White and Logan Hall),3.970,3.840
4,7:42,2,7,TAM 21,17,13,Lamar Jackson scrambles right end for 6 yards (tackle by Devin White),3.840,4.170
4,7:00,3,1,TAM 15,23,13,"Devin Duvernay left end for 15 yards, touchdown",4.170,7.000
4,6:55,,,TAM 15,24,13,Justin Tucker kicks extra point good,0.000,0.000
4,6:55,,,BAL 35,24,13,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,6:55,1,10,TAM 25,24,13,Tom Brady pass complete short right to Mike Evans for 7 yards (tackle by Marcus Peters),0.610,1.010
4,6:38,2,3,TAM 32,24,13,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by Chuck Clark),1.010,1.470
4,6:24,1,10,TAM 38,24,13,Tom Brady pass incomplete short left intended for Julio Jones,1.470,0.920
4,6:21,2,10,TAM 38,24,13,Tom Brady pass complete short right to Mike Evans for 8 yards,0.920,1.290
4,6:08,3,2,TAM 46,24,13,Rachaad White up the middle for 5 yards (tackle by Patrick Queen),1.290,2.320
4,5:48,1,10,BAL 49,24,13,"Tom Brady pass incomplete deep left intended for Scott Miller. Penalty on Brandon Stephens: Defensive Pass Interference, 40 yards (accepted) (no play)",2.320,5.140
4,5:41,1,9,BAL 9,24,13,Tom Brady pass complete to Chris Godwin for 3 yards (tackle by Marcus Peters),5.140,4.950
4,5:17,2,6,BAL 6,24,13,Tom Brady pass incomplete short right intended for Julio Jones (defended by Chuck Clark),4.950,4.040
4,5:10,3,6,BAL 6,24,13,"Tom Brady pass complete short left to Cade Otton for no gain, touchdown. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",4.040,2.850
4,5:04,3,16,BAL 16,24,13,Tom Brady pass complete short left to Julio Jones for 13 yards (tackle by Brandon Stephens),2.850,3.040
4,4:57,4,3,BAL 3,24,13,"Penalty on Leonard Fournette: False Start, 5 yards (accepted) (no play)",3.040,2.950
4,4:57,4,8,BAL 8,24,16,Ryan Succop 26 yard field goal good,2.950,3.000
4,4:54,,,TAM 35,24,16,"Jake Camarda kicks off 59 yards, returned by Devin Duvernay for 33 yards (tackle by Jamel Dean)",0.000,1.530
4,4:47,1,10,BAL 39,24,16,Kenyan Drake right tackle for 40 yards (tackle by Mike Edwards),1.530,4.170
4,3:56,1,10,TAM 21,24,16,Lamar Jackson scrambles up the middle for 4 yards (tackle by William Gholston),4.170,4.200
4,3:13,2,6,TAM 17,24,16,Justice Hill for 5 yards (tackle by Vita Vea),4.200,4.490
4,2:26,3,1,TAM 12,24,16,Kenyan Drake up the middle for no gain (tackle by William Gholston),4.490,2.780
4,2:16,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,2:16,4,1,TAM 12,27,16,Justin Tucker 30 yard field goal good,2.780,3.000
4,2:12,,,BAL 35,27,16,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,2:12,1,10,TAM 25,27,16,Tom Brady pass complete short right to Leonard Fournette for 14 yards (tackle by Patrick Queen),0.610,1.600
4,2:00,1,10,TAM 40,27,16,"Tom Brady pass complete to Julio Jones for 19 yards. Penalty on Justin Madubuike: Roughing the Passer, 15 yards (accepted) Tom Brady pass incomplete intended for Julio Jones. Penalty on Justin Madubuike: Roughing the Passer, 15 yards (accepted) (no play)",1.600,2.520
4,1:55,1,10,BAL 46,27,16,Tom Brady pass complete to Scott Miller for 6 yards (tackle by Brandon Stephens),2.520,2.790
4,1:49,2,4,BAL 40,27,16,Tom Brady sacked by Justin Madubuike for -4 yards,2.790,1.550
4,1:41,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:41,3,8,BAL 44,27,16,Tom Brady pass complete short middle to Cade Otton for 10 yards (tackle by Kyle Hamilton),1.550,3.310
4,1:24,1,10,BAL 34,27,16,Tom Brady pass complete short right to Leonard Fournette for 15 yards (tackle by Patrick Queen),3.310,4.310
4,1:15,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,1:15,1,10,BAL 19,27,16,Tom Brady pass complete short right to Cade Otton for 5 yards (tackle by Marcus Peters),4.310,4.530
4,1:12,2,5,BAL 14,27,16,Tom Brady pass complete short left to Mike Evans for 6 yards (tackle by Brandon Stephens),4.530,5.370
4,1:01,1,8,BAL 8,27,16,Tom Brady spiked the ball,5.370,4.570
4,1:00,2,8,BAL 8,27,16,Tom Brady pass incomplete short left intended for Cade Otton (defended by Kyle Hamilton),4.570,3.580
4,0:56,3,8,BAL 8,27,16,Tom Brady pass incomplete short middle intended for Chris Godwin (defended by Travis Jones),3.580,2.950
4,0:53,4,8,BAL 8,27,22,"Tom Brady pass complete short right to Julio Jones for 8 yards, touchdown. Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (declined)",2.950,7.000
4,0:49,,,BAL 2,27,22,"Two Point Attempt: Tom Brady pass incomplete. Penalty on Patrick Queen: Defensive Holding, 1 yard (accepted) Penalty on Chuck Clark: Defensive Holding, 5 yards (declined) . Penalty on Chuck Clark: Defensive Holding, 5 yards (declined) (no play)",1.000,1.000
4,0:49,1,1,BAL 2,27,22,"Two Point Attempt: Rachaad White rushes, conversion fails.",1.000,-1.000
4,0:49,,,,,,Timeout #1 by Baltimore Ravens,,
4,0:49,,,TAM 35,27,22,"Jake Camarda kicks onside 11 yards, returned by Isaiah Likely for no gain",0.000,2.520
4,0:48,1,10,TAM 46,27,22,Lamar Jackson kneels for -1 yards,2.520,1.840
4,0:26,2,11,TAM 47,27,22,Lamar Jackson kneels for -1 yards,1.840,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
