Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
2,5:02,2,3,SDG 37,3,14,Maurice Jones-Drew middle for 5 yards (tackle by Shaun Phillips and Steve Gregory),3.060,3.450
2,4:22,1,10,SDG 32,3,14,Maurice Jones-Drew middle for -2 yards (tackle by Brandon Siler),3.450,2.630
2,3:38,2,12,SDG 34,3,14,Rashad Jennings middle for -6 yards (tackle by Jacques Cesaire),2.630,1.160
2,2:55,3,18,SDG 40,3,14,"David Garrard pass complete short right to Ernest Wilford for 3 yards (tackle by Quentin Jammer). Penalty on Eugene Monroe: Illegal Use of Hands, 10 yards (no play)",1.160,-0.160
2,2:26,3,28,,3,14,David Garrard pass complete deep right to Mike Thomas for 20 yards (tackle by Steve Gregory),-0.160,1.410
2,2:00,4,8,SDG 30,6,14,Josh Scobee 48 yard field goal good,1.410,3.000
2,,,,JAX 30,6,14,"Josh Scobee kicks off 66 yards, returned by Darren Sproles for 19 yards (tackle by Russell Allen). Penalty on Brandon Siler: Offensive Holding, 10 yards",0.000,-0.320
2,1:50,1,10,SDG 13,6,14,Philip Rivers pass complete short middle to Darren Sproles for 43 yards (tackle by Courtney Greene),-0.320,2.650
2,1:41,1,10,JAX 44,6,14,Philip Rivers pass incomplete short right intended for Malcom Floyd,2.650,2.110
2,1:36,2,10,JAX 44,6,14,Philip Rivers pass incomplete,2.110,1.420
2,1:32,3,10,JAX 44,6,14,Philip Rivers pass complete short left to Patrick Crayton for 15 yards (tackle by David Jones),1.420,3.640
2,0:56,1,10,JAX 29,6,14,Philip Rivers pass complete short left to Craig Davis for 10 yards (tackle by Daryl Smith and Sean Considine),3.640,4.310
2,0:30,1,10,JAX 19,6,14,Philip Rivers pass complete short left to Craig Davis for 5 yards (tackle by David Jones),4.310,4.530
2,0:26,2,5,JAX 14,6,14,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Courtney Greene and Sean Considine),4.530,5.370
2,0:18,,,,6,14,Timeout #3 by San Diego Chargers,0.000,5.370
2,0:18,1,8,JAX 8,6,14,"Philip Rivers pass incomplete short left intended for Legedu Naanee. Penalty on David Jones: Illegal Contact, 4 yards (no play)",5.370,6.280
2,0:14,1,4,JAX 4,6,20,"Philip Rivers pass complete short right to Antonio Gates for 4 yards, touchdown",6.280,7.000
2,,,,JAX 2,6,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,6,21,"Nate Kaeding kicks off 70 yards, touchback",0.000,0.280
2,0:10,1,10,JAX 20,6,21,David Garrard kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,6,21,"Nate Kaeding kicks off 65 yards, returned by Tiquan Underwood for 13 yards (tackle by Jacob Hester)",0.000,0.040
3,14:55,1,10,JAX 18,6,21,David Garrard pass incomplete short left intended for Mike Thomas (defended by Antoine Cason),0.040,-0.490
3,14:50,2,10,JAX 18,6,21,David Garrard pass complete short left to Mike Thomas for 8 yards (tackle by Antoine Cason and Steve Gregory),-0.490,-0.140
3,14:16,3,2,JAX 26,6,21,David Garrard pass complete short right to Marcedes Lewis for 6 yards (tackle by Steve Gregory),-0.140,1.070
3,13:42,1,10,JAX 32,6,21,David Garrard sacked by Jacques Cesaire for -6 yards,1.070,-0.280
3,13:11,2,16,JAX 26,6,21,David Garrard pass complete short left to Mike Sims-Walker for 7 yards (tackle by Antoine Cason),-0.280,-0.030
3,12:35,3,9,JAX 33,6,21,David Garrard pass complete deep middle to Mike Sims-Walker for 20 yards (tackle by Steve Gregory),-0.030,2.460
3,11:58,1,10,SDG 47,6,21,Rashad Jennings right tackle for 9 yards (tackle by Steve Gregory),2.460,3.130
3,11:24,2,1,SDG 38,6,21,Rashad Jennings middle for 5 yards (tackle by Antonio Garay),3.130,3.380
3,10:45,1,10,SDG 33,6,21,David Garrard pass complete short left to Greg Jones for 5 yards (tackle by Kevin Burnett),3.380,3.510
3,10:08,2,5,SDG 28,6,21,Maurice Jones-Drew left end for 4 yards (tackle by Paul Oliver),3.510,3.340
3,9:26,3,1,SDG 24,6,21,"Maurice Jones-Drew left end for no gain (tackle by Antwan Applewhite). Maurice Jones-Drew fumbles (forced by Antwan Applewhite), recovered by Paul Oliver at SDG-18 (tackle by Maurice Jones-Drew)",3.340,-1.140
3,9:16,1,10,SDG 33,6,21,Mike Tolbert middle for 4 yards (tackle by Aaron Kampman and Tyson Alualu),1.140,1.130
3,8:36,2,6,SDG 37,6,21,Philip Rivers pass complete deep right to Antonio Gates for 26 yards (tackle by Daryl Smith),1.130,3.120
3,7:56,1,10,JAX 37,6,21,Mike Tolbert right end for 3 yards (tackle by Jeremy Mincey and Kirk Morrison),3.120,2.980
3,7:26,2,7,JAX 34,6,21,Philip Rivers pass complete short left to Darren Sproles for 2 yards (tackle by Sean Considine),2.980,2.540
3,6:46,3,5,JAX 32,6,21,Philip Rivers pass complete short left to Craig Davis for 7 yards,2.540,3.910
3,6:19,1,10,JAX 25,6,21,Mike Tolbert left end for no gain (tackle by Daryl Smith),3.910,3.360
3,5:36,2,10,JAX 25,6,21,Philip Rivers pass complete short right to Darren Sproles for 2 yards (tackle by Tyron Brackenridge),3.360,2.940
3,5:03,3,8,JAX 23,6,21,Philip Rivers pass incomplete short middle intended for Antonio Gates,2.940,1.930
3,4:59,4,8,JAX 23,6,24,Nate Kaeding 41 yard field goal good,1.930,3.000
3,,,,SDG 30,6,24,"Nate Kaeding kicks off 59 yards, returned by Tiquan Underwood for 13 yards (tackle by Legedu Naanee)",0.000,0.540
3,4:50,1,10,JAX 24,6,24,Mike Thomas left end for -1 yards (tackle by Luis Castillo),0.540,-0.140
3,4:07,2,11,JAX 23,6,24,David Garrard pass incomplete deep middle intended for Marcedes Lewis,-0.140,-0.820
3,4:02,3,11,JAX 23,6,24,"Penalty on Justin Smiley: False Start, 5 yards (no play)",-0.820,-1.640
3,4:01,3,16,JAX 18,6,24,David Garrard pass complete short left to Maurice Jones-Drew for 17 yards (tackle by Donald Strickland and Steve Gregory),-1.640,1.270
3,3:18,1,10,JAX 35,6,24,Rashad Jennings right end for 3 yards (tackle by Eric Weddle),1.270,1.130
3,2:42,2,7,JAX 38,6,24,David Garrard sacked by Larry English and Eric Weddle for -8 yards,1.130,-0.630
3,2:06,3,15,JAX 30,6,24,David Garrard pass complete deep right to Mike Sims-Walker for 17 yards (tackle by Steve Gregory),-0.630,2.060
3,1:27,1,10,JAX 47,6,24,David Garrard pass complete short right to Rashad Jennings for 3 yards (tackle by Shawne Merriman),2.060,1.920
3,0:45,2,7,,6,24,David Garrard pass incomplete is intercepted by Kevin Burnett at SDG-40 and returned for 2 yards,1.920,-1.730
3,0:36,1,10,SDG 42,6,24,Mike Tolbert right end for 6 yards (tackle by Sean Considine and Courtney Greene),1.730,2.000
Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,SDG 48,6,24,Mike Tolbert left end for 29 yards (tackle by Kirk Morrison),2.000,4.040
4,14:36,1,10,JAX 23,6,24,Darren Sproles right tackle for 1 yard (tackle by Daryl Smith),4.040,3.630
4,13:56,2,9,JAX 22,6,24,Philip Rivers pass complete short left to Craig Davis for 21 yards (tackle by Tyron Brackenridge),3.630,6.970
4,13:21,1,1,JAX 1,6,30,"Mike Tolbert left tackle for 1 yard, touchdown",6.970,7.000
4,,,,JAX 2,6,31,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,,,"Nate Kaeding kicks off 66 yards, returned by Tiquan Underwood for 14 yards. Penalty on Jeremy Mincey: Offensive Holding, 9 yards",,
4,13:10,1,10,JAX 9,6,31,Luke McCown pass complete short right to Marcedes Lewis for 16 yards (tackle by Brandon Siler),-0.380,0.610
4,12:47,1,10,JAX 25,6,31,Luke McCown pass incomplete short right intended for Rashad Jennings,0.610,0.060
4,12:43,2,10,JAX 25,6,31,Luke McCown pass complete short right to Rashad Jennings for 25 yards (tackle by Antwan Applewhite and Quentin Jammer),0.060,2.260
4,12:08,1,10,,6,31,Luke McCown pass complete short left to Mike Sims-Walker for 8 yards (tackle by Antwan Applewhite),2.260,2.790
4,11:42,2,2,SDG 42,6,31,Rashad Jennings middle for 2 yards (tackle by Shawne Merriman),2.790,2.920
4,11:18,1,10,SDG 40,6,31,Luke McCown pass incomplete deep left intended for Mike Thomas,2.920,2.370
4,11:13,2,10,SDG 40,6,31,Luke McCown pass incomplete deep left intended for Kassim Osgood (defended by Antoine Cason),2.370,1.680
4,11:08,3,10,SDG 40,6,31,Luke McCown pass complete short left to Marcedes Lewis for 3 yards (tackle by Kevin Burnett),1.680,0.790
4,10:21,4,7,SDG 37,6,31,Luke McCown pass incomplete deep right intended for Tiquan Underwood,0.790,-1.400
4,10:14,1,10,SDG 37,6,31,Mike Tolbert right tackle for 11 yards (tackle by Tyron Brackenridge),1.400,2.130
4,9:38,1,10,SDG 48,6,31,Mike Tolbert middle for -3 yards (tackle by Daryl Smith and Landon Cohen),2.130,1.180
4,8:59,2,13,SDG 45,6,31,Darren Sproles left end for 1 yard (tackle by David Jones and Russell Allen),1.180,0.630
4,8:14,3,12,SDG 46,6,37,"Philip Rivers pass complete deep right to Malcom Floyd for 54 yards, touchdown",0.630,7.000
4,,,,JAX 2,6,38,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,6,38,"Nate Kaeding kicks off 58 yards, returned by Tiquan Underwood for 19 yards (tackle by Jyles Tucker)",0.000,1.000
4,8:02,1,10,JAX 31,6,38,Luke McCown pass complete short left to Rashad Jennings for 17 yards (tackle by Steve Gregory and Eric Weddle),1.000,2.130
4,7:41,1,10,JAX 48,6,38,Luke McCown pass incomplete short right intended for Marcedes Lewis (defended by Antwan Applewhite),2.130,1.580
4,7:38,2,10,JAX 48,6,38,Luke McCown pass complete short left to Mike Sims-Walker for 6 yards (tackle by Antoine Cason),1.580,1.680
4,7:04,3,4,SDG 46,6,38,Luke McCown pass complete short right to Mike Sims-Walker for 10 yards (tackle by Quentin Jammer),1.680,3.180
4,6:45,1,10,SDG 36,6,38,Luke McCown pass complete deep right to Marcedes Lewis for 19 yards (tackle by Steve Gregory),3.180,4.440
4,6:11,1,10,SDG 17,6,38,Luke McCown pass incomplete deep right intended for Mike Sims-Walker,4.440,3.850
4,6:07,2,10,SDG 17,6,38,Luke McCown pass complete short left to Mike Thomas for 2 yards (tackle by Kevin Burnett and Donald Strickland),3.850,3.340
4,5:22,3,8,SDG 15,6,38,Luke McCown pass incomplete short left intended for Kassim Osgood,3.340,2.440
4,5:17,4,8,SDG 15,6,38,Luke McCown pass complete short right to Ernest Wilford for 3 yards (tackle by Quentin Jammer),2.440,0.350
4,5:11,1,10,SDG 12,6,38,Jacob Hester left end for no gain (tackle by Jeremy Mincey),-0.350,-0.780
4,4:32,2,10,SDG 12,6,38,Jacob Hester right tackle for 4 yards (tackle by Russell Allen),-0.780,-0.950
4,3:53,3,6,SDG 16,6,38,Jacob Hester middle for 3 yards (tackle by Sean Considine and Russell Allen),-0.950,-2.140
4,3:19,4,3,SDG 19,6,38,Mike Scifres punts 34 yards,-2.140,-2.060
4,3:11,1,10,JAX 47,6,38,Rashad Jennings left end for 10 yards (tackle by Antoine Cason),2.060,2.720
4,2:49,1,10,SDG 43,6,38,"Penalty on SDG: Defensive 12 On-field, 5 yards (no play)",2.720,3.450
4,2:43,1,5,SDG 38,6,38,Rashad Jennings left end for 2 yards (tackle by Jacques Cesaire),3.450,3.120
4,2:22,2,3,SDG 36,6,38,Luke McCown pass complete short left to Mike Sims-Walker for 11 yards (tackle by Paul Oliver),3.120,3.910
4,2:00,1,10,SDG 25,6,38,"Luke McCown pass incomplete. Penalty on Travis Johnson: Defensive Offside, 5 yards (no play)",3.910,4.640
4,1:56,1,5,SDG 20,6,38,Rashad Jennings middle for 10 yards (tackle by Antwan Applewhite and Steve Gregory),4.640,4.910
4,1:32,1,10,SDG 10,6,38,Rashad Jennings middle for 3 yards (tackle by Brandon Siler),4.910,4.760
4,1:02,2,7,SDG 7,6,38,Luke McCown pass incomplete short right intended for Marcedes Lewis,4.760,3.810
4,0:58,3,7,SDG 7,6,38,Luke McCown left end for 4 yards (tackle by Antoine Cason),3.810,3.040
4,0:41,,,,6,38,Timeout #1 by Jacksonville Jaguars,0.000,3.040
4,0:41,4,3,SDG 3,12,38,"David Garrard pass complete short left to Mike Sims-Walker for 3 yards, touchdown",3.040,7.000
4,,,,SDG 2,13,38,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,13,38,"Josh Scobee kicks off 65 yards, returned by Darren Sproles for 11 yards (tackle by Russell Allen)",0.000,-0.140
4,0:33,1,10,SDG 16,13,38,Billy Volek kneels for -1 yards,-0.140,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
