Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
2,2:29,2,11,TEN 24,0,10,Adrian Peterson up the middle for 6 yards (tackle by Zach Brown),3.360,3.490
2,2:00,3,5,TEN 18,0,10,Christian Ponder pass incomplete short right intended for Kyle Rudolph,3.490,2.300
2,1:56,4,5,TEN 18,0,13,Blair Walsh 36 yard field goal good,2.300,3.000
2,1:52,,,MIN 35,0,13,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
2,1:52,1,10,TEN 20,0,13,"Penalty on Jared Cook: False Start, 5 yards (no play)",0.280,-0.310
2,1:52,1,15,TEN 15,0,13,Matt Hasselbeck pass incomplete short middle intended for Javon Ringer. Penalty on Michael Roos: Offensive Holding (Declined),-0.310,-1.070
2,1:49,2,15,TEN 15,0,13,Matt Hasselbeck pass complete short right to Javon Ringer for 2 yards (tackle by Chad Greenway),-1.070,-1.510
2,1:43,3,13,TEN 17,0,13,Matt Hasselbeck sacked by Jared Allen for -11 yards,-1.510,0.000
2,1:37,,,,0,13,Timeout #1 by Minnesota Vikings,0.000,-2.490
2,1:37,4,24,TEN 6,0,13,"Brett Kern punts 53 yards, returned by Marcus Sherels for -1 yards",-2.490,-1.600
2,1:29,1,10,MIN 40,0,13,Christian Ponder pass complete short right to Michael Jenkins for 8 yards (tackle by Jason McCourty and Ryan Mouton),1.600,2.130
2,1:09,2,2,MIN 48,0,13,"Christian Ponder pass incomplete deep right intended for Michael Jenkins. Penalty on Michael Griffin: Unnecessary Roughness, 15 yards (no play)",2.130,3.120
2,1:04,1,10,TEN 37,0,13,Christian Ponder pass complete short left to Percy Harvin for 14 yards (tackle by Colin McCarthy),3.120,4.040
2,0:35,1,10,TEN 23,0,13,Christian Ponder pass complete short left to Kyle Rudolph for -1 yards (tackle by Alterraun Verner),4.040,0.000
2,0:28,,,,0,13,Timeout #2 by Minnesota Vikings,0.000,3.360
2,0:28,2,11,TEN 24,0,13,Christian Ponder pass incomplete short right intended for Michael Jenkins (defended by Ryan Mouton),3.360,2.680
2,0:24,3,11,TEN 24,0,13,Christian Ponder pass incomplete deep left intended for Kyle Rudolph is intercepted by Robert Johnson at TEN-2 and returned for 2 yards,2.680,0.380
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,0:15,1,10,TEN 4,0,13,Matt Hasselbeck kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,0,13,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,MIN 20,0,13,Adrian Peterson right guard for 34 yards (tackle by Jason McCourty),0.280,2.520
3,14:18,1,10,TEN 46,0,13,Adrian Peterson left tackle for 1 yard (tackle by Jurrell Casey and Alterraun Verner),2.520,2.110
3,13:45,2,9,TEN 45,0,13,Adrian Peterson right guard for -3 yards (tackle by Akeem Ayers and SenDerrick Marks),2.110,1.030
3,13:12,3,12,TEN 48,0,13,Christian Ponder pass incomplete deep right intended for Jerome Simpson is intercepted by Jordan Babineaux at TEN-30 and returned for 10 yards (tackle by Toby Gerhart),1.030,-1.600
3,13:00,1,10,TEN 40,0,13,Chris Johnson left guard for 3 yards (tackle by Kevin Williams),1.600,1.460
3,12:25,2,7,TEN 43,0,13,Chris Johnson left end for -3 yards (tackle by Erin Henderson),1.460,0.370
3,11:42,3,10,TEN 40,0,13,Matt Hasselbeck pass incomplete short middle intended for Damian Williams,0.370,-0.720
3,11:37,4,10,TEN 40,0,13,"Brett Kern punts 37 yards, fair catch by Marcus Sherels",-0.720,-0.480
3,11:31,1,10,MIN 23,0,13,Christian Ponder pass complete short left to John Carlson for 2 yards (tackle by Zach Brown and Jordan Babineaux),0.480,0.200
3,10:58,2,8,MIN 25,0,13,Christian Ponder pass complete short left to Adrian Peterson for 10 yards (tackle by Zach Brown),0.200,1.270
3,10:16,1,10,MIN 35,0,13,Adrian Peterson up the middle for 5 yards (tackle by Jordan Babineaux),1.270,1.400
3,9:41,2,5,MIN 40,0,13,Toby Gerhart up the middle for 22 yards (tackle by Michael Griffin),1.400,3.050
3,9:08,1,10,TEN 38,0,13,Christian Ponder pass complete short right to Percy Harvin for 2 yards (tackle by Akeem Ayers and Colin McCarthy),3.050,2.780
3,8:29,2,8,TEN 36,0,13,Christian Ponder pass complete short left to Percy Harvin for 9 yards (tackle by Ryan Mouton),2.780,3.780
3,7:50,1,10,TEN 27,0,13,Christian Ponder pass complete short left to Rhett Ellison for 6 yards (tackle by Alterraun Verner),3.780,4.040
3,7:11,2,4,TEN 21,0,13,Christian Ponder pass complete short left to Devin Aromashodu for 6 yards (tackle by Jordan Babineaux),4.040,4.580
3,6:31,1,10,TEN 15,0,13,Christian Ponder pass complete short right to Percy Harvin for no gain,4.580,3.950
3,5:56,2,10,TEN 15,0,13,Christian Ponder pass incomplete short left intended for Devin Aromashodu,3.950,3.100
3,5:51,3,10,TEN 15,0,13,Christian Ponder right end for 7 yards (tackle by Jordan Babineaux),3.100,2.980
3,5:09,4,3,TEN 8,0,16,Blair Walsh 26 yard field goal good,2.980,3.000
3,5:07,,,MIN 35,0,16,"Blair Walsh kicks off 74 yards, touchback",0.000,0.280
3,5:07,1,10,TEN 20,0,16,Matt Hasselbeck pass complete short middle to Kendall Wright for 9 yards (tackle by Chad Greenway),0.280,0.950
3,4:31,2,1,TEN 29,0,16,"Matt Hasselbeck pass complete short right to Chris Johnson for 4 yards (tackle by Chad Greenway). Penalty on David Stewart: Offensive Holding, 10 yards (no play)",0.950,-0.460
3,4:03,2,11,TEN 19,0,16,Matt Hasselbeck pass incomplete deep left intended for Craig Stevens,-0.460,-1.140
3,3:49,3,11,TEN 19,0,16,Matt Hasselbeck pass incomplete deep right intended for Nate Washington,-1.140,-2.140
3,3:43,4,11,TEN 19,0,16,"Brett Kern punts 42 yards, fair catch by Marcus Sherels",-2.140,-1.530
3,3:36,1,10,MIN 39,0,16,Adrian Peterson right guard for 17 yards (tackle by Derrick Morgan and Michael Griffin),1.530,2.650
3,2:55,1,10,TEN 44,0,16,Adrian Peterson left tackle for no gain (tackle by Colin McCarthy and Jurrell Casey),2.650,2.110
3,2:16,2,10,TEN 44,0,16,Christian Ponder pass complete short right to Rhett Ellison for 29 yards (tackle by Jason McCourty),2.110,4.580
3,1:27,1,10,TEN 15,0,16,Christian Ponder pass complete short right to Stephen Burton for 6 yards (tackle by Jason McCourty and Akeem Ayers),4.580,5.030
3,0:52,2,4,TEN 9,0,16,Adrian Peterson left tackle for -1 yards (tackle by Kamerion Wimbley and Michael Griffin),5.030,4.000
3,0:13,3,5,TEN 10,0,22,"Christian Ponder pass complete short right to Percy Harvin for 10 yards, touchdown",4.000,7.000
3,0:13,,,TEN 2,0,23,Blair Walsh kicks extra point good,0.000,0.000
3,0:05,,,MIN 35,0,23,"Blair Walsh kicks off 73 yards, returned by Darius Reynaud for 31 yards (tackle by A.J. Jefferson)",0.000,0.480
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 23,0,23,Matt Hasselbeck pass complete short middle to Jared Cook for 7 yards (tackle by Antoine Winfield),0.480,0.880
4,14:40,2,3,TEN 30,0,23,Chris Johnson left tackle for 3 yards (tackle by Kevin Williams),0.880,1.140
4,14:09,1,10,TEN 33,0,23,Matt Hasselbeck pass complete short middle to Jared Cook for 4 yards (tackle by Robert Blanton),1.140,1.130
4,13:41,2,6,TEN 37,0,23,Chris Johnson right guard for 3 yards (tackle by Kevin Williams and Jasper Brinkley),1.130,0.830
4,13:12,3,3,TEN 40,0,23,"Matt Hasselbeck pass complete short right to Kendall Wright for 10 yards (tackle by Josh Robinson). Penalty on Everson Griffen: Roughing the Passer, 15 yards",0.830,3.250
4,12:51,1,10,MIN 35,0,23,Matt Hasselbeck pass complete short right to Damian Williams for 9 yards (tackle by Josh Robinson),3.250,3.920
4,12:26,2,1,MIN 26,0,23,Chris Johnson right guard for 1 yard (tackle by Brian Robison),3.920,3.910
4,11:47,1,10,MIN 25,0,23,Matt Hasselbeck pass incomplete short middle intended for Jared Cook (defended by Jasper Brinkley),3.910,3.360
4,11:42,2,10,MIN 25,0,23,Matt Hasselbeck pass incomplete deep right intended for Kenny Britt,3.360,2.680
4,11:37,3,10,MIN 25,0,23,Matt Hasselbeck pass complete short right to Kendall Wright for 10 yards (tackle by Robert Blanton),2.680,4.580
4,11:07,1,10,MIN 15,0,23,Matt Hasselbeck pass complete short left to Kendall Wright for 5 yards (tackle by Robert Blanton),4.580,4.840
4,10:40,2,5,MIN 10,6,23,"Matt Hasselbeck pass complete short middle to Jared Cook for 10 yards, touchdown",4.840,7.000
4,10:40,,,MIN 2,7,23,Rob Bironas kicks extra point good,0.000,0.000
4,10:35,,,TEN 35,7,23,"Rob Bironas kicks onside 13 yards. Penalty on Rob Bironas: Kickoff Out of Bounds, 5 yards",0.000,2.720
4,10:34,1,10,TEN 43,7,23,Toby Gerhart right end for 7 yards (tackle by Zach Diles),2.720,3.120
4,9:56,2,3,TEN 36,7,23,Toby Gerhart left end for no gain (tackle by Akeem Ayers),3.120,2.410
4,9:16,3,3,TEN 36,7,23,"Penalty on Karl Klug: Neutral Zone Infraction, 5 yards (no play)",2.410,3.510
4,8:57,1,10,TEN 31,7,23,Toby Gerhart up the middle for no gain (tackle by Markelle Martin),3.510,2.970
4,8:13,2,10,TEN 31,7,23,Toby Gerhart right end for 11 yards (tackle by Jurrell Casey and Michael Griffin),2.970,4.240
4,7:30,1,10,TEN 20,7,23,Christian Ponder pass complete short right to Kyle Rudolph for 5 yards (tackle by Zach Diles),4.240,4.450
4,6:45,2,5,TEN 15,7,29,"Christian Ponder pass complete short left to Kyle Rudolph for 15 yards, touchdown",4.450,7.000
4,6:45,,,TEN 2,7,30,Blair Walsh kicks extra point good,0.000,0.000
4,6:38,,,MIN 35,7,30,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
4,6:38,1,10,TEN 20,7,30,Matt Hasselbeck pass complete short left to Chris Johnson for 5 yards (tackle by Jasper Brinkley and Chad Greenway),0.280,0.410
4,6:07,2,5,TEN 25,7,30,Matt Hasselbeck pass complete short left to Jared Cook for 6 yards (tackle by Chris Cook),0.410,1.000
4,5:40,1,10,TEN 31,7,30,Matt Hasselbeck pass incomplete short right intended for Jared Cook (defended by Jamarca Sanford),1.000,0.460
4,5:36,2,10,TEN 31,7,30,Matt Hasselbeck pass incomplete short middle intended for Nate Washington (defended by Kevin Williams),0.460,-0.230
4,5:32,3,10,TEN 31,7,30,Matt Hasselbeck pass complete short right to Nate Washington for 10 yards (tackle by Antoine Winfield),-0.230,1.660
4,5:16,1,10,TEN 41,7,30,Matt Hasselbeck pass complete short middle to Kenny Britt for 6 yards (tackle by Chris Cook),1.660,1.930
4,4:53,2,4,TEN 47,7,30,Matt Hasselbeck pass incomplete short middle intended for Kenny Britt,1.930,1.220
4,4:49,3,4,TEN 47,7,30,Matt Hasselbeck pass complete short right to Kendall Wright for 6 yards (tackle by Josh Robinson),1.220,2.460
4,4:22,1,10,MIN 47,7,30,Matt Hasselbeck pass complete short middle to Javon Ringer for 6 yards (tackle by Chad Greenway),2.460,2.720
4,3:54,2,4,MIN 41,7,30,Matt Hasselbeck pass incomplete short middle intended for Javon Ringer,2.720,2.010
4,3:50,3,4,MIN 41,7,30,Matt Hasselbeck pass complete short middle to Kendall Wright for 9 yards (tackle by Josh Robinson),2.010,3.450
4,3:24,1,10,MIN 32,7,30,Matt Hasselbeck pass complete short right to Javon Ringer for 4 yards (tackle by Josh Robinson),3.450,3.440
4,3:05,2,6,MIN 28,7,30,Matt Hasselbeck pass complete short middle to Jared Cook for 10 yards (tackle by Jasper Brinkley),3.440,4.370
4,2:42,1,10,MIN 18,7,30,Matt Hasselbeck pass incomplete short middle intended for Jared Cook (defended by Jared Allen),4.370,3.800
4,2:39,2,10,MIN 18,7,30,Chris Johnson right guard for 9 yards (tackle by Jamarca Sanford),3.800,4.740
4,2:10,3,1,MIN 9,7,30,Matt Hasselbeck pass incomplete short left intended for Kendall Wright,4.740,2.980
4,2:05,4,1,MIN 9,7,30,Chris Johnson left guard for -4 yards (tackle by Robert Blanton and Chad Greenway),2.980,0.320
4,2:00,1,10,MIN 13,7,30,Joe Webb kneels for -1 yards,-0.320,0.000
4,1:57,,,,7,30,Timeout #1 by Tennessee Titans,0.000,-0.850
4,1:57,2,11,MIN 12,7,30,Matt Asiata left end for 5 yards (tackle by Zach Diles),-0.850,0.000
4,1:50,,,,7,30,Timeout #2 by Tennessee Titans,0.000,-0.940
4,1:50,3,6,MIN 17,7,30,Matt Asiata up the middle for 3 yards (tackle by Tommie Campbell),-0.940,0.000
4,1:44,,,,7,30,Timeout #3 by Tennessee Titans,0.000,-2.030
4,1:44,4,3,MIN 20,7,30,"Chris Kluwe punts 51 yards, returned by Darius Reynaud for 11 yards (tackle by Tyrone McKenzie)",-2.030,-1.600
4,1:31,1,10,TEN 40,7,30,"Rusty Smith pass complete short middle to Damian Williams for 8 yards (tackle by Josh Robinson). Penalty on TEN: Illegal Formation, 5 yards (no play)",1.600,1.270
4,1:26,1,15,TEN 35,7,30,Rusty Smith pass incomplete short right intended for Taylor Thompson,1.270,0.380
4,1:21,2,15,TEN 35,7,30,Rusty Smith pass complete short middle to Taylor Thompson for 7 yards,0.380,0.630
4,0:57,3,8,TEN 42,7,30,Rusty Smith pass complete short left to Kendall Wright for 10 yards (tackle by Jasper Brinkley),0.630,2.390
4,0:32,1,10,MIN 48,7,30,Rusty Smith pass incomplete deep right intended for Damian Williams,2.390,1.850
4,0:27,2,10,MIN 48,7,30,"Penalty on Michael Roos: False Start, 5 yards (no play)",1.850,1.170
4,0:27,2,15,TEN 47,7,30,Darius Reynaud up the middle for 8 yards (tackle by Robert Blanton),1.170,1.550
4,0:06,3,7,MIN 45,7,30,Rusty Smith pass complete short middle to Kenny Britt for 17 yards (tackle by A.J. Jefferson),1.550,1.470
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
