Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
OT,1:50,1,10,PHI 13,13,13,Donovan McNabb pass incomplete short middle intended for Reggie Brown (defended by John Thornton),-0.320,-0.770
OT,1:47,2,10,PHI 13,13,13,Donovan McNabb pass incomplete short left intended for Brent Celek (defended by Jamar Fletcher),-0.770,-1.420
OT,1:42,3,10,PHI 13,13,13,Donovan McNabb pass complete short middle to Kevin Curtis for 9 yards (tackle by John Thornton),-1.420,-1.900
OT,1:30,,,,13,13,Timeout #1 by Cincinnati Bengals,0.000,-1.900
OT,1:30,4,1,PHI 22,13,13,Saverio Rocca punts 37 yards,-1.900,-1.660
OT,1:19,1,10,CIN 41,13,13,"Ryan Fitzpatrick pass complete short left to T.J. Houshmandzadeh for 10 yards (tackle by Trent Cole). Penalty on Sheldon Brown: Roughing the Passer, 15 yards",1.660,3.310
OT,1:14,1,10,PHI 34,13,13,Chris Perry right end for 5 yards (tackle by Stewart Bradley),3.310,3.450
OT,0:52,,,,13,13,Timeout #2 by Cincinnati Bengals,0.000,3.450
OT,0:52,2,5,PHI 29,13,13,Ryan Fitzpatrick pass incomplete short left intended for T.J. Houshmandzadeh,3.450,2.740
OT,0:48,3,5,PHI 29,13,13,Cedric Benson left tackle for no gain (tackle by Trent Cole and Chris Gocong),2.740,1.540
OT,0:13,4,5,PHI 29,13,13,Shayne Graham 47 yard field goal no good,1.540,-1.400
OT,0:07,1,10,PHI 37,13,13,Donovan McNabb pass incomplete deep left intended for Hank Baskett (defended by Marvin White),1.400,0.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
