Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
2,2:29,,,NWE 45,17,3,"Adam Vinatieri kicks off 64 yards, touchback",0.000,0.280
2,2:24,1,10,DET 20,17,3,Joey Harrington pass complete to Germane Crowell for 5 yards (tackle by Roman Phifer),0.280,0.410
2,2:07,2,5,DET 25,17,3,Joey Harrington pass complete to Scotty Anderson for 13 yards (tackle by Otis Smith),0.410,1.470
2,2:00,1,10,DET 38,17,3,Joey Harrington pass incomplete intended for Germane Crowell,1.470,0.920
2,1:55,2,10,DET 38,17,3,Joey Harrington pass complete to James Stewart for 4 yards (tackle by Mike Vrabel),0.920,0.760
2,1:50,2,10,DET 38,,,Timeout #1 by Detroit Lions,0.920,0.760
2,1:50,3,6,DET 42,17,3,Joey Harrington pass complete to Germane Crowell for 14 yards (tackle by Victor Green and Ty Law),0.760,2.650
2,1:25,1,10,NWE 44,17,3,James Stewart middle for no gain (tackle by Ty Law and Victor Green),2.650,2.110
2,1:04,2,10,NWE 44,17,3,Joey Harrington pass complete to Scotty Anderson for 27 yards (tackle by Otis Smith),2.110,4.440
2,0:58,1,10,NWE 17,17,3,Joey Harrington pass incomplete,4.440,3.850
2,0:52,2,10,NWE 17,17,3,"Joey Harrington pass incomplete intended for James Stewart (defended by Victor Green). Penalty on Dominic Raiola: Offensive Holding, 10 yards (no play)",3.850,2.540
2,0:47,2,10,NWE 17,,,Timeout #1 by New England Patriots,3.850,2.540
2,0:47,2,20,NWE 27,17,3,Joey Harrington pass incomplete intended for James Stewart,2.540,1.880
2,0:41,2,20,NWE 27,,,Timeout #2 by New England Patriots,2.540,1.880
2,0:41,3,20,NWE 27,17,3,Joey Harrington pass incomplete intended for Germane Crowell,1.880,1.670
2,0:41,4,20,NWE 27,17,6,Jason Hanson 45 yard field goal good,1.670,3.000
2,0:41,,,DET 30,17,6,"Jason Hanson kicks off 72 yards, returned by Deion Branch for 22 yards",0.000,0.280
2,0:23,1,10,NWE 20,17,6,Tom Brady kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 30,17,6,"Adam Vinatieri kicks off 70 yards, returned by Eddie Drummond for 23 yards (tackle by Matt Chatham)",0.000,0.480
3,14:54,1,10,DET 23,17,6,James Stewart right tackle for 1 yard (tackle by Lawyer Milloy),0.480,0.070
3,14:16,2,9,DET 24,17,6,Joey Harrington pass incomplete intended for Bill Schroeder,0.070,-0.630
3,14:11,3,9,DET 24,17,6,Joey Harrington pass complete to Germane Crowell for 5 yards (tackle by Mike Vrabel),-0.630,-1.440
3,13:44,4,4,DET 29,17,6,"John Jett punts 38 yards, returned by Troy Brown for 2 yards (tackle by Jeff Gooch)",-1.440,-1.270
3,13:33,1,10,NWE 35,17,6,Tom Brady pass complete to Christian Fauria for 4 yards (tackle by Chris Claiborne),1.270,1.260
3,13:04,2,6,NWE 39,17,6,Antowain Smith right end for 2 yards (tackle by Chris Claiborne). Penalty on Christian Fauria: Illegal Motion (Declined),1.260,0.830
3,12:39,3,4,NWE 41,17,6,Tom Brady pass complete to David Patten for 8 yards (tackle by Chris Cash),0.830,2.190
,,,,,,,"DET challenged the ruling, and the play was upheld.",,
3,11:55,1,10,NWE 49,17,6,Tom Brady middle for 6 yards (tackle by Donte Curry),2.190,2.460
3,11:25,2,4,DET 45,17,6,Antowain Smith left end for 7 yards (tackle by Donte Curry),2.460,3.050
3,10:56,1,10,DET 38,17,6,Antowain Smith right end for no gain (tackle by Jeff Gooch),3.050,2.510
3,10:22,2,10,DET 38,17,6,Tom Brady pass incomplete intended for Marc Edwards,2.510,1.820
3,10:16,3,10,DET 38,17,6,Tom Brady pass incomplete intended for Kevin Faulk,1.820,0.720
3,10:12,4,10,DET 38,17,6,"Ken Walter punts 22 yards, fair catch by Eddie Drummond",0.720,0.140
3,10:03,1,10,DET 16,17,6,Joey Harrington pass incomplete intended for Bill Schroeder (defended by Roman Phifer),-0.140,-0.660
3,9:59,2,10,DET 16,17,6,James Stewart right tackle for 3 yards (tackle by Ted Johnson and Roman Phifer),-0.660,-0.950
3,9:19,3,7,DET 19,17,6,Joey Harrington pass complete to Larry Foster for 16 yards (tackle by Lawyer Milloy),-0.950,1.270
3,8:33,1,10,DET 35,17,6,"James Stewart left end for no gain (tackle by Otis Smith). Penalty on Lawyer Milloy: Defensive Offside, 5 yards (no play)",1.270,2.000
3,8:07,1,5,DET 40,17,6,Joey Harrington pass complete to Bill Schroeder for 4 yards (tackle by Ted Johnson),2.000,1.940
3,7:27,2,1,DET 44,17,6,Joey Harrington pass incomplete intended for Mikhael Ricks,1.940,1.220
,,,,,,,"NWE challenged the ruling, and the original play was overturned.",,
3,7:11,3,1,DET 44,17,6,Joey Harrington pass complete to Mikhael Ricks for 9 yards (tackle by Lawyer Milloy),1.220,2.460
3,6:31,1,10,NWE 47,17,6,Mike McMahon middle for 2 yards (tackle by Victor Green),2.460,2.180
3,5:53,2,8,NWE 45,17,6,Joey Harrington pass incomplete intended for Bill Schroeder,2.180,1.490
3,5:46,3,8,NWE 45,17,6,Joey Harrington pass complete to Larry Foster for 22 yards (tackle by Victor Green),1.490,4.040
3,5:05,1,10,NWE 23,17,6,Joey Harrington pass complete to James Stewart for 3 yards (tackle by Victor Green),4.040,3.900
3,4:25,2,7,NWE 20,17,6,Joey Harrington pass incomplete intended for Stephen Trejo,3.900,3.200
3,4:20,3,7,NWE 20,17,6,Joey Harrington pass incomplete intended for Scotty Anderson (defended by Mike Vrabel),3.200,2.120
3,4:16,4,7,NWE 20,17,9,Jason Hanson 39 yard field goal good,2.120,3.000
3,4:16,,,DET 30,17,9,"Jason Hanson kicks off 66 yards, returned by Deion Branch for 20 yards (tackle by Larry Foster)",0.000,0.540
3,4:06,1,10,NWE 24,17,9,Tom Brady pass complete to Troy Brown for 14 yards (tackle by Chris Cash),0.540,1.470
3,3:44,1,10,NWE 38,17,9,Tom Brady pass incomplete intended for Troy Brown (defended by Robert Porcher),1.470,0.920
3,3:38,2,10,NWE 38,17,9,Tom Brady pass complete to Antowain Smith for 9 yards (tackle by Donte Curry),0.920,1.420
3,3:00,3,1,NWE 47,17,9,"Antowain Smith right tackle for 5 yards (tackle by Corey Harris and Chris Claiborne). Penalty on Kenyatta Jones: Offensive Holding, 9 yards (no play)",1.420,0.230
3,2:35,3,10,NWE 38,17,9,Tom Brady pass complete to Troy Brown for 24 yards (tackle by Jeff Gooch and Andre' Goodman),0.230,3.050
3,2:02,1,10,DET 38,17,9,Antowain Smith left tackle for 10 yards (tackle by Corey Harris). Penalty on Travis Kirschke: Defensive Offside (Declined),3.050,3.710
3,1:37,1,10,DET 28,17,9,Marc Edwards middle for 4 yards (tackle by Kelvin Pritchett),3.710,3.710
3,1:04,2,6,DET 24,17,9,Antowain Smith right end for 5 yards (tackle by Jeff Gooch),3.710,3.720
3,0:26,3,1,DET 19,17,9,Antowain Smith left tackle for 6 yards (tackle by Chris Claiborne),3.720,4.710
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 13,17,9,Kevin Faulk left end for 7 yards (tackle by Kalimba Edwards),4.710,5.340
4,14:28,2,3,DET 6,17,9,Kevin Faulk left end for -1 yards (tackle by Eric Davis),5.340,4.330
4,13:49,3,4,DET 7,17,9,"Penalty on Damien Woody: False Start, 5 yards (no play)",4.330,3.280
4,13:26,3,9,DET 12,17,9,Tom Brady pass incomplete intended for Donald Hayes (defended by Todd Lyght),3.280,2.630
4,13:18,4,9,DET 12,20,9,Adam Vinatieri 29 yard field goal good,2.630,3.000
4,13:18,,,NWE 30,20,9,"Adam Vinatieri kicks off 65 yards, out of bounds",0.000,1.600
4,13:17,1,10,DET 40,20,9,Joey Harrington pass complete to Stephen Trejo for 8 yards (tackle by Mike Vrabel),1.600,2.130
4,12:57,2,2,DET 48,20,9,James Stewart middle for 3 yards (tackle by Ted Johnson),2.130,2.320
4,12:21,1,10,NWE 49,20,9,James Stewart left end for 4 yards (tackle by Otis Smith),2.320,2.320
4,11:50,2,6,NWE 45,20,9,"Joey Harrington pass complete to Eddie Drummond for 3 yards (tackle by Larry Izzo). Penalty on Stockar McDougle: Offensive Holding, 10 yards (no play)",2.320,0.970
4,11:26,2,16,DET 45,20,9,Joey Harrington pass incomplete intended for Stephen Trejo (defended by Otis Smith),0.970,0.300
4,11:22,3,16,DET 45,20,9,Joey Harrington pass complete to Bill Schroeder for 23 yards (tackle by Victor Green and Otis Smith),0.300,3.450
4,10:43,1,10,NWE 32,20,9,Joey Harrington pass complete to Stephen Trejo for 5 yards (tackle by Larry Izzo),3.450,3.580
4,10:00,2,5,NWE 27,20,9,Joey Harrington pass incomplete intended for Germane Crowell,3.580,2.870
4,9:56,3,5,NWE 27,20,9,Joey Harrington pass incomplete intended for Mikhael Ricks,2.870,1.720
4,9:50,4,5,NWE 27,20,12,Jason Hanson 46 yard field goal good,1.720,3.000
4,9:50,,,DET 30,20,12,"Jason Hanson kicks off 63 yards, returned by Deion Branch for 12 yards (tackle by Rafael Cooper)",0.000,0.150
4,9:39,1,10,NWE 19,20,12,Tom Brady pass complete to Troy Brown for 8 yards (tackle by Donte Curry),0.150,0.750
4,9:04,2,2,NWE 27,20,12,Marc Edwards middle for 3 yards (tackle by Shaun Rogers and Luther Elliss),0.750,0.940
4,8:27,1,10,NWE 30,20,12,"Tom Brady sacked by Robert Porcher for -5 yards. Penalty on Chris Claiborne: Defensive Holding, 5 yards (no play)",0.940,1.270
4,8:08,1,10,NWE 35,20,12,Kevin Faulk middle for 3 yards (tackle by Robert Porcher),1.270,1.130
4,7:31,2,7,NWE 38,20,12,Tom Brady pass incomplete intended for David Patten (defended by Corey Harris),1.130,0.430
4,7:24,3,7,NWE 38,20,12,"Penalty on NWE: Delay of Game, 5 yards (no play)",0.430,-0.230
4,7:24,3,12,NWE 33,20,12,Tom Brady pass complete to Daniel Graham for 16 yards (tackle by Kalimba Edwards),-0.230,2.190
4,6:40,1,10,NWE 49,20,12,"Antowain Smith left end for 2 yards (tackle by Clint Kriewaldt and Luther Elliss). Penalty on Kelvin Pritchett: Defensive Offside, 5 yards (no play)",2.190,2.920
4,6:22,1,5,DET 46,20,12,Antowain Smith left end for 2 yards (tackle by Kelvin Pritchett),2.920,2.590
4,5:38,1,5,DET 46,,,Timeout #1 by New England Patriots,2.920,2.590
4,5:38,2,3,DET 44,20,12,Antowain Smith middle for 5 yards (tackle by Kelvin Pritchett),2.590,2.980
4,5:00,1,10,DET 39,20,12,"Antowain Smith left tackle for -1 yards (tackle by Clint Kriewaldt). Penalty on Robert Porcher: Defensive Offside, 5 yards (no play)",2.980,3.710
4,4:42,1,5,DET 34,20,12,Tom Brady pass incomplete intended for Daniel Graham,3.710,3.120
4,4:37,2,5,DET 34,20,12,Antowain Smith left end for -2 yards (tackle by Luther Elliss),3.120,2.150
4,3:55,3,7,DET 36,20,12,"Tom Brady pass complete to Troy Brown for 11 yards (tackle by Chris Cash). Penalty on Mike Compton: False Start, 5 yards (no play)",2.150,1.490
4,3:51,3,12,DET 41,20,12,Tom Brady pass complete to Troy Brown for 17 yards,1.490,3.970
4,3:44,1,10,DET 24,20,12,Antowain Smith right end for 1 yard,3.970,3.570
4,3:38,1,10,DET 24,,,Timeout #2 by Detroit Lions,3.970,3.570
4,3:38,2,9,DET 23,20,12,Antowain Smith left tackle for 2 yards,3.570,3.140
4,3:30,2,9,DET 23,,,Timeout #3 by Detroit Lions,3.570,3.140
4,3:30,3,7,DET 21,20,12,Tom Brady middle for 8 yards,3.140,4.710
4,2:43,1,10,DET 13,20,12,Antowain Smith middle for 3 yards (tackle by Robert Porcher),4.710,4.580
4,2:00,2,7,DET 10,20,12,Antowain Smith middle for 5 yards (tackle by Shaun Rogers),4.580,4.780
4,1:18,3,2,DET 5,20,12,Antowain Smith right tackle for 4 yards (tackle by Corey Harris),4.780,6.970
4,0:31,1,1,DET 1,20,12,Tom Brady kneels for -1 yards,6.970,5.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
