Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
1,1:13,,,OAK 30,10,7,"Sebastian Janikowski kicks off 61 yards, returned by Antwaan Randle El for 31 yards (tackle by Derek Combs). Penalty on Terrance Shaw: Offensive Offside (Declined)",0.000,1.600
1,0:56,1,10,PIT 40,10,7,Jerome Bettis left end for 8 yards (tackle by Napoleon Harris and Tory James),1.600,2.130
1,0:16,2,2,PIT 48,10,7,Kordell Stewart pass incomplete intended for Plaxico Burress (defended by Charles Woodson),2.130,1.420
1,0:09,3,2,PIT 48,10,7,Kordell Stewart pass incomplete intended for Jerame Tuman,1.420,-0.190
1,0:03,4,2,PIT 48,10,7,"Josh Miller punts 42 yards, fair catch by Phillip Buchanon. Penalty on Chidi Iwuoma: Interference with Opportunity to Catch, 15 yards",-0.190,-0.610
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 25,10,7,Rich Gannon pass complete to Jerry Rice for 4 yards (tackle by James Farrior),0.610,0.600
2,14:28,2,6,OAK 29,10,7,Rich Gannon pass complete to Jerry Porter for 12 yards (tackle by Chad Scott),0.600,1.660
2,14:01,1,10,OAK 41,10,7,Rich Gannon pass complete to Terry Kirby for 7 yards (tackle by Jason Gildon and Larry Foote),1.660,2.070
2,13:21,2,3,OAK 48,10,7,Rich Gannon pass incomplete intended for Roland Williams,2.070,1.360
2,13:16,3,3,OAK 48,10,7,Rich Gannon pass complete to Tim Brown for 14 yards (tackle by Lee Flowers and Jason Gildon),1.360,3.050
2,12:36,1,10,PIT 38,10,7,Rich Gannon pass complete to Charlie Garner for 16 yards (tackle by Lee Flowers),3.050,4.110
2,12:10,1,10,PIT 22,10,7,Rich Gannon pass incomplete intended for Jerry Rice,4.110,3.560
2,12:00,2,10,PIT 22,10,7,Rich Gannon pass incomplete intended for Terry Kirby is intercepted by Joey Porter at PIT-3 and returned for 30 yards,3.560,-1.140
2,11:54,1,10,PIT 33,10,7,Antwaan Randle El middle for 10 yards (tackle by Rod Woodson),1.140,1.800
2,11:15,1,10,PIT 43,10,7,Amos Zereoue left end for 5 yards (tackle by John Parrella and Bill Romanowski),1.800,1.930
2,10:31,2,5,PIT 48,10,7,Hines Ward left end for -1 yards (tackle by Tory James and Bill Romanowski),1.930,1.090
2,10:05,3,6,PIT 47,10,7,Kordell Stewart pass incomplete intended for Hines Ward,1.090,-0.260
2,9:59,4,6,PIT 47,10,7,"Josh Miller punts 53 yards, touchback",-0.260,-0.280
2,9:50,1,10,OAK 20,10,7,Rich Gannon pass complete to Jerry Porter for 5 yards (tackle by Joey Porter and Jason Gildon),0.280,0.410
2,9:15,2,5,OAK 25,10,7,Rich Gannon pass incomplete intended for Tim Brown (defended by Chad Scott),0.410,-0.300
2,9:11,3,5,OAK 25,10,7,Rich Gannon pass incomplete intended for Tim Brown,-0.300,-1.700
2,9:11,4,5,OAK 25,10,7,"Kevin Stemke punts 42 yards, fair catch by Antwaan Randle El. Penalty on Travian Smith: Offensive Holding, 10 yards (no play)",-1.700,-2.440
2,8:57,4,15,OAK 15,10,7,"Kevin Stemke punts 36 yards, returned by Antwaan Randle El for 14 yards (tackle by Travian Smith)",-2.440,-3.120
2,8:45,1,10,OAK 37,10,7,Kordell Stewart pass complete to Mark Bruener for 10 yards (tackle by Bill Romanowski and Rod Woodson),3.120,3.780
2,8:16,1,10,OAK 27,10,7,Amos Zereoue right tackle for 4 yards (tackle by Napoleon Harris),3.780,3.770
2,7:38,2,6,OAK 23,10,7,Kordell Stewart pass incomplete intended for Amos Zereoue,3.770,3.070
2,7:34,3,6,OAK 23,10,7,"Kordell Stewart pass incomplete intended for Plaxico Burress (defended by Charles Woodson). Penalty on Charles Woodson: Defensive Pass Interference, 20 yards (no play)",3.070,6.510
2,7:29,1,3,OAK 3,10,7,"Kordell Stewart for no gain. Kordell Stewart fumbles, recovered by Rod Woodson at OAK-2 and returned for 8 yards (tackle by Amos Zereoue)",6.510,0.380
2,7:22,1,10,OAK 10,10,7,Rich Gannon sacked by Joey Porter for -5 yards,-0.380,-1.150
2,6:52,2,15,OAK 5,10,7,Rich Gannon pass complete to Charlie Garner for no gain,-1.150,-2.010
2,6:11,3,15,OAK 5,10,7,Rich Gannon pass complete to Terry Kirby for 24 yards (tackle by Deshea Townsend),-2.010,0.870
2,5:34,1,10,OAK 29,10,7,Rich Gannon pass incomplete intended for Jerry Porter (defended by Deshea Townsend),0.870,0.330
2,5:29,2,10,OAK 29,10,7,Rich Gannon pass incomplete intended for Tim Brown (defended by Mike Logan),0.330,-0.360
2,5:24,3,10,OAK 29,10,7,Rich Gannon pass complete to Jerry Rice for 18 yards (tackle by Mike Logan),-0.360,2.060
2,4:38,1,10,OAK 47,10,7,Rich Gannon pass complete to Roland Williams for 7 yards (tackle by Mike Logan),2.060,2.460
2,4:08,2,3,PIT 46,10,7,Rich Gannon pass incomplete intended for Jerry Rice,2.460,1.750
2,4:03,3,3,PIT 46,10,7,Rich Gannon pass complete to Jerry Rice for 14 yards (tackle by Deshea Townsend),1.750,3.450
2,3:27,1,10,PIT 32,10,7,Charlie Garner left guard for 8 yards (tackle by Lee Flowers and Brent Alexander),3.450,3.980
2,2:54,2,2,PIT 24,10,7,Charlie Garner middle for no gain (tackle by Aaron Smith),3.980,3.270
2,2:14,3,2,PIT 24,10,7,Zack Crockett middle for 3 yards (tackle by Larry Foote),3.270,4.170
2,2:00,1,10,PIT 21,10,7,Rich Gannon pass incomplete intended for Jerry Rice (defended by Dewayne Washington),4.170,3.630
2,1:55,2,10,PIT 21,10,7,Terry Kirby pass incomplete intended for Jon Ritchie (defended by Chad Scott),3.630,2.940
2,1:47,3,10,PIT 21,16,7,"Rich Gannon pass complete to Jerry Porter for 21 yards, touchdown",2.940,7.000
2,1:47,,,PIT 21,17,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,1:47,,,OAK 30,17,7,"Sebastian Janikowski kicks off 71 yards, returned by Lee Mays for 28 yards (tackle by Mondriel Fulcher). Penalty on Larry Foote: Offensive Holding, 10 yards",0.000,-0.060
2,1:44,1,10,PIT 17,17,7,Kordell Stewart middle for -1 yards (tackle by Trace Armstrong),-0.060,-0.730
2,1:14,2,11,PIT 16,17,7,Kordell Stewart pass incomplete intended for Hines Ward,-0.730,-1.410
2,1:08,3,11,PIT 16,17,7,Kordell Stewart pass complete to Amos Zereoue for 6 yards (tackle by Napoleon Harris),-1.410,-1.900
2,0:58,3,11,PIT 16,,,Timeout #3 by Oakland Raiders,-1.410,-1.900
2,0:50,4,5,PIT 22,17,7,"Josh Miller punts 49 yards, returned by Phillip Buchanon for 11 yards (tackle by John Allred)",-1.900,-1.600
2,0:47,1,10,OAK 40,17,7,Rich Gannon sacked by Clark Haggans for -10 yards,1.600,-0.300
2,0:38,1,10,OAK 40,,,Timeout #1 by Pittsburgh Steelers,1.600,-0.300
2,0:37,2,20,OAK 30,17,7,Rich Gannon pass complete to Terry Kirby for 8 yards (tackle by Mike Logan),-0.300,0.100
2,0:29,2,20,OAK 30,,,Timeout #2 by Pittsburgh Steelers,-0.300,0.100
2,0:29,3,12,OAK 38,17,7,"Rich Gannon pass complete to Jon Ritchie for 5 yards (tackle by Mike Logan). Jon Ritchie fumbles (forced by Mike Logan), ball out of bounds at OAK-43. (forced by Mike Logan), ball out of bounds at OAK-43",0.100,-0.520
2,0:22,3,12,OAK 38,,,Timeout #3 by Pittsburgh Steelers,0.100,-0.520
2,0:22,4,7,OAK 43,17,7,"Kevin Stemke punts, blocked by Chris Fuamatu-Ma'afala, recovered by Terry Kirby",-0.520,-3.310
2,0:16,1,10,OAK 34,17,7,Kordell Stewart pass complete to Amos Zereoue for 6 yards (tackle by Roderick Coleman),3.310,3.580
2,0:08,2,4,OAK 28,17,7,Kordell Stewart pass incomplete,3.580,2.870
2,0:01,3,4,OAK 28,17,10,Todd Peterson 46 yard field goal good,2.870,3.000
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,17,10,"Sebastian Janikowski kicks off 70 yards, returned by Lee Mays for 25 yards (tackle by Eric Barton)",0.000,0.610
3,15:00,1,10,PIT 25,17,10,Jerome Bettis right end for 5 yards (tackle by Derrick Gibson),0.610,0.740
3,14:18,2,5,PIT 30,17,10,Kordell Stewart pass complete to Hines Ward for 9 yards (tackle by Derrick Gibson),0.740,1.530
3,13:36,1,10,PIT 39,17,10,"Kordell Stewart right end for 3 yards (tackle by Bill Romanowski). Penalty on Mark Bruener: Offensive Holding, 10 yards (no play)",1.530,0.870
3,13:17,1,20,PIT 29,17,10,Kordell Stewart pass incomplete intended for Hines Ward (defended by Tory James),0.870,-0.360
3,13:13,2,20,PIT 29,17,10,Kordell Stewart pass incomplete intended for Plaxico Burress,-0.360,-1.020
3,13:07,3,20,PIT 29,17,10,Kordell Stewart pass incomplete intended for Antwaan Randle El,-1.020,-1.440
3,13:00,4,20,PIT 29,17,10,"Josh Miller punts 37 yards, returned by Phillip Buchanon for -2 yards (tackle by Mike Logan)",-1.440,-1.070
3,12:50,1,10,OAK 32,17,10,Rich Gannon pass complete to Jerry Porter for 8 yards (tackle by Larry Foote),1.070,1.610
3,12:17,2,2,OAK 40,17,10,Rich Gannon pass complete to Tim Brown for 6 yards (tackle by Chad Scott and Lee Flowers),1.610,1.990
3,11:38,1,10,OAK 46,17,10,Rich Gannon pass complete to Doug Jolley for 15 yards (tackle by Chad Scott),1.990,2.980
3,10:50,1,10,PIT 39,17,10,Rich Gannon pass complete to Roland Williams for 4 yards (tackle by Chad Scott),2.980,2.980
3,10:20,2,6,PIT 35,17,10,Charlie Garner left guard for 8 yards (tackle by Joey Porter and Chad Scott),2.980,3.780
3,9:44,1,10,PIT 27,17,10,Rich Gannon pass incomplete intended for Jerry Rice,3.780,3.230
3,9:41,2,10,PIT 27,17,10,Rich Gannon pass incomplete intended for Marcus Knight,3.230,2.540
3,9:36,3,10,PIT 27,17,10,Rich Gannon pass incomplete intended for Tim Brown,2.540,1.670
3,9:36,4,10,PIT 27,20,10,Sebastian Janikowski 45 yard field goal good,1.670,3.000
3,9:36,,,OAK 30,20,10,"Sebastian Janikowski kicks off 73 yards, returned by Antwaan Randle El for 23 yards (tackle by Eric Johnson)",0.000,0.280
3,9:26,1,10,PIT 20,20,10,Jerome Bettis right guard for 1 yard (tackle by Sam Adams),0.280,-0.130
3,8:42,2,9,PIT 21,20,10,Jerome Bettis left end for 2 yards (tackle by Tony Bryant),-0.130,-0.560
3,8:04,3,7,PIT 23,20,10,Kordell Stewart pass incomplete intended for Plaxico Burress,-0.560,-1.830
3,7:57,4,7,PIT 23,20,10,Josh Miller punts 48 yards,-1.830,-0.870
3,7:45,1,10,OAK 29,20,10,Rich Gannon pass complete to Tim Brown for 11 yards (tackle by Brent Alexander),0.870,1.600
3,7:19,1,10,OAK 40,20,10,Rich Gannon pass complete to Tim Brown for 7 yards (tackle by Chad Scott and Aaron Smith),1.600,2.000
3,6:37,2,3,OAK 47,20,10,Rich Gannon sacked by Joey Porter for -5 yards,2.000,0.630
3,6:09,3,8,OAK 42,20,10,Rich Gannon pass complete to Charlie Garner for 34 yards (tackle by Chad Scott),0.630,3.970
3,5:36,1,10,PIT 24,20,10,Terry Kirby left guard for 1 yard (tackle by Joey Porter and James Farrior),3.970,3.570
3,4:54,2,9,PIT 23,20,10,Rich Gannon pass incomplete intended for Terry Kirby,3.570,2.870
3,4:50,3,9,PIT 23,20,10,Rich Gannon pass complete to Jerry Rice for 9 yards (tackle by Lee Flowers),2.870,4.650
3,4:02,1,10,PIT 14,20,10,"Penalty on Rich Gannon: Delay of Game, 5 yards (no play)",4.650,4.260
3,3:40,1,15,PIT 19,20,10,Rich Gannon pass complete to Marcus Knight for 12 yards (tackle by Mike Logan and Deshea Townsend),4.260,5.280
3,3:04,2,3,PIT 7,20,10,Terry Kirby middle for 3 yards (tackle by Joey Porter and Lee Flowers),5.280,6.280
3,2:21,1,4,PIT 4,20,10,Rich Gannon pass incomplete intended for Jerry Rice (defended by Chad Scott),6.280,5.340
3,2:17,1,4,PIT 4,,,Timeout #1 by Pittsburgh Steelers,6.280,5.340
3,2:17,2,4,PIT 4,20,10,"Rich Gannon pass incomplete intended for Jerry Rice is intercepted by Joey Porter at PIT-1 and returned for 84 yards. Penalty on Joey Porter: Illegal Forward Pass, 5 yards.",5.340,-4.240
,,,,,,,"OAK challenged the ruling, and the original play was overturned.",,
3,2:03,1,10,OAK 20,20,10,Jerome Bettis left tackle for 5 yards (tackle by Derrick Gibson and John Parrella),4.240,4.450
3,1:25,2,5,OAK 15,20,10,Jerome Bettis middle for 6 yards (tackle by Derrick Gibson and Napoleon Harris),4.450,5.140
3,1:25,1,9,OAK 9,20,10,Jerome Bettis middle for 4 yards (tackle by Eric Barton),5.140,5.150
3,0:06,2,5,OAK 5,20,10,Kordell Stewart pass incomplete intended for Dan Kreider (defended by Derrick Gibson),5.150,4.260
3,0:01,3,5,OAK 5,20,16,"Kordell Stewart pass complete to Hines Ward for 5 yards, touchdown",4.260,7.000
3,0:01,,,OAK 5,20,17,Todd Peterson kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,PIT 30,26,17,"Todd Peterson kicks off 66 yards, returned by Terry Kirby for 96 yards, touchdown",0.000,7.000
4,15:00,,,PIT 5,27,17,Sebastian Janikowski kicks extra point good,0.000,0.000
4,15:00,,,OAK 30,27,17,"Sebastian Janikowski kicks off 72 yards, returned by Lee Mays for 35 yards (tackle by Derrick Gibson)",0.000,1.140
4,14:38,1,10,PIT 33,27,17,"Kordell Stewart pass complete to Hines Ward for 21 yards (tackle by Charles Woodson). Hines Ward fumbles (forced by Charles Woodson), recovered by Rod Woodson at OAK-40 and returned for 15 yards (tackle by Jeff Hartings)",1.140,-2.590
4,14:26,1,10,PIT 45,27,17,Rich Gannon pass complete to Roland Williams for 6 yards (tackle by Jason Gildon),2.590,2.850
4,13:52,2,4,PIT 39,27,17,Rich Gannon sacked by Joey Porter for -6 yards,2.850,1.360
4,13:24,3,10,PIT 45,27,17,Rich Gannon pass incomplete intended for Tim Brown,1.360,0.270
4,13:18,4,10,PIT 45,27,17,"Kevin Stemke punts 35 yards, fair catch by Antwaan Randle El",0.270,0.380
4,13:10,1,10,PIT 10,27,17,Jerome Bettis right guard for 5 yards (tackle by Napoleon Harris and Eric Barton),-0.380,-0.350
4,12:31,2,5,PIT 15,27,17,"Kordell Stewart pass complete to Plaxico Burress for 27 yards (tackle by Derrick Gibson). Penalty on Wayne Gandy: Offensive Holding, 7 yards (no play)",-0.350,-0.930
4,11:58,2,12,PIT 8,27,17,Kordell Stewart pass incomplete intended for Plaxico Burress,-0.930,-1.650
4,11:54,3,12,PIT 8,27,17,Kordell Stewart pass incomplete intended for Terance Mathis,-1.650,-2.490
4,11:48,4,12,PIT 8,27,17,"Josh Miller punts 47 yards, returned by Phillip Buchanon for 8 yards (tackle by Chris Hope)",-2.490,-2.460
4,11:37,1,10,PIT 47,27,17,Rich Gannon pass incomplete intended for Tim Brown,2.460,1.910
4,11:32,2,10,PIT 47,27,17,Charlie Garner middle for 2 yards (tackle by Joey Porter),1.910,1.490
4,10:53,3,8,PIT 45,27,17,Rich Gannon pass complete to Tim Brown for 11 yards (tackle by Mike Logan),1.490,3.310
4,10:09,1,10,PIT 34,27,17,Terry Kirby left tackle for 2 yards (tackle by Casey Hampton),3.310,3.040
4,9:34,2,8,PIT 32,27,17,Terry Kirby right end for 1 yard (tackle by James Farrior),3.040,2.480
4,8:53,3,7,PIT 31,27,17,Rich Gannon pass complete to Terry Kirby for 2 yards (tackle by Mike Logan and Aaron Smith),2.480,1.540
4,8:17,4,5,PIT 29,27,17,Sebastian Janikowski 46 yard field goal no good,1.540,-1.400
4,8:13,1,10,PIT 37,27,17,Kordell Stewart pass incomplete intended for Plaxico Burress,1.400,0.860
4,8:08,2,10,PIT 37,27,17,Kordell Stewart pass incomplete intended for Antwaan Randle El (defended by Terrance Shaw),0.860,0.170
4,8:03,3,10,PIT 37,27,17,Kordell Stewart pass complete to Terance Mathis for 14 yards,0.170,2.320
4,7:45,1,10,OAK 49,27,17,"Amos Zereoue right tackle for 3 yards (tackle by John Parrella). Amos Zereoue fumbles (forced by John Parrella), recovered by Terrance Shaw at OAK-41 (tackle by Kendall Simmons)",2.320,-1.660
4,7:38,1,10,OAK 41,27,17,Rich Gannon pass complete to Roland Williams for 14 yards (tackle by Dewayne Washington),1.660,2.590
4,7:11,1,10,PIT 45,27,17,Rich Gannon pass complete to Tim Brown for 7 yards (tackle by Larry Foote),2.590,2.990
4,6:33,2,3,PIT 38,27,17,Rich Gannon pass incomplete intended for Jerry Rice (defended by Dewayne Washington),2.990,2.280
4,6:26,3,3,PIT 38,27,17,"Penalty on Rich Gannon: Delay of Game, 5 yards (no play)",2.280,1.620
4,6:25,3,8,PIT 43,27,17,"Terry Kirby left guard for 11 yards (tackle by Lee Flowers). Penalty on Jon Ritchie: Offensive Holding, 10 yards (no play)",1.620,0.300
4,6:04,3,18,OAK 47,27,17,Rich Gannon sacked by Clark Haggans for -8 yards,0.300,-0.780
4,5:43,4,26,OAK 39,27,17,"Kevin Stemke punts 40 yards, returned by Antwaan Randle El for 3 yards (tackle by Zack Crockett)",-0.780,-0.540
4,5:31,1,10,PIT 24,27,17,Kordell Stewart pass complete to Hines Ward for 14 yards (tackle by Derrick Gibson),0.540,1.470
4,5:09,1,10,PIT 38,27,17,Kordell Stewart left end for 11 yards (tackle by Rod Woodson),1.470,2.190
4,4:41,1,10,PIT 49,27,17,Kordell Stewart pass complete to Antwaan Randle El for 6 yards (tackle by Charles Woodson),2.190,2.460
4,4:35,2,4,OAK 45,27,17,Kordell Stewart pass complete to Terance Mathis for 15 yards (tackle by Rod Woodson),2.460,3.580
4,4:12,1,10,OAK 30,27,17,"Kordell Stewart pass complete to Plaxico Burress for 10 yards. Plaxico Burress fumbles, recovered by Rod Woodson at OAK-20 and returned for 41 yards (tackle by Amos Zereoue)",3.580,-2.980
4,3:57,1,10,PIT 39,27,17,Terry Kirby right tackle for 13 yards (tackle by Chad Scott and Brent Alexander),2.980,3.840
4,3:13,1,10,PIT 26,27,17,Terry Kirby right tackle for 4 yards (tackle by James Farrior and Chad Scott),3.840,3.840
4,2:34,2,6,PIT 22,27,17,Tyrone Wheatley middle for 12 yards (tackle by Lee Flowers),3.840,4.910
4,2:00,1,10,PIT 10,27,17,Tyrone Wheatley middle for 1 yard (tackle by Deshea Townsend),4.910,4.380
4,1:54,1,10,PIT 10,,,Timeout #2 by Pittsburgh Steelers,4.910,4.380
4,1:54,2,9,PIT 9,27,17,Terry Kirby right end for -1 yards (tackle by Dewayne Washington and Aaron Smith),4.380,3.130
4,1:46,2,9,PIT 9,,,Timeout #3 by Pittsburgh Steelers,4.380,3.130
4,1:46,3,10,PIT 10,27,17,Tyrone Wheatley right guard for no gain (tackle by Joey Porter),3.130,2.760
4,1:05,3,10,PIT 10,,,Timeout #1 by Oakland Raiders,3.130,2.760
4,1:05,4,10,PIT 10,30,17,Sebastian Janikowski 27 yard field goal good,2.760,3.000
4,1:05,,,OAK 30,30,17,"Sebastian Janikowski kicks off 46 yards, returned by Rodney Bailey for 12 yards (tackle by Travian Smith)",0.000,1.330
4,1:01,1,10,PIT 36,30,17,Kordell Stewart pass complete to Terance Mathis for 9 yards (tackle by Derrick Gibson),1.330,2.010
4,0:35,2,1,PIT 45,30,17,Kordell Stewart pass complete to Amos Zereoue for 11 yards (tackle by Roderick Coleman),2.010,2.650
4,0:10,1,10,OAK 44,30,17,"Kordell Stewart pass complete to Antwaan Randle El for 7 yards (tackle by Bill Romanowski). Penalty on Marvel Smith: Offensive Holding, 10 yards (no play)",2.650,1.990
4,0:03,1,20,PIT 46,30,17,Kordell Stewart pass incomplete intended for Plaxico Burress is intercepted by Charles Woodson at OAK-17 and returned for 3 yards,1.990,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
