Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA
4,14:07,2,15,MIN 38,0,0,Joshua Dobbs pass incomplete short left intended for K.J. Osborn (defended by Amik Robertson),0.580,-0.100
4,14:02,3,15,MIN 38,0,0,Joshua Dobbs scrambles up the middle for 2 yards (tackle by Malcolm Koonce),-0.100,-0.720
4,13:23,4,13,MIN 40,0,0,"Ryan Wright punts 49 yards, fair catch by DeAndre Carter at LV-11",-0.720,0.370
4,13:14,1,10,LVR 11,0,0,Aidan O'Connell pass incomplete short left,-0.370,-0.780
4,13:08,2,10,LVR 11,0,0,Aidan O'Connell pass complete short left to Hunter Renfrow for 6 yards (tackle by Harrison Smith),-0.780,-0.720
4,12:25,3,4,LVR 17,0,0,Aidan O'Connell pass incomplete short middle intended for Michael Mayer (defended by Camryn Bynum),-0.720,-2.320
4,12:21,4,4,LVR 17,0,0,"AJ Cole punts 83 yards, touchback.",-2.320,-0.280
4,12:10,1,10,MIN 20,0,0,Kene Nwangwu up the middle for 4 yards (tackle by Divine Deablo),0.280,0.270
4,11:47,2,6,MIN 24,0,0,Joshua Dobbs pass incomplete short right intended for Jordan Addison,0.270,-0.430
4,11:39,3,6,MIN 24,0,0,Joshua Dobbs pass incomplete short right,-0.430,-1.770
4,11:35,4,6,MIN 24,0,0,"Ryan Wright punts 59 yards, returned by DeAndre Carter for 14 yards (tackle by Theo Jackson)",-1.770,-1.000
4,11:23,1,10,LVR 31,0,0,Josh Jacobs left end for 6 yards (tackle by Ivan Pace),1.000,1.270
4,10:47,2,4,LVR 37,0,0,Josh Jacobs left guard for 1 yard (tackle by Harrison Phillips),1.270,0.700
4,10:07,3,3,LVR 38,0,0,Aidan O'Connell sacked by Harrison Phillips for -3 yards,0.700,-1.040
4,9:23,4,6,LVR 35,0,0,"AJ Cole punts 60 yards, returned by Brandon Powell for 25 yards (tackle by Jakob Johnson)",-1.040,-0.940
4,9:10,1,10,MIN 30,0,0,Nick Mullens pass complete deep middle to T.J. Hockenson for 26 yards (tackle by Marcus Epps),0.940,2.650
4,8:29,1,10,LVR 44,0,0,Ty Chandler up the middle for -2 yards (tackle by Jack Jones and Maxx Crosby),2.650,1.840
4,7:49,2,12,LVR 46,0,0,"Penalty on T.J. Hockenson: False Start, 5 yards (accepted) (no play)",1.840,1.170
4,7:49,2,17,MIN 49,0,0,Nick Mullens pass incomplete short left intended for Jalen Nailor,1.170,0.500
4,7:47,3,17,MIN 49,0,0,Nick Mullens pass complete short middle to Jalen Nailor for 9 yards (tackle by Robert Spillane),0.500,0.460
4,7:02,4,8,LVR 42,0,0,"Ryan Wright punts 29 yards, fair catch by DeAndre Carter at LV-13",0.460,0.320
4,6:55,1,10,LVR 13,0,0,Zamir White up the middle for 6 yards (tackle by Josh Metellus),-0.320,0.030
4,6:17,2,4,LVR 19,0,0,"Dylan Parham aborted snap, recovered by Aidan O'Connell at LV-19 Aidan O'Connell pass incomplete short right intended for Jakobi Meyers",0.030,-0.710
4,6:14,3,4,LVR 19,0,0,Aidan O'Connell pass complete short right to Ameer Abdullah for no gain (tackle by Mekhi Blackmon and Josh Metellus),-0.710,-2.140
4,5:31,4,4,LVR 19,0,0,"AJ Cole punts 51 yards, returned by Brandon Powell for 6 yards (tackle by Zamir White)",-2.140,-0.670
4,5:19,1,10,MIN 26,0,0,Nick Mullens pass complete short left to T.J. Hockenson for 3 yards (tackle by Amik Robertson),0.670,0.540
4,4:43,2,7,MIN 29,0,0,Nick Mullens pass incomplete deep right intended for Jalen Nailor,0.540,-0.160
4,4:35,3,7,MIN 29,0,0,Nick Mullens pass complete short right to K.J. Osborn for 12 yards,-0.160,1.660
4,4:30,1,10,MIN 41,0,0,C.J. Ham left tackle for 7 yards (tackle by Malcolm Koonce and Marcus Epps),1.660,2.070
4,3:59,2,3,MIN 48,0,0,Nick Mullens pass incomplete short left intended for Josh Oliver,2.070,1.360
4,3:53,3,3,MIN 48,0,0,Nick Mullens pass complete short right to T.J. Hockenson for 6 yards (tackle by Jack Jones),1.360,2.520
4,3:21,1,10,LVR 46,0,0,Nick Mullens pass complete short left to Jalen Nailor for 4 yards (tackle by Amik Robertson),2.520,2.520
4,2:41,2,6,LVR 42,0,0,Nick Mullens pass incomplete short right,2.520,1.820
4,2:34,3,6,LVR 42,0,0,Nick Mullens pass complete short right to Jordan Addison for 20 yards (tackle by Tre'von Moehrig),1.820,4.110
4,2:27,1,10,LVR 22,0,0,Nick Mullens pass complete short left to K.J. Osborn for -7 yards (tackle by Marcus Epps and Jerry Tillery),4.110,2.620
4,2:18,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:18,2,17,LVR 29,0,0,Nick Mullens pass complete short middle to T.J. Hockenson for 10 yards (tackle by Robert Spillane),2.620,3.260
4,2:13,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:13,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:13,3,7,LVR 19,0,0,"Penalty on MIN: Delay of Game, 6 yards (accepted) (no play)",3.260,2.480
4,2:13,3,13,LVR 25,0,0,Ty Chandler up the middle for 7 yards (tackle by Maxx Crosby),2.480,2.270
4,2:00,4,6,LVR 18,3,0,Greg Joseph 36 yard field goal good,2.270,3.000
4,1:57,,,MIN 35,3,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,1:57,1,10,LVR 25,3,0,Aidan O'Connell pass short left intended for Davante Adams is intercepted by Ivan Pace at LV-34 and returned for no gain (tackle by Davante Adams),0.610,-3.310
4,1:52,1,10,LVR 34,3,0,Ty Chandler right guard for 2 yards (tackle by Divine Deablo),3.310,3.040
4,1:47,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:47,2,8,LVR 32,3,0,Ty Chandler left end for 1 yard (tackle by Amik Robertson and Divine Deablo),3.040,2.480
4,1:02,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:02,3,7,LVR 31,3,0,Ty Chandler up the middle for 3 yards (tackle by Jerry Tillery and Bilal Nichols),2.480,1.650
4,0:18,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:18,4,4,LVR 28,3,0,"Greg Joseph punts 14 yards, returned by Curtis Bolton for 17 yards (tackle by Christian Darrisaw)",1.650,-1.000
4,0:07,1,10,LVR 31,3,0,"Aidan O'Connell pass complete short left to Davante Adams for 24 yards, lateral to Greg Van Roten for 5 yards. Greg Van Roten fumbles, recovered by Jay Ward at MIN-40",1.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
