Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
2,9:54,1,10,OAK 24,6,7,"Andrew Luck pass complete deep left to Donte Moncrief for 24 yards, touchdown",3.970,7.000
2,9:49,,,OAK 15,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,9:49,,,IND 40,7,7,"Adam Vinatieri kicks off 60 yards, returned by Jalen Richard for 21 yards (tackle by Jordan Todman)",0.000,0.000
2,9:49,,,OAK 15,7,7,"Penalty on Mario Edwards: Encroachment, 5 yards",0.000,-0.340
2,9:44,1,10,OAK 21,7,7,Latavius Murray middle for -1 yards (tackle by Antonio Morrison),0.340,-0.340
2,9:10,2,11,OAK 20,7,7,DeAndre Washington left tackle for 3 yards (tackle by Edwin Jackson),-0.340,-0.630
2,8:37,3,8,OAK 23,7,7,Derek Carr pass complete deep right to Michael Crabtree for 35 yards (tackle by Darius Butler),-0.630,2.790
2,8:18,1,10,IND 42,7,7,Derek Carr pass complete short middle to Jalen Richard for 1 yard (tackle by Mike Adams),2.790,2.380
2,7:35,2,9,IND 41,7,7,Jalen Richard left tackle for 12 yards (tackle by Edwin Jackson),2.380,3.640
2,7:01,1,10,IND 29,7,7,Jalen Richard left tackle for 15 yards (tackle by Darryl Morris),3.640,4.650
2,6:34,1,10,IND 14,7,7,Jalen Richard right tackle for 9 yards (tackle by T.J. Green),4.650,5.670
2,5:55,2,1,IND 5,7,13,"Derek Carr pass complete short right to Clive Walford for 5 yards, touchdown",5.670,7.000
2,5:50,,,IND 15,7,13,Sebastian Janikowski kicks extra point no good,0.000,-1.000
2,5:50,,,OAK 35,7,13,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,5:50,1,10,IND 25,7,13,Frank Gore middle for 2 yards (tackle by Jihad Ward),0.610,0.330
2,5:09,2,8,IND 27,7,13,Andrew Luck pass complete short right to Jack Doyle for 7 yards (tackle by Malcolm Smith),0.330,0.560
2,4:25,3,1,IND 34,7,13,Andrew Luck pass complete short left to Jack Doyle for 7 yards (tackle by Malcolm Smith),0.560,1.660
2,3:39,1,10,IND 41,7,13,Andrew Luck pass incomplete short middle intended for Frank Gore (defended by Perry Riley),1.660,1.120
2,3:34,2,10,IND 41,7,13,Frank Gore middle for 9 yards (tackle by Nate Allen),1.120,1.620
2,2:56,3,1,,7,13,Robert Turbin middle for 3 yards (tackle by Khalil Mack),1.620,2.460
2,2:15,1,10,OAK 47,7,13,Robert Turbin right tackle for 6 yards (tackle by Reggie Nelson),2.460,2.720
2,2:00,2,4,OAK 41,7,13,Andrew Luck pass complete short middle to T.Y. Hilton for 12 yards (tackle by David Amerson),2.720,3.640
2,1:25,1,10,OAK 29,7,13,Andrew Luck pass incomplete short right intended for Dwayne Allen,3.640,3.100
2,1:21,2,10,OAK 29,7,13,Andrew Luck pass incomplete deep right intended for T.Y. Hilton is intercepted by Reggie Nelson at OAK--5,3.100,-0.280
2,1:13,1,10,OAK 20,7,13,Jalen Richard middle for 19 yards (tackle by Erik Walden),0.280,0.000
2,1:03,,,,7,13,Timeout #2 by Indianapolis Colts,0.000,-1.530
2,0:54,1,10,OAK 39,7,13,Derek Carr pass complete short middle to Michael Crabtree for 5 yards (tackle by Edwin Jackson),1.530,0.000
2,0:46,,,,7,13,Timeout #2 by Oakland Raiders,0.000,-1.660
2,0:46,2,5,OAK 44,7,13,Derek Carr pass complete deep left to Amari Cooper for 34 yards,1.660,4.110
2,0:39,1,10,IND 22,7,13,Derek Carr pass complete short right to DeAndre Washington for 18 yards (tackle by Mike Adams),4.110,0.000
2,0:25,,,,7,13,Timeout #3 by Oakland Raiders,0.000,-6.280
2,0:25,1,4,IND 4,7,13,Derek Carr pass incomplete short middle intended for Amari Cooper,6.280,5.340
2,0:22,2,4,IND 4,7,19,"Derek Carr pass complete short left to Jalen Richard for 4 yards, touchdown",5.340,7.000
2,0:18,,,IND 15,7,19,"Sebastian Janikowski kicks extra point no good, blocked by Hassan Ridgeway",0.000,-1.000
2,0:18,,,OAK 35,7,19,"Sebastian Janikowski kicks off 62 yards, returned by Josh Ferguson for 19 yards (tackle by Taiwan Jones)",0.000,-0.410
2,0:12,1,10,IND 22,7,19,Andrew Luck kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,7,19,"Adam Vinatieri kicks off 65 yards, returned by Jalen Richard for 23 yards (tackle by Josh McNary)",0.000,-0.480
3,14:56,1,10,OAK 23,7,19,Latavius Murray middle for 3 yards (tackle by Henry Anderson),0.480,0.340
3,14:17,2,7,OAK 26,7,19,Latavius Murray middle for no gain (tackle by Henry Anderson),0.340,-0.360
3,13:38,3,7,OAK 26,7,19,Derek Carr pass complete short left to Michael Crabtree for 11 yards (tackle by Darryl Morris),-0.360,1.400
3,12:59,1,10,OAK 37,7,19,DeAndre Washington left tackle for 9 yards (tackle by Mike Adams and Antonio Morrison),1.400,2.070
3,12:21,2,1,OAK 46,7,19,DeAndre Washington right guard for 10 yards (tackle by David Parry),2.070,2.650
3,11:39,1,10,IND 44,7,19,Derek Carr pass complete deep middle to Andre Holmes for 22 yards (tackle by Rashaan Melvin),2.650,4.110
3,10:53,1,10,IND 22,7,25,"DeAndre Washington middle for 22 yards, touchdown",4.110,7.000
3,10:48,,,IND 15,7,26,Sebastian Janikowski kicks extra point good,0.000,0.000
3,10:48,,,OAK 35,7,26,"Sebastian Janikowski kicks off 54 yards, returned by Jordan Todman for 12 yards (tackle by Cory James)",0.000,-0.480
3,10:43,1,10,IND 23,7,26,Frank Gore left guard for 3 yards (tackle by Sean Smith),0.480,0.340
3,10:18,2,7,IND 26,7,26,"Frank Gore middle for 11 yards (tackle by Malcolm Smith). Frank Gore fumbles (forced by Malcolm Smith), recovered by T.J. Carrie at IND-38 (tackle by Ryan Kelly)",0.340,-3.050
3,10:13,1,10,IND 38,7,26,Derek Carr middle for 8 yards (tackle by Erik Walden),3.050,3.590
3,9:29,2,2,IND 30,7,26,Latavius Murray middle for 8 yards (tackle by T.J. Green),3.590,4.110
3,8:45,1,10,IND 22,7,32,"DeAndre Washington right guard for 22 yards, touchdown",4.110,7.000
3,8:40,,,IND 15,7,33,Sebastian Janikowski kicks extra point good,0.000,0.000
3,8:40,,,OAK 35,7,33,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
3,8:40,1,10,IND 25,7,33,Andrew Luck pass complete short left to Donte Moncrief for 6 yards (tackle by Perry Riley),0.610,0.870
3,8:08,2,4,IND 31,7,33,Andrew Luck pass complete short middle to Dwayne Allen for 10 yards (tackle by Malcolm Smith),0.870,1.660
3,7:41,1,10,IND 41,7,33,Andrew Luck pass complete short left to Frank Gore for 12 yards (tackle by Perry Riley),1.660,2.460
3,7:11,1,10,OAK 47,7,33,Frank Gore right tackle for 3 yards (tackle by Justin Ellis),2.460,2.320
3,6:39,2,7,OAK 44,7,33,Andrew Luck pass complete deep left to T.Y. Hilton for 39 yards (tackle by T.J. Carrie),2.320,6.060
3,6:07,1,5,OAK 5,7,33,Robert Turbin left guard for 2 yards (tackle by Reggie Nelson),6.060,5.530
3,5:26,2,3,OAK 3,7,33,Andrew Luck pass incomplete short left intended for Jack Doyle,5.530,4.720
3,5:22,3,3,OAK 3,13,33,"Andrew Luck pass complete short left to Robert Turbin for 3 yards, touchdown",4.720,7.000
3,5:18,,,OAK 15,14,33,Adam Vinatieri kicks extra point good,0.000,0.000
3,5:18,,,IND 35,14,33,"Adam Vinatieri kicks off 65 yards, touchback",0.000,-0.610
3,5:18,1,10,OAK 25,14,33,Derek Carr pass complete short right to Michael Crabtree for 10 yards (tackle by T.J. Green and Edwin Jackson),0.610,1.270
3,4:43,1,10,OAK 35,14,33,Latavius Murray middle for 5 yards (tackle by Edwin Jackson),1.270,1.400
3,4:04,2,5,OAK 40,14,33,Derek Carr pass complete short left to Latavius Murray for no gain,1.400,0.700
3,3:29,3,5,OAK 40,14,33,DeAndre Washington middle for 11 yards (tackle by Mike Adams),0.700,2.320
3,2:54,1,10,IND 49,14,33,Derek Carr pass incomplete short left intended for Amari Cooper,2.320,1.780
3,2:50,2,10,IND 49,14,33,DeAndre Washington left tackle for 4 yards (tackle by Edwin Jackson),1.780,1.620
3,2:09,3,6,IND 45,14,33,Derek Carr pass complete short middle to Michael Crabtree for 8 yards (tackle by Vontae Davis),1.620,3.120
3,1:24,1,10,IND 37,14,33,Derek Carr pass complete short left to Amari Cooper for 14 yards (tackle by Rashaan Melvin),3.120,4.040
3,0:48,1,10,IND 23,14,33,"Penalty on Clive Walford: False Start, 5 yards (no play)",4.040,3.710
3,0:22,1,15,IND 28,14,33,"Jalen Richard left tackle for 2 yards (tackle by Henry Anderson). Penalty on Clive Walford: Offensive Holding, 10 yards (no play)",3.710,3.050
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,25,IND 38,14,33,Jalen Richard right guard for 2 yards (tackle by Antonio Morrison),3.050,1.740
4,14:11,2,23,IND 36,14,33,DeAndre Washington middle for 8 yards (tackle by Edwin Jackson),1.740,2.150
4,13:28,3,15,IND 28,14,33,"Derek Carr pass incomplete. Penalty on Derek Carr: Intentional Grounding, 10 yards",2.150,0.720
4,13:23,4,25,IND 38,14,33,Marquette King punts 34 yards,0.720,0.380
4,13:12,1,10,IND 4,14,33,Andrew Luck pass incomplete short middle intended for Jack Doyle,-0.380,-0.780
4,13:08,2,10,IND 4,14,33,Andrew Luck pass complete short left to Robert Turbin for 8 yards (tackle by Malcolm Smith),-0.780,-0.480
4,12:26,3,2,IND 12,14,33,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,-0.480,-2.490
4,12:23,4,2,IND 12,14,33,"Pat McAfee punts 47 yards. Penalty on Christopher Milton: Interference with Opportunity to, 15 yards",-2.490,-2.650
4,12:13,1,10,IND 44,14,33,Latavius Murray left guard for 3 yards (tackle by Trent Cole),2.650,2.520
4,11:32,2,7,IND 41,14,33,"Derek Carr pass complete short left to Amari Cooper for 4 yards (tackle by Edwin Jackson). Penalty on Seth Roberts: Illegal Crackback (Declined), Penalty on Andre Holmes: Offensive Holding, 11 yards (no play)",2.520,1.030
4,11:07,2,18,OAK 48,14,33,Derek Carr sacked by Trent Cole for -8 yards,1.030,-0.690
4,10:45,3,26,OAK 40,14,33,"DeAndre Washington right guard for 5 yards (tackle by Darryl Morris). Penalty on Menelik Watson: Unnecessary Roughness, 15 yards",-0.690,-1.370
4,10:27,4,36,OAK 30,14,33,"Marquette King punts 48 yards, returned by Chester Rogers for 10 yards (tackle by Keith McGill)",-1.370,-1.070
4,10:16,1,10,IND 32,14,33,Andrew Luck pass complete short right to Dwayne Allen for 11 yards (tackle by Malcolm Smith),1.070,1.800
4,9:54,1,10,IND 43,14,33,Andrew Luck pass complete short left to Phillip Dorsett for 8 yards (tackle by T.J. Carrie),1.800,2.330
4,9:31,2,2,OAK 49,14,33,Andrew Luck pass complete short middle to T.Y. Hilton for 15 yards (tackle by Malcolm Smith),2.330,3.310
4,9:11,1,10,OAK 34,14,33,Andrew Luck pass complete short right to Jack Doyle for 11 yards (tackle by Nate Allen),3.310,4.040
4,8:50,1,10,OAK 23,14,33,"Andrew Luck pass complete short middle to Chester Rogers for 7 yards (tackle by Nate Allen). Penalty on Chester Rogers: Illegal Formation, 5 yards (no play)",4.040,3.710
4,8:21,1,15,OAK 28,14,33,Andrew Luck pass complete short middle to Dwayne Allen for 10 yards (tackle by Perry Riley),3.710,4.210
4,7:52,2,5,OAK 18,14,33,"Andrew Luck pass incomplete short left intended for Chester Rogers (defended by Sean Smith). Penalty on Sean Smith: Defensive Pass Interference, 7 yards (no play)",4.210,4.840
4,7:47,1,10,OAK 11,20,33,"Andrew Luck left end for 11 yards, touchdown",4.840,7.000
4,7:40,,,OAK 2,22,33,"Two Point Attempt: Andrew Luck pass complete to T.Y. Hilton, conversion succeeds",0.000,1.000
4,7:40,,,IND 35,22,33,"Adam Vinatieri kicks off 65 yards, touchback",0.000,-0.610
4,7:40,1,10,OAK 25,22,33,Latavius Murray left guard for 1 yard (tackle by Hassan Ridgeway),0.610,0.200
4,6:53,2,9,OAK 26,22,33,Latavius Murray middle for 3 yards (tackle by T.J. Green),0.200,-0.100
4,6:10,3,6,OAK 29,22,33,Matt McGloin pass complete short right to Andre Holmes for 10 yards (tackle by Darryl Morris),-0.100,1.530
,,,,,,,"IND challenged the pass completion ruling, and the play was upheld.",,
4,5:30,1,10,OAK 39,22,33,Latavius Murray middle for 4 yards (tackle by Trent Cole),1.530,1.530
4,4:46,2,6,OAK 43,22,33,Latavius Murray middle for 2 yards (tackle by Henry Anderson),1.530,1.090
4,4:03,3,4,OAK 45,22,33,Matt McGloin pass incomplete short right intended for Andre Holmes,1.090,-0.390
4,4:00,4,4,OAK 45,22,33,"Marquette King punts 55 yards, touchback. Penalty on Andre Holmes: Face Mask (15 Yards), 15 yards",-0.390,-1.270
4,3:48,1,10,IND 35,22,33,Andrew Luck pass complete short middle to T.Y. Hilton for 39 yards (tackle by T.J. Carrie),1.270,3.840
4,3:20,1,10,OAK 26,22,33,Andrew Luck pass incomplete short right intended for T.Y. Hilton,3.840,3.300
4,3:14,2,10,OAK 26,22,33,Andrew Luck middle for 1 yard (tackle by T.J. Carrie),3.300,2.740
4,2:41,3,9,OAK 25,22,33,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,2.740,1.800
4,2:38,4,9,OAK 25,25,33,Adam Vinatieri 42 yard field goal good,1.800,3.000
4,2:33,,,IND 35,25,33,"Adam Vinatieri kicks off 65 yards, touchback",0.000,-0.610
4,2:33,1,10,OAK 25,25,33,DeAndre Washington middle for no gain (tackle by Zach Kerr),0.610,0.000
4,2:28,,,,25,33,Timeout #2 by Indianapolis Colts,0.000,-0.060
4,2:28,2,10,OAK 25,25,33,DeAndre Washington right guard for 2 yards (tackle by Antonio Morrison and Rashaan Melvin),0.060,0.000
4,2:22,,,,25,33,Timeout #3 by Indianapolis Colts,0.000,0.360
4,2:22,3,8,OAK 27,25,33,Matt McGloin pass complete deep right to Amari Cooper for 19 yards (tackle by Vontae Davis),-0.360,1.990
4,1:59,1,10,OAK 46,25,33,Matt McGloin kneels for -1 yards,1.990,1.320
4,1:18,2,11,OAK 45,25,33,Matt McGloin kneels for -1 yards,1.320,0.500
4,0:36,3,12,OAK 44,25,33,Matt McGloin kneels for -1 yards,0.500,-0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
