Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
2,3:05,4,6,PHI 6,9,24,Brandon McManus 24 yard field goal good,2.990,3.000
2,3:03,,,DEN 35,9,24,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,3:03,1,10,PHI 25,9,24,Carson Wentz pass complete short left to Mack Hollins for 8 yards (tackle by Bradley Roby),0.610,1.140
2,2:40,2,2,PHI 33,9,24,Jay Ajayi middle for 2 yards (tackle by Shane Ray),1.140,1.270
2,2:10,1,10,PHI 35,9,24,"Penalty on Von Miller: Defensive Offside, 5 yards (no play)",1.270,2.000
2,2:00,1,5,PHI 40,9,24,Jay Ajayi middle for 14 yards (tackle by Bradley Roby),2.000,2.520
2,1:28,1,10,DEN 46,9,30,"Jay Ajayi left end for 46 yards, touchdown",2.520,7.000
2,1:20,,,DEN 15,9,31,Jake Elliott kicks extra point good,0.000,0.000
2,1:20,,,PHI 35,9,31,"Jake Elliott kicks off 68 yards, returned by Devontae Booker for 25 yards (tackle by Kamu Grugier-Hill)",0.000,-0.410
2,1:15,1,10,DEN 22,9,31,Brock Osweiler pass incomplete short right intended for C.J. Anderson (defended by Mychal Kendricks),0.410,-0.130
2,1:09,2,10,DEN 22,9,31,Brock Osweiler sacked by Vinny Curry for -8 yards,-0.130,0.000
2,1:04,,,,,,Timeout #1 by Philadelphia Eagles,0.000,2.240
2,1:03,3,18,DEN 14,9,31,Brock Osweiler pass incomplete short right intended for Demaryius Thomas,-2.240,-2.470
2,1:00,4,18,DEN 14,9,31,"Riley Dixon punts 49 yards, returned by Kenjon Barner for 4 yards (tackle by Justin Simmons). Penalty on Kamu Grugier-Hill: Illegal Block Above the Waist, 10 yards",-2.470,-0.670
2,0:48,1,10,PHI 26,9,31,Corey Clement left end for 6 yards (tackle by Derek Wolfe),0.670,0.940
2,0:19,2,4,PHI 32,9,31,Carson Wentz pass complete short left to Alshon Jeffery for 12 yards,0.940,1.860
2,0:15,1,10,PHI 44,9,31,Carson Wentz pass incomplete deep left intended for Alshon Jeffery,1.860,1.320
2,0:10,2,10,PHI 44,9,31,Carson Wentz pass incomplete deep left intended for Nelson Agholor,1.320,0.630
2,0:06,3,10,PHI 44,9,31,Carson Wentz pass complete short left to Alshon Jeffery for 5 yards,0.630,-0.130
2,0:04,4,5,PHI 49,9,31,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,-0.130,2.190
Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,9,31,"Brandon McManus kicks off 67 yards, returned by Kenjon Barner for 25 yards (tackle by Jamal Carter)",0.000,-0.480
3,14:55,1,10,PHI 23,9,31,"Corey Clement right end for 24 yards (tackle by Aqib Talib). Penalty on Alshon Jeffery: Offensive Holding, 10 yards",0.480,1.930
3,14:32,1,10,PHI 45,9,31,LeGarrette Blount right end for 9 yards (tackle by Brandon Marshall and Zaire Anderson),1.930,2.600
3,13:59,2,1,DEN 46,9,31,LeGarrette Blount right end for no gain (tackle by Von Miller),2.600,1.880
3,13:29,3,1,DEN 46,9,31,Carson Wentz middle for 1 yard (tackle by Domata Peko),1.880,2.590
3,12:45,1,10,DEN 45,9,31,Carson Wentz pass incomplete short right intended for Alshon Jeffery,2.590,2.040
3,12:39,2,10,DEN 45,9,31,Carson Wentz pass complete short middle to Alshon Jeffery for 17 yards (tackle by Brandon Marshall),2.040,3.710
3,11:54,1,10,DEN 28,9,31,Jay Ajayi middle for 6 yards (tackle by Shelby Harris),3.710,3.980
3,11:20,2,4,DEN 22,9,31,LeGarrette Blount middle for 10 yards (tackle by Zaire Anderson),3.980,4.780
3,10:37,1,10,DEN 12,9,31,Jay Ajayi right end for 5 yards (tackle by Shaquil Barrett),4.780,5.020
3,9:52,2,5,DEN 7,9,31,Jay Ajayi right end for -3 yards (tackle by Von Miller),5.020,3.480
3,9:08,3,8,DEN 10,9,31,Carson Wentz left end for 7 yards (tackle by Justin Simmons),3.480,3.060
3,8:21,4,1,DEN 3,9,31,Carson Wentz pass complete short right to Nelson Agholor for 1 yard (tackle by Chris Harris),3.060,6.740
3,7:37,1,2,DEN 2,9,37,"Corey Clement right end for 2 yards, touchdown",6.740,7.000
3,7:32,,,DEN 15,9,38,Jake Elliott kicks extra point good,0.000,0.000
3,7:32,,,PHI 35,9,38,"Jake Elliott kicks off 58 yards, returned by Devontae Booker for 23 yards (tackle by Malcolm Jenkins)",0.000,-0.940
3,7:26,1,10,DEN 30,9,38,Brock Osweiler pass incomplete short right intended for Devontae Booker (defended by Mychal Kendricks),0.940,0.390
3,7:17,2,10,DEN 30,9,38,C.J. Anderson left guard for 3 yards (tackle by Brandon Graham and Joe Walker),0.390,0.100
3,6:35,3,7,DEN 33,9,38,Brock Osweiler pass incomplete short left intended for A.J. Derby (defended by Malcolm Jenkins),0.100,-1.180
3,6:30,4,7,DEN 33,9,38,"Riley Dixon punts 52 yards, returned by Kenjon Barner for 8 yards (tackle by Andy Janovich)",-1.180,-0.480
3,6:19,1,10,PHI 23,9,38,Carson Wentz pass incomplete short right intended for Marcus Johnson,0.480,-0.070
3,6:14,2,10,PHI 23,9,38,Carson Wentz pass incomplete deep left intended for Torrey Smith,-0.070,-0.760
3,6:08,3,10,PHI 23,9,38,Carson Wentz sacked by Brandon Marshall for -4 yards,-0.760,-2.140
3,5:32,4,14,PHI 19,9,38,Donnie Jones punts 55 yards,-2.140,-0.670
3,5:18,1,10,DEN 26,9,38,C.J. Anderson right guard for -1 yards (tackle by Fletcher Cox),0.670,-0.010
3,4:41,2,11,DEN 25,9,38,Brock Osweiler pass incomplete deep left intended for Demaryius Thomas is intercepted by Rodney McLeod at PHI-39 and returned for 50 yards,-0.010,-4.840
3,4:25,1,10,DEN 11,9,38,LeGarrette Blount middle for 5 yards (tackle by Derek Wolfe),4.840,5.080
3,3:47,2,5,DEN 6,9,38,LeGarrette Blount left end for 2 yards (tackle by Derek Wolfe and Adam Gotsis),5.080,4.670
3,3:05,3,3,DEN 4,9,44,"Carson Wentz pass complete short right to Alshon Jeffery for 4 yards, touchdown",4.670,7.000
3,3:00,,,DEN 15,9,44,Jake Elliott kicks extra point no good,0.000,-1.000
3,3:00,,,PHI 35,9,44,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
3,3:00,1,10,DEN 25,9,44,Devontae Booker right guard for 1 yard (tackle by Derek Barnett),0.610,0.200
3,2:27,2,9,DEN 26,9,44,Brock Osweiler pass complete short right to Devontae Booker for 11 yards (tackle by Destiny Vaeao),0.200,1.400
3,1:42,1,10,DEN 37,9,44,"Brock Osweiler sacked by Chris Long for -10 yards. Brock Osweiler fumbles (forced by Chris Long), recovered by Matt Paradis at DEN-31",1.400,0.050
3,1:00,2,16,DEN 31,9,44,Brock Osweiler pass complete short middle to A.J. Derby for 11 yards (tackle by Nigel Bradham),0.050,0.830
3,0:16,3,5,DEN 42,9,44,Brock Osweiler pass complete deep left to Cody Latimer for 32 yards (tackle by Rasul Douglas),0.830,3.840
Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 26,9,44,"Penalty on Fletcher Cox: Defensive Offside, 5 yards (no play)",3.840,4.570
4,14:32,1,5,PHI 21,9,44,Brock Osweiler pass complete short left to Jamaal Charles for 6 yards (tackle by Mychal Kendricks and Nigel Bradham),4.570,4.580
4,13:48,1,10,PHI 15,9,44,Jamaal Charles middle for 1 yard (tackle by Mychal Kendricks),4.580,4.110
4,13:12,2,9,PHI 14,9,44,Brock Osweiler sacked by Nigel Bradham for -3 yards,4.110,2.980
4,12:24,3,12,PHI 17,9,44,"Penalty on Brock Osweiler: Delay of Game, 5 yards (no play)",2.980,2.410
4,11:59,3,17,PHI 22,9,44,Brock Osweiler pass complete short left to Jamaal Charles for 11 yards (tackle by Corey Graham),2.410,2.720
4,11:14,4,6,PHI 11,9,44,Brock Osweiler pass complete short left to Demaryius Thomas for 9 yards (tackle by Corey Graham),2.720,6.740
4,10:36,1,2,PHI 2,9,44,Jamaal Charles left tackle for 1 yard (tackle by Mychal Kendricks),6.740,5.910
4,9:55,2,1,PHI 1,9,44,Brock Osweiler pass incomplete,5.910,0.000
4,9:49,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-5.170
4,9:49,3,1,PHI 1,15,44,"Brock Osweiler pass complete short left to Demaryius Thomas for 1 yard, touchdown",5.170,7.000
4,9:45,,,PHI 15,16,44,Brandon McManus kicks extra point good,0.000,0.000
4,9:45,,,DEN 35,16,44,"Brandon McManus kicks off 50 yards, returned by Kenjon Barner for 8 yards (tackle by Devontae Booker)",0.000,-0.480
4,9:41,1,10,PHI 23,16,44,Corey Clement middle for 7 yards (tackle by Brandon Marshall),0.480,0.880
4,8:58,2,3,PHI 30,16,44,Corey Clement right tackle for -3 yards (tackle by Von Miller),0.880,-0.230
4,8:17,3,6,PHI 27,22,44,"Nick Foles sacked by Von Miller for -8 yards. Nick Foles fumbles (forced by Von Miller), recovered by Brandon Marshall at PHI-19 and returned for 19 yards, touchdown",-0.230,-7.000
4,,,,PHI 15,23,44,Brandon McManus kicks extra point good,,
4,8:09,,,DEN 35,23,44,Brandon McManus kicks off 13 yards,0.000,-2.390
4,8:07,1,10,DEN 48,23,44,Corey Clement right end for 1 yard (tackle by Von Miller),2.390,1.980
4,7:28,2,9,DEN 47,23,44,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",1.980,2.660
4,7:04,2,4,DEN 42,23,44,Corey Clement left tackle for -2 yards (tackle by Zaire Anderson),2.660,1.690
4,6:21,3,6,DEN 44,23,44,Corey Clement left end for 5 yards (tackle by Bradley Roby),1.690,0.660
4,5:34,4,1,DEN 39,23,44,Nick Foles pass complete deep right to Nelson Agholor for 35 yards (tackle by Chris Harris),0.660,6.280
,,,,,,,"DEN challenged the pass completion ruling, and the play was upheld.",,
4,4:49,1,4,DEN 4,23,50,"Corey Clement middle for 4 yards, touchdown",6.280,7.000
4,4:44,,,DEN 15,23,51,Jake Elliott kicks extra point good,0.000,0.000
4,4:44,,,PHI 35,23,51,"Jake Elliott kicks off 69 yards, returned by Devontae Booker for 14 yards (tackle by Kamu Grugier-Hill). Penalty on Will Parks: Illegal Block Above the Waist, 5 yards",0.000,0.380
4,4:40,1,10,DEN 5,23,51,Brock Osweiler pass complete short left to Demaryius Thomas for 6 yards (tackle by Dexter McDougle),-0.380,-0.340
4,4:14,2,4,DEN 11,23,51,Devontae Booker left tackle for 4 yards (tackle by Corey Graham),-0.340,-0.220
4,3:46,1,10,DEN 15,23,51,Brock Osweiler pass complete short left to Devontae Booker for -2 yards (tackle by Kamu Grugier-Hill),-0.220,-0.920
4,3:12,2,12,DEN 13,23,51,Brock Osweiler pass incomplete short right intended for Jeff Heuerman. Penalty on Menelik Watson: Illegal Use of Hands (Declined),-0.920,-1.640
4,3:07,3,12,DEN 13,23,51,Brock Osweiler pass incomplete short right intended for Bennie Fowler,-1.640,-2.490
4,3:02,4,12,DEN 13,23,51,"Riley Dixon punts 47 yards, fair catch by Kenjon Barner",-2.490,-1.600
4,2:55,1,10,PHI 40,23,51,Wendell Smallwood left guard for 26 yards (tackle by Justin Simmons),1.600,3.310
4,2:09,1,10,DEN 34,23,51,Wendell Smallwood left end for 2 yards (tackle by Adam Gotsis),3.310,3.040
4,2:00,2,8,DEN 32,23,51,Wendell Smallwood middle for no gain (tackle by Adam Gotsis),3.040,0.000
4,1:53,,,,,,Timeout #2 by Denver Broncos,0.000,-2.350
4,1:53,3,8,DEN 32,23,51,Wendell Smallwood left end for no gain (tackle by Shelby Harris),2.350,0.000
4,1:46,,,,,,Timeout #3 by Denver Broncos,0.000,-1.240
4,1:46,4,8,DEN 32,23,51,Wendell Smallwood right end for -3 yards (tackle by Will Parks),1.240,-1.330
4,1:42,1,10,DEN 36,23,51,Brock Osweiler pass incomplete short left intended for Cody Latimer,1.330,0.790
4,1:38,2,10,DEN 36,23,51,Brock Osweiler pass complete short right to Isaiah McKenzie for 14 yards,0.790,2.260
4,1:33,1,10,,23,51,Brock Osweiler pass incomplete short left intended for Bennie Fowler (defended by Rasul Douglas),2.260,1.710
4,1:29,2,10,,23,51,"Brock Osweiler pass incomplete short left intended for Isaiah McKenzie. Penalty on Garett Bolles: Unnecessary Roughness, 15 yards",1.710,-0.960
4,1:24,3,25,DEN 35,23,51,Brock Osweiler pass complete short left to Jamaal Charles for 1 yard (tackle by Najee Goode),-0.960,-0.980
4,1:24,4,24,DEN 36,23,51,"Penalty on Riley Dixon: Delay of Game, 5 yards (no play)",-0.980,-1.310
4,0:18,4,29,DEN 31,23,51,"Riley Dixon punts 51 yards, returned by Kenjon Barner for 5 yards (tackle by Andy Janovich)",-1.310,-0.480
4,0:08,1,10,PHI 23,23,51,Nick Foles kneels for -1 yards,0.480,-0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
